회사명,공장주소(도로명),공장주소(지번),업종명,전화번호,종업원수(총인원),생산품,원자재
(주)엠투엠 ,"경기도 포천시 내촌면 금강로2018번길 65, 라동 외 1필지",경기도 포천시 내촌면 음현리 462 라동 외 1필지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,031-574-9027,5,"금속 구조물 제작 등, 영상정보디스플레이장치, 전시 및 광고용 LED 등","steel, 알루미늄, 스테인레스 등"
(주)엠투파워,경기도 포천시 군내면 용두로120번길 6,경기도 포천시 군내면 직두리 767-1번지,축전지 제조업,070-4790-1738,0,전지형 에너지저장장치,
(주)엠포트,경기도 포천시 가산면 우금길 250,경기도 포천시 가산면 우금리 564-2번지,기타 주변기기 제조업 외 1 종,031-991-2230,3,컴퓨터용화이트보드,
(주)영공,경기도 포천시 설운동 28-1번지 외 8필지 외 8필지,경기도 포천시 설운동 28-1번지 외 8필지 외 8필지,구조용 금속 판제품 및 공작물 제조업,031-542-2495,11,금속조립구조재,
(주)영도트림아트,경기도 포천시 가산면 정금로101번길 138,경기도 포천시 가산면 가산리 401번지,기타 편조의복 액세서리 제조업,031-543-4902,28,섬유봉재부자재(레이스),원단
(주)영동식품,경기도 포천시 군내면 청군로3054번길 20,경기도 포천시 군내면 직두리 359-2번지,"면류, 마카로니 및 유사식품 제조업 외 1 종",031-535-5773,15,국수,
(주)영동식품 ,경기도 포천시 군내면 청군로 3163 외 1필지,경기도 포천시 군내면 직두리 691-1 외 1필지,"면류, 마카로니 및 유사식품 제조업",031-535-5773,15,국수,밀가루
(주)영신콘크리트산업,경기도 포천시 창수면 메치골로 106 외 1필지,경기도 포천시 창수면 가양리 511-3번지 외 1필지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",031-532-7611,12,"콘크리트벽돌,블록,토목구조물","시멘트,모래,자갈"
(주)영신퍼니쳐,"경기도 포천시 가산면 마정로69번길 53, 가,나동","경기도 포천시 가산면 마산리 289-3번지 가,나동",기타 목재가구 제조업,02-2277-5551,6,사무용목재가구,합판
(주)영일패키지,경기도 포천시 가산면 정교1길 49,경기도 포천시 가산면 정교리 527번지,가방 및 기타 보호용 케이스 제조업 외 1 종,031-541-1852,10,"쇼핑백, 마스크 등","종이, 부직포 등"
(주)영중물산,경기도 포천시 영중면 양문공단로2길 33,경기도 포천시 영중면 양문리 1003-2번지,"직물, 편조원단 및 의복류 염색 가공업",031-531-0782,23,섬유염색,
(주)영진공영,"경기도 포천시 동교로1길 61-67 (동교동) (B동,C동)","경기도 포천시 동교동 565-1 (B동,C동)",비동력식 수공구 제조업,02-461-1251,4,클램프,금속자재
(주)영진레미콘,경기도 포천시 가산면 마현4길 91-22 (주)영진레미콘,경기도 포천시 가산면 금현리 348-3 (주)영진레미콘,레미콘 제조업,031-543-3201,14,레미콘,"시멘트,골재"
(주)영진물산,경기도 포천시 영중면 금주리 산 25-26번지,경기도 포천시 영중면 금주리 산 25-26번지,가정용 유리제품 제조업,032-567-8716,10,"주방용품, 커피용품","유리, 프라스틱, 트라이탄, 고무제, 원목제, 스텐등"
(주)영진에스피산업,경기도 포천시 소흘읍 호국로287번길 17-14,경기도 포천시 소흘읍 이동교리 374-42번지,정형 내화 요업제품 제조업,02-498-5532,9,내화충전재,
(주)예성에프앤비,"경기도 포천시 내촌면 매봉1길 21, 나동 1층 외 1필지",경기도 포천시 내촌면 음현리 494-2 나동 1층 외 1필지,과자류 및 코코아 제품 제조업,031-532-2235,39,캔디류(솜사탕),설탕
(주)예스피피,경기도 포천시 어룡동 313-5 외 2필지,경기도 포천시 어룡동 313-5 외 2필지,기타 인쇄관련 산업,031-542-8836,15,"원단,부채 등 PP관련제품",pp
(주)예일전시,"경기도 포천시 내촌면 부마로 260, 마명리314-2 외 4필지",경기도 포천시 내촌면 마명리 314-2번지 마명리314-2 외 4필지,그 외 기타 나무제품 제조업,031-527-9091,2,목공 집기 및 구조물,합판 및 각재
(주)오뗄 포천용정지점,경기도 포천시 군내면 용정리 485,경기도 포천시 군내면 용정리 485,육류 기타 가공 및 저장처리업 (가금류 제외),070-7702-0109,130,"소시지,배아컨,갈비가공품,식육함유가공품","돈육,계육,우육,돈육(지방)"
(주)오뗄포천지점,경기도 포천시 신북면 신평리 389-11번지 외 11필지,경기도 포천시 신북면 신평리 389-11번지 외 11필지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,031-531-8462,140,"햄,소세지,빵",
(주)오성테크닉스,경기도 포천시 원동교길 81-6 (동교동) 외 1필지,경기도 포천시 동교동 438-1번지 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,031-532-5065,5,자동차부품(활대링크),"환봉,고무등"
(주)오엘,경기도 포천시 신북면 호국로 2220,경기도 포천시 신북면 기지리 47번지,편조원단 제조업,031-534-9639,8,니트원단,원사
(주)오이코스,경기도 포천시 소흘읍 응골1길 27,경기도 포천시 소흘읍 초가팔리 173-4,놀이터용 장비 제조업 외 6 종,031-544-0691,3,"원목 교구, 체육시설장비, 목재가구, 주방목재, 금속가구",원목
(주)옥산석물,경기도 포천시 창수면 포천로 2496 외 2필지,경기도 포천시 창수면 추동리 293-3번지 외 2필지,건설용 석제품 제조업,031-404-1642,6,석재품,원석
(주)온수텍,경기도 포천시 소흘읍 응골길 20,경기도 포천시 소흘읍 초가팔리 156-0,가정용 전기 난방기기 제조업 외 3 종,031-534-5607,2,전기온수보일러,엑셀파이프
(주)올클리,경기도 포천시 영중면 양문공단로3길 58,경기도 포천시 영중면 양문리 985-7번지,"직물, 편조원단 및 의복류 염색 가공업",031-532-7811,29,가공 원단,원단
(주)올테크코리아,"경기도 포천시 정자동1길 14-28, (다동)(선단동)",경기도 포천시 선단동 178-1 (다동),그 외 기타 플라스틱 제품 제조업 외 2 종,031-534-1560,13,플라스틱사출,"ABS, HIPS,PP,PC등"
(주)와이디글로벌,경기도 포천시 신북면 장자경제로 131-6,경기도 포천시 신북면 신평리 677-4,날염 가공업,031-853-9204,4,염색 직물,"생지, 염료"
(주)와이즈플랙스,,"경기도 포천시 군내면 용정리 479 2블럭, 포천용정일반산업단지 지식산업센터",메모리용 전자집적회로 제조업 외 48 종,02-553-8025,0,"전자, 의료",
(주)와이케이아이디,경기도 포천시 화현면 봉화로581번길 38-86,경기도 포천시 화현면 명덕리 559-2,그 외 기타 가구 제조업 외 1 종,031-533-6397,6,"금속진열장, 분체도장","금속판, 파이프, SUS"
(주)와코코퍼레이션,경기도 포천시 소흘읍 무란2길 11-19,경기도 포천시 소흘읍 이동교리 581-7번지,기체 여과기 제조업 외 1 종,02-948-2258,22,"정수기,비데",
(주)완일ECS,"경기도 포천시 소흘읍 호국로287번길 9-60, 9동 B08호",경기도 포천시 소흘읍 이동교리 374-79번지 9동 B08호,일반용 전기 조명장치 제조업,02-3664-3358,4,LED조명,LED 패키지
(주)우드필가구,경기도 포천시 가산면 정교1길 48-55,경기도 포천시 가산면 정교리 444-8번지,기타 목재가구 제조업,031-542-4447,8,"책상,장롱,가정용가구","MDF, PB, 합판, 목재, 필름(모양지)"
(주)우리섬유,경기도 포천시 영중면 양문공단로1길 40,경기도 포천시 영중면 양문리 1016번지,"직물, 편조원단 및 의복류 염색 가공업",031-533-9593,21,염색,
(주)우리젠,"경기도 포천시 자작로 155, 경기대진테크노파크 512호 (자작동)",경기도 포천시 자작동 588-4번지 경기대진테크노파크 512호,배전반 및 전기 자동제어반 제조업,02-586-4548,3,,
(주)우상기업,경기도 포천시 가산면 우금1길 39-17,경기도 포천시 가산면 우금리 271-8번지,금속 가구 제조업 외 1 종,031-544-6325,6,"철재의자,책상,사물함",
(주)우상기업,경기도 포천시 가산면 진금로 101,경기도 포천시 가산면 우금리 277-5번지,금속 가구 제조업,031-544-6325,14,금속가구,"파이프, 금속 등"
(주)우성지엔드피,경기도 포천시 가산면 정교리 544번지 외 1필지 외 1필지,경기도 포천시 가산면 정교리 544번지 외 1필지 외 1필지,기타 종이 및 판지 제조업 외 2 종,031-542-1049,35,종이칸막이,
(주)우신식품,경기도 포천시 영중면 양문리 362번지,경기도 포천시 영중면 양문리 362번지,동물성 유지 제조업 외 1 종,031-532-5300,10,"단미사료(유지), 동물성유지, 식물성유지, 단미사료(박), 계란분말(박)","축산가공잔재물,폐식용유,계란"
(주)우신식품(2공장),경기도 포천시 영중면 나삼2길 85,경기도 포천시 영중면 양문리 371-4,연사 및 가공사 제조업,031-532-5300,2,면 장갑,"연사,가공사"
(주)우정식품,"경기도 포천시 창수면 포천로 2737-7, (추동리 379번지) 외 3필지",경기도 포천시 창수면 추동리 379번지 (추동리 379번지) 외 3필지,"면류, 마카로니 및 유사식품 제조업 외 2 종",031-531-2507,60,"당면,전분제품","전분,감자"
(주)우정식품(2공장),경기도 포천시 창수면 추동리 376,경기도 포천시 창수면 추동리 376,"면류, 마카로니 및 유사식품 제조업 외 2 종",031-531-0416,5,당면,"제면,곡물 등"
(주)우주공업사,경기도 포천시 내촌면 금강로2018번길 43 외 1필지,경기도 포천시 내촌면 음현리 466-1번지 외 1필지,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",031-534-0164,34,"금속문,창틀,승강기","철판, H-Beam, 형강류 등"
(주)우주공업사,경기도 포천시 화현면 봉화로 173 외 6필지,경기도 포천시 화현면 명덕리 92번지 외 6필지,"금속 문, 창, 셔터 및 관련제품 제조업",031-534-0164,23,승강기부품,"강판,형강"
(주)우진의료기,경기도 포천시 신북면 기지리 81 외 3필지,경기도 포천시 신북면 기지리 81 외 3필지,가정용 전기 난방기기 제조업,070-7854-5291,23,"전기매트,온수매트,전기방석","열선솜, 온도조절기"
(주)우천식품,경기도 포천시 이동면 늠바위길 119 외 8필지,경기도 포천시 이동면 장암리 151-17 외 8필지,두부 및 유사식품 제조업,031-533-7266,20,두부,콩
(주)욱일산업,경기도 포천시 가산면 정금로162번길 6-26,경기도 포천시 가산면 정교리 258-11 번지,기타 석제품 제조업,031-543-4071,4,책상상판,
(주)움트리,경기도 포천시 창수면 전영로 1206 외 4필지,경기도 포천시 창수면 오가리 523번지 외 4필지,장류 제조업 외 2 종,031-531-5672,20,"장류(고추장,된장),조미료,튀김가루","고추,두류(콩)전분질원료(쌀,보리,밀),통후추,계피등"
(주)워싱라인,경기도 포천시 가산면 시우동길 27,경기도 포천시 가산면 가산리 493-2번지,그 외 기타 분류 안된 섬유제품 제조업,031-543-1650,25,청바지세척,청바지
(주)원두실업,경기도 포천시 가산면 마정로70번길 5 (총 2 필지) 외 1필지,경기도 포천시 가산면 금현리 1014번지 외 1필지,모조 귀금속 및 모조 장신용품 제조업,031-542-2611,10,스팡클,
(주)원퍼니처,경기도 포천시 방산길 164 -25(가산면),경기도 포천시 가산면 가산리 100-19,기타 목재가구 제조업,031-543-7527,2,장농,
(주)원플러스,경기도 포천시 가산면 금현경제로 54,경기도 포천시 가산면 금현리 1179-0,접착제 및 젤라틴 제조업,031-541-4326,9,"섬유나염용 바인더,  화이트","부틸아크릴레이트, 에틸타크릴레이트, 아크릴산, 유화제"
(주)위노스,경기도 포천시 군내면 용정리 485-4,경기도 포천시 군내면 용정리 485-4,기타 목재가구 제조업,02-913-5800,49,사무용가구,"파티클보드, MDF"
(주)위노스 2공장,경기도 포천시 군내면 용정경제로1길 94-46,경기도 포천시 군내면 용정리 484-17,기타 목재가구 제조업 외 1 종,031-541-9367,23,"사무용가구, 사무실 칸막이","파티클보드, MDF, 천, 강판"
(주)위앤비,경기도 포천시 군내면 용정경제로1길 72,경기도 포천시 군내면 용정리 484-5,태양력 발전업,031-741-8200,0,전기,
(주)윈디자인인테리어,경기도 포천시 내촌면 내진로 277,경기도 포천시 내촌면 진목리 379-5번지,기타 목재가구 제조업 외 1 종,031-533-9797,15,"목재가구,엣지,유리틀","합판,금속,철판류"
(주)윈투스시스템,경기도 포천시 소흘읍 초가팔로 49-33,경기도 포천시 소흘읍 이가팔리 508-27,유선 통신장비 제조업 외 8 종,070-7798-3698,4,"영상감시장치, CCTV카메라, 방송장치, 전원공급장치, 컴퓨터 부품","CCTV, 비상벨, 모듈, 비상벨, 마우스PCB, 부품별 하우징"
(주)윈푸드,경기도 포천시 소흘읍 부흥로 280-2,경기도 포천시 소흘읍 무봉리 8-2번지,천연 및 혼합조제 조미료 제조업 외 1 종,031-541-9696,25,"샐러드류,즉석조리식품","채소,견과류,국수"
(주)유니크대성,경기도 포천시 신북면 틀못이길 76-1,경기도 포천시 신북면 기지리 724번지,산업용 냉장 및 냉동 장비 제조업 외 3 종,031-533-9851,80,"건조기,보온밥통,식기건조기,버너","벨브,  주물버너, 공기조절기, 철판 등"
(주)유니크시스템,경기도 포천시 군내면 용정경제로2길 62,경기도 포천시 군내면 용정리 483-4번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",031-841-8510,18,"금속문, 창, 셔터 및 관련 제품","알루미늄, 플라스틱"
(주)유니퍼,경기도 포천시 내촌면 오림포길 67 외 1필지,경기도 포천시 내촌면 진목리 51번지 51 외 1필지,안전유리 제조업 외 2 종,031-554-0073,5,"판유리,타일","유리,세라믹원판"
(주)유니퍼,경기도 포천시 가산면 마전리 591-1,경기도 포천시 가산면 마전리 591-1,도장 및 기타 피막처리업,031-554-0073,23,건축자재 표면처리,건축자재
(주)유니퍼,경기도 포천시 내촌면 오림포길 61 외 1필지,경기도 포천시 내촌면 진목리 47-5번지 외 1필지,기타 목재가구 제조업,031-554-9955,3,서랍장,서랍장
(주)유성디자인,경기도 포천시 화현면 봉화로709번길 30 외 3필지,경기도 포천시 화현면 지현리 136-1 외 3필지,주방용 및 음식점용 목재가구 제조업 외 1 종,031-536-2462,6,,
(주)유앤아이푸드,경기도 포천시 일동면 화동로888번길 28-35 외 1필지,경기도 포천시 일동면 기산리 682-5번지 외 1필지,김치류 제조업 외 1 종,031-536-0098,20,김치류,"배추, 무, 고춧가루, 각종채소등.."
(주)유원물산,경기도 포천시 신북면 신평로72번길 66,경기도 포천시 신북면 신평리 10-10,"직물, 편조원단 및 의복류 염색 가공업",031-536-0533,20,가공(염색) 원단,"원단, 염료"
(주)유원에스엔에스,경기도 포천시 군내면 포천로1160번길 2,경기도 포천시 군내면 좌의리 486-1번지,철강선 제조업,031-535-6551,9,철선,
(주)유일기연,"경기도 포천시 어룡3길 46-16, 가동(어룡동)",경기도 포천시 어룡동 702-20 가동,"금속 문, 창, 셔터 및 관련제품 제조업",02-325-2394,3,유압 및 ARS 가동보,"철판, 환봉, 각관"
(주)유정,경기도 포천시 영중면 양문공단로3길 54,경기도 포천시 영중면 양문리 985-5,솜 및 실 염색가공업,070-4224-3590,6,사염,실
(주)유진씨엔씨,경기도 포천시 가산면 가산로240번길 3-1,경기도 포천시 가산면 방축리 35번지,기타 구조용 금속제품 제조업 외 10 종,031-542-4577,15,스텐구조물,"스테인리스, EGI강판, 구조용관"
(주)유진케임텍,경기도 포천시 군내면 꽃배산1길 42,경기도 포천시 군내면 좌의리 2-7번지,금속탱크 및 저장용기 제조업 외 1 종,02-336-5200,2,압력용기 및 저장탱크,"철판, 스텐레스"
(주)유진테크솔루션,경기도 포천시 가산면 금현경제로 41,경기도 포천시 가산면 금현리 1172,기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,031-404-0572,3,"자동차차량용품,리모컨,배선기구",폴리카보네이트
(주)유진텍스,"경기도 포천시 신북면 신평리 205 ,206-3,-7,207-1","경기도 포천시 신북면 신평리 205 ,206-3,-7,207-1",날염 가공업,031-533-3330,28,직물 원단 가공,직물 원단
(주)유화수지,경기도 포천시 화합로 222 (동교동),경기도 포천시 동교동 430-5번지,폴리스티렌 발포 성형제품 제조업 외 2 종,031-542-6311,10,스치로폴,
(주)율이앤씨,경기도 포천시 소흘읍 무림길 139-1,경기도 포천시 소흘읍 무림리 258-12,배전반 및 전기 자동제어반 제조업 외 2 종,02-956-2811,9,통합배선반,"판넬, 가이드, 모듈"
(주)은산디자인,경기도 포천시 가산면 포천로898번길 119,경기도 포천시 가산면 금현리 337번지,장식용 목제품 제조업,031-518-0497,5,인테리어목제품,"MDF,목재"
(주)은성실업,경기도 포천시 가산면 궁말3길 21 외 1필지,경기도 포천시 가산면 금현리 577-2번지 외 1필지,표면처리 및 적층 직물 제조업,031-541-9815,14,가공원단,
(주)은성케미칼,경기도 포천시 내촌면 부마로282번길 68 (총 2 필지) 외 1필지,경기도 포천시 내촌면 마명리 115-2번지 외 1필지,그 외 기타 플라스틱 제품 제조업,031-532-8034,20,플라스틱가구,
(주)이강섬유,경기도 포천시 신북면 포천로2034번길 95,경기도 포천시 신북면 심곡리 202번지,편조원단 제조업 외 1 종,031-532-8088,22,섬유가공,섬유
(주)이고진,경기도 포천시 가산면 포천로736번길 23,경기도 포천시 가산면 금현리 315번지,"체조, 육상 및 체력단련용 장비 제조업",031-541-4680,20,장애인용펠스사이클,
(주)이공이공,경기도 포천시 신북면 장자경제로 103-8,경기도 포천시 신북면 신평리 674-4,"치약, 비누 및 기타 세제 제조업",031-544-4034,3,세제,"벤조산자트륨, 황산나트륨, SLES, AOS"
(주)이끌림,경기도 포천시 소흘읍 한성1길 2-49,경기도 포천시 소흘읍 고모리 37-7,기타 목재가구 제조업,031-544-6003,11,가구 침대류,"원목, 합성목재"
(주)이노랩,경기도 포천시 내촌면 작은넙고개1길 32,경기도 포천시 내촌면 진목리 923번지,간판 및 광고물 제조업,031-533-2593,13,"도로표시판, 실험대,후드 등","스텐, 스틸,목재 등"
(주)이동갈비 제2공장,경기도 포천시 용정경제로1길 93 -16(군내면) 나동 1층,경기도 포천시 군내면 용정리 486-9 나동 1층,육류 포장육 및 냉동육 가공업 (가금류 제외),031-544-6648,32,"소갈비, 돼지갈비","돼지고기, 소고기"
(주)이동장수샘물,경기도 포천시 이동면 금강로 6085-23,경기도 포천시 이동면 도평리 483번지,생수 생산업,031-536-0645,10,생수,
(주)이런가구,경기도 포천시 가산면 시우동3길 78-151,경기도 포천시 가산면 정교리 446-5번지,기타 목재가구 제조업,031-541-0568,10,"목재가구(책장, 책상 등)","미장합판, 가구 부자재"
(주)이레앤엘피스,경기도 포천시 가산면 정금로473번길 67-28 외 1필지,경기도 포천시 가산면 금현리 434번지 외 1필지,"금속 문, 창, 셔터 및 관련제품 제조업",031-544-8741,17,방화문,철판
(주)이베로,"경기도 포천시 중앙로 41, 지하1층 (신읍동)",경기도 포천시 신읍동 81-9 지하1층,유선 통신장비 제조업 외 2 종,02-6348-7962,0,지하재방송장치,"회로칩셋, PCB, 각종통신소자"
(주)이비엠리더,경기도 포천시 설운동 23-2 외 2필지,경기도 포천시 설운동 23-2 외 2필지,주형 및 금형 제조업 외 1 종,031-544-2903,9,열교차단 파스너,열교차단 파스너
(주)이스케이프원,"경기도 포천시 자작로 155, (B104-2)(자작동)",경기도 포천시 자작동 588-4 (B104-2),구조용 금속 판제품 및 공작물 제조업,02-546-4900,3,화재대피시설,아연강관
(주)이스타테크놀로지,경기도 포천시 동교동 567-1,경기도 포천시 동교동 567-1,"기타 섬유, 의복 및 가죽 가공 기계 제조업 외 1 종",031-542-9542,8,"섬유기계제작, 편조원단제조","주물, 모터, 각종철재, 원사"
(주)이안마스크,경기도 포천시 해룡로 191 (동교동),경기도 포천시 동교동 356,기타 직물제품 제조업,031-8089-7990,4,마스크,부직포 필터
(주)이앤에치,경기도 포천시 화현면 지현리 299-7 외 4필지,경기도 포천시 화현면 지현리 299-7 외 4필지,부직포 및 펠트 제조업,031-533-0283,102,부직포,폴리프로필렌(P.P)
(주)이앤에치,경기도 포천시 화현면 봉화로 975-51,경기도 포천시 화현면 지현리 299-40번지,부직포 및 펠트 제조업 외 1 종,031-533-0283,12,"부직포, 제면",
(주)이앤피코리아,경기도 포천시 군내면 유교로88번길 75-1,경기도 포천시 군내면 유교리 808번지,플라스틱 필름 제조업 외 1 종,031-543-8285,5,플라스틱 판재,합성수지 (ps)
(주)이엔아이,경기도 포천시 신북면 계류리 602-3 번지,경기도 포천시 신북면 계류리 602-3 번지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,031-531-6287,7,콘크리트 제품,
(주)이인기공,경기도 포천시 소흘읍 무림길 71-15 가동,경기도 포천시 소흘읍 무림리 208-3 가동,"증류기, 열교환기 및 가스발생기 제조업",031-575-5121,7,온도 콘트롤 유니트,파이프
(주)이지앤,경기도 포천시 가산면 정금로473번길 16,경기도 포천시 가산면 금현리 210번지,그 외 기타 플라스틱 제품 제조업,031-544-0882,18,"도마,바가지,플라스틱용기뚜껑",합성수지
(주)이지유니온,경기도 포천시 소흘읍 무림길 46,경기도 포천시 소흘읍 무림리 410-5,배전반 및 전기 자동제어반 제조업,031-5413-384,6,분전함 및 계량기함,"스틸박스, PVC박스"
(주)이천,경기도 포천시 넘마을1길 10(선단동) 외 1필지,경기도 포천시 선단동 702-1 외 1필지,구조용 금속 판제품 및 공작물 제조업 외 1 종,031-542-8925,13,"사다리,운반용들것",알미늄
(주)이한,"경기도 포천시 군내면 반월산성로 173, 나동",경기도 포천시 군내면 하성북리 98번지 나동,그 외 기타 분류 안된 비금속 광물제품 제조업,031-553-8221,2,미끄럼방지 포장재,
(주)이화엔지니어링,경기도 포천시 호국로1315번길 32-2 (어룡동),경기도 포천시 어룡동 205-10번지,유선 통신장비 제조업 외 3 종,031-535-2529,28,전화용단자함,
(주)익산프라콘,경기도 포천시 동교동 521-3번지 외 2필지 외 2필지,경기도 포천시 동교동 521-3번지 외 2필지 외 2필지,폴리스티렌 발포 성형제품 제조업 외 1 종,031-541-5120,14,P.S.P시트,
(주)인덕,경기도 포천시 소흘읍 무봉리 634번지,경기도 포천시 소흘읍 무봉리 634번지,끈 및 로프 제조업,031-541-8544,7,끈및로프제조업,
(주)인영섬유,경기도 포천시 가산면 시우동5길 6,경기도 포천시 가산면 가산리 378-1번지,그 외 기타 분류 안된 섬유제품 제조업,031-542-6198,38,직물및 편조원단,
(주)일동프라스틱,경기도 포천시 일동면 길명리 735-4번지,경기도 포천시 일동면 길명리 735-4번지,그 외 기타 플라스틱 제품 제조업,031-532-0352,13,포장용플라스틱케이스,
(주)일동프라테크,"경기도 포천시 일동면 길명리 734 가동, 나동","경기도 포천시 일동면 길명리 734 가동, 나동",플라스틱 필름 제조업 외 1 종,031-533-4570,9,플라스틱시트,합성수지
(주)일성테크,경기도 포천시 내촌면 부마로282번길 33-45,경기도 포천시 내촌면 마명리 109-8번지,"천막, 텐트 및 유사 제품 제조업 외 1 종",031-534-0217,10,"가방용 원단, 자동차 덮개","nylon vinrl,시트,경탄,캔버스스크랩 등"
(주)일신새니몰,경기도 포천시 가산면 우금1길 15,경기도 포천시 가산면 우금리 281-1번지,설치용 및 위생용 플라스틱제품 제조업,031-543-8750,6,위생용플라스틱제품,
(주)일오삼이엔지,"경기도 포천시 내촌면 금강로2110번길 19, 나동",경기도 포천시 내촌면 음현리 396-9번지 나동,일반용 전기 조명장치 제조업,070-4130-0153,4,"LED투광기, 터널등기구","알루미늄주물,LED모듈"
(주)일우산업기계,경기도 포천시 신북면 청신로 2046-9,경기도 포천시 신북면 신평리 389-1번지,금속 절삭기계 제조업 외 10 종,031-533-6392,30,전단.절곡기,철판
(주)일진솔리우드,경기도 포천시 내촌면 부마로282번길 69,경기도 포천시 내촌면 마명리 119-6번지,기타 건축용 나무제품 제조업,031-534-5959,13,목재가구(서랍제등),
(주)일흥,경기도 포천시 동교동 505 외 6필지,경기도 포천시 동교동 505 외 6필지,그 외 자동차용 신품 부품 제조업 외 2 종,031-543-9800,240,"제동장치및부분품, 강화플라스틱 구성품,금형제조",PP
(주)자연세상,경기도 포천시 호국로481번길 21 -16(소흘읍),경기도 포천시 소흘읍 이동교리 104-15,한의약품 제조업,031-544-3091,7,십전대보탕(한약),"당귀,인삼,백봉령등"
(주)장충뚱뚱이할머니식품,경기도 포천시 군내면 유교로88번길 55 (총 2 필지) 외 1필지,경기도 포천시 군내면 유교리 753-1번지 외 1필지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,031-533-4288,5,"족발,보쌈",
(주)재현스톤,경기도 포천시 화현면 우시동길 40-13 외 1필지,경기도 포천시 화현면 명덕리 422-1 외 1필지,건설용 석제품 제조업,031-535-5271,2,"건축석,석판",원석
(주)정백산업,경기도 포천시 천보2길 27 (동교동),경기도 포천시 동교동 691-17번지,표면처리 및 적층 직물 제조업,031-541-0961,18,적층원단,
(주)정일강업,경기도 포천시 영북면 야미리 401-3,경기도 포천시 영북면 야미리 401-3,육상 금속 골조 구조재 제조업,031-534-5746,5,건축용 철골 구조재,H-빔
(주)정일기연,"경기도 포천시 청신로2097번길 33, 가동 (신북면)",경기도 포천시 신북면 신평리 87-4번지 가동,구조용 금속 판제품 및 공작물 제조업,032-613-9377,4,"세대환기덕트, 환기챔버",부직포등
(주)정진금속,경기도 포천시 영중면 사은다리1길 37,경기도 포천시 영중면 거사리 480-8번지,"동 제련, 정련 및 합금 제조업",031-533-5112,17,동 비렛트 및 동 스라브,동금속
(주)정탑농산,경기도 포천시 어룡3길 46-36 (어룡동),경기도 포천시 어룡동 702-9번지,천연 및 혼합조제 조미료 제조업,031-573-0314,10,고춧가루,건고추
(주)정환테크노피아,경기도 포천시 가산면 마현3길 29 (총 2 필지) 외 1필지,경기도 포천시 가산면 금현리 987-5번지 외 1필지,육상 금속 골조 구조재 제조업 외 10 종,031-577-8430,4,"교통표지판, LED광고판, 구조물","알루미늄케이스, LED, PCB컨트롤 박스"
(주)정희식품,경기도 포천시 내촌면 금강로 3113-11 (총 4 필지) 외 3필지,경기도 포천시 내촌면신팔리 신팔리279-1 외 3필지,곡물 혼합분말 및 반죽 제조업,031-532-4987,16,빵가루,"밀가루,이스트,쇼트민등"
(주)제경전기,경기도 포천시 가산면 오성길 43-6,경기도 포천시 가산면 금현리 1082-24번지,기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,031-543-0771,5,"고정식단자대,콘트롤박스,금형","ABS, PS, AD, 철"
(주)제이씨솔루션,경기도 포천시 너배기길 34 -1(가산면) 다동,경기도 포천시 가산면 금현리 1132-13 다동,간판 및 광고물 제조업 외 2 종,031-969-9873,4,전광판,LED모듈
(주)제이앤푸드,경기도 포천시 소흘읍 죽엽산로 370 (총 3 필지) 외 2필지,경기도 포천시 소흘읍 고모리 283-2번지 외 2필지,커피 가공업 외 2 종,031-543-2840,35,"커피,국산차,미숫가루",
(주)제이에스산업정밀,경기도 포천시 내촌면 금강로2110번길 18-13 외 1필지,경기도 포천시 내촌면 음현리 391-1번지 외 1필지,"금속 문, 창, 셔터 및 관련제품 제조업 외 6 종",031-531-0012,20,"철문,변압기,배전판,자동판매기등",
(주)제이엘,"경기도 포천시 가산면 정금로238번길 59, 나동",경기도 포천시 가산면 정교리 27-42번지 나동,전기회로 접속장치 제조업,031-543-0841,3,전기 콘센트,알루미늄
(주)제이엘피산전,경기도 포천시 군내면 용정경제로1길 94-23,경기도 포천시 군내면 용정리 486-2,전구 및 램프 제조업 외 5 종,031-533-8265,14,"LED 조명기구, LED 항공장애표시등, 방폭 등기구, 제어반 등","LED, PC렌즈, 알루미늄 주물, 스테인리스 스틸 등"
(주)제이엠비,경기도 포천시 화현면 명덕리 425 외 2필지,경기도 포천시 화현면 명덕리 425 외 2필지,기타 비알코올 음료 제조업 외 1 종,031-534-2533,10,"페트병,탄산수","프리폼,탄산"
(주)제이엠커머스,경기도 포천시 군내면 용정경제로2길 84,경기도 포천시 군내면 용정리 483-26,일반용 전기 조명장치 제조업,02-448-0288,3,"가정용 조명기구, 스탠드","기판,PCB,플라스틱"
(주)제이피에스피씨,경기도 포천시 송선로 199-100 (설운동) 외 1필지,경기도 포천시 설운동 361-4번지 외 1필지,편조원단 제조업,031-544-9948,12,섬유직물,나일론 폴리에스틸
