순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품명,데이터기준일자
176,(주)에이덴,경기도 하남시 하남대로244번길 8 (상산곡동),경기도 하남시 상산곡동 119-28번지,주방용 전기기기 제조업,02-477-2677,02-477-2679,4,커피추출머신,2025-06-30
177,(주)에이씨스테크,"경기도 하남시 조정대로 150, 10층 1007호 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 10층 1007호,유선 통신장비 제조업,,050-4140-2523,5,디지털 통신용기기,2025-06-30
178,(주)에이아이엠,경기도 하남시 초광산단동로6번길 9 (광암동),경기도 하남시 광암동 402-1,"물질 검사, 측정 및 분석기구 제조업",031-745-2800,02-441-2802,23,"반도체 검사 및 측정장비, 2차전지 검사 및 측정장비",2025-06-30
179,(주)에이앤푸드,"경기도 하남시 하남대로 947, 10층 제에이-1018호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER 10층 제에이-1018호,수산식물 가공 및 저장 처리업,02-586-5486,02-585-5486,3,"구운김밥김, 김가루",2025-06-30
180,(주)에이치디지코리아,"경기도 하남시 조정대로 45, B3층 FB314호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 B3층 FB314호,간판 및 광고물 제조업 외 1 종,,031-5175-3611,10,"LED경관조명,원목가공제품 등, LED경관조명,원목가공제품 등",2025-06-30
181,(주)에이치브레인(H Brain),"경기도 하남시 조정대로 150, 7층 748 (덕풍동)",경기도 하남시 덕풍동 762번지 7층 748,비디오 및 기타 영상기기 제조업,,031-624-4969,10,CCTV용 카메라,2025-06-30
182,(주)에이치앤브이,"경기도 하남시 하남대로 947, 7층 B701호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER 7층 B701호,구조용 금속 판제품 및 공작물 제조업 외 1 종,031-432-2375,031-432-2376,3,방음판,2025-06-30
183,(주)에이치에스씨코리아,경기도 하남시 고골로297번길 98-6 (상사창동),경기도 하남시 상사창동 203-7번지,주형 및 금형 제조업,031-793-5085,031-794-5085,16,"반도체, LCD금형",2025-06-30
184,(주)에이치엔에스,"경기도 하남시 검단산로 224 (창우동, 코오롱 스포츠)",경기도 하남시 창우동 284-5 번지,"근무복, 작업복 및 유사의복 제조업 외 2 종",031-792-5942,031-794-5910,3,"근무복, 작업복",2025-06-30
185,(주)에이치케이,"경기도 하남시 하남대로 947, D동 602호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER D동 602호,비내화 모르타르 제조업,02-461-0900,02-461-4132,11,미장용 모르타르,2025-06-30
186,(주)에이케이지씨,"경기도 하남시 조정대로 45, 5층 F554호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 5층 F554호,"레이더, 항행용 무선기기 및 측량기구 제조업 외 2 종",02-711-5332,02-711-5515,6,"지진계측장비, 소프트웨어개발, 보드커넥터장착용 패널, 지지대 및 그 유사제품, 광다중화기",2025-06-30
187,(주)에코로이드,"경기도 하남시 하남대로 947, B동 B-141호, A동 818호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B동 B-141호, A동 818호",주방용 전기기기 제조업,,0504-184-4039,5,"주방용 쓰레기 처리(전동식,부착식)",2025-06-30
188,(주)에코케스트,경기도 하남시 하남대로186번길 65 (상산곡동),경기도 하남시 상산곡동 204,"치약, 비누 및 기타 세제 제조업 외 1 종",031-792-7397,031-792-7397,4,"생활화학제품, 향균탈취제, 손세정젤",2025-06-30
189,(주)엔에스이엘씨,"경기도 하남시 미사강변서로 25, 445,446호 (풍산동, 미사 테스타타워 지식산업센터)","경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 445,446호",배전반 및 전기 자동제어반 제조업,031-790-1911,031-790-1914,10,"프로세서제어반,계장제어반",2025-06-30
190,(주)엔에스정보통신,"경기도 하남시 하남대로 990, B3층 314호(풍산동, 로얄팰리스 테크노1차)",경기도 하남시 풍산동 601 로얄팰리스 테크노1차 B3층 314호,유선 통신장비 제조업 외 1 종,070-7872-3500,,3,"광다중화장치, 무선장비",2025-06-30
191,(주)엔젤로보틱스,"경기도 하남시 조정대로 150, 1층 106,108,110,112,114,115호(덕풍동, 아이테코) 외 1필지","경기도 하남시 덕풍동 762 아이테코 1층 106,108,110,112,114,115호",정형외과용 및 신체보정용 기기 제조업 외 2 종,02-6376-5923,02-6094-0166,18,"착용형 로봇(재활보조 의료기기), 근력보조 슈트(허리보호 등), 착용형 로봇(재활보조 의료기기), 근력보조 슈트(허리보호 등), 착용형 로봇(재활보조 의료기기), 근력보조 슈트(허리보호 등)",2025-06-30
192,(주)엘엔씨,"경기도 하남시 조정대로 45, 8층 F846호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 8층 F846호,기타 조명장치 제조업 외 3 종,,,1,"LED경관조명기구, 가로등 자동점멸기, 조명제어장치",2025-06-30
193,(주)엘티레이라,"경기도 하남시 하남대로 990, 615호(풍산동, 로얄팰리스 테크노1차)",경기도 하남시 풍산동 601 로얄팰리스 테크노1차 615호,일반용 전기 조명장치 제조업 외 1 종,,,2,"오피스라인 조명, LED간판 조명",2025-06-30
194,(주)엠와이,"경기도 하남시 하남대로 947, D동 13층 1308호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER D동 13층 1308호,일반용 전기 조명장치 제조업,02-2205-1125,02-454-1120,1,방수형 LED스트링 조명,2025-06-30
195,(주)엠케이플러스,"경기도 하남시 하남대로 947 (풍산동) 하남테크노밸리 U1 CENTER D동 8층 801호,802호,803호",경기도 하남시 풍산동 618-0 하남테크노밸리 U1 CENTER,기타 직물제품 제조업,031-5180-3373,031-5180-3374,3,마스크,2025-06-30
196,(주)영민섬유,경기도 하남시 하남대로186번길 7 (상산곡동),경기도 하남시 상산곡동 170-2번지,그 외 기타 의복액세서리 제조업 외 1 종,031-794-8034,031-794-8157,10,"피유테이프,밴드",2025-06-30
197,(주)영신피앤엘,경기도 하남시 초광산단로 73 (광암동),경기도 하남시 광암동 399-2번지,경 인쇄업,02-465-8008,02-465-3267,72,상업용인쇄물(스티커외),2025-06-30
198,(주)영천케미칼,"경기도 하남시 조정대로 150, 1013호(덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 1013호,그 외 기타 분류 안된 화학제품 제조업 외 1 종,031-790-0800,031-790-0806,7,"청관제(PC-100), 종균제(EN-BIO), 수영장응집제(아쿠아폴리100), 냉각수처리제(레이조-크린)",2025-06-30
199,(주)예감,"경기도 하남시 청뜰로 5, 101호 (풍산동)",경기도 하남시 풍산동 253-1 101호,편조의복 제조업 외 30 종,031-796-0869,070-8290-1580,22,"포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등, 포제명찰, 편조의복, 근무복, 작업복, 점퍼,치마,바지,조끼,군복, 우의 등",2025-06-30
200,(주)오로시지엔디,"경기도 하남시 미사강변중앙로31번길 30, 1010,1011,1012,1013호 (풍산동, 미사동일 넥서스)","경기도 하남시 풍산동 588-5 미사동일 넥서스 1010,1011,1012,1013호",아이스크림 및 기타 식용빙과류 제조업,031-795-7457,031-795-7458,6,"젤라또, 소르베또",2025-06-30
201,(주)오썸피아,"경기도 하남시 미사강변중앙로31번길 30, 919호(풍산동)",풍산동 588-5 919호,비디오 및 기타 영상기기 제조업,02-569-7177,02-569-7178,22,XR망원경,2025-06-30
202,(주)와이즈네스코,"경기도 하남시 조정대로 150,  하남아이테코 534,535호 (덕풍동)","경기도 하남시 덕풍동 762 번지 하남아이테코 534,535호",사무용 기계 및 장비 제조업 외 3 종,031-790-1390,031-790-1396,30,"좌석발권기, 출입관리기",2025-06-30
203,(주)우리정보기술단,경기도 하남시 초광산단서로16번길 21 (초이동),경기도 하남시 초이동 623-4번지,방송장비 제조업 외 2 종,070-4367-5254,02-586-0088,15,"방송장치, CCTV, 영상감시장치, 기상전광판,기타무선통신장비 , 표시등",2025-06-30
204,(주)우바퍼니처,"경기도 하남시 미사강변서로 30, 304호(풍산동, 지식산업센터)",경기도 하남시 풍산동 490 지식산업센터 304호,소파 및 기타 내장가구 제조업,031-793-2338,031-793-5390,4,"소파, 가구",2025-06-30
205,(주)우신지엔지,경기도 하남시 미사강변서로 25 (풍산동) 미사 테스타타워 지식산업센터,경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터,간판 및 광고물 제조업,02-482-4669,02-482-4661,4,간판 및 광고물,2025-06-30
206,(주)우일인더스트리,경기도 하남시 초광산단로 126 (광암동),경기도 하남시 광암동 409-5번지,세폭직물 제조업,031-8028-6050,031-8028-6040,11,끈,2025-06-30
207,(주)원강바이오,"경기도 하남시 조정대로 150, 4층 445호 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 4층 445호,농업 및 임업용 기계 제조업,02-382-7647,031-790-4490,10,"스마트무인방제기,농업용방제기",2025-06-30
208,(주)월드플로어,"경기도 하남시 초광산단로 36-2(초이동, 하남 월드플로어 사옥)",경기도 하남시 초이동 627-3 하남 월드플로어 사옥,"금속 문, 창, 셔터 및 관련제품 제조업",02-3442-1010,02-514-9787,18,"금속문,창호(샤시)",2025-06-30
209,(주)유민퍼프,"경기도 하남시 조정대로 45, B1층 FB126,FB119,FB120,FB121 (풍산동)","경기도 하남시 풍산동 493번지 B1층 FB126,FB119,FB120,FB121",그 외 기타 달리 분류되지 않은 제품 제조업,031-796-3020,031-792-1885,22,화장용분첩,2025-06-30
210,(주)유일푸드,경기도 하남시 신우실로 130(감이동),경기도 하남시 감이동 478-2,천연 및 혼합조제 조미료 제조업,02-475-9088,02-475-9099,48,소스류,2025-06-30
211,(주)유진컴퍼니,"경기도 하남시 하남대로 947, C동 5층 508,509호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동 5층 508,509호",기타 가죽제품 제조업 외 1 종,070-8859-0179,02-6008-4665,12,가죽테이블 매트,2025-06-30
212,(주)유티지,경기도 하남시 신우실로110번길 36 (감이동),경기도 하남시 감이동 475-8,낚시 및 수렵용구 제조업 외 1 종,02-2051-8411,02-2051-8412,8,"열상조준경, 피아식별IR, 수렵용구(레이저 교전장비,사격표적)",2025-06-30
213,(주)윤성지앤티,"경기도 하남시 조정대로 35, F502, F618호(풍산동, 미사 하우스디 엘타워)","경기도 하남시 풍산동 492 미사 하우스디 엘타워 F502, F618호",산업용 송풍기 및 배기장치 제조업 외 1 종,02-3411-2119,02-3411-3119,5,"송풍기, 배기장치, 과압배출구, 소화용분사기",2025-06-30
214,(주)을지전기,경기도 하남시 감일로15번길 54 (감일동),경기도 하남시 감일동 327,전동기 및 발전기 제조업,02-406-1214,02-402-0166,54,"단산,3상 유도 전동기",2025-06-30
215,(주)이루에프씨,경기도 하남시 대성로69번길 6 (춘궁동),경기도 하남시 춘궁동 424-5번지,곡물 혼합분말 및 반죽 제조업,02-486-3392,02-486-3394,4,곡물혼합분말,2025-06-30
216,(주)이맥스,"경기도 하남시 조정대로 150, 아이테코 555호 (덕풍동)",경기도 하남시 덕풍동 762번지,가방 및 기타 보호용 케이스 제조업,070-7015-7400,031-790-4099,3,가방,2025-06-30
217,(주)이보텍,"경기도 하남시 조정대로 150, 7층 706호 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 7층 706호,그 외 기타 가구 제조업,070-7726-3162,02-2269-6684,2,폐쇄형 디지털 자막기,2025-06-30
218,(주)이안디자인,경기도 하남시 미사강변서로 25 (풍산동),경기도 하남시 풍산동 489-0,간판 및 광고물 제조업 외 3 종,031-794-7979,031-794-7090,6,"간판, 금속제 조립식 건물 및 그 구성품 제조,철골조립 육상구조재 제조,금속지붕 및 벽면제조",2025-06-30
219,(주)이안씨앤에스,"경기도 하남시 조정대로 35, F310호, F311호, F312호 (풍산동)","경기도 하남시 풍산동 492번지 F310호, F311호, F312호",그 외 기타 플라스틱 제품 제조업 외 3 종,02-456-7597,02-456-7597,6,"교통안전시설(델리네이터),일반철물,기타금속가공제품,간판및광고물",2025-06-30
220,(주)이에스시솔루션,"경기도 하남시 하남대로 947, C동 1009호 (풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동 1009호,공기 조화장치 제조업,02-423-9305,070-5184-7755,10,방화댐퍼,2025-06-30
221,(주)이에스에스코리아,"경기도 하남시 조정대로 45, 5층 F554 (풍산동)",경기도 하남시 풍산동 493번지 5층 F554,"전기회로 개폐, 보호장치 제조업",031-8027-2000,031-8027-2073,4,누전차단기,2025-06-30
222,(주)이엘비앤티,"경기도 하남시 산곡동로 75 (하산곡동, R%D Canter) 외 1필지",경기도 하남시 하산곡동 295-2번지,승용차 및 기타 여객용 자동차 제조업,031-796-8870,031-796-8874,5,"전기이륜차,자동차",2025-06-30
223,(주)이텍피엔지,"경기도 하남시 미사강변서로 25, 6층 F649호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 6층 F649호,전기경보 및 신호장치 제조업 외 1 종,02-412-6657,02-412-6658,9,"주차관제시스템, 주차차단기,차량번호인식기, 주차요금정산기등",2025-06-30
224,(주)인스팅터스,"경기도 하남시 조정대로 45, 8층 810,811 (풍산동)","경기도 하남시 풍산동 493번지 8층 810,811",화장품 제조업,02-1644-2674,050-4449-6472,10,화장품,2025-06-30
225,(주)인테크,"경기도 하남시 미사강변서로 25, F519호 (풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 F519호,유선 통신장비 제조업,02-417-0667,02-418-0667,14,"통합단자함, 통신용패치코드(유선전화기용 전용부품)",2025-06-30
226,(주)인텍티에스,"경기도 하남시 미사강변서로 25, 8층 825호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 8층 825호,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",02-6081-0002,02-6081-0004,12,"자동문,회전문,창호철물,전동기,경첩",2025-06-30
227,(주)인포인네트웍스,"경기도 하남시 조정대로 150, 하남아이테코 770호 (덕풍동)",경기도 하남시 덕풍동 762번지,방송장비 제조업 외 4 종,031-790-4606,031-790-4608,12,"CCTV, 영상녹화장치, 라디오방송수신기,스피커시스템, 광케이블 전송시스템",2025-06-30
228,(주)일로산전,"경기도 하남시 하남대로 947, B동 415호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER B동 415호,배전반 및 전기 자동제어반 제조업,02-474-2807,02-474-2808,6,배전반 및 자동제어반,2025-06-30
229,(주)재원에프앤에스,경기도 하남시 감초로52번길 30 (감북동),경기도 하남시 감북동 345-37번지,도시락류 제조업,02-403-8295,02-403-8274,8,급식용식사,2025-06-30
230,(주)정마루푸드,"경기도 하남시 초광산단로 86, 2층(광암동)",경기도 하남시 광암동 405 2층,도시락류 제조업,02-441-7448,02-441-7449,12,도시락,2025-06-30
231,(주)정문대리석,경기도 하남시 초광산단로 38 (초이동),경기도 하남시 초이동 627-2,건설용 석제품 제조업,02-428-8769,02-428-8362,1,"석재,성형가공석제 및 석제품(건설용석재)",2025-06-30
232,(주)제니스메드,"경기도 하남시 조정대로 150, 1014호 (덕풍동, 아이테코)",경기도 하남시 덕풍동 762 아이테코 1014호,의료용품 및 기타 의약 관련제품 제조업,,,4,멸균부직포,2025-06-30
233,(주)제니스티,"경기도 하남시 조정대로 150, 10층 1028 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 10층 1028,정형외과용 및 신체보정용 기기 제조업,031-790-0025,031-790-0026,17,의료기기(척추시술기구),2025-06-30
234,(주)제미니씨엔씨,"경기도 하남시 감북로27번길 80-10, 1층 (감북동)",경기도 하남시 감북동 338-1 1층,그 외 기타 전자부품 제조업,02-467-6104,02-467-6105,7,PCB회로판,2025-06-30
235,(주)제이디이엔지,경기도 하남시 초광산단로 32(초이동),경기도 하남시 초이동 626-2,"금속 문, 창, 셔터 및 관련제품 제조업",02-428-7737,031-791-7792,6,"금속제창문제조, 철문제조, 샤시문",2025-06-30
236,(주)제이디케이에이티,"경기도 하남시 하남대로 990, 2층 213호(풍산동, 로얄팰리스 테크노1차)",경기도 하남시 풍산동 601 로얄팰리스 테크노1차 2층 213호,전시 및 광고용 조명장치 제조업 외 3 종,,,5,"전광판, LED컨트롤러, 프로세서, 방송장비, 카메라, 영상전송장치",2025-06-30
237,(주)제이엠피시스템,"경기도 하남시 미사강변서로 25, F615, F616 (풍산동)","경기도 하남시 풍산동 489번지 F615, F616",기타 무선 통신장비 제조업,02-415-0020,02-415-0029,17,"무선랜액세스포인트,와이파이모듈, 통신장비(무선통신중계기)",2025-06-30
238,(주)제이와이프로테크,"경기도 하남시 조정대로 150, 9층 962 (덕풍동)",경기도 하남시 덕풍동 762번지,주형 및 금형 제조업,031-790-4507,050-2790-4509,4,"반도체금형부품,LED금형부품외",2025-06-30
239,(주)주신에이브이티,"경기도 하남시 조정대로 150, 5층 547 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 5층 547,방송장비 제조업 외 1 종,070-7018-9700,031-790-4007,3,"방송장비(CCTV), 기타음향기기",2025-06-30
240,(주)준영커뮤니케이션,"경기도 하남시 조정대로 35, 미사하우스디엘타워 F516-1호 (풍산동)",경기도 하남시 풍산동 492번지 미사하우스디엘타워 F516-1호,간판 및 광고물 제조업,02-2274-3252,02-2268-3252,3,옥외 사인몰,2025-06-30
241,(주)줌에이앤디,경기도 하남시 초광산단동로6번길 59 (광암동),경기도 하남시 광암동 408-3번지,그 외 기타 플라스틱 제품 제조업,02-449-5080,02-449-5047,16,"화장품진열대, 담배진열대",2025-06-30
242,(주)중앙엔트리,경기도 하남시 초일로 175-1 (초일동),경기도 하남시 초일동 215-7번지,"금속 문, 창, 셔터 및 관련제품 제조업",031-793-4289,031-793-4349,5,"회전문,자동문",2025-06-30
243,(주)중원파워,"경기도 하남시 서하남로451번길 70, 나동 (춘궁동)",경기도 하남시 춘궁동 267-2 번지 나동,"전기회로 개폐, 보호장치 제조업 외 1 종",070-7725-5560,02-2202-0328,4,콘센트,2025-06-30
244,(주)지앤이헬스케어,경기도 하남시 초광산단동로6번길 55 (광암동),경기도 하남시 광암동 408-2번지,그 외 기타 분류 안된 섬유제품 제조업,070-7882-7493,02-2178-9498,64,여성위생용품(위생용 생리대),2025-06-30
245,(주)지엔씨팜,경기도 하남시 풍초로 119 (초일동),경기도 하남시 초일동 108-9번지,기타 과실ㆍ채소 가공 및 저장 처리업,031-790-1517,031-790-1519,6,탈피은행,2025-06-30
246,(주)지엔티엘,"경기도 하남시 조정대로 150, 하남아이테코 614호 (덕풍동)",경기도 하남시 덕풍동 762 번지 하남아이테코 614호,일반용 전기 조명장치 제조업 외 1 종,031-790-1897,,7,LED조명기기 등,2025-06-30
247,(주)지엘어소시에이츠,"경기도 하남시 미사강변서로 25, 3층 F325호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 3층 F325호,전시용 모형 제조업,02-6918-8205,02-518-7437,4,전시용 실물모형,2025-06-30
248,(주)지준시스템 하남지점,"경기도 하남시 초광산단로 78, 3층301호 (광암동)",경기도 하남시 광암동 400-3번지 3층301호,유선 통신장비 제조업 외 4 종,02-2088-2288,050-5244-2288,3,"통신기기,일반용전기조명장치,휴대용조명장치",2025-06-30
249,(주)지지테크,경기도 하남시 검단산로102번길 19 (하산곡동),경기도 하남시 하산곡동 33 번지,복합비료 및 기타 화학비료 제조업,031-796-1228,031-796-1229,2,아미노산액상비료,2025-06-30
250,(주)진모피,"경기도 하남시 조정대로 150, 아이테코 524호 (덕풍동)",경기도 하남시 덕풍동 762번지,모피제품 제조업 외 1 종,031-790-4570,031-790-4569,9,모피 의,2025-06-30
251,(주)진올바이오테크놀러지,"경기도 하남시 하남대로 947, A동 1201, 1202, 1203, 1204호(풍산동, 하남테크노밸리 U1 CENTER) 외 1필지","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 1201, 1202, 1203, 1204호",그 외 기타 분류 안된 화학제품 제조업 외 1 종,02-407-0096,02-407-0779,20,"핵산추출키트(이화학,의약용 조제 및 분석 시약 키트제조)",2025-06-30
252,(주)진원테크,경기도 하남시 하남대로 947 (풍산동) B동 B1층 136호,경기도 하남시 풍산동 618-0,기타 직물제품 제조업,02-3673-1330,02-6442-2688,10,마스크,2025-06-30
253,(주)천마스타,"경기도 하남시 하남대로 947, C동 6층 602호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER C동 6층 602호,기타 가정용 전기기기 제조업,02-2249-4228,02-2249-2973,8,진공청소기 및 마루 광택기,2025-06-30
254,(주)청림인터내셔날,경기도 하남시 서하남로47번길 35 (감북동),경기도 하남시 감북동 405-15번지,모자 제조업,02-487-2345,02-487-2334,7,모자,2025-06-30
255,(주)친환경식품,경기도 하남시 춘궁로35번길 62 (하사창동),경기도 하남시 하사창동 231-3번지,두부 및 유사식품 제조업,02-478-7775,031-792-1929,12,"손두부,순두부",2025-06-30
256,(주)카인즈바이오틱스,"경기도 하남시 조정대로 35, 미사하우스디엘타워 F514-1호, FB203호, SB518호, SB514호 (풍산동)","경기도 하남시 풍산동 492번지 미사하우스디엘타워 F514-1호, FB203호, SB518호, SB514호",기타 과실ㆍ채소 가공 및 저장 처리업,02-400-2009,02-6442-8035,0,신선초화이버 건조분말(과야채가공품),2025-06-30
257,(주)캐스트코아,"경기도 하남시 하남대로 947, D동 1210, B동 1513호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER D동 1210, B동 1513호",유선 통신장비 제조업 외 3 종,02-406-0205,031-5180-3205,7,"다중화장치(디지털신호전송방식),유선및무선방송전송기,무선전신용송신기,비디오및기타영상기기",2025-06-30
258,(주)캠프리본,"경기도 하남시 하남대로 947, A동 1009호, 1010호, 1011호, 1014호(풍산동, 하남테크노밸리 U1 CENTER) 외 1필지","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 1009호, 1010호, 1011호, 1014호","근무복, 작업복 및 유사의복 제조업 외 6 종",02-6428-8806,02-6280-2956,50,"남자용점퍼, 여자용점퍼, 내복, 티셔츠, 근무복, 작업복, 가운, 카디건",2025-06-30
259,(주)케이쓰리아이,"경기도 하남시 조정대로 45, 3층 에프341(좌측 일부)호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 3층 에프341(좌측 일부)호,전시용 모형 제조업,042-861-8551,042-863-0301,2,4D체어(실물모형 및 전시물제조),2025-06-30
260,(주)케이알테크,경기도 하남시 초광산단동로6번길 51 (광암동),경기도 하남시 광암동 408-1,고무패킹류 제조업 외 1 종,02-442-1051,02-442-1053,20,"고무패킹,보호TAPE,고무롤라",2025-06-30
261,(주)케이엠파워,"경기도 하남시 조정대로 45, 2층 F212 (풍산동)",경기도 하남시 풍산동 493번지 2층 F212,기타 전기 변환장치 제조업,031-5175-3635,031-5175-3632,31,무정전전원장치,2025-06-30
262,(주)케이피반드시,"경기도 하남시 미사강변중앙로31번길 30, 616호(풍산동, 미사동일 넥서스)",경기도 하남시 풍산동 588-5 미사동일 넥서스 616호,전시용 모형 제조업,070-4288-6501,,2,실물모형,2025-06-30
263,(주)코아시스컴퍼니,"경기도 하남시 조정대로 35, 미사하우스디엘타워 F416-1호, F416-2호 (풍산동)","경기도 하남시 풍산동 492번지 미사하우스디엘타워 F416-1호, F416-2호",화장품 제조업,02-482-1949,02-6442-1949,3,화장품,2025-06-30
264,(주)코텍전자,"경기도 하남시 조정대로 150,  아이테코 560호 (덕풍동)",경기도 하남시 덕풍동  762번지,그 외 기타 전자부품 제조업 외 1 종,031-790-1880,031-790-1808,50,"DPS, DAS, 전광판, A-PICKER",2025-06-30
265,(주)퀀텍,"경기도 하남시 조정대로 45, 에프549호(풍산동, 미사센텀비즈)",경기도 하남시 풍산동 493 미사센텀비즈 에프549호,전기식 진단 및 요법 기기 제조업,02-540-0584,02-6442-0100,7,"범용전기수술기, 지방흡인기, 초음파자극기",2025-06-30
266,(주)크린앤사이언스,경기도 하남시 덕풍북로6번길 28-13 (덕풍동),경기도 하남시 덕풍3동 301-15번지,그 외 기타 종이 및 판지 제품 제조업,02-550-0800,031-794-0225,6,자동차여과지,2025-06-30
