회사명,단지명,전화번호,팩스번호,업종명,생산품,소재지도로명주소,소재지지번주소,데이터기준일자
주식회사 빵쌤에프앤비,,031-585-8004,031-585-8003,빵류 제조업,빵류,경기도 가평군 상면 축령로 28,경기도 가평군 상면 행현리 15-1,2025-05-21
주식회사 세은,,031-569-0330,,농업 및 임업용 기계 제조업,농업용 기자재,경기도 가평군 가평읍 태봉두밀로 3,경기도 가평군 가평읍 상색리 109-1번지,2025-05-21
주식회사 신화,가평목동일반산업단지,031-581-6265,031-581-6266,시계 및 시계부품 제조업 외 1 종,"근무복, 작업복, 시계",경기도 가평군 북면 화악산로 136,경기도 가평군 북면 목동리 699-7,2025-05-21
주식회사 아쿠아파크,,,031-581-9081,오락 및 스포츠용 보트 건조업,수상레저용품,경기도 가평군 가평읍 경춘로 1811-41 (상민가구도매),경기도 가평군 가평읍 상색리 238-7번지 상민가구도매,2025-05-21
주식회사 엠케이시스템,,031-585-9355,031-585-9356,비동력식 수공구 제조업 외 9 종,주방기구 및 제약비품,경기도 가평군 상면 청군로 1579-64 외 2필지,경기도 가평군 상면 원흥리 526-12 외 2필지,2025-05-21
주식회사 와이즈네스코,,031-790-1390,,기타 주변기기 제조업 외 3 종,"출입통제시스템, 제작가구, IOT 가구",경기도 가평군 설악면 유명로 1865-56,경기도 가평군 설악면 회곡리 43,2025-05-21
주식회사 우드 위드 다솜,,031-582-1100,031-582-1101,기타 목재가구 제조업,기타목제 제품,경기도 가평군 가평읍 호반로 2617 (가평제일부동산),경기도 가평군 가평읍 대곡리 108-4번지 가평제일부동산,2025-05-21
주식회사 정호,,031-584-0088,070-7613-3622,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,"토질안정재, 시멘트혼화재 등 지반 주입재",경기도 가평군 설악면 위곡리 62-1번지 외 1필지,경기도 가평군 설악면 위곡리 62-1 외 1필지,2025-05-21
주식회사 지엠로드,,031-594-8308,031-594-8309,육상 금속 골조 구조재 제조업 외 3 종,"신축이음장치, 교량용품",경기도 가평군 상면 청군로 1579-100,경기도 가평군 상면 태봉리 526-20번지,2025-05-21
주식회사 카브루,,070-4394-0216,,맥아 및 맥주 제조업,맥주,경기도 가평군 상면 비룡로 2118,경기도 가평군 상면 태봉리 49-2,2025-05-21
주식회사 크리스탈샘물,,031-584-1185,031-901-1473,기타 비알코올 음료 제조업,생수,경기도 가평군 설악면 회곡안골길 146 (크리스탈생수공업사),경기도 가평군 설악면 회곡리 699-3번지,2025-05-21
주식회사 현대산업기계,,031-585-2444,031-285-2445,금속 성형기계 제조업 외 1 종,"유압전단기, 유압프레스",경기도 가평군 상면 녹수계곡로 13-22,경기도 가평군 상면 덕현리 494-5,2025-05-21
주식회사 황토지오,,,031-584-0484,그 외 기타 금속가공업,황토집 벽자재,경기도 가평군 상면 축령로70번길 169-23,경기도 가평군 상면 항사리 615-4번지,2025-05-21
주식회사가리미,,,031-581-7118,수산식물 가공 및 저장 처리업,잣김,경기도 가평군 북면 가화로 2886,경기도 가평군 북면 적목리 108번지,2025-05-21
지민농원,,,,그 외 기타 식료품 제조업,논우렁,경기도 가평군 상면 항사리 355번지,경기도 가평군 상면 항사리 355번지,2025-05-21
철철이벽난로,,,,금속 단조제품 제조업 외 1 종,"벽난로, 단조철물",경기도 가평군 상면 비룡로 1656,경기도 가평군 상면 상동리 345-17번지,2025-05-21
청솔식품,,031-584-8914,,곡물 제분업,냉면가루,경기도 가평군 청평면 소돌말길 117,경기도 가평군 청평면 대성리 115-1번지,2025-05-21
청운전자,,031-582-6331,,그외 기타 의료용 기기 제조업,골판지,경기도 가평군 가평읍 석봉로191번길 57 ((주)효자원FD),경기도 가평군 가평읍 읍내리 864번지,2025-05-21
청평정미소,,031-584-0477,,곡물 도정업,쌀,경기도 가평군 청평면 경춘로 1213 (청평정미소),경기도 가평군 청평면 상천리 1151-49번지,2025-05-21
청평제재소,,031-584-4600,,일반 제재업,"각재,판지",경기도 가평군 청평면 마지기길 8,경기도 가평군 청평면 하천리 481-3번지,2025-05-21
크리스티나무역,,031-585-8340,,그 외 기타 플라스틱 제품 제조업,악세사리,경기도 가평군 상면 벌말길 24,경기도 가평군 상면 항사리 132-1번지,2025-05-21
태양선박,가평목동일반산업단지,,,설치용 및 위생용 플라스틱제품 제조업 외 5 종,"선박, FRP제품",경기도 가평군 북면 화악산로124번길 18-21,경기도 가평군 북면 목동리 699-28번지,2025-05-21
태형가구,,031-584-2981,031-584-2983,기타 목재가구 제조업,가구,경기도 가평군 상면 봉수로 40-105 (태형가구산업),경기도 가평군 상면 봉수리 101-2 번지,2025-05-21
테크원모터스(주),,031-582-5022,031-581-4125,건설 및 채광용 기계장비 제조업,건설기계정비(부분정비),경기도 가평군 가평읍 태봉두밀로 34-73 (테크원모터스) 외 1필지,경기도 가평군 가평읍 상색리 171-4번지 외 1필지,2025-05-21
평원산업,,031-584-0023,,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",벽돌,경기도 가평군 청평면 상지로 11-111,경기도 가평군 청평면 상천리 321-2번지,2025-05-21
플랜텍바이오주식회사,,031-584-0620,031-584-0630,표면광택제 및 실내가향제 제조업,방향제 원액,경기도 가평군 상면 비룡로 2268-38 (플랜텍바이오(주)),경기도 가평군 상면 연하리 189번지,2025-05-21
피드피아,,031-584-7092,,배합 사료 제조업 외 1 종,사료,경기도 가평군 설악면 설곡리 798번지 외 1필지 외 1필지,경기도 가평군 설악면 설곡리 798번지 외 1필지 외 1필지,2025-05-21
한양그라비아,,031-584-3836,,기타 인쇄업 외 1 종,그라비아인쇄,경기도 가평군 상면 한사간길 85-188 (한양그라비아),경기도 가평군 상면 항사리 567번지,2025-05-21
행복씽크,,,,주방용 및 음식점용 목재가구 제조업,싱크대,경기도 가평군 가평읍 가화로 481,경기도 가평군 가평읍 마장리 336-3,2025-05-21
현대가구산업,,,,기타 목재가구 제조업 외 1 종,싱크대 및 사무용가구류,,경기도 가평군 가평읍 상색리 235-5 외 1필지,2025-05-21
효자원식품,,,031-581-7550,그 외 기타 식료품 제조업,식품(도토리앙금),경기도 가평군 가평읍 석봉로191번길 57 ((주)효자원FD),경기도 가평군 가평읍 읍내리 864번지,2025-05-21
