È¸»ç¸í,¾÷Ã¼À¯Çü,¾÷Á¾¸í,»ý»êÇ°,ÀüÈ­¹øÈ£,ÆÑ½º¹øÈ£,¼ÒÀçÁöÁö¹øÁÖ¼Ò,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,µ¥ÀÌÅÍ±âÁØÀÏ
(ÁÖ)ÁêÄÚ,¹ýÀÎ,±â±â¿ë ÀÚµ¿ÃøÁ¤ ¹× Á¦¾îÀåÄ¡ Á¦Á¶¾÷,"»ê¾÷¿ë¹«¼±¸®¸ðÄÜ,È£ÀÌ½ºÆ®ÁÖÇàÆÇ³Ú",031-458-0061,031-458-0063,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 692-4¹øÁö 4Ãþ,"°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î27¹ø±æ 28-12, 4Ãþ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)Áö±¸¹°»ê,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷,"ÀüÀÚ,Åë½Å±â±â",031-278-1260,,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1243-2,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 70 (ºÎ°îµ¿),2025-09-15
(ÁÖ)ÁöºêÀÌÆ¼,¹ýÀÎ,±× ¿Ü ±âÅ¸ Æ¯¼ö¸ñÀû¿ë ±â°è Á¦Á¶¾÷ ¿Ü 2 Á¾," 2 Â÷ÀüÁö ÁÖÀÔÀåÄ¡, ¹Ì¿ë¿ë ¸¶½ºÅ©ÆÑ ÃæÁøÀåÄ¡, ÀÇ¾àÇ° ¿Ü Á¦Á¶ÀåÄ¡",031-8068-5450,031-8068-5451,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-43 ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷ 5Ãþ 501,502,503È£","°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52, 5Ãþ 501,502,503È£(´çÁ¤µ¿, ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷)",2025-09-15
(ÁÖ)ÁöºñÆ¼ÄÚ¸®¾Æ,¹ýÀÎ,¹æ»ç¼± ÀåÄ¡ Á¦Á¶¾÷,ÈÞ´ë¿ë¿¢½º·¹ÀÌ,031-454-9327,031-454-0427,"°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 39-3¹øÁö ½Å¶óÅ×Å©³ëºô °¡µ¿ 401, 402È£","°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 90, °¡µ¿ 401, 402È£ (´çµ¿, ½Å¶óÅ×Å©³ëºô)",2025-09-15
(ÁÖ)Áö½ºÄÚÇÁ,¹ýÀÎ,±× ¿Ü ±Ý¼ÓÆÄ½º³Ê ¹× ³ª»çÁ¦Ç° Á¦Á¶¾÷,ÀÇ·á±â±â(Ä¡°ú¿ë ¿ÍÀÌ¾î),031-452-2808,031-455-2808,"°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-45¹øÁö 3, 4Ãþ","°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 10-12, 3, 4Ãþ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)Áö¾ØÆ¼ÄÉ¾î,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷,"ÀÇ·á±â±â(Ã¤Ç÷¿ëÇ°, Ã¤Ç÷±â)",070-7622-3373,070-7614-3473,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Aµ¿ 2803È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Aµ¿ 2803È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)Áö¿¡½ºÆ¼¿¥,¹ýÀÎ,±¸Á¶¿ë ±Ý¼Ó ÆÇÁ¦Ç° ¹× °øÀÛ¹° Á¦Á¶¾÷ ¿Ü 1 Á¾,±Ý¼ÓÁ¦Ç° ÀÓ°¡°ø,031-464-4667,031-464-4669,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 448-10,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î13¹ø±æ 10-1 (´çÁ¤µ¿),2025-09-15
(ÁÖ)Áö¿¤ÇÇÄÚ¸®¾Æ,¹ýÀÎ,Æ÷Àå¿ë ÇÃ¶ó½ºÆ½ ¼ºÇü¿ë±â Á¦Á¶¾÷,È­ÀåÇ° ¿ë±â,031-227-7970,031-429-7300,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 216-3¹øÁö Aµ¿ 1,2,3Ãþ","°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î 56, Aµ¿ 1,2,3Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)Áö¿¥¿¡½º,¹ýÀÎ,°¡Á¤¿ë ºñÀü±â½Ä Á¶¸® ¹× ³­¹æ ±â±¸ Á¦Á¶¾÷,¿ø¸ñ Á¶¸®±â,031-447-4727,031-447-4274,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 694-5,°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î27¹ø±æ 7(±ÝÁ¤µ¿),2025-09-15
(ÁÖ)Áö¿À½Ã½ºÅÛ¸®¼­Ä¡,¹ýÀÎ,"±âÅ¸ ÃøÁ¤, ½ÃÇè, Ç×ÇØ, Á¦¾î ¹× Á¤¹Ð±â±â Á¦Á¶¾÷ ¿Ü 6 Á¾","ÀÚµ¿±â»ó°üÃøÀåºñ, ±â»ó°üÃøºÎÀÌ, ÇØ¾ç±â»ó°üÃøÀåºñ, ¼±¹Ú½ÅÈ£Á¶¸í(µî¸í±â), ¼±¹Ú½ÅÈ£Àåºñ, ÀÚ·á¼öÁýÀåÄ¡",031-5180-5700,031-624-4917,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿  1-40¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172 (±ÝÁ¤µ¿, ÇÑ¸²ÈÞ¸ÕÅ¸¿ö) (ÃÑ 2 ÇÊÁö) 1µ¿ Áö-1Ãþ B08È£",2025-09-15
(ÁÖ)Áö¿ÀÄÚ¸®¾ÆÀÌ¿£Áö,¹ýÀÎ,"ÀüÀÚ±â ÃøÁ¤, ½ÃÇè ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷ ¿Ü 1 Á¾",Åä¸ñ °èÃø±â(¼¾¼­),031-454-1780,031-452-1781,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-18¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 15-14, 1Ãþ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)Áö¿øÅ×Å©,¹ýÀÎ,"Àü±âÈ¸·Î °³Æó, º¸È£ÀåÄ¡ Á¦Á¶¾÷",wiring Harness,031-429-4868,031-429-4869,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1234-5¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷1·Î 11 (ºÎ°îµ¿),2025-09-15
(ÁÖ)ÁöÅØ,¹ýÀÎ,ÀüÀÚºÎÇ° ½ÇÀå±âÆÇ Á¦Á¶¾÷,SMT¿ë Carrier Plate,031-422-9588,0303-0422-9588,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3¹øÁö ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ 7Ãþ 701È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, 7Ãþ 701È£ (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ) ½ÅÀÏ¾ÆÀÌÆ¼À¯Åä 701È£",2025-09-15
(ÁÖ)Áø¿ì°­¾÷,¹ýÀÎ,"±Ý¼Ó ¹®, Ã¢, ¼ÅÅÍ ¹× °ü·ÃÁ¦Ç° Á¦Á¶¾÷","Ã¶°­Á¦Ç°,±³Á¤,¿¬¸¶",031-0456-1695,031-0458-7176,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 782¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷·Î510¹ø±æ 30 (´çµ¿, (ÁÖ)Áø¿ì°­¾÷)",2025-09-15
(ÁÖ)ÁøÄÚ¸®¾Æ,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÇÃ¶ó½ºÆ½ Á¦Ç° Á¦Á¶¾÷,Åë½Å±â±âºÎÇ°(Á¢ÂøÅ×ÀÙ¿ø´Ü°¡°øÇ°),031-454-1264,031-454-1265,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 363-5¹øÁö ÁöÃþ, 1Ãþ","°æ±âµµ ±ºÆ÷½Ã »êº»·Î85¹ø±æ 7, ÁöÃþ, 1Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)Ãµ¿ì½Ç¾÷,¹ýÀÎ,Æ÷Àå¿ë ÇÃ¶ó½ºÆ½ ¼ºÇü¿ë±â Á¦Á¶¾÷,È­ÀåÇ° ¿ë±â,031-429-6724,031-451-3442,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 78-10¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î48¹ø±æ 52-19 (´çÁ¤µ¿),2025-09-15
(ÁÖ)ÃµÀÏÁ¤¹Ð,¹ýÀÎ,±âÅ¸ ±â°è.Àåºñ Á¶¸³¿ë ÇÃ¶ó½ºÆ½ Á¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,Light Gude Panel,031-456-4572,031-456-4573,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 104-3¹øÁö 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¹ú»õÀü¸®±æ 19, 2Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)Ã»¹Ì½ÄÇ°,¹ýÀÎ,"¸é·ù, ¸¶Ä«·Î´Ï ¹× À¯»ç½ÄÇ° Á¦Á¶¾÷","¸é·ù(»ý¸é·ù) »ýÄ®±¹¼ö,»ý¿ìµ¿,»ýÁßÈ­¸é,»ý¶ó¸à,µî",031-442-0274,031-427-0279,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 351-2,°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 103(´çÁ¤µ¿),2025-09-15
(ÁÖ)Ã»¿îÆÄ¿öÅØ,¹ýÀÎ,±× ¿Ü ÀÚµ¿Â÷¿ë ½ÅÇ° ºÎÇ° Á¦Á¶¾÷ ¿Ü 3 Á¾,"ÀÚµ¿Â÷ºÎÇ°,key box",031-458-3317,031-453-4905,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 363-7¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î 85-8 (´çÁ¤µ¿),2025-09-15
(ÁÖ)Ã»¿ø¸ÞÀÌÆ®,¹ýÀÎ,¾×Ã¼ ¿©°ú±â Á¦Á¶¾÷ ¿Ü 1 Á¾,"Á¤¼ö±â, ºñµ¥,Á¤¼ö½Ã¼³,Á¤¼ö±âºÎÇ°",031-451-0421,031-8068-1080,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Bµ¿ 709È£, B318È£","°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Bµ¿ 709È£, B318È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)ÃÊÀÌ½ºÅ×Å©³î·ÎÁö,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 5 Á¾,"¹«¼±Åë½ÅÀåºñ,ÀüÀÚºÎÇ°,±¤ÇÐ±â±â,ÀÇ·á±â±â",032-246-3404,032-246-3406,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 470-1,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 38(´çÁ¤µ¿),2025-09-15
(ÁÖ)Ãæ¹«¿ë»çÃÌ,¹ýÀÎ,ÀÏ¹Ý¿ë Àü±â Á¶¸íÀåÄ¡ Á¦Á¶¾÷ ¿Ü 2 Á¾,"Á¶¸í±â±¸,½Ç¹°¸ðÇü",031-453-9484,031-453-9487,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-36¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 14, 401-2È£ (»êº»µ¿, ¾ÆÆú·ÎÅ¸¿î °øÀå)",2025-09-15
(ÁÖ)Ä«¸¶·ç,¹ýÀÎ,"Ä«Æê, ¸¶·çµ¤°³ ¹× À¯»çÁ¦Ç° Á¦Á¶¾÷",(¿ÏÁ¦Ç°)Â÷·®¿ë¸ÅÆ®,031-429-7960,031-429-7961,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 692-5¹øÁö,°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î27¹ø±æ 28-6 (±ÝÁ¤µ¿),2025-09-15
(ÁÖ)ÄÉ¾îÁ¨,¹ýÀÎ,È­ÀåÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,"È­ÀåÇ°, ´Ü¹éÁú",031-420-9200,031-452-3869,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 690-3,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 272(±ÝÁ¤µ¿),2025-09-15
(ÁÖ)ÄÉ¾îÁ¨,¹ýÀÎ,È­ÀåÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,±âÃÊÈ­ÀåÇ°,031-420-9200,031-452-3869,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 690-4¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 270 (±ÝÁ¤µ¿),2025-09-15
(ÁÖ)ÄÉÀÌµð¿¤¾¾,¹ýÀÎ,µµÀå ¹× ±âÅ¸ ÇÇ¸·Ã³¸®¾÷,"Àý»è°ø±¸, ¹ÝÁ¦Ç°",031-477-3800,031-477-3900,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 482-1,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î75¹ø±æ 30-7(´çÁ¤µ¿),2025-09-15
(ÁÖ)ÄÉÀÌºñ¿¤¾ØÆ¼,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷,¹«¼±Åë½Å±â±â ¿Ü,070-8946-0422,070-8946-0422,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 325-33¹øÁö »ïÇ³µ¥ÆÄÆ® 5Ãþ 501,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 57, 5Ãþ 501 (´çÁ¤µ¿, »ïÇ³µ¥ÆÄÆ®)",2025-09-15
(ÁÖ)ÄÉÀÌ¾¾Å×Å©,¹ýÀÎ,°æ ÀÎ¼â¾÷,°æÀÎ¼â ÇÊ¸§,031-842-2624,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1¹øÁö 9Ãþ 910-3,"°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, 9Ãþ 910-3 (´çÁ¤µ¿)",2025-09-15
(ÁÖ)ÄÉÀÌ¾ÆÀÌÆ¼ÀÌ³ëº£ÀÌ¼Ç,¹ýÀÎ,»ê¾÷Ã³¸®°øÁ¤ Á¦¾îÀåºñ Á¦Á¶¾÷ ¿Ü 3 Á¾,"´ÙÀÌº»´õ, ·»Áî Ã¼°á±â",031-422-2812,,"°æ±âµµ ±ºÆ÷½Ã µµ¸¶±³µ¿ 492 2Ãþ, ÁöÇÏ1Ãþ","°æ±âµµ ±ºÆ÷½Ã ¼ÛºÎ·Î22¹ø±æ 3-10, 2Ãþ, ÁöÇÏ1Ãþ(µµ¸¶±³µ¿)",2025-09-15
(ÁÖ)ÄÉÀÌ¿¡ÀÌ¾¾Æ¼¾¾(KACTC),¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷ ¿Ü 1 Á¾,ÀÚµ¿Â÷ºÎÇ°,031-455-8493,031-459-3715,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 154-1¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î48¹ø±æ 12 (´çÁ¤µ¿),2025-09-15
(ÁÖ)ÄÉÀÌ¿¡ÀÌÄ¡Æ¼¿£Áö´Ï¾î¸µ,¹ýÀÎ,"¹°Áú °Ë»ç, ÃøÁ¤ ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷","¾Ð·ÂÃøÁ¤±â Á¦Á¶, ¿Âµµ ¹× ½Àµµ°è Á¦Á¶, È­ÇÐ½ÇÇè±â°èÀåÄ¡",02-2683-0987,02-2684-0987,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® 110È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, 110È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)ÄÉÀÌ¿ÍÀÌÅ×Å©,¹ýÀÎ,¹æ¼ÛÀåºñ Á¦Á¶¾÷ ¿Ü 1 Á¾,"À¯,¹«¼± Åë½Å±â±âºÎÇ°",031-452-4861,031-452-4862,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 694-2¹øÁö ÁöÃþ,"°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î27¹ø±æ 15, ÁöÃþ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)ÄÉÀÌ¿ø´ÙÀÌ¾Æ,¹ýÀÎ,Åé ¹× È£È¯¼º °ø±¸ Á¦Á¶¾÷,»ê¾÷¿ë ÀüÂø°ø±¸,031-427-5237,031-427-5239,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 508-6¹øÁö,°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 64 (´çÁ¤µ¿),2025-09-15
(ÁÖ)ÄÉÀÌÇÇÁö,¹ýÀÎ,±âÅ¸ °ÇÃà¿ë ÇÃ¶ó½ºÆ½ Á¶¸³Á¦Ç° Á¦Á¶¾÷,±Õ¿­º¸¼ö¿ë ÇÃ¶ó½ºÆ½ Æ÷Æ®,031-479-5443,031-624-5436,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3¹øÁö ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ B1Ãþ B105È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, B1Ãþ B105È£ (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ) B105È£",2025-09-15
(ÁÖ)ÄÌ½º,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷,Ã¼¿ÜÁø´ÜÀÇ·á±â±â,031-754-0320,031-754-0321,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-43 ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷ 1204È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52, 1204È£(´çÁ¤µ¿, ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷) ¿Ü 7ÇÊÁö",2025-09-15
(ÁÖ)ÄÚ´ÏÅ©¾Á,¹ýÀÎ,¾×Ã¼ ÆßÇÁ Á¦Á¶¾÷,¸ÞÄ«´ÏÄ®¾Á,031-436-1411,031-436-1413,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö SK º¥Æ¼¿ò 104µ¿ 1Ãþ 104È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 1Ãþ 104È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò) 104µ¿ 104È£",2025-09-15
(ÁÖ)ÄÚ¸¶Æ½ÄÚ¸®¾Æ,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÏ¹Ý¸ñÀû¿ë ±â°è Á¦Á¶¾÷ ¿Ü 1 Á¾,ÀÎ°øÄ¡¾Æ °¡°ø±â°è,02-574-9345,02-578-1882,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Bµ¿ 1504È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Bµ¿ 1504È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)ÄÚ¾Æ¿¡½º¿¥Æ¼,¹ýÀÎ,°æ¼º ÀÎ¼âÈ¸·Î±âÆÇ Á¦Á¶¾÷ ¿Ü 2 Á¾,"ÀüÀÚÁ¦Ç° ¹× ÃâÀÔ¹® ÅëÁ¦±â, ºí·¢¹Ú½º, ÀÇ·á±â±â",031-427-1590,031-427-1593,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 453-4 Çö¹Îºôµù 4Ãþ,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 20, 4Ãþ(´çÁ¤µ¿, Çö¹Îºôµù)",2025-09-15
(ÁÖ)ÄÚ¾ÆÀü±â,¹ýÀÎ,ÀüÀÚ°¨ÁöÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,"Reactor, ÀüÀÚÆÄ¹«¹Ý»çÈ¯°æÁ¶Á¤½Ç, ÀüÀÚÆÄÂ÷Æó±â, ÀüÀÚÀåÂ÷ÆóÀåÄ¡",031-453-3088,031-453-3098,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1247-5¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 53 (ºÎ°îµ¿),2025-09-15
(ÁÖ)ÄÚ¿¤ÅØ,¹ýÀÎ,±âÅ¸ Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 9 Á¾,"ARD, ¿¤¸®º£ÀÌÅÍ ºÎºÐÇ° µî",031-454-2019,031-429-7318,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 343-17¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î60¹ø±æ 22 (´çÁ¤µ¿),2025-09-15
(ÁÖ)ÄÚ¿¥ÇÇ¿¡½º(908È£),¹ýÀÎ,±× ¿Ü ±âÅ¸ Àü±âÀåºñ Á¦Á¶¾÷,ÀÌ¿Â¹ß»ýÀÀ¿ëÇ°,02-892-1164,,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1246 ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸® 1µ¿ 9Ãþ 908È£,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î7¹ø±æ 8, 1µ¿ 9Ãþ 908È£ (ºÎ°îµ¿, ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸®)",2025-09-15
(ÁÖ)ÄÚÀ©Å×Å©,¹ýÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷ ¿Ü 1 Á¾,"ÄÜÆ®·ÑÆÇ³Ú, ±³À°¿ëÀåºñ",031-479-2121,031-479-2122,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, 409È£ (±ÝÁ¤µ¿)",2025-09-15
(ÁÖ)Å¥¾Ë¿¡½º,¹ýÀÎ,±âÅ¸ ±¤ÇÐ±â±â Á¦Á¶¾÷,·¹ÀÌÁ®±â±â,070-4322-6796,070-4009-6866,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1247-6¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 41 (ºÎ°îµ¿),2025-09-15
(ÁÖ)Å¥À£,¹ýÀÎ,±× ¿Ü ±âÅ¸ Æ¯¼ö¸ñÀû¿ë ±â°è Á¦Á¶¾÷ ¿Ü 3 Á¾,ÇÇÅæÄ¡µå °ø±â Á¤È­±â ¿Ü,031-429-0588,031-429-0388,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 500-2¹øÁö,°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 67 (´çÁ¤µ¿),2025-09-15
(ÁÖ)Å©·¹Çªµå,¹ýÀÎ,±âÅ¸ ½ÄÇ° Ã·°¡¹° Á¦Á¶¾÷,"½ÄÇ°Ã·°¡¹° (µþ±âÇâ, º¹¼þ¾ÆÇâ, ÇØÁñ³ÓÇâ µî)",031-395-4464,031-396-4464,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Aµ¿ 201È£, 202È£","°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Aµ¿ 201È£, 202È£ (´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)Å°·£µåµð¾Ø¾¾,¹ýÀÎ,À¯±âÁú ºñ·á ¹× »óÅä Á¦Á¶¾÷ ¿Ü 1 Á¾,"Ä£È¯°æºñ·á(Åä¾ç¹Ì»ý¹°Á¦Á¦),Å»ÃëÁ¦(Ãà»çÈ¯°æ°³¼±Á¦,Åð¾×ºñºÎ¼÷¹ßÈ¿Á¦)",02-556-6871,070-7469-2001,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1054-0 LT»ïº¸ ½ºÄ«ÀÌºñÁî,°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î 2 (´çÁ¤µ¿) LT»ïº¸ ½ºÄ«ÀÌºñÁî 401È£,2025-09-15
(ÁÖ)Å¸¹ÌÄÚ½Ã½ºÅÛ,¹ýÀÎ,°í¹«ÆÐÅ··ù Á¦Á¶¾÷,"°¡½ºÄÏ,ÆÐÅ·",031-429-6600,031-429-420,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42 1µ¿ 12Ãþ 1215È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 1µ¿ 12Ãþ 1215È£(´çÁ¤µ¿)",2025-09-15
(ÁÖ)ÅÂ°­À£½º,¹ýÀÎ,Â÷Ã¼ ¹× Æ¯ÀåÂ÷ Á¦Á¶¾÷,È¨ »ç¿ì³ª,,031-383-0128,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 108-14 Á¦¿¡ÀÌµ¿ 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î77¹ø¾È±æ 15, Á¦¿¡ÀÌµ¿ 1Ãþ (´çÁ¤µ¿)",2025-09-15
