연번,기업명,전화번호,주요상품,주소,산업분류
5315,케이앤더블유 (주),데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 향남읍 발안공단로4길 91,그 외 기타 고무제품 제조업
5316,새영비전,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 비봉면 현대기아로830번길 5,절삭가공 및 유사처리업
5317,에코렉스코퍼레이션,031-292-9700,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 동오1길 161-4,구조용 금속 판제품 및 공작물 제조업
5318,코에어원,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 장안면 석포로 138-16,기체 여과기 제조업
5319,주식회사에어링크랩,031-354-9564,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 양감면 정문송산로 160-31,"물질 검사, 측정 및 분석기구 제조업"
5320,신영,데이터 미집계,인쇄 및 기록매체 복제업,경기도 화성시 마도면 마도공단로1길 8,경 인쇄업
5321,프라임테크,데이터 미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 팔탄면 서해로1121번길 8,산업처리공정 제어장비 제조업
5322,거성철강,데이터미집계,1차 금속 제조업,경기도 화성시 봉담읍 복만터길2번길 13-1,그 외 기타 1차 철강 제조업
5323,화성ENG,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 남양읍 장덕북길 110-46,절삭가공 및 유사처리업
5324,아이프리마,031-777-9660,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 만년로98번길 55,절삭가공 및 유사처리업
5325,유한회사 케이씨엘엑스(KCLX),데이터미집계,섬유제품 제조업; 의복제외,경기도 화성시 동탄산단4길 9-9 (방교동),그 외 기타 분류 안된 섬유제품 제조업
5326,해승(주),데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 동탄대로 677-12 (영천동),절삭가공 및 유사처리업
5327,행운,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 만년로622-,그 외 기타 금속가공업
5328,티에스시지점,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 양감면 안요골길39-,기타 반도체소자 제조업
5329,엠지티,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 우정읍 호곡공단로 119-12,주형 및 금형 제조업
5330,세라산업(주),데이터미집계,전기장비 제조업,경기도 화성시 남양읍 현대기아로 720-21,기타 전기 변환장치 제조업
5331,큐브어드벤처CUBEADVENTURE,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 봉담읍 복만터길72번길 24-2,차체 및 특장차 제조업
5332,서원이지,031-204-5581,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 안녕남로 106-1 (안녕동),절삭가공 및 유사처리업
5333,한일계전,데이터미집계,전기장비 제조업,경기도 화성시 송산면 송산동로105-,운송장비용 조명장치 제조업
5334,동남테크,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 남양읍 주석로 141-8,산업처리공정 제어장비 제조업
5335,주식회사 우현,031-354-3201,자동차 및 트레일러 제조업,경기도 화성시 팔탄면 언창공단길 58-18,그 외 자동차용 신품 부품 제조업
5336,(주)경인종합유리,032-277-6262,비금속 광물제품 제조업,경기도 화성시 마도면 금해로 46-9,기타 판유리 가공품 제조업
5337,솔루션스뱅크,데이터미집계,전기장비 제조업,경기도 화성시 향남읍 발안공단로14-,전동기 및 발전기 제조업
5338,성안기계(주),데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 마도면 마도공단로6길 33,인쇄 및 제책용 기계 제조업
5339,원일래핑,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 남양읍 활초길15번길 34-21,주형 및 금형 제조업
5340,주식회사 케이텍세라믹,031-352-4381,비금속 광물제품 제조업,경기도 화성시 양감면 토성로549-,위생용 및 산업용 도자기 제조업
5341,주식회사 삼화기공,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 서신면 백미길46-,육상 금속 골조 구조재 제조업
5342,다모하이텍 주식회사,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 토성로 367-6,자동차용 금속 압형제품 제조업
5343,(주)야아크,데이터미집계,비금속 광물제품 제조업,경기도 화성시 팔탄면 언창길 52-5,기타 건축용 비내화 요업제품 제조업
5344,이마스,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 양감면 은행나무로 230-17,전자 응용 절삭기계 제조업
5345,케이투이디엠,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 서해로1121번길 17,주형 및 금형 제조업
5346,에이엔씨,데이터미집계,섬유제품 제조업; 의복제외,경기도 화성시 장안면 -,표면처리 및 적층 직물 제조업
5347,(주)세이프시티*,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 서봉로 538-27,구조용 금속 판제품 및 공작물 제조업
5348,에버일렉트로닉스,데이터 미집계,섬유제품 제조업; 의복제외,경기도 화성시 비봉면 푸른들판로1010번길 127-28,기타 직물제품 제조업
5349,은성프라택,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 정남면 내향로 128-46,합성수지 및 기타 플라스틱 물질 제조업
5350,브이엠테크,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 양감면 초록로532번길 86-25,기타 반도체소자 제조업
5351,세웅산업,031-354-4120,고무 및 플라스틱제품 제조업,경기도 화성시 향남읍 서봉로 361-16,산업용 그 외 비경화 고무제품 제조업
5352,에스엔와이 주식회사,데이터미집계,1차 금속 제조업,경기도 화성시 향남읍 발안공단로2길 34,그 외 기타 1차 철강 제조업
5353,금하자동화,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 효행로184번길 5-17,그 외 기타 일반목적용 기계 제조업
5354,주식회사 스탠다드케미칼,031-410-2573,"코크스, 연탄 및 석유정제품 제조업",경기도 화성시 봉담읍 덕우공단1길 31,윤활유 및 그리스 제조업
5355,이한시스템,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 백토관리길00071-00001,그 외 기타 특수목적용 기계 제조업
5356,(주)창영전자,031-353-4224,전기장비 제조업,경기도 화성시 향남읍 발안공단로184-,전기회로 접속장치 제조업
5357,화인테크,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 한두골길48-,그 외 기타 분류 안된 금속 가공 제품 제조업
5358,청우정밀,031-366-4432,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 동탄지성로306번길 36 (반월동),절삭가공 및 유사처리업
5359,주식회사 명성테크놀러지,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 서봉로 395-48,반도체 제조용 기계 제조업
5360,두리ENG,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 무하로201-,"용기 세척, 포장 및 충전기 제조업"
5361,대성화학,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 장안면 3.1만세로528-,기타 기계장비 조립용 플라스틱 제품 제조업
5362,주식회사 디에스앤디(DS&D),031-8059-3173,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 고주동방길 16-32,절삭가공 및 유사처리업
5363,저스트코퍼레이션,데이터 미집계,전기장비 제조업,경기도 화성시 정남면 정남동로207번길 64-40,배전반 및 전기 자동제어반 제조업
5364,서인테크,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 동탄5동 동탄기흥로602-,기타 반도체소자 제조업
5365,탑(지점),데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 발안로 983-27,절삭가공 및 유사처리업
5366,신성화학,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 봉담읍 최루백로424-,포장용 플라스틱 성형용기 제조업
5367,주식회사 반디테크,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 동탄1동 동탄문화센터로61-,산업처리공정 제어장비 제조업
5368,CNBELETECH,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 향남읍 은행나무로 566-22,기타 반도체소자 제조업
5369,주식회사 씨에스에스엠(CSSM),데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 양감면 초록로 868-22,기타 반도체소자 제조업
5370,태영정밀,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 향남읍 발안공단로156-,자동차용 신품 의자 제조업
5371,(주)푸른신화,1577-5380,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 안녕남로82번길 7 (안녕동),"치약, 비누 및 기타 세제 제조업"
5372,(주)지티에스 이엔지,031-352-0468,자동차 및 트레일러 제조업,경기도 화성시 비봉면 푸른들판로1010번길 85-7,자동차 엔진용 신품 부품 제조업
5373,신성콘테이너,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 율암길95번길 15-8,기타 구조용 금속제품 제조업
5374,와이텍솔루션,031-354-4134,기타 기계 및 장비 제조업,경기도 화성시 정남면 서봉로866-,주형 및 금형 제조업
5375,주식회사 케이씨티,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 양감면 초록로532번길 86-11,비동력식 수공구 제조업
5376,에스제이(SJ),데이터미집계,1차 금속 제조업,경기도 화성시 정남면 발산4길 20,그 외 기타 1차 철강 제조업
5377,아름다운간판광고,데이터미집계,기타 제품 제조업,경기도 화성시 향남읍 발안로422-,간판 및 광고물 제조업
5378,케이엔씨,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 비봉면 양노남길26-,산업용 냉장 및 냉동 장비 제조업
5379,L.S Tec(엘.에스텍),데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 신새말길30-,반도체 제조용 기계 제조업
5380,주식회사청아판지팩,031-352-5977,"펄프, 종이 및 종이제품 제조업",경기도 화성시 양감면 초록로460-,골판지 상자 및 가공제품 제조업
5381,에이치엔씨,데이터미집계,전기장비 제조업,경기도 화성시 화산동 용주로60-,기타 절연선 및 케이블 제조업
5382,정도ENG,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 우정읍 버들로 899-35,육상 금속 골조 구조재 제조업
5383,금호엔지니어링(주),데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 안산동길8-,그 외 기타 금속가공업
5384,주식회사 홍일,데이터 미집계,고무 및 플라스틱제품 제조업,경기도 화성시 마도면 마도공단로159-,"플라스틱 선, 봉, 관 및 호스 제조업"
5385,리엔큐비클,데이터미집계,목재 및 나무제품 제조업; 가구 제외,경기도 화성시 동탄1동 동탄시범한빛길10-,기타 건축용 나무제품 제조업
5386,윌프리,데이터미집계,기타 제품 제조업,경기도 화성시 동탄기흥로 570-6 (영천동),전시용 모형 제조업
5387,주식회사 그라핀(GRAPHIN CO.LTD),데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 우정읍 버들로1009-,육상 금속 골조 구조재 제조업
5388,오름폴리머,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 안녕길 95-48 (안녕동),혼성 및 재생 플라스틱 소재 물질 제조업
5389,(주) 벨멕스,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 능산길42-,산업용 송풍기 및 배기장치 제조업
5390,대진주방,데이터미집계,목재 및 나무제품 제조업; 가구 제외,경기도 화성시 비봉면 남이로363-,목재 도구 및 주방용 나무제품 제조업
5391,성민산업,데이터 미집계,고무 및 플라스틱제품 제조업,경기도 화성시 정남면 안념길 121-14,기타 플라스틱 발포 성형제품 제조업
5392,지성이엔씨,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 장안면 -,텔레비전 제조업
5393,이피씨,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 정남면 괘랑보통길 30-3,일반용 도료 및 관련제품 제조업
5394,주식회사 폴리씨엠,데이터 미집계,고무 및 플라스틱제품 제조업,경기도 화성시 향남읍 백토관리길87-,플라스틱 필름 제조업
5395,에코시스인더스트리,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 봉담읍 동화역말길 73-15,산업용 냉장 및 냉동 장비 제조업
5396,스타일피앤디,031-359-9832,고무 및 플라스틱제품 제조업,경기도 화성시 팔탄면 도이3길 39-13,포장용 플라스틱 성형용기 제조업
5397,신양ENG,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 길성길 166-38,반도체 제조용 기계 제조업
5398,씨엠케미칼,031-358-6231,고무 및 플라스틱제품 제조업,경기도 화성시 장안면 고해길 45-18,기타 건축용 플라스틱 조립제품 제조업
5399,제이앤케이JnK,데이터미집계,전기장비 제조업,경기도 화성시 향남읍 백토관리길 61-35,일반용 전기 조명장치 제조업
5400,주식회사 고려산업개발,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 남양읍 고향의봄길381번길 7-12,구조용 금속 판제품 및 공작물 제조업
5401,리코시스템,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 양감면 제약단지로 237-54,산업용 냉장 및 냉동 장비 제조업
5402,티에스피,031-225-6949,고무 및 플라스틱제품 제조업,경기도 화성시 정남면 문학로88-,그 외 기타 플라스틱 제품 제조업
5403,명동기획,데이터미집계,기타 제품 제조업,경기도 화성시 진안북길 87-2 (기산동),간판 및 광고물 제조업
5404,주식회사 선경인더스트리,데이터미집계,1차 금속 제조업,경기도 화성시 양감면 솔안길 70-21,강관 가공품 및 관 연결구류 제조업
5405,대양기계,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 비봉면 현대기아로830번길 25-8,그 외 기타 분류 안된 금속 가공 제품 제조업
5406,미래프론테크,031-356-4495,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 장안면 석포로 236-18,금속 열처리업
5407,세명에스피산업,031-355-8293,1차 금속 제조업,경기도 화성시 서신면 백미길46-,그 외 기타 1차 철강 제조업
5408,한국테이페트,031-548-1212,고무 및 플라스틱제품 제조업,경기도 화성시 반월동 반월북길44-,플라스틱 접착처리 제품 제조업
5409,주식회사 에프앤지컴퍼니,데이터미집계,기타 제품 제조업,경기도 화성시 장안면 3.1만세로291-,낚시 및 수렵용구 제조업
5410,솔빛산업,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 팔탄면 녹막말길9번길 7,접착제 및 젤라틴 제조업
5411,(주)오킨스전자,031-460-3500,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 송산면 삼존서길163-,"물질 검사, 측정 및 분석기구 제조업"
5412,유비쿼트,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 병점2동 효행로1060-,유선 통신장비 제조업
5413,미래씽크,데이터미집계,가구 제조업,경기도 화성시 장안면 돌서지길 62-30,주방용 및 음식점용 목재가구 제조업
5414,(주)라운건설,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 기배동 기배로147-,"플라스틱 선, 봉, 관 및 호스 제조업"
5415,꽁냥꽁냥패밀리,데이터미집계,"의복, 의복 액세서리 및 모피제품 제조업","경기도 화성시 동탄대로4길 17 (장지동, 금호어울림레이크)",그 외 기타 의복액세서리 제조업
5416,에스엔피코리아,데이터미집계,인쇄 및 기록매체 복제업,경기도 화성시 남양읍 활초길109번길 35-32,스크린 인쇄업
5417,알파테크,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 정남면 보통내길 88-38,기타 기계장비 조립용 플라스틱 제품 제조업
5418,에스에이치기업,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 남양읍 매바위로551-,육상 금속 골조 구조재 제조업
5419,엠제이보드MJBOARDCo.Ltd.,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 양감면 은행나무로 46-21,혼성 및 재생 플라스틱 소재 물질 제조업
5420,라인테크,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 팔탄면 서해로1121번길 22,기타 반도체소자 제조업
5421,선녀디자인,데이터미집계,1차 금속 제조업,경기도 화성시 팔탄면 서해로 943-16,"도금, 착색 및 기타 표면처리강재 제조업"
5422,제이에스테크,032-465-8346,기타 기계 및 장비 제조업,경기도 화성시 정남면 정남산단1길 19,기타 가공 공작기계 제조업
5423,주식회사 삼흥하이텍,031-352-7660,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 내향로168-,그 외 금속 압형제품 제조업
5424,세경테크,031-354-9818,비금속 광물제품 제조업,경기도 화성시 마도면 -,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
5425,씨원테크,031-366-0405,기타 기계 및 장비 제조업,경기도 화성시 양감면 토성로 579-17,기체 펌프 및 압축기 제조업
5426,달팽이건강원,데이터미집계,식료품 제조업,경기도 화성시 양감면 사창길 29-25,건강보조용 액화식품 제조업
5427,우주식품,데이터미집계,식료품 제조업,경기도 화성시 정남면 동오4길 9-67,식물성 유지 제조업
5428,우영나이론（주）,데이터미집계,"의복, 의복 액세서리 및 모피제품 제조업",경기도 화성시 양감면 정문송산로134-,스타킹 및 기타 양말 제조업
5429,세명철강(주),데이터미집계,1차 금속 제조업,경기도 화성시 팔탄면 버들로1318번길 2,그 외 기타 1차 철강 제조업
5430,현대합성,032-581-1133,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 송산면 구레골길 41-3,합성수지 및 기타 플라스틱 물질 제조업
5431,동부국제무역,데이터미집계,전기장비 제조업,경기도 화성시 팔탄면 시청로00934-00012,기타 가정용 전기기기 제조업
5432,(주)유원산업,070-416-0821,섬유제품 제조업; 의복제외,경기도 화성시 팔탄면 온천로165번길 31-63,날염 가공업
5433,창현유니테크,데이터미집계,전기장비 제조업,경기도 화성시 진안북길94번길 5-3 (반정동),배전반 및 전기 자동제어반 제조업
5434,머머링월드,데이터미집계,기타 제품 제조업,"경기도 화성시 동탄대로24가길 7 (영천동, 동탄 파크 푸르지오)",그 외 기타 달리 분류되지 않은 제품 제조업
5435,히아브,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 남양읍 신남로394-,차체 및 특장차 제조업
5436,원승산업,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 병점1동 병점노을로31-,그 외 금속 압형제품 제조업
5437,믹스코,데이터 미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 병점2동 효행로1068-,시계 및 시계부품 제조업
5438,우진이엔지,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 발안공단로4길 37,육상 금속 골조 구조재 제조업
5439,씨아이테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 신양1길 107-7,금속 절삭기계 제조업
5440,화성조립,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 우정읍 조암북로57번길 13,그 외 기타 플라스틱 제품 제조업
5441,하나포장,031-359-9641,목재 및 나무제품 제조업; 가구 제외,경기도 화성시 팔탄면 푸른들판로761-,"목재 포장용 상자, 드럼 및 유사용기 제조업"
5442,(주)반도전기,031-267-1835,전기장비 제조업,경기도 화성시 봉담읍 창작마을길30-,배전반 및 전기 자동제어반 제조업
5443,동광에프에이(주),데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 양감면 개월안길 110-11,반도체 제조용 기계 제조업
5444,삼광산업,데이터미집계,"펄프, 종이 및 종이제품 제조업",경기도 화성시 양감면 초록로460-,판지 상자 및 용기 제조업
5445,거성산업,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 장안면 수정로 384-11,합성수지 및 기타 플라스틱 물질 제조업
5446,하이원푸드(주),데이터미집계,식료품 제조업,경기도 화성시 마도면 해운로 629-25,빵류 제조업
5447,제이에이치 정밀,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 한두골안길86-,주형 및 금형 제조업
5448,캔디파크,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 남양읍 무하로110번길 70-10,표면광택제 및 실내가향제 제조업
5449,(주)뉴텍엠,031-352-8626,자동차 및 트레일러 제조업,경기도 화성시 남양읍 남양로 115-16,차체 및 특장차 제조업
5450,투윈산업,데이터미집계,인쇄 및 기록매체 복제업,경기도 화성시 팔탄면 현대기아로 56-11,스크린 인쇄업
5451,신왕정밀,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 괘랑2길17번길70-,금속 절삭기계 제조업
5452,알투스ALTUS,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 동탄5동 동탄첨단산업1로14-,음ㆍ식료품 및 담배 가공기계 제조업
5453,한덕 알페코,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 향남읍 발안공단로1길 69,"산업용 오븐, 노 및 노용 버너 제조업"
5454,아풍전자,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 장안면 장안고잔길57-,산업용 냉장 및 냉동 장비 제조업
5455,엠엔에스Tech,031-354-4302,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 귀래길32-,절삭가공 및 유사처리업
5456,태영기계,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 정남면 보통내길253번길 43-48,금속 절삭기계 제조업
5457,영화계전,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 팔탄면 서해로1121번길 17,기기용 자동측정 및 제어장치 제조업
5458,(주)조이*,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 율암길95번길 15-38,주형 및 금형 제조업
5459,시티이엔지CTENG,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 팔탄면 안산동길 135-34,주형 및 금형 제조업
5460,부경산업,데이터미집계,전기장비 제조업,경기도 화성시 정남면 괘랑1길8번길30-18,기타 절연선 및 케이블 제조업
5461,동탄목공방칼질톱질,데이터미집계,가구 제조업,경기도 화성시 동탄5동 -,기타 목재가구 제조업
5462,보드레떡,데이터미집계,식료품 제조업,경기도 화성시 동탄순환대로18길 16 (목동),떡류 제조업
5463,우경정밀,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 남양읍 주석로 61-17,주형 및 금형 제조업
5464,주식회사 대성전업,031-355-9100,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 남양읍 신남로410-,구조용 금속 판제품 및 공작물 제조업
5465,수원금형열처리,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 정남면 신새말길21-,금속 열처리업
5466,와이앤제이테크,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 비봉면 주석로690번길 36-17,포장용 플라스틱 성형용기 제조업
5467,(주)일신테크놀로지,031-456-8030,자동차 및 트레일러 제조업,경기도 화성시 팔탄면 3.1만세로 641-30,자동차용 신품 전기장치 제조업
5468,시온테크,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 만년로151번길 60,절삭가공 및 유사처리업
5469,MKR테크,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 정남면 만년로3-,고무패킹류 제조업
5470,한성,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 서신면 백석포길41-,육상 금속 골조 구조재 제조업
5471,팔탄제분소,데이터미집계,식료품 제조업,경기도 화성시 팔탄면 서촌길25-,떡류 제조업
5472,강산테크,데이터미집계,기타 기계 및 장비 제조업,경기도 화성시 기배동 기안말길1-,주형 및 금형 제조업
5473,홈에코,데이터미집계,목재 및 나무제품 제조업; 가구 제외,경기도 화성시 팔탄면 푸른들판로 892-31,"목재 보존, 방부처리, 도장 및 유사 처리업"
5474,나이스테크,031-3666-2231,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 향남읍 백토관리길73-,절삭가공 및 유사처리업
5475,단열 스텐,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 서해로1272-,"금속 문, 창, 셔터 및 관련제품 제조업"
5476,TSDC,데이터미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 정남면 안념길150번길 75,기타 반도체소자 제조업
5477,신성엠에스케이,데이터 미집계,섬유제품 제조업; 의복제외,경기도 화성시 정남면 세자로 317-59,그 외 기타 분류 안된 섬유제품 제조업
5478,주식회사 이앤테크,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 남양읍 주석로175번길 27-10,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
5479,동산메디칼,데이터미집계,"의료, 정밀, 광학기기 및 시계 제조업",경기도 화성시 비봉면 푸른들판로1141-,그 외 기타 의료용 기기 제조업
5480,청성테크,031-358-8037,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 장안면 무봉길 174-30,요업용 도포제 및 관련제품 제조업
5481,엠에스이티,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 장안면 수정로 312-33,분말 야금제품 제조업
5482,유림산업,031-355-6789,고무 및 플라스틱제품 제조업,경기도 화성시 남양읍 화성로1424번길 23,기타 건축용 플라스틱 조립제품 제조업
5483,에임AIM,데이터미집계,인쇄 및 기록매체 복제업,경기도 화성시 경기대로1200번길 89 (반정동),기록매체 복제업
5484,나눔테크,데이터 미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 정남면 문학로68번길 44,기타 반도체소자 제조업
5485,비에스코퍼레이션,데이터 미집계,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 향남읍 토성로232-,그 외 기타 전자부품 제조업
5486,제이투테크,데이터 미집계,기타 기계 및 장비 제조업,경기도 화성시 서신면 전곡산단5길 34,기타 가공 공작기계 제조업
5487,주식회사 부강인터팩,데이터미집계,고무 및 플라스틱제품 제조업,경기도 화성시 봉담읍 모세골길16-,"플라스틱 포대, 봉투 및 유사제품 제조업"
5488,하임,데이터미집계,가구 제조업,경기도 화성시 송산면 송산포도로891번길 107,기타 목재가구 제조업
5489,보은용사촌기술원전력사업소,데이터미집계,전기장비 제조업,경기도 화성시 양감면 은행나무로170번길 82,"전기회로 개폐, 보호장치 제조업"
5490,영특장,데이터미집계,자동차 및 트레일러 제조업,경기도 화성시 동탄6동 금곡로50-,차체 및 특장차 제조업
5491,이화떡방앗간,데이터미집계,식료품 제조업,경기도 화성시 우정읍 조암남로8-,떡류 제조업
5492,한울철강,데이터 미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 팔탄면 서해로 1263-3,"금속 문, 창, 셔터 및 관련제품 제조업"
5493,태광금속,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 양감면 은행나무로 227-47,도장 및 기타 피막처리업
5494,환영닥트,데이터미집계,금속가공제품 제조업; 기계 및 가구 제외,경기도 화성시 황계길 150-19 (황계동),구조용 금속 판제품 및 공작물 제조업
5495,다현ENG,데이터미집계,1차 금속 제조업,경기도 화성시 장안면 장안로227번길 24-1,"알루미늄 압연, 압출 및 연신제품 제조업"
5496,다온 씽크,데이터미집계,가구 제조업,경기도 화성시 태안로 323-18 (황계동),주방용 및 음식점용 목재가구 제조업
5497,동성화학공업(주),데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 양감면 용소금각로 121-45,혼성 및 재생 플라스틱 소재 물질 제조업
5498,엔텍시스템,031-298-4590,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경기도 화성시 향남읍 초록로693번길 3-38,기타 무선 통신장비 제조업
5499,에코산업 주식회사,데이터미집계,화학물질 및 화학제품 제조업; 의약품 제외,경기도 화성시 양감면 서해로152번길 58-26,혼성 및 재생 플라스틱 소재 물질 제조업
