순번,회사명,전화번호,팩스번호,공장대표주소(도로명),업종번호,업종명,종업원수,데이터기준일자
2707,다담마이크로(주),031-8018-8760,031-8018-8765,"경기도 성남시 분당구 판교로 253, 판교이노밸리 B-502호 (삼평동)",26310,컴퓨터 제조업,13,2026-03-09
2813,인텔릭스(주),031-606-0158,031-702-6700,"경기도 성남시 분당구 판교로 700, E동 801호(야탑동, 분당테크노파크) E동 801호 외 2필지",26310,컴퓨터 제조업,164,2026-03-09
2830,주식회사 노바챔프,031-756-4306,,"경기도 성남시 수정구 복정로 76 (복정동) 5408호, 창업보육센터",26310,컴퓨터 제조업,3,2026-03-09
2670,(주)테크커넥트,031-781-0824,031-706-0824,"경기도 성남시 분당구 판교로 697, A동 502호(야탑동, 분당테크노파크)",26322+26310+26329+26519+28423+28429,컴퓨터 모니터 제조업 외 5 종,21,2026-03-09
2619,(주)에이펙스아이앤씨,031-703-0824,,"경기도 성남시 분당구 판교로 697, 에이동 902호(야탑동, 분당테크노파크) 외 1필지",26322+26310+26329+26410+26519,컴퓨터 모니터 제조업 외 4 종,2,2026-03-09
174,(주)딥사이닝,031-603-1933,031-5176-0433,"경기도 성남시 중원구 갈마치로 302,(상대원동, 성남우림라이온스밸리5차) A동 B1층 B106호 외 1필지",26322+26310+26519+28423,컴퓨터 모니터 제조업 외 3 종,7,2026-03-09
751,(주)오토베이스,031-776-0800,031-776-0802,"경기도 성남시 중원구 사기막골로 124, 비즈동 12층 1201 (상대원동, SKⓝ테크노파크) 비즈동 12층 1201호",26322+27215+27216+28123,컴퓨터 모니터 제조업 외 3 종,10,2026-03-09
425,(주)스마트터치,031-737-2808,070-4352-8737,"경기도 성남시 중원구 둔촌대로457번길 27, 3층 303 (상대원동, 성남 우림 라이온스밸리 1차) 외 1필지",26322+25932+26329,컴퓨터 모니터 제조업 외 2 종,2,2026-03-09
1216,(주)한국에임,031-731-2037,02-3461-7910,"경기도 성남시 중원구 사기막골로 124, (상대원동, SKn테크노파크) 비즈동 4층 411호",26322+26329+29180,컴퓨터 모니터 제조업 외 2 종,6,2026-03-09
169,(주)디지쿼터스,031-706-7061,031-706-7063,"경기도 성남시 중원구 둔촌대로 484, 10층 1008호 (상대원동) 10층 1008호",26322+26519,컴퓨터 모니터 제조업 외 1 종,10,2026-03-09
155,(주)디노텍,,031-747-4072,"경기도 성남시 중원구 사기막골로 124,(상대원동, SKn테크노파크) 메가동 9층 904호",26322,컴퓨터 모니터 제조업,2,2026-03-09
1076,(주)터치넷,031-741-8084,031-741-4110,"경기도 성남시 중원구 둔촌대로 484, 2층 212 (상대원동)",26322,컴퓨터 모니터 제조업,3,2026-03-09
1991,오더퀸(주),031-755-4838,031-624-5654,"경기도 성남시 중원구 갈마치로288번길 14, 3층 311호(상대원동, 성남 SK V1 tower) 3층 311호 외 3필지",26322,컴퓨터 모니터 제조업,25,2026-03-09
2316,파인더즈,031-750-0162,031-750-0161,"경기도 성남시 중원구 갈마치로288번길 14, A동 12층 1205 (상대원동) A동 12층 1205호",26322,컴퓨터 모니터 제조업,3,2026-03-09
2633,(주)웨이투텍,031-706-6546,02-762-2490,"경기도 성남시 분당구 판교로 744, C동 302호(야탑동, 분당테크노파크) C동 302호 외 2필지",29163+28903+31202,컨베이어장치 제조업 외 2 종,14,2026-03-09
1391,남스로스터리,031-750-0292,031-750-0293,"경기도 성남시 중원구 갈마치로 302, B동 6층 607 (상대원동, 성남 우림 라이온스밸리 5차)",10891+10603,커피 가공업 외 1 종,1,2026-03-09
441,(주)스프링온워드,,,"경기도 성남시 중원구 사기막골로 148, B1층 B107 (상대원동)",10891,커피 가공업,3,2026-03-09
442,(주)스프링온워드,070-4667-3000,070-8611-4000,"경기도 성남시 중원구 사기막골로 148, B1층 B107호 (상대원동) B1층 B107호",10891,커피 가공업,4,2026-03-09
1098,(주)티아이지트레이드,,031-629-6923,"경기도 성남시 중원구 순환로 165, B1층 B107 (상대원동, 포스테크노)",10891,커피 가공업,4,2026-03-09
1112,(주)티타임,031-762-2700,031-735-6123,"경기도 성남시 중원구 둔촌대로497번길 6, A동 3층 (상대원동)",10891,커피 가공업,5,2026-03-09
1115,(주)파라디소코리아,031-733-8858,031-733-8859,"경기도 성남시 중원구 순환로 165, 2층 215 (상대원동, 포스테크노)",10891,커피 가공업,2,2026-03-09
1165,(주)프레이저커피,070-4833-7750,,"경기도 성남시 중원구 사기막골로 124, (상대원동, SKn테크노파크) 비즈동 11층 1107호",10891,커피 가공업,1,2026-03-09
1171,(주)프롬헤라스 연남,,,"경기도 성남시 중원구 사기막골로 124,(상대원동, SKn테크노파크) 메가동 14층 1411호",10891,커피 가공업,2,2026-03-09
1225,(주)한국효온,,070-4101-1729,경기도 성남시 중원구 사기막골로 124 (상대원동) 메가동 13층 1311호 외 1필지,10891,커피 가공업,6,2026-03-09
1318,간결커피로스터스,,,"경기도 성남시 중원구 갈마치로 314, 11층 1110호(상대원동, 성남 센트럴비즈타워 1) 11층 1110호",10891,커피 가공업,2,2026-03-09
1452,더나은보호작업장,031-736-2977,050-4166-9620,"경기도 성남시 중원구 사기막골로 124, (상대원동, SKn테크노파크) 메가동 8층 806호",10891,커피 가공업,35,2026-03-09
1544,리얼빈,070-7756-3733,,"경기도 성남시 중원구 사기막골로 124, (상대원동, SKn테크노파크) 메가동 4층 402호",10891,커피 가공업,4,2026-03-09
1548,리플렉트커피,,,"경기도 성남시 중원구 사기막골로 124, (상대원동, SKn테크노파크) 테크동 13층 1301호",10891,커피 가공업,3,2026-03-09
1815,씨앤에이빈즈,,,"경기도 성남시 중원구 둔촌대로 545, 3층 304 (상대원동, 한라시그마밸리)",10891,커피 가공업,1,2026-03-09
1864,아트프레소,,,"경기도 성남시 중원구 사기막골로105번길 25, 10층 1004호(상대원동, 중앙인더스피아2아파트형공장) 10층 1004호",10891,커피 가공업,1,2026-03-09
1890,에레즈코퍼레이션,031-8018-2348,,"경기도 성남시 중원구 사기막골로45번길 14 (상대원동, 성남 우림 라이온스밸리 2차) A동 12층 1208호",10891,커피 가공업,1,2026-03-09
2054,유강F&BE,070-6800-7407,031-753-0139,"경기도 성남시 중원구 갈마치로 302, B동 4층 412 (상대원동, 성남 우림 라이온스밸리 5차)",10891,커피 가공업,3,2026-03-09
2136,제이앤커피,031-776-0236,031-776-0237,"경기도 성남시 중원구 사기막골로 124, 비즈동 13층 1313 (상대원동, SKⓝ테크노파크)",10891,커피 가공업,2,2026-03-09
2266,타넬,031-747-7822,031-624-2797,"경기도 성남시 중원구 갈마치로 234, 9층 907호(상대원동, SK지식산업센터) 9층 907호",10891,커피 가공업,2,2026-03-09
2309,파란달커피,,031-743-1225,"경기도 성남시 중원구 갈마치로 302, B동 19층 1908 (상대원동, 성남 우림 라이온스밸리 5차)",10891,커피 가공업,2,2026-03-09
2311,파블로스커피로스팅컴퍼니,031-776-0606,031-776-0571,"경기도 성남시 중원구 사기막골로 124,(상대원동, SKn테크노파크) 메가동 4층 405호",10891,커피 가공업,2,2026-03-09
2543,(주)가비양,031-708-4288,031-708-3698,경기도 성남시 분당구 안골로 33 (서현동),10891,커피 가공업,12,2026-03-09
502,(주)씨에프스크린,031-603-0251,031-603-0252,"경기도 성남시 중원구 둔촌대로 531, 1층 103호(상대원동, 쌍용IT트윈타워 B동) 1층 103호",13223,커튼 및 유사제품 제조업,1,2026-03-09
950,(주)준일티엔에프,02-571-7713,031-777-1266,"경기도 성남시 중원구 둔촌대로 474, 5층 502 (상대원동, 선텍시티아파트형공장) 5층 502호",13223,커튼 및 유사제품 제조업,3,2026-03-09
1859,아인,031-776-4033,031-747-4735,"경기도 성남시 중원구 사기막골로 124,(상대원동, SKn테크노파크) 비즈동 B2층 B208호",13223,커튼 및 유사제품 제조업,2,2026-03-09
1960,엠앤엠,031-776-2666,031-776-2668,"경기도 성남시 중원구 사기막골로 124, 테크동 2층 201호 (상대원동)",13223,커튼 및 유사제품 제조업,8,2026-03-09
2423,현대산업사,02-763-9652,02-741-8307,"경기도 성남시 중원구 갈마치로288번길 14, 4층 401 (상대원동) 4층 401호 외 1필지",13223,커튼 및 유사제품 제조업,1,2026-03-09
2704,뉴코리아 버티칼,031-755-3626,031-755-3628,"경기도 성남시 수정구 복정로134번길 6, 지층 (복정동)",13223,커튼 및 유사제품 제조업,1,2026-03-09
1729,성진에스앤에프(주),031-712-9332,031-712-9344,"경기도 성남시 중원구 사기막골로90번길 36, C동 (상대원동)",13910+13221+13223+13229+14192+15129,카펫+마루덮개 및 유사제품 제조업 외 5 종,10,2026-03-09
262,(주)믹스앤플레이,,,"경기도 성남시 중원구 갈마치로288번길 14, A동 10층 1007 (상대원동) A동 10층 1007호",13910,카펫+마루덮개 및 유사제품 제조업,1,2026-03-09
2733,명지,070-779-5859,,"경기도 성남시 중원구 제일로73번길 16, B03호(성남동, 크란츠빌Ⅱ)",13221+13223+13910+14120+14194+14300+14411+14419+14499,침구 및 관련제품 제조업 외 8 종,2,2026-03-09
1667,삼부산업(주),,,"경기도 성남시 중원구 둔촌대로 388, 10층 1013호 (상대원동, 크란츠 테크노) 10층 1013호 외 1필지",13221+13224+13229+13922+13991+14111+14112+14120+14191+14192+14193+14199+14300+14491+14499+15129,침구 및 관련제품 제조업 외 15 종,7,2026-03-09
2700,네이처홈즈,031-745-7478,031-745-7477,"경기도 성남시 중원구 광명로323번길 13, B1호 (금광동)",13221+15219,침구 및 관련제품 제조업 외 1 종,2,2026-03-09
37,(주)구스앤홈,031-734-0122,031-697-0470,"경기도 성남시 중원구 순환로 79, 4층 (상대원동)",13221,침구 및 관련제품 제조업,59,2026-03-09
86,(주)누리아트,031-747-4315,031-746-4315,"경기도 성남시 중원구 갈마치로 302, A동 10층 1003 (상대원동, 성남 우림 라이온스밸리 5차)",13221,침구 및 관련제품 제조업,3,2026-03-09
545,(주)아이에이치파트너스,031-698-2140,031-698-2141,"경기도 성남시 중원구 사기막골로45번길 14, B동 11층 1114 (상대원동, 우림라이온스밸리 2차)",13221,침구 및 관련제품 제조업,4,2026-03-09
730,(주)예인테크,031-741-0518,031-741-0331,"경기도 성남시 중원구 사기막골로62번길 18, 1층(상대원동)",13221,침구 및 관련제품 제조업,12,2026-03-09
995,(주)카라한제4공장,031-733-8788,031-745-8788,"경기도 성남시 중원구 갈마치로 215, A동 3층 307 (상대원동, 금강펜테리움IT타워)",13221,침구 및 관련제품 제조업,13,2026-03-09
1508,드림방 제2공장,,0504-171-6520,"경기도 성남시 중원구 사기막골로 99, 1층 124호(상대원동) 1층 124호",13221,침구 및 관련제품 제조업,3,2026-03-09
1653,비엠에스코리아,031-723-9514,050-5757-7707,"경기도 성남시 중원구 둔촌대로 484, 10층 1009 (상대원동)",13221,침구 및 관련제품 제조업,5,2026-03-09
1839,아리베베 제2공장,,0504-145-1015,"경기도 성남시 중원구 사기막골로 99, 3층 305호(상대원동) 3층 305호",13221,침구 및 관련제품 제조업,3,2026-03-09
2901,하나수예마트,031-742-9240,,경기도 성남시 중원구 산성대로 498 (은행동),13221,침구 및 관련제품 제조업,13,2026-03-09
67,(주)네모난오렌지,02-6080-4007,02-6080-1548,"경기도 성남시 중원구 사기막골로105번길 27, 3층 308호(상대원동, 중앙인더스피아3) 3층 308호 외 1필지",20422+20423,치약+비누 및 기타 세제 제조업 외 1 종,6,2026-03-09
657,(주)에코힐러스,,031-723-8890,"경기도 성남시 중원구 사기막골로62번길 33, 4층 427(일부)호 (상대원동) 4층 427(일부)호 외 1필지",20422+71531,치약+비누 및 기타 세제 제조업 외 1 종,1,2026-03-09
1891,에바통상,02-412-1306,031-736-1309,"경기도 성남시 중원구 둔촌대로 388, 10층 1010호(상대원동, 크란츠 테크노) 10층 1010호",20422,치약+비누 및 기타 세제 제조업,6,2026-03-09
2389,한도씨앤씨(주),031-747-3222,070-8233-1477,"경기도 성남시 중원구 둔촌대로388번길 24, 5층 510 (상대원동, 성남 우림라이온스밸리3차)",20422,치약+비누 및 기타 세제 제조업,1,2026-03-09
2622,(주)엘케이바이오텍,031-707-1388,031-707-1389,"경기도 성남시 분당구 판교로 723, B동 404호 (야탑동, 분당테크노파크B동)",20422,치약+비누 및 기타 세제 제조업,1,2026-03-09
796,(주)월드바이오텍 제2공장,031-523-2760,031-523-2764,경기도 성남시 중원구 둔촌대로 536 (상대원동) 나동 1층,27191+25911,치과용 기기 제조업 외 1 종,4,2026-03-09
175,(주)딥임플란트시스템,02-568-8859,02-568-8839,"경기도 성남시 중원구 둔촌대로 545, 14층 1405 (상대원동, 한라시그마밸리)",27191,치과용 기기 제조업,4,2026-03-09
237,(주)메타시스템즈,031-731-7377,031-731-1888,"경기도 성남시 중원구 둔촌대로 484, 12층 1211 (상대원동) 외 7필지",27191,치과용 기기 제조업,26,2026-03-09
755,(주)올어바웃어버트먼트,031-731-6540,031-731-6541,"경기도 성남시 중원구 갈마치로 215,(상대원동, 금강펜테리움IT타워) A동 3층 303호 외 1필지",27191,치과용 기기 제조업,17,2026-03-09
795,(주)월드바이오텍,031-523-2760,031-776-2805,"경기도 성남시 중원구 둔촌대로 560, 6층 612 (상대원동)",27191,치과용 기기 제조업,15,2026-03-09
1671,삼신의료용구상사,031-737-6333,,"경기도 성남시 중원구 사기막골로105번길 25 (상대원동, 중앙인더스피아2아파트형공장)",27191,치과용 기기 제조업,3,2026-03-09
2166,주식회사 워랜텍 제2공장,02-3675-5851,02-3675-5853,"경기도 성남시 중원구 둔촌대로 474, 4층 411호(상대원동, 선텍시티1) 4층 411호 외 3필지",27191,치과용 기기 제조업,41,2026-03-09
457,(주)시지바이오,031-732-0840,031-732-0842,경기도 성남시 중원구 갈마치로 244 (상대원동),27192+20411+20422+21301+21309+23229+27193+27194,치과기공물 제조업 외 7 종,177,2026-03-09
281,(주)백산과학,031-777-1515,031-777-1511,"경기도 성남시 중원구 둔촌대로 474, 1층 103호 (상대원동, 선텍시티아파트형공장)",27192+26429+27193+27194+27309,치과기공물 제조업 외 4 종,3,2026-03-09
2519,알에스리햅,,,"경기도 성남시 수정구 달래내로 46, 201호 (시흥동)",27192+27112+27193+27194+70113,치과기공물 제조업 외 4 종,0,2026-03-09
634,(주)에이치비티,031-447-0425,031-447-0429,"경기도 성남시 중원구 사기막골로 124, 비즈동 408층(상대원동, SKn테크노파크) 비즈동 408층",27192+26329+27193+27194,치과기공물 제조업 외 3 종,10,2026-03-09
823,(주)유바이오시스,070-4228-8004,031-755-8004,"경기도 성남시 중원구 둔촌대로 484, 8층 809호(상대원동) 8층 809호 외 8필지",27192+20493+27193+27194,치과기공물 제조업 외 3 종,14,2026-03-09
869,(주)인벤티지랩,031-608-0514,031-608-0516,경기도 성남시 중원구 둔촌대로388번길 24 (상대원동) 6층 612호 외 1필지,27192+21230+27193+27194,치과기공물 제조업 외 3 종,8,2026-03-09
1952,엘엔지옵트로닉스(주),02-6927-9262,02-6927-9270,"경기도 성남시 중원구 갈마치로 215, a동 2층 207 (상대원동, 금강펜테리움IT타워)",27192+27193+27194+27309,치과기공물 제조업 외 3 종,6,2026-03-09
704,(주)엠아이티글로벌,031-745-2838,031-745-2839,"경기도 성남시 중원구 둔촌대로 474, 5층 501호(상대원동) 5층 501호",27192+27193+27194,치과기공물 제조업 외 2 종,8,2026-03-09
814,(주)유니언스,070-4719-6111,031-623-6121,"경기도 성남시 중원구 둔촌대로388번길 24, 11층 1112호(상대원동, 성남 우림라이온스밸리3차) 11층 1112호 외 1필지",27192+27193+27194,치과기공물 제조업 외 2 종,12,2026-03-09
1066,(주)태산솔루젼스,031-720-5120,031-720-5123,"경기도 성남시중원구 상대원동 5445번지 우림라이온스밸리3차 7층 709,710",27192+27193+27194,치과기공물 제조업 외 2 종,9,2026-03-09
1094,(주)티디엠,031-732-0631,031-732-0632,"경기도 성남시 중원구 사기막골로 148, 2층 204 (상대원동) 외 1필지",27192+27193+27194,치과기공물 제조업 외 2 종,34,2026-03-09
1387,나와교정치과기공소,,,"경기도 성남시 중원구 사기막골로62번길 33, 9층 945호(상대원동) 9층 945호",27192+27193+27194,치과기공물 제조업 외 2 종,1,2026-03-09
1922,에이스(중원)치과기공소,031-776-2811,031-776-2810,"경기도 성남시 중원구 사기막골로 124, SK엔테크노파크 비즈동 11층 1113 (상대원동)",27192+27193+27194,치과기공물 제조업 외 2 종,5,2026-03-09
2007,올그린,031-776-2015,031-776-2017,"경기도 성남시 중원구 사기막골로 124, 메가동 B1층 B116 (상대원동, SK엔테크노파크) 외 3필지",27192+27193+27194,치과기공물 제조업 외 2 종,7,2026-03-09
2053,윌치과기공소,031-732-1868,031-732-1868,"경기도 성남시 중원구 사기막골로 99, 8층 A815호(상대원동) 8층 A815호",27192+27193+27194,치과기공물 제조업 외 2 종,1,2026-03-09
2699,나래플러스 치과기공소,,,"경기도 성남시 분당구 성남대로 52, 그랜드프라자 502호 (구미동)",27192+27193+27194,치과기공물 제조업 외 2 종,7,2026-03-09
2744,뷰티풀스마일,031-712-7077,031-712-7077,"경기도 성남시 분당구 미금일로 77, 구미제2조합상가401호 (구미동)",27192+27193+27194,치과기공물 제조업 외 2 종,5,2026-03-09
2759,성지메디칼,02-318-3369,031-2295-2600,"경기도 성남시 분당구 판교로 723, 301호 (야탑동, 분당테크노파크B동)",27192+27193+27194,치과기공물 제조업 외 2 종,5,2026-03-09
2773,아주메디칼 주식회사,02-2630-0625,02-2636-7335,"경기도 성남시 분당구 판교로 697, A동 2층 207 (야탑동, 분당테크노파크A동) A동 2층 207호 외 2필지",27192+27193+27194,치과기공물 제조업 외 2 종,6,2026-03-09
99,(주)다이나포스,031-734-6842,,경기도 성남시 중원구 사기막골로90번길 14 (상대원동),33301,체조+육상 및 체력단련용 장비 제조업,35,2026-03-09
1116,(주)파라밴드,031-733-7331,0502-649-7332,"경기도 성남시 중원구 둔촌대로 464, 5층 502호(상대원동, 드림테크노) 5층 502호",33301,체조+육상 및 체력단련용 장비 제조업,3,2026-03-09
1505,두자영스포츠,031-777-1201,031-777-1202,"경기도 성남시 중원구 둔촌대로 474, B1층 B107호 (상대원동, 선텍시티아파트형공장), B108호 외 1필지",33301,체조+육상 및 체력단련용 장비 제조업,2,2026-03-09
2343,피제이비(주),031-308-7113,031-732-0552,경기도 성남시 중원구 둔촌대로388번길 24 (상대원동) 11층 1105호,33301,체조+육상 및 체력단련용 장비 제조업,8,2026-03-09
902,(주)제네웰,031-8018-5500,031-8018-5506,"경기도 성남시 중원구 사기막골로62번길 37, 1층 107 (상대원동, 스타타워 아파트형공장) 1층 107호",21301+20423+21309+27199,체외 진단 시약 제조업 외 3 종,50,2026-03-09
216,(주)마스크팩토리,031-778-8963,050-4190-7240,"경기도 성남시 중원구 사기막골로 124,(상대원동, SKn테크노파크) 메가동 B1층 B110호",21301+13999+21309,체외 진단 시약 제조업 외 2 종,5,2026-03-09
238,(주)메타약품,02-568-0876,02-568-0875,"경기도 성남시 중원구 사기막골로 124,(상대원동, SKn테크노파크) 메가동 2층 203호 외 2필지",21301+21309+22249,체외 진단 시약 제조업 외 2 종,8,2026-03-09
393,(주)셀라메디컬,,,"경기도 성남시 중원구 사기막골로62번길 33, 4층 F420호  (상대원동) 4층 F420호 외 2필지",21301+21309+27199,체외 진단 시약 제조업 외 2 종,1,2026-03-09
2459,힉스씨앤티(주),031-8016-6870,031-8039-4322,"경기도 성남시 중원구 갈마치로244번길 31, 3층 304호 (상대원동, 현대아이밸리) 3층 304호 외 3필지",21301+20423+21309,체외 진단 시약 제조업 외 2 종,8,2026-03-09
2645,(주)장성,031-707-2893,031-707-2894,"경기도 성남시 분당구 판교로 697, 503호 (야탑동, 분당테크노파크A동)",21301+21309+22299,체외 진단 시약 제조업 외 2 종,20,2026-03-09
115,(주)대일제약 제2공장,031-731-6203,031-731-6209,경기도 성남시 중원구 사기막골로62번길 51 (상대원동),21301+21309,체외 진단 시약 제조업 외 1 종,45,2026-03-09
271,(주)바이오메디칼테크놀로지,031-8013-7701,031-8013-7702,"경기도 성남시 중원구 사기막골로 124, 메가동 10층 1011 (상대원동, SKⓝ테크노파크)",21301+21309,체외 진단 시약 제조업 외 1 종,9,2026-03-09
297,(주)보레다바이오텍,031-8018-2880,031-624-3436,"경기도 성남시 중원구 사기막골로45번길 14,(상대원동, 성남 우림 라이온스밸리) A동 5층 506호 외 10필지",21301+21309,체외 진단 시약 제조업 외 1 종,21,2026-03-09
298,(주)보레다바이오텍 제2공장,031-8018-2880,031-624-3436,"경기도 성남시 중원구 둔촌대로457번길 27, 9층 909호(상대원동, 성남우림라이온스밸리) 9층 909호",21301+21309,체외 진단 시약 제조업 외 1 종,21,2026-03-09
401,(주)소명메딕스,031-8018-5300,031-8018-5302,"경기도 성남시 중원구 사기막골로62번길 37, 5층 505 (상대원동, 스타타워 아파트형공장)",21301+21309,체외 진단 시약 제조업 외 1 종,7,2026-03-09
416,(주)슈어덴트,031-737-4720,031-737-4724,"경기도 성남시 중원구 사기막골로 52, 8층 808호 (상대원동, 선택시티 2) 8층 808호 외 3필지",21301+21309,체외 진단 시약 제조업 외 1 종,26,2026-03-09
593,(주)에스씨엘,031-732-9990,031-732-9992,"경기도 성남시 중원구 갈마치로 186, 9층 902 (상대원동, 반포테크노피아) 9층 902호 외 3필지",21301+21309,체외 진단 시약 제조업 외 1 종,12,2026-03-09
633,(주)에이치디아이,031-735-3510,031-735-3511,"경기도 성남시 중원구 사기막골로45번길 14,(상대원동) A동 5층 504호 외 1필지",21301+21309,체외 진단 시약 제조업 외 1 종,4,2026-03-09
677,(주)엔케이메디텍,031-8018-2561,031-8018-2562,경기도 성남시 중원구 사기막골로45번길 14 (상대원동) A동 17층 1703호 외 3필지,21301+21309,체외 진단 시약 제조업 외 1 종,6,2026-03-09
691,(주)엘앤씨바이오,031-731-7050,031-776-3935,"경기도 성남시 중원구 둔촌대로 474, 6층 605 (상대원동) 외 5필지",21301+21309,체외 진단 시약 제조업 외 1 종,43,2026-03-09
733,(주)오래온라이프사이언스,070-8250-5520,02-542-9320,"경기도 성남시 중원구 사기막골로 99, 3층 313호(상대원동) 3층 313호 외 6필지",21301+21309,체외 진단 시약 제조업 외 1 종,12,2026-03-09
769,(주)와이제이콥스메디칼,031-723-0715,031-723-0716,"경기도 성남시 중원구 사기막골로 148, 5층 503 (상대원동) 외 2필지",21301+21309,체외 진단 시약 제조업 외 1 종,5,2026-03-09
1041,(주)쿼드메디슨,031-754-1152,031-754-9686,"경기도 성남시 중원구 사기막골로45번길 14 (상대원동, 성남 우림 라이온스밸리 2차) B동 6층 601호 외 6필지",21301+21309,체외 진단 시약 제조업 외 1 종,20,2026-03-09
1075,(주)탭스인터내셔널 제2공장,02-2038-6709,031-720-5099,"경기도 성남시 중원구 둔촌대로388번길 24, 9층 912 (상대원동, 성남 우림라이온스밸리3차) 9층 912호",21301+21309,체외 진단 시약 제조업 외 1 종,9,2026-03-09
1078,(주)테라시온바이오메디칼,070-4417-6777,,"경기도 성남시 중원구 사기막골로 137, 7층 712호(상대원동, 중앙인더스피아5차) 7층 712호 외 3필지",21301+21309,체외 진단 시약 제조업 외 1 종,7,2026-03-09
1079,(주)테람스,031-344-0797,031-344-0768,"경기도 성남시 중원구 둔촌대로 400, 5층 502호(상대원동) 5층 502호 외 2필지",21301+21309,체외 진단 시약 제조업 외 1 종,9,2026-03-09
1156,(주)푸르고바이오로직스,02-548-1875,02-549-4003,"경기도 성남시 중원구 둔촌대로457번길 27, 4층 406호(상대원동, 성남우림라이온스밸리) 4층 406호 외 15필지",21301+21309,체외 진단 시약 제조업 외 1 종,38,2026-03-09
1180,(주)피비엠이스트,031-777-3250,031-777-3254,"경기도 성남시 중원구 둔촌대로 555, 12층 1203 (상대원동, 선일테크노피아)",21301+21309,체외 진단 시약 제조업 외 1 종,8,2026-03-09
1190,(주)피플바이오,031-526-7825,031-526-7826,"경기도 성남시 중원구 둔촌대로457번길 27, 11층 1102호(상대원동, 성남우림라이온스밸리) 11층 1102호 외 2필지",21301+21309,체외 진단 시약 제조업 외 1 종,11,2026-03-09
1510,디메드 유한책임회사 제2공장,02-558-4081,02-558-4087,"경기도 성남시 중원구 갈마치로 314, B2층 B226호(상대원동, 성남 센트럴비즈타워 1) B2층 B226호 외 1필지",21301+21309,체외 진단 시약 제조업 외 1 종,6,2026-03-09
1511,디메드 유한책임회사 제3공장,02-558-4081,02-558-4087,경기도 성남시 중원구 사기막골로 111 (상대원동),21301+21309,체외 진단 시약 제조업 외 1 종,17,2026-03-09
1598,미와인,,,"경기도 성남시 중원구 둔촌대로457번길 27, 9층 904 (상대원동, 성남 우림 라이온스밸리 1차)",21301+21309,체외 진단 시약 제조업 외 1 종,3,2026-03-09
2168,주식회사 커스메디,031-732-1190,031-732-1180,"경기도 성남시 중원구 갈마치로 215, B동 10층 1001 (상대원동)",21301+21309,체외 진단 시약 제조업 외 1 종,7,2026-03-09
2548,(주)구정덴텍,031-704-2208,031-706-9818,"경기도 성남시 분당구 판교로 697,609호 (야탑동, 분당테크노파크A동)",21301+21309,체외 진단 시약 제조업 외 1 종,4,2026-03-09
2603,(주)아리바이오,02-2637-0009,02-2633-9911,"경기도 성남시 수정구 고등로 3,(고등동, 현대지식산업센터 성남고등) A동동 2층 A-2-13호 외 1필지",21301+21309,체외 진단 시약 제조업 외 1 종,0,2026-03-09
2604,(주)아리바이오,02-2637-0009,02-2633-9911,"경기도 성남시 분당구 돌마로 172, 분당서울대학교병원 HIP혁신센터 1104호 (정자동)",21301+21309,체외 진단 시약 제조업 외 1 종,6,2026-03-09
2621,(주)엔코스,031-744-4706,,"경기도 성남시 수정구 산성대로 553, 서울보건대학 창업보육센터 604호 (양지동)",21301+21309,체외 진단 시약 제조업 외 1 종,1,2026-03-09
2855,주식회사 엔케이젠바이오텍코리아,031-603-9358,031-8017-8124,"경기도 성남시 분당구 판교로 253, B동 1층 103호(삼평동, 판교 이노밸리)",21301+21309,체외 진단 시약 제조업 외 1 종,12,2026-03-09
2884,충남제약(주),031-703-9034,,"경기도 성남시 분당구 판교로 723, 902호 (야탑동, 분당테크노파크B동)",21301+21309,체외 진단 시약 제조업 외 1 종,8,2026-03-09
673,(주)엔에스텍,031-777-3750,031-777-3752,"경기도 성남시 중원구 둔촌대로 545, 2층 207호(상대원동, 한라시그마밸리) 2층 207호 외 4필지",31202+27212+27213+27219+29223+29224,철도차량 부품 및 관련 장치물 제조업 외 5 종,13,2026-03-09
573,(주)알에프컴,031-743-7322,031-743-7323,"경기도 성남시 중원구 둔촌대로 531, 9층 903호(상대원동, 쌍용IT트윈타워 B동) 9층 903호",31202+26421+26429+27219+58222,철도차량 부품 및 관련 장치물 제조업 외 4 종,16,2026-03-09
265,(주)바른테크,031-777-8965,031-777-8966,"경기도 성남시 중원구 갈마치로 245, 18층 1810호  (상대원동) 18층 1810호",31202+27212+27213+58222,철도차량 부품 및 관련 장치물 제조업 외 3 종,5,2026-03-09
2640,(주)이노파크텍,031-756-6773,031-754-1232,"경기도 성남시 분당구 판교로 697, (야탑동, 분당테크노파크) A동 9층 901-2호",31202+26421+28903+29163,철도차량 부품 및 관련 장치물 제조업 외 3 종,8,2026-03-09
381,(주)성원디엔텍,031-730-0011,031-730-0015,"경기도 성남시 중원구 갈마치로 215,(상대원동, 금강펜테리움IT타워) A동 7층 707호",31202+26224+26294+26299+26410+26429+27211+27212+28111+28113+28119+28123+31311+31312+31322,철도차량 부품 및 관련 장치물 제조업 외 14 종,5,2026-03-09
540,(주)아이앤비아이티,02-948-5400,,"경기도 성남시 중원구 갈마치로 245, 10층 1001호  (상대원동) 10층 1001호",31202+58222,철도차량 부품 및 관련 장치물 제조업 외 1 종,5,2026-03-09
