연번,회사명,공장대표주소,전화번호,생산품,데이터기준일자
687,(주)에이치케이닥터프로아,경기도 광주시 도척면 방등길46번길 18,031-798-5007,광택제+강화제+,2026-01-30
688,(주)에이치케이스마트,경기도 광주시 초월읍 용수길 164-4,,가구+씽크대,2026-01-30
689,(주)에이코,경기도 광주시 곤지암읍 가마을길 126,031-548-2992,변압기+리액터,2026-01-30
690,(주)에이티씨,경기도 광주시 초월읍 산수로440번길 3-12,031-769-7222,알루미늄 쉴트,2026-01-30
691,(주)에이팀디자인,경기도 광주시 곤지암읍 열미길 139-36 외 1필지,02-6426-3500,진열장,2026-01-30
692,(주)에이팩,경기도 광주시 초월읍 동막골길 194-16,031-762-6355,비닐포장지,2026-01-30
693,(주)에이팬,경기도 광주시 도척면 마도로 284-1,,간장 통 마개,2026-01-30
694,(주)에치앤에스,경기도 광주시 이배재로 327 (목현동),031-763-9401,신발,2026-01-30
695,(주)에코글라스,경기도 광주시 도척면 다람로40번길 42,031-768-6258,금속창호+인테리어유리,2026-01-30
696,(주)에코바스켓,경기도 광주시 곤지암읍 백고개길 212-10,02-403-8386,철망,2026-01-30
697,(주)에코수엔지니어링,경기도 광주시 보뚱치길130번길 52,031-798-9361,음수대+차양+공구보관함,2026-01-30
698,(주)에코스,경기도 광주시 초월읍 동막골길 294,031-548-1001,전동기및발전기+기타발전기및전기변환장치+전기회로개폐+보호및접속장치+배전반및전기자동제어반전구및램프,2026-01-30
699,(주)에코스,경기도 광주시 초월읍 도곡길22번길 11-46,031-548-1001,태양광발전장치+배전반,2026-01-30
700,(주)에코스,경기도 광주시 초월읍 동막골길 164-1,031-548-1001,태양광 발전장치+배전반+전기차 충전기 등,2026-01-30
701,(주)에코앤휴먼,경기도 광주시 상태길 90-50,031-378-2360,반사밴드+천연밴드,2026-01-30
702,(주)에프앤피,경기도 광주시 순암로 112-27 (장지동),031-768-7621,배낭후레임및 금구류 등,2026-01-30
703,(주)엔시플러스,경기도 광주시 도척면 마도로 109-16,031-723-6071,흡음제,2026-01-30
704,(주)엔씨텍,경기도 광주시 곤지암읍 신만로409번길 20-16,070-7011-1883,교반기계,2026-01-30
705,(주)엔아이씨이,경기도 광주시 곤지암읍 경충대로 425,02-576-0009,물탱크,2026-01-30
706,(주)엔아이에프,경기도 광주시 도척면 다람로 160,031-764-3328,복합조미식품+향미유+소스+과채가공품+당류가공품+음료베이스+기타가공품+식품첨가물,2026-01-30
707,(주)엔에스폴딩,경기도 광주시 옥토골길 14(태전동),1688-6121,알루미늄 폴딩 문 및 창호,2026-01-30
708,(주)엔엘에스,경기도 광주시 보뚱치길 137-14,02-2687-2200,자연채광장치+금속부품,2026-01-30
709,(주)엔엘에스바이오,경기도 광주시 도척면 도척로256번길 115,031-761-2374,세탁폐수처리기계,2026-01-30
710,(주)엔젤싹스,경기도 광주시 순암로 350(중대동),031-741-9166,덧버선+양말+토시,2026-01-30
711,(주)엔퓨텍,"경기도 광주시 곤지암읍 백고개길161번길 24, 1층",031-744-4549,자외선살균기+공기정화필터,2026-01-30
712,(주)엘리프,경기도 광주시 도척면 도척로 694-34,031-797-2911,씽크대,2026-01-30
713,(주)엘림텍,경기도 광주시 양벌로 256,031-797-1181,전자부품,2026-01-30
714,(주)엘이디포유,경기도 광주시 초월읍 경충대로 1329-13,070-4314-0503,LED모듈,2026-01-30
715,(주)엘이디포유,경기도 광주시 초월읍 산수로210번길 6-2,070-4044-7455,간판,2026-01-30
716,(주)엘제이테크,경기도 광주시 도척면 궁평하천길 26-24,031-763-5865,이동식화장실,2026-01-30
717,(주)엘케이디자인,경기도 광주시 초월읍 도곡길21번길 56,031-765-7394,욕실장+목재수건함등,2026-01-30
718,(주)엘티아이,"경기도 광주시 도척면 도척로 446, 다동1층",031-899-3553,산업용 포장제,2026-01-30
719,(주)엠디엠알,경기도 광주시 초월읍 도평길 207-17,02-2244-9370,차량검지기+가변정보표지판+영상검지기 등,2026-01-30
720,(주)엠씨티,경기도 광주시 도척면 마도로 36,031-798-3986,화장실 칸막이+벽패널+천장재등,2026-01-30
721,(주)엠아이디,경기도 광주시 초월읍 경충대로 1329-11,031-767-3183,세라믹가공+시계부품,2026-01-30
722,(주)엠아이커피,경기도 광주시 오포로 406 외 1필지,02-537-5013,복은커피,2026-01-30
723,(주)엠알에스시스템,경기도 광주시 초월읍 도평길110번길 19-45,031-768-1855,전동스크릴,2026-01-30
724,(주)엠에스코리아,경기도 광주시 초월읍 산수로682번길 27-3,031-798-8593,반사 원단,2026-01-30
725,(주)엠에이치케어,경기도 광주시 양촌길 192-36 (양벌동),031-8027-6912,마스크,2026-01-30
726,(주)엠크래프츠,경기도 광주시 도척면 도척로 254,031-8027-2752,주사전자 현미경,2026-01-30
727,(주)엠텍스,경기도 광주시 초월읍 양지길 14,031-769-7328,점착(기능성)섬유,2026-01-30
728,(주)엠티케이방재시스템,경기도 광주시 봉골길 13,031-606-4701,소방기자재+공기포소화설비,2026-01-30
729,(주)연전,경기도 광주시 도척면 다람로36번길 31-19,02-851-2451,전동기,2026-01-30
730,(주)영공,경기도 광주시 초월읍 선장동길 46,031-562-8050,e.p.s판넬,2026-01-30
731,(주)영광물산,경기도 광주시 곤지암읍 열미길 18 (총 3 필지) 외 2필지,031-797-2325,내프킨+식품포장지,2026-01-30
732,(주)영광하이테크,경기도 광주시 초월읍 용수길 115 외 2필지,031-798-2321,전기장판+전기요+전기방석+전기매트,2026-01-30
733,(주)영농코리아하우스,경기도 광주시 봉골길134번길 22-5 외 1필지,031-769-2871,농자재,2026-01-30
734,(주)영동,경기도 광주시 초월읍 무들로 235-7,031-765-9607,플라스틱 통,2026-01-30
735,(주)영동복층유리,경기도 광주시 곤지암읍 구수동길 6,031-764-5300,복층유리제조,2026-01-30
736,(주)영동복층유리 성남공장,경기도 광주시 옥토골길 33-24 (태전동),031-797-0604,판유리가공품,2026-01-30
737,(주)영동이앤티에스,경기도 광주시 곤지암읍 내선길 18,02-2695-6915,자동화설비,2026-01-30
738,(주)영보이엔지,경기도 광주시 곤지암읍 광여로99번길 7,031-764-0248,금속탱크 바가지 찬합,2026-01-30
739,(주)영신브이에스씨,경기도 광주시 진토길 45-1 (목동),031-767-7648,실리콘롤+반도체가공품,2026-01-30
740,(주)영신섬유,경기도 광주시 순암로 363-19 (중대동),031-762-0595,양말,2026-01-30
741,(주)영신엔지니어링,경기도 광주시 도척면 도척로 337-13 외 5필지,031-762-5838,배전반+UPS+충전기+정류기+인버터+마스크,2026-01-30
742,(주)영우,경기도 광주시 순암로 343 (중대동),031-761-4924,타면,2026-01-30
743,(주)영인푸드,경기도 광주시 곤지암읍 광여로4번길 31,031-797-5734,돈까스+소스류,2026-01-30
744,(주)영일,경기도 광주시 곤지암읍 신만로 403 외 1필지,031-763-3002,TPE 콤파운드,2026-01-30
745,(주)영일산업,경기도 광주시 초월읍 두월길 116 (총 2 필지),031-798-3301,알미늄 문짝 등,2026-01-30
746,(주)영진바이오크롬 광주공장,경기도 광주시 광남안로 50-23 (태전동),070-4272-5345,액체펌프+그외기타특수목적용기계,2026-01-30
747,(주)영진양행,경기도 광주시 초월읍 두월길29번길 2,031-764-7931,빵포장지,2026-01-30
748,(주)영진켐,경기도 광주시 초월읍 동막골길 150-5,031-764-7010,비닐포리팩+필름,2026-01-30
749,(주)영진프레임,경기도 광주시 초월읍 산수로 222,031-762-5900,액자틀,2026-01-30
750,(주)영진화학,경기도 광주시 도척면 다람로40번길 12-47,031-767-8747,포장지(인쇄),2026-01-30
751,(주)예가,경기도 광주시 초월읍 무들로270번길 37 외 4필지,031-766-1411,액자몰딩,2026-01-30
752,(주)예가,경기도 광주시 초월읍 산수로 169-32,031-766-1411,목재문,2026-01-30
753,(주)예가디앤디,경기도 광주시 초월읍 산수로 169-32,031-768-2410,폴딩도어+중문창호,2026-01-30
754,(주)예네,경기도 광주시 오포로859번길 8 외 1필지,031-767-2266,전기온풍기,2026-01-30
755,(주)예디,"경기도 광주시 초월읍 숯골길 46, A동",031-762-3998,철제의자(프레임),2026-01-30
756,(주)예인멤피스,경기도 광주시 도척면 다람로40번길 12-4,031-769-4280,장식장,2026-01-30
757,(주)예지에프엔지,경기도 광주시 초월읍 산수로210번길 42,031-766-3921,포장지,2026-01-30
758,(주)예카,경기도 광주시 오포로 445-10 (문형동),1899-7133,자동차 중고 부품,2026-01-30
759,(주)오는일,경기도 광주시 초월읍 현산로385번길 21,02-6285-0005,간판,2026-01-30
760,(주)오래식품,경기도 광주시 곤지암읍 광여로99번길 31,031-761-2733,치자분말+코코아분말+밀크향+고기가공,2026-01-30
761,(주)오미코리아,경기도 광주시 경충대로 1958-7 (중대동),031-762-4787,수저,2026-01-30
762,(주)오성이엔씨토스템,경기도 광주시 초월읍 산수로 430-1,031-761-5623,알미늄창호+금속창호,2026-01-30
763,(주)오성폼,경기도 광주시 초월읍 산이길 64-41,031-762-2577,폴리에틸렌 발포 성형제품,2026-01-30
764,(주)오션이엔지,경기도 광주시 고불로 138-23 (태전동),031-767-7341,해상기상곽측장비,2026-01-30
765,(주)오씨스톤,"경기도 광주시 도척면 방도길 49-24, 방도리 306-9 외 1필지",031-767-4456,석재성형가공제품,2026-01-30
766,(주)오토기기,경기도 광주시 초월읍 경충대로1284번길 70 (총 6 필지),02-2299-3406,롤러+자동차검사기기 등,2026-01-30
767,(주)오트리 푸드빌리지,경기도 광주시 매자리길 68-7 외 1필지,070-5224-1758,견과류 가공품,2026-01-30
768,(주)온누리바이오생약,경기도 광주시 초월읍 현산로 295-15,02-967-9679,녹용추출액+대추추출액,2026-01-30
769,(주)온세조명,경기도 광주시 곤지암읍 경충대로101번길 40-1,031-723-5798,조명기기+형광등기구,2026-01-30
770,(주)온스머트리얼,경기도 광주시 초월읍 산수로440번길 19,031-766-9284,동파이프+황동파이프,2026-01-30
771,(주)와이낫,경기도 광주시 봉골길81번길 22,02-497-1207,골판지 상자,2026-01-30
772,(주)와이앤지,경기도 광주시 광남안로 90 (태전동),031-765-8860,비누,2026-01-30
773,(주)와이제이,경기도 광주시 도척면 국사봉로 121-5,031-761-3944,플라스틱관,2026-01-30
774,(주)와이제이비앤,"경기도 광주시 봉골길81번길 13, 1,3층(문형동)",031-8027-2156,전기인두(고데기),2026-01-30
775,(주)와이케이이엔씨,경기도 광주시 경충대로 1912 (장지동),031-721-6261,플라스틱창호+금속제창,2026-01-30
776,(주)왕건,경기도 광주시 직동로 131-10 (직동),031-768-4459,돈육+우육가공품,2026-01-30
777,(주)요요인터렉티브,"경기도 광주시 회덕길 96-16, 1호동",02-404-1306,실감형 콘텐츠+인터렉티브 콘텐츠 개발+전시영상 개발+응용소프트웨어 개발,2026-01-30
778,(주)용우테크,"경기도 광주시 직동로 131-4, 1호동(직동)",031-759-9906,놀이터용 장비,2026-01-30
779,(주)용진창호,경기도 광주시 도척면 마도로 265-16,031-762-4234,PVC창호,2026-01-30
780,(주)우드원,경기도 광주시 초월읍 산수로 169-36 외 2필지,031-764-7373,마루제조,2026-01-30
781,(주)우리기술,경기도 광주시 곤지암읍 경충대로 135-47,031-798-9585,냉난방용일체형배관,2026-01-30
782,(주)우리도어,경기도 광주시 곤지암읍 경충대로 187-20 외 2필지,031-763-6155,방화문+창호,2026-01-30
783,(주)우리에프엔지,경기도 광주시 오포로498번길 41,031-768-1303,순살오징어+산채볶음나물등,2026-01-30
784,(주)우리엘폴리,경기도 광주시 목동길36번길 29-10 (목동),031-797-1888,농업용 비닐,2026-01-30
785,(주)우림퍼니처,경기도 광주시 초월읍 동막골길 253 외 3필지,031-763-3205,목재가구,2026-01-30
786,(주)우림퍼니처,경기도 광주시 곤지암읍 광여로733번길 7-27,031-763-3205,가구,2026-01-30
787,(주)우석,경기도 광주시 도척면 방도길 63,031-761-8565,생활용프라스틱제품,2026-01-30
788,(주)우석에어벤처시스템,경기도 광주시 오포로456번길 20 외 1필지,031-717-1757,스파이럴 닥트,2026-01-30
789,(주)우성바이오텍,경기도 광주시 매자리길27번길 111-13 (총 3 필지),02-2234-9949,베개+우레탄가공품,2026-01-30
790,(주)우성산업개발,경기도 광주시 곤지암읍 광여로 835-27,031-795-7331,히트펌프,2026-01-30
791,(주)우성육가공,경기도 광주시 곤지암읍 경충대로 483,031-769-4341,육가공,2026-01-30
792,(주)우성팩,경기도 광주시 곤지암읍 열미길 99-24 외 1필지,031-764-3161,연포장지,2026-01-30
793,(주)우수인텍,경기도 광주시 초월읍 대쌍령길 19,031-765-5913,반도체 금형부품,2026-01-30
794,(주)우신이엔지,경기도 광주시 곤지암읍 독고개길 127-59,070-4414-1653,강광용플랜지관,2026-01-30
795,(주)우양계전,경기도 광주시 초월읍 도곡길22번길 37,031-768-1331,수배문전반,2026-01-30
796,(주)우연티엔이,경기도 광주시 목동길45번길 1 (목동),031-719-2943,분전반+챠임+키텍+조명스위치+온도스위치 외,2026-01-30
797,(주)우진CO,경기도 광주시 옥토골길 95 (태전동),031-798-8789,사무용가구,2026-01-30
798,(주)우진에스피,경기도 광주시 초월읍 지월로100번길 123-4,,포장지(인쇄),2026-01-30
799,(주)우진이엔지,경기도 광주시 순암로 223-13 (중대동),031-745-3341,집진기+탈취기+공기정화장치+산화제발생장치,2026-01-30
800,(주)우창전기산업,경기도 광주시 초월읍 무갑길140번길 14-13,031-769-2136,산업용전기기기,2026-01-30
801,(주)우창전기산업,경기도 광주시 초월읍 무갑길140번길 14-10,031-769-2136,광폭전기기기,2026-01-30
802,(주)우피아,경기도 광주시 도척면 도척윗로 722-16,02-6711-9338,가구,2026-01-30
803,(주)원대티지케이,경기도 광주시 곤지암읍 광여로 636 외 2필지,031-768-1805,유공압밸브,2026-01-30
804,(주)원페인팅,경기도 광주시 초월읍 경충대로963번길 44,070-4124-7848,특장차 및 관련제품,2026-01-30
805,(주)월드론,경기도 광주시 곤지암읍 광여로 655-9,031-766-8872,단열재,2026-01-30
806,(주)월드산업,경기도 광주시 곤지암읍 광여로 98,031-798-8515,마루제품(바닥재),2026-01-30
807,(주)월드에어텍,경기도 광주시 초월읍 두월길 125 (총 3 필지) 외 2필지,031-798-7315,닥트,2026-01-30
808,(주)월드에어텍,경기도 광주시 초월읍 두월길 115,031-798-7315,덕트,2026-01-30
809,(주)월드플랜,경기도 광주시 곤지암읍 원지길 61-13,031-765-8862,목재책상+서랍통,2026-01-30
810,(주)웰팩,경기도 광주시 도척면 마도로 71,031-797-9903,종이호일+쿠킹페이퍼,2026-01-30
811,(주)웹센,경기도 광주시 도척면 도척로 421,031-761-3000,수배전반+태양광발전설비,2026-01-30
812,(주)위드닉스,경기도 광주시 오포로 593-14,070-4338-3815,DVR,2026-01-30
813,(주)위메이크드론,"경기도 광주시 곤지암읍 건업길 38-74, 2동",031-765-5776,드론(레이싱+방제+관측 및 항공측량),2026-01-30
814,(주)위성,"경기도 광주시 도척면 저수지길 30-112, 부분임대",070-7797-4247,마스크(공산품),2026-01-30
815,(주)유니데코,경기도 광주시 초월읍 동막골길 178-42,031-761-1694,목재테이블+의자 등,2026-01-30
816,(주)유림식품,경기도 광주시 초월읍 대쌍령길 21,031-766-6980,차류제조(둥굴레+녹차),2026-01-30
817,(주)유브이플러스,경기도 광주시 행정타운로138번길 1-23 (회덕동),031-767-5705,자외선 살균기등,2026-01-30
818,(주)유성식품,경기도 광주시 초월읍 동막골길 29 외 2필지,031-762-3754,쌀가루+현미등,2026-01-30
819,(주)유성엔지니어링,경기도 광주시 광남안로129번길 13 (목동),031-765-9806,핸드폰부품,2026-01-30
820,(주)유앤아이,경기도 광주시 초월읍 도평길110번길 22-1,031-767-0636,식기세척기+현미발아기,2026-01-30
821,(주)유일,경기도 광주시 도척면 저수지길 30-122,031-765-7570,금속제품,2026-01-30
822,(주)유일이앤티,경기도 광주시 곤지암읍 부항길97번길 14-5,031-798-8591,저장용기+열교환기,2026-01-30
823,(주)유일필터,경기도 광주시 곤지암읍 백고개길 124 외 1필지,1577-6528,연료필터,2026-01-30
824,(주)유정,경기도 광주시 초월읍 현산로 310-9,031-766-1522,몰딩재,2026-01-30
825,(주)유진가구,경기도 광주시 곤지암읍 백고개길 103 (총 2 필지) 외 1필지,031-762-6510,장롱+신발장,2026-01-30
826,(주)유진벽지,경기도 광주시 초월읍 두둘기길 103,031-798-3642,벽지,2026-01-30
827,(주)유진월드,경기도 광주시 곤지암읍 광여로 529-30,031-797-2107,보드판 및 보드합판,2026-01-30
828,(주)유팩,경기도 광주시 도척면 방도길66번길 39-6,031-761-5922,식품포장지+일반포장지,2026-01-30
829,(주)윤앤에스디,경기도 광주시 광남안로129번길 23-20 (목동),031-765-0581,간판+광고물,2026-01-30
830,(주)융기하우징,경기도 광주시 경충대로 1914(장지동),031-766-5507,창호,2026-01-30
831,(주)은성특수산업,경기도 광주시 곤지암읍 경충대로184번길 7-27,031-762-1986,플라스틱봉투,2026-01-30
832,(주)은탑,경기도 광주시 도척면 마도로 139-31,031-798-9984,벽천장흡음재,2026-01-30
833,(주)은하수미디어,경기도 광주시 진토길 7-5 (목동),02-449-2701,서적,2026-01-30
834,(주)은혜산업,경기도 광주시 곤지암읍 장심길 99-7 (총 2 필지) 외 1필지,031-764-2530,원단편조업,2026-01-30
835,(주)이건,경기도 광주시 도척면 도척로 830-11,031-766-7391,건설기계 와이어쏘+휠쏘,2026-01-30
836,(주)이공사,경기도 광주시 봉골길134번길 61 외 1필지,031-765-1075,버스승강장 +디자인휀스+도로시설물+차선분리대,2026-01-30
837,(주)이그널,경기도 광주시 고불로 261 (태전동),031-717-2562,살균제,2026-01-30
838,(주)이너보틀,경기도 광주시 오포안로 293 (추자동) 외 1필지,070-4762-4000,기타 위생용 고무제품(이너보틀 솔루션 적용된 완제품),2026-01-30
839,(주)이너지테크놀러지스,경기도 광주시 곤지암읍 광여로 145,031-766-6707,냉동기+히트펌프등,2026-01-30
840,(주)이노뷰,경기도 광주시 곤지암읍 경충대로244번길 52,031-907-7951,포장지,2026-01-30
841,(주)이누미디어,경기도 광주시 도척면 도척로 694-38 (총 2 필지) 외 1필지,02-3445-2369,간판+철구조물+태양광발전+철문,2026-01-30
842,(주)이다에스엔티,경기도 광주시 광남안로129번길 32(목동),031-726-0448,농구대+축구골대 등,2026-01-30
843,(주)이든아이앤에스,경기도 광주시 초월읍 두둘기길 119,02-3471-7133,금속가공제품,2026-01-30
844,(주)이랜드이츠식품 광주공장,경기도 광주시 초월읍 산수로 242,031-8027-2919,포장육+양념육,2026-01-30
845,(주)이레석재산업,경기도 광주시 매자리길 68-49,031-767-4456,대리석가공품,2026-01-30
846,(주)이레콘크리트,경기도 광주시 도척면 방도길 49-24 외 1필지,031-763-4451,보강토블럭,2026-01-30
847,(주)이림조명,경기도 광주시 초월읍 무들로147번길 22-23,031-763-8377,조명장치,2026-01-30
848,(주)이마트 미트센터,경기도 광주시 포은대로 640-8 외 3필지,031-760-5106,한우+돈육+,2026-01-30
849,(주)이맥이노베이션,경기도 광주시 곤지암읍 새재길226번길 14-6 외 1필지,031-8025-7693,고광도항공장애등+전기매트 등,2026-01-30
850,(주)이비산업,경기도 광주시 목동길34번길 37-7 (목동),031-763-2641,전기식스팀보일러,2026-01-30
851,(주)이송소파,경기도 광주시 곤지암읍 연곡길42번길 32-20,031-764-0364,소파,2026-01-30
852,(주)이시엘,경기도 광주시 곤지암읍 열미길 57-21 외 1필지,031-776-2230,폐수처리시설부품,2026-01-30
853,(주)이안제화,경기도 광주시 도척면 다람로57번길 135,,구두+신발,2026-01-30
854,(주)이알코리아,경기도 광주시 곤지암읍 새재길 256-18,02-2618-6900,교량 집수구+배수시설,2026-01-30
855,(주)이앤에이치씨테크,경기도 광주시 도척면 도척윗로 328-70,031-797-3852,산소발생기+ 기능성무릎보호대+가정용품+공기청정기+살균수제조장치,2026-01-30
856,(주)이에스종합물류시스템,경기도 광주시 도척면 방도길 49-35,031-769-2998,수출용 목상자 파렛트 제조,2026-01-30
857,(주)이에프케미칼,경기도 광주시 옥토골길 8-8 (태전동),031-768-3119,세정제,2026-01-30
858,(주)이엔제이솔루션,경기도 광주시 절골길 123 (장지동),070-4220-6636,CCTV통 하우징+카메라,2026-01-30
859,(주)이오기술,경기도 광주시 도척면 저수지길 30-78 외 2필지,031-763-8363,배합사료 발효기,2026-01-30
860,(주)이우티앤에스,경기도 광주시 도척면 사기소길 4,02-458-0202,식품제조관련설비,2026-01-30
861,(주)이지가구,경기도 광주시 도척면 다람로40번길 12-5,031-798-0876,목재가구,2026-01-30
862,(주)이지아이솔루션,경기도 광주시 초월읍 용수길 50,02-809-1275,토류판,2026-01-30
863,(주)이지테크,경기도 광주시 곤지암읍 경충대로 135-64,031-764-4086,마루바닥+석재바닥,2026-01-30
864,(주)이텍솔루션,"경기도 광주시 절골길 113, 지층(장지동)",070-7799-6689,전기화재예방 iot 차단기,2026-01-30
865,(주)이한,경기도 광주시 봉골길134번길 55,031-357-2952,금속 판제품 및  플라스틱 제품,2026-01-30
866,(주)이화일렉콤,경기도 광주시 회안대로 1061-55 (송정동) (총 2 필지) 외 1필지,031-798-9800,전기변환장치+UPS 등,2026-01-30
867,(주)이화테크,경기도 광주시 밭말길 27 (목현동) 외 2필지,031-797-8503,무정전전원장치,2026-01-30
868,(주)익산비철,경기도 광주시 순암로 371 (중대동),031-769-4002,반도체부품 가공,2026-01-30
869,(주)인베스코,경기도 광주시 초월읍 신월길 36-27,031-798-3144,매트리스,2026-01-30
870,(주)인스템,경기도 광주시 절골길 109 (장지동),031-752-9627,인덕션렌지,2026-01-30
871,(주)인스페이스코인,경기도 광주시 순암로 363-15 (중대동) (총 2 필지) 외 1필지,031-750-6300,커튼,2026-01-30
872,(주)인아트,경기도 광주시 오포로 425-27,042-538-3227,가구,2026-01-30
873,(주)인천특수목재,경기도 광주시 초월읍 동막골길 112-26 (총 2 필지),031-766-0770,목재문,2026-01-30
874,(주)인탑,경기도 광주시 곤지암읍 경충대로101번길 30 외 1필지,031-793-2252,파라핀왁스,2026-01-30
875,(주)인터프레임,"경기도 광주시 초월읍 지월로100번길 29-65, 제1동 1층 일부",031-766-2252,경량칸막이,2026-01-30
876,(주)인텍티에스,"경기도 광주시 초월읍 현산로361번길 5-11, 1동",031-798-7090,자동문+회전문,2026-01-30
877,(주)인프리,"경기도 광주시 초월읍 도평길110번길 12-45, 2동",031-767-8807,흡연부스+어린이승강장,2026-01-30
878,(주)인플레이,경기도 광주시 초월읍 용수길 18-9,031-763-2015,어린이 놀이시설물,2026-01-30
879,(주)일,경기도 광주시 초월읍 동막골길 135-55,031-762-1751,캔금형,2026-01-30
880,(주)일경실업,경기도 광주시 추자길 24,031-768-8770,구두+위생용품+등산화,2026-01-30
881,(주)일동금망,경기도 광주시 초월읍 동막골길40번길 36-3 외 3필지,031-761-6183,철망,2026-01-30
882,(주)일렉파워전자,경기도 광주시 창뜰윗길 21-8,031-765-3500,아토케어진공살균 청소기,2026-01-30
883,(주)일성씨앤에스,경기도 광주시 곤지암읍 독고개길86번길 38-1,031-765-9544,화장품 용기,2026-01-30
884,(주)일성씨앤에스,경기도 광주시 도척면 다람로40번길 65,031-765-9544,유리병 코팅 및 인쇄,2026-01-30
885,(주)일신종합환경,경기도 광주시 곤지암읍 내선길 220,02-861-4488,액체여과기 및 부속품,2026-01-30
886,(주)일신지앤엠,경기도 광주시 옥토골길 33-55 (태전동) 외 2필지,031-765-7415,인쇄물+플라스틱케이스,2026-01-30
887,(주)일양오피오,경기도 광주시 왕림로 161 외 1필지,031-766-1233,상업용 냉장고,2026-01-30
888,(주)일양이엔지,경기도 광주시 왕림로 151,031-766-1233,산업용 냉장고,2026-01-30
889,(주)일우엔텍,경기도 광주시 곤지암읍 만삼로 19,031-759-5002,컨베이어+여과기,2026-01-30
890,(주)일원포장,경기도 광주시 도척면 국사봉로 185-23 (총 2 필지) 외 1필지,031-797-8930,인쇄+포장팩,2026-01-30
891,(주)일월,경기도 광주시 도척면 도척로 235 (총 4 필지),031-764-1987,초장파자극기,2026-01-30
892,(주)일조,경기도 광주시 곤지암읍 광여로 721-4,031-763-2551,철문+철구조물,2026-01-30
893,(주)일진그라비아,경기도 광주시 도척면 마도로 73-14,031-333-0111,그라비아인쇄,2026-01-30
894,(주)일진그라텍,경기도 광주시 도척면 마도로 73 외 1필지,031-762-0034,그라비아 인쇄 포장용,2026-01-30
895,(주)일호앤시티,경기도 광주시 진토길21번길 21-4 (목동),031-763-4782,배전반,2026-01-30
896,(주)일흥벤딩,경기도 광주시 세피내길 84,031-767-3957,금속구조물,2026-01-30
897,(주)잇쿡푸드 수산,경기도 광주시 초월읍 도평길51번길 5-17,031-522-4729,수산물(생선구이류),2026-01-30
898,(주)자양에프앤비,경기도 광주시 곤지암읍 신만로 16,031-763-7011,조미김,2026-01-30
899,(주)자연,경기도 광주시 도척면 다람로36번길 45-13 (총 2 필지) 외 1필지,031-764-8878,직물가공+곡사포 탄약주머니+장약추진제,2026-01-30
900,(주)자연가득,경기도 광주시 오포로 738-16,031-767-8365,육가공 등,2026-01-30
901,(주)자인,경기도 광주시 도척면 사기소길14번길 29,02-6289-5100,시소+금속구조물+조형물 등,2026-01-30
902,(주)자임에프앤비,경기도 광주시 초월읍 현산로 341-21,031-8027-2088,음료류,2026-01-30
903,(주)장수산업,경기도 광주시 오포로 855,031-8026-1320,가구,2026-01-30
904,(주)장원금속,경기도 광주시 오포로 172-7 외 1필지,031-767-4012,금속가구,2026-01-30
905,(주)장원상사,경기도 광주시 곤지암읍 신만로436번길 52,031-797-3090,수산동물 건제품,2026-01-30
906,(주)장원특수포장,경기도 광주시 매자리길27번길 102 (총 2 필지) 외 1필지,031-768-3668,식품 비닐포장지,2026-01-30
907,(주)재신파워텍,경기도 광주시 도척면 도척로 337-15,031-761-1146,기타발전기+전기변환장치+UPS+정류기등,2026-01-30
908,(주)재운,경기도 광주시 광남안로 396 (직동),031-731-7680,미끄럼틀+야외체육시설+벤치+정자+자전거보관대등 ,2026-01-30
909,(주)재운,경기도 광주시 광남안로431번길 37-17 (직동),031-7317-680,놀이시설물,2026-01-30
910,(주)재일네온공사,경기도 광주시 염소골길 10 (목동),031-765-3823,간판,2026-01-30
911,(주)재현인텍스,경기도 광주시 초월읍 경충대로963번길 50-7 (총 8 필지) 외 7필지,031-767-2193,건축용 목제품,2026-01-30
912,(주)재현인텍스,경기도 광주시 초월읍 경충대로963번길 36,031-766-8161,문+문틀+창틀,2026-01-30
913,(주)전통한선,"경기도 광주시 곤지암읍 광여로 627, 1층",,전통한선,2026-01-30
914,(주)정명하이텍,경기도 광주시 초월읍 용수길 131 외 4필지,031-761-5836,가공포장지,2026-01-30
915,(주)정선산업,경기도 광주시 오포로520번길 24-20 외 4필지,031-523-2115,레미콘+몰탈+분쇄골재,2026-01-30
916,(주)정성,경기도 광주시 도척면 방도길 103,031-8027-2468,흡연부스+승강장,2026-01-30
917,(주)정성푸드,경기도 광주시 오포안로 355,,조각정육+윙+봉,2026-01-30
918,(주)정원금속,경기도 광주시 고불로306번길 7 (직동),031-767-1452,석재건축용 스텐레스 앙카,2026-01-30
919,(주)정원앙카,"경기도 광주시 곤지암읍 열미길 52, 제1동",031-765-3010,스텐레스 앙카,2026-01-30
920,(주)정원이엔지,경기도 광주시 곤지암읍 건업길 38-87,031-798-2037,방화유리도어,2026-01-30
921,(주)정인플라스틱,경기도 광주시 도척면 마도로 174-58,031-766-9477,플라스틱 수납트레이,2026-01-30
922,(주)제미스코,경기도 광주시 오포안로 62-9 (총 2 필지) 외 1필지,031-767-4580,자동 원단 정렬장치+오토 스플라이서,2026-01-30
923,(주)제세인터내셔날,경기도 광주시 봉골길171번길 23-1,031-767-2341,전기그릴,2026-01-30
