회사명,설립구분명,용지면적,건축면적,종업원수,공장규모구분명,공장등록일,용도지역명,지목명,업종명,업종코드,생산품정보,대기오염등급,수질오염등급,소음진동여부,생활용수사용량(톤_일),산업용수사용량(톤_일),자기자본액(백만),타인자본액(백만),전화번호,팩스번호,소재지우편번호,소재지도로명주소,소재지지번주소,(WGS84)위도,(WGS84)경도
제일타카,일반,997,198,5,소기업,2017-09-01,관리지역/계획관리지역,대,전기.전자 및 정밀기기 수리업,"34020, ",모터수리 및 조립,해당없음,해당없음,무,0,0,0,0,,,10264,경기도 고양시 덕양구 통일로 1212 (내유동),경기도 고양시 덕양구 내유동 586-10번지,37.72185422,126.8478605
(주)유진엘이디,일반,601,473.74,12,소기업,2015-03-23,관리지역/계획관리지역,공장용지,전구 및 램프 제조업 외 1 종,"28410, 28903","엘이디, 엘이디 모듈, 교통신호등",해당없음,해당없음,무,0.1,0,0,0,031-932-8351,031-932-8355,10246,경기도 고양시 일산동구 감내길 48-40 (성석동),경기도 고양시 일산동구 성석동 1193-4번지,37.71118568,126.7846699
태진전기,일반,163.13,163.13,2,소기업,2024-11-19,관리지역/계획관리지역,대,전구 및 램프 제조업,"28410, ",집어등,해당없음,해당없음,무,0,0,200,0,,,10205,"경기도 고양시 일산서구 덕산로195번길 105-10, 나동 1층",경기도 고양시 일산서구 가좌동 547-5 나동 1층,37.69870672,126.7213236
(주)코어스코리아,일반,0,175.37,1,소기업,2018-04-23,관리지역/계획관리지역,공장용지,"적층, 합성 및 특수표면처리 종이 제조업 외 1 종","17904, 22291","불법 광고물 방지물(PVC 등), 불법 광고물 방지물(합성수지)",해당없음,해당없음,무,0,0,0,3000,031-977-0112,031-977-1114,10318,경기도 고양시 일산동구 성석로146번길 66 (성석동) 2동,경기도 고양시 일산동구 성석동 816-3 2동,37.68895527,126.8005466
고려목각,일반,0,198,14,소기업,1998-01-15,관리지역/계획관리지역,잡종지,장식용 목제품 제조업,"16292, ",목공예품,해당없음,해당없음,무,0,0,0,0,031-964-4149,031-964-4148,10262,"경기도 고양시 덕양구 통일로 1269-14 (내유동, 고려공예)",경기도 고양시 덕양구 내유동 306-2번지,37.72578823,126.8421409
명진유리,일반,482,199.55,2,소기업,2011-03-24,관리지역/계획관리지역,공장용지,장식용 목제품 제조업,"16292, ",사진틀제조,해당없음,해당없음,무,0,0,,,031-965-5047,,10256,경기도 고양시 일산동구 지영로194번길 69 (지영동),경기도 고양시일산동구 지영동 329 번지,37.71181266,126.8300228
미도공예,일반,0,198,3,소기업,1999-02-23,관리지역/계획관리지역,대,장식용 목제품 제조업,"16292, ",목공예,해당없음,해당없음,무,0,0,0,0,031-964-2821,031-964-7163,10263,경기도 고양시 덕양구 통일로1258번길 152-11 (내유동),경기도 고양시 덕양구 내유동  601-11번지,37.72685377,126.852265
비쥬케이스,일반,198.44,198.44,5,소기업,2025-06-23,관리지역/계획관리지역,대,장식용 목제품 제조업,"16292, ",진열케이스,,,무,0,0,50,,02-968-1003,02-966-1006,10262,"경기도 고양시 덕양구 통일로 1161-79, 나동 (내유동)",경기도 고양시 덕양구 내유동 404-3 나동,37.71701516,126.8447941
삼광메디칼(나무샘),일반,0,198,3,소기업,1999-02-23,관리지역/계획관리지역,대,장식용 목제품 제조업,"16292, ",민속인형,해당없음,해당없음,무,0,0,0,0,031-963-7362,031-964-7100,10263,경기도 고양시 덕양구 통일로1258번길 152-11 (내유동),경기도 고양시 덕양구 내유동  601-8번지,37.72685377,126.852265
서진공예,일반,0,198,5,소기업,1999-03-11,관리지역/관리지역기타,대,장식용 목제품 제조업,"16292, ",탈,해당없음,해당없음,무,0,0,0,0,031-963-0530,,10263,경기도 고양시 덕양구 통일로1258번길 172 (내유동),경기도 고양시덕양구 내유동 601-10번지,37.72708929,126.8524785
석일공예,일반,198,198,1,소기업,1999-02-23,관리지역/관리지역기타,대,장식용 목제품 제조업,"16292, ","찻상,보석함",해당없음,해당없음,무,0,0,0,0,031-964-9454,031-964-0448,10263,경기도 고양시 덕양구 통일로1258번길 176 (내유동),경기도 고양시 덕양구 내유동 601-7번지,37.72713497,126.8525916
선목각,일반,0,198,3,소기업,1999-02-23,관리지역/관리지역기타,대,장식용 목제품 제조업,"16292, ",목제품,해당없음,해당없음,무,0,0,0,0,031-964-1108,031-964-0533,10263,경기도 고양시 덕양구 통일로1258번길 178 (내유동),경기도 고양시 덕양구 내유동  601-6번지,37.72724381,126.8527155
예인민속,일반,676,371.81,3,소기업,1999-02-23,관리지역/관리지역기타,잡종지,장식용 목제품 제조업,"16292, ",공예품,해당없음,해당없음,무,0,0,0,0,031-969-2220,031-969-2221,10255,경기도 고양시 일산동구 통일로1267번길 99-44 (지영동),경기도 고양시 일산동구 지영동 1020-11번지,37.72170267,126.8384552
교하식품,일반,2865,1769.76,10,소기업,2020-10-30,농업진흥구역,공장용지,장류 제조업 외 1 종,"10833, 10894","장류, 우뭇가사리 묵 등",해당없음,해당없음,무,0.05,0,1500,1000,031-959-0300,031-959-0345,10313,경기도 고양시 일산동구 성현로268번길 34 (성석동),경기도 고양시 일산동구 성석동 450-9,37.70349078,126.8123328
코지케어,일반,0,264,4,소기업,2022-01-11,관리지역/계획관리지역,대,자전거 및 환자용 차량 제조업,"31991, ",실버카,해당없음,해당없음,무,0,0,0,0,031-975-7890,031-975-7890,10254,"경기도 고양시 일산동구 공릉천로493번길 68, 코지케어(설문동)",경기도 고양시 일산동구 설문동 339 코지케어,37.7236956,126.8165147
(주)뉴덕흥기업(제2공장),일반,114.72,114.72,5,소기업,2012-11-20,관리지역/계획관리지역,공장용지,자수제품 및 자수용재료 제조업 외 2 종,"13222, 13402, 13409","의복표백,단추구멍만들기",해당없음,해당없음,무,0,2,0,0,031-964-0898,,10261,"경기도 고양시 일산동구 공릉천로 126, 일부 (사리현동)",경기도 고양시 일산동구 사리현동 267-4번지,37.70329256,126.8472291
고양체육사,일반,64,64,2,소기업,2018-02-02,도시지역/상업지역/일반상업지역,대,자수제품 및 자수용재료 제조업 외 1 종,"13222, 14192","자수명찰, 장식용 자수제품 외, 근무복 및 작업복",해당없음,해당없음,무,0.1,0,60,0,031-975-2554,031-976-7966,10342,경기도 고양시 일산서구 일청로 14 (일산동) 1층 일부,경기도 고양시 일산서구 일산동 617-30 1층 일부,37.68559122,126.7704442
(주)와토코리아,일반,3834,1153.04,7,소기업,2020-12-30,관리지역/계획관리지역,공장용지,자동차용 신품 전기장치 제조업 외 1 종,"30332, 30400","신품 및 재제조 자동차용 교류발전기, 신품 및 재제조 자동차용 시동모터",해당없음,해당없음,무,0.03,0.02,500,0,031-967-1500,031-967-2900,10253,경기도 고양시 일산동구 장진천길46번길 89-38 (설문동) 외 2필지,경기도 고양시 일산동구 설문동 203-2 외 2필지,37.71392178,126.8128036
에이치와이씨 주식회사,일반,1032,395.74,3,소기업,2022-11-04,관리지역/계획관리지역,대,자동차용 신품 전기장치 제조업,"30332, ",자동차용 점화 배선세트,해당없음,해당없음,무,0.01,0,0,0,,,10205,경기도 고양시 일산서구 덕산로173번길 85-19(가좌동),경기도 고양시 일산서구 가좌동 542-13,37.69639141,126.7201228
주식회사 타라코리아,일반,800,319.32,3,소기업,2025-07-25,관리지역/계획관리지역,공장용지,자동차용 신품 의자 제조업,"30393, ",자동차 시트 관련 부품,해당없음,해당없음,무,0.1,0,,,031-914-0031,070-7545-7129,10228,"경기도 고양시 일산서구 장자길118번길 105-109, 가동, 나동 (덕이동)","경기도 고양시 일산서구 덕이동 654-2 가동, 나동",37.70374846,126.7440045
세일정밀,일반,0,291,5,소기업,2006-03-22,관리지역/관리지역기타,대,자동차용 금속 압형제품 제조업 외 1 종,"25913, 25914",알루미늄케이스,해당없음,해당없음,무,0,0,0,0,031-904-0936,031-904-0937,10432,경기도 고양시 일산동구 장대길 41-19 (장항동),경기도 고양시일산동구 장항동 598-9번지,37.63546433,126.7712066
아세아금속,일반,0,450,11,소기업,2006-09-20,관리지역/관리지역기타,잡종지,자동차용 금속 압형제품 제조업 외 1 종,"25913, 25914",스텐레스제품,해당없음,해당없음,무,0,0,0,0,031-919-3471,031-912-3472,10227,경기도 고양시 일산서구 신덕로 65-27 (덕이동),경기도 고양시 일산서구 덕이동 1112-1번지,37.70308906,126.7367851
주식회사 인터트레이드,일반,477,477,5,소기업,2025-01-08,국토이용용도지역기타,창고용지,자동차용 금속 압형제품 제조업,"25913, ",자동차 부품,해당없음,해당없음,무,0,0,100,0,031-966-8777,031-966-8883,10251,"경기도 고양시 일산동구 고봉로658번길 177, 4동, 5동, 9동(2층) (성석동)","경기도 고양시 일산동구 성석동 1011 4동, 5동, 9동(2층)",37.71150829,126.7963411
(주)대성오토,일반,408,408,5,소기업,2017-08-25,관리지역/계획관리지역,대,자동차 재제조 부품 제조업,"30400, ",미션제제소,해당없음,해당없음,무,0.1,0,5,0,031-921-8801,,410570,경기도 고양시 일산동구 성석동 729-3 1층,경기도 고양시 일산동구 성석동 729-3 1층,37.69597244,126.7983369
부영테크,일반,2360,496.19,7,소기업,2019-12-10,관리지역/계획관리지역,대,자동차 재제조 부품 제조업,"30400, ",자동차 재제조 부품(미션),해당없음,해당없음,무,0,0,0,0,031-977-8695,031-951-1351,10252,"경기도 고양시 일산동구 고봉로814번길 59-23, 1층 일부 (설문동)",경기도 고양시 일산동구 설문동 584번지 1층 일부,37.72561297,126.7992148
오토엔테크(주),일반,1544,746.04,20,소기업,2019-08-13,관리지역/계획관리지역,공장용지,자동차 재제조 부품 제조업,"30400, ",자동차 재제조 부품(미션),해당없음,해당없음,무,2.9,0,0,0,031-977-8693,031-977-8696,10251,경기도 고양시 일산동구 고봉로658번길 61 -47(성석동),경기도 고양시 일산동구 성석동 1075-100,37.71504976,126.7932102
(주)우정,일반,0,48,0,소기업,2020-07-08,관리지역/계획관리지역,대,자동차 구조 및 장치 변경업 ,"30202, ","장애인 운송차량 개조, 순찰차 개조 등",해당없음,해당없음,무,0.02,0,0,0,031-921-8575,031-924-1129,10205,경기도 고양시 일산서구 덕산로121번길 13-2 (가좌동) 1층 일부,경기도 고양시 일산서구 가좌동 660-2 1층 일부,37.69440021,126.7161511
(주)부영뉴텍,일반,1078,728,8,소기업,2017-01-12,관리지역/계획관리지역,공장용지,일반철물 제조업,"25932, ",엘리베이터및스크린도어(PSD)부품,해당없음,해당없음,무,0.1,0,500,0,031-905-7215,031-905-7214,10252,경기도 고양시 일산동구 은마길 31-32 (성석동),경기도 고양시 일산동구 성석동 521-91번지,37.71184891,126.8051419
대영사,일반,0,360.02,10,소기업,2004-04-29,관리지역/관리지역기타,잡종지,일반철물 제조업,"25932, ",바인더장식,해당없음,해당없음,무,0,0,0,0,031-964-7157,031-964-7155,10265,경기도 고양시 덕양구 고골길84번길 32 (관산동),경기도 고양시 덕양구 관산동 571-1번지,37.71166314,126.861553
성신하드웨어,일반,0,196.85,2,소기업,2000-11-09,관리지역/관리지역기타,대,일반철물 제조업,"25932, ",경첩,해당없음,해당없음,무,0,0,0,0,031-908-9222,,,경기도 고양시 일산동구 장항로225번길 85 (장항동),경기도 고양시 일산동구 장항동 579-10번지,37.64137763,126.7698453
시흥금속,일반,0,201.96,10,소기업,2004-03-19,관리지역/계획관리지역,잡종지,일반철물 제조업,"25932, ",각종쇠톱대 및 장금형프레스,해당없음,해당없음,무,0,0,0,0,031-923-2531,031-923-2532,10204,경기도 고양시 일산서구 덕산로65번길 37-4 (구산동),경기도 고양시 일산서구 구산동  6-9번지,37.69452924,126.71252
씨리우스코리아 주식회사,일반,0,599.91,15,소기업,2018-07-03,관리지역/계획관리지역,공장용지,일반철물 제조업,"25932, ","도어락, 문 잠금장치 및 개폐장치",해당없음,해당없음,유,1,50,0,0,031-977-9908,,10314,"경기도 고양시 일산동구 견달산로 360-50, 2동, 3동 일부, 4동 2층 (문봉동)","경기도 고양시 일산동구 문봉동 115-21번지 2동, 3동 일부, 4동 2층",37.69677368,126.8228418
전진산업주식회사,일반,1429,293.04,3,소기업,2012-10-04,관리지역/관리지역기타,공장용지,일반철물 제조업,"25932, ",철물,해당없음,해당없음,무,0,0,0,0,031-976-2674,031-977-2675,10256,경기도 고양시 일산동구 지영로196번길 139-7 (지영동),경기도 고양시 일산동구 지영동 48-8번지,37.71330599,126.8326982
주식회사 거창금속,일반,0,361,1,소기업,2009-12-23,관리지역/계획관리지역,대,일반철물 제조업,"25932, ",금속선반 받침대,해당없음,해당없음,무,0,0,0,0,,,10251,경기도 고양시 일산동구 고봉로 692 (설문동),경기도 고양시 일산동구 설문동 739-2번지,37.71843561,126.7896947
(주)일광조명,일반,1359,1072.6,12,소기업,2002-05-07,관리지역/계획관리지역,잡종지,일반용 전기 조명장치 제조업 외 6 종,"28422, 25113, 25114, 28119, 28410, 28423, 28429",조명기구,해당없음,해당없음,무,0,0,0,0,031-977-7906,031-977-7906,10251,"경기도 고양시 일산동구 성현로135번안길 117-21, 가 (성석동)",경기도 고양시 일산동구 성석동 1043-40번지,37.7136065,126.7990556
주식회사 케이지테크,일반,0,392,6,소기업,2017-03-17,관리지역/계획관리지역,공장용지,일반용 전기 조명장치 제조업 외 5 종,"28422, 25112, 25113, 25114, 28423, 28429",가로등,해당없음,해당없음,무,0,0,0,0,031-977-6511,,10252,"경기도 고양시 일산동구 은마길 31-22, 가동 (성석동)",경기도 고양시 일산동구 성석동 521-5번지 가동,37.7114163,126.8066776
(주)로드,일반,0,198,2,소기업,2015-08-14,관리지역/계획관리지역,공장용지,일반용 전기 조명장치 제조업 외 3 종,"28422, 28423, 28429, 28903","쏠라충전방식 도로안전표시등, 도로안전표지병, 델리네이터",해당없음,해당없음,무,0,0,,,031-922-7154,031-624-0919,10252,"경기도 고양시 일산동구 은마길 31-65, 아동 (성석동)",경기도 고양시 일산동구 성석동 521-38번지 아동,37.70981271,126.8052744
(주)신일이라이팅,일반,1584,593.34,6,소기업,2013-10-15,관리지역/계획관리지역,공장용지,일반용 전기 조명장치 제조업 외 2 종,"28422, 25113, 25114","철제및스텐가로등주,가로등기구,보안등기구,터널등기구,경관조명기구 ",해당없음,해당없음,무,0,0,150,0,031-975-1608,031-975-1602,10256,경기도 고양시 일산동구 지영로196번길 157 (지영동),경기도 고양시 일산동구 지영동 48-5번지,37.71285301,126.8338822
(주)케이원테크,일반,0,124.04,7,소기업,2017-03-20,도시지역/주거지역/제1종일반주거지역,대,일반용 전기 조명장치 제조업 외 2 종,"28422, 28423, 28429",,해당없음,해당없음,무,0,0,50,0,031-969-7853,031-968-7853,10551,"경기도 고양시 덕양구 도래울안길 56-1, 1층 (도내동)",경기도 고양시 덕양구 도내동 1047번지 1층,37.62952519,126.8733059
고양시설문동장애인직업재활원,일반,1322,993.31,31,소기업,2020-01-28,관리지역/계획관리지역,공장용지,일반용 전기 조명장치 제조업 외 2 종,"28422, 28410, 28423","LED 조명기구, 일반용 전기조명장치, 광고용 조명 등",해당없음,해당없음,무,2.46,0,50,0,031-977-8730,031-977-8728,10253,"경기도 고양시 일산동구 장진천길46번길 89 -12(설문동, 장애인재활자립장)",경기도 고양시 일산동구 설문동 139-0,37.71415344,126.8138907
알비조명,일반,54.6,54.6,3,소기업,2025-03-26,도시지역/주거지역/준주거지역/지구단위계획구역,대,일반용 전기 조명장치 제조업 외 2 종,"28422, 28423, 28429","LED전기조명장치, LED경관조명장치, LED기타조명장치",,,무,0,0,,,02-3159-0924,02-3159-0923,10546,"경기도 고양시 덕양구 향기로 182, 1702호  (향동동) 1702호",경기도 고양시 덕양구 향동동 410 1702호 1702호,37.60583666,126.897251
일신이앤엘(주),일반,0,336,9,소기업,2004-03-05,관리지역/계획관리지역,잡종지,일반용 전기 조명장치 제조업 외 2 종,"28422, 25113, 25114",조명기구,해당없음,해당없음,무,0,0,0,0,031-923-4943,031-923-4945,10201,경기도 고양시 일산서구 구산로101번길 61 (구산동),경기도 고양시 일산서구 구산동 319-3,37.69444378,126.7011556
주식회사 고향개발산업,창업,165,165,2,소기업,2025-04-07,관리지역/계획관리지역,대,일반용 전기 조명장치 제조업 외 2 종,"28422, 16101, 16102","투광등기구, 건축용 각재, 견본 목공물 제조",,,무,0,0,20,0,,031-963-2118,10246,"경기도 고양시 일산동구 고봉로 519, 나동 (성석동)",경기도 고양시 일산동구 성석동 2171-2 나동,37.7050289,126.7815753
(주)번창하이테크,일반,198,198,30,소기업,2024-10-30,관리지역/계획관리지역,공장용지,일반용 전기 조명장치 제조업 외 1 종,"28422, 25113","LED가로 보안등기구, 가로, 보안등주",해당없음,해당없음,무,0,0,0,0,070-8672-5022,070-7580-0149,10313,"경기도 고양시 일산동구 동국로 325-15, 2동  (문봉동)",경기도 고양시 일산동구 문봉동 269-11 2동,37.6949719,126.8182984
대명,일반,0,90,2,소기업,2015-05-06,관리지역/계획관리지역,공장용지,일반용 전기 조명장치 제조업 외 1 종,"28422, 28410",엘이디 조명장치,해당없음,해당없음,무,0,0,0,0,031-976-6135,031-976-6133,10252,"경기도 고양시 일산동구 은마길79번길 17-10, 다동일부 (설문동)",경기도 고양시 일산동구 설문동 500-7번지 다동일부,37.71571989,126.8058773
마포대성,일반,721,373.74,5,소기업,2015-06-12,관리지역/계획관리지역,잡종지,일반용 전기 조명장치 제조업 외 1 종,"28422, 25923",전기조명기구,5종,해당없음,유,0,0,5000,0,031-923-4730,031-923-8537,10202,경기도 고양시 일산서구 송산로214번길 27 (구산동),경기도 고양시 일산서구 구산동 625-1,37.68181394,126.7021302
주식회사 루비스코,일반,174.17,174.17,3,소기업,2022-08-10,도시지역/상업지역/근린상업지역,대,일반용 전기 조명장치 제조업 외 1 종,"28422, 29210","LED조명장치(식물재배용), 농업용 분사기",해당없음,해당없음,무,0,0,100,0,031-994-4480,031-994-4481,10442,"경기도 고양시 일산동구 일산로 138, 공장동9층 903-2(917호)(백석동, 일산테크노타운)",경기도 고양시 일산동구 백석동 1141-1 일산테크노타운 공장동9층 903-2(917호),37.65011136,126.7950164
(주)광명엘엔티,일반,571,291.6,12,소기업,2013-04-24,관리지역/계획관리지역,잡종지,일반용 전기 조명장치 제조업,"28422, ",일반용 전기 조명장치,해당없음,해당없음,무,0,0,0,0,031-969-0530,,10255,경기도 고양시 일산동구 통일로1267번길 99-25 (지영동),경기도 고양시 일산동구 지영동 1020-5번지,37.72257626,126.838334
(주)대한라이팅,일반,495,273.3,4,소기업,2011-03-22,관리지역/계획관리지역,답,일반용 전기 조명장치 제조업,"28422, ",조명기기,해당없음,해당없음,무,1.4,0,0,0,031-962-5926,031-962-5925,10260,경기도 고양시 일산동구 공릉천로33번길 34 (사리현동),경기도 고양시 일산동구 사리현동 203-7,37.69739387,126.843254
(주)더바이오,일반,0,198.05,7,소기업,2019-02-26,관리지역/계획관리지역,공장용지,일반용 전기 조명장치 제조업,"28422, ",LED 조명기구,해당없음,해당없음,무,0,0,30,0,031-977-0844,031-977-0855,10312,경기도 고양시 일산동구 마골길 93 -1(성석동) 에이동,경기도 고양시 일산동구 성석동 563-3 에이동,37.70604333,126.8019062
(주)아이솔,일반,46.98,46.98,4,소기업,2024-10-14,도시지역/주거지역/준주거지역,대,일반용 전기 조명장치 제조업,"28422, ","조명기구, 조명기구",해당없음,해당없음,무,0,0,10,0,,031-935-0920,412180,경기도 고양시 덕양구 향동로 217  (향동동) A동 16층 KA1613호,경기도 고양시 덕양구 향동동 391 A동 16층 KA1613호,37.60911055,126.8923754
(주)예도전기조명,일반,0,441,21,소기업,2019-09-19,관리지역/계획관리지역,창고용지,일반용 전기 조명장치 제조업,"28422, ","LED조명, 백열등 기구",해당없음,해당없음,무,0.04,0,0,0,031-977-1078,031-977-1077,10257,"경기도 고양시 일산동구 장진천길 6 (설문동) 1, 2, 3층","경기도 고양시 일산동구 설문동 167-66 1, 2, 3층",37.70819826,126.8112342
(주)월금라이팅,일반,0,300,4,소기업,2024-01-08,관리지역/계획관리지역,대,일반용 전기 조명장치 제조업,"28422, ",조명기구,해당없음,해당없음,무,0,0,0,0,02-3437-1411,02-3437-1412,10252,"경기도 고양시 일산동구 성현로 147-15, 가동 (성석동)",경기도 고양시 일산동구 성석동 537-3 가동,37.71018641,126.8014022
(주)크린세븐,일반,545,213,6,소기업,2016-04-04,관리지역/계획관리지역,공장용지,일반용 전기 조명장치 제조업,"28422, ",LED조명기구,해당없음,해당없음,무,0,0,0,0,031-975-1179,031-924-1179,10228,"경기도 고양시 일산서구 덕이로172번길 59, 1층 (덕이동)",경기도 고양시 일산서구 덕이동 796-2번지 1층,37.69613881,126.7408037
그린맥스(주),일반,0,452.91,10,소기업,2022-04-19,도시지역/주거지역/준주거지역,공장용지,일반용 전기 조명장치 제조업,"28422, ",LED 전기조명장치,해당없음,해당없음,무,0,0,0,0,070-4468-1815,031-905-7880,10442,"경기도 고양시 일산동구 일산로 142, 816호,817호(백석동, 유니테크빌벤처타운)","경기도 고양시 일산동구 백석동 1141-2 유니테크빌벤처타운 816호,817호",37.64990508,126.7936807
더윤(TheYoon),일반,63.45,63.45,1,소기업,2023-03-14,도시지역/주거지역/준주거지역,대,일반용 전기 조명장치 제조업,"28422, ",LED조명 기구,해당없음,해당없음,무,0.1,0,130,220,070-7777-0911,,412040,경기도 고양시 덕양구 원흥동 704번지 7층 704호,경기도 고양시 덕양구 원흥동 704번지 7층 704호,37.63997388,126.8754284
리코조명(주),일반,0,200,20,소기업,2003-06-13,관리지역/관리지역기타,창고용지,일반용 전기 조명장치 제조업,"28422, ",조명기구,해당없음,해당없음,무,0,0,0,0,031-977-7315,031-977-7312,10313,"경기도 고양시 일산동구 성현로268번길 110-20, 가 2층 (성석동)",경기도 고양시일산동구 성석동 53-14번지 가동 2층호,37.7002817,126.8138144
선호라이팅(주),일반,0,153.99,0,소기업,2015-08-19,도시지역/주거지역/준주거지역,대,일반용 전기 조명장치 제조업,"28422, ",LED조명기구,해당없음,해당없음,무,0,0,0,0,02-2606-3020,02-2606-3026,10594,"경기도 고양시 덕양구 통일로 140, B동 1층 120호 (동산동, 삼송테크노밸리)",경기도 고양시 덕양구 동산동 376번지 삼송테크노밸리 B동 1층 120호,37.64907029,126.9019009
영신장식조명,일반,760,195,3,소기업,2014-02-25,관리지역/계획관리지역,잡종지,일반용 전기 조명장치 제조업,"28422, ",조명,해당없음,해당없음,무,0,0,0,0,031-923-4179,031-923-4015,10207,"경기도 고양시 일산서구 산율길 43-20, 가동 (구산동)",경기도 고양시 일산서구 구산동 132번지 가동,37.69008636,126.7112627
위버스주식회사,일반,44.66,44.66,4,소기업,2024-12-19,도시지역/주거지역/준주거지역,대,일반용 전기 조명장치 제조업,"28422, ","실내조명기구, 경관조명기구",해당없음,해당없음,무,0,0,20,0,070-7817-0724,032-724-0724,412180,경기도 고양시 덕양구 향동로 217  (향동동) KA동 16층 1612호,경기도 고양시 덕양구 향동동 391 KA동 16층 1612호,37.60911055,126.8923754
이리코조명 주식회사,일반,0,579.48,23,소기업,2015-10-08,관리지역/계획관리지역,공장용지,일반용 전기 조명장치 제조업,"28422, ",조명기구,해당없음,해당없음,무,0,0,0,0,031-977-7315,031-977-7312,10313,경기도 고양시 일산동구 성현로268번길 115 -16(성석동),경기도 고양시 일산동구 성석동 37-31,37.70062763,126.8159552
주식회사 라라플랫,일반,0,160,2,소기업,2021-02-23,관리지역/계획관리지역,대,일반용 전기 조명장치 제조업,"28422, ",조명기구(LED 다운라이트),해당없음,해당없음,무,0,0,0,0,031-977-7257,031-977-7259,10313,경기도 고양시 일산동구 성현로268번길 95-14 (성석동) 나동,경기도 고양시 일산동구 성석동 37-4 나동,37.70133779,126.815631
주식회사 리채,일반,0,231.18,5,소기업,2016-04-08,도시지역/주거지역/제3종일반주거지역,대,일반용 전기 조명장치 제조업,"28422, ",조명기구,해당없음,해당없음,무,0,0,0,0,031-819-7633,031-813-7033,10355,"경기도 고양시 일산동구 하늘마을로 158, B동 702호(중산동, 대방 트리플라온 비즈니스 타워)",경기도 고양시 일산동구 중산동 1682 대방 트리플라온 비즈니스 타워 B동 702호,37.67893166,126.7794342
주식회사 스텔라이언,일반,0,62.08,3,소기업,2022-05-26,도시지역/상업지역/일반상업지역,대,일반용 전기 조명장치 제조업,"28422, ","LED라인조명, LED투광등",해당없음,해당없음,무,0,0,5,0,031-994-6881,0507-564-6881,10518,"경기도 고양시 덕양구 중앙로557번길 8-9, 엠엔지프라자 401호(행신동)",경기도 고양시 덕양구 행신동 998 엠엔지프라자 401호,37.62339037,126.8343981
주식회사 이일테크,일반,0,396,14,소기업,2018-04-19,관리지역/계획관리지역,대,일반용 전기 조명장치 제조업,"28422, ",조명등기구(LED포함),해당없음,해당없음,무,0.1,0,50,0,031-977-7702,031-977-7055,10251,"경기도 고양시 일산동구 고봉로658번길 61 -42(성석동) 1동,3동","경기도 고양시 일산동구 성석동 1075-18 1동,3동",37.71454532,126.7932604
주식회사 제이에스라이팅,일반,0,165.6,1,소기업,2021-02-09,관리지역/계획관리지역,대,일반용 전기 조명장치 제조업,"28422, ",LED 경관조명제품,해당없음,해당없음,무,0,0,0,0,031-904-4771,031-904-4772,10432,"경기도 고양시 일산동구 노첨길36번길 85, 다동(장항동)",경기도 고양시 일산동구 장항동 616-10 다동,37.63623415,126.7791441
주식회사 제이에스라이팅,일반,991,395.62,5,소기업,2025-08-04,관리지역/계획관리지역,대,일반용 전기 조명장치 제조업,"28422, ",조명장치,,,무,0,0,20,,031-904-4771,031-904-4772,10205,"경기도 고양시 일산서구 송포로391번길 63, (82-3) 가동,나동,다동 (가좌동)","경기도 고양시 일산서구 가좌동 82-1 (82-3) 가동,나동,다동",37.6994666,126.7244805
주식회사 투겟츠,일반,33.33,33.33,0,소기업,2024-11-19,도시지역/주거지역/준주거지역,대,일반용 전기 조명장치 제조업,"28422, ",기타조명기기,해당없음,해당없음,무,0,0,10,0,070-8065-1203,0504-412-2928,412180,경기도 고양시 덕양구 향동로 217  (향동동) 2층 F230호,경기도 고양시 덕양구 향동동 391 2층 F230호,37.60911055,126.8923754
주식회사 티엘,일반,221.29,221.29,29,소기업,2016-10-27,도시지역/주거지역/제3종일반주거지역,대,일반용 전기 조명장치 제조업,"28422, ","가정용 사무실용 조명기구, 가로등기구, 투광등기구, LED등기구",해당없음,해당없음,무,0,0,,,031-798-6198,031-798-6199,10355,"경기도 고양시 일산동구 하늘마을로 158, 대방트리플라온 C동 1202호 (중산동)",경기도 고양시 일산동구 중산동 1682번지 대방트리플라온 C동 1202호,37.67893166,126.7794342
주식회사 한신,일반,104.8,104.84,3,소기업,2024-04-18,도시지역/주거지역/준주거지역,대,일반용 전기 조명장치 제조업,"28422, ","조명, LED조명",해당없음,해당없음,무,0,0,5,0,02-710-5588,02-710-5577,412180,경기도 고양시 덕양구 향동로 218  (향동동) B동 6층 602호,경기도 고양시 덕양구 향동동 396 B동 6층 602호,37.60821834,126.8941501
케이지시스템,일반,0,176.3,0,소기업,2013-10-07,도시지역/주거지역/준주거지역,대,일반용 전기 조명장치 제조업,"28422, ",승하강 조명 콘센트,,,무,0,0,,,031-902-8504,,10442,"경기도 고양시 일산동구 일산로 138, 제공장동 6층 612 (백석동, 일산테크노타운) 제공장동 6층 612호",경기도 고양시 일산동구 백석동 1141-1번지 일산테크노타운 제공장동 6층 612 제공장동 6층 612호,37.65011136,126.7950164
투문라이팅(주),일반,264,264,11,소기업,2014-04-22,관리지역/계획관리지역,공장용지,일반용 전기 조명장치 제조업,"28422, ",조명기구,해당없음,해당없음,무,0,0,0,0,031-977-6151,031-977-6156,10245,"경기도 고양시 일산동구 탑삭골길 313, 나동 (설문동)",경기도 고양시 일산동구 설문동 699-4번지 나동,37.72972386,126.796339
