회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품,주원자재
(주)오킨스전자,"경기도 의왕시 오전공업길 13, 6층 전층 (오전동, 벽산선영테크노피아 A동) 외 1필지",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 A동 6층 전층,그 외 기타 전자부품 제조업 외 1 종,031-460-3500,031-460-3555,145,반도체검사용소켓,
(주)오픈네트웍시스템,"경기도 의왕시 이미로 40, B동 9층 907 (포일동)",경기도 의왕시 포일동 653번지 B동 9층 907,그 외 기타 전자부품 제조업,1544-0357,031-8084-3337,14,컴퓨터 주변기기 및 모뎀,"CABLE, MEMORY, PCB, "
(주)옥산,"경기도 의왕시 오전공업길 43 (고천동, 창영전자)",경기도 의왕시 고천동 392-5번지,스크린 인쇄업,031-425-5225,031-425-5228,8,스크린 인쇄,완성된 칫솔
(주)온빛텔,"경기도 의왕시 벌모루앞길 14, 4층 (포일동, 윈텍벤처빌딩)",경기도 의왕시 포일동 511번지,유선 통신장비 제조업,031-426-0137,031-426-0130,5,가입자광 전송장비,가입자광 전송장비
(주)온아우룸,"경기도 의왕시 이미로 40, D동 B1층 115 (포일동)",경기도 의왕시 포일동 653번지 D동 B1층 115,커피 가공업 외 1 종,02-718-8650,02-718-8651,10,"커피, 차, 아몬드 가공","원두, 차"
(주)옵트로,"경기도 의왕시 벌모루앞길 14, 윈텍벤처빌딩 1층 (포일동)",경기도 의왕시 포일동 511번지,유선 통신장비 제조업,031-423-7270,031-426-7273,12,파장분할 다중화 장치,
(주)와이컴,"경기도 의왕시 오전공업길 19, 5층 503 (오전동, 대현테크노월드)",경기도 의왕시 오전동 172-4번지 대현테크노월드 5층 503,유선 통신장비 제조업,070-4197-2059,070-8806-1278,3,광통신모듈,
(주)와이투솔루션,경기도 의왕시 이미로 40 (포일동) C동 10층 1009호 외 1필지,경기도 의왕시 포일동 653번지,기타 전기 변환장치 제조업 외 4 종,02-8084-3934,02-8084-3975,8,"PSU(Power Supply Unit), 산업용충전장치, 스위칭모드전원공급장치, 전원공급장치","반도체, 함체(케이스), 전선류, 소프트웨어"
(주)요크,"경기도 의왕시 이미로 40, A동 6층 619 (포일동)",경기도 의왕시 포일동 653번지 A동 6층 619,기타 전기 변환장치 제조업,070-5097-3777,070-8240-9655,0,"태양광충전기,태양광모",
(주)우경미디어,"경기도 의왕시 오봉산단3로 25 (삼동) 218호, 219호,220호,221호",경기도 의왕시 삼동 745-0,스크린 인쇄업,,031-624-4222,4,"CD, DVD 제조 포장","인쇄물, CD, DVD케이스"
(주)울텍,"경기도 의왕시 오전공업길 22, 6층 602 (오전동, 동영벤처스텔)",경기도 의왕시 오전동 172번지 동영벤처스텔 6층 602,그 외 기타 의료용 기기 제조업,031-455-4603,031-455-4604,5,초음파세척기,
(주)원산업,경기도 의왕시 철도박물관로 18-13 (삼동),경기도 의왕시 삼동 436-10번지,주형 및 금형 제조업,031-455-3554,031-459-3551,10,"금형, 주형 틀",금속
(주)웨덱스,"경기도 의왕시 오봉산단3로 25, 1동 4층 410호(삼동)",경기도 의왕시 삼동 745 1동 4층 410호,"레이더, 항행용 무선기기 및 측량기구 제조업",,,12,"라디오존데, 데이터로거, 기상관측 장비",반도체류
(주)위버스마인드,"경기도 의왕시 한밭들1길 11, 성우벤처빌 B동 205호 (고천동)",경기도 의왕시 고천동 332-33번지 성우벤처빌 B동 205호 ,유선 통신장비 제조업 외 3 종,02-888-2252,02-888-2253,2,wordsketch 학습기 외,사출물/ IC/ 메모리/ LCD 외
(주)유니코아테크놀러지,"경기도 의왕시 오봉산단3로 25, 1316호 (삼동)",경기도 의왕시 삼동 745 1316호,그 외 자동차용 신품 부품 제조업,031-462-8025,031-462-2427,11,전기 충전기,전자부품
(주)유니테크,"경기도 의왕시 한밭들1길 19, 씬시어빌딩 3층 4층 (고천동)",경기도 의왕시 고천동 332-34번지 씬시어빌딩 3층 4층,전자부품 실장기판 제조업,031-455-0256,031-455-0258,23,전원변환장치,
(주)유비테크,"경기도 의왕시 성고개로 53, A동 5층 508 (포일동)",경기도 의왕시 포일동 657-2번지 A동 5층 508,기타 무선 통신장비 제조업,031-422-0588,031-422-0507,2,"LED비상경고등, 무선체온",
(주)유센스네트웍스,"경기도 의왕시 이미로 40, A동 9층 914-2 (포일동)",경기도 의왕시 포일동 653번지 A동 9층 914-2,방송장비 제조업 외 2 종,031-8069-8151,031-8069-8150,3,무선통신장비,"Zigbee 통신모듈, WCDMA모뎀"
(주)유엑스엔,"경기도 의왕시 오봉산단3로 25, 505호(삼동)",경기도 의왕시 삼동 745 505호,전자감지장치 제조업,02-858-0931,,4,,
(주)유피테크,경기도 의왕시 한밭들2길 10 (고천동),경기도 의왕시 고천동 332-61번지,그 외 기타 전자부품 제조업 외 1 종,070-8797-8027,031-427-7315,9,메탈마스크,"알루미늄 프레임, SUS, Mesh"
(주)유한기계,"경기도 의왕시 경수대로391번길 14-6, 1층, 3층 (오전동)","경기도 의왕시 오전동 38-12 1층, 3층",기체 펌프 및 압축기 제조업,,,14,"기체압축기, 회전펌프","강판, 알루미늄, 동"
(주)으뜸,경기도 의왕시 고래들길 35-2 (오전동),경기도 의왕시 오전동 129-3번지,그 외 자동차용 신품 부품 제조업 외 3 종,031-459-0391,031-457-8508,6,전자부품,"스텐, 철판"
(주)이든산업,경기도 의왕시 맑은내길 90-12 (오전동),경기도 의왕시 오전동 184-8번지,구조용 금속 판제품 및 공작물 제조업,031-459-0237,031-454-5208,4,금속철구조물 생산,금속
(주)이송테크,"경기도 의왕시 오봉산단3로 25, 510호 (삼동)",경기도 의왕시 삼동 745510호,기기용 자동측정 및 제어장치 제조업,031-461-9401,031-461-9402,4,"펌프, 계측기, 자동화기기 외","STAINLESS 가공품, 부품, 배관자재, PVC배관자재, 볼밸브류 외"
(주)이아이라이팅,"경기도 의왕시 오봉산단1로 38, 3층 (이동)",경기도 의왕시 이동 745 3층,전구 및 램프 제조업,032-818-0826,,12,살균용 UV램프,"석영관, 회로기판"
(주)이에스에스콤,"경기도 의왕시 맑은내길 92 (오전동, 이성정밀)",경기도 의왕시 오전동 188-1번지 이성정밀,배전반 및 전기 자동제어반 제조업 외 2 종,02-3211-3301,02-2237-0550,3,ESS시스템,
(주)이에스지,"경기도 의왕시 맑은내길 67, 6층 603 (오전동)",경기도 의왕시 오전동 150-24번지 6층 603,속도계 및 적산계기 제조업 외 1 종,02-2202-0088,02-2202-0090,33,전력량계,
(주)이에스피,"경기도 의왕시 부곡중학북로 31, B동(삼동)",경기도 의왕시 삼동 114 B동,그 외 자동차용 신품 부품 제조업 외 4 종,031-365-4005,031-365-4006,32,RFID,RFID
(주)이에이치엘바이오,"경기도 의왕시 이미로 40, B동 411호, 412호(포일동, 인덕원IT밸리)","경기도 의왕시 포일동 653 인덕원IT밸리 B동 411호, 412호",생물학적 제제 제조업,02-5359-883,070-4009-6979,25,에이디스템주(세포치료제),"세포배양액(Amino acids, Vitamins, INorganic Salts, Other components), 생리식염수, albumin"
(주)이엘스카이뷰,"경기도 의왕시 한밭들1길 11, A동 2층 203 (고천동)",경기도 의왕시 고천동 332-33번지 A동 2층 203,전시 및 광고용 조명장치 제조업,031-429-9366,031-429-9367,3,승강기 및 에스컬레이터용 LED간접조명,
(주)이젠,"경기도 의왕시 오전공업길 19, 대현테크노월드 701호 12층 1201 (오전동) 대현테크노월드 701호",경기도 의왕시 오전동 174번지 대현테크노월드 12층 1201,그 외 기타 전자부품 제조업 외 1 종,031-451-4556,031-454-4555,5,전기변환장치,
(주)이트린,"경기도 의왕시 성고개로 53, A동 5층 506 (포일동)",경기도 의왕시 포일동 657-2번지 A동 5층 506,유선 통신장비 제조업 외 12 종,031-5177-7555,031-5177-7557,4,"디스플레이 모듈,충전기제어모듈,IEC61850,GATEWAY,환경감시장치 외",
(주)인디시스템,"경기도 의왕시 성고개로 53, 9층 926 (포일동)",경기도 의왕시 포일동 657-2번지 9층 926,"물질 검사, 측정 및 분석기구 제조업",070-8250-3160,,1,초음파 탐상기,
(주)인테크디자인,경기도 의왕시 왕곡로 210 (왕곡동) (총 2 필지),경기도 의왕시 왕곡동 27번지,전시용 모형 제조업 외 12 종,031-426-9999,031-426-2200,35,"모형 전시물 제작, 가구 제조","목재, 각종철자재, 우드락, 아크릴, 기타잡자재"
(주)인텔리빅스,경기도 의왕시 성고개로 53 (포일동) A동 9층 908~909호,경기도 의왕시 포일동 657-2,방송장비 제조업 외 5 종,02-581-3883,02-581-3886,5,"라디오, 카메라, 비디오 서, 안내판, 전광판","렌즈, 다이캐스팅, 보드, PDA"
(주)일성특수조명,경기도 의왕시 고천공업로 50 (고천동),경기도 의왕시 고천동 330번지,일반용 전기 조명장치 제조업 외 1 종,031-456-0401,031-456-0405,7,"LED 등기구(투광등,가로등,보안등,집어등,서치등 외)","LED PKG, 컨버터, 알루미늄"
(주)정우코퍼레이션,"경기도 의왕시 성고개로 53, A동 3층 A307 (포일동)",경기도 의왕시 포일동 657-2번지 A동 3층 A307,컴퓨터 제조업,031-5177-7676,031-5177-7677,2,컴퓨터 제조,
(주)정진전자,"경기도 의왕시 양지편로 41-11, 1층 (포일동)",경기도 의왕시 포일동 80-3번지 1층,사무용 기계 및 장비 제조업,031-451-9688,031-385-6530,6,고객 순번대기기,
(주)제왕터보텍,"경기도 의왕시 맑은내1길 45, 1층 (고천동)",경기도 의왕시 고천동 439-61번지,산업용 송풍기 및 배기장치 제조업 외 3 종,031-424-7145,031-424-7147,2,산업용송풍기,
(주)제이디테크,"경기도 의왕시 이미로 40, C동 7층 708 (포일동)",경기도 의왕시 포일동 653번지 C동 7층 708,기타 전기 변환장치 제조업 외 1 종,070-4633-1004,050-5333-7629,7,"무정전전원장치, 자동전압조정기, 전기변환장치 등","변압기, 반도체소자, 전선 등"
(주)제이알인더스트리 의왕공장,"경기도 의왕시 성고개로 53, A동 8층 806, 807 (포일동)","경기도 의왕시 포일동 657-2번지 A동 8층 806, 807",일반용 전기 조명장치 제조업 외 5 종,070-7510-1052,070-8668-0206,10,"LED조명기구, 폐쇄회로텔레비젼(CCTV)",
(주)제이엔터프라이즈,"경기도 의왕시 광진말로 54, A동 7층 713호  (초평동) 외 6필지",경기도 의왕시 초평동 16-6 A동 7층 713호,그 외 기타 분류 안된 섬유제품 제조업,02-869-2700,,12,"수예품, 퀄트 반/완제품",원단
(주)제이케이넷,"경기도 의왕시 이미로 40, B동 7층 711 (포일동)",경기도 의왕시 포일동 653번지 B동 7층 711,유선 통신장비 제조업,031-455-2233,02-3487-2121,20,출입통제시스템 등 부가장비,
(주)제타크리젠,경기도 의왕시 내손공원길 3 (내손동),경기도 의왕시 내손동 667-11번지,기타 가정용 전기기기 제조업,031-422-3600,031-422-0839,4,수중청소기,
(주)조이매스,"경기도 의왕시 경수대로 257, B1층 B107호(고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2 대영골든밸리 B1층 B107호,그 외 기타 플라스틱 제품 제조업,031-477-0161,,2,"학습교구 및 교재, 보드게임",플라스틱
(주)준테크,경기도 의왕시 왕송못동로 338 (월암동),경기도 의왕시 월암동 594-7번지,방송장비 제조업 외 1 종,031-479-4795,031-462-4795,3,수신기 및 인테리어 조명기구,
(주)중산기업,"경기도 의왕시 한밭들1길 11, A동 3층 301-04 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 A동 3층 301-04,텔레비전 제조업,031-453-0715,031-453-0713,7,주방TV,"LCD PAANEL, pcb, Video Processor, TV Tuner"
(주)중앙프린텍,"경기도 의왕시 중앙샛길 38-1, 중앙빌딩 1층,3층 (삼동)","경기도 의왕시 삼동 210-5번지 중앙빌딩 1층,3층",경 인쇄업 외 1 종,031-461-4045,031-462-3363,15,스티커인쇄물,종이
(주)지디코스메틱,경기도 의왕시 왕곡동 186-1번지,경기도 의왕시 왕곡동 186-1번지,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,031-477-9482,031-477-9483,36,장품용기조립,
(주)지디코스메틱,"경기도 의왕시 경수대로 209, 2층 207호(고천동, 의왕월드비젼) 외 2필지",경기도 의왕시 고천동 234-6 의왕월드비젼 2층 207호,그 외 기타 플라스틱 제품 제조업,,,4,화장품 용기,"화장품 용기부품, 접속 pin, 거울"
(주)지비,"경기도 의왕시 이미로 40, A동 3층 311 (포일동)",경기도 의왕시 포일동 653번지 A동 3층 311,그 외 기타 전기장비 제조업,031-8069-7590,031-8069-7591,2,전기 및 통신장비 함체,
(주)지비오,경기도 의왕시 고산로 8 (고천동),경기도 의왕시 고천동 348-7번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,031-458-3009,031-458-3015,35,냉동돈육 소포장,돈육
(주)지산테크,경기도 의왕시 고천동 438번지,경기도 의왕시 고천동 438번지,그 외 기타 전기장비 제조업,031-456-0901,031-456-4474,20,원동기용 공회전방지장치,
(주)지에스솔루션스,"경기도 의왕시 부곡중앙남1길 34, 203호 (삼동, 부곡 꿈마을)",경기도 의왕시 삼동 160-63번지 부곡 꿈마을 203호,전시용 모형 제조업,070-4849-3510,02-6442-5387,10,교육훈련장비,
(주)지에스솔루션스,"경기도 의왕시 오봉산단3로 25, 1102호(삼동)",경기도 의왕시 삼동 745 1102호,전시용 모형 제조업,070-4849-3510,,0,교육훈련장비,"외부함체, 컴퓨터"
(주)지오메디,"경기도 의왕시 이미로 40, D동 B1층 112호(포일동, 인덕원IT밸리) 외 4필지",경기도 의왕시 포일동 653 인덕원IT밸리 D동 B1층 112호,정형외과용 및 신체보정용 기기 제조업,02-588-2873,02-6280-2849,26,치과용 임플란트 상부 구조물,"Ti6AI4V ELI, CCM, SUS 630"
(주)지이피트레이딩,"경기도 의왕시 이미로 40, D동 1층 111 (포일동)",경기도 의왕시 포일동 653번지 D동 1층 111,아이스크림 및 기타 식용빙과류 제조업,031-8084-3410,,4,콘과자 및 아이스크림,"밀가루, 우유(분유)"
(주)지텔글로벌,"경기도 의왕시 이미로 40, A동 3층 314호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 A동 3층 314호,기타 무선 통신장비 제조업 외 3 종,031-608-8197,031-608-8198,0,"통신장비, AVN, LED조명",ASS'Y PCB
(주)진광,"경기도 의왕시 한밭들1길 10 (고천동, 용성정밀(주))",경기도 의왕시 고천동 332-42번지,주형 및 금형 제조업 외 4 종,031-455-7044,031-458-3185,35,플라스틱사출,
(주)진성무선연구소,"경기도 의왕시 이미로 40, D동 7층 711 (포일동)",경기도 의왕시 포일동 653번지 D동 7층 711,"전자기 측정, 시험 및 분석기구 제조업",031-8069-8029,031-8069-8029,1,주파수 발생기(전화기 테스터),"PCB, IC 저항"
(주)진성하이텍,"경기도 의왕시 경수대로391번길 14-11, 3층 (오전동)",경기도 의왕시 오전동 38-1번지 3층,그 외 기타 특수목적용 기계 제조업 외 1 종,031-454-9727,031-454-9728,9,자동테이핑머신 외,반도체 재료
(주)진테크,경기도 의왕시 한밭들길 10 (고천동),경기도 의왕시 고천동 376번지,"플라스틱 선, 봉, 관 및 호스 제조업",031-457-8395,031-453-0963,22,ASSIST HANDLE(자동차 손잡이),Polypropylene(PP)
(주)질경이,"경기도 의왕시 이미로 40, D동 3층 310호,117호,309-1호,309-2호 (포일동)","경기도 의왕시 포일동 653번지 D동 3층 310호,117호,309-1호,309-2호",화장품 제조업,070-8952-5702,02-581-5708,14,여성청결제,"소듐클로라이드, 수용성콜라겐, 글루코오스 외 9건"
(주)채울,"경기도 의왕시 이미로 40, B동 7층 707 (포일동)",경기도 의왕시 포일동 653번지 B동 7층 707,기억장치 제조업,031-342-8930,031-453-0417,3,"보안USB, 매체보안시스템","반도체칩, 플라스틱, 금속 등"
(주)카모드에스,"경기도 의왕시 한밭들1길 11, B동 1층 111호(고천동, 성우벤처빌)",경기도 의왕시 고천동 332-33 성우벤처빌 B동 1층 111호,그 외 자동차용 신품 부품 제조업,,,6,자동차용 신품 부품,"테이프, 필름"
(주)캐리어중앙공조,"경기도 의왕시 월암길 35(월암동, (주)캐리어중앙공조)",경기도 의왕시 월암동 328-5 (주)캐리어중앙공조,가정용 전기 난방기기 제조업,031-423-2626,,2,가정용 전기 난방기기 제조,"스틸, 플라스틱, 전자부품"
(주)케이넌코리아,"경기도 의왕시 오전공업길 19, 11층 1103 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 11층 1103,일반용 전기 조명장치 제조업,031-429-5315,031-451-3515,5,조명용 등기구,
(주)케이디케이파워,"경기도 의왕시 오봉산단3로 25, 1동 310호(삼동)",경기도 의왕시 삼동 745 1동 310호,기타 절연선 및 케이블 제조업,031-461-8623,,9,"케이블, 하네스","케이블, 단자, 터미널"
(주)케이에스테크놀러지,"경기도 의왕시 이미로 40, 디동 7층 712-1호(인덕원IT밸리) (포일동)",경기도 의왕시 포일동 653번지 디동 7층 712-1호(인덕원IT밸리),그 외 기타 특수목적용 기계 제조업 외 3 종,050-5235-0007,050-5233-0007,5,PCB Maker(PCB가공기),
(주)케이엠솔루션,"경기도 의왕시 오전공업길 19, 10층 1009 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 10층 1009,그 외 기타 전자부품 제조업 외 1 종,031-462-6484,031-462-6485,10,METAL MASK,"SUS 304, 430"
(주)켐솔코리아,"경기도 의왕시 맑은내길 16(오전동, 라이언빌딩)",경기도 의왕시 오전동 260-20 라이언빌딩,플라스틱 접착처리 제품 제조업,,,17,"실리콘, 젤라틴",실리콘 수지
(주)코디아,"경기도 의왕시 이미로 40, D동 7층 714 (포일동)",경기도 의왕시 포일동 653번지 D동 7층 714,"레이더, 항행용 무선기기 및 측량기구 제조업",02-909-6102,02-909-6105,6,항행용 무선기기 및 측량기구 제조업,
(주)코라인이엔티,"경기도 의왕시 사천1길 7-5, 4층 (왕곡동, 서울치과)",경기도 의왕시 왕곡동 594-6번지 서울치과 4층,기타 전기 변환장치 제조업 외 1 종,02-3473-9771,031-425-8219,11,"주파수변환기, 태양광발전기 외",
(주)코레드,"경기도 의왕시 고천공업로 3, 3층 (고천동)",경기도 의왕시 고천동 290-1번지,전시 및 광고용 조명장치 제조업,031-457-3400,,4,전광판,
(주)코리아로드포스트,"경기도 의왕시 오전공업길 17, 201호(오전동)",경기도 의왕시 오전동 178-2 201호,간판 및 광고물 제조업 외 4 종,031-926-3735,031-9263-736,1,"도로명판, 건물번호판, 안내판, 기초번호판, 전시대 등","스테인리스, 알루미늄, 반사지, EC필름"
(주)코비즈에프앤비,"경기도 의왕시 한밭들길 26, b동 4층 (고천동)",경기도 의왕시 고천동 397번지,차류 가공업,031-429-7107,031-429-7108,4,차류,
(주)코어인프라,"경기도 의왕시 이미로 40, C동 9층 904호 (포일동) 외 1필지",경기도 의왕시 포일동 653번지 C동 9층 904호,일반용 전기 조명장치 제조업 외 10 종,070-7730-5017,031-421-2278,34,"조명기구, 영상감시장치, 방송장비 등","PCB, 아크릴, 트랜스, 유니트, 케이블, 렌즈"
(주)콤비,"경기도 의왕시 이미로 40, C동 6층 614 (포일동)",경기도 의왕시 포일동 653번지 C동 6층 614,그 외 기타 가구 제조업,070-4858-8500,02-597-8275,21,조립식 수납 가구류,"알미늄 프로파일, 목대"
(주)쿠키라인,"경기도 의왕시 월암길 41, B1층 (월암동)",경기도 의왕시 월암동 324-1번지 B1층,빵류 제조업,031-424-0424,050-5772-5775,20,"순쌀쿠키, 순쌀빵, 순쌀케익",김포 유기농 하이아미쌀100%
(주)큐브원코리아,"경기도 의왕시 경수대로 257, 601-1호(고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2 대영골든밸리 601-1호,축전지 제조업,031-4518-245,,3,"배터리, 스쿠터, 오토바이, 휠체어","플라스틱, 니켈, 고무"
(주)타히티노니,"경기도 의왕시 이미로 40, C동 B1층 115 (포일동)",경기도 의왕시 포일동 653번지 C동 B1층 115,기타 비알코올 음료 제조업,031-8084-3341,031-8084-3343,1,과채주스,
(주)태경엔지니어링,경기도 의왕시 오봉산단1로 50-7 (이동),경기도 의왕시 이동 583-1번지,교통 신호장치 제조업 외 2 종,031-456-3933,031-456-4771,16,교통신호등 및 제어기 외,
(주)태성이엔지,"경기도 의왕시 오봉산단3로 25, 924호(삼동)",경기도 의왕시 삼동 745 924호,유선 통신장비 제조업,,,2,CCTV 기구 등,"CR ALUMINUM, SUS"
(주)태진테크,"경기도 의왕시 경수대로391번길 17, 3층 (오전동)",경기도 의왕시 오전동 124-5번지 3층,그 외 기타 전자부품 제조업 외 1 종,031-429-8132,031-429-8139,12,"LED 전구, LED 형광등",
(주)테라시스,"경기도 의왕시 이미로 40, 420호, 421호(포일동, 인덕원IT밸리)","경기도 의왕시 포일동 653 인덕원IT밸리 420호, 421호",기타 무선 통신장비 제조업,031-689-3737,031-689-3738,16,무선통신설비,통신설비관련 자재
(주)테마코,"경기도 의왕시 경수대로 411, 중앙빌딩 402호 (오전동)",경기도 의왕시 오전동 35-29번지 중앙빌딩 402호,플라스틱 접착처리 제품 제조업 외 2 종,070-4240-6187,031-444-4611,3,애완견 배설물 처리기구,
(주)티더블유에스,"경기도 의왕시 옻우물길 45-1(오전동, 유한킴벌리)",경기도 의왕시 오전동 133-2 유한킴벌리,육상 금속 골조 구조재 제조업,,,4,우산제수기,"스테인레스, 포맥스, 매트"
(주)티비텍,"경기도 의왕시 한밭들1길 11, b동 2층 5호 (고천동)",경기도 의왕시 고천동 332-33번지 성우벤처빌아파트형공장 b동 2층 5호,유선 통신장비 제조업 외 3 종,070-7724-1733,031-455-8035,13,"네비게이션, 통신기기",
(주)티씨아이네트,"경기도 의왕시 이미로 40, C동 4층 404호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 C동 4층 404호,유선 통신장비 제조업,,,16,"포트센서, LED 패치판넬","플라스틱, 철판"
(주)티앤엘 헬스케어,"경기도 의왕시 오봉산단3로 32, 3층 (삼동)",경기도 의왕시 삼동 731 3층,전자감지장치 제조업,070-4020-1999,070-4888-0780,3,전자 감지장치,"PCB, LED, 반도체"
(주)티에이치테크,"경기도 의왕시 오봉산단3로 25, 1동 301호(삼동)",경기도 의왕시 삼동 745 1동 301호,배전반 및 전기 자동제어반 제조업,031-427-2072,,5,"정류장치,컨버터, UPS, 전원분배반, AVR",CI반도체
(주)파미니티,"경기도 의왕시 이미로 40, D동 10층 1009 (포일동)",경기도 의왕시 포일동 653번지 D동 10층 1009,기타 곡물 가공품 제조업 외 3 종,02-821-8286,02-6442-8280,1,"일반식품류, 건강기능식품류",일반식품
(주)파스텔북,"경기도 의왕시 광진말로 54, 의왕스마트시티 퀀텀 (초평동) C동 5층 513호",경기도 의왕시 초평동 16-6 의왕스마트시티 퀀텀,경 인쇄업 외 2 종,070-8181-2891,0504-148-2891,4,"도서출판, 인쇄물, 서적",지류
(주)파워링스,"경기도 의왕시 한밭들1길 11, A동 1층 101-2호~4호, 101-9호~13호 (고천동)","경기도 의왕시 고천동 332-33번지 A동 1층 101-2호~4호, 101-9호~13호",축전지 제조업 외 3 종,031-429-7071,031-429-7072,26,배터리팩,"배터리, 인쇄회로기판, 케이블"
(주)파워스톤스,"경기도 의왕시 한밭들1길 11, A동 101-5호(고천동, 성우벤처빌)",경기도 의왕시 고천동 332-33 성우벤처빌 A동 101-5호,축전지 제조업,031-427-7235,031-427-7236,5,리튬 2차전지,리튬전지
(주)파워큐브코리아,"경기도 의왕시 이미로 40, C동 B1층 110호(포일동, 인덕원IT밸리) 외 1필지",경기도 의왕시 포일동 653 인덕원IT밸리 C동 B1층 110호,기타 전기 변환장치 제조업 외 1 종,02-1833-8017,070-7882-1300,8,"전기차 충전기, 배터리 복원기",전기차 충전기
(주)파워플러스,"경기도 의왕시 이미로 40, C동 7층 702,703 (포일동)","경기도 의왕시 포일동 653번지 C동 7층 702,703",기타 전기 변환장치 제조업 외 4 종,070-8210-2256,031-225-2256,6,,
(주)파이네코,"경기도 의왕시 오봉산단1로 12, 2층 202호 (이동)",경기도 의왕시 이동 732 2층 202호,그 외 기타 전기장비 제조업 외 1 종,02-468-4628,02-447-4628,0,발열양생시스템,AL
(주)파인코리아코포레이션,"경기도 의왕시 이미로 40, D동 4층 413-1 (포일동)",경기도 의왕시 포일동 653번지 D동 4층 413-1,일반용 전기 조명장치 제조업 외 1 종,070-7351-8700,02-6280-8700,15,"LED 조명등, 패치안테나 외","플라스틱, LED"
(주)파인텍,"경기도 의왕시 덕영대로 21-25, (주)파인텍(이동)",경기도 의왕시 이동 741 (주)파인텍,기타 직물제품 제조업,031-429-2042,031-429-2044,13,"방진마스크, 황사마스크",부직포
(주)퍼스트산업개발,"경기도 의왕시 경수대로391번길 14-4, 4층(오전동, 동인빌딩)",경기도 의왕시 오전동 38-25 동인빌딩 4층,공기 조화장치 제조업 외 1 종,031-429-0274,031-429-0210,7,"공기조하 냉난방, 환기 기기","철판, 동파이프, 단열재"
(주)펄스테크놀러지,"경기도 의왕시 옻우물길 28, 2층 (오전동)",경기도 의왕시 오전동 209-1번지 2층,기타 주변기기 제조업,031-453-0772,031-453-2984,19,컴퓨터입출력장치 및 기타주변장치,
(주)페스앤유,"경기도 의왕시 경수대로 257, 5층 508 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 5층 508,"레이더, 항행용 무선기기 및 측량기구 제조업",031-450-6796,031-450-6798,5,안테나 및 전자부품 제조업,
(주)포디웰컴,"경기도 의왕시 이미로 40, A동 10층 1021 (포일동)",경기도 의왕시 포일동 653번지 A동 10층 1021,기타 인쇄업 외 1 종,070-8274-9860,02-6008-8274,7,3D 피규어 제작,
(주)포러스 일렉트로닉스,"경기도 의왕시 계원대학로 22, 오남프라자 401호 (내손동)",경기도 의왕시 내손동 755-1번지 오남프라자 401호,"라디오, 녹음 및 재생 기기 제조업 외 1 종",031-421-3730,031-421-3734,9,디지털 음성녹음기,
(주)포스토피아,경기도 의왕시 고래들길 43-10 (오전동) 3층,경기도 의왕시 오전동 143-0,기타 인쇄업 외 3 종,031-452-6634,031-451-3660,8,봉투,종이
(주)포앤티,"경기도 의왕시 경수대로391번길 14-7(오전동, (주)포앤티)",경기도 의왕시 오전동 38-16 (주)포앤티,유선 통신장비 제조업,031-458-2131,031-457-7562,22,유무선 통신장치 및 응용장치,"광케이블, 광커넥터, 광페놀, 광분배함, 광감쇄기, 오디오코덱"
(주)포커스,"경기도 의왕시 오봉산단3로 25, 413호(삼동)",경기도 의왕시 삼동 745 413호,그 외 기타 전기장비 제조업,031-443-1033,031-443-1031,2,"도정기, 누룽지 기계","도정기, 제과기 부품"
(주)퓨리켐,"경기도 의왕시 이미로 40, A동 7층 712 (포일동)",경기도 의왕시 포일동 653번지 A동 7층 712,의약용 화합물 및 항생물질 제조업,031-341-5507,031-8084-3307,2,생약 유효성분 추출 및 Column 제조,"빈컬럼, 용매"
(주)프라임덴탈랩 ,"경기도 의왕시 경수대로 257, 9층 5호 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지,정형외과용 및 신체보정용 기기 제조업,031-450-6828,031-450-6829,11,치과보철물,
(주)프라코인터내셔날,"경기도 의왕시 이미로 40, D동 7층 719 (포일동)",경기도 의왕시 포일동 653번지 D동 7층 719,금속 가구 제조업 외 1 종,031-382-7601,031-382-7602,4,"관람석 의자, 수납식 관람석","알루미늄, 고밀도 폴리에틸렌"
(주)프로유화장품,경기도 의왕시 경수대로391번길 10 (오전동),경기도 의왕시 오전동 38-11번지,화장품 제조업,031-427-6181,031-427-6484,20,화장품,
