순번,단지명,회사명,지식산업센터명,공장대표주소(도로명),공장대표주소(지번),업종명,설립구분,종업원수,생산품,주원자재,공장크기,용지면적,건축면적,팩스번호
147,시흥매화일반산업단지,제이앤에스티,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 3층 314호 (매화동) 3층 314호",경기도 시흥시 매화동 846 3층 314호 3층 314호,그 외 기타 전자부품 제조업,일반산업단지,1,전기 자동제어 장치,제어박스,소기업,28.5,178.64,0504-466-0475
148,시화국가산업단지,(주)창대산업,,"경기도 시흥시 옥구천서로81번길 18, 1마 425 (정왕동)","경기도 시흥시 옥구천서로81번길 18, 1마 425 (정왕동)",철도차량 부품 및 관련 장치물 제조업 외 2 종,국가산업단지,1,철도차량용 고무제품,,소기업,0,82.5,050-4465-3446
149,시화국가산업단지,케이원테크,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 6층 604호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 6층 604호,유선 통신장비 제조업,국가산업단지,4,광통신용 광분배함 외,광케이블,소기업,42.2,139.32,0504-446-2227
150,시화국가산업단지,와이앤케이테크,시화테크 지식산업센터,"경기도 시흥시 소망공원로 40, 시화테크지식산업센터 비동 1층 102호 [시흥스마트허브 1라202] (정왕동) 비동 1층 102호 [시흥스마트허브 1라202]호",경기도 시흥시 정왕동 1238-1 번지 시화테크지식산업센터 비동 1층 102호 [시흥스마트허브 1라202] 비동 1층 102호 [시흥스마트허브 1라202]호,그 외 기타 금속가공업,국가산업단지,1,"콘트롤박스 외, 밴딩(절곡)",철재,소기업,0,33,0504-445-4758
151,시화국가산업단지,가온씨앤에스,,"경기도 시흥시 공단2대로 80, 1699-9번지 1바 301-3호 (정왕동)",경기도 시흥시 정왕동 1699-9번지 1699-9번지 1바 301-3호,그 외 기타 금속가공업,국가산업단지,1,"오가팁, 오가비트",환봉,소기업,1090.2,754.82,0504-443-4427
152,시흥매화일반산업단지,(주)제이컴퍼니,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 914호(매화동) 914호",경기도 시흥시 매화동 846 914호 914호,건축설계 및 관련 서비스업,일반산업단지,1,건축설계 및 관련 서비스,,소기업,28.5,178.64,0504-437-2789
153,시화국가산업단지,코얼,,"경기도 시흥시 군자천로21번길 16,  시화단지 2바 509호 (정왕동)",경기도 시흥시 정왕동  2179-9번지,톱 및 호환성 공구 제조업,국가산업단지,4,다이아몬드 공구,"다결정 다이아몬드, 다결정 질화분소, 최경합금",소기업,0,285,0504-432-0192
154,시화국가산업단지,한국와이제이에스엠티,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 1층 138호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 1층 138호,주형 및 금형 제조업,국가산업단지,1,"금형부품,전극",,소기업,36.99,122.12,050-4424-3641
155,시화국가산업단지,아이디플랜(I.D PLAN),,"경기도 시흥시 군자천로81번길 63, [정왕동 2087-3 2마 703] (정왕동)",경기도 시흥시 정왕동 2087-3번지,기타 목재가구 제조업,국가산업단지,1,"목재가구,목재캐비넷 등","합판,M.D.F,각재 및 금속파이프",소기업,0,108.9,0504-422-0603
156,시화국가산업단지,일동엔지니어링,길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,  (정왕동) 1동 5층 511호",경기도 시흥시 정왕동 1277-14 1동 5층 511호,컨베이어장치 제조업,국가산업단지,1,컨베이어벨트,철,소기업,0,60.73,0504-4089-510
157,시화국가산업단지,에이엠케이(AMK)오토메이션,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) A동 7층 702호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 A동 7층 702호,그 외 기타 일반목적용 기계 제조업,국가산업단지,6,"2차전지 생산 자동화 설비, 스마트팜 생산자동화 설비",금속 및 비금속 가공품,소기업,73.6,30.04,0504-408-0814
158,시화멀티테크노밸리,(주)피에이엔지니어링,,"경기도 시흥시 시화벤처로119번길 13, 시화MTV 1사 지원1-14 제5동 (정왕동)",경기도 시흥시 정왕동 203-213번지 시화MTV 1사 지원1-14 제5동,배전반 및 전기 자동제어반 제조업,국가산업단지,5,"배전반, 보호반, 제어반 ","철판, 전선, 보호반, 제어반, 통신판넬",소기업,0,116,0504-402-4512
159,시화멀티테크노밸리,KM플랜트,,"경기도 시흥시 엠티브이26로19번길 13, 시화MTV 2사 지원2-8 제31동 제101호,201호 (정왕동)","경기도 시흥시 정왕동 204-908번지 시화MTV 2사 지원2-8 제31동 제101호,201호",기타 1차 비철금속 제조업,국가산업단지,6,"배관,피팅류","steel,sus",소기업,532.084,401.83,0504-388-8719
160,시화국가산업단지,동산테크,삼양스마트테크노파크 지식산업센터,경기도 시흥시 공단1대로 13 (정왕동) 1동 6층 605호,경기도 시흥시 정왕동 1234-12 1동 6층 605호,전기회로 접속장치 제조업 외 1 종,국가산업단지,2,케이블,"케이블, 커넥터",소기업,0,50,0504-385-4828
161,,AD소프트,산호테크노빌,경기도 시흥시 시흥대로 1115 (신천동) 산호테크노빌 3층 301호,경기도 시흥시 신천동 81-8 산호테크노빌 3층 301호,"물질 검사, 측정 및 분석기구 제조업",일반,1,시험 및 측정기구,"검퓨터, 산업용보드",소기업,0,106.02,0504-381-0267
162,시화국가산업단지,큐온텍,동양타워 지식산업센터,"경기도 시흥시 산기대학로 330, (정왕동, 동양타워지식산업센터) 1동 5층 509호",경기도 시흥시 정왕동 1290-14 동양타워지식산업센터 1동 5층 509호,전기회로 접속장치 제조업,국가산업단지,1,테스트소켓,동판,소기업,44.863,80.8,0504-369-5670
163,시화국가산업단지,(주)이노테코,,"경기도 시흥시 산기대학로 237, 창업보육센터 209호(정왕동, 한국공학대학교)",경기도 시흥시 정왕동 2121-1 한국공학대학교 창업보육센터 209호,전기경보 및 신호장치 제조업,국가산업단지,6,가스스마터 휴대용 가스 감지경보기,"센서, 플라스틱케이서, PCB, 종이박스",소기업,0,49.6,0504-368-9206
164,시흥매화일반산업단지,이지아워,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 715호(매화동) 715호",경기도 시흥시 매화동 846 715호 715호,배전반 및 전기 자동제어반 제조업,일반산업단지,1,자동제어반 판넬,"판넬, PLC, 차단기, 터치, 필터, 케이블 등",소기업,28.5,178.64,050-4344-3783
165,시화국가산업단지,에스에이치테크(SH TECH),,경기도 시흥시 산기대학로 326(정왕동),경기도 시흥시 정왕동 1290-2,그 외 기타 금속가공업,국가산업단지,2,"챔버, 탱크, 질소발생기",스텐레스,소기업,0,453,050-4334-4056
166,시화국가산업단지,우드피카 주식회사,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) B동 4층 408호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 4층 408호,그 외 기타 의복액세서리 제조업,국가산업단지,4,"의복,라벨","실, 단추, 각종 라벨",소기업,0,165.29,0504-329-1286
167,시화멀티테크노밸리,(주)엘에스시스템,,"경기도 시흥시 엠티브이24로56번길 3, B동 1층[시화MTV3사803호] (정왕동)",경기도 시흥시 정왕동 2623-1번지 B동 1층[시화MTV3사803호],주방용 전기기기 제조업,국가산업단지,1,"주방기기, 식기세척기","스테인리스스틸, PCB, 차단기 등",소기업,0,10,050-4326-8238
168,시화국가산업단지,파이테크,,"경기도 시흥시 옥구천서로131번길 7, 1라 511(정왕동)",경기도 시흥시 정왕동 1249-3 1라 511,기타 가공 공작기계 제조업,국가산업단지,1,공작기계,스틸,소기업,0,205.2,0504-320-7117
169,시화국가산업단지,지안하이텍,,"경기도 시흥시 마유로132번길 86, 3라607 (정왕동)",경기도 시흥시 정왕동 1377-6번지 3라607,그 외 기타 금속가공업,국가산업단지,1,기계부품,,소기업,0,148.76,050-4315-8629
170,시화국가산업단지,두성DST,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) B동 5층 506호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 5층 506호,그 외 기타 플라스틱 제품 제조업,국가산업단지,2,"자동차청소기, 안마기, 번호판 등","플라스틱, 모터 등",소기업,55,155.4,0504-313-3389
171,시흥매화일반산업단지,디앤씨테크,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 822호(매화동) 822호",경기도 시흥시 매화동 846 822호 822호,기체 여과기 제조업,일반산업단지,1,집진기,"캐비닛, 필터, 모터 등",소기업,0,66,0504-299-8332
172,시화국가산업단지,(주)지니오토메이션,,"경기도 시흥시 정왕천로 23, 시화산단 3바 506호(정왕동, CKT(주))",경기도 시흥시 정왕동 2194-6 CKT(주) 시화산단 3바 506호,절삭가공 및 유사처리업,국가산업단지,1,기계부품,"스틸, 스테인레스",소기업,0,30,050-4287-0932
173,시화국가산업단지,태양 S.S,타원타크라6차,"경기도 시흥시 옥구천동로 218,(정왕동, 타원타크라 6차 지식산업센터) B동 2층 222호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 2층 222호,그 외 기타 금속가공업,국가산업단지,3,PCB장비부품,SUS304 ,소기업,71.07,222.13,0504-276-7995
174,시화국가산업단지,유해라,,"경기도 시흥시 공단1대로379번길 25, 시화단지 4나 103호 (정왕동)",경기도 시흥시 정왕동 1291-2번지,골판지 상자 및 가공제품 제조업,국가산업단지,1,골판지 상자,골판지,소기업,0,310,0504-272-5322
175,시화국가산업단지,(주)신영메카텍,,"경기도 시흥시 마유로 128, 3라 801호 (정왕동)",경기도 시흥시 정왕동 1369 3라 801호,그 외 기타 금속가공업,국가산업단지,1,진공증착기,"STS304, SS400",소기업,0,30,0504-256-3553
176,시화국가산업단지,(주)이에스테크,시화하이테크지식산업센터,"경기도 시흥시 서해안로 242, 502호(정왕동, 시화하이테크 아파트형공장) 502호",경기도 시흥시 정왕동 1234-7 시화하이테크 아파트형공장 502호 502호,도금업,국가산업단지,1,"치과용 기기, 의료기기","금, 로듐 및 백금족 화합물",소기업,0,272,0504-246-0279
177,시화국가산업단지,(주)세송엔지니어링,,"경기도 시흥시 공단1대로260번길 97, 3라 732 (정왕동, 삼정기공)",경기도 시흥시 정왕동 1375-15번지 삼정기공 3라 732,반도체 제조용 기계 제조업,국가산업단지,3,LCD 반도체 제조용 장비,,소기업,0,330,050-4240-5300
178,시화국가산업단지,(주)윈테크산업,,"경기도 시흥시 군자천로185번길 35, 시화단지 2다 601-1호 (정왕동)",경기도 시흥시 정왕동 1264-9번지,구조용 금속 판제품 및 공작물 제조업,국가산업단지,3,알루미늄복합판넬가공,AL 및 AL복합판넬,소기업,0,330,0504-237-5458
179,시화국가산업단지,한국비전유압,,"경기도 시흥시 마유로20번길 54, 3바 719 (정왕동)",경기도 시흥시 정왕동 2187-7번지 3바 719,유압기기 제조업,국가산업단지,1,유압기기,"유압밸브, 유압실린더 외",소기업,0,99,050-4226-5193
180,시화국가산업단지,(주)아이앤비솔루션,,"경기도 시흥시 공단1대로28번길 117, 1마 210호 (정왕동)",경기도 시흥시 정왕동 1352번지 1마 210호,포장용 플라스틱 성형용기 제조업,국가산업단지,3,플라스틱 제품,PP,소기업,0,33,050-4219-6501
181,시화국가산업단지,하이큐테크,시화하이테크지식산업센터,"경기도 시흥시 서해안로 242, 2층 215호(정왕동, 시화하이테크 아파트형공장) 2층 215호",경기도 시흥시 정왕동 1234-7 시화하이테크 아파트형공장 2층 215호 2층 215호,접착제 및 젤라틴 제조업,국가산업단지,3,UV접착제,테트라히드로푸르푸릴 아크릴산,소기업,0,220.5,0504-212-8335
182,시화국가산업단지,지앤피테크,,"경기도 시흥시 정왕동 2204-3,15번지 시화단지 2바 1003,1003-1호","경기도 시흥시 정왕동 2204-3,15번지 시화단지 2바 1003,1003-1호",그 외 기타 특수목적용 기계 제조업,국가산업단지,1,프레스,"환봉, 각철판, 모터, 프로파일 ",소기업,0,180,0504-199-8957
183,시화국가산업단지,(주)한마음플랜트,,"경기도 시흥시 옥구천서로81번길 38, 1마 318 (정왕동)",경기도 시흥시 정왕동 1355-3번지 1마 318,"증류기, 열교환기 및 가스발생기 제조업 외 1 종",국가산업단지,6,열교환기 외,"스텐레스, 철판 등",소기업,0,347.43,0504-199-0806
184,시화국가산업단지,(주)포비스코,,"경기도 시흥시 마유로32번길 28, 2181-4, 3바 804 (정왕동)","경기도 시흥시 마유로32번길 28, 2181-4, 3바 804 (정왕동)",자동차 엔진용 신품 부품 제조업,국가산업단지,3,어쿠스틱 쉴드,,소기업,0,33,050-4190-2989
185,시화국가산업단지,(주)우신이앤디,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 6층 601호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 6층 601호,기타 직물제품 제조업,국가산업단지,1,마스크,부직포,소기업,0,35,0504-185-7709
186,시화국가산업단지,미리내에프에이,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) B동 7층 705호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 7층 705호,산업용 로봇 제조업,국가산업단지,2,로봇장비,"프로그램, 부품",소기업,55,171.9,0504-184-5581
187,시화국가산업단지,AJ네트웍스(주),,"경기도 시흥시 공단1대로28번길 30, 시화단지 1다 105호 (정왕동)",경기도 시흥시 정왕동 1235-6번지,목재 깔판류 및 기타 적재판 제조업,국가산업단지,16,목재파렛트 외 ,목재,소기업,0,993.53,0504-168-4261
188,,주식회사 루브론,,경기도 시흥시 서울대학로 59-21 (정왕동) 배곧로얄팰리스 테크노1차 626호,경기도 시흥시 정왕동 2580-2 배곧로얄팰리스 테크노1차 626호,볼트 및 너트류 제조업,일반,3,볼트,볼트,소기업,0,136.32,050-4166-3751
189,시화국가산업단지,(주)의청,,"경기도 시흥시 공단1대로132번길 14, 2다 102 (정왕동)",경기도 시흥시 정왕동 1256-1번지 2다 102,구조용 금속 판제품 및 공작물 제조업,국가산업단지,3,맨홀추락방지품,철제,소기업,0,264,0504-155-5978
190,,(주)에스유일렉,,경기도 시흥시 신천로44번안길 17 (신천동) 성일빌딩 4층,경기도 시흥시 신천동 773-5 성일빌딩 4층,기타 가정용 전기기기 제조업,일반,4,"이발기, 면도기",PCB,소기업,0,152.26,0504-155-4590
191,시화멀티테크노밸리,(주)택현,,"경기도 시흥시 시화벤처로 246, 시화MTV 2사 903호 (정왕동)",경기도 시흥시 정왕동 210-903번지 시화MTV 2사 903호,컨베이어장치 제조업,국가산업단지,3,특수 목적용 기계 및 롤포밍기,파이프 및 일반 철강 자재,소기업,0,432,050-4152-6460
192,시화국가산업단지,지성산업,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 3층 307호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 3층 307호,그 외 기타 전자부품 제조업,국가산업단지,7,pcd관련 컨베어,,소기업,42.2,139.32,050-4150-7444
193,시화국가산업단지,원테크,,"경기도 시흥시 마유로144번길 72, 3라313 (정왕동)",경기도 시흥시 정왕동 1285-1번지 3라313,기어 및 동력전달장치 제조업,국가산업단지,1,감속기,"환봉, 베어링, 철판 등",소기업,0,99,0504-149-3125
194,시흥매화일반산업단지,가온테크,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 924호(매화동) 924호",경기도 시흥시 매화동 846 924호 924호,일반용 전기 조명장치 제조업,일반산업단지,1,조명장치 부품,"전기, 전자제품 PCB",소기업,0,62,0504-149-0512
195,시화멀티테크노밸리,남양테크,,"경기도 시흥시 엠티브이북로 187, (시화MTV2사704-1호)(정왕동, (주)범석엔지니어링)",경기도 시흥시 정왕동 2651-4 (주)범석엔지니어링 (시화MTV2사704-1호),그 외 기타 일반목적용 기계 제조업,국가산업단지,14,산업기계,스틸,소기업,7751.5,3735.54,0504-134-8003
196,시화국가산업단지,더웰딩,,"경기도 시흥시 정왕천로 23, 3바 506호 (정왕동)",경기도 시흥시 정왕동 2194-6번지 3바 506호,그 외 기타 금속가공업,국가산업단지,7,반도체장비 부품제작 용접 등 ,304파이프,소기업,0,314,0504-130-9884
197,시화국가산업단지,에스케이 이엔지(SK ENG),보성스퀘어원 지식산업센터 ,"경기도 시흥시 소망공원로 323, (정왕동, 보성스퀘어원지식산업센터) 1동 5층 508호",경기도 시흥시 정왕동 1287-5 보성스퀘어원지식산업센터 1동 5층 508호,육상 금속 골조 구조재 제조업,국가산업단지,2,철구조물 설비,철,소기업,0,167.44,0504-130-1153
198,시화국가산업단지,한아름ENG,보성스퀘어원 지식산업센터 ,"경기도 시흥시 소망공원로 323, (정왕동, 보성스퀘어원지식산업센터) 1동 5층 522호",경기도 시흥시 정왕동 1287-5 보성스퀘어원지식산업센터 1동 5층 522호,금속 절삭기계 제조업,국가산업단지,1,시편절단 성형기계  ,철,소기업,31.923,57.9,050-4094-8629
199,,아스날0724,,"경기도 시흥시 신천로83번길 9, 2층 (신천동)",경기도 시흥시 신천동 763번지 2층,침구 및 관련제품 제조업 외 16 종,일반,1,"방탄조끼, 군용배낭 등",,소기업,0,250,050-4093-4251
200,시화국가산업단지,(주)비엔씨,보성스퀘어원 지식산업센터 ,"경기도 시흥시 소망공원로 323, (정왕동, 보성스퀘어원지식산업센터) 1동 3층 323호",경기도 시흥시 정왕동 1287-5 보성스퀘어원지식산업센터 1동 3층 323호,그 외 금속 압형제품 제조업,국가산업단지,1,금속가공품,알루미늄,소기업,0,60,050-4091-2881
201,시화국가산업단지,이케이테크,,"경기도 시흥시 공단2대로 153, 2마 707(정왕동)",경기도 시흥시 정왕동 2087-7 2마 707,주형 및 금형 제조업,국가산업단지,1,금형가공,철강,소기업,0,240,050-4084-3058
202,시흥매화일반산업단지,정우건기,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 621호(매화동) 621호",경기도 시흥시 매화동 846 621호 621호,기타 전기 변환장치 제조업,일반산업단지,1,인버터,인버터,소기업,36.36,227.91,050-4081-4085
203,시화국가산업단지,다우이엔지,,"경기도 시흥시 군자천로31번길 11, 2바 503 (정왕동)",경기도 시흥시 정왕동 2179-3번지 2바 503,그 외 기타 전자부품 제조업 외 1 종,국가산업단지,1,전자부품,,소기업,0,120,050-4079-8300
204,,(주)완산,,경기도 시흥시 금오로118번길 23-1 (무지내동),경기도 시흥시 무지내동 351-22번지,동력식 수지공구 제조업,일반,3,전동공구,,소기업,404,199.5,050-4070-4509
205,시화국가산업단지,인우테크,,"경기도 시흥시 마유로32번길 19, 시화단지 3바 116호 (정왕동)",경기도 시흥시 정왕동 2182-12번지,주형 및 금형 제조업,국가산업단지,1,금형부품,"공구강, 탄소강, 합금강",소기업,0,33.5,0504-060-6926
206,시화국가산업단지,경원유공압,동우디지털파크,"경기도 시흥시 정왕천로 197,(정왕동, 동우디지털파크) B동 1층 130호",경기도 시흥시 정왕동 1288-2 동우디지털파크 B동 1층 130호,유압기기 제조업,국가산업단지,2,유압실린더 외,철강재 외,소기업,25.98,45,0504-057-0054
207,시화국가산업단지,하나엔지니어링,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) A동 1층 106호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 A동 1층 106호,기타 가공 공작기계 제조업,국가산업단지,2,공작기계,"철판, 철강",소기업,68.42,213.84,0504-053-7526
208,시화국가산업단지,한길이엔씨,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 5층 510호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 5층 510호,공기 조화장치 제조업,국가산업단지,4,환기유니트,환기유니트,소기업,42.2,69.66,050-4050-8386
209,시화국가산업단지,(주)풀메탈이앤티,길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,  (정왕동) 1동 5층 518호",경기도 시흥시 정왕동 1277-14 1동 5층 518호,산업용 난방보일러 및 방열기 제조업,국가산업단지,1,전기보일러,,소기업,0,25,050-4050-2455
210,시화국가산업단지,브이텍,보성스퀘어원 지식산업센터 ,"경기도 시흥시 소망공원로 323, (정왕동, 보성스퀘어원지식산업센터) 1동 6층 614호",경기도 시흥시 정왕동 1287-5 보성스퀘어원지식산업센터 1동 6층 614호,그 외 기타 일반목적용 기계 제조업 외 1 종,국가산업단지,1,"기계 제작, 수리","전기전자 부품, 철공구",소기업,34.54,123.28,0504-047-0207
211,시화국가산업단지,드림스틸,,"경기도 시흥시 희망공원로 223, 1259-6, 2나706 (정왕동)",경기도 시흥시 정왕동1259-6번지,절삭가공 및 유사처리업,국가산업단지,1,특수강 및 부품 정밀가공,특수강,소기업,0,90,0504-045-9093
212,시흥매화일반산업단지,상진상사,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1,(매화동) 1동 4층 417호 외 1필지",경기도 시흥시 매화동 846 1동 4층 417호 외 1필지,일반철물 제조업,일반산업단지,1,"LM가이드, 베어링, 레일가공","알루미늄, 철",소기업,57,357.28,0504-042-3061
213,,주식회사 세븐미어캣,배곧 로얄팰리스 테크노1차 지식산업센터,"경기도 시흥시 서울대학로 59-21, 6층 622 (정왕동) 6층 622호",경기도 시흥시 정왕동 1771-1번지 6층 622 6층 622호,교통 신호장치 제조업,일반,5,"주차주제어장치, 차량인식기","주차주제어장치, 차량인식기",소기업,0,149.9,050-4022-3734
214,시화국가산업단지,지엘티앤아이,,"경기도 시흥시 산기대학로 237, 창업보육센터 205호(정왕동, 한국공학대학교)",경기도 시흥시 정왕동 2121-1 한국공학대학교 창업보육센터 205호,구조용 금속 판제품 및 공작물 제조업,국가산업단지,2,안전난간 시스템,"PVC, AL",소기업,0,49.6,0504-008-5094
215,시화국가산업단지,(주)투파이브,,"경기도 시흥시 소망공원로 172,시화산단 2라 201호 (정왕동)",경기도 시흥시 정왕동 1265번지 시화산단 2라 201호,"체조, 육상 및 체력단련용 장비 제조업",국가산업단지,1,운동기구,철,소기업,0,66,0503-1114-0701
216,시화국가산업단지,효성솔텍(주),,"경기도 시흥시 공단2대로 35, 1마 724(정왕동)",경기도 시흥시 정왕동 1695-9 1마 724,태양력 발전업,국가산업단지,1,태양광,,소기업,0,0,050-2360-4488
217,시화국가산업단지,(주)신한전자,,"경기도 시흥시 군자천로81번길 9,  [정왕동 2092-3 2마 503] (정왕동)",경기도 시흥시 정왕동 2092-3번지 [정왕동 2092-3 2마 503],비주거용 건물 임대업,국가산업단지,1,임대업,,소기업,3300.1,381.51,043-882-0990
218,시화국가산업단지,(주)티이엔,,"경기도 시흥시 마유로238번길 17, 시화산단 3나 108-1호 1269-14 3나 108-1호 (정왕동)",경기도 시흥시 정왕동 1269-14번지 1269-14 3나 108-1호,산업용 냉장 및 냉동 장비 제조업,국가산업단지,3,"산업용 냉동기, 냉난방기","동, 알루미늄, 철",소기업,0,397,043-820-1004
219,시화국가산업단지,현대산업(주),,"경기도 시흥시 경제로 239, 1370-13 3라829호 (정왕동)",경기도 시흥시 정왕동 1370-13번지,비주거용 건물 임대업,국가산업단지,1,임대,,소기업,3390.8,2647.72,043-536-6607
220,시화국가산업단지,씨유테크,,"경기도 시흥시 마유로238번길 109, 3나 407 (정왕동)",경기도 시흥시 정왕동 1290-6번지,그 외 금속 압형제품 제조업 외 1 종,국가산업단지,1,접지동판,구리,소기업,0,66.11,043-239-0069
221,시화멀티테크노밸리,엔토모이노베이션,,"경기도 시흥시 엠티브이25로58번길 23, 3사 108호 (정왕동)","경기도 시흥시 엠티브이25로58번길 23, 3사 108호 (정왕동)",그 외 기타 전기장비 제조업,국가산업단지,4,전기식 해충퇴치기,,소기업,0,198,043-215-4403
222,시화국가산업단지,다나J&T,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 2층 209호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 2층 209호,철도차량 부품 및 관련 장치물 제조업 외 3 종,국가산업단지,4,철도차량용 공기조화장치,철,소기업,42.2,69.66,042-710-7286
223,,(주)세이프윈,,"경기도 시흥시 서울대학로 59-21, 609호, 610호(배곧동, 배곧로얄팰리스 테크노1차)","경기도 시흥시 배곧동 299-3 배곧로얄팰리스 테크노1차 609호, 610호","금속 문, 창, 셔터 및 관련제품 제조업",일반,17,"금속제창, 방범창, 미세먼지방진창, 듀얼롤스크린","알루미늄, 방진망, pvc",소기업,264.6,410.49,042-367-2108
224,시화국가산업단지,해드림에너지(주),,"경기도 시흥시 군자천로131번길 36,  시화산단 2라 206-1호 (정왕동)",경기도 시흥시 정왕동  1265-6번지,태양력 발전업,국가산업단지,1,전기,,소기업,0,0,042-367-1160
225,시화국가산업단지,디젠스(주),,"경기도 시흥시 공단1대로27번길 38, 1나 310 (정왕동)",경기도 시흥시 정왕동 1242-9번지 1나 310,자동차 엔진용 신품 부품 제조업 외 1 종,국가산업단지,62,자동차 머플러,,중기업,6605,7230.35,041-913-1101
226,시화국가산업단지,(주)수엘,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) A동 4층 401호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 A동 4층 401호,그 외 기타 일반목적용 기계 제조업,국가산업단지,5,자동화 장비,"스틸, 알루미늄, 공압부품, 전기자재 외",소기업,90.39,282.51,041-532-1904
227,시화국가산업단지,에스비코스,,"경기도 시흥시 마유로 78, 한국후꾸다 나동 2층, 시화산단 3마 801호 (정왕동)","경기도 시흥시 정왕동 2094-1 한국후꾸다 나동 2층, 시화산단 3마 801호",가방 및 기타 보호용 케이스 제조업,국가산업단지,2,화장품 보호 케이스,"종이, 플라스틱",소기업,0,876,041-4995-207
228,시화국가산업단지,태양이엠씨(주),삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 8층 802호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 8층 802호,비내화 모르타르 제조업,국가산업단지,4,건축재 모르타르,,소기업,50.717,167.44,041-498-0473
229,시화멀티테크노밸리,(주)대한피엔씨,,"경기도 시흥시 시화호수로 322, 시화MTV 3사 1202호 (정왕동)",경기도 시흥시 정왕동 2824-1번지 시화MTV 3사 1202호,"물리, 화학 및 생물학 연구개발업",국가산업단지,1,연구개발업(수요자 맞춤형 클린룸),,소기업,2281,1600,041-358-0026
230,시화국가산업단지,(주)알테크노메탈,,"경기도 시흥시 경기과기대로 252,  1279-10 3나301 (정왕동)",경기도 시흥시 정왕동  1279번지,그 외 기타 금속가공업,국가산업단지,10,금속가공,철,소기업,0,438,041-357-9896
231,시화국가산업단지,미래에프에이,보성스퀘어원 지식산업센터 ,"경기도 시흥시 소망공원로 323, (정왕동, 보성스퀘어원지식산업센터) 1동 8층 825호",경기도 시흥시 정왕동 1287-5 보성스퀘어원지식산업센터 1동 8층 825호,산업처리공정 제어장비 제조업,국가산업단지,5,자동화 판넬 등,,소기업,35.735,127.5,041-357-9057
232,시화국가산업단지,(주)이에스에이치9,,"경기도 시흥시 공단2대로76번길 10, 1바 203호(정왕동)",경기도 시흥시 정왕동 1698-2 1바 203호,태양력 발전업,국가산업단지,1,전기,,소기업,0,0,033-748-8503
233,시화국가산업단지,(주)에이치에스지,,"경기도 시흥시 마유로132번길 52, 3라707(정왕동)",경기도 시흥시 정왕동 1376-6 3라707,일반용 전기 조명장치 제조업 외 2 종,국가산업단지,4,"가로등, 보안등, 조명기기","엘이디 등, 알루미늄, 구리, 철, 전선 등",소기업,0,166,033-344-0776
