회사명,최초등록일,종업원수,생산품정보,공장소재지주소,업종번호정보,업종명,전화번호
(주)에쓰씨온,2025-08-29,4,"광다중장치, 충전보관함",경기도 광명시 일직동 514 A동 22층 2203호,26410,유선 통신장비 제조업 외 1 종,02-6289-8977
(주)에어위드,2021-03-29,6,"산업용 컴퓨터, 컴퓨터 서버, 디지털 영상정보 안내시스템, 미세먼지 센서, 미세먼지 신호등, 실내공기질 경보기, 수위측정센서, 미세먼지 센서, 미세먼지 신호등, 실내공기질 경보기, 수위측정센서, 미세먼지 센서, 미세먼지 신호등, 실내공기질 경보기, 수위측정센서, 전기공급 및 제어장치",경기도 광명시 소하동 1345 광명테크노파크 E동 513호,26310,컴퓨터 제조업 외 5 종,070-4150-0907
(주)에이피에스아이씨티,2018-10-25,9,"스마트 카드, 금융OTP카드, 무전기, 지문 USB메모리",경기도 광명시 소하동 1365번지 A동 11층 1101,26292,전자저항기 및 전자카드 제조업,02-6112-7391
(주)에코시스,2009-09-09,3,매트제조,경기도 광명시 노온사동 544-2번지,13229,기타 직물제품 제조업 외 2 종,02-786-7115
(주)에코와트전기,2023-07-06,3,"도로표지병, 바닥신호등",경기도 광명시 소하동 1344 광명G타워 A828호 A828호,28903,교통 신호장치 제조업 외 1 종,031-352-8836
(주)에프에이엔지니어링,2004-02-05,5,"배전반, 전기자동제어반",경기도 광명시 광명동 575-4번지,28123,배전반 및 전기 자동제어반 제조업,02-2689-7490
(주)에프피텍,2018-11-01,4,"BLDC게이트 차단기컨트롤보드, 차량검지기",경기도 광명시 소하동 1345번지 광명테크노파크 A동 8층 809,26294,전자감지장치 제조업,02-6112-3800
(주)엑스컴정보통신,2014-04-07,10,"컴퓨터, 모니터, cctv, 출입증발급기",경기도 광명시 소하동 909-6번지 지하1층,26310,컴퓨터 제조업 외 3 종,02-898-9830
(주)엑스큐시스템,2010-05-13,16,자동화기기 자동제어반,경기도 광명시 노온사동 157-8번지,28123,배전반 및 전기 자동제어반 제조업 외 5 종,02-6404-7780
(주)엔비엘,2008-12-04,32,"정수기 부품, 환경용품",경기도 광명시 하안동 201번지,22299,그 외 기타 플라스틱 제품 제조업,02-6298-7887
(주)엔쓰리코퍼레이션,2006-04-12,11,"블루투스 모듈, 핸즈프리",경기도 광명시 철산동 626-3번지,26421,방송장비 제조업 외 4 종,02-2618-1077
(주)엔앤피테크놀러지즈,2011-07-08,13,POS SYSTEM 및 주변기기,경기도 광명시 소하동 1345번지 광명테크노파크 A동 11층 1112 외 1필지,26310,컴퓨터 제조업,02-2083-1800
(주)엔에스엠테크,2024-12-16,1,"의료용 가구 부품, 호이스트부품",경기도 광명시 일직동 515-1 A동 19층 1913호,25929,그 외 기타 금속가공업 외 2 종,
(주)엔젤비티알,2009-07-20,5,축전지 및 휴대용 후레쉬,경기도 광명시 철산동 626-3번지,28202,운송장비용 이차전지 제조업 외 3 종,02-718-2629
(주)엔지티엠,2015-05-11,3,가죽 및 단백질 재질 세탁세제,경기도 광명시 소하동 1345번지 광명테크노파크 B동 3층 301,20422,"치약, 비누 및 기타 세제 제조업",070-4141-8438
(주)엘레시스,2013-01-25,19,레이저수술기,경기도 광명시 소하동 1345번지,27112,전기식 진단 및 요법 기기 제조업,02-2083-2078
(주)엘지에스코퍼레이션,2022-12-15,3,소독수(차아염소산수),경기도 광명시 일직동 515-1 A동 706-1호 A동 706-1호,20321,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,02-2109-2454
(주)엠라이테크,2015-10-20,10,"무대, 조명장치, 제어장치",경기도 광명시 하안동 201번지 아파트형공장 제1동 4동 4층 2,28121,"전기회로 개폐, 보호장치 제조업 외 5 종",02-467-6051
(주)엠에프씨아이엔티,2012-08-31,11,"의류(등산복, 기타)",경기도 광명시 소하동 1345번지,14192,"근무복, 작업복 및 유사의복 제조업 외 6 종",02-2083-1345
(주)엠케이리더스,2018-05-24,7,이동통신 케이블,경기도 광명시 일직동 506번지 A동 304호,26429,기타 무선 통신장비 제조업,02-899-8267
(주)엠케이탑,2023-09-11,7,"단독경보형감지기, 가스차단기","경기도 광명시 소하동 1344 광명G타워 B동 13층 1306호, 1307호",29133,"탭, 밸브 및 유사장치 제조업 외 2 종",070-4793-9989
(주)엠투플러스,2017-07-05,9,자동화 부품 및 설비,경기도 광명시 소하동 1345 광명테크노파크 C동 8층 802호,27216,산업처리공정 제어장비 제조업,02-2083-1611
(주)여주전자,2012-01-18,62,"Power Window s/w, Remote Control s/w, DMB Module, LED LAMP ","경기도 광명시 소하동 1365-0 에이스 광명타워 309,310호",30399,그 외 자동차용 신품 부품 제조업 외 5 종,02-894-6121
(주)연미가에프앤비,2014-03-27,24,제빵류,경기도 광명시 소하동 1345번지 광명테크노파크 C동 12층 1210~1213 외 1필지,10602,빵류 제조업,02-2083-1850
(주)영이너폼,2008-02-18,21,"브래지어날개, 컵가공",경기도 광명시 가학동 1029-7번지,14120,속옷 및 잠옷 제조업 외 1 종,02-2684-6737
(주)영일랩스,2012-02-01,21,검사시험기,"경기도 광명시 소하동 1345번지 광명테크노파크 C동 5층 512,513",27216,산업처리공정 제어장비 제조업 외 3 종,02-2083-2460
(주)영일식품,2011-03-14,15,면류,경기도 광명시 노온사동 574-27번지,10820,"면류, 마카로니 및 유사식품 제조업 외 1 종",02-3141-5115
(주)영진이엘,2011-12-08,65,조명등기구,경기도 광명시 소하동 1345번지 광명테크노파크 D동 2층 208,28422,일반용 전기 조명장치 제조업,02-6278-4228
(주)영창비엔비테크,2012-01-27,7,휴대폰부품,경기도 광명시 소하동 1345번지 광명테크노파크 D동 1층 102,29291,"고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",02-2083-2570
(주)예림 엘.엔.아이,1994-07-19,3,"자동차용,전장품,적외선치료기",경기도 광명시 철산동 66-11번지,27111,방사선 장치 제조업,02-2615-3403
(주)예원아이엔티,2020-03-06,4,"인덕션, 공기청정기, 주방가전",경기도 광명시 하안동 201번지 3동 7층 1,28511,주방용 전기기기 제조업 외 1 종,02-2201-0120
(주)예진창호,2012-07-10,4,금속창호,경기도 광명시 철산동 626-3번지,25111,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",02-2688-3669
(주)예찬축산유통,2022-03-24,5,축산물 세절 가공품,경기도 광명시 가학동 426-3 1층,10122,육류 포장육 및 냉동육 가공업 (가금류 제외),02-6673-1616
(주)오루체,2023-08-20,6,조명기구,경기도 광명시 일직동 514 B동 2층 201호,28422,일반용 전기 조명장치 제조업,02-6914-6847
(주)오스팀,2014-01-03,5,스팀 온풍기,경기도 광명시 소하동 1345번지,29172,가정용 및 산업용 공기 조화장치 제조업 외 1 종,070-8780-8880
(주)오엠애드,2011-07-04,2,인쇄물,경기도 광명시 하안동 201 번지 광명아파트형공장 1동 4층 4호,18112,스크린 인쇄업 외 2 종,02-2274-1710
(주)오토빌,2014-05-13,10,전시체험물,경기도 광명시 노온사동 419-3번지,29299,그 외 기타 특수목적용 기계 제조업 외 1 종,02-2626-9696
(주)올크린,2020-09-11,8,극세사 걸레,경기도 광명시 일직동 515-1 광명역자이타워 A-1312,13229,기타 직물제품 제조업,02-807-7890
(주)와이에이치,2025-10-17,10,"통합배선반, 영상감시장치",경기도 광명시 하안동 304 8층 824호 8층 824호,26410,유선 통신장비 제조업 외 1 종,02-899-8003
(주)와이즈업,2020-11-05,6,VR/AR 온라인 프리젠테이션 솔루션,경기도 광명시 일직동 515-1 B동 516호,26529,기타 음향기기 제조업 외 3 종,
(주)우리방재산업,2022-12-14,15,"화재수신기, 발신기, 경종, 감지기, 비상콘센트, 시각경보기, 유도등, 표시등",경기도 광명시 철산동 626-3 광명테크노타운 101호 101호 외 1필지,28901,전기경보 및 신호장치 제조업,02-2066-1262
(주)우림,1995-11-09,7,"전자부품,악기부품",경기도 광명시 소하동 1105-2번지,22251,폴리스티렌 발포 성형제품 제조업 외 1 종,02-898-6454
(주)우보실업,2000-12-28,78,"신용카드조회기,무선호출기,무선전화기",경기도 광명시 하안동 201번지,26421,방송장비 제조업 외 2 종,02-896-5015
(주)우주,2011-03-17,10,자동제어 온도센서,"경기도 광명시 소하동 1345 번지 광명테크노파크 디동 5층 501,502호",27215,기기용 자동측정 및 제어장치 제조업,02-805-6171
(주)월드베스텍,2024-01-12,6,스프링쿨시스템,경기도 광명시 소하동 1345 광명테크노파크 D동 8층 809호,29192,분사기 및 소화기 제조업,02-890-5432
(주)월드씨엔에스,2020-10-29,8,"영상감시장치, 보안용카메라, 전광판, 열차행선안내장치","경기도 광명시 일직동 515-1 광명역자이타워 B동 1813, 1814, 1815, 309호",26410,유선 통신장비 제조업 외 2 종,02-6299-7245
(주)월드씨엔에스,2022-03-11,5,LED 조명기구,경기도 광명시 일직동 515-1 B동 905호 B동 905호,28422,일반용 전기 조명장치 제조업,02-6299-7245
(주)위쥬테크,2023-11-15,21,"주차관제기기, 주차관제시스템, CCTV, 방송설비, 통합배선, CATV",경기도 광명시 소하동 1344 광명G타워 B1층 제지110호 B1층 제지110호,26299,그 외 기타 전자부품 제조업 외 7 종,02-2663-2366
(주)위트콘,2021-03-18,6,"영상정보디스플레이장치, 무인안내시스템, 영상감시장치, 보안용카메라, 출입통제시스템, 대기오염측정기",경기도 광명시 소하동 1345 광명테크노파크 C동 705호 C동 705호,26519,비디오 및 기타 영상기기 제조업 외 4 종,02-2083-1700
(주)위트콘,2023-05-23,8,"CCTV, NVR, 컴퓨터, 미세먼지 측정기, 전광판, 적외선 카메라, 영상정보디스플레이장치",경기도 광명시 소하동 1345 광명테크노파크 E동 516호 E동 516호,26519,비디오 및 기타 영상기기 제조업 외 6 종,02-2083-1700
(주)윈텍,2012-03-09,8,전기자동제어반,경기도 광명시 소하동 1345번지 광명테크노파크 B동 10층 1006,28123,배전반 및 전기 자동제어반 제조업 외 1 종,02-2616-1710
(주)윌로테크,2025-03-28,1,"향수, 토너",경기도 광명시 하안동 304 14층 1412호 14층 1412호,20423,화장품 제조업,0507-1401-1363
(주)유니텍시스,2012-03-15,4,라벨부착기,경기도 광명시 소하동 1345번지 광명테크노파크 E동 8층 804,29191,"용기 세척, 포장 및 충전기 제조업",02-6112-4325
(주)유디에이,2008-03-19,11,데이터획득시스템외,경기도 광명시 철산동 626-3번지 광명테크노타운 202-2,27216,산업처리공정 제어장비 제조업,02-777-7747
(주)유림엔지니어링,2014-08-26,2,자동제어반 및 배전반,경기도 광명시 소하동 1345번지 광명테크노파크 B동 14층 1408,28123,배전반 및 전기 자동제어반 제조업,02-572-6200
(주)유림텍,2012-04-10,6,광통신 점퍼코드,경기도 광명시 소하동 1345번지,26410,유선 통신장비 제조업,02-895-6688
(주)유바이오젠,2011-02-09,4,체외진단의약품,경기도 광명시 소하동 1345 번지 광명테크노파크 씨동 8층 씨806호,21301,체외 진단 시약 제조업 외 1 종,02-6112-2297
(주)유비콘스,2013-07-25,3,자동인증기,경기도 광명시 하안동 201번지 아파트형공장 제1동 3동 5층 3-1호,29180,사무용 기계 및 장비 제조업,02-897-7801
(주)유승산업,1997-06-30,10,"닥트기구,송풍기",경기도 광명시 옥길동 319-1번지,29174,산업용 송풍기 및 배기장치 제조업,02-2615-9991
(주)유진에너팜,2013-03-20,1,에너지 저장장치,경기도 광명시 소하동 1365번지,28119,기타 전기 변환장치 제조업 외 1 종,02-6112-7591
(주)유피테크광명,2020-03-20,1,METAL MASK,경기도 광명시 소하동 1365번지 5층 521,26299,그 외 기타 전자부품 제조업,031-344-1913
(주)윤진전자,2012-01-11,32,자동차용 LED PCB ASSY,"경기도 광명시 소하동 1365번지 405호, 409호, 410호",26224,전자부품 실장기판 제조업,02-896-7757
(주)이-테크놀로지,2007-04-18,5,자동문,경기도 광명시 가학동 909-1번지,25111,"금속 문, 창, 셔터 및 관련제품 제조업",02-2066-8771
(주)이노시스템,2020-02-05,5,산업용 자동차 분전반,경기도 광명시 일직동 515-1번지 B-1406,28121,"전기회로 개폐, 보호장치 제조업 외 2 종",02-2060-5868
(주)이레산업,2022-03-15,9,"금형메인코어 ,슬라이스코어, 변형코어 등 금형관련 부품 ",경기도 광명시 노온사동 212-4,29293,주형 및 금형 제조업,02-857-8277
(주)이룸시스,2024-09-26,14,"특수목적컴퓨터, 구내방송장치, 영상감시장치","경기도 광명시 일직동 514 B동 6층 607호, 608호",26421,방송장비 제조업 외 1 종,02-2672-1142
(주)이미지포커스,2017-05-11,13,"조명, 조명controller",경기도 광명시 소하동 1345번지 광명테크노파크 D동 12층 1214,26299,그 외 기타 전자부품 제조업 외 1 종,02-6112-2770
(주)이시컨트롤,2012-03-15,11,자동제어반 ,경기도 광명시 소하동 1345번지 광명테크노파크 E동 4층 413,26421,방송장비 제조업 외 3 종,02-894-6911
(주)이에스엘,2021-01-05,2,LED조명기구,경기도 광명시 일직동 515-1 B동 6층 607호,28422,일반용 전기 조명장치 제조업,02-6299-7738
(주)이학순베이커리,2021-06-25,19,"빵류 및 과자, 초콜릿류",경기도 광명시 소하동 1345 광명테크노파크 E동 6층 606호 외 1필지,10602,빵류 제조업 외 1 종,02-899-0600
(주)인더스텍,2016-01-26,2,"모션제어시스템, 산업용컴퓨터",경기도 광명시 소하동 1345번지 광명테크노파크 E동 6층 601,27216,산업처리공정 제어장비 제조업 외 1 종,02-2083-3088
(주)인스파워,2016-01-29,12,이동통신용 전력증폭기,경기도 광명시 소하동 1345번지 광명테크노파크 A동 14층 1405 A동 14층 1405호,26429,기타 무선 통신장비 제조업,02-2083-2932
(주)장안어패럴,2011-10-07,24,티셔츠,경기도 광명시 소하동 1345번지,14191,셔츠 및 블라우스 제조업 외 1 종,02-839-5796
(주)장우산업,2019-01-21,7,"금속 문, 창, 셔터 외",경기도 광명시 옥길동 21-1번지,25111,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종",02-2682-6333
(주)장흥넥스트론,2025-09-05,2,"파워코드, 비타민샤워필터, 센서",경기도 광명시 노온사동 436-10 지하 1층,26299,그 외 기타 전자부품 제조업 외 2 종,02-2687-2152
(주)정우콘베어,1990-12-06,5,콘베이어,경기도 광명시 소하동 3-4번지,29169,기타 물품 취급장비 제조업,02-807-0328
(주)제로지텍,2024-04-04,2,필기구,경기도 광명시 하안동 303 7층 719호 7층 719호,33920,사무 및 회화용품 제조업,02-3472-7350
(주)제이더블유,2022-02-14,6,"오디오앰프, 네트워크시스템장비용랙, 통신케이블어셈블리, 스피커, 영상정보디스플레이, 원격접속장치, 출입통제시스템, 전광판, 전원공급장치",경기도 광명시 소하동 1345 광명테크노파크 E동 411호 E동 411호,26421,방송장비 제조업 외 6 종,02-899-0668
(주)제이씨,2011-04-13,4,"음수대, 조례대, 자전거보관대, 차양",경기도 광명시 소하동 1345 번지 광명테크노파크 비동 7층 702호,25112,구조용 금속 판제품 및 공작물 제조업 외 4 종,02-6112-3233
(주)제이에스일렉트릭,2022-02-25,9,"자동제어장치, 소프트웨어, 시스템",경기도 광명시 일직동 514 B동 804호 B동 804호,28123,배전반 및 전기 자동제어반 제조업,02-6112-3400
(주)제이엠이엔비,2012-06-22,11,"미생물,미생물배양액,물벼룩경보장치",경기도 광명시 소하동 1345번지 광명테크노파크 E동 11층 1110 외 1필지,21100,기초 의약 물질 제조업 외 3 종,02-6112-2440
(주)제이피 허브 시스템즈,2023-02-23,3,컴퓨터 및 주변기기,경기도 광명시 소하동 1344 광명G타워 A1409호 A1409호,26310,컴퓨터 제조업,
(주)조강FOD,2007-08-03,7,"오버헤드및특수도어,기계제작설치",경기도 광명시 옥길동 97-8번지,25111,"금속 문, 창, 셔터 및 관련제품 제조업",02-2685-0276
(주)조은페이퍼,2007-05-28,6,"은행용CD용지, 영수증용지, 전산용지",경기도 광명시 가학동 781-11번지,17901,문구용 종이제품 제조업 외 4 종,02-2066-8091
(주)준씨에스,2007-01-22,5,"소형크러셔, 소형절단기, 집게,버켓",경기도 광명시 옥길동 47-19번지,29241,건설 및 채광용 기계장비 제조업 외 1 종,02-2068-5416
(주)지아이비코리아,2024-03-13,3,IPU(고속도로 자동차 번호인식 장치),경기도 광명시 하안동 201 453호 453호,26310,컴퓨터 제조업,070-8849-5797
(주)지제이씨,1967-09-05,17,접착제,경기도 광명시 소하동 213번지,20493,접착제 및 젤라틴 제조업,02-802-7374
(주)진강전자,2019-02-19,1,"전기기기, 조명제어장치",경기도 광명시 하안동 201번지 2동 4층 1-1,26410,유선 통신장비 제조업 외 2 종,070-4355-6378
(주)진엔지니어링,2017-05-08,9,"분전반, 등기구",경기도 광명시 노온사동 759-1번지 1층,28123,배전반 및 전기 자동제어반 제조업 외 2 종,02-897-3985
(주)천조스토리,2016-11-24,7,"전열기, 전자제품",경기도 광명시 옥길동 139-3번지,28512,가정용 전기 난방기기 제조업,02-2060-1033
(주)초록물산,2014-12-24,5,"묵제조(도토리묵, 올방개묵)",경기도 광명시 노온사동 155-10번지,10894,두부 및 유사식품 제조업,02-831-9444
(주)칩센,2021-05-24,11,"산업용 무선통신부품, 모듈, 무선통신제품","경기도 광명시 일직동 501-4 501, B226호 501, B226호",26521,"라디오, 녹음 및 재생 기기 제조업",02-1599-6005
(주)케이블엔와이어링크,2008-03-19,8,"cable, wire harness",경기도 광명시 하안동 201번지,28301,광섬유 케이블 제조업,02-893-3077
(주)케이텍,2016-08-16,6,기계모니터링 및 공구류,경기도 광명시 소하동 1345번지 광명테크노파크 E동 12층 1208,27212,"전자기 측정, 시험 및 분석기구 제조업 외 1 종",02-803-0980
(주)코리아시스템,2009-09-09,16,천막 및 기타 캔버스제품,경기도 광명시 옥길동 24-1번지,18119,기타 인쇄업 외 1 종,02-2684-1367
(주)코스텍,2019-01-02,20,기타 특수 목적용 기계 제조업 외 2종,경기도 광명시 하안동 201번지 2동 703호,29299,그 외 기타 특수목적용 기계 제조업 외 2 종,02-2632-2114
(주)코스템,2013-07-08,6,"CCTV제품, 차량번호식별 제품",경기도 광명시 하안동 201번지 아파트형공장 제1동 4동 7층 4호,26421,방송장비 제조업 외 2 종,070-4640-2867
(주)코엔지,2024-10-28,9,전기자전거용 리튬이온배터리팩,경기도 광명시 일직동 514 A동 19층 1904호,28202,운송장비용 이차전지 제조업 외 1 종,02-838-6300
(주)킹콩에듀,2019-04-24,10,"유치교구, 초등교구",경기도 광명시 하안동 201번지 4동 6층 3호,47611,"서적, 신문 및 잡지류 소매업 외 1 종",1544-0842
(주)태성로직스,2022-02-14,8,"PSD 제어반, RTDB, WATER-EYE, RAIN-EYE, SNOW-EYE, PLC제어반",경기도 광명시 소하동 1345 광명테크노파크 B동 604호 B동 604호,28123,배전반 및 전기 자동제어반 제조업,02-6212-1347
(주)태성자동문,2007-05-31,18,자동문,경기도 광명시 노온사동 574-14번지,25111,"금속 문, 창, 셔터 및 관련제품 제조업",02-842-0144
(주)태영전자,2002-11-20,12,변압기(전자제품용),경기도 광명시 철산동 626-3번지 광명조명타운 1층 103 1층 103호,28112,변압기 제조업,02-2611-5727
(주)태진카본,2022-05-17,8,카본 제품,경기도 광명시 일직동 22-4,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,02-806-3181
(주)테라엘텍,2022-04-26,8,"승강기용 정보표시장치(LCD, LED)",경기도 광명시 소하동 1345 광명테크노파크 E동 810호 E동 810호,26211,액정 표시장치 제조업,02-2083-2983
(주)텐코리아,2010-06-29,3,태양광발전장치,경기도 광명시 노온사동 574-17번지,28123,배전반 및 전기 자동제어반 제조업 외 5 종,02-896-0304
(주)텐코리아 제1공장,2014-05-27,18,"태양광발전시스템, 자동제어시스템",경기도 광명시 노온사동 574-56번지,28123,배전반 및 전기 자동제어반 제조업 외 5 종,02-896-0304
(주)트루아이즈,2018-02-28,10,co2 센서,경기도 광명시 소하동 1345번지 광명테크노파크 A동 14층 1408,28121,"전기회로 개폐, 보호장치 제조업",02-2083-2377
(주)트리비젼,2014-07-04,5,"조명, 컨트롤러",경기도 광명시 소하동 1345번지 광명테크노파크 C동 14층 1410-1,28422,일반용 전기 조명장치 제조업,070-8244-8041
(주)티에스엠,2017-03-09,13,"광학, 전자제어장치",경기도 광명시 소하동 1345번지 광명테크노파크 D동 12층 1210,27192,치과기공물 제조업 외 3 종,070-4006-3311
(주)티에스원,2013-11-27,4,우편물봉함기,경기도 광명시 소하동 1345번지,29180,사무용 기계 및 장비 제조업,02-2083-1300
(주)티큐브테크,2016-04-14,5,통신용 전원함,경기도 광명시 노온사동 360-4번지,28123,배전반 및 전기 자동제어반 제조업,02-2138-3471
(주)티텍스타일,2019-05-27,8,"셔츠, 블라우스, 봉제 의복",경기도 광명시 소하동 1345번지 광명테크노파크 A동 12층 1212,14191,셔츠 및 블라우스 제조업 외 1 종,02-803-7201
(주)파이온이엔지,2015-08-19,8,산업용전력제어기,"경기도 광명시 소하동 1345-0 광명테크노파크 D동 707,708호",28121,"전기회로 개폐, 보호장치 제조업 외 1 종",02-2083-1966
(주)펀비즈,2021-05-12,9,"유아의복, 출산용품, 속옷, 요실금팬티, 잠옷 등 ","경기도 광명시 소하동 1345 광명테크노파크 D동 403, 404호 D동 403, 404호",14194,유아용 의복 제조업,02-2624-3311
(주)펄스일렉트로닉스,2009-12-30,8,콘센트 멀티텝,경기도 광명시 노온사동 801번지,28121,"전기회로 개폐, 보호장치 제조업 외 1 종",02-2617-8214
(주)포엠,2012-04-10,7,"자동화기계장치(과학기기), 교육용기계장치",경기도 광명시 소하동 1345번지 광명테크노파크 C동 11층 1106,27216,산업처리공정 제어장비 제조업 외 5 종,02-2083-1774
(주)포텍,2021-01-05,5,LED조명기구,경기도 광명시 일직동 515-1 광명역자이타워 A-1405,28422,일반용 전기 조명장치 제조업,02-6299-7701
(주)푸름,2023-11-20,4,"공기살균정화기, 공기살균LED램프, 금속산화물분말(이산화티타늄)",경기도 광명시 소하동 1345 광명테크노파크 B동 8층 808호,28909,그 외 기타 전기장비 제조업 외 4 종,02-862-5553
(주)퓨처인텍,2009-11-06,6,"led 조명기기, 전자기판 실장",경기도 광명시 하안동 201번지 광명아파트형공장 3동 1층 2호,28422,일반용 전기 조명장치 제조업 외 2 종,02-803-7462
(주)프로탄바이오,2021-11-17,8,"진단시약, 의료기기",경기도 광명시 소하동 1345 광명테크노파크 E동 3층 308호 외 1필지,21301,체외 진단 시약 제조업 외 1 종,02-3285-1413
(주)피에스테크,2011-05-16,2,통신전자부품,경기도 광명시 소하동 1345 번지 광명테크노파크 이동 6층 이602호,26429,기타 무선 통신장비 제조업,02-2614-0511
(주)피엔아이,2011-02-17,4,점검구겸세척밸브,경기도 광명시 소하동 1345 번지 광명테크노파크 이동 5층 이518호,29133,"탭, 밸브 및 유사장치 제조업",02-899-9290
(주)필로스,2021-05-21,4,분리막 모듈,경기도 광명시 소하동 1345 광명테크노파크 B동 1209호 B동 1209호,29176,액체 여과기 제조업,02-859-3456
(주)하나텍시스템,2011-02-21,36,"교통정보수집장치, 조명장치","경기도 광명시 소하동 1345번지 광명테크노파크 D동 14층 1409, 1408",28903,교통 신호장치 제조업 외 10 종,02-2083-2688
(주)하이네트웍스,2003-10-29,20,"cctv,영상감시장치",경기도 광명시 광명동 162-8번지 (4층),26421,방송장비 제조업 외 2 종,02-2682-1061
(주)하이앤텍,2020-04-29,15,"CCTV, 동작분석기",경기도 광명시 일직동 515-1번지 A동 1010~1011호,26519,비디오 및 기타 영상기기 제조업 외 2 종,02-6269-2272
(주)한국소방리더스,2011-01-11,9,자동소화시스템,경기도 광명시 광명동 580 번지,29192,분사기 및 소화기 제조업,02-807-9119
(주)한국에프티티,2023-06-29,2,전동차용 DCDC 파워서플라이,경기도 광명시 소하동 1345 광명테크노파크 E동 1013호 E동 1013호,28119,기타 전기 변환장치 제조업,070-7799-7071
(주)한국장애인복지일자리나눔,2022-12-12,5,"CCTV 등 영상감시장치, 인쇄물, 차량인식기, 장애인주차구역 단속시스템",경기도 광명시 소하동 1344 광명G타워 402호 402호,26421,방송장비 제조업 외 2 종,02-703-6793
(주)한길AW,2012-01-19,4,자동화기계,경기도 광명시 광명동 575-5번지,28123,배전반 및 전기 자동제어반 제조업 외 2 종,02-2060-9361
(주)한미노즐,2011-04-07,4,스프레이노즐,경기도 광명시 소하동 1345 번지 광명테크노파크 이동 9층 909호,29133,"탭, 밸브 및 유사장치 제조업",02-894-8111
(주)한생계기,2000-12-28,9,공업용온도계.습도계,경기도 광명시 하안동 201번지,27215,기기용 자동측정 및 제어장치 제조업,02-805-5682
(주)한진에스티,2021-07-14,0,"금속가공품, 철구조물",경기도 광명시 노온사동 574-23,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,031-318-0833
(주)해동사,2005-07-28,29,열전대,경기도 광명시 하안동 201번지,27212,"전자기 측정, 시험 및 분석기구 제조업",02-809-0477
(주)해브잇올,2014-04-09,10,"휴대폰 충전기, 휴대폰 케이스, 휴대폰 케이블",경기도 광명시 소하동 1345번지 광명테크노파크 D동 12층 1207,15129,가방 및 기타 보호용 케이스 제조업 외 2 종,070-4610-1130
(주)허브라,2005-06-08,7,허브차,경기도 광명시 하안동 201번지,10892,차류 가공업,02-802-2468
(주)현대산기,2003-04-11,6,분쇄기제조.조립,경기도 광명시 소하동 313-3번지,29242,광물처리 및 취급장비 제조업,02-899-5607
(주)혜영산업,2006-10-27,9,"밧데리, 밧데리팩, 밧데리, 밧데리팩, 밧데리, 밧데리팩",경기도 광명시 철산동 626-3 광명테크노타운 802호 802호,28202,운송장비용 이차전지 제조업 외 2 종,02-2611-1812
(주)호크마,2012-08-16,3,"음식물쓰레기건조기, 정수기",경기도 광명시 철산동 463-13번지 지하1층,29176,액체 여과기 제조업 외 2 종,02-897-5053
(주)화인아로마,2011-01-12,2,방향제,경기도 광명시 소하동 1345 번지 광명테크노파크 디동 2층 디206호,20424,표면광택제 및 실내가향제 제조업,02-893-4188
(주)화인인터코리아,2020-06-15,18,"금속검출기, 이물선별기, 중량검사기, 컨베이어, 누유검사기",경기도 광명시 소하동 1345 광명테크노파크 A동 1층 105호 외 1필지,27216,산업처리공정 제어장비 제조업 외 2 종,02-899-4472
(주)휴라이트,2019-01-03,3,"저레벨전신조사기, 개인용 광선치료기, 고압산소챔버, 등",경기도 광명시 소하동 1345번지 광명테크노파크 E동 13층 1311,27199,그 외 기타 의료용 기기 제조업,02-898-2116
(합자)광명양조,1979-01-01,7,탁주,경기도 광명시 소하1동 30-31번지,11111,탁주 및 약주 제조업,02-803-8583
C.M어패럴,2002-02-07,5,"잠바,코트,츄리닝,모자",경기도 광명시 소하동 1268번지,14192,"근무복, 작업복 및 유사의복 제조업 외 3 종",02-897-1898
D.H.P주식회사,2006-10-04,9,"황동밸브, 배관자재",경기도 광명시 노온사동 665-2번지,29133,"탭, 밸브 및 유사장치 제조업",02-2619-0003
ELESYS TECH,2011-05-11,4,레이저의료기기,경기도 광명시 소하동 1345 번지 광명테크노파크 이동 13층 이1306호,27199,그 외 기타 의료용 기기 제조업,02-539-2079
J-TECH (제이테크),2024-09-12,6,키오스크 및 영상정보 디스플레이장치,"경기도 광명시 일직동 501-4 8층 806호, 807호 8층 806호, 807호",26519,비디오 및 기타 영상기기 제조업 외 1 종,02-838-3676
KNP,2009-05-01,2,아파트 등기구,경기도 광명시 노온사동 801-5번지,25112,구조용 금속 판제품 및 공작물 제조업,02-2611-1993
KT코스메틱,1991-05-22,5,화장용솔,경기도 광명시 철산동 488-31번지,33993,비 및 솔 제조업,02-2613-0176
M-TECH,2009-09-11,4,공기조화기,경기도 광명시 광명동 158-181번지 3층,29172,가정용 및 산업용 공기 조화장치 제조업 외 1 종,02-2614-3211
MSTECH,2016-08-04,1,주차관제 설비,경기도 광명시 하안동 201번지 아파트형공장 제1동 3동 6층 2-1,26299,그 외 기타 전자부품 제조업 외 2 종,02-6672-1700
