순번,회사명,공장대표주소(도로명),업종명,전화번호,팩스번호,생산품
840,(주)와이닷츠,경기도 부천시 원미구  부천로198번길 18 (춘의동+ 춘의테크노파크II) 202동 11층 03호,인형 및 장난감 제조업 외 1 종,02-6951-3620,070-4866-3620,로봇 피오+ 로봇 모모
841,(주)와이엠일렉트로닉스,경기도 부천시 원미구 송내대로 388+ 203동 6층 601 (약대동+ 부천테크노파크),전시 및 광고용 조명장치 제조업 외 2 종,032-621-2551,032-621-2553,엘이디모듈+전자부품
842,(주)와이즈,경기도 부천시 원미구 조마루로385번길 122 (춘의동) 12층 1201-1214호,산업처리공정 제어장비 제조업 외 2 종,032-351-5753,032-351-5754,산업용 압력계 등+ 금속 골조 구조재 등
843,(주)요리비,경기도 부천시 원미구 도약로 261+ (도당동+ 부천대우테크노파크) A동 B층 08일부호,육류 기타 가공 및 저장처리업 (가금류 제외),032-670-8207,032-670-8208,돈까스
844,(주)용진일렉콤,경기도 부천시 오정구 옥산로269번길 24 (내동),전기회로 개폐+ 보호장치 제조업 외 4 종,032-656-9030,032-656-9026,커넥터류+전자부품
845,(주)용진테크,경기도 부천시 원미구 옥산로229번길 11 (도당동) 1층+ 3층일부,절삭가공 및 유사처리업 외 1 종,032-678-0666,032-684-0666,제약회사 포장기계 및 부품
846,(주)용호,경기도 부천시 소사구 경인로133번길 14+ 3층 1 (송내동),남자용 겉옷 제조업,032-655-5510,032-655-5522,남성복
847,(주)우림월드,경기도 부천시 오정구 삼작로 22+ 102동 4층 02 (삼정동+ 부천테크노파크),전기회로 개폐+ 보호장치 제조업 외 1 종,032-327-3322,032-327-2600,차단기부품
848,(주)우림전기조명,경기도 부천시 오정구 삼작로121번길 39 (삼정동) 오승빌딩 1층,일반용 전기 조명장치 제조업,032-684-4068,032-232-7619,LED조명기구
849,(주)우성,경기도 부천시 원미구 옥산로196번길 47 (도당동),그 외 기타 특수목적용 기계 제조업 외 1 종,032-678-7961,032-682-7956,종이컵 성형용 자동화기계+ 인쇄 및 제단 자동화기계
850,(주)우성엠엔피,경기도 부천시 오정구  신흥로413번길 56 (삼정동),폴리스티렌 발포 성형제품 제조업 외 1 종,032-675-5670,032-675-4129,전화기
851,(주)우성테크,경기도 부천시 원미구 부천로198번길 27+ 5층 06 (춘의동),그 외 기타 전자부품 제조업 외 1 종,032-327-3300,050-5327-3300,버닝보드 테스트 장비
852,(주)우성하이테크,경기도 부천시 원미구 도약로308번길 25+ 부천공구상가 9동 2층 (도당동),액체 여과기 제조업 외 3 종,032-679-2121,032-679-2125,냉온수기+정수기
853,(주)우성하이텍,경기도 부천시 오정구 산업로8번길 68+ 1층 (오정동),주형 및 금형 제조업,032-681-1058,032-681-1059,사출금형
854,(주)우신금형,경기도 부천시 오정구 산업로8번길 22-8 (오정동),주형 및 금형 제조업,032-678-3708,032-678-3804,화장품용기금형
855,(주)우신세미텍,경기도 부천시 원미구 수도로 88-69+ 1~4층(도당동+ 공장),반도체 제조용 기계 제조업,,032-675-8810,반도체장비 부품
856,(주)우신화장품,경기도 부천시 오정구 수도로125번길 33 (내동),화장품 제조업,032-675-2761,032-676-2488,헤어로션+ 샴푸
857,(주)우연기전,경기도 부천시 원미구 수도로 88-58+ 1층+ 5층 (도당동),전기회로 개폐+ 보호장치 제조업 외 3 종,032-674-3138,032-677-3140,전기제어반+ 배전반+ 자동제어반+ 상업용 식기 세척기
858,(주)우일플랜트,경기도 부천시 오정구 삼작로199번길 58 (내동),구조용 금속 판제품 및 공작물 제조업 외 2 종,032-674-4392,032-674-3437,경판+ 로링TANK+ 조형물 외
859,(주)우전시스템,경기도 부천시 오정구 석천로 345 (삼정동) 301동 3층 306호,유선 통신장비 제조업,031-425-3354,031-624-3352,컨테인먼트+ 환경감시장치+ 열교환기+ 배터리성능유지장치 등
860,(주)우정테크,경기도 부천시 오정구 신흥로511번길 61 (오정동) 3층 01호,용기 세척+ 포장 및 충전기 제조업 외 1 종,032-684-5497,032-684-5499,색조화장품충진기
861,(주)우정하이테크,경기도 부천시 오정구 석천로442번길 87 (삼정동),반도체 제조용 기계 제조업,032-682-8102,032-682-8101,반도체 장비 부품
862,(주)우진메이킹,경기도 부천시 오정구 석천로 397+ 203-503(삼정동+ 부천테크노파크쌍용3차),그 외 기타 종이 및 판지 제품 제조업 외 1 종,032-663-9633,032-624-3229,모형책+ 북박스+ 제본북+ 인쇄지
863,(주)우진써보,경기도 부천시 원미구 송내대로 388+ 203동 4층 402 (약대동+ 부천테크노파크),전동기 및 발전기 제조업,032-621-0090,032-621-0092,소형모타
864,(주)우창카플링,경기도 부천시 원미구 옥산로 224 (도당동),기어 및 동력전달장치 제조업,032-678-6498,032-671-9985,동력전달장치(카플링+그리드+기어 등)
865,(주)우텍솔루션,경기도 부천시 오정구 석천로 397+ 104동 6층 12+13 (삼정동+ 부천테크노파크쌍용3차),전자부품 실장기판 제조업,032-624-4611,032-624-4614,전자부품
866,(주)우피아,경기도 부천시 오정구 신흥로390번길 28+ 1층 (내동),금속 가구 제조업,02-6711-9340,02-6711-9349,철재프레임
867,(주)웅지전자,경기도 부천시 원미구조마루로411번길 26+ 3층 (원미동),그 외 기타 전자부품 제조업 외 1 종,032-656-8005,032-656-8003,소형가전제품
868,(주)웅진자외선,경기도 부천시 원미구 평천로 819 (도당동),전구 및 램프 제조업,032-671-6362,032-673-6361,UV램프
869,(주)워터엔피플,경기도 부천시 원미구 도약로 261+ A동 10층 07 (도당동+ 부천대우테크노파크),액체 여과기 제조업,032-670-7555,032-670-7550,정수기+황원수기기+필터
870,(주)원명,경기도 부천시 소사구 경인로100번길 10 (송내동),전자코일+ 변성기 및 기타 전자 유도자 제조업 외 4 종,032-667-0230,032-667-0233,점화트랜스+솔레노이드+계전기+송풍기모터
871,(주)원용산업,경기도 부천시 원미구 부천로168번길 13 (춘의동),비 및 솔 제조업,032-666-1071,032-666-1075,비 및 솔
872,(주)원우정밀,경기도 부천시 원미구 옥산로196번길 13+ 마동 2층 일부(도당동),기타 가정용 전기기기 제조업,032-675-1653,032-675-1653,마사지기기
873,(주)원일이노텍,경기도 부천시 원미구 도약로 279 (도당동) 2층,컴퓨터 제조업,032-676-2022,032-676-6812,PCB A+ 컴퓨터 CASE 외
874,(주)원천기술,경기도 부천시 원미구도약로 291+3층 (도당동),화학 살균.살충제 및 농업용 약제 제조업 외 1 종,032-324-9878,032-324-9875,살균수생성장비
875,(주)원텍정보기술,경기도 부천시 원미구 조마루로385번길 122+ 18층 1815호+ 1816호 (춘의동),배전반 및 전기 자동제어반 제조업,032-323-2417,032-323-2418,자동제어반
876,(주)원효메디텍,경기도 부천시 원미구 도약로 261+ D동 11층 09 (도당동+ 부천대우테크노파크),그 외 기타 의료용 기기 제조업,032-683-5700,032-675-0871,적외선 조사기
877,(주)월드그린,경기도 부천시 원미구 조마루로385번길 80 (원미동) 춘의테크노파크 3차 906호,자동차용 금속 압형제품 제조업 외 1 종,032-503-1763,032-503-1770,자동차 부품+ 배기가스 저감장치+ 연료유 활성화장치
878,(주)월드디엔디,경기도 부천시 원미구 평천로826번길 1 (도당동),자동차용 금속 압형제품 제조업 외 1 종,032-678-8850,032-678-8854,커넥터 부품
879,(주)월드전자통신,경기도 부천시 원미구조마루로385번길 123+ 3층 (춘의동),유선 통신장비 제조업 외 2 종,032-348-5950,032-342-8791,전자연동장치
880,(주)월드컬렉션,경기도 부천시 오정구 산업로 50 (오정동),핸드백 및 지갑 제조업,032-675-1640,032-675-1651,핸드백
881,(주)웬스정밀,경기도 부천시 원미구 송내대로 388+ 203동 7층 701 (약대동+ 부천테크노파크),전자기 측정+ 시험 및 분석기구 제조업,032-621-1500,032-621-1505,전자계측기
882,(주)웰텍스메디컬,경기도 부천시 오정구 석천로442번길 75 (삼정동),기타 운동 및 경기용구 제조업,032-675-0565,032-675-0567,경기용구
883,(주)웰포인트,경기도 부천시 원미구 평천로 597+ 402호 (상동+ 부천자동차백화점),그 외 기타 전자부품 제조업 외 1 종,032-326-1327,032-326-3645,전자부품
884,(주)윈테크,경기도 부천시 소사구 부광로 220 (옥길동+ 우성테크노파크Ⅰ) 1동 8층 841호,유선 통신장비 제조업 외 1 종,032-341-0815,032-341-0816,통신장비
885,(주)유남옵틱스,경기도 부천시 오정구 부천로419번길 1 (내동),광학렌즈 및 광학요소 제조업,032-673-2271,032-673-2270,디스플레이용광학외
886,(주)유니디자인,경기도 부천시 원미구 부천로198번길 36+ 101동 9층 903호 (춘의동),플라스틱 시트 및 판 제조업,070-4233-9520,032-612-9537,보스타일+ 스톤타일
887,(주)유니슨,경기도 부천시 오정구 부천로425번길 46 (내동) 2층 일부,주형 및 금형 제조업,032-684-3711,070-4369-3661,기계부품 금형 외
888,(주)유니슨정밀공업,경기도 부천시 오정구부천로425번길 46 (내동),절삭가공 및 유사처리업,032-684-3712,,자동화 정밀지그
889,(주)유니온전자통신,경기도 부천시 원미구 부천로198번길 36+(춘의동+ 춘의테크노파크) 102동 12층 07호 외 25필지,그 외 기타 전자부품 제조업 외 1 종,032-668-9560,032-668-9565,전자부품
890,(주)유닛컴퍼니,경기도 부천시 소사구 양지로 247 (옥길동+ 광양프런티어밸리7차 지식산업센터) 7층 706호,기타 가정용 전기기기 제조업 외 2 종,02-2645-3705,02-6000-9384,감성교감로봇
891,(주)유민,경기도 부천시 원미구도약로 261 (도당동+ 부천대우테크노파크) A동 2층 10호,전기회로 개폐+ 보호장치 제조업 외 1 종,032-670-7764,032-670-7765,멀티탭
892,(주)유성기전,경기도 부천시 원미구 부천로198번길 18+ 201동 3층 07호 (춘의동+ 춘의테크노파크II),산업처리공정 제어장비 제조업,032-623-0288,032-623-0289,제어계측기
893,(주)유성에프에스,경기도 부천시 오정구 석천로 397+ 201동 3층 01호 (삼정동+ 부천테크노파크쌍용3차) 외 1필지,용기 세척+ 포장 및 충전기 제조업,032-624-2460,032-624-2467,포장기계
894,(주)유성엔지니어링,경기도 부천시 원미구 정주로 53+ 405~408호(약대동+ 신중동 더퍼스트 지식산업센터),배전반 및 전기 자동제어반 제조업,032-348-6294,032-671-4073,배전반 및 전기자동제어반
895,(주)유신메디칼,경기도 부천시 원미구 조마루로427번길 36 (원미동),그 외 기타 의료용 기기 제조업,032-668-0323,032-668-0329,의료용기구
896,(주)유신테크,경기도 부천시 원미구 평천로 792 (도당동),반도체 제조용 기계 제조업,032-677-8260,032-677-8264,자동화기계제작
897,(주)유앤아이인터내셔널,경기도 부천시 원미구 부천로186번길 15-3 (춘의동) 3층 일부,그 외 기타 분류 안된 섬유제품 제조업 외 1 종,070-7552-5577,0505-520-5577,마스크
898,(주)유앤테크,경기도 부천시 원미구 조마루로385번길 122 (춘의동+ 삼보테크노타워) 1903호,방송장비 제조업,032-324-1201,032-324-9572,영상감시장치+ CCTV+ NVR
899,(주)유에스시큐리티,경기도 부천시 오정구 석천로 345+ 부천테크노파크301-1301호 (삼정동),방송장비 제조업 외 5 종,032-329-3030,032-329-3040,cctv및경보기
900,(주)유에이치텍,경기도 부천시 원미구 평천로 655 (약대동+ 부천 테크노파크) 403동 5층 503호,방송장비 제조업,032-323-1723,032-323-1724,CCTV camera
901,(주)유엔아이테크,경기도 부천시 오정구 석천로 397+ 104동 4층 01호 (삼정동+ 부천테크노파크쌍용3차) 외 2필지,배전반 및 전기 자동제어반 제조업,032-624-0890,032-624-0895,자동화기기
902,(주)유엠씨코리아,경기도 부천시 오정구 석천로 397+ 102동 3층 06호 (삼정동+ 부천테크노파크쌍용3차),그 외 기타 전기장비 제조업,032-624-3880,032-624-3882,UV경화기
903,(주)유유엘앤피,경기도 부천시 오정구 삼작로133번길 40 (내동) 4층,화장품 제조업,070-4137-7174,032-675-8459,기초 화장품+ 마스크팩 등
904,(주)유일파워텍,경기도 부천시 원미구 평천로 655+ 403동 B1층 B01 (약대동+ 부천 테크노파크),액체 여과기 제조업,032-328-5501,032-328-5503,수위센서
905,(주)유일플러스,경기도 부천시 원미구 조마루로385번길 122+ 4층 26호 (춘의동),금속 가구 제조업,02-2698-0209,02-2698-3726,철 구조물+ 랙
906,(주)유진로봇,경기도 부천시 원미구 평천로 655+ 401동 10층 01~04 (약대동+ 부천 테크노파크),산업용 로봇 제조업,032-234-3882,032-234-3861,로봇제품
907,(주)유진엔지니어링,경기도 부천시 오정구 신흥로470번길 105+ 3층 (오정동),기기용 자동측정 및 제어장치 제조업,032-822-8833,032-822-8834,약품투입기
908,(주)유진웰딩테크,경기도 부천시 원미구 평천로825번길 24+ 1층 (도당동),그 외 기타 일반목적용 기계 제조업 외 1 종,032-678-8106,032-678-8050,용접기
909,(주)유진이에스티,경기도 부천시 원미구 부천로377번길 33+ 1+2층 (도당동),주형 및 금형 제조업,032-672-9863,032-671-9845,플라스틱 금형 및 사출
910,(주)유진조명,경기도 부천시 오정구 오정로 27-21 (삼정동),일반용 전기 조명장치 제조업,032-682-2192,032-682-2193,조명기구
911,(주)유창알미늄,경기도 부천시 원미구 도약로 296(도당동+ 원진정밀),그 외 자동차용 신품 부품 제조업,031-498-6321,031-498-6322,자동차 힌지 
912,(주)유창전자,경기도 부천시 원미구 조마루로385번길 92 (원미동+ 부천테크노밸리 U1 center) 7층 713+ 714+ 715(일부)호,전자감지장치 제조업,032-213-0380,032-213-0381,EPI Detection
913,(주)유토테크,경기도 부천시 오정구 석천로 397+ 303동 5층 03호 (삼정동+ 부천테크노파크쌍용3차),일반용 전기 조명장치 제조업,032-624-1348,,조명장치
914,(주)유피엘컴퍼니,경기도 부천시 원미구 옥산로208번길 42+ 3층 (도당동),치약+ 비누 및 기타 세제 제조업,02-598-9798,032-678-9798,세탁세제
915,(주)유한프라스,경기도 부천시 원미구 평천로798번길 7 (도당동),플라스틱 접착처리 제품 제조업 외 2 종,032-682-4407,032-682-3351,가정용플라스틱일반성형제품+그외기타플라스틱제품
916,(주)은광사,경기도 부천시 원미구 옥산로236번길 7 (도당동),일반용 전기 조명장치 제조업 외 4 종,032-678-9213,032-677-8210,조명장치
917,(주)을성정공,경기도 부천시 오정구 석천로494번길 78+ 1층+2층 (삼정동),용기 세척+ 포장 및 충전기 제조업,032-677-5730,032-677-5734,포장기계
918,(주)의성쎄니타리,경기도 부천시 오정구 오정로96번길 7-3 (삼정동),강관 제조업 외 1 종,032-672-2737,032-674-2739,쎄니타리 배관 부품
919,(주)이그린,경기도 부천시 원미구도약로 261 (도당동+ 부천대우테크노파크) D동 11층 01호,포장용 플라스틱 성형용기 제조업,032-670-7800,032-670-7801,플라스틱캡
920,(주)이노루체,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 302동 907호 외 1필지,일반용 전기 조명장치 제조업 외 1 종,032-624-0877,032-624-0879,LED가로등기구+ LED경관조명기구+ LED다운라이트+ LED보안등기구+ LED실내조명등+ LED터널용등기구+ LED투광등기구+ 가로등기구+ 경관조명기구+ 다운라이트+ 투광등기구+ 터널용등기구+ LED경관조명기구+ LED다운라이트+ LED실내조명등+ LED투광등기구+ 경관조명기구+ 다운라이트+ 투광등기구+ 보안등기구
921,(주)이노비스,경기도 부천시 오정구 석천로 397+ 202동 9층 06 (삼정동+ 부천테크노파크쌍용3차),반도체 제조용 기계 제조업 외 1 종,032-624-3966,032-624-3967,자동화설비
922,(주)이노빔,경기도 부천시 원미구 평천로832번길 42+ 2층 (도당동),기타 조명장치 제조업,032-676-8353,,휴대용 라이트+ 써치라이트
923,(주)이노스,경기도 부천시 원미구 조마루로385번길 122 (춘의동+ 삼보테크노타워) 1614호,방송장비 제조업 외 2 종,032-229-2500,032-229-2501,IP카메라+ 컴퓨터 서버+ 주차주제어장치+ 안내전광판
924,(주)이노컴,경기도 부천시 원미구 수도로 88-23(도당동+ (주)이노컴),기타 절연선 및 케이블 제조업,02-2664-2631,070-7614-3590,하네스+ 옵틱케이블
925,(주)이노코스,경기도 부천시 원미구길주로431번길 20+(3층) (춘의동),화장품 제조업,032-673-9900,032-673-9903,향수
926,(주)이니바이오,경기도 부천시 오정구 송내대로 506 (삼정동),기초 의약 물질 제조업 외 1 종,032-683-8080,02-2082-8081,보톨리늄 주사제
927,(주)이레영상,경기도 부천시 원미구부천로198번길 36 (춘의동+ 춘의테크노파크) 102동 11층 03호,기타 광학기기 및 사진기 제조업,032-714-0552,032-714-0559,스크린
928,(주)이로보텍,경기도 부천시 원미구 옥산로 196-1+ 지하1층+ 1층+ 2층 (도당동),인형 및 장난감 제조업,032-326-8220,032-326-7220,교육용 로봇
929,(주)이리스일렉트릭,경기도 부천시 원미구 부천로198번길 36 (춘의동) 춘의테크노파크 101동 1010호,플라스틱 접착처리 제품 제조업 외 1 종,02-6481-7800,02-6481-7809,안면보호구+ 실크인쇄제품 등
930,(주)이소,경기도 부천시 오정구 오정로 183-20+ 203호 (내동),수산동물 냉동품 제조업,032-677-8961,032-677-8962,냉동식품가공
931,(주)이솔,경기도 부천시 오정구 오정로39번길 44 (삼정동) 4층,전자부품 실장기판 제조업,032-551-1724,032-551-1729,전자기기 및 전자부품
932,(주)이수이엔지,경기도 부천시 오정구 오정로 101+ 5층(삼정동),용기 세척+ 포장 및 충전기 제조업,032-229-3503,032-229-3504,바이알 라인+ 스틱포장기계
933,(주)이수이엔지,경기도 부천시 오정구 옥산로277번길 26+ 3층 (내동),용기 세척+ 포장 및 충전기 제조업,02-2632-3503,02-2633-8413,자동화기계
934,(주)이시다매뉴팩쳐링코리아,경기도 부천시 원미구 원미로 189 (원미동),레이더+ 항행용 무선기기 및 측량기구 제조업 외 1 종,032-668-1550,032-668-1558,전자저울
935,(주)이씨엠,경기도 부천시 오정구 부천로435번길 10 (내동),산업처리공정 제어장비 제조업 외 2 종,032-661-2380,032-678-2380,라벨라+카톤포장기+2D추적장비+수축포장기+설명서부착기
936,(주)이에스산전,경기도 부천시 오정구 오정로 163-28+ 3층(내동),1차 유리제품+ 유리섬유 및 광학용 유리 제조업,032-555-9066,032-555-9066,트레이불연커버 등
937,(주)이엔씨테크,경기도 부천시 오정구 석천로 397+ 303동 7층 04호 (삼정동),가정용 및 산업용 공기 조화장치 제조업 외 1 종,032-624-1960,032-624-1961,항온항습기+공기조화기
938,(주)이엔엠컴퍼니,경기도 부천시 원미구 부천로186번길 54+ B01호 (원미동),일반용 도료 및 관련제품 제조업 외 3 종,,032-255-1016,부식방지제+ 락카페인트
939,(주)이엔코리아,경기도 부천시 오정구 부천로463번길 3 (오정동) 301호,가방 및 기타 보호용 케이스 제조업,032-678-3152,032-677-3152,가방
940,(주)이엘티센서,경기도 부천시 원미구 부천로198번길 36 (춘의동+ 춘의테크노파크) 101동 9층 909호,전자감지장치 제조업,032-719-8055,070-8677-8055,가스센서
941,(주)이엠따블유에너지,경기도 부천시 원미구 부천로 301+ 가동 고층부 5층(도당동),일차전지 제조업,032-675-2245,032-678-6195,공기아연전지
942,(주)이오니아,경기도 부천시 원미구 도약로 291 (도당동),그 외 기타 전기장비 제조업 외 1 종,032-679-6064,032-683-6033,냉+온 이온수기
943,(주)이온,경기도 부천시 원미구옥산로230번길 15+2층 (도당동),그 외 기타 의료용 기기 제조업 외 1 종,032-677-4281,032-677-3266,알칼리이온수기+ 음식물처리기
944,(주)이온스파,경기도 부천시 오정구 수도로125번길 30+ 3층(내동),설치용 및 위생용 플라스틱제품 제조업,032-673-1364,032-673-1363,샤워기
945,(주)이온폴리스,경기도 부천시 원미구 송내대로265번길 17+ 206호 (상동+ 효성프라자),설치용 및 위생용 플라스틱제품 제조업,070-5101-2420,070-8233-2423,샤워기+ 이온수기 등
946,(주)이젠파워,경기도 부천시 소사구 경인로 9+ 1층 (송내동),낚시 및 수렵용구 제조업 외 2 종,032-613-3373,032-328-3436,전기난방기+ 양봉자재+ 포충기
947,(주)이젠피앤엘,경기도 부천시 오정구 석천로 345 (삼정동) 부천테크노파크 302동 903호,기타 가정용 전기기기 제조업,02-1544-8042,02-6008-1557,손소독기
948,(주)이지조명기술,경기도 부천시 오정구  석천로 397 (삼정동) 301동 10층 5호,일반용 전기 조명장치 제조업,032-213-2515,032-232-0239,조명기구
949,(주)이지테크,경기도 부천시 오정구 오정로 27-28 (삼정동),주형 및 금형 제조업,032-678-4532,032-684-4534,금속압형제품 제조업
950,(주)이진뷰티,경기도 부천시 원미구 중동로254번길 36+ 6층 08호 (중동),가발 및 유사 제품 제조업,070-4120-8188,050-446-8907,증모용 헤어피스
951,(주)이테스,경기도 부천시 원미구 도약로 274+ 3층 (도당동),운송장비용 이차전지 제조업 외 1 종,070-4060-5425,070-4060-5434,리튬2차전지 모듈 및 팩
952,(주)이톰,경기도 부천시 오정구 석천로 397+ 301동 B1층 03-5호 (삼정동),정형 내화 요업제품 제조업,,050-4259-9415,비정질탄소 용기
953,(주)이현,경기도 부천시 원미구 원미로 205+ 403호 (춘의동),철도차량 부품 및 관련 장치물 제조업 외 1 종,032-656-7115,032-656-7114,관제 시스템 및 설비
954,(주)인더스비젼,경기도 부천시 원미구 송내대로 388 (약대동) 부천테크노파크2단지 203동 704호,비디오 및 기타 영상기기 제조업 외 3 종,032-724-9077,032-724-9078,CCTV 카메라
955,(주)인디펜던스,경기도 부천시 원미구 조마루로385번길 122+ 4층 424호 (춘의동),모터사이클 제조업 외 2 종,032-270-6138,032-270-6139,자동차 부품+ CNG 키트+ LNG 키트
956,(주)인레이저,경기도 부천시 오정구 석천로 397+ 202동 7층 1~4호 (삼정동+ 부천테크노파크쌍용3차),전자 응용 절삭기계 제조업,032-715-5690,032-715-5694,산업용레이저 장비
957,(주)인벤투스,경기도 부천시 원미구 옥산로178번길 38+ 2층 (도당동),체외 진단 시약 제조업 외 1 종,032-676-2813,032-676-2816,의료용품(인플란트)
958,(주)인성,경기도 부천시 원미구 부천로198번길 36 (춘의동) 춘의테크노파크 101동 1507호(춘의동),유선 통신장비 제조업 외 9 종,070-7458-4802,032-232-4802,CCTV+ 영상감시장치+ 적외선열화상카메라+ 주야간관측장비+기타광학기기+ 보안용카메라+ 비상경보기
959,(주)인우하이텍,경기도 부천시 원미구 도약로 261 (도당동+ 부천대우테크노파크) A동 12층 08호,치과기공물 제조업 외 3 종,032-670-8406,032-670-8409,현미경+ 광학기기
960,(주)인찬,경기도 부천시 원미구 조마루로385번길 122 (춘의동) 1동 2층 240호,기타 광학기기 및 사진기 제조업 외 6 종,032-213-8118,050-4091-7226,LED 전광판+ 방송장치+ 영상기기 제조+ 컴퓨터+ 영상스크린+ 영사기
961,(주)인터스킨,경기도 부천시 원미구 부천로285번길 21+ 3층 (도당동),도장 및 기타 피막처리업,032-684-4804,032-684-7805,화장품 코팅
962,(주)인터칼라,경기도 부천시 원미구길주로425번길 131+2층 (도당동),포장용 플라스틱 성형용기 제조업 외 1 종,032-672-4996,032-672-4997,화장품케이스제조
963,(주)인테크놀러지,경기도 부천시 오정구 석천로453번길 36+ 2층 (삼정동+ 지오텍),그 외 기타 전자부품 제조업 외 1 종,032-667-6544,032-667-6545,커넥터
964,(주)일렉트리,경기도 부천시 오정구 오정로 36+ 1층+2층(삼정동),기타 전기 변환장치 제조업 외 1 종,032-328-0825,032-328-0824,전기자동차 충전기 휴대용+ 전기자동차 충전기 완속+급속
965,(주)일루스,경기도 부천시 오정구 수도로 145+ 4층 (내동),일반용 전기 조명장치 제조업,032-679-0781,032-679-0784,전기조명장치
966,(주)일만,경기도 부천시 원미구 옥산로150번길 5 (도당동),전구 및 램프 제조업,032-676-2622,032-677-2622,삼파장램프
967,(주)일승기계산업,경기도 부천시 원미구 부천로357번길 21 (도당동),탭+ 밸브 및 유사장치 제조업,032-327-3840,032-327-3842,배관
968,(주)일신에스앤씨,경기도 부천시 오정구 삼작로 22+ 103동 4층 402 (삼정동+ 부천테크노파크),그 외 기타 전자부품 제조업 외 1 종,032-621-1471,032-621-1476,정전기제어장치
969,(주)일신의료기,경기도 부천시 오정구 석천로 345+ 302동 7층 7호 (삼정동+ 부천테크노파크),전기식 진단 및 요법 기기 제조업 외 1 종,032-234-0008,032-234-0803,적외선 치료기 외
970,(주)일신전기,경기도 부천시 원미구 부천로286번길 34 (도당동) 외 1필지,전기회로 개폐+ 보호장치 제조업 외 8 종,032-682-0484,032-682-0487,멀티탭+ 스위치 콘센트 등+ 전기도전단자+ 접지도전단자 등+ 배전반
971,(주)일신테크,경기도 부천시 원미구 조마루로385번길 122 (춘의동+ 삼보테크노타워) 1220호 외 1필지,일반용 전기 조명장치 제조업,032-675-6400,032-675-6402,LED 조명기구
972,(주)일신텍,경기도 부천시 원미구평천로862번길 84 (도당동),인쇄 및 제책용 기계 제조업,032-677-0951,032-672-0951,실린더(인쇄기)
973,(주)일오삼이엔지,경기도 부천시 원미구 평천로850번길 9+ 3층 (도당동),일반용 전기 조명장치 제조업,02-2248-6426,032-683-5167,LED가로등기루+ LED투광기+ 경관조명기구류 등
974,(주)일우정밀,경기도 부천시 오정구 산업로7번길 21 (오정동) 외 2필지,주형 및 금형 제조업,02-839-4766,02-839-4782,금형제조
975,(주)일흥엔터프라이즈,경기도 부천시 오정구 석천로 345+ 302동 3층 2호 (삼정동+ 부천테크노파크),기타 절연선 및 케이블 제조업,032-234-1004,032-234-1002,특수전선
976,(주)잉카솔루션,경기도 부천시 오정구 석천로 345+ 303동 9층 03 (삼정동+ 부천테크노파크),전기회로 개폐+ 보호장치 제조업 외 1 종,032-327-3775,032-327-3784,멀티탭
977,(주)자연과기술,경기도 부천시 오정구 성지로 80+ 4층 (고강동),기타 음향기기 제조업,,054-843-1816,스피커
978,(주)자타,경기도 부천시 소사구 안곡로 185 (괴안동+ 흥농빌딩),탭+ 밸브 및 유사장치 제조업,032-346-5201,032-346-5203,탭.밸브및유사장치
979,(주)재규어테크,경기도 부천시 오정구 오정로71번길 23-26+ (주)재규어테크(삼정동+ 풍전경금속),낚시 및 수렵용구 제조업,032-679-0099,032-679-0094,낚시용 릴 및 부품
980,(주)전원테크,경기도 부천시 오정구 석천로 345 (삼정동+ 부천테크노파크) 303동 5층 501~506호,그 외 기타 전기장비 제조업 외 2 종,032-321-8134,032-321-8170,소방화재탐지시스템
981,(주)정금솔루션,경기도 부천시 원미구 소향로 25+ 301-3호(상동+ 서해프라자),배전반 및 전기 자동제어반 제조업,032-322-1808,032-322-1859,PLC(프로그램 내장 컨트롤러)(빌딩자동제어DDC)
982,(주)정민전자,경기도 부천시 오정구 석천로 397+ 103동 9층 906~913 (삼정동+ 부천테크노파크쌍용3차),전자부품 실장기판 제조업 외 3 종,032-624-2110,070-7794-2113,전자부품실장기판+CCTV+묘듈
983,(주)정수엔지니어링,경기도 부천시 오정구 삼작로171번길 45+ 1층+ 2층(내동),그 외 기타 금속가공업,032-676-3969,032-676-3968,기계부품
984,(주)정우에프엔씨,경기도 부천시 오정구 수도로139번길 36+ 1층 (내동),일반용 전기 조명장치 제조업,032-655-9032,032-678-5507,조명기구
985,(주)정우테크윈,경기도 부천시 원미구 부천로377번길 37+ 2층 (도당동),금속 절삭기계 제조업,032-678-6058,032-678-6057,휴대폰 부품
986,(주)정우티앤디,경기도 부천시 오정구 석천로453번길 64-24 (삼정동),플라스틱 접착처리 제품 제조업 외 1 종,070-4146-0017,032-677-0017,플라스틱 적충+도포 표면처리
987,(주)정인일렉텍,경기도 부천시 원미구 부천로198번길 18+ 201동 12층 09 (춘의동+ 춘의테크노파크II),기타 무선 통신장비 제조업 외 2 종,032-623-0360,032-623-0363,모바일주변기기
988,(주)정진기전,경기도 부천시 원미구 부천로310번길 18 (도당동),배전반 및 전기 자동제어반 제조업,032-679-6333,032-681-6335,수배전반 및 중앙감시반
989,(주)정진실리콘,경기도 부천시 원미구 옥산로251번길 49 (도당동),산업용 그 외 비경화 고무제품 제조업,032-655-9445,032-655-9446,실리콘fmb
