업체명,업종명,도로명주소,지번주소,생산품목,위도,경도,전화번호,팩스번호,데이터기준일
성민기업(주),"직물, 편조원단 및 의복류 염색 가공업 외 1 종","경기도 수원시 영통구 매영로 171 (원천동, 성민기업(주)) 외 2필지",경기도 수원시영통구 원천동 243번지 외 2필지,실크 및 직물류 나염,37.2658251,127.0610241,031-211-1259,031-215-7523,2025-02-14
성사산업,"플라스틱 포대, 봉투 및 유사제품 제조업","경기도 수원시 영통구 매영로159번길 19, (원천동) 공장동 11층 1103호",경기도 수원시 영통구 원천동 476 공장동 11층 1103호,"쓰레기봉투,비닐봉투",37.2662479,127.0602764,031-213-4542,031-213-4544,2025-02-14
성환전장공업주식회사,절연 코드세트 및 기타 도체 제조업,경기도 수원시 팔달구 세류로75번길 35 (매산로3가),경기도 수원시 팔달구 매산로3가 95-9번지,자동차배선(WIRE HARNESS),37.2673637,127.0076021,031-224-1812,031-224-1814,2025-02-14
성훈이엔지,일반용 전기 조명장치 제조업,"경기도 수원시 영통구 매여울로40번길 86-3, 1층(매탄동)",경기도 수원시 영통구 매탄동 130-68 1층,"LED가로등, 보안등, 경관조명",37.2725373,127.049864,070-4300-6891,070-4320-6891,2025-02-14
세영골프,그 외 기타 전자부품 제조업 외 1 종,"경기도 수원시 권선구 매송고색로 671, 지하1층 (고색동)",경기도 수원시 권선구 고색동 389-5번지 지하1층,"골프디지털퍼팅연습기,골프방향티,전자팁클리너",37.2502678,126.9778644,031-296-7060,,2025-02-14
세종큐비즈 주식회사,유선 통신장비 제조업,경기도 수원시 영통구 창룡대로 260 4층 404호 4층 404호 외 1필지,경기도 수원시 영통구 이의동 1283번지 4층 404호 4층 404호 외 1필지,"중고휴대폰, 중고노트북",37.2955408,127.0376141,031-305-0141,031-305-0142,2025-02-14
세진전자통신(주),"전자코일, 변성기 및 기타 전자 유도자 제조업","경기도 수원시 영통구 신원로 88, 101동 1104, 1105호, 102동 B11호(신동, 디지털엠파이어2) 101동 1104, 1105호, 102동 B11호","경기도 수원시 영통구 신동 486 디지털엠파이어2 101동 1104, 1105호, 102동 B11호 101동 1104, 1105호, 102동 B11호",인덕터,37.2474698,127.0503626,031-763-7666,031-763-7656,2025-02-14
세진정공사,주형 및 금형 제조업,경기도 수원시 장안구 경수대로1220번길 6-15 (파장동),경기도 수원시 장안구 파장동 95-1번지,로터리커터,37.3199163,126.9890908,031-246-7310,031-246-7340,2025-02-14
세향,귀금속 및 관련제품 제조업,"경기도 수원시 팔달구 향교로 161, 202호 (중동, 우림빌딩)",경기도 수원시 팔달구 중동 4번지 우림빌딩 202호,모조악세사리,37.2750246,127.0161264,,031-251-0015,2025-02-14
소울테크(주),유선 통신장비 제조업 외 4 종,"경기도 수원시 영통구 창룡대로256번길 77,(이의동, 에이스 광교타워3) 공장동 12층 1214호 외 1필지",경기도 수원시 영통구 이의동 1286 에이스 광교타워3 공장동 12층 1214호 외 1필지,"CCTV, 차량검지장치",37.2961352,127.0408421,031-606-0100,031-606-0111,2025-02-14
소프트텍,수동식 식품 가공기기 및 금속 주방용기 제조업,"경기도 수원시 팔달구 향교로 160, 504호(중동, 제일빌딩)",경기도 수원시 팔달구 중동 20 제일빌딩 504호,비 접촉식 자동 살균 자동배출 수저함,37.2746754,127.016259,,,2025-02-14
솔라로 주식회사,일반용 전기 조명장치 제조업 외 2 종,"경기도 수원시 영통구 삼성로 274, 805호(원천동, 수원팩토리월드) 805호",경기도 수원시 영통구 원천동 332-2 수원팩토리월드 805호 805호,"태양광 LED 도로표지, 델리네이터",37.2655388,127.0643859,031-217-2120,,2025-02-14
솔룸바이오텍,기타 과실ㆍ채소 가공 및 저장 처리업 외 4 종,"경기도 수원시 권선구 서호로 89, 3동 102호(서둔동, 서울대학교농업생명과학대학)",경기도 수원시 권선구 서둔동 103-2 서울대학교농업생명과학대학 3동 102호,기타가공품(침출차 외),37.2681648,126.9870777,031-298-3536,031-298-3534,2025-02-14
솔바이오팜 주식회사,생물학적 제제 제조업 외 1 종,"경기도 수원시 영통구 신원로 304,(원천동, 영통 이노플렉스-2단지) 3동 2층 204호",경기도 수원시 영통구 원천동 554 영통 이노플렉스-2단지 3동 2층 204호,"동물세포 배지(액상),동물세포배지 첨가제,면역증강제",37.2621931,127.060931,031-8002-2215,031-8002-2216,2025-02-14
송림텔레콤,이동전화기 제조업,"경기도 수원시 권선구 덕영대로 1084-1, 2층, 3층 (세류동)","경기도 수원시 권선구 세류동 543-4 2층, 3층",핸드폰 부품,37.2540133,127.0104412,031-239-5310,031-236-5310,2025-02-14
송원산업 주식회사,그 외 기타 분류 안된 화학제품 제조업 외 2 종,"경기도 수원시 영통구 신원로 85 (신동, 송원산업)",경기도 수원시 영통구 신동  460번지,"폴리우레탄, 폴리에스테르",37.2482623,127.05074,031-204-8801,031-204-2612,2025-02-14
수디자인커뮤니케이션,제판 및 조판업,"경기도 수원시 영통구 신원로 88, (신동, 디지털엠파이어2) 103동 7층 705호",경기도 수원시 영통구 신동 486 디지털엠파이어2 103동 7층 705호,인쇄물 제판,37.2474698,127.0503626,031-695-5821,031-695-5823,2025-02-14
스마트한주식회사,교통 신호장치 제조업 외 4 종,"경기도 수원시 영통구 대학4로 17, (에이스광교타워1)419호 (이의동)",경기도 수원시 영통구 이의동 1248-3번지 (에이스광교타워1)419호,"주차장치, 무선통신장치",37.3001653,127.0467106,031-216-9492,031-216-9493,2025-02-14
스텝시스템(주),반도체 제조용 기계 제조업,"경기도 수원시 영통구 덕영대로1556번길 16, A동 12층 1206호 (영통동, 영통 디지털엠파이어)",경기도 수원시 영통구 영통동  1104-2번지,반도체장비,37.2452904,127.0591706,031-203-3742,031-203-3733,2025-02-14
시우테크,전구 및 램프 제조업 외 2 종,경기도 수원시 영통구 삼성로 274 (원천동) 수원팩토리월드 8층 813호,경기도 수원시 영통구 원천동 332-2 수원팩토리월드 8층 813호,led등,37.2655388,127.0643859,031-212-8758,031-214-8758,2025-02-14
신명,기타 식품 첨가물 제조업,경기도 수원시 권선구 입북로14번길 8-13 (입북동),경기도 수원시권선구 입북동 449-9번지,식품첨가제,37.2927095,126.9608748,031-293-7932,031-298-9517,2025-02-14
신진에이티디 주식회사,문구용 종이제품 제조업 외 2 종,경기도 수원시 권선구 서호동로 14 (서둔동),경기도 수원시권선구 서둔동 44번지,"전산기록지, 컴퓨터용지",37.2680544,126.9899989,031-294-1100,031-294-1105,2025-02-14
신한기술그룹 주식회사,공기 조화장치 제조업 외 1 종,경기도 수원시 영통구 신원로 105 (신동),경기도 수원시 영통구 신동 398-19,"쿨링포그 시스템, 동력분무기",37.247987,127.0528878,031-202-0452,031-203-0455,2025-02-14
싸이스트 주식회사,그 외 기타 일반목적용 기계 제조업 외 6 종,"경기도 수원시 영통구 신원로 88, 103동 507,513,514,809호(신동, 디지털엠파이어2) 103동 507,513,514,809호","경기도 수원시 영통구 신동 486 디지털엠파이어2 103동 507,513,514,809호 103동 507,513,514,809호","실험용 장비,가운살균탈취장,화학물질관리시스템,펌프,정밀제어자동화",37.2474698,127.0503626,031-546-8799,070-7500-1100,2025-02-14
쎄인탑(주),전시 및 광고용 조명장치 제조업 외 5 종,"경기도 수원시 영통구 삼성로 274, 3층 303 (원천동, 수원팩토리월드) 3층 303호",경기도 수원시 영통구 원천동 332-2번지 수원팩토리월드 3층 303 3층 303호,"전광판,CCTV,교통표지판,전기경보 및 신호장치",37.2655388,127.0643859,031-213-6271,031-213-6275,2025-02-14
쏘쿨 주식회사,커피 가공업,"경기도 수원시 권선구 정조로 470, 1층 (세류동)",경기도 수원시 권선구 세류동 980-12번지 1층,"드립필터백커피, 드립백커피",37.2511457,127.0120738,031-548-1094,,2025-02-14
씨스톤테크놀로지스(주),자동차용 신품 동력전달장치 제조업,"경기도 수원시 영통구 창룡대로256번길 91, (에이스광교2)1004호 (이의동)",경기도 수원시 영통구 이의동 1286-1번지 (에이스광교2)1004호,"클러치, 변속기부품",37.2957605,127.0416666,031-8014-2600,031-8014-2603,2025-02-14
씨에이테크놀러지(주),기타 절연선 및 케이블 제조업,"경기도 수원시 영통구 영통로 237, 1009호(신동, 에이스 하이엔드 타워 영통) 1009호",경기도 수원시 영통구 신동 338 에이스 하이엔드 타워 영통 1009호 1009호,"케이블,커넥터",37.2486678,127.0570044,031-224-1392,031-224-1359,2025-02-14
씨엔에스하우스 주식회사 수원공장,일반용 전기 조명장치 제조업,"경기도 수원시 영통구 신원로250번길 13,(원천동, 현대 테라타워 영통) A동 11층 1117호",경기도 수원시 영통구 원천동 627 현대 테라타워 영통 A동 11층 1117호,"LED 가로등, LED 보안등 경관조명",37.2579006,127.0612644,,070-4320-6891,2025-02-14
씨엔티교역,그 외 기타 특수목적용 기계 제조업,"경기도 수원시 영통구 창룡대로 260, 광교센트럴비즈타워 303호 (이의동)",경기도 수원시 영통구 이의동 1283번지 광교센트럴비즈타워 303호,용매정제장치 등 실험기기,37.2955408,127.0376141,031-308-9777,031-308-9779,2025-02-14
씨와이뮤텍 주식회사,자동차 엔진용 신품 부품 제조업 외 5 종,"경기도 수원시 장안구 이목로 11 (이목동, (주) 창운산업)",경기도 수원시 장안구 이목동  334-30번지,자동차부품(싱크로나이저 링),37.3103542,126.9827383,031-240-2074,031-244-8876,2025-02-14
씨지에스아이티 주식회사,방송장비 제조업 외 2 종,"경기도 수원시 권선구 일월천로4번길 2, 3층 (구운동)",경기도 수원시 권선구 구운동 919-1 3층,유무선 CCTV 카메라,37.2825771,126.9725529,02-2632-8730,02-2632-8796,2025-02-14
씨피케이 주식회사,"전기회로 개폐, 보호장치 제조업 외 1 종","경기도 수원시 장안구 파장천로44번길 74, 1층 (파장동)",경기도 수원시 장안구 파장동 627번지 1층,"케이블 접속장치, 전기테이프 외",37.3076271,126.9995313,031-242-8831,031-242-8832,2025-02-14
아세아시멘트(주) 수원공장,시멘트 제조업 외 1 종,경기도 수원시 권선구 덕영대로 1006 (세류동),경기도 수원시 권선구 세류동 202-18번지,"시멘트, 레미콘",37.258329,127.0049856,031-240-8314,031-239-9227,2025-02-14
아이지엠 주식회사,비디오 및 기타 영상기기 제조업,"경기도 수원시 영통구 덕영대로1556번길 16,(영통동, 디지털엠파이어빌딩) D동 5층 503호",경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩 D동 5층 503호,영상CD등록기,37.2452904,127.0591706,070-8299-8285,031-203-5450,2025-02-14
아이케이메디코,기타 가정용 전기기기 제조업,"경기도 수원시 권선구 수성로 8, 경기중소기업성장지원센터 207호 (구운동)",경기도 수원시 권선구 구운동 111-7 경기중소기업성장지원센터 207호,LED 넥 케어 미용기기,37.2814171,126.9748842,031-893-3341,0504-412-6490,2025-02-14
아이테크(ITECH),그 외 기타 전자부품 제조업,"경기도 수원시 권선구 당진로 39, 4층(당수동)",경기도 수원시 권선구 당수동 148-5 4층,"Vital Recorder Zero, On-premise Server",37.2927591,126.940517,,,2025-02-14
아이테크놀로지 주식회사,배전반 및 전기 자동제어반 제조업,"경기도 수원시 영통구 덕영대로1556번길 16,(영통동, 디지털엠파이어빌딩) B동 8층 803호",경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩 B동 8층 803호,"자동제어 콘트롤박스, 자동제어 프로그램",37.2452904,127.0591706,031-303-8450,0505-302-8423,2025-02-14
아이필립,경 인쇄업 외 1 종,"경기도 수원시 권선구 덕영대로1152번길 2, (신곡빌딩 3층) (세류동)",경기도 수원시 권선구 세류동 1127-2번지 (신곡빌딩 3층),각종홍보인쇄물,37.2506194,127.0166208,031-222-0870,031-222-0871,2025-02-14
아쿠아,액체 여과기 제조업,"경기도 수원시 영통구 덕영대로1556번길 16 (영통동, 영통 디지털엠파이어) B동 5,8층 501,804호","경기도 수원시 영통구 영통동 B동 5,8층 501,804호",정수기,37.2452904,127.0591706,031-303-4587,031-303-4589,2025-02-14
아크로웰 주식회사,그 외 기타 전자부품 제조업 외 1 종,"경기도 수원시 영통구 창룡대로256번길 91, 1009호(이의동, 에이스광교타워2) 1009호",경기도 수원시 영통구 이의동 1286-1 에이스광교타워2 1009호 1009호,"치과임플란트 장치부품 등, 전기기기",37.2957605,127.0416666,031-8014-2677,031-8014-2679,2025-02-14
알티엠 주식회사,"탭, 밸브 및 유사장치 제조업","경기도 수원시 영통구 삼성로168번길 78(매탄동, 알티엠주식회사)",경기도 수원시 영통구 매탄동 397-7 알티엠주식회사,"탭,밸브,안전밸브",37.2605579,127.0594994,031-217-9377,031-217-9376,2025-02-14
애드콘(주),그 외 기타 전자부품 제조업 외 1 종,"경기도 수원시 영통구 매영로 167, 지하1층(원천동) (원천동, 삼미정보시스템(주)수원공장)",경기도 수원시 영통구 원천동 496번지 삼미정보시스템(주)수원공장 지하1층(원천동),보안장비 전자부품,37.2656295,127.0604349,031-217-9430,031-217-9439,2025-02-14
에세라이트(주),전시 및 광고용 조명장치 제조업 외 3 종,"경기도 수원시 영통구 영통로323번길 38, 404호 (매탄동, 성신테크노파크) 404호",경기도 수원시 영통구 매탄동 509-7 성신테크노파크 404호 404호,LED 조명기구,37.2549927,127.0611642,031-205-8841,031-205-8846,2025-02-14
에스에이치모바일(주),"전자기 측정, 시험 및 분석기구 제조업","경기도 수원시 영통구 영통로331번길 72(매탄동, 도감소)",경기도 수원시 영통구 매탄동 492-21 도감소,"휴대폰 배터리, 비전 검사장비",37.2565533,127.060065,031-292-6915,031-292-6916,2025-02-14
에스엘전기,전구 및 램프 제조업,"경기도 수원시 영통구 삼성로 274 (원천동, 수원팩토리월드) 908호",경기도 수원시 영통구 원천동 332-2 908호,LED 작업등,37.2655388,127.0643859,031-278-6534,031-278-6539,2025-02-14
에스엠디씨,그 외 기타 전자부품 제조업 외 2 종,"경기도 수원시 영통구 신원로 88,(신동, 디지털엠파이어2) 101동 12층 1206호",경기도 수원시 영통구 신동 486 디지털엠파이어2 101동 12층 1206호,"사무용시건장치, 시작품",37.2474698,127.0503626,031-695-5590,031-695-5592,2025-02-14
에스엠이서브텍 주식회사,배전반 및 전기 자동제어반 제조업 외 1 종,"경기도 수원시 영통구 신원로 306,(원천동, 영통 이노플렉스-1단지) 1동 7층 713호",경기도 수원시 영통구 원천동 552 영통 이노플렉스-1단지 1동 7층 713호,"통합화재수신기. 서지방지판넬, 베스다퀵 컨넥터 등",37.2623064,127.0619174,031-8017-2119,031-8017-2118,2025-02-14
에스케이마이크로웍스 주식회사,플라스틱 필름 제조업 외 1 종,경기도 수원시 장안구 장안로309번길 84 (정자동) 외 3필지,경기도 수원시 장안구 정자동 633번지 외 3필지,폴리에스터 필름,37.3034426,126.9859189,031-250-7024,031-251-4749,2025-02-14
에스티비서비스(주),그 외 기타 전자부품 제조업 외 1 종,"경기도 수원시 영통구 삼성로 274,  팩토리월드공장 501호 (원천동)",경기도 수원시영통구 원천동 332-2번지 팩토리월드공장 501호,영상 및 오디오 전자부품,37.2655388,127.0643859,031-304-6633,031-304-8074,2025-02-14
에이치5 주식회사,그 외 기타 분류 안된 화학제품 제조업 외 6 종,"경기도 수원시 영통구 광교로 107, 101호(이의동, 경기도중소기업지원센터)",경기도 수원시 영통구 이의동 906-5 경기도중소기업지원센터 101호,"태양광 패널 코팅 드론, 살균제, 탈취제, 김서림방지제, 복합기능성 나노소재, 장비, 기능성 소비재",37.2920389,127.0434741,070-4154-0951,031-290-7830,2025-02-14
에이치에스라이팅,일반용 전기 조명장치 제조업,"경기도 수원시 영통구 삼성로 274, 910호(원천동, 수원팩토리월드) 910호",경기도 수원시 영통구 원천동 332-2 수원팩토리월드 910호 910호,매립형 LED 등기구,37.2655388,127.0643859,070-4918-6422,031-214-6422,2025-02-14
에이투케이(주),절연 코드세트 및 기타 도체 제조업,"경기도 수원시 영통구 신원로250번길 13, A동 1501~1503, 1524~1526호(원천동, 현대 테라타워 영통) A동 1501~1503, 1524~1526호","경기도 수원시 영통구 원천동 627 현대 테라타워 영통 A동 1501~1503, 1524~1526호 A동 1501~1503, 1524~1526호",하네스 아셈블리,37.2579006,127.0612644,031-212-2882,031-212-2878,2025-02-14
에코솔루션즈 주식회사,플라스틱 필름 제조업,경기도 수원시 장안구 장안로309번길 84(정자동),경기도 수원시 장안구 정자동 633,고기능 sheet(PVDF),37.3034426,126.9859189,070-7464-1005,070-7611-6136,2025-02-14
엑티브아이티 주식회사,방송장비 제조업 외 1 종,"경기도 수원시 장안구 이목로 17, (이목동) 공장동 7층 719호",경기도 수원시 장안구 이목동 338-6 공장동 7층 719호,"카메라(돔, 블릿)",37.3106791,126.9833807,,031-258-6274,2025-02-14
엔씨스포츠 주식회사,"근무복, 작업복 및 유사의복 제조업 외 2 종","경기도 수원시 권선구 구운로 67, 2층 (구운동)",경기도 수원시 권선구 구운동 942-4번지 2층,스포츠의류,37.2796882,126.9725135,031-231-2123,031-231-2124,2025-02-14
엔에스텍,기타 전기 변환장치 제조업 외 1 종,"경기도 수원시 영통구 삼성로 274, 4층 402호 (원천동, 수원팩토리월드), 403호, 404호",경기도 수원시 영통구 원천동  332-2번지,전원장치 및 조명기기,37.2655388,127.0643859,031-211-9620,031-211-9622,2025-02-14
엘림보호작업장,기타 편조의복 액세서리 제조업 외 4 종,"경기도 수원시 영통구 신원로 88,(신동, 디지털엠파이어2) 101동 7층 711,712,706,707호","경기도 수원시 영통구 신동 486 디지털엠파이어2 101동 7층 711,712,706,707호","봉투, 장갑, 인쇄",37.2474698,127.0503626,031-695-6530,031-695-6531,2025-02-14
엘림테크,그 외 기타 전자부품 제조업 외 1 종,"경기도 수원시 영통구 덕영대로1556번길 16, (영통동, 영통 디지털엠파이어) A동 3층 302호",경기도 수원시영통구 영통동 980-3번지 디지털엠파이어 A동 3층 302호,"휴대폰 안테나, 커넥터 및 자동차 부품 등",37.2452904,127.0591706,031-303-5180,031-303-5182,2025-02-14
엘제이테크(주),방송장비 제조업 외 1 종,"경기도 수원시 영통구 창룡대로256번길 91, (에이스광교2)604호 (이의동)",경기도 수원시 영통구 이의동 1286-1번지 (에이스광교2)604호,CCTV 설비,37.2957605,127.0416666,031-8019-8111,031-629-7039,2025-02-14
엠더블유솔루션,유선 통신장비 제조업,"경기도 수원시 영통구 신원로250번길 13,(원천동, 현대 테라타워 영통) 공장동 B1층 L151호",경기도 수원시 영통구 원천동 627 현대 테라타워 영통 공장동 B1층 L151호,"도파관, 연구장비, LED Ass'y, 마이크로파 장비",37.2579006,127.0612644,031-240-8588,,2025-02-14
엠디자인,금속 표시판 제조업,"경기도 수원시 영통구 신원로 88, (신동, 디지털엠파이어2) 103동 6층 602호",경기도 수원시영통구 신동 486번지 디지털엠파이어2 103동 6층 602호,금속표시판,37.2474698,127.0503626,031-695-5737,031-695-5739,2025-02-14
엠아이콘택트(주),안경 및 안경렌즈 제조업 외 1 종,"경기도 수원시 영통구 삼성로 274, 2층 205 (원천동, 수원팩토리월드), 206, 207",경기도 수원시 영통구 원천동  332-2번지,콘택트렌즈,37.2655388,127.0643859,031-213-7274,031-216-7274,2025-02-14
엠테크,기타 주변기기 제조업,"경기도 수원시 영통구 신원로 88, 103동 5층 512 (망포동, 디지털엠파이어2) 103동 5층 512호",경기도 수원시 영통구 망포동 12-14번지 디지털엠파이어2 103동 5층 512 103동 5층 512호,발신번호표시기(CID),37.2474698,127.0503626,031-695-7947,031-695-7961,2025-02-14
영기업,"탭, 밸브 및 유사장치 제조업",경기도 수원시 권선구 당진로32번길 58-9 (당수동),경기도 수원시 권선구 당수동  224-15번지,수도꼭지부품,37.2910485,126.943769,031-416-8664,031-416-8662,2025-02-14
영농조합법인 미일식품,기타 곡물 가공품 제조업,"경기도 수원시 권선구 경수대로261번길 6-3, 1층 (세류동)",경기도 수원시 권선구 세류동  1120-12번지,쌀가공품,37.250795,127.0183459,070-4810-7229,,2025-02-14
오즈아이알(주),그 외 기타 전기장비 제조업 외 1 종,경기도 수원시 장안구 파장로110번길 11-14 (파장동),경기도 수원시 장안구 파장동 569-13번지,"체온모니터링알람시스템, 열화상카메라",37.3093678,126.9895699,031-245-7609,031-246-7609,2025-02-14
오토센서코리아(주),그 외 기타 전자부품 제조업 외 1 종,"경기도 수원시 영통구 중부대로448번길 97, 7층 703 (원천동, 삼성테크노파크) 7층 703호",경기도 수원시 영통구 원천동 471번지 삼성테크노파크 7층 703 7층 703호,leak sensor,37.266501,127.0594225,031-278-6292,031-278-6293,2025-02-14
와이케이씨와이 주식회사,"사진기, 영사기 및 관련 장비 제조업 ","경기도 수원시 영통구 신원로 88, 102동 210호(신동, 디지털엠파이어2) 102동 210호",경기도 수원시 영통구 신동 486 디지털엠파이어2 102동 210호 102동 210호,"Xe Blocker, UV CUT FILTER, Focus Aperture, SE Focus Flipper",37.2474698,127.0503626,031-8065-5959,031-307-8833,2025-02-14
와이투케이일렉콤 주식회사,기타 전기 변환장치 제조업 외 1 종,"경기도 수원시 영통구 신원로 88,(신동, 디지털엠파이어2) 101동 10층 1012호",경기도 수원시 영통구 신동 486 디지털엠파이어2 101동 10층 1012호,전력변환장치,37.2474698,127.0503626,031-695-5962,031-695-5995,2025-02-14
우리정보통신 주식회사,비디오 및 기타 영상기기 제조업 외 4 종,"경기도 수원시 권선구 수성로 8, 305호 (구운동)",경기도 수원시 권선구 구운동 111-7 305호,CCTV 카메라,37.2814171,126.9748842,031-304-4199,031-624-4199,2025-02-14
우성에스엠티,전자부품 실장기판 제조업,"경기도 수원시 영통구 삼성로168번길 48,(매탄동, 에스맥(주)) 공장동 4층 401호",경기도 수원시 영통구 매탄동 413-3 에스맥(주) 공장동 4층 401호,전자부품,37.2591143,127.059059,031-274-9911,,2025-02-14
우성테크,기기용 자동측정 및 제어장치 제조업,"경기도 수원시 권선구 하탑로 47, 2층 201호 (탑동)",경기도 수원시 권선구 탑동 356-9번지 2층 201호,자동절전 제어장치,37.2692982,126.9768734,031-221-8221,031-221-8281,2025-02-14
우일에프에이 주식회사,기기용 자동측정 및 제어장치 제조업,"경기도 수원시 영통구 덕영대로1556번길 16,(영통동, 디지털엠파이어빌딩) B동 12층 B1201호",경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩 B동 12층 B1201호,공장자동화 주변기기,37.2452904,127.0591706,031-223-1381,031-223-1383,2025-02-14
우주미디어정보통신(주),비디오 및 기타 영상기기 제조업 외 2 종,경기도 수원시 팔달구 팔달로52번길 51 (고등동),경기도 수원시 팔달구 고등동  139-24번지,"방송음향기기(스피커제조),CCTV 랙,",37.2754219,127.0031104,031-207-4100,031-207-4104,2025-02-14
우진전기제작소,"용기 세척, 포장 및 충전기 제조업 외 6 종","경기도 수원시 영통구 삼성로 274, 104호 (원천동)",경기도 수원시 영통구 원천동 332-2번지,"냉동용압출기 시험장치, 항온항습기, 종자 또는 곡물선별기",37.2655388,127.0643859,031-214-1869,031-213-1209,2025-02-14
웅진엔지니어링(주),육상 금속 골조 구조재 제조업 외 1 종,"경기도 수원시 영통구 신원로 88, 103층 704호 (신동, 디지털엠파이어2) 103동 7층 704호",경기도 수원시영통구 신동 486번지 디지털엠파이어2 103층 704호 103동 7층 704호,"교좌장치, 신측이음장치",37.2474698,127.0503626,031-695-5811,031-695-5814,2025-02-14
윌테크놀러지 주식회사,그 외 기타 전자부품 제조업 외 1 종,"경기도 수원시 장안구 장안로448번길 10,  2층 (이목동)",경기도 수원시장안구 이목동 216번지 2층,반도체검사장치,37.3191417,126.9802333,031-240-5500,031-240-5501,2025-02-14
유엔아이이노베이션 주식회사,기타 직물제품 제조업,경기도 수원시 영통구 매영로220번길 21 (원천동),경기도 수원시 영통구 원천동 363-1,1회용 마스크,37.2607236,127.0634646,031-548-2162,031-548-1019,2025-02-14
유티정보(주),컴퓨터 제조업,"경기도 수원시 영통구 신원로 88,(신동, 디지털엠파이어2) 101동 10층 1005, 1006호","경기도 수원시 영통구 신동 486 디지털엠파이어2 101동 10층 1005, 1006호",통신장비,37.2474698,127.0503626,031-689-3022,031-689-3024,2025-02-14
이노크린 주식회사,산업용 가스 제조업,"경기도 수원시 장안구 서부로 2287-11, 1,2층 (이목동)",경기도 수원시 장안구 이목동  455-7번지,드라이아이스,37.3111011,126.976399,031-271-4646,031-271-4647,2025-02-14
이원(e-one)디자인,경 인쇄업 외 2 종,"경기도 수원시 팔달구 향교로 83, 1층 (매산로3가, 정한빌딩)",경기도 수원시 팔달구 매산로3가 16-18번지 정한빌딩 1층,인쇄출판물,37.2708612,127.0096995,031-256-2121,031-221-2167,2025-02-14
이정치과기공(주),정형외과용 및 신체보정용 기기 제조업,경기도 수원시 권선구 덕영대로 1126 (세류동),경기도 수원시 권선구 세류동 1126번지,"포피스, 크리스탈, 크라운",37.2518849,127.0143317,031-237-5192,031-224-2886,2025-02-14
이지유니버스,화장품 제조업,경기도 수원시 영통구 삼성로 269-9 (원천동),경기도 수원시 영통구 원천동 254-3,화장품 펜슬,37.2661631,127.0632716,031-217-8988,031-217-8997,2025-02-14
이큐랩(EQLAB),"물질 검사, 측정 및 분석기구 제조업 외 5 종","경기도 수원시 권선구 삼천병마로 1592-9, 2층 202호 (오목천동)",경기도 수원시 권선구 오목천동 498-1번지 2층 202호,제품성능 시험장비,37.2444464,126.9641,070-8880-1682,050-4077-1682,2025-02-14
이플러스(주),산업처리공정 제어장비 제조업 외 4 종,"경기도 수원시 영통구 영통로323번길 38, 505호 (매탄동, 성신테크노파크) 505호",경기도 수원시 영통구 매탄동 509-7 성신테크노파크 505호 505호,PLASMA POWER SUPPLY 전원공급장치,37.2549927,127.0611642,031-214-5097,031-214-5098,2025-02-14
인텍텔레콤,산업처리공정 제어장비 제조업 외 1 종,"경기도 수원시 영통구 덕영대로1556번길 16,(영통동, 디지털엠파이어빌딩) E동 10층 1001호 외 3필지",경기도 수원시 영통구 영통동 980-3 디지털엠파이어빌딩 E동 10층 1001호 외 3필지,"레이더 신호처리 제어장비, 인화물 금속탐지기",37.2452904,127.0591706,031-202-4275,031-202-4278,2025-02-14
자혜직업재활센터,"근무복, 작업복 및 유사의복 제조업 외 1 종","경기도 수원시 권선구 수봉로 47, 자혜직업재활센터(탑동, 자혜학교)",경기도 수원시 권선구 탑동 508-6 자혜학교 자혜직업재활센터,"근무복, 조끼",37.2654091,126.9773551,031-298-6813,031-298-6811,2025-02-14
저스텍이에스디,절삭가공 및 유사처리업,경기도 수원시 영통구 신원로294번길 39 (원천동),경기도 수원시영통구 원천동 357-3번지,알루미늄 가공품,37.260797,127.0624578,031-214-4742,031-211-4737,2025-02-14
정륜테크,자전거 및 환자용 차량 제조업,"경기도 수원시 팔달구 향교로 160, 창업관 301호 (중동, 제일빌딩)",경기도 수원시 팔달구 중동 20번지 제일빌딩 창업관 301호,자전거 브레이크 레버,37.2746754,127.016259,031-253-4962,031-253-4963,2025-02-14
제로테크윈,전자부품 실장기판 제조업,경기도 수원시 영통구 매영로 169 (원천동) 제로테크윈,경기도 수원시 영통구 원천동 500-0 제로테크윈,"태양광모졸, 블랙박스, 어학기 PCB Assy",37.2654216,127.0606984,031-212-3242,031-212-3241,2025-02-14
제이제이스포츠,그 외 기타 봉제의복 제조업 외 6 종,"경기도 수원시 영통구 권선로803번길 5, 임광상가 지층1호 (매탄동, 임광아파트)",경기도 수원시 영통구 매탄동 1162번지 임광아파트 임광상가 지층1호,의류(교복),37.2559932,127.0390516,031-233-5510,031-233-0539,2025-02-14
제일영상이엔씨,방송장비 제조업 외 2 종,"경기도 수원시 장안구 광교산로 6 (영화동, 아산양행)",경기도 수원시장안구 영화동 114-21번지,"앰프,스피커,CCTV,광송수신기",37.2926485,127.0198656,031-247-0004,031-247-0030,2025-02-14
