연번,업종,사업체명,주생산품,도로명주소,위도,경도,전화번호,팩스번호,홈페이지
888,"의복, 의복 액세서리 및 모피제품 제조업",㈜비상텍스,"의류, 내의류 제조",전북특별자치도 전주시 완산구 마당재1길 13-3,35.81914584,127.1600809,02-6332-1299,02-6332-1300,
889,"의복, 의복 액세서리 및 모피제품 제조업",베네트,기능성 의류,"전북특별자치도 전주시 완산구 서곡5길 9-6, 101호 (효자동3가,예원빌)",35.83693711,127.1013286,070-8844-8765,,
890,"의복, 의복 액세서리 및 모피제품 제조업",비앤누리,유아용 의복 제조,"전북특별자치도 전주시 덕진구 기린대로 868-2, 3층 (여의동2가)",35.86161303,127.0902883,063-252-8671,,
891,"의복, 의복 액세서리 및 모피제품 제조업",(유한)포그니,의류,전북특별자치도 전주시 덕진구 와룡로 95-46 (송천동2가),35.86892263,127.1095721,063-221-2256,,
892,"의복, 의복 액세서리 및 모피제품 제조업",경성26(주),"근무복, 작업복 및 유사의복",전북특별자치도 전주시 완산구 전주객사4길 10 (중앙동3가),35.81825911,127.1442323,,,
893,"의복, 의복 액세서리 및 모피제품 제조업",(주)어울림한복문화연구소,한복 제조,"전북특별자치도전주시 완산구 경기전길 71, 1층 (풍남동3가)",35.81618741,127.1507834,,,
894,"의복, 의복 액세서리 및 모피제품 제조업",노아컴퍼니,유아용 의복 제조,전북특별자치도 전주시 덕진구 구렛들2길 53 (팔복동1가),35.86132604,127.1000684,063-249-1200,,
895,"의복, 의복 액세서리 및 모피제품 제조업",악토버,봉제의복 제조,"전북특별자치도 전주시 완산구 전주천서로 477, 5층 503호 (서신동)",35.83324851,127.1242593,063-232-1015,,
896,"의복, 의복 액세서리 및 모피제품 제조업",대성실업,속옷 및 잠옷,전북특별자치도 전주시 덕진구 구렛들3길 48 (팔복동1가),35.86141194,127.0995027,,,
897,"의복, 의복 액세서리 및 모피제품 제조업",티에스인터네셔널코리아㈜,"유아용, 소아용, 대인용 속옷의류 외",전북특별자치도 전주시 완산구 고사동 65-6,35.81906266,127.1456955,02-541-6141,02-540-0833,
898,"의복, 의복 액세서리 및 모피제품 제조업",코튼클럽㈜,내의 및 잠옷,전북특별자치도 전주시 덕진구 구렛들2길 45,35.86022075,127.0993058,063-900-2702,063-212-2022,
899,"의복, 의복 액세서리 및 모피제품 제조업",(주)베스트프랜드플러시,"유아내의류, 마스크 외",전북특별자치도 전주시 덕진구 기린대로 868-2 (여의동2가),35.86161303,127.0902883,063-252-8671,063-275-0855,
900,"의복, 의복 액세서리 및 모피제품 제조업",다조아패션,유아용 의복 제조,전북특별자치도전주시 덕진구 구렛들3길 26-5 (팔복동1가),35.85953523,127.099236,,,
901,"의복, 의복 액세서리 및 모피제품 제조업",성화어패럴,"기성복(남녀소아), 셔츠, 운동복","전북특별자치도 전주시 덕진구 기린대로 548, 2층 (덕진동2가,GM대우)",35.84673501,127.1197165,0507-1428-0950,,
902,"의복, 의복 액세서리 및 모피제품 제조업",주식회사 에스씨와이,"근무복, 작업복 및 유사의복","전북특별자치도 전주시 덕진구 구렛들1길 28-19, 주식회사 에스씨와이 (팔복동1가)",35.85797405,127.1025973,,,
903,"의복, 의복 액세서리 및 모피제품 제조업",케이패션,편조의복,"전북특별자치도 전주시 완산구 강변로 176, 광일실업 케이패션 (효자동1가)",35.80645204,127.1106671,063-224-7985,,
904,"의복, 의복 액세서리 및 모피제품 제조업",(주)로즈파니,셔츠 및 블라우스,"전북특별자치도 전주시 완산구 현무2길 25, 2층 204호 (경원동3가,전라북도정보사업지원센터)",35.82064954,127.1495961,,,
905,"의복, 의복 액세서리 및 모피제품 제조업",유한어패럴,속옷 및 잠옷,전북특별자치도 전주시 덕진구 호성1길 33-10 (호성동1가),35.85618289,127.1526718,,,
906,"의복, 의복 액세서리 및 모피제품 제조업",우리포장,아동복,전북특별자치도 전주시 완산구 송정2길 5 (삼천동1가),35.79952215,127.1194181,,,
907,"의복, 의복 액세서리 및 모피제품 제조업",(유한)위즈맘,의류제조업외,"전북특별자치도 전주시 덕진구 신복천변로 23-11, 5층 (팔복동1가)",35.85687389,127.1025211,063-212-0421,063-212-0421,
908,"의복, 의복 액세서리 및 모피제품 제조업",(주)제일,"근무복,군정복,작업복 외",전북특별자치도 전주시 덕진구 초포다리로 43 (호성동1가),35.860137,127.1587194,042-472-5001,042-472-5013,
909,"의복, 의복 액세서리 및 모피제품 제조업",재경실업,작업복 및 근무복,전북특별자치도 전주시 덕진구 초포다리로 55-9 (호성동1가),35.8613059,127.1583195,042-282-5486,,
910,"의복, 의복 액세서리 및 모피제품 제조업",태광실업,유/아동 내의류,"전북특별자치도 전주시 완산구 송정2길 5, 2층 (삼천동1가)",35.79952215,127.1194181,,063-224-6682,
911,"의복, 의복 액세서리 및 모피제품 제조업",(유한)보노,셔츠 및 블라우스,"전북특별자치도 전주시 완산구 용머리로 155, 1층 (효자동1가)",35.80620339,127.1271892,,,
912,"의복, 의복 액세서리 및 모피제품 제조업",(유한)하경상사,셔츠,전북특별자치도 전주시 덕진구 추천로 17 (팔복동3가),35.84070004,127.1007217,,063-271-2131-세무사무소,
913,"의복, 의복 액세서리 및 모피제품 제조업",성광어페럴,속옷,전북특별자치도 전주시 덕진구 우아8길 9 (우아동3가),35.85085874,127.1568909,063-251-6954,,
914,"의복, 의복 액세서리 및 모피제품 제조업",(주)제아,편조의복 제조,"전북특별자치도 전주시 덕진구 기린대로 662, 4층 (팔복동2가)",35.85195729,127.1091969,063-211-7907,,
915,"의복, 의복 액세서리 및 모피제품 제조업",모아의상디자인,"무대의상, 수선",전북특별자치도 전주시 완산구 당산로 34-17 (서신동),35.83073624,127.1122782,063-252-3985,,
916,"의복, 의복 액세서리 및 모피제품 제조업",5 18 민주화운동부상자회,의류,전북특별자치도 전주시 덕진구 전진로 10-13 (산정동),35.84001602,127.1711742,062-383-1518,062-384-1518,
917,"의복, 의복 액세서리 및 모피제품 제조업",대연재단,내의류,전북특별자치도 전주시 덕진구 신복로 118 (팔복동4가),35.86046771,127.1034107,063-237-1040,063-214-9990,
918,"의복, 의복 액세서리 및 모피제품 제조업",베이비월드,유아용 의복 제조,"전북특별자치도 전주시 덕진구 가리내로 204, 상가 9호 (덕진동1가,명성강변아파트)",35.83930349,127.1153819,,,
919,"의복, 의복 액세서리 및 모피제품 제조업",취미양복점,양복,전북특별자치도 전주시 완산구 팔달로 36-2 (서서학동),35.80582442,127.1498092,063-286-4319,,
920,"의복, 의복 액세서리 및 모피제품 제조업",예린실업,유아용 의복,전북특별자치도 전주시 덕진구 상리4길 22 (팔복동2가),35.85140368,127.1014092,,063-213-3001,
921,"의복, 의복 액세서리 및 모피제품 제조업",지백봉제,속옷 및 잠옷,전북특별자치도 전주시 완산구 은행로 64 (교동),35.81430555,127.1523305,,063-231-7115,
922,"의복, 의복 액세서리 및 모피제품 제조업",양성실업,내의류,전북특별자치도 전주시 완산구 경기전길 89 (풍남동3가),35.81548685,127.1511339,,,
923,"의복, 의복 액세서리 및 모피제품 제조업",언더뉴스,속옷 및 잠옷,전북특별자치도 전주시 덕진구 하가로 72 (덕진동2가),35.8483782,127.1127351,,,
924,"의복, 의복 액세서리 및 모피제품 제조업",서진어패럴,속옷 및 잠옷,전북특별자치도 전주시 덕진구 구렛들3길 48 (팔복동1가),35.86141194,127.0995027,063-211-2428,,
925,"의복, 의복 액세서리 및 모피제품 제조업",광명어페럴,속옷 및 잠옷,"전북특별자치도 전주시 덕진구 송천2길 26, 2층 (송천동1가)",35.85956908,127.1184123,063-271-3373,063-271-3773,
926,"의복, 의복 액세서리 및 모피제품 제조업",대명,유아용 의복,전북특별자치도 전주시 덕진구 동부대로 757 (우아동3가),35.85568125,127.1569617,063-278-4250,063-242-4249,
927,"의복, 의복 액세서리 및 모피제품 제조업",송림실업,유아용 의복 제조,전북특별자치도 전주시 완산구 전주천서로 133,35.81085043,127.1467903,063-224-0366,,
928,"의복, 의복 액세서리 및 모피제품 제조업",현대피복,"작업복, 근무복",전북특별자치도 전주시 완산구 풍남문2길 48-20 (중앙동4가),35.8136403,127.1461961,063-288-6221,063-288-6220,
929,"의복, 의복 액세서리 및 모피제품 제조업",만인양복점,남성정장,전북특별자치도 전주시 완산구 전주객사3길 12-13 (고사동),35.81806214,127.1431499,063-283-1790,,
930,"의복, 의복 액세서리 및 모피제품 제조업",엘리트학생복,학생복,전북특별자치도 전주시 완산구 용머리로 144 (효자동1가),35.80566243,127.1259227,063-228-5050,063-223-6558,
931,"의복, 의복 액세서리 및 모피제품 제조업",에스더실업,"속옷,잠옷",전북특별자치도 전주시 덕진구 신복로 118 (팔복동4가),35.86046771,127.1034107,,,
932,"의복, 의복 액세서리 및 모피제품 제조업",모드양복점,남성양복,"전북특별자치도 전주시 완산구 전주객사3길 4, 1층 (중앙동2가)",35.81757342,127.1428674,063-288-5858,,
933,"의복, 의복 액세서리 및 모피제품 제조업",미나실업,속옷 및 잠옷,전북특별자치도 전주시 완산구 관선5길 24 (남노송동),35.82113637,127.1573044,063-288-8448,,
934,"의복, 의복 액세서리 및 모피제품 제조업",금화상사,"단체복,체육복",전북특별자치도 전주시 완산구 풍남문3길 30 (전동),35.81512501,127.1471209,063-285-3553,063-287-5679,
935,"의복, 의복 액세서리 및 모피제품 제조업",전주종합까운피복상사,편조의복 제조,전북특별자치도 전주시 덕진구 팔달로 300,35.8284467,127.1420867,063-275-0428,063-253-2818,
936,"의복, 의복 액세서리 및 모피제품 제조업",고유정한복,한복 제조,전북특별자치도 전주시 완산구 전라감영3길 9 (중앙동1가),35.81611569,127.143204,063-287-5242,,
937,"의복, 의복 액세서리 및 모피제품 제조업",명성어페럴,유아용의복,"전북특별자치도 전주시 덕진구 구렛들3길 48, 203호(팔복동1가)",35.86141194,127.0995027,063-973-9577,,
938,"의복, 의복 액세서리 및 모피제품 제조업",피엘스쿨웨어,"학생복,체육복","전북특별자치도 전주시 덕진구 기린대로 273, 1층",35.82967105,127.1418854,063-277-9700,063-277-9702,
939,"의복, 의복 액세서리 및 모피제품 제조업",초이스재단,속옷 및 잠옷 제조,"전북특별자치도 전주시 덕진구 구렛들3길 48(팔복동1가, 신한봉제)",35.86141194,127.0995027,063-211-7712,,
940,"의복, 의복 액세서리 및 모피제품 제조업",신흥패션,"속옷,잠옷",전북특별자치도 전주시 완산구 장승배기로 342 (서서학동),35.80246005,127.1481854,063-282-2177,063-282-1236,
941,"의복, 의복 액세서리 및 모피제품 제조업",아라크네,보정속옷 군인속옷,"전북특별자치도 전주시 완산구 거마평로 93, 상가 504동 지하 2호 (효자동1가,쌍용모악파크빌라)",35.80106519,127.1159713,063-222-9925,,
942,"의복, 의복 액세서리 및 모피제품 제조업",제이진옴므,맞춤양복,전북특별자치도 전주시 완산구 마전로 13 중산빌딩 1층 제이진옴므,35.82230228,127.1040719,063-288-6996,063-288-6997,
943,"의복, 의복 액세서리 및 모피제품 제조업",런던베이직학생복,학생복,전북특별자치도 전주시 덕진구 기린대로 295 1층,35.83112713,127.1400546,063-271-1679,063-223-8602,
944,"의복, 의복 액세서리 및 모피제품 제조업",아르코 발레노,정장,전북특별자치도 전주시 완산구 백제대로268,35.81707239,127.1233523,063-288-2617,,
945,"의복, 의복 액세서리 및 모피제품 제조업",그린실업,유아용내의류,전북특별자치도 전주시 완산구 송정2길 5 (삼천동1가),35.79952215,127.1194181,063-224-6682,063-224-6681,
946,"의복, 의복 액세서리 및 모피제품 제조업",태양사,"학생복,유니폼","전북특별자치도 전주시 완산구 팔달로 42, 태양사class (서서학동)",35.80645553,127.1498357,063-288-0399,063-0905-8949,
947,"의복, 의복 액세서리 및 모피제품 제조업",청아고전방,한복,전북특별자치도 전주시 완산구 충경로 116 (풍남동1가),35.81973305,127.1512769,063-284-5424,,
948,"의복, 의복 액세서리 및 모피제품 제조업",정은재단,봉제의복 제조,"전북특별자치도 전주시 완산구 장승배기로 396, 1동 107호 (동서학동,거산황궁맨션상가)",35.80576537,127.1529411,063-242-3001,,
949,"의복, 의복 액세서리 및 모피제품 제조업",사나래,한복 제조,전북특별자치도 전주시 완산구 대동로 7-28 (태평동),35.82183479,127.1363034,063-274-6820,,
950,"의복, 의복 액세서리 및 모피제품 제조업",그린비,유아복외,전북특별자치도 전주시 덕진구 와룡로 95-46 (송천동2가),35.86892263,127.1095721,063-221-2256,063-243-3472,
951,"의복, 의복 액세서리 및 모피제품 제조업",런던베이직,학생복,"전북특별자치도 전주시 덕진구 기린대로 295, 1층 (진북동)",35.83112713,127.1400546,063-271-1679,,
952,"의복, 의복 액세서리 및 모피제품 제조업",세빈실업,속옷 및 잠옷 제조,전북특별자치도 전주시 완산구 거마평로 147-11 (효자동1가),35.80530037,127.1158359,063-227-3855,,
953,"의복, 의복 액세서리 및 모피제품 제조업",성완실업,봉제품(의복),전북특별자치도 전주시 덕진구 무삼지5길 12-3 (인후동1가),35.82755571,127.1640543,,,
954,"의복, 의복 액세서리 및 모피제품 제조업",나은,봉제의복 제조,전북특별자치도 전주시 완산구 평화12길 5,35.79071421,127.1353012,,,
955,"의복, 의복 액세서리 및 모피제품 제조업",(유한)삼원섬유,내의(속옷),전북특별자치도 전주시 덕진구 태진로 87 (진북동),35.82888139,127.1360722,063-241-9035,063-245-1523,http://swtextile.koreasme.com/
956,"의복, 의복 액세서리 및 모피제품 제조업",마운틴,제복(경찰복 외),전북특별자치도 전주시 덕진구 안덕원로 107 (진북동),35.83006287,127.1412171,063-251-7833,063-278-3352,http://www.mountain.or.kr
957,"의복, 의복 액세서리 및 모피제품 제조업",미복사양복점,남자용개인마춤양복,"전북특별자치도 전주시 완산구 문화광장로 2, 3층 (고사동)",35.82135494,127.144841,063-285-6607,,
958,"의복, 의복 액세서리 및 모피제품 제조업",아산제이엠,겉옷 제조업,전북특별자치도 전주시 덕진구 솔내8길 19,35.86109533,127.1237654,063-277-3668,,
959,"의복, 의복 액세서리 및 모피제품 제조업",창대실업,내의류(팬티),전북특별자치도 전주시 완산구 모악로 4704 (평화동2가),35.78919985,127.1315232,063-283-3309,063-283-3309,
960,"의복, 의복 액세서리 및 모피제품 제조업",주리화,한복,전북특별자치도 전주시 완산구 전라감영5길 17-26 (중앙동3가),35.81726682,127.1453827,063-285-3321,,
961,"의복, 의복 액세서리 및 모피제품 제조업",평화섬유,내의류,전북특별자치도 전주시 완산구 서학2길 47 (서서학동),35.8068385,127.1504623,063-282-8786,063-286-8814,
962,"의복, 의복 액세서리 및 모피제품 제조업",세사리빙전주서신점,유아용 의복,전북특별자치도 전주시 완산구 백제대로 422,35.83079786,127.1231462,063-273-9989,,
963,"의복, 의복 액세서리 및 모피제품 제조업",(주)광일실업,유아용내의 등,전북특별자치도 전주시 완산구 강변로 176 (효자동1가),35.80645204,127.1106671,063-224-7985,063-225-7986,
964,"의복, 의복 액세서리 및 모피제품 제조업",(유한)신양물산,성인 아동 의류 및 내의류,"전북특별자치도 전주시 완산구 백제대로 160, 상가동 지하1층 1호",35.80690028,127.1238622,063-223-8890,063-224-8845,
965,"의복, 의복 액세서리 및 모피제품 제조업",(주)광천,"스포츠의류, 내의",전북특별자치도 전주시 덕진구 초포다리로 43 (호성동1가),35.860137,127.1587194,063-245-6430,063-246-6431,
966,"의복, 의복 액세서리 및 모피제품 제조업",(유한)플러스,유아용의복,전북특별자치도 전주시 완산구 강변로 120 (효자동1가),35.80156521,127.1128789,063-225-5351,063-225-5352,
967,"의복, 의복 액세서리 및 모피제품 제조업",코튼클럽(주)전주공장,속옷 및 잠옷,"전북특별자치도 전주시 덕진구 구렛들2길 45 (팔복동1가, 코튼클럽 전주공장)",35.86022075,127.0993058,063-212-2020,063-212-2022,http://www.cotton-club.co.kr
968,"의복, 의복 액세서리 및 모피제품 제조업",(주)네이쳐김,친환경의류,전북특별자치도 전주시 완산구 용리로 112,35.7983968,127.1220636,063-222-0475,,
969,"의복, 의복 액세서리 및 모피제품 제조업",(주)고고싱,여성용 겉옷,"전북특별자치도 전주시 덕진구 상리로 45, 나동 301호 (팔복동2가)",35.85242569,127.1030915,070-8915-4161,02-6442-4199,http://ggsing.com
970,"의복, 의복 액세서리 및 모피제품 제조업",(주)광일섬유,아동복내의,전북특별자치도 전주시 완산구 강변로 176 (효자동1가),35.80645204,127.1106671,063-227-7985,063-225-7986,
971,"의복, 의복 액세서리 및 모피제품 제조업",몽원(주),의료용 압박스타킹,"전북특별자치도 전주시 완산구 유연로 278, 5층 (중화산동2가)",35.82517569,127.1160254,070-8180-7582,,
972,"의복, 의복 액세서리 및 모피제품 제조업",(유한)해창에스에이,"근무복, 작업복",전북특별자치도 전주시 완산구 전주객사4길 20 (고사동),35.81860064,127.1440958,063-286-7114,,
973,"의복, 의복 액세서리 및 모피제품 제조업",대호무역,아동복 내의/외의,"전북특별자치도 전주시 덕진구 송천중앙로 13, 2층",35.84862689,127.1183672,063-834-7908,063-835-7908,
974,"의복, 의복 액세서리 및 모피제품 제조업",윌컴어페럴,섬유가공,"전북특별자치도 전주시 덕진구 태진로 141, 2층 (금암동)",35.83361572,127.1351577,063-836-2251,,
975,"의복, 의복 액세서리 및 모피제품 제조업",세인트학생복,학생교복,전북특별자치도 전주시 완산구 백제대로 129,35.804535,127.1233349,063-228-6679,063-223-6679,
976,"의복, 의복 액세서리 및 모피제품 제조업",현대미싱상사,의복악세서리,전북특별자치도 전주시 덕진구 상리로 45 (팔복동2가),35.85242569,127.1030915,063-212-7855,063-212-7855,
977,"의복, 의복 액세서리 및 모피제품 제조업",숙컴퍼니,내의유아복,전북특별자치도 전주시 덕진구 기린대로 868-1 (여의동2가),35.86237148,127.0904679,063-272-0762,063-274-0760,
978,"의복, 의복 액세서리 및 모피제품 제조업",모라돈실업,속옷류 임가공,전북특별자치도 전주시 덕진구 장재안길 10 (우아동3가),35.85180339,127.1605122,063-244-8208,063-245-8208,
979,"의복, 의복 액세서리 및 모피제품 제조업",예성,"내의, 잠옷",전북특별자치도 전주시 덕진구 상리1길 46 (팔복동2가),35.85146925,127.1017406,063-214-8868,063-214-8868,
980,"의복, 의복 액세서리 및 모피제품 제조업",김미선한복,한복,"전북특별자치도 전주시 완산구 전라감영4길 13-12, 1층 (중앙동2가)",35.81668882,127.1439503,063-252-6696,063-252-6696,
981,"의복, 의복 액세서리 및 모피제품 제조업",(주)오키,여성의류,"전북특별자치도 전주시 덕진구 팔복1길 3, 1층 (팔복동2가,오키빌딩)",35.8484502,127.1029923,063-213-9932,063-214-9932,http://www.o-ki.co.kr
982,"의복, 의복 액세서리 및 모피제품 제조업",드피에르,여자용 겉옷,전북특별자치도 전주시 완산구 전주객사4길 44-24 (고사동),35.81958693,127.1446386,063-282-0096,,
983,"의복, 의복 액세서리 및 모피제품 제조업",루체,유아용의복,전북특별자치도 전주시 덕진구 쪽구름2길 23,35.87490596,127.0759286,070-7756-2909,,
984,"의복, 의복 액세서리 및 모피제품 제조업",비바인터내셔널,유아복,"전북특별자치도 전주시 덕진구 송천2길 25, 관리동2층 (송천동1가,라이프아파트)",35.85899148,127.1183079,063-274-2544,,
985,"의복, 의복 액세서리 및 모피제품 제조업",주현어패럴,내의,전북특별자치도 전주시 덕진구 진버들3길 21 (인후동1가),35.8357372,127.1611129,063-242-1085,063-246-1085,
986,"의복, 의복 액세서리 및 모피제품 제조업",아이숲컴퍼니,"내의,런닝,팬티",전북특별자치도 전주시 덕진구 신흥마을길 143 (고랑동),35.87757496,127.0902723,063-213-0999,063-212-8174,
987,"의복, 의복 액세서리 및 모피제품 제조업",마하나임,언더웨어,전북특별자치도 전주시 덕진구 쪽구름2길 23(반월동),35.87490596,127.0759286,063-241-9272,,
988,"의복, 의복 액세서리 및 모피제품 제조업",덕일실업,내의류,"전북특별자치도 전주시 덕진구 팔복1길 3, 2층 (팔복동2가)",35.8484502,127.1029923,063-212-7997,063-212-7997,
989,"의복, 의복 액세서리 및 모피제품 제조업",드림패션,속옷및잠옷,"전북특별자치도 전주시 덕진구 구렛들3길 48, 1층 (팔복동1가)",35.86141194,127.0995027,063-212-3409,063-212-3409,
990,"의복, 의복 액세서리 및 모피제품 제조업",예전,유아용 의복 제조,"전북특별자치도 전주시 덕진구 구렛들3길 48, 1층 103호-1 (팔복동1가)",35.86141194,127.0995027,063-275-8404,,
991,"의복, 의복 액세서리 및 모피제품 제조업",번영사,편조장갑,전북특별자치도 전주시 덕진구 심방죽2길 24 (인후동1가),35.83743177,127.1534022,070-8709-8957,,
992,"의복, 의복 액세서리 및 모피제품 제조업",명랑섬유,내의,전북특별자치도 전주시 덕진구 진버들3길 21 (인후동1가),35.8357372,127.1611129,063-242-1085,063-246-1085,
993,"의복, 의복 액세서리 및 모피제품 제조업",창영실업,여성란제리,전북특별자치도 전주시 덕진구 거북바우로 145 (인후동2가),35.84334863,127.1514465,063-246-2399,,
994,"의복, 의복 액세서리 및 모피제품 제조업",화신섬유,속옷,전북특별자치도 전주시 덕진구 거북바우로 148 (인후동2가),35.8431795,127.1517472,063-246-1462,,
995,"의복, 의복 액세서리 및 모피제품 제조업",진영실업,유아용내의류,"전북특별자치도 전주시 덕진구 솔내9길 5, 상가 지하 2호 (송천동1가,우림아파트)",35.86228416,127.1261218,063-252-0835,,
996,"의복, 의복 액세서리 및 모피제품 제조업",시마패션,임가공(아동의류),"전북특별자치도 전주시 덕진구 기린대로 711, 5층 (팔복동2가)",35.84543828,127.1198747,063-212-5640,,
997,"의복, 의복 액세서리 및 모피제품 제조업",주명재단,유아용 의복,전북특별자치도 전주시 덕진구 기린대로 781(팔복동2가),35.85679867,127.0972851,063-214-5544,,
998,"의복, 의복 액세서리 및 모피제품 제조업",금강실업,섬유 임가공,"전북특별자치도 전주시 완산구 강변로 242, 나동 105호 (효자동1가,명성연립)",35.81130348,127.1134347,063-251-1866,063-251-1866,
999,"의복, 의복 액세서리 및 모피제품 제조업",아기사랑,유아복외,전북특별자치도 전주시 덕진구 추천5길 7 (팔복동2가),35.8517849,127.107826,063-211-2501,063-211-2502,
1000,"의복, 의복 액세서리 및 모피제품 제조업",연호섬유,유아용의복,"전북특별자치도 전주시 덕진구 신복천변로 23-11, 2층 201호 (팔복동1가)",35.85687389,127.1025211,063-212-2950,063-213-4457,
1001,"의복, 의복 액세서리 및 모피제품 제조업",(유한)연호실업,내의류,전북특별자치도 전주시 덕진구 기린대로 711 (팔복동2가),35.84543828,127.1198747,063-213-4455,,
1002,"의복, 의복 액세서리 및 모피제품 제조업",(주)씨앤씨어패럴,"속옷,잠옷 및 내의",전북특별자치도 전주시 덕진구 기린대로 739 (팔복동2가),35.85493146,127.1019009,063-902-2211,063-212-2022,
1003,"의복, 의복 액세서리 및 모피제품 제조업",(주)명도실업,"근무복, 작업복",전북특별자치도 전주시 덕진구 비석날로 59-1,35.85709675,127.0795229,063-212-7917,063-212-8688,
1004,"의복, 의복 액세서리 및 모피제품 제조업",㈜대양실업,내의,전북특별자치도 전주시 덕진구 구렛들3길 50,35.86185503,127.099697,063-211-0844,063-247-1363,
1005,"의복, 의복 액세서리 및 모피제품 제조업",장한실업,"유아복, 내의",전북특별자치도 전주시 덕진구 송천로 36 (송천동1가),35.85654451,127.1189329,063-274-5077,063-253-8077,
1006,"의복, 의복 액세서리 및 모피제품 제조업",다올섬유,내의류,전북특별자치도 전주시 덕진구 상리로 45 (팔복동2가),35.85242569,127.1030915,063-245-2550,063-245-2554,
1007,"의복, 의복 액세서리 및 모피제품 제조업",남경통상,속옷,전북특별자치도 전주시 덕진구 장재안길 10 (우아동3가),35.85180339,127.1605122,063-245-1522,,
1008,"의복, 의복 액세서리 및 모피제품 제조업",한일섬유,군용 내의,"전북특별자치도 전주시 덕진구 기린대로 880, 1층 (여의동2가)",35.86231486,127.0889406,063-212-5967,063-212-5967,
1009,"의복, 의복 액세서리 및 모피제품 제조업",명작,유아용 의복 제조,"전북특별자치도 전주시 덕진구 붓내2길 29-9, 1층 상가",35.86606025,127.1248292,063-242-1777,,
1010,"의복, 의복 액세서리 및 모피제품 제조업",송천자밀,유아동의류,전북특별자치도 전주시 덕진구 상리로 45 (팔복동2가),35.85242569,127.1030915,070-8838-0801,063-211-0804,
1011,"의복, 의복 액세서리 및 모피제품 제조업",에스엔한코,편조의복,전북특별자치도 전주시 덕진구 진버들3길 27-6 (인후동1가),35.83622256,127.1609196,063-212-9905,,
1012,"의복, 의복 액세서리 및 모피제품 제조업",형제장갑,"근무복, 작업복 도소매",전북특별자치도 전주시 덕진구 신복로 18-15,35.8554113,127.1106861,063-291-8875,063-291-8873,
1013,"의복, 의복 액세서리 및 모피제품 제조업",(유한)레인보우,유아내의,"전북특별자치도 전주시 덕진구 구렛들2길 53, 3층 301호 (팔복동1가)",35.86132604,127.1000684,063-212-2885,063-211-2886,
1014,"의복, 의복 액세서리 및 모피제품 제조업",(유한)허그,유아동복,전북특별자치도 전주시 덕진구 추천5길 7 (팔복동2가),35.8517849,127.107826,063-211-2501,063-211-2502,
1015,"의복, 의복 액세서리 및 모피제품 제조업",(유한)에이치비컴퍼니,유아용 의복,전북특별자치도 전주시 덕진구 편운로 29-5 (여의동2가),35.87212515,127.0788289,063-271-9503,063-271-9504,
1016,"의복, 의복 액세서리 및 모피제품 제조업",(유한)에이케이,남성용 속옷,전북특별자치도 전주시 덕진구 여산로 130-16 (여의동),35.86325874,127.0791418,063-213-2834,063-212-2833,
1017,"의복, 의복 액세서리 및 모피제품 제조업",(주)성실,"유아복, 내의류 외",전북특별자치도 전주시 덕진구 기린대로 868-1 (여의동2가),35.86237148,127.0904679,063-272-9500,063-274-0760,http://www.sung-sil.com
1018,"의복, 의복 액세서리 및 모피제품 제조업",(주)타임캐슬,영유아의류,전북특별자치도 전주시 덕진구 와룡로 95-46 (송천동2가),35.86892263,127.1095721,063-273-0009,063-274-0100,
1019,"의복, 의복 액세서리 및 모피제품 제조업",(주)릴라이언스,유아용 의복 외,"전북특별자치도 전주시 덕진구 만성북로 51-25, 3073호 (만성동,스페이스온지식산업센터)",35.84905387,127.082638,070-4151-1398,063-212-1398,
1020,"의복, 의복 액세서리 및 모피제품 제조업",(주)성경실업,유아용 내의,전북특별자치도 전주시 덕진구 기린대로 868-2(여의동2가),35.86161303,127.0902883,063-252-8671,063-275-0855,
1021,"의복, 의복 액세서리 및 모피제품 제조업",(유한)자연진,유아복,전북특별자치도 전주시 덕진구 와룡로 95-46 (송천동2가),35.86892263,127.1095721,063-221-2256,063-221-2227,
1022,"의복, 의복 액세서리 및 모피제품 제조업",대호무역(주),셔츠 및 블라우스 제조,"전북특별자치도 전주시 덕진구 기린대로 662, 4층",35.85195729,127.1091969,063-211-7908,063-211-7909,
1023,"의복, 의복 액세서리 및 모피제품 제조업",코튼클럽(주)전주2공장,속옷 및 잠옷 제조,"전북특별자치도 전주시 덕진구 신복1길 9, 1층 (팔복동2가)",35.85184906,127.1104048,063-212-2020,063-212-2022,
1024,"의복, 의복 액세서리 및 모피제품 제조업",경동흥업㈜,스타킹,전북특별자치도 전주시 덕진구 신복천변로 23-11,35.85687389,127.1025211,02-780-9501,063-212-4711,
1025,"의복, 의복 액세서리 및 모피제품 제조업",(유한)경락컴퍼니,유아용 의복,전북특별자치도 전주시 덕진구 편운로 29-5(여의동2가),35.87212515,127.0788289,063-271-9501,063-271-9504,
1026,"의복, 의복 액세서리 및 모피제품 제조업",다온재단,봉제의복 제조,전북특별자치도 전주시 덕진구 신복천변로 23-11 (팔복동1가),35.85687389,127.1025211,063-211-5641,,
1027,"의복, 의복 액세서리 및 모피제품 제조업",(주)아이숲,유아용 의류,전북특별자치도 전주시 덕진구 신흥마을길 143 (고랑동),35.87757496,127.0902723,063-212-8176,063-228-1996,
