읍면,회사명,공장대표주소,전화번호,생산품
행안면 ,코러스영어조합법인,"전북특별자치도 부안군 행안면 부안농공단지길 44, 역리 1121-3 외 1필지",063-583-1615,키조개관자
동진면 ,티제이 주식회사,전북특별자치도 부안군 동진면 봉황리 495-5번지,063-581-9041,쌀
보안면 ,포그팜,전북특별자치도 부안군 보안면 보안남로 17 (공장) (총 2 필지) 외 1필지,063-564-0012,배합사료
보안면 ,하입석정미소,전북특별자치도 부안군 보안면 하입석리 569-2번지,063-582-3155,쌀
하서면 ,한신수산,전북특별자치도 부안군 하서면 장신1길 89 (한신수산) (총 2 필지) 외 1필지,063-584-8423,김
변산면 ,한일수산,전북특별자치도 부안군 변산면 격포로 221-20,010-***-****,키조개 관자
보안면 ,해뜰참영농조합법인,전북특별자치도 부안군 보안면 신복리 650-2번지,010-***-****,"조, 기장, 보리, 수수 등"
행안면 ,행안정미소,전북특별자치도 부안군 행안면 남산길 5 (행안정미소),063-584-5490,쌀
부안읍 ,현대판넬,전북특별자치도 부안군 부안읍 부령로 9 외 1필지,063-581-9578,문(ABS도어)
부안읍 ,호남정미소,전북특별자치도 부안군 부안읍 서문로 41 (호남정미소),063-581-5007,쌀
동진면 ,후산정미소,전북특별자치도 부안군 동진면 반곡1길 25,063-583-5146,쌀
