단지명,회사명,대표자명,공장대표주소,대표업종번호,업종명,전화번호,팩스번호,종업원수,생산품
군산2국가산업단지,(주)나노미래생활,강종원,전북특별자치도 군산시 오식도동 878-10번지,20129,기타 기초 무기 화학물질 제조업,000-0000-0000,042-416-8135,9,"산화아연,산화아연 어플리케이션"
개별입지,(주)나로,김동학,전북특별자치도 군산시 서수면 탑천로 616,10749,기타 식품 첨가물 제조업,063-451-5556,063-451-5557,1,식품첨가물
개별입지,(주)나포철망,최대섭,전북특별자치도 군산시 나포면 서라로 506,25944,금속선 가공제품 제조업,063-452-9777,,3,용접철망
군산2국가산업단지,(주)남경,황성보,전북특별자치도 군산시 가도로 127(오식도동),31112,합성수지선 건조업 외 3 종,000-0000-0000,,12,"레져보트, 합성수지선 등"
군산2국가산업단지,(주)네오케미칼,김현경,전북특별자치도 군산시 자유무역로 143-26(오식도동),24191,"도금, 착색 및 기타 표면처리강재 제조업",063-912-9026,063-912-9027,10,"pipe, vessel, tank passivation"
군산2국가산업단지,(주)노마드랩,박기훈,전북특별자치도 군산시 가도로 136(소룡동),31120,오락 및 스포츠용 보트 건조업 외 1 종,070-8621-0789,,6,"모듈러하우스, 복합소재 요트"
군산2국가산업단지,(주)농업회사법인 시원코리아,이종찬,"전북특별자치도 군산시 중가도길 111(오식도동, ㈜대동오토플러스)",16102,표면 가공 목재 및 특정 목적용 제재목 제조업,000-0000-0000,,4,우드칩
개별입지,(주)농업회사법인 청람바이오,최권엽,전북특별자치도 군산시 서수면 동군산로 899,10802,단미 사료 및 기타 사료 제조업,063-453-4095,063-453-4095,5,혼합 보조 사료
군산2국가산업단지,(주)뉴월드이엔이텍,서정부,전북특별자치도 군산시 오식도동 515-16번지,30310,자동차 엔진용 신품 부품 제조업 외 1 종,063-291-6505,063-275-7713,4,배기가스 저감장치
군산2국가산업단지,(주)뉴파워스틸,신형민,전북특별자치도 군산시 중가도길 48(오식도동),31322,항공기용 부품 제조업,000-0000-0000,,12,항공기용 부품
군산2국가산업단지,(주)다복금속,"이용호,이수만",전북특별자치도 군산시 오식도동 862-9번지,24312,강주물 주조업,063-466-5353,063-466-9797,9,펌프주물
군산국가산업단지,(주)다송케미스타,정봉정,전북특별자치도 군산시 소룡동번지 1637-2번지,25923,도장 및 기타 피막처리업,063-467-4887,063-467-4883,25,도장및 표면처리
군산국가산업단지,(주)다송케미스타,정봉정,전북특별자치도 군산시 동장산1길 9(소룡동),25923,도장 및 기타 피막처리업,063-467-4887,063-467-4883,23,분체도장
군산2국가산업단지,(주)다이브텍,최은엽,"전북특별자치도 군산시 산단로 42, 2층 202호(오식도동)",30399,그 외 자동차용 신품 부품 제조업 외 2 종,063-732-9284,,1,"자동차 차체부품, 특장차 제작부품, 보조전우너 시스템 제작"
군산옥구농공단지,(주)다인이엔씨,김금주,전북특별자치도 군산시 옥구읍 광월안길 20,28422,일반용 전기 조명장치 제조업 외 3 종,063-461-3426,063-461-3427,4,"태양광가로등, LED경관조명기구, 안내판, 조명용제어장치, 바닥형 보행신호등"
군산2국가산업단지,(주)다진산업,김명운,전북특별자치도 군산시 동가도길 20-26 (오식도동),23999,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,063-471-9401,063-471-9403,12,특수피막산화방지제
군산2국가산업단지,(주)다진산업,김명운,전북특별자치도 군산시 오식도동 815-11번지,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,032-589-2193,032-589-2188,6,제강부자재
개별입지,(주)다함,이용진,전북특별자치도 군산시 월명로 386 (미원동),28123,배전반 및 전기 자동제어반 제조업 외 2 종,063-445-6025,063-445-6027,8,"배전반 및 자동제어반, ICT복합환경제어기, ICT양액기, 스마트팜교보재"
개별입지,(주)대경엔지니어링,한창원,전북특별자치도 군산시 미창로 156 (산북동),27216,산업처리공정 제어장비 제조업,063-910-2323,063-910-2325,6,산업처리공정 제어장비
군산2국가산업단지,(주)대덕로지스틱,박유신,전북특별자치도 군산시 오식도동 833-5번지,20121,산업용 가스 제조업,063-732-3701,032-812-9321,11,고체드라이아이스
군산서수농공단지,(주)대두식품,조성룡,전북특별자치도 군산시 서수면 상장곤윗길 23 (㈜대두식품) 외 2필지,10613,곡물 혼합분말 및 반죽 제조업 외 1 종,063-450-3500,063-450-3517,220,"앙금, 양갱, 죽"
군산서수농공단지,(주)대두식품 2공장,조성룡,전북특별자치도 군산시 서수면 상장곤윗길 51 (대두식품제2일반공장),10613,곡물 혼합분말 및 반죽 제조업 외 3 종,063-450-3515,063-461-6668,10,"앙금,양갱,죽.기타,제과등"
군산2국가산업단지,(주)대륜중공업,이정호,"전북특별자치도 군산시 외항로 1044 (오식도동, 대륜중공업)",31114,선박 구성 부분품 제조업,063-460-1808,063-453-5274,48,선박블럭
군산국가산업단지,(주)대림,황선명,"전북특별자치도 군산시 외항로 816 (소룡동, ㈜대림)",38321,비금속류 해체 및 선별업 외 1 종,063-468-5455,063-468-5458,24,"윤활유, 연료유"
개별입지,(주)대림피앤티,박동욱,전북특별자치도 군산시 성산면 왕골로 265,17212,골판지 상자 및 가공제품 제조업,063-453-7801,063-453-7802,8,골판지상자
개별입지,(주)대마,전성식,전북특별자치도 군산시 옥구읍 옥구로 210-23 (㈜대마),20312,복합비료 및 기타 화학비료 제조업 외 1 종,064-4471-3355,,8,제4종복합비료
군산2국가산업단지,(주)대명산업,김도곤,전북특별자치도 군산시 산단동서로 90-20 (오식도동) 외 1필지,20312,복합비료 및 기타 화학비료 제조업 외 4 종,063-468-3335,063-468-3336,6,"김활성처리제, 비료 등"
군산2국가산업단지,(주)대성정밀,신현태,전북특별자치도 군산시 중가도길 56 (오식도동),30399,그 외 자동차용 신품 부품 제조업 외 7 종,063-468-7431,,60,"자동차부품, 금형, 금속압형제품"
군산2국가산업단지,(주)대승엔지니어링,채윤석,"전북특별자치도 군산시 외항로 1044 (오식도동, 대륜중공업)",25119,기타 구조용 금속제품 제조업 외 1 종,063-236-4774,063-236-4776,3,"모듈러임시교실,    "
군산2국가산업단지,(주)대왕,김순애,전북특별자치도 군산시 산단동서로 22(오식도동),17902,위생용 종이제품 제조업,063-465-8051,063-466-8051,33,화장지
군산일반산업단지,(주)대왕페이퍼,김동구,전북특별자치도 군산시 외항로 374 (소룡동),17125,위생용 원지 제조업 외 1 종,063-467-8051,063-467-1591,60,"화장지원지, 화장지"
군산자유무역지역,(주)대우로지스틱스,김인호,"전북특별자치도 군산시 자유무역로 273 (오식도동, ㈜대우로지스틱스)",60311,일반 화물자동차 운송업,02-759-3654,,2,일반화물자동차운송업
군산국가산업단지,(주)대원바텍,전세환,전북특별자치도 군산시 소룡동번지 1647-5번지,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,063-467-3335,063-468-3381,15,파일
군산일반산업단지,(주)대원산업,"김강일, 전세환",전북특별자치도 군산시 외항로 326 (소룡동),23322,레미콘 제조업,063-467-2394,063-467-2395,14,레미콘
개별입지,(주)대원콘크리트,"전성환, 고흥곤",전북특별자치도 군산시 서수면 외무장길 51-11 (대원콘크리트) 외 3필지,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,063-453-5535,063-453-7664,31,"PHC파일, PC전주, 레진관, 박스암거"
군산국가산업단지,(주)대정,신상형,전북특별자치도 군산시 자유로 15-15 (소룡동),30320,자동차 차체용 신품 부품 제조업 외 5 종,063-471-7637,063-471-7639,10,"자동차부품 ,robot service engine"
군산2국가산업단지,(주)대정,신상형,전북특별자치도 군산시 산단남북로 158 (오식도동),30320,자동차 차체용 신품 부품 제조업 외 4 종,063-471-7637,063-471-7639,11,"자동차용 새시 모듈 (DECK), sub-Frame, Device"
개별입지,(주)대평세라믹스산업,유태호,전북특별자치도 군산시 성산면 수림로 375-1 (벽돌공장),23231,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1 종",063-453-6383,063-453-6385,37,점토벽돌
군산2국가산업단지,(주)더넥스트,이정권,"전북특별자치도 군산시 산단남북로 56, A동 105호(오식도동, 한국산업단지공단)",30320,자동차 차체용 신품 부품 제조업 외 1 종,063-910-4200,063-910-4600,4,"자동차용 범퍼, 그릴"
군산국가산업단지,(주)더무브먼트,이국연,전북특별자치도 군산시 동장산로 105-9(소룡동),30320,자동차 차체용 신품 부품 제조업 외 1 종,063-212-6622,063-222-6623,1,자동차 부품
군산2국가산업단지,(주)더블유에스아이,공성문,전북특별자치도 군산시 군산산단로 54 (오식도동),27216,산업처리공정 제어장비 제조업,000-0000-0000,,4,산업용기
군산일반산업단지,(주)덕양에너젠,"김기철, 박주동",전북특별자치도 군산시 외항7길 28-23 (소룡동),20121,산업용 가스 제조업,063-471-6980,063-471-6983,10,수소
군산2국가산업단지,(주)도로앤도시,이효성,전북특별자치도 군산시 중가도길 21 (오식도동),25113,육상 금속 골조 구조재 제조업 외 6 종,063-212-3302,063-212-3802,10,"신호등철주, 가로등주, 도로표지판지주 등"
개별입지,(주)도원,김영탁,전북특별자치도 군산시 십자다리길 18 (산북동),28123,배전반 및 전기 자동제어반 제조업 외 6 종,063-467-5582,063-467-5592,8,전기배전반및자동제어판넬
군산성산농공단지,(주)도원,김영탁,전북특별자치도 군산시 성산면 동군산로 136-4,28119,기타 전기 변환장치 제조업 외 2 종,063-467-5582,063-467-5592,22,"배전반, 분전반, 태양광 발전장치, 자동제어반"
군산2국가산업단지,(주)도일테크,신병철,전북특별자치도 군산시 가도로 126 (소룡동),29131,액체 펌프 제조업 외 4 종,043-234-2225,050-2989-9332,6,액체펌프 외
군산2국가산업단지,(주)돈트써멀솔루션,"권순걸, 티어리폰테인",전북특별자치도 군산시 산단남북로 31 (오식도동),29172,공기 조화장치 제조업,063-731-0143,063-731-0164,21,산업용 냉각장치
군산2국가산업단지,(주)돌고래냉동수산,편의인,전북특별자치도 군산시 새만금북로 139-17(비응도동) 외 1필지,10212,수산동물 건조 및 염장품 제조업,000-0000-0000,063-465-0255,6,수산물 건조 및 염장품 제조
군산일반산업단지,(주)동광레미콘,배재혁,"전북특별자치도 군산시 외항7길 4 (소룡동, 동양시멘트) (총 3 필지)",23322,레미콘 제조업,063-463-5100,063-463-8454,14,레미콘
군산2국가산업단지,(주)동명철강,백채환,전북특별자치도 군산시 산단남북로 134-25(오식도동),24199,그 외 기타 1차 철강 제조업,063-462-0771,063-462-0771,13,철근가공
군산2국가산업단지,(주)동백,백승재,전북특별자치도 군산시 산단동서로 102-21 (오식도동),29294,주형 및 금형 제조업,063-451-0729,041-956-7175,21,유리병 제조용 금형
군산2국가산업단지,(주)동성이엔씨,최종현,전북특별자치도 군산시 오식도동 813-32번지,29199,그 외 기타 일반목적용 기계 제조업 외 2 종,063-464-2781,063-464-2782,2,기계설비(컨베이어 등)
군산2국가산업단지,(주)동성테크,최종현,전북특별자치도 군산시 오식도동 813-32번지,29222,디지털 적층 성형기계 제조업 외 5 종,063-464-2780,063-464-2782,19,"산업기계(금속가공기계), 강주물"
군산일반산업단지,(주)동양/건재부문 군산공장,박주형,전북특별자치도 군산시 외항로 466(소룡동),23322,레미콘 제조업 외 1 종,063-467-3800,063-467-3806,10,"레미콘, 레미콘"
군산2국가산업단지,(주)동양케미컬,주윤일,전북특별자치도 군산시 외항로 941(오식도동),20203,혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,000-0000-0000,,11,"합성수지원료, 단프라시트"
군산서수농공단지,(주)동우에이스,오수열,전북특별자치도 군산시 서수면 상장곤윗길 56,25113,육상 금속 골조 구조재 제조업 외 8 종,063-452-0078,063-452-0018,14,"자동세륜기, 가로등, 차선분리대, 조형물"
군산옥구농공단지,(주)동우엠이시,이광형,전북특별자치도 군산시 옥구읍 광월안길 37,25113,육상 금속 골조 구조재 제조업 외 1 종,063-466-5405,063-466-5406,6,스프링쿨러 배관
개별입지,(주)동우팜투테이블,김태호,전북특별자치도 군산시 서수면 동군산로 1095 (주식회사 동우),10121,가금류 가공 및 저장 처리업 외 1 종,063-450-2000,063-451-0101,455,도계육
군산2국가산업단지,(주)디앤에프,최영복,전북특별자치도 군산시 외항로 1169 (오식도동),24199,그 외 기타 1차 철강 제조업 외 1 종,063-447-2601,063-463-2693,24,"데크플레이트, 보데크"
군산국가산업단지,(주)디에스단석 군산1공장,"한승욱, 김종완",전북특별자치도 군산시 서해로 10 (소룡동) 외 4필지,20499,그 외 기타 분류 안된 화학제품 제조업 외 5 종,063-464-3541,063-464-3542,46," 납, 리튬 등, 순연, 동 등, 태양광발전업"
군산2국가산업단지,(주)디에스단석 군산2공장,"한승욱, 김종완",전북특별자치도 군산시 무역로 137 (오식도동),20499,그 외 기타 분류 안된 화학제품 제조업,063-464-8730,063-464-3542,46,PVC안정제
군산2국가산업단지,(주)디에스케이,황종석,전북특별자치도 군산시 새만금북로 139-46 (비응도동),31114,선박 구성 부분품 제조업,051-417-7800,051-417-7833,7,선박용 프로펠러
군산국가산업단지,(주)디엠씨,"김재갑, 타니이쿠마","전북특별자치도 군산시 외항로 884, [소룡동 1671] (소룡동, 대상㈜)",10620,전분제품 및 당류 제조업,063-472-6114,,9,덱스트린
군산2국가산업단지,(주)디케이텍,최용현,전북특별자치도 군산시 산단동서로 170 (오식도동),30320,자동차 차체용 신품 부품 제조업,063-471-9588,063-471-9587,6,"프레임, 에어클리너, SHAFT 등"
군산자유무역지역,(주)디티에스,김중일,전북특별자치도 군산시 오식도동 512-2 번지 외 9필지,29176,"증류기, 열교환기 및 가스발생기 제조업 외 3 종",070-4943-8504,063-471-8066,103,"증류기,열교환기 및 가스발생기제조업"
군산2국가산업단지,(주)라올바이오,정진호,전북특별자치도 군산시 외항로 925-9 (오식도동),29175,액체 여과기 제조업,02-6952-2599,02-6954-2599,3,액체 여과기
군산2국가산업단지,(주)라이브어스텍,김홍겸,전북특별자치도 군산시 무역로 62 (오식도동),20411,일반용 도료 및 관련제품 제조업 외 1 종,063-465-2506,063-465-2507,6,"도료, 비누"
군산성산농공단지,(주)라이팅경도,김길수,전북특별자치도 군산시 성산면 동군산로 136-4,28422,일반용 전기 조명장치 제조업 외 6 종,063-452-4024,063-452-4025,9,"LED조명,LED경관조명,형광등기구,가로등"
개별입지,(주)록산금속레이져,이영모,"전북특별자치도 군산시 공단대로 674 (소룡동, 록산금속레이저)",24199,그 외 기타 1차 철강 제조업 외 2 종,063-466-1984,063-466-1987,5,"벤딩철재, 금속절단절곡가공품"
군산2국가산업단지,(주)맥스파워코리아,우성강,전북특별자치도 군산시 산단남북로 134-18 (오식도동),25912,금속 단조제품 제조업,031-413-0609,031-411-8851,22,수공구 용품(몽키스패너 등)
군산2국가산업단지,(주)명성전기,김재순,전북특별자치도 군산시 외항로 913-3 (오식도동) 주식회사 제이씨,28123,배전반 및 전기 자동제어반 제조업,063-463-4433,063-463-4434,3,전기장비 및 수배전반
군산국가산업단지,(주)명신,"이태규, 이양섭",전북특별자치도 군산시 자유로 34 (소룡동) 외 9필지,30121,승용차 및 기타 여객용 자동차 제조업 외 1 종,041-530-9800,041-541-0120,204,"전기자동차, 자동차부품"
개별입지,(주)명품수산,명문갑,전북특별자치도 군산시 내항2길 311 (해망동),10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업",063-467-2811,063-471-2811,3,"액젖, 꽃게장, 수산건조식품"
군산2국가산업단지,(주)모듈러스쿨,윤정희,"전북특별자치도 군산시 외항로 1044 (오식도동, 대륜중공업)",25119,기타 구조용 금속제품 제조업 외 1 종,041-553-6945,041-553-6946,2,모듈러임시교사
개별입지,(주)무광특수강,장천식,전북특별자치도 군산시 나포면 서왕길 48 외 1필지,24312,강주물 주조업,063-453-8155,063-453-8156,18,레미콘 및 산업용부품
군산2국가산업단지,(주)미도 ,목진섭,"전북특별자치도 군산시 자유무역로 149 (오식도동, ㈜미도)",22241,운송장비 조립용 플라스틱제품 제조업 외 2 종,063-467-3033,063-467-3080,38,"자동차플라스틱 부품, 도장"
군산임피농공단지,(주)미래솔라엘이디,이현,전북특별자치도 군산시 임피면 항쟁로 43-51 외 1필지,28422,일반용 전기 조명장치 제조업 외 6 종,063-843-4311,063-854-4406,11,LED등기구
군산2국가산업단지,(주)미래엠에스,윤태봉,전북특별자치도 군산시 중가도길 64(오식도동),30332,자동차용 신품 전기장치 제조업 외 7 종,063-468-3322,,11,"전기제어컨트롤러, 무선통신장비 등"
군산2국가산업단지,(주)미래이앤아이,윤희복,전북특별자치도 군산시 중가도길 64 (오식도동),28111,전동기 및 발전기 제조업 외 7 종,02-2027-5858,02-2027-5855,6,"전동기 및 발전기, 액체여과기 등"
군산2국가산업단지,(주)밀투밸런스,조석호,전북특별자치도 군산시 군산산단로 128 (오식도동),20312,복합비료 및 기타 화학비료 제조업 외 3 종,063-732-3350,063-732-3352,7,"동물사료, 화학비료, 기타비료 등"
군산2국가산업단지,(주)반디로드,신남숙,전북특별자치도 군산시 중가도길 21 (오식도동),25113,육상 금속 골조 구조재 제조업 외 1 종,063-212-3302,063-212-3802,2,"가로등주, 신호등철주"
개별입지,(주)발산공업,강옥자,전북특별자치도 군산시 서수면 상장곤윗길 124,29210,농업 및 임업용 기계 제조업,063-451-3253,063-451-4487,3,농기계부품
새만금국가산업단지,(주)배터리솔루션,선양국,"전북특별자치도 군산시 새만금산단2로 134, (오식도동 1087) (오식도동)",28202,축전지 제조업 외 1 종,063-464-7811,063-464-7822,26,"이차전지, 이차전지, 이차전지"
군산국가산업단지,(주)백두이엔지,이길신,전북특별자치도 군산시 동장산로 120 (소룡동),25923,도장 및 기타 피막처리업,063-468-3778,063-468-3779,10,도장
군산서수농공단지,(주)백제,김종욱,전북특별자치도 군산시 서수면 상장곤윗길 88,22211,"플라스틱 선, 봉, 관 및 호스 제조업 외 6 종",063-451-5003,063-451-0890,4,플라스틱 파이프
군산국가산업단지,(주)백현이앤에스,강영규,전북특별자치도 군산시 동장산로 130-24(소룡동),28111,전동기 및 발전기 제조업,070-4334-0458,02-6953-0610,23,태양광발전장치
군산2국가산업단지,(주)번영중공업,김광중,"전북특별자치도 군산시 군산산단로 170-30 (오식도동, 번영중공업)",31114,선박 구성 부분품 제조업 외 5 종,063-466-9904,063-467-7764,32,"선박구성품, 크레인, 컨베이어, 프레스금형, 가물막이"
군산옥구농공단지,(주)베네테크,이동옥,전북특별자치도 군산시 옥구읍 광월안길 20,25112,구조용 금속 판제품 및 공작물 제조업 외 9 종,063-433-4332,063-433-9433,10,"각종탱크류, 각재, 목재판제,데크,디자인울타리,교통신호등, 놀이터용 장비, 조형물,토목용보강재외"
군산2국가산업단지,(주)베스코,박형근,전북특별자치도 군산시 동가도길 62 (오식도동),25122,금속탱크 및 저장용기 제조업 외 2 종,063-463-0570,063-468-0573,27,"압력용기, 조립금속"
군산2국가산업단지,(주)벤투스,"이관용, 이규호","전북특별자치도 군산시 외항로 1170 (오식도동, ㈜벤투스)",25923,도장 및 기타 피막처리업 외 4 종,063-461-8900,063-461-8904,13,"도장 및 기타 피막처리전기난방기기, 선박용 배관 및 철구조물"
군산국가산업단지,(주)벤투스,"이관용, 이규호",전북특별자치도 군산시 자유로 219(소룡동),25112,구조용 금속 판제품 및 공작물 제조업 외 1 종,063-461-8900,063-461-8904,15,철제교량난간
군산2국가산업단지,(주)보광,정혜영,전북특별자치도 군산시 중가도길 21 (오식도동),30399,그 외 자동차용 신품 부품 제조업 외 3 종,070-4350-3627,070-4369-1512,7,자동차부품(레이저단품)
군산2국가산업단지,(주)부림씨앤에스,정태규,전북특별자치도 군산시 산단남북로 36 (오식도동),16229,기타 건축용 나무제품 제조업 외 7 종,063-468-0636,063-468-0638,14,"방음판(목재, 알루미늄), 조경시설물, 투명방음판, 울타리등"
군산2국가산업단지,(주)부성기공,김제호,전북특별자치도 군산시 무역로 48(오식도동),25122,금속탱크 및 저장용기 제조업,063-461-5656,063-466-2626,7,금속탱크 및 저장용기
군산국가산업단지,(주)부송산업기계,양의영,"전북특별자치도 군산시 외항로 819 (소룡동, 경진기계)",29176,"증류기, 열교환기 및 가스발생기 제조업 외 1 종",063-464-7070,063-464-7072,4,"열교환기, 증기발생보일러 보조장치 및 부분품"
군산2국가산업단지,(주)부일건설산업 부일씨엠이지점,정연호,"전북특별자치도 군산시 중가도길 91 (오식도동, (주)부일건설산업)",25113,육상 금속 골조 구조재 제조업 외 1 종,063-466-2229,,22,철구조물
군산임피농공단지,(주)비모빌리티,김윤재,,28202,축전지 제조업 외 1 종,063-466-0170,,10,"배터리 2차전지, 모빌리티 충전기"
군산2국가산업단지,(주)비앤디하이텍,최학규,"전북특별자치도 군산시 오식도동 833번지 8,9,10,11,12,13",20499,그 외 기타 분류 안된 화학제품 제조업 외 1 종,063-464-0303,063-464-0055,50,"과수안정제, 스케일방지제"
군산국가산업단지,(주)비앤비,손재호,전북특별자치도 군산시 산단로 134-16 (소룡동),20499,그 외 기타 분류 안된 화학제품 제조업 외 1 종,031-377-7833,031-376-9786,12,"혼화제, 화장품 원료 등"
군산2국가산업단지,(주)비에스엠신소재 군산공장,이종길,"전북특별자치도 군산시 산단남북로 153-20(오식도동, 비에스엠신소재)",29174,기체 여과기 제조업 외 3 종,063-464-5495,063-911-5495,30,"필터(자동차용, 공기청정기용), 첨착활성탄, 구리니켈코팅, 옥외용벤치, 발열전기패널"
군산국가산업단지,(주)비케이에너지,박영실,"전북특별자치도 군산시 서해로 225 (소룡동, (주)광진기계)",31113,기타 선박 건조업 외 5 종,061-643-0085,061-641-0100,5,"태양광발전장치, 해상부력체, 조립식구조물, 세라믹볼"
군산국가산업단지,(주)비티엑스코리아,박성준,전북특별자치도 군산시 소룡동번지 1641-2번지 외 1필지 외 1필지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,063-468-8922,063-467-0019,136,"도어리치, 엔진마운틴브라켓"
군산2국가산업단지,(주)산우,공석범,전북특별자치도 군산시 산단동서로 87 (오식도동),24211,"동 제련, 정련 및 합금 제조업 외 1 종",063-467-7880,,38,"동선, 동괴 등"
군산서수농공단지,(주)삼광에프엔씨,박재필,전북특별자치도 군산시 서수면 상장곤윗길 30 (삼광유지공업㈜),10401,동물성 유지 제조업,063-451-4711,063-451-4710,31,사료용유지
개별입지,(주)삼덕아스콘,양복순,전북특별자치도 군산시 성산면 왕골로 277 (삼덕아스콘),23991,아스팔트 콘크리트 및 혼합제품 제조업,063-453-7711,063-453-7900,5,아스콘
군산2국가산업단지,(주)삼보캐피탈,이미애,전북특별자치도 군산시 외항로 961 (오식도동),25119,기타 구조용 금속제품 제조업,031-431-1122,031-431-1144,1,컨테이너
군산2국가산업단지,(주)삼성목재,김윤정,전북특별자치도 군산시 산단동서로 44-43 (오식도동),16101,일반 제재업 외 5 종,063-468-3400,063-442-0017,8,"제재목, 방부목, 목재, 깔판용 적재판, 목재 포장용 팔레트 "
군산국가산업단지,(주)삼성종합물류,김덕중,전북특별자치도 군산시 자유로 41 (소룡동),23112,안전유리 제조업 외 1 종,063-466-3758,063-462-0098,23,자동차용 유리 가공
군산서수농공단지,(주)삼우임산,김훈,전북특별자치도 군산시 서수면 상장곤윗길 89 (㈜삼우임산) (총 2 필지) 외 1필지,30320,자동차 차체용 신품 부품 제조업 외 2 종,063-451-1271,063-451-1274,29,자동차 적재함용 목재
군산국가산업단지,(주)삼우테크 군산지점,고제방,전북특별자치도 군산시 소룡동번지 1596-8번지,30399,그 외 자동차용 신품 부품 제조업 외 3 종,032-813-7511,032-813-7517,30,Axle Ass'y
군산국가산업단지,(주)삼원오토텍,우영제,"전북특별자치도 군산시 외항로 758 (소룡동, (주)삼원오토텍)",22241,운송장비 조립용 플라스틱제품 제조업 외 1 종,063-467-2145,063-467-2148,55,I/P SIDE LH
군산일반산업단지,(주)삼원중공업,한창범,"전북특별자치도 군산시 외항1길 32-46 (소룡동, 삼원기업)",31111,강선 건조업 외 3 종,063-468-8711,063-468-8710,34,선박
군산국가산업단지,(주)삼원중공업,한창범,"전북특별자치도 군산시 동장산로 105-13 (소룡동, 한은산업개발)",31111,강선 건조업 외 2 종,063-468-8711,063-468-8720,26,"선박, 선박부분품"
군산국가산업단지,(주)삼원중공업,한창범,전북특별자치도 군산시 동장산로 101 (소룡동),31111,강선 건조업 외 2 종,063-468-8711,063-468-8720,26,선박
군산2국가산업단지,(주)삼원중공업 제3공장,한창범,"전북특별자치도 군산시 새만금북로 365 (오식도동, (주)한원엔지니어링)",31111,강선 건조업 외 2 종,063-468-8711,063-468-8720,35,선박
군산2국가산업단지,(주)삼인코리아,서상혁,전북특별자치도 군산시 산단남북로 77 (오식도동),25113,육상 금속 골조 구조재 제조업,063-471-6713,02-571-3356,4,복공판
군산2국가산업단지,(주)삼일씨엔에스,윤성용,전북특별자치도 군산시 비응도동 36-6번지,25113,육상 금속 골조 구조재 제조업 외 5 종,070-4332-4211,063-731-2902,275,조립구조제 및 저장탱크 등
군산일반산업단지,(주)삼표시멘트 군산사업소,이종석,,23311,시멘트 제조업,063-467-6898,063-467-6898,2,시멘트
군산옥구농공단지,(주)삼호네트,박남민,전북특별자치도 군산시 옥구읍 광월안길 6 (삼호네트),13922,어망 및 기타 끈 가공품 제조업,063-464-9705,063-464-9708,16,어망
군산국가산업단지,(주)삼화,김종식,전북특별자치도 군산시 소룡동번지 1635-4번지,30320,자동차 차체용 신품 부품 제조업 외 1 종,055-852-4700,055-852-5437,12,상용차 프레임용 MBR
군산옥구농공단지,(주)상원아이엠엘,김성훈,전북특별자치도 군산시 옥구읍 광월안길 42,22232,포장용 플라스틱 성형용기 제조업,063-464-9641,063-464-9643,22,플라스틱용기
개별입지,(주)상원이앤지,황제민,전북특별자치도 군산시 임피면 서원석곡로 488-3,24229,"기타 비철금속 압연, 압출 및 연신 제품 제조업 외 2 종",063-453-8896,063-453-8895,5,"판,시트, 박제조"
군산국가산업단지,(주)새만금스틸,장경수,전북특별자치도 군산시 소룡동 1648-8번지 외 1필지,31114,선박 구성 부분품 제조업,063-463-9714,,6,선박구성부분(구조물등)
군산일반산업단지,(주)새한염공,한수철,"전북특별자치도 군산시 외항1길 32-68 (소룡동, 새한염공)",13402,"직물, 편조원단 및 의복류 염색 가공업",063-466-7250,063-466-7244,78,염색
군산2국가산업단지,(주)서린,최호범,전북특별자치도 군산시 무역로 76 (오식도동),22251,폴리스티렌 발포 성형제품 제조업,063-464-9769,063-471-9326,28,준불연성 단열재
군산자유무역지역,(주)서울정밀,김용세,전북특별자치도 군산시 자유무역2길 15 (오식도동),30331,자동차용 신품 동력전달장치 제조업 외 1 종,063-461-6012,063-461-6014,42,자동차용 동력전달장치용 부품
군산국가산업단지,(주)서울화학연구소군산지점,오주현,"전북특별자치도 군산시 생멀로 67 (소룡동, 서울화학연구소)",20411,일반용 도료 및 관련제품 제조업,063-466-0797,,10,솔더레지스트잉크 외
개별입지,(주)서진,전연숙,전북특별자치도 군산시 대야면 고척길 21,17221,종이 포대 및 가방 제조업,063-451-6670,063-451-6671,10,지대(종이포대)
군산2국가산업단지,(주)서흥산업기계,김기동,"전북특별자치도 군산시 외항로 917 (오식도동, ㈜서흥산업기계)",29250,음ㆍ식료품 및 담배 가공기계 제조업 외 1 종,063-468-5404,,7,"산업용기계, 농업및영업용기계제조"
군산2국가산업단지,(주)선우산업,위재선,전북특별자치도 군산시 산단남북로 145 (오식도동),25923,도장 및 기타 피막처리업,070-4238-6347,063-471-9974,34,도장
군산2국가산업단지,(주)선일스틸,"권중기, 경정수",전북특별자치도 군산시 외항로 905-8 (오식도동),24199,그 외 기타 1차 철강 제조업,063-467-2240,,25,"Steel frame, case"
군산2국가산업단지,(주)선진,이범권,전북특별자치도 군산시 오식도동 816번지,10801,배합 사료 제조업 외 1 종,031-644-1731,031-637-1186,80,배합사료
