순번,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원 수
35,샌드○○○,비금속광물 분쇄물 생산업,"23993, ",충청북도 괴산군 청안면 조천리 759-5 외 5필지,,043-836-9915,5
79,유성○○○,비금속광물 분쇄물 생산업,"23993, ",충청북도 괴산군 청천면 금평리 11-5번지 외 1필지,043-832-4700,043-832-4211,3
80,유성○○○○○○○,비금속광물 분쇄물 생산업,"23993, ",충청북도 괴산군 청천면 청천리 148-1번지 외 1필지,043-832-4700,043-832-4211,12
139,금강○○○○○○○○,부직포 및 펠트 제조업,"13992, ",충청북도 괴산군 괴산읍 검승리 102-5번지,***-****-****,,11
168,흙살○○○○,복합비료 및 기타 화학비료 제조업 외 4 종,"20312, 10901, 10902, 10903, 20313",충청북도 괴산군 불정면 앵천리 528번지,043-216-2958,043-216-2959,6
266,대○,복합비료 및 기타 화학비료 제조업 외 4 종,"20312, 20313, 20321, 20322, 21230",충청북도 괴산군 괴산읍 제월리 908 공장 외 2필지,043-834-3012,02-542-8065,40
179,현대○○○○,복합비료 및 기타 화학비료 제조업 외 3 종,"20312, 20313, 23211, 23212",충청북도 괴산군 청안면 조천리 980번지 신성미네랄,,,1
103,태준○○○○,복합비료 및 기타 화학비료 제조업 외 2 종,"20312, 20321, 20322",충청북도 괴산군 괴산읍 제월리 879번지,031-737-2922,031-737-2923,9
9,농업○○○,복합비료 및 기타 화학비료 제조업 외 1 종,"20312, 20313",충청북도 괴산군 청안면 금신리 387-3번지,032-863-9422,,4
52,신성○○○,복합비료 및 기타 화학비료 제조업 외 1 종,"20312, 20313",충청북도 괴산군 괴산읍 제월리 882 외 1필지,043-832-0334,043-832-0335,3
105,토림○○,복합비료 및 기타 화학비료 제조업 외 1 종,"20312, 20313",충청북도 괴산군 청안면 장암리 16-1번지 외 2필지,031-440-9868,031-440-9878,4
106,토비○○,복합비료 및 기타 화학비료 제조업 외 1 종,"20312, 20313",충청북도 괴산군 불정면 추산리 353번지,043-833-2703,043-833-2707,1
149,농협○○○○○○○○○○○,복합비료 및 기타 화학비료 제조업 외 1 종,"20312, 20313",충청북도 괴산군 사리면 중흥리 234번지,043-836-8627,043-838-1003,15
207,보양○○,복합비료 및 기타 화학비료 제조업 외 1 종,"20312, 20313",충청북도 괴산군 사리면 수암리 567-1번지,043-833-8627,043-269-1991,1
243,연우○,복합비료 및 기타 화학비료 제조업 외 1 종,"20312, 20313",충청북도 괴산군 연풍면 행촌리 343번지 외 2필지,043-833-0979,043-833-0980,7
87,제이○○○○,배전반 및 전기 자동제어반 제조업 외 6 종,"28123, 25112, 25113, 25122, 27215, 27216, 28122",충청북도 괴산군 괴산읍 동부리 58-177번지,043-272-6611,031-272-6610,5
43,수도○○○○,배전반 및 전기 자동제어반 제조업 외 4 종,"28123, 27215, 27216, 28121, 28122",충청북도 괴산군 사리면 방축리 430-16 에스앤에스산업 2층 204호,043-881-0360,043-881-0361,7
338,하나○○○,배전반 및 전기 자동제어반 제조업 외 4 종,"28123, 27215, 27216, 28121, 28122",충청북도 괴산군 사리면 방축리 430-16 에스앤에스산업 2층,043-269-2601,,9
330,태멘○○○,배전반 및 전기 자동제어반 제조업 외 3 종,"28123, 26421, 26429, 27216",충청북도 괴산군 괴산읍 대사리 335,041-732-7133,,0
17,대현○○○,배전반 및 전기 자동제어반 제조업 외 2 종,"28123, 27215, 27216","충청북도 괴산군 사리면 방축리 430-16 에스앤에스산업 2층, 205호",043-838-0444,043-838-0445,5
49,신성○○○,배전반 및 전기 자동제어반 제조업 외 1 종,"28123, 27215",충청북도 괴산군 사리면 방축리 430-16 에스앤에스산업 2층 202호,043-836-9630,043-836-9653,4
183,대기○○○○,배전반 및 전기 자동제어반 제조업 외 1 종,"28123, 25923",충청북도 괴산군 사리면 화산리 277-1번지,043-833-1967,043-833-1967,0
128,고려○○○,방송장비 제조업 외 5 종,"26421, 26429, 27214, 27215, 28122, 28123",충청북도 괴산군 청안면 운곡리 433번지,043-838-7204,043-838-7208,8
289,예승○○○○,방송장비 제조업 외 3 종,"26421, 26310, 26429, 26511",충청북도 괴산군 사리면 방축리 512-1 외 4필지,070-4048-7378,,9
50,신성○○○,반려동물용 사료 제조업 외 9 종,"10901, 10902, 10903, 20312, 20313, 23211, 23212, 27214, 27215, 28123",충청북도 괴산군 청안면 조천리 980번지 외 2필지,043-836-9630,043-836-9653,39
131,괴산○○○○○○○,반려동물용 사료 제조업 외 4 종,"10901, 10902, 10903, 20312, 20313",충청북도 괴산군 괴산읍 서부리 708번지,043-830-2720,043-834-5675,5
116,함○,반려동물용 사료 제조업 외 2 종,"10901, 10129, 10903",충청북도 괴산군 불정면 세평리 357-3번지 외 2필지,,051-980-0524,3
344,한살○○○○○○○,반려동물용 사료 제조업 외 2 종,"10901, 10902, 10903",충청북도 괴산군 괴산읍 검승리 23 외 4필지,043-833-0052,043-833-8625,12
346,한우○○,반려동물용 사료 제조업 외 2 종,"10901, 10902, 10903",충청북도 괴산군 연풍면 적석리 254-1번지 외 3필지,043-833-1900,043-833-6699,5
249,유한○○○○○○,반려동물용 사료 제조업 외 1 종,"10901, 10903",충청북도 괴산군 불정면 세평리 357-3,043-832-1363,043-832-1365,4
252,이엔○○○,반려동물용 사료 제조업 외 1 종,"10901, 10903",충청북도 괴산군 괴산읍 동부리 산 27번지 중원대학교 창업보육센터 산학협력관 418호,,,1
326,코스○○○,반려동물용 사료 제조업 외 1 종,"10901, 10902",충청북도 괴산군 청안면 금신리 447번지,043-760-7830,043-760-7840,10
196,마그○○,반도체 제조용 기계 제조업,"29271, ",충청북도 괴산군 괴산읍 제월리 902번지,043-276-8599,043-269-5598,54
201,미테○○,반도체 제조용 기계 제조업,"29271, ",충청북도 괴산군 괴산읍 제월리 902,,070-8610-8599,2
232,아이○○○○,반도체 제조용 기계 제조업,"29271, ",충청북도 괴산군 괴산읍 제월리 902,043-276-8599,,0
258,재단○○○○○○○,목재문 및 관련제품 제조업,"16221, ",충청북도 괴산군 장연면 방곡리 58번지 외 4필지,,02-452-3586,10
291,원스○○○○○○○○○,"목재 포장용 상자, 드럼 및 유사용기 제조업","16232, ",충청북도 괴산군 사리면 사담리 748 원스톱 국제물류 외 1필지,043-838-6606,,0
270,면○,"면류, 마카로니 및 유사식품 제조업 외 1 종","10820, 10513",충청북도 괴산군 괴산읍 능촌리 1069 농업법인 쿱도우,043-760-7300,,10
173,아이○○○,맥아 및 맥주 제조업,"11112, ",충청북도 괴산군 장연면 방곡리 607-4번지 (방곡리 607-4),043-832-8851,043-832-8856,3
2,괴산○○○,레미콘 제조업,"23322, ",충청북도 괴산군 문광면 송평리 95-1 괴산레미콘 외 28필지,043-832-1701,043-832-1704,11
313,중앙○○○,레미콘 제조업,"23322, ",충청북도 괴산군 감물면 백양리 541-3번지,043-834-0690,043-834-0693,13
18,덕산○○,떡류 제조업 외 4 종,"10601, 10513, 10820, 10832, 10894",충청북도 괴산군 사리면 이곡리 30번지 외 2필지,043-833-2100,043-833-2179,87
279,뻐꾸○,떡류 제조업 외 2 종,"10601, 10513, 10820",충청북도 괴산군 괴산읍 대덕리 570-5번지,043-833-1800,070-8786-9986,12
171,뜨○,두부 및 유사식품 제조업 외 1 종,"10894, 10899",충청북도 괴산군 괴산읍 대덕리 570-3,,,8
348,화성○○,두부 및 유사식품 제조업,"10894, ",충청북도 괴산군 사리면 수암리 47-8번지,043-832-1231,043-832-1232,7
82,이엠○○○,동력식 수지공구 제조업 외 2 종,"29193, 29172, 29173",충청북도 괴산군 사리면 방축리 408-1 이엠이앤씨,031-337-7263,,4
124,JC○○○○○○○○○○,도시락류 제조업 외 2 종,"10701, 10709, 10832",충청북도 괴산군 소수면 길선리 367-2번지 외 7필지,043-834-9293,,1
212,삼진○○○○○○○○,"도금, 착색 및 기타 표면처리강재 제조업","24191, ",충청북도 괴산군 문광면 송평리 131-4 외 1필지,043-832-7688,,5
213,삼진○○○○○○○○,"도금, 착색 및 기타 표면처리강재 제조업","24191, ",충청북도 괴산군 문광면 송평리 134번지,043-832-7689,043-832-7690,7
222,소토○○,단미 사료 및 기타 사료 제조업,"10903, ",충청북도 괴산군 괴산읍 동부리 5 중원대학교 215호,,,1
238,어울○○○○,농업 및 임업용 기계 제조업,"29210, ",충청북도 괴산군 괴산읍 동부리 산 27번지 중원대학교 중원대학교 창업보육센터 416호,,,3
135,괴산○,김치류 제조업 외 3 종,"10301, 10302, 10309, 10833",충청북도 괴산군 청안면 효근리 243-4번지 공장,043-838-1012,043-838-1023,4
114,피케○○○○○,김치류 제조업 외 2 종,"10301, 10302, 10892",충청북도 괴산군 사리면 화산리 444번지,043-833-9515,043-833-9595,6
263,건강○○○,김치류 제조업 외 2 종,"10301, 10302, 10309",충청북도 괴산군 괴산읍 능촌리 1052번지,043-832-3100,043-834-8116,19
30,보성○○○○○○,김치류 제조업 외 1 종,"10301, 10302",충청북도 괴산군 소수면 길선리 341-9 번지,043-873-9177,043-873-9179,10
133,괴산○○○○○○,김치류 제조업 외 1 종,"10301, 10302",충청북도 괴산군 문광면 송평리 28번지,043-833-3500,043-833-3553,3
170,괴산○○○○,김치류 제조업 외 1 종,"10301, 10302",충청북도 괴산군 문광면 광덕리 270-3번지,043-833-2961,043-833-2962,9
216,서부○○,김치류 제조업 외 1 종,"10301, 10302",충청북도 괴산군 사리면 중흥리 207-2번지 외 1필지,043-838-4586,043-838-4585,18
257,자연○○,김치류 제조업 외 1 종,"10301, 10302",충청북도 괴산군 감물면 이담리 1019-3번지 외 1필지,,043-833-3437,0
169,하늘○○,김치류 제조업,"10301, ",충청북도 괴산군 괴산읍 서부리 690-4,043-544-1537,043-543-3551,5
299,제이○○○○,김치류 제조업,"10301, ",충청북도 괴산군 사리면 방축리 633-7,043-223-8800,,12
140,금아○○○○,기타 직물제품 제조업 외 2 종,"13229, 21301, 21309",충청북도 괴산군 사리면 방축리 512번지,043-838-0611,02-3282-3670,13
100,크린○○○,기타 직물제품 제조업,"13229, ",충청북도 괴산군 사리면 소매리 730 외 2필지,043-838-6660,043-838-6670,2
228,신풍○○○○,기타 종이 및 판지 제조업 외 2 종,"17109, 17103, 17106",충청북도 괴산군 연풍면 원풍리 635-2번지,043-833-3223,043-833-2878,1
184,대덕○○,기타 식품 첨가물 제조업 외 1 종,"10839, 10309",충청북도 괴산군 괴산읍 대덕리 278-1번지,043-832-3488,043-832-3655,1
190,덕소○○,기타 식품 첨가물 제조업,"10839, ",충청북도 괴산군 사리면 이곡리 80-1번지,043-832-1485,043-832-1485,4
219,세○,기타 식품 첨가물 제조업,"10839, ",충청북도 괴산군 소수면 길선리 341-8번지 L동,,,1
256,자연○○○○○○○○○○,기타 식품 첨가물 제조업,"10839, ",충청북도 괴산군 칠성면 율원리 산 4-16,043-760-7090,043-760-4510,10
284,에이○○○○,기타 식품 첨가물 제조업,"10839, ",충청북도 괴산군 청안면 청용리 1082,043-872-7922,043-872-7924,40
294,이로○○○○○○○,기타 식품 첨가물 제조업,"10839, ",충청북도 괴산군 칠성면 율원리 1267,043-760-4852,,3
275,베지○○,기타 식사용 가공처리 조리식품 제조업,"10709, ","충청북도 괴산군 소수면 길선리 산119-8 JC청정산업 나동 1층,2층",032-815-3006,032-815-3007,40
333,태○,기타 수산동물 가공 및 저장 처리업 외 1 종,"10219, 10832","충청북도 괴산군 소수면 길선리 341-6번지 A동, F동 (341-6번지)",043-832-7555,043-832-7559,0
295,이로○○○○○○○,기타 수산동물 가공 및 저장 처리업,"10219, ",충청북도 괴산군 칠성면 율원리 산3,043-760-4852,,13
298,정어○,기타 수산동물 가공 및 저장 처리업,"10219, ",충청북도 괴산군 칠성면 율원리 산3,043-760-4511,,13
42,소닉○,기타 석제품 제조업 외 1 종,"23919, 22222",충청북도 괴산군 소수면 고마리 291-10번지,043-833-0874,,17
217,서울○○,기타 석제품 제조업 외 1 종,"23919, 23911",충청북도 괴산군 사리면 사담리 597-6번지,043-836-8327,043-836-8328,5
255,일원○○,기타 석제품 제조업 외 1 종,"23919, 23911",충청북도 괴산군 사리면 사담리 584-1번지,043-1211-6354,,4
86,자연○○,기타 비알코올 음료 제조업,"11209, ",충청북도 괴산군 청안면 조천리 1057-2번지,032-468-5015,,5
163,해피○○○,기타 비알코올 음료 제조업,"11209, ",충청북도 괴산군 괴산읍 능촌리 1050번지,043-760-8002,043-760-8006,14
8,네패○○○○○○○,기타 반도체소자 제조업,"26129, ",충청북도 괴산군 청안면 조천리 산13-4,043-240-0337,,121
125,㈜네○○○○,기타 반도체소자 제조업,"26129, ",충청북도 괴산군 청안면 조천리 1711-1 외 2필지,043-240-0337,,185
305,청가○○○,기타 물품 취급장비 제조업 외 1 종,"29169, 25111",충청북도 괴산군 소수면 아성리 133번지,043-833-5633,,3
121,(합○○○○○,기타 기초 무기 화학물질 제조업,"20129, ",충청북도 괴산군 청천면 후평리 1-1번지 외 1필지,043-833-6857,043-833-6858,4
329,태경○○,기타 기초 무기 화학물질 제조업,"20129, ",충청북도 괴산군 문광면 대명리 53-0번지,043-833-2103,043-833-2105,24
110,펄메○○,기타 구조용 금속제품 제조업,"25119, ",충청북도 괴산군 청안면 금신리 664번지,043-838-5076,043-838-5072,1
126,가온○○○,기타 구조용 금속제품 제조업,"25119, ",충청북도 괴산군 문광면 문법리 428-1번지,043-838-7157,,3
218,성지○○○,기타 구조용 금속제품 제조업,"25119, ",충청북도 괴산군 괴산읍 대덕리 564,043-877-9701,043-877-9703,100
246,우리○○○○○○,기타 구조용 금속제품 제조업,"25119, ",충청북도 괴산군 괴산읍 대덕리 564,044-866-8092,044-866-8092,0
276,불스○,기타 구조용 금속제품 제조업,"25119, ",충청북도 괴산군 괴산읍 대덕리 564,02-712-9291,,16
159,고려○○,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,"10309, 10897",충청북도 괴산군 불정면 삼방리 295번지 외 1필지,043-834-8979,043-834-8980,4
147,내추○○,기타 과실ㆍ채소 가공 및 저장 처리업,"10309, ",충청북도 괴산군 괴산읍 대덕리 583,043-833-7317,,15
148,내추○○,기타 과실ㆍ채소 가공 및 저장 처리업,"10309, ",충청북도 괴산군 감물면 이담리 869-1,043-833-7317,043-731-7318,0
151,목○,기타 과실ㆍ채소 가공 및 저장 처리업,"10309, ",충청북도 괴산군 괴산읍 대덕리 574-1,043-834-8336,043-834-8337,45
160,고운○○,기타 과실ㆍ채소 가공 및 저장 처리업,"10309, ",충청북도 괴산군 불정면 신흥리 607-5 은행골친환경작목반,,,0
244,영농○○○○○○,기타 과실ㆍ채소 가공 및 저장 처리업,"10309, ",충청북도 괴산군 칠성면 두천리 175번지,043-834-2982,043-834-2983,4
262,가치○○,기타 과실ㆍ채소 가공 및 저장 처리업,"10309, ",충청북도 괴산군 사리면 사담리 870-8 외 4필지,043-838-5556,02-2271-2520,12
177,항암○○○○○○○○○○○,기타 곡물 가공품 제조업 외 1 종,"10519, 10511",충청북도 괴산군 괴산읍 능촌리 산 41번지,043-760-7101,043-832-8220,21
138,군자○○○○○○○,기타 곡물 가공품 제조업,"10519, ",충청북도 괴산군 장연면 오가리 361번지,043-832-7331,,5
155,월드○○,기타 곡물 가공품 제조업,"10519, ",충청북도 괴산군 장연면 추점리 688,043-832-7375,043-832-7274,51
288,엠케○○○○○,기타 건축용 플라스틱 조립제품 제조업 외 1 종,"22229, 22199",충청북도 괴산군 청안면 청용리 323-1번지,043-836-1002,043-836-1231,3
312,중부○○○○○,기타 건축용 플라스틱 조립제품 제조업 외 1 종,"22229, 22299",충청북도 괴산군 괴산읍 검승리 102-1번지 검승리 102-1 외 2필지,043-833-0866,043-833-0867,12
5,나무○○,기타 건축용 나무제품 제조업,"16229, ",충청북도 괴산군 소수면 고마리 285번지,043-832-6623,043-832-6624,2
187,대웅○○○○,기타 가정용 전기기기 제조업,"28519, ",충청북도 괴산군 사리면 방축리 430-16번지,070-7124-7140,043-836-7864,4
248,유니○○,기타 가공 공작기계 제조업,"29229, ",충청북도 괴산군 사리면 중흥리 154-2번지,043-836-7672,043-836-7675,8
347,홍성○○,기타 1차 비철금속 제조업 외 4 종,"24290, 19229, 23995, 25112, 30320",충청북도 괴산군 괴산읍 동부리 58-14번지,043-833-4725,043-833-4728,48
311,준테○,기타 1차 비철금속 제조업 외 1 종,"24290, 25929",충청북도 괴산군 청안면 금신리 601-2,043-838-1701,043-838-1702,8
76,원일○○,금속선 가공제품 제조업 외 2 종,"25944, 25113, 25114",충청북도 괴산군 사리면 화산리 464-2번지,043-832-9797,043-832-9798,4
205,보광○○,금속선 가공제품 제조업,"25944, ",충청북도 괴산군 청안면 문방리 92-1번지 신하리싸이텍 B동,043-832-5015,043-832-5007,5
274,베아○○○,금속 위생용품 제조업,"25993, ",충청북도 괴산군 사리면 노송리 351-1 주영기업 베아티투도 공장,02-425-5535,02-425-5536,4
97,친환○○○,"금속 문, 창, 셔터 및 관련제품 제조업","25111, ",충청북도 괴산군 괴산읍 동부리 58-12 웹스,043-213-9239,043-216-9239,4
267,동○,"금속 문, 창, 셔터 및 관련제품 제조업","25111, ",충청북도 괴산군 불정면 삼방리 488-3번지,043-834-7107,043-834-7106,1
210,삼보○○○○,그 외 자동차용 신품 부품 제조업 외 3 종,"30399, 30391, 30392, 30400",충청북도 괴산군 사리면 방축리 610번지,043-820-4333,043-836-7835,177
211,삼보○○○○○○○,그 외 자동차용 신품 부품 제조업 외 3 종,"30399, 30391, 30392, 30400",충청북도 괴산군 사리면 방축리 613-3번지 외 1필지,043-820-4333,043-836-7835,20
195,디자○○○,그 외 기타 플라스틱 제품 제조업 외 3 종,"22299, 25994, 25999, 33910",충청북도 괴산군 청안면 금신리 601-4,,0504-159-2134,1
214,상진○○○○,그 외 기타 플라스틱 제품 제조업 외 3 종,"22299, 13999, 31999, 32099",충청북도 괴산군 사리면 수암리 182번지 외 1필지,050-5720-0800,050-5720-0801,4
130,괴산○○○,그 외 기타 플라스틱 제품 제조업,"22299, ",충청북도 괴산군 괴산읍 서부리 28-1번지,043-834-3378,043-832-2414,10
269,메인○○○,그 외 기타 플라스틱 제품 제조업,"22299, ",충청북도 괴산군 괴산읍 대사리 346,031-572-7872,,6
340,하영○○○○,그 외 기타 플라스틱 제품 제조업,"22299, ",충청북도 괴산군 청안면 금신리 111-1번지,,,5
341,한국○○○○,그 외 기타 특수목적용 기계 제조업 외 3 종,"29299, 25112, 25991, 28123",충청북도 괴산군 사리면 방축리 445,031-759-1233,031-753-1190,2
48,시티○○○○,그 외 기타 특수목적용 기계 제조업 외 2 종,"29299, 23991, 23999",충청북도 괴산군 괴산읍 제월리 881번지 대제산업단지 외 1필지,031-266-7465,031-266-7079,5
84,인터○○○,그 외 기타 콘크리트 제품 및 유사제품 제조업 외 2 종,"23329, 23325, 23326",충청북도 괴산군 괴산읍 제월리 885번지,043-832-5540,043-832-5541,20
55,아이○○,그 외 기타 전자부품 제조업 외 1 종,"26299, 26294",충청북도 괴산군 사리면 방축리 633-1번지,043-217-7028,,5
143,네패○○○○,그 외 기타 전자부품 제조업,"26299, ",충청북도 괴산군 청안면 조천리 1006-1,043-240-0391,,12
144,네패○○○○,그 외 기타 전자부품 제조업,"26299, ",충청북도 괴산군 청안면 조천리 1711,043-240-0226,,17
191,동부○○○,그 외 기타 전자부품 제조업,"26299, ",충청북도 괴산군 청안면 금신리 569-3 제2종근린생활시설(제조업소),,,0
59,에이○○○○○,그 외 기타 의료용 기기 제조업,"27199, ",충청북도 괴산군 불정면 지장리 284번지,043-832-8841,043-832-8840,1
70,와이○○○,그 외 기타 식료품 제조업,"10899, ",충청북도 괴산군 불정면 지장리 301 삼익농장,070-5147-0651,0504-4655-5739,2
21,동우○,그 외 기타 분류 안된 화학제품 제조업 외 3 종,"20499, 20411, 20495, 21301",충청북도 괴산군 불정면 삼방리 488-3번지,043-834-7100,043-834-7105,9
56,아이○○○○○○,그 외 기타 분류 안된 화학제품 제조업 외 1 종,"20499, 21301",충청북도 괴산군 청안면 조천리 1707,043-217-7028,043-217-7024,20
104,터치○○,그 외 기타 분류 안된 화학제품 제조업 외 1 종,"20499, 21301",충청북도 괴산군 괴산읍 제월리 889-1번지,070-4917-9979,043-881-9970,12
277,블루○○○○,그 외 기타 분류 안된 화학제품 제조업 외 1 종,"20499, 21301",충청북도 괴산군 괴산읍 제월리 903-1,,,2
287,엘에○○,그 외 기타 분류 안된 화학제품 제조업 외 1 종,"20499, 21301",충청북도 괴산군 청안면 청용리 괴산첨단산업단지 산업용지 7-3,043-904-3468,,110
220,세진○○○○,그 외 기타 분류 안된 비금속 광물제품 제조업 외 1 종,"23999, 23991",충청북도 괴산군 괴산읍 제월리 881-3 세진종합기술,031-711-9873,031-266-7079,2
3,교통○○,그 외 기타 분류 안된 비금속 광물제품 제조업,"23999, ",충청북도 괴산군 연풍면 원풍리 649-1 제조업소,,,3
235,아이○○,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,"25999, 25113, 25995",충청북도 괴산군 사리면 방축리 22-12,043-271-0361,043-272-0361,6
141,남일○○,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,"25999, 25995",충청북도 괴산군 청안면 금신리 387-2번지 하이뷰디스플레이테크,043-836-0060,,1
242,엠아○○○○○,그 외 기타 달리 분류되지 않은 제품 제조업,"33999, ",충청북도 괴산군 괴산읍 동부리 5 중원대학교 중원대학교 창업보육센터 DG 227호,043-830-8682,050-4091-8990,3
57,에이○○,그 외 기타 금속가공업,"25929, ",충청북도 괴산군 괴산읍 제월리 908-1 제이피이,043-867-9633,,5
96,친환○○○,그 외 기타 금속가공업,"25929, ",충청북도 괴산군 청안면 조천리 798-1,,,0
250,은진○○,그 외 기타 금속가공업,"25929, ",충청북도 괴산군 괴산읍 제월리 902-0 마그넥스,,,6
36,서명○○,그 외 기타 고무제품 제조업,"22199, ",충청북도 괴산군 괴산읍 동부리 58-1번지,043-832-3731,043-833-1195,7
45,스메○,그 외 기타 고무제품 제조업,"22199, ",충청북도 괴산군 괴산읍 동부리 58-16번지,043-834-5454,043-834-5453,17
245,영인○○○,그 외 기타 고무제품 제조업,"22199, ",충청북도 괴산군 청안면 금신리 150-3번지,043-836-6716,043-836-6717,3
118,호스○,그 외 기타 1차 철강 제조업,"24199, ",충청북도 괴산군 괴산읍 신기리 124-1,043-833-0716,,11
12,다온○○○,구조용 금속 판제품 및 공작물 제조업 외 1 종,"25112, 28119",충청북도 괴산군 장연면 장암리 340-1,043-832-0866,,3
15,대우○○○,구조용 금속 판제품 및 공작물 제조업,"25112, ",충청북도 괴산군 청안면 금신리 664,031-719-8306,031-718-8305,3
39,성화○○,구조용 금속 판제품 및 공작물 제조업,"25112, ",충청북도 괴산군 청안면 금신리 25-2,,,10
41,세이○○○○○,구조용 금속 판제품 및 공작물 제조업,"25112, ",충청북도 괴산군 소수면 아성리 638-2,070-4801-0010,,3
53,썬더○○,광물처리 및 취급장비 제조업,"29242, ",충청북도 괴산군 청안면 백봉리 105-0번지,043-832-6677,043-832-3628,1
181,눈비○○○,과자류 및 코코아 제품 제조업,"10603, ",충청북도 괴산군 소수면 입암리 734번지,043-832-8063,043-832-9965,4
315,지디○○○,과자류 및 코코아 제품 제조업,"10603, ",충청북도 괴산군 청천면 청천리 38-2,031-5175-3442,,6
328,클래○,과실 및 그 외 채소 절임식품 제조업 외 2 종,"10302, 10519, 11209",충청북도 괴산군 불정면 앵천리 245-3,043-833-1010,,7
227,신풍○○,골판지 제조업 외 1 종,"17211, 17212",충청북도 괴산군 연풍면 원풍리 394-7번지 외 1필지,043-834-1013,043-833-1012,10
99,쿱로○○○○○○○○,골판지 상자 및 가공제품 제조업 외 7 종,"17212, 17221, 17222, 17223, 17229, 17909, 52109, 52993",충청북도 괴산군 괴산읍 능촌리 1082 괴산아이쿱 상온창고,043-760-7619,,76
137,군자○○○○○○,곡물 제분업,"10512, ",충청북도 괴산군 장연면 오가리 366번지,043-832-7331,,12
146,괴산○○○○○○○○,곡물 제분업,"10512, ",충청북도 괴산군 칠성면 사평리 400-2번지,043-832-5772,043-832-6772,15
271,미두○,곡물 제분업,"10512, ",충청북도 괴산군 사리면 방축리 700,,,5
145,괴산○○○○○○○○,곡물 도정업,"10511, ",충청북도 괴산군 칠성면 사평리 400번지 외 1필지,043-832-5772,043-832-6772,15
172,반석○○,곡물 도정업,"10511, ",충청북도 괴산군 괴산읍 대덕리 200-1번지,043-269-1093,043-269-1091,4
199,목도○○○,곡물 도정업,"10511, ",충청북도 괴산군 불정면 목도리 935번지,,,1
204,번영○○○,곡물 도정업,"10511, ",충청북도 괴산군 사리면 방축리 695-2번지 외 3필지,043-838-3209,043-836-7209,5
208,불정○○○○○○,곡물 도정업,"10511, ",충청북도 괴산군 괴산읍 능촌리 609번지 외 1필지,043-833-7190,043-833-7193,1
38,성화○○○,계면활성제 제조업,"20421, ",충청북도 괴산군 사리면 방축리 430-8번지 성화파인켐,043-838-7181,043-838-7180,6
321,청암○○,건설용 석제품 제조업,"23911, ",충청북도 괴산군 사리면 사담리 584-4번지 외 1필지,043-838-4515,,1
317,첨단○○○,건설.광업용 기계 및 장비 수리업,"34011, ",충청북도 괴산군 청안면 금신리 150-2번지 외 1필지,043-836-2736,043-234-2733,5
54,아비○○○○○○,건강기능식품 제조업,"10897, ",충청북도 괴산군 문광면 광덕리 258-0  아비스모 생활건강,043-833-9990,043-832-8881,10
161,자연○○○○○,건강기능식품 제조업,"10897, ",충청북도 괴산군 칠성면 율원리 7 자연이정답이다,043-760-7663,070-7543-2908,12
77,웹○,강화 및 재생 목재 제조업,"16212, ",충청북도 괴산군 괴산읍 동부리 58-12번지,043-834-8561,,15
65,엠티○○,강주물 주조업,"24312, ",충청북도 괴산군 괴산읍 제월리 889,043-836-3957,043-838-3956,23
206,보령○○,강주물 주조업,"24312, ",충청북도 괴산군 청안면 금신리 57-3번지,043-838-7382,043-836-7382,1
209,비에○○○,강주물 주조업,"24312, ",충청북도 괴산군 청안면 금신리 591,043-838-1544,043-838-1534,1
233,아이○○,강주물 주조업,"24312, ",충청북도 괴산군 청안면 금신리 57-3번지,043-838-7607,043-838-7605,8
6,네패○○○○○○○○,감광재료 및 관련 화학제품 제조업 외 3 종,"20491, 20495, 20499, 21301",충청북도 괴산군 청안면 조천리 1705,043-879-8932,,60
27,미토○,가금류 가공 및 저장 처리업 외 5 종,"10121, 10122, 10129, 10751, 10759, 10799",충청북도 괴산군 괴산읍 능촌리 산 43-1번지,043-760-8600,,26
180,하담○○,가금류 가공 및 저장 처리업 외 1 종,"10121, 10129",충청북도 괴산군 소수면 수리 산 69-0 하담푸드 축산물가공공장,043-834-0123,043-834-0223,20
25,모건○○○○○○○○,가금류 가공 및 저장 처리업,"10121, ",충청북도 괴산군 사리면 수암리 371번지,043-833-3678,043-833-3678,20
94,청솔○○,가금류 가공 및 저장 처리업,"10121, ",충청북도 괴산군 사리면 방축리 93번지,043-838-8307,043-838-8309,24
