연번,시군,회사명,공장대표주소(도로명),전화번호,주생산품
1345,청주시,(주)토트라,충청북도 청주시 흥덕구 강내면 산단리 226,043-716-1230,건축용 배관자재
1346,청주시,(주)투비바이오,충청북도 청주시 청원구 내덕동 23번지 청주대학교 미래창조관 410호,043-278-1771,동물용 사료 및 조제식품
1347,청주시,(주)트윅스정보통신,충청북도 청주시 서원구 장암동 357-2번지 1동,043-266-8653,전광판 및 키오스크 장치
1348,청주시,(주)티니코,충청북도 청주시 흥덕구 오송읍 정중리 721,070-7702-8727,"의료기기, 정형용품, 형상기억합금"
1349,청주시,(주)티니코,"충청북도 청주시 청원구 오창읍 양청리 803-1번지 중소기업청 T-팩토리 공장동 106호,107호",070-7702-9983,"의료기기, 척추고정기기 임플란트, 산업용 링 패스너"
1350,청주시,(주)티디에스,충청북도 청주시 서원구 개신동 12 충북대학교 E9동 573호(학연산공동기술연구원),,반도체
1351,청주시,(주)티디에스팜,충청북도 청주시 흥덕구 오송읍 만수리 493번지,043-715-7337,"한방동의고 카타플라스마, 라니티드정"
1352,청주시,(주)티씨엠,충청북도 청주시 청원구 사천동 141-0,043-237-9467,가습기
1353,청주시,(주)티앤에스,충청북도 청주시 청원구 오창읍 성재리 950-7,043-277-9593,"우레탄방수재, 칩바인더 "
1354,청주시,(주)티앤에스,충청북도 청주시 청원구 오창읍 성재리 산 28-8번지 2동 1층 (주)티앤에스,043-277-9593,"우레탄방수재,칩바인더, 콘크리트용 혼화제"
1355,청주시,(주)티앤와이,충청북도 청주시 청원구 북이면 내둔리 453-1번지,043-217-8269,전자부품용 프레스COVER
1356,청주시,(주)티앤티원,충청북도 청주시 청원구 오창읍 화산리(華山) 386-3번지,043-234-7101,특장차
1357,청주시,(주)티에스엘,충청북도 청주시 서원구 장암동 347-26 2층,070-7694-7993,자동제어용 전장품 
1358,청주시,(주)티에스엘,충청북도 청주시 서원구 미평동 60-1번지 201호,070-7694-7993,"계측기,광학기기,자동측정장치 수리,재생 및 제조"
1359,청주시,(주)티에스이엔지,충청북도 청주시 서원구 남이면 구암리 194-3,,"배전반, 전동기제어반, 분전반, 자동제어반, 계정제어반, plc계장반, 전력제어시스템, fems 시스템"
1360,청주시,(주)티엔케이,충청북도 청주시 청원구 오창읍 모정리 154-5번지,043-217-6161,"강화유리, 접합유리"
1361,청주시,(주)티엠에스헬스케어,"충청북도 청주시 청원구 오창읍 양청리 685-1 충북테크노파크 스타기업관 304, 305, 306호",043-218-7911,천연추출물
1362,청주시,(주)티케이씨 청주사업장,충청북도 청주시흥덕구 송정동 140-5번지,043-264-2121,"반도체용장비, PCB장비"
1363,청주시,(주)티톱이앤지,충청북도 청주시 흥덕구 옥산면 소로리 138-1 주1동,070-8015-1770,"VISION 셀 상태 검사기록기, 판정모니터링기, 학습판독기, PMS, 가스수분센서"
1364,청주시,(주)팀스,충청북도 청주시 흥덕구 신성동 194-0,043-211-0228,식료품 탱크
1365,청주시,(주)팀스 1공장,충청북도 청주시 흥덕구 신성동 175-1,043-211-0228,산업용대량배합시스템
1366,청주시,(주)팀스 2공장,충청북도 청주시 흥덕구 신성동 176-9,043-211-0228,산업용대량배합시스템
1367,청주시,(주)파란이엔지,충청북도 청주시 흥덕구 송정동 70-73 직지스마트타워 1동 5층 506호,043-215-0410,도어류 및 기타 창호자재
1368,청주시,(주)파란이엔지,충청북도 청주시 청원구 내수읍 덕암리 325-12 외 6필지,043-215-0410,알루미늄 샷시 창호
1369,청주시,(주)파란이엠씨,충청북도 청주시 청원구 오창읍 성산리 72-30 외 2필지,043-216-0408,금속도어
1370,청주시,(주)파워랩,충청북도 청주시 흥덕구 강내면 다락리 110-30번지 외 1필지,043-236-9915,식품포장용랩
1371,청주시,(주)파워랩,충청북도 청주시 흥덕구 강내면 다락리 356-8번지 외 1필지,043-236-9915,식품포장용 랩
1372,청주시,(주)파워로직스,충청북도 청주시 흥덕구 옥산면 남촌리 1108-1번지,043-219-5600,"2차전지용보호회로, ESS Rack"
1373,청주시,(주)파워원,충청북도 청주시 흥덕구 옥산면 호죽리 918번지 (호죽리 918번지),043-213-5830,"전기저장장치(ESS), 수배전반"
1374,청주시,(주)파이온텍,충청북도 청주시 흥덕구 오송읍 연제리 687번지,043-218-2801,화장품
1375,청주시,(주)파인드몰드,충청북도 청주시 청원구 오창읍 농소리 74-11번지,043-218-6063,"알루미늄프로파일구조재, 풀림방지너트, 크린부스"
1376,청주시,(주)파인드몰드,충청북도 청주시 서원구 개신동 12번지 충북대학교,043-218-6063,금속 조립구조재
1377,청주시,(주)팜스코,충청북도 청주시 청원구 북이면 내둔리 126번지 외 1필지,043-216-1300,"햄,소시지외 기타가공품"
1378,청주시,(주)팜스토리한냉,충청북도 청주시 청원구 오창읍 성재리 421-3번지,043-211-7721,"포장육, 냉동농수산물"
1379,청주시,(주)퍼스타,충청북도 청주시 서원구 남이면 척산리 323-4번지,042-863-8648,"수배전반, 자동제어반, 전기전자 부품 외"
1380,청주시,(주)퍼스트칼라 오송공장,충청북도 청주시 흥덕구 오송읍 만수리 472번지,043-849-7600,천연비누
1381,청주시,(주)페어텍,충청북도 청주시 흥덕구 옥산면 호죽리 884번지,043-213-9377,"반도체, LCD 장비"
1382,청주시,(주)포메데시,충청북도 청주시 흥덕구 강내면 월곡리 301-3 충청대학 R동 119호,043-236-8255,"연무탈취제,마스크팩,스틱형팩"
1383,청주시,(주)포스메카,충청북도 청주시 흥덕구 송정동 277-1 외 2필지,043-233-9712,KF/덴탈마스크 
1384,청주시,(주)포스메카바이오,충청북도 청주시 흥덕구 송정동 277-3,043-266-1650,보건용 마스크
1385,청주시,(주)포정유통,충청북도 청주시 청원구 오창읍 원리 135번지 외 5필지,043-218-0541,"가공.양념돈육, 돈육지방,양념소스혼합양념"
1386,청주시,(주)폴,충청북도 청주시 청원구 오창읍 성재리 946 주식회사 폴,043-266-9908,축전지용 전극제
1387,청주시,(주)폴리텍,충청북도 청주시 흥덕구 오송읍 오송리 210-7번지,043-238-5300,"볼밸브,전기융착식 이음관류"
1388,청주시,(주)폴리텍,충청북도 청주시 흥덕구 오송읍 서평리 153-1번지 외 4필지,043-238-5300,"전동 및 수동 침대류, 폴리에틸렌밸브,개폐장치,보호장치,전자소켓,공기열 히트펌프"
1389,청주시,(주)폴트리,충청북도 청주시 청원구 오창읍 성재리 970-0,043-216-9370,"건축용 면재, 방수시트, 방역복, 하우스랩"
1390,청주시,(주)푸드라인,충청북도 청주시 흥덕구 봉명동 2665번지 푸드코주식회사,043-276-1100,식육포장
1391,청주시,(주)푸드미르,충청북도 청주시 흥덕구 봉명동 2464번지,043-263-3238,계육가공품
1392,청주시,(주)풀특장,충청북도 청주시 서원구 현도면 우록리 501-1번지,043-269-2880,특장차(집게차)
1393,청주시,(주)풍회유통,충청북도 청주시 흥덕구 옥산면 덕촌리 225-1번지,043-260-6786,"고추가루, 참기름,깻묵"
1394,청주시,(주)퓨리켐,충청북도 청주시 서원구 남이면 척북리 128번지,043-268-7311,EDLC(축전지)
1395,청주시,(주)퓨쳐하이테크,충청북도 청주시 흥덕구 송정동 407번지 1동 601호,043-212-3071,반도체 및 디스플레이용 장비 수리
1396,청주시,(주)프라우텍,충청북도 청주시 흥덕구 옥산면 남촌리 1115-5번지,043-539-5200,적외선LED용에피웨이퍼
1397,청주시,(주)프로웨트,충청북도 청주시 청원구 사천동 71번지,043-216-9880,pcb제조장비
1398,청주시,(주)플라워밀,충청북도 청주시 청원구 오창읍 여천리 369-5번지 외 4필지,043-211-9822,"플라스틱[부직포, 종이]포장지"
1399,청주시,(주)플렉스로직,충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 1404호 1404호 외 2필지,043-265-0833,"시험계측장비, 철도용 신호장치 및 부품 등"
1400,청주시,(주)피씨엠솔루션,충청북도 청주시 청원구 오창읍 탑리 220 외 2필지 외 2필지,,"물질검사, 측정 및 분석기구 제조업"
1401,청주시,(주)피아이에스(제2공장),충청북도 청주시 청원구 내수읍 풍정리 235-1 외 4필지,,전기자동차 충전기
1402,청주시,(주)피앤아이휴먼코리아,충청북도 청주시 흥덕구 강내면 황탄리 35-1,043-273-4800,"PVC저류조, 수로변경 오수받이"
1403,청주시,(주)피앤테크,충청북도 청주시 청원구 사천동 502-1번지,043-211-3915,퍼니스(반도체 장비)
1404,청주시,(주)피에프네이처,충청북도 청주시 흥덕구 오송읍 정중리 624,043-237-1100,화장품
1405,청주시,(주)피에프네이처코스메틱,충청북도 청주시 흥덕구 오송읍 정중리 624,031-431-8549,화장품원료
1406,청주시,(주)피에프제이,"충청북도 청주시 흥덕구 송정동 279-5번지 세중테크노밸리 B1층 B104호, B105호 B1층 B104호, B105호",043-268-2718,반도체소자
1407,청주시,(주)피엔케이,충청북도 청주시 흥덕구 옥산면 호죽리 964-0,043-214-6876,반도체패키지
1408,청주시,(주)피제이솔루션,충청북도 청주시 청원구 오창읍 여천리 111번지,070-7931-4095,LDI&NFC PACKAGE A'SSY 및 검사
1409,청주시,(주)피코프리시젼,충청북도 청주시 흥덕구 휴암동 183-8,043-715-5513,반도체소켓용 JIG(반도체부품)
1410,청주시,(주)피테크,충청북도 청주시 청원구 오창읍 각리 644-7번지,043-715-3270,평판디스플레이
1411,청주시,(주)픽셀아이,충청북도 청주시 서원구 개신동 12번지 충북대학교 학연산공동기술연구원 579호,,"무선전자기기, 스마트폰 주변기기"
1412,청주시,(주)필야 제2공장,충청북도 청주시 청원구 오창읍 모정리 96-8 외 2필지,043-201-8744,H형강 가공제품 
1413,청주시,(주)하나로특장,충청북도 청주시 청원구 북이면 내추리 40번지 외 6필지,043-213-6345,특장차
1414,청주시,(주)하나이엔지,충청북도 청주시 청원구 북이면 내추리 281 281 외 6필지,043-214-8813,플라스틱 샤시용 보강재
1415,청주시,(주)하나이엔지,충청북도 청주시 청원구 북이면 장재리 414-9번지,043-214-8813,"철문,건축부착물,금속공작"
1416,청주시,(주)하나주방종합가구,충청북도 청주시 서원구 남이면 가좌리 272-2,,"붙박이장, 싱크대"
1417,청주시,(주)하나플라텍,충청북도 청주시 흥덕구 옥산면 덕촌리 16 외 2필지,070-4652-2680,Gasket(2차전지용 에너지부품)
1418,청주시,(주)하늘텍,충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 606호 606호,043-266-6703,"항공기용 모듈, 도통시험기"
1419,청주시,(주)하람,충청북도 청주시 청원구 오창읍 성재리 950-5,043-838-7234,"과일즙(배, 사과), 약재(당귀, 대추)"
1420,청주시,(주)하림기공,충청북도 청주시 서원구 남이면 부용외천리 986 외2필지,031-441-5435,CNC가공기계
1421,청주시,(주)하림기공,충청북도 청주시 서원구 남이면 부용외천리 986번지 외 1필지,031-441-5435,고속가공용조각기
1422,청주시,(주)하영에스엠씨,충청북도 청주시 청원구 오창읍 성산리 403-5번지,043-298-4302,크린탱크정밀부품
1423,청주시,(주)하우다임,충청북도 청주시 흥덕구 옥산면 환희리 158-1번지,043-270-7771,"계면활성제, 벽 및 바닥피복용 플라스틱 벽지"
1424,청주시,(주)하우앳,충청북도 청주시 청원구 오창읍 주성리 311-4 충북대학교 오창캠퍼스 융합기술원 충북대학교 융합기술원 327호,043-296-4102,무선영상송수신모뎀
1425,청주시,(주)하우앳,충청북도 청주시 청원구 오창읍 주성리 311-4 충북대학교 오창캠퍼스 융합기술원 c동 453호,043-296-4101,"무선영상송수신모뎀	"
1426,청주시,(주)하우앳,"충청북도 청주시 청원구 오창읍 주성리 311-4 충북대학교 오창캠퍼스 융합기술원  B동 327, 421호",043-296-4103, 무선영상송수신모뎀
1427,청주시,(주)하이로닉,충청북도 청주시 흥덕구 오송읍 정중리 677,031-525-7000,미용의료기기
1428,청주시,(주)하이팩코리아,충청북도 청주시 청원구 북이면 내둔리 321번지,043-214-5091,식품용기
1429,청주시,(주)하이팩코리아,충청북도 청주시 청원구 북이면 장재리 223-4번지 외 2필지,043-216-2714,그라비아 인쇄롤
1430,청주시,(주)하이퍼텍,충청북도 청주시흥덕구 송정동 70-65 번지,043-274-7605,인버터기기
1431,청주시,(주)한강전기,충청북도 청주시 청원구 외남동 274-1번지,043-266-9143,"전기판넬 및 수배전반, 전기자동제어반"
1432,청주시,(주)한국냉동플랜트,충청북도 청주시 청원구 북이면 신기리 70-3번지 (주)한국냉동플랜트,043-216-4908,농업용건조기
1433,청주시,(주)한국양행,충청북도 청주시 서원구 남이면 외천리 224-1번지,043-260-4113,"화장품거울,손거울, 미러"
1434,청주시,(주)한국전자재료,충청북도 청주시흥덕구 봉명동 417-45번지 외 2필지,032-814-4115,MOVING ASS'Y
1435,청주시,(주)한국존슨앤드존슨청주공장,충청북도 청주시 흥덕구 송정동 140-20번지 외 2필지,043-279-5601,화장품류  
1436,청주시,(주)한국종합화학,충청북도 청주시흥덕구 송정동 140-59번지,043-234-6615,"세척제, 화공약품"
1437,청주시,(주)한국종합화학,충청북도 청주시 흥덕구 옥산면 호죽리 886번지,043-275-0034,"NOX제거제, 폐수처리약품, 세척제"
1438,청주시,(주)한국종합환경,충청북도 청주시 청원구 정상동 77-2번지,043-235-9448,액체여과기
1439,청주시,(주)한국차폐시스템,충청북도 청주시 서원구 남이면 척북리 124-1번지,043-263-5573,"컴퓨터주변기기,멀티미디어방송장비,자동차미션시험장치"
1440,청주시,(주)한국코윈,충청북도 청주시 흥덕구 옥산면 호죽리 884번지,043-238-8810,"살충제, 기피제"
1441,청주시,(주)한국펄프,충청북도 청주시 상당구 문의면 남계리 179-11번지 외 2필지,043-285-4100,두루마리 화장지
1442,청주시,(주)한국펄프,충청북도 청주시 서원구 장성동 1-3번지,043-296-9660,화장지
1443,청주시,(주)한그루건축자재,충청북도 청주시 서원구 죽림동 122-2,,"목재 테이블, 건축용 목자재"
1444,청주시,(주)한길에스브이,충청북도 청주시 흥덕구 강내면 황탄리 242-5번지,043-231-5012,"레이져,특장차부품"
1445,청주시,(주)한길이에스티,충청북도 청주시 청원구 오창읍 가곡리 51-1번지,043-241-6900,전자식모터보호용누전차단기
1446,청주시,(주)한남이노텍 황탄리공장,충청북도 청주시 흥덕구 강내면 황탄리 70-10번지 외 1필지,044-864-3872,인조대리석 연마
1447,청주시,(주)한누리 푸드,충청북도 청주시 서원구 남이면 갈원리 268-1번지,043-272-0541,"포장육, 냉동육"
1448,청주시,(주)한다랩,충청북도 청주시 흥덕구 송정동 70-73 직지스마트타워 1011호 1011호,042-867-9901,산업용 로봇
1449,청주시,(주)한덕,충청북도 청주시 청원구 오창읍 두릉리 18-1번지,043-218-3334,레미콘
1450,청주시,(주)한도,충청북도 청주시 흥덕구 송정동 279-5번지,043-231-2069,OPP접착테이프
1451,청주시,(주)한도공영,충청북도 청주시 흥덕구 서촌동 589-2번지,043-263-1161,"고정프레임,도로표시판,금속조립식구조물 등"
1452,청주시,(주)한랩,충청북도 청주시 흥덕구 오송읍 연제리 640,043-229-6200,의료용 원심분리기
1453,청주시,(주)한림의료기,충청북도 청주시 청원구 오창읍 송대리 316-11번지,043-241-3271,"의료용기기,전자부품,전기장치,금형,의료용침대"
1454,청주시,(주)한림의료기,충청북도 청주시 청원구 오창읍 각리 644-10번지,043-241-3271,의료기기
1455,청주시,(주)한발엔지니어링,충청북도 청주시 청원구 오창읍 화산리(華山) 379-2번지,043-218-3464,유압실린더
1456,청주시,(주)한빛테크,충청북도 청주시 청원구 오창읍 용두리 141-6번지,043-217-9667,포장용상자(판지상자)
1457,청주시,(주)한성목재 대전지점,충청북도 청주시 서원구 남이면 팔봉리 213-4,043-266-1255,"목상자, 목재파렛트"
1458,청주시,(주)한성테크,충청북도 청주시 상당구 용암동 2460 1층,043-296-6112,주차관제 시스템
1459,청주시,(주)한신,충청북도 청주시 흥덕구 옥산면 소로리 135 외 4필지,043-272-4462,경량철구조물(절삭가공품)
1460,청주시,(주)한양콘텍,충청북도 청주시 서원구 남이면 구미리 41번지 외 4필지,043-234-4667,"수로관, 맨홀"
1461,청주시,(주)한영테크,충청북도 청주시 청원구 내수읍 풍정리 96-9번지 외 1필지,,포장비닐
1462,청주시,(주)한우리,충청북도 청주시 청원구 내덕동 201-31번지 청주첨단문화산업단지 223~225호,043-217-1793,통신장비 제조
1463,청주시,(주)한울씨앤에스,충청북도 청주시 흥덕구 신성동 65번지,043-234-2077,배전반제작(배전용전기회로 개폐/보호 및 접속장치)
1464,청주시,(주)한울이엔지,충청북도 청주시 흥덕구 오송읍 정중리 679,070-7559-7115,"분광계 부품, 의료용 방사선 부품"
1465,청주시,(주)한웅메디칼,충청북도 청주시 흥덕구 오송읍 만수리 500번지,043-235-5921,"화장품류, 밴드류, 패치류"
1466,청주시,(주)한인기전,충청북도 청주시 서원구 남이면 부용외천리 985-9번지,,배전용 MCC PANEL
1467,청주시,(주)한인엠시티,충청북도 청주시 흥덕구 송정동 70-73 직지스마트타워 1동 12F층 1221호,043-838-3792,활성탄
1468,청주시,(주)한일기업,충청북도 청주시 서원구 성화동 358-8번지,043-258-2320,"플라스틱,알루미늄 창문"
1469,청주시,(주)한일사이메드,충청북도 청주시 서원구 현도면 죽전리 121-1번지 주1동,042-825-4260,"산업용원심분리기, 밀폐형시약장"
1470,청주시,(주)한일전선,충청북도 청주시 흥덕구 강내면 당곡리 154 외 1필지,043-715-8584,전선류
1471,청주시,(주)한일테크,충청북도 청주시 청원구 오창읍 기암리 145-1번지,043-216-2202,"에어드라이기,에어필터,에어배관"
1472,청주시,(주)한전기전,충청북도 청주시 청원구 오동동 204-5번지,043-211-3456,"수배전반,자동제어반,PH농도계측기,CCTV"
1473,청주시,(주)한청판지,충청북도 청주시 상당구 문의면 남계리 400번지 외 4필지,043-297-2222,골판지 원단박스
1474,청주시,(주)해림푸드,충청북도 청주시 청원구 내수읍 풍정리 13-2번지 외 4필지,043-212-5522,"동태포, 동태"
1475,청주시,(주)해성우드,충청북도 청주시 흥덕구 강내면 태성리 358-3,043-904-8300,플로어링보드(목재마루재)
1476,청주시,(주)해솔 ,충청북도 청주시 청원구 오창읍 성재리 산 30-1번지,,"염색공장 피존, 제지공장 정전기 방지용세제"
1477,청주시,(주)해치텍,"충청북도 청주시 청원구 오창읍 양청리 685-1 충북테크노파크 스타기업관 206, 207, 301, 302호",043-715-9034,반도체 센서 IC
1478,청주시,(주)해치텍,"충청북도 청주시 청원구 오창읍 양청리 685-1번지 충북테크노파크 비동 206, 207, 307호",043-715-9034,센서반도체
1479,청주시,(주)해피바이오,충청북도 청주시 흥덕구 옥산면 호죽리 923번지,043-238-8491,화장품
1480,청주시,(주)행복담은네모,충청북도 청주시 흥덕구 봉명동 228-3번지,043-268-7500,도시락/즉석섭취식품
1481,청주시,(주)행성화학,충청북도 청주시 청원구 오창읍 용두리 116-14번지,043-217-6100,"하이샷시 ,프로파일"
1482,청주시,(주)헤마루,충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 607호 607호,,도로표지병
1483,청주시,(주)현대기업,충청북도 청주시 서원구 남이면 척산리 149번지,043-292-2702,"교량난간,도로시설물"
1484,청주시,(주)현대바이오랜드,충청북도 청주시 흥덕구 오송읍 연제리 697번지,043-249-6720,"화장품, 화장품원료, 원료의약품"
1485,청주시,(주)현대바이오랜드,충청북도 청주시 청원구 오창읍 각리 644-6번지,043-240-8600,"의료기기,마스크팩"
1486,청주시,(주)현대산업,충청북도 청주시 청원구 내수읍 학평리 46-5번지,043-287-0535,"판넬,탱크"
1487,청주시,(주)현대이앤씨,충청북도 청주시 서원구 남이면 구미리 281-16,,PVC창호래핑
1488,청주시,(주)현대하우시스홀딩스,충청북도 청주시 청원구 북이면 내둔리 453-1번지,02-2665-5090,철근커플러외 건축자재
1489,청주시,(주)현승이엔씨,충청북도 청주시 서원구 죽림동 산22-14,043-285-2850,방송  및 유선통신장비
1490,청주시,(주)현일코프레이션 청주지점,충청북도 청주시 흥덕구 강내면 태성리 358-1 외 1필지,,복합안정제
1491,청주시,(주)현정보시스템,충청북도 청주시 흥덕구 송정동 279-5번지,043-233-1583,주차관제시스템
1492,청주시,(주)현진에프엠비,충청북도 청주시 청원구 오창읍 양청리 775-7번지,043-218-7130,식육포장
1493,청주시,(주)현진테크,충청북도 청주시 서원구 남이면 척산리 651번지,043-260-3551,재생타이어
1494,청주시,(주)현태,충청북도 청주시 서원구 개신동 12번지 충북대학교학연산공동기술연구원 774호,043-235-6258,"복합센서모듈,기타전자부품"
1495,청주시,(주)현테크,충청북도 청주시 흥덕구 옥산면 덕촌리 118-1,043-266-7558,실험실용 가스 캐비닛
1496,청주시,(주)현텍,충청북도 청주시 청원구 북이면 대율리 281번지,043-241-0889,산업기계
1497,청주시,(주)혜미산업,충청북도 청주시 흥덕구 강내면 산단리 243번지,043-267-5900,철구조물
1498,청주시,(주)혜성기공,충청북도 청주시 청원구 북이면 장양리 124-5번지 외 5필지 외 5필지,043-212-6245,호환성 초 경공구
1499,청주시,(주)혜움 오창공장,충청북도 청주시 청원구 오창읍 성재리 989,044-864-2050,건축용 목구조재
1500,청주시,(주)호재준 ,충청북도 청주시 흥덕구 송정동 279-5번지 1동 8층 814호,02-2135-2525,과일채소가공품 
1501,청주시,(주)화니핀코리아,충청북도 청주시 흥덕구 오송읍 연제리 688번지,043-212-2649,마스크팩 등
1502,청주시,(주)화성이엔지,충청북도 청주시 청원구 사천동 169-15번지,043-239-4489,"배관재,덕트부품"
1503,청주시,(주)화성테크윈,충청북도 청주시 흥덕구 강내면 월탄리 247-11,043-233-8775,"알루미늄창호, 플라스틱 창호문틀, 울타리, 볼라드"
1504,청주시,(주)화수산업,충청북도 청주시 흥덕구 옥산면 오산리 586-5,043-260-8283,소방용 배관
1505,청주시,(주)화이트메디앙스,충청북도 청주시 흥덕구 송정동 70-73 직지스마트타워 806호 806호,02-2138-3007,리프팅 실
1506,청주시,(주)화이트치과기공소,충청북도 청주시 흥덕구 가경동 1700번지 그린프라자 303호,043-237-2804,"임플란트,치아보철물"
1507,청주시,(주)화인에프씨,충청북도 청주시 서원구 현도면 중삼리 234-9번지,043-269-0871,뽁음커피
1508,청주시,(주)화인케미칼,충청북도 청주시 흥덕구 송정동 66-29번지,043-285-2340,세정제
1509,청주시,(주)화인텍코리아,충청북도 청주시 흥덕구 옥산면 호죽리 173-2,043-260-6289,"전자기기부품, 금속금형부품"
1510,청주시,(주)환희산업,충청북도 청주시 흥덕구 옥산면 환희리 234 외 4필지,,깔판류 및 적재함
1511,청주시,(주)훼미리키친,충청북도 청주시 청원구 북이면 장양리 596-3,043-213-2711,식당용싱크대
1512,청주시,(주)휴레스트,"충청북도 청주시 서원구 현도면 상삼리 60 주1동 2층, 주4동",070-4060-3372,"조경시설물, 경관시설물"
1513,청주시,(주)휴로,충청북도 청주시 흥덕구 송정동 27-18번지 한국합섬(주)2공장,,"스마트필통, 가정용 혈압기"
1514,청주시,(주)휴먼시스템,충청북도 청주시 청원구 오창읍 주성리 311-4 충북대학교 오창캠퍼스 융합기술원 B동 427호,043-277-8822,인공지능 비전검사장치
1515,청주시,(주)휴먼씨,충청북도 청주시 흥덕구 송정동 279-5번지,043-265-1442,"전시용 모형, 그래픽디자인, 무대디자인, 광고물, 조형물, 놀이시설"
1516,청주시,(주)휴엔비코리아,"충청북도 청주시 흥덕구 복대동 418-6 B04호(복대동, 충북대학교 G-테크벤처센터)",,독립 전원형 스마트 가로등
1517,청주시,(주)휴코,충청북도 청주시 흥덕구 강내면 사곡리 45-14번지 외 1필지,043-260-9765,"흄후드,실험대"
1518,청주시,(주)흥평임업,충청북도 청주시 상당구 가덕면 인차리 179-4번지,043-298-5167,목재
1519,청주시,(주)희성화학,충청북도 청주시 청원구 북이면 신대리 54번지 외 13필지,043-213-8343,"PVC Wrap랩, 다층시트, 스케일방지제, FOXMEX, XL파d이프"
1520,청주시,(주)힐링바이오,충청북도 청주시 서원구 현도면 우록리 502-2번지,043-266-9555,"청국장분말, 맞춤형 발효한약"
1521,청주시,(주)힐링바이오,충청북도 청주시 서원구 현도면 우록리 502-1,02-797-1114,"보조사료, 미생물탈취제"
1522,청주시,(주)힘펠,충청북도 청주시 흥덕구 강내면 다락리 110-37번지 외 1필지,031-226-3355,열 회수 환기장치 외
1523,청주시,(합자)대청씨앤씨,충청북도 청주시 청원구 북이면 용계리 356-3 외 5필지,043-211-7135,콘크리트수로관
1524,청주시,(합자)주안에너지,충청북도 청주시 흥덕구 지동동 757번지,043-221-1594,"태양광발전장치, 태양광발전장치 접속반, 태양광발전장치 구조물 및 일반 철 구조물, 태양광발전 관련 제품"
1525,청주시,(합자)징기스칸,충청북도 청주시 흥덕구 봉명동 2338-1번지,043-277-4031,닭고기양념육
1526,청주시,(합자)해룡,충청북도 청주시 서원구 현도면 죽암리 167-1번지 해룡골재,043-260-5224,아스콘
1527,청주시,125스틸,충청북도 청주시 흥덕구 강내면 태성리 125,043-233-1691,트러스(골조구조)
1528,청주시,1번가,충청북도 청주시 흥덕구 비하동 279번지 외 1필지,,"금속 문, 창, 셔터 관련제품"
1529,청주시,21 BMFA 자연에너지 개발,충청북도 청주시 청원구 사천동 34-3번지,043-211-6662,"상변화잠열축열재(PCM,COOLANT)"
1530,청주시,3D 피아,충청북도 청주시 서원구 개신동 12번지 충북대학교 E9동 406호,043-215-0361,"스마트 휴대용 좌욕기, 포터블 영유아용 변기커버"
1531,청주시,AM KOREA,충청북도 청주시 흥덕구 송정동 70-73 직지스마트타워 1동 8층 827호,043-1577-1944,화장품
1532,청주시,DH테크,충청북도 청주시 청원구 외남동 263-1번지 DH테크1동,043-218-9558,"컷팅기,홀가공기,컨베이어,게이지"
1533,청주시,DJ산업,충청북도 청주시 서원구 남이면 척산리 232-4,,CNC 금속가공품
1534,청주시,DM텍,충청북도 청주시 청원구 주중동 447-3번지,043-266-6270,전기동RACK
1535,청주시,E. T. C,충청북도 청주시 흥덕구 봉명동 417-45번지 외 2필지,043-275-9775,콘택트렌즈
1536,청주시,ED테크,충청북도 청주시 흥덕구 송정동 27-18번지,043-263-3464,초경합금공구
1537,청주시,FM애그텍,충청북도 청주시 흥덕구 오송읍 만수리 484번지,043-878-0277,"생리활성제, 효소제"
1538,청주시,GMT,충청북도 청주시 청원구 오창읍 일신리 198,043-271-2663,기계장비 부품
1539,청주시,HDI(주),충청북도 청주시 청원구 오창읍 각리 644-11번지,02-597-3535,MLB다층기판
1540,청주시,High Tech,충청북도 청주시 흥덕구 복대동 100-5 1동 지하1층 B104호 외 3필지,043-263-7784,금속가공품
1541,청주시,HnC Chem,충청북도 청주시 흥덕구 송정동 279-5번지 13층 1311,,치과 재료
1542,청주시,HS기업,충청북도 청주시 흥덕구 휴암동 56-1번지,,"알루미늄 문, 하이샤시 문"
1543,청주시,HS테크,충청북도 청주시 청원구 내수읍 원통리 289번지,043-218-5018,"의료용카트, 케비넷 씽크"
1544,청주시,I.N.G,충청북도 청주시 청원구 북이면 내둔리 208번지,043-267-6008,반도체 관련 제작물 및 가공품
1545,청주시,K&P테크,충청북도 청주시 청원구 북이면 용계리 312-1 외 6필지,043-241-5511,하이샷시 프로파일
1546,청주시,K. T. AN,충청북도 청주시 흥덕구 옥산면 가락리 641번지,043-260-3577,"건설기계부품, 버켓 및 건설기계수리"
1547,청주시,K.V바이오젠,충청북도 청주시 서원구 남이면 척산리 333번지 외 1필지,043-263-2430,"단미사료, 동물용 약품, 악취제거제(탈취제)"
1548,청주시,KBF,충청북도 청주시 청원구 내수읍 원통리 310-16번지 103호,043-263-2008,"HOLOGRAM, HOT STAMPING FOIL"
1549,청주시,KCA (케이씨에이),충청북도 청주시 서원구 남이면 갈원리 268-4번지,043-217-4785,특장차 및 크레인
1550,청주시,KS ENG,충청북도 청주시 서원구 남이면 양촌리 74-6번지,043-284-7797,셔터제작
