순번,업종명,업체명,주소,전화번호,단지,데이터기준일자
131,배합 사료 제조업 외 1 종,제천시 자원관리센터,충청북도 제천시 천남동 625번지,043-641-5403,,2026-01-12
220,배전반 및 전기 자동제어반 제조업 외 2 종,(주)주영,충청북도 제천시 금성면 청풍호로24길 8,,제천금성농공단지,2026-01-12
146,배전반 및 전기 자동제어반 제조업 외 1 종,주식회사 제이피정공,충청북도 제천시 세거리로 14(신동),043-651-5055,,2026-01-12
40,배전반 및 전기 자동제어반 제조업,(주)태성계전,충청북도 제천시 봉양읍 용두대로38안길 27-9,043-642-4509,,2026-01-12
196,배전반 및 전기 자동제어반 제조업,(주)미성,충청북도 제천시 내토로73길 28,043-644-6877,제천고암농공단지,2026-01-12
62,방송장비 제조업 외 1 종,대신네트웍스(주),충청북도 제천시 송학면 도화로 38-15,043-652-0004,,2026-01-12
21,방송장비 제조업,(주)에스비이엔에스,충청북도 제천시 내토로 381 (서부동),043-653-3030,,2026-01-12
69,방송장비 제조업,더산테크 주식회사,충청북도 제천시 의병대로 307 (신백동),043-652-1328,,2026-01-12
81,방송장비 제조업,보국이엔지(주),충청북도 제천시 용두대로 304 (신월동),043-652-3367,,2026-01-12
139,방송장비 제조업,주식회사 다인,충청북도 제천시 탑안로18길 9 (고암동) 1층,070-7542-3843,,2026-01-12
280,방송장비 제조업,(주)원네트웍스,충청북도 제천시 바이오밸리2로 18 (왕암동),043-652-3368,제천제1산업단지,2026-01-12
216,바이오 연료 및 혼합물 제조업,(주)단석산업제천공장,충청북도 제천시 금성면 청풍호로24길 39,031-488-0709,제천금성농공단지,2026-01-12
74,무인 항공기 및 무인 비행장치 제조업,드론메이커스 주식회사,"충청북도 제천시 세명로 65, 세명창업보육센터 212호(신월동, 세명대학교)",,,2026-01-12
68,목재 도구 및 주방용 나무제품 제조업 외 1 종,대한퍼니처(주),,043-653-5022,,2026-01-12
169,"레이더, 항행용 무선기기 및 측량기구 제조업",홍기,충청북도 제천시 내토로11길 14 (서부동),070-8726-8494,,2026-01-12
42,레미콘 제조업 외 2 종,(주)한국레미콘,충청북도 제천시 원강저로 18 (강제동),043-648-0433,,2026-01-12
44,레미콘 제조업,(주)한일레미콘,충청북도 제천시 봉양읍 연박리 748번지 외 7필지,043-648-3003,,2026-01-12
52,레미콘 제조업,그린레미콘(주),충청북도 제천시 송학면 송학로14길 37,043-643-8000,,2026-01-12
54,레미콘 제조업,금강레미콘(자),충청북도 제천시 송학면 송학주천로2길 5 (총 5 필지) 외 4필지,043-644-6000,,2026-01-12
71,레미콘 제조업,동일산업(주),충청북도 제천시 봉양읍 명암로 2,043-651-2000,,2026-01-12
72,레미콘 제조업,동진레미콘(주),충청북도 제천시 송학주천로 106 (고암동) 외 2필지,043-646-7000,,2026-01-12
94,레미콘 제조업,성원레미콘 합자회사,충청북도 제천시 송학면 송학로 119 (총 3 필지),043-646-6000,,2026-01-12
150,레미콘 제조업,중앙레미콘(주),충청북도 제천시 금성면 양화리 455-4 외 3필지,043-651-2341,,2026-01-12
201,두부 및 유사식품 제조업 외 1 종,(주)풀잎라인,충청북도 제천시 내토로73길 34,043-642-2151,제천고암농공단지,2026-01-12
187,두부 및 유사식품 제조업,쌍용식품,충청북도 제천시 강저로6길 24 (강제동),043-652-7818,제천강저농공단지,2026-01-12
336,두부 및 유사식품 제조업,농업회사법인(주)참좋은콩,충청북도 제천시 제2바이오밸리로 50 (왕암동),,제천제2산업단지,2026-01-12
345,도시락류 제조업 외 1 종,엘에프푸드제천 주식회사,충청북도 제천시 제2바이오밸리로2길 23 (왕암동),043-653-7883,제천제2산업단지,2026-01-12
132,단미 사료 및 기타 사료 제조업 외 1 종,제천시농업기술센터,충청북도 제천시 봉양읍 제천북로3길 20 (제천시농업기술센터),043-645-5959,,2026-01-12
164,단미 사료 및 기타 사료 제조업,한국SiLiCa산업,충청북도 제천시 세거리로 29 (신동),043-646-2562,,2026-01-12
101,농업 및 임업용 기계 제조업,씨엔테크,충청북도 제천시 봉양읍 앞산로 174,043-653-0075,,2026-01-12
179,농업 및 임업용 기계 제조업,대황금산업,충청북도 제천시 강저로4길 11 (강제동),043-645-7736,제천강저농공단지,2026-01-12
128,김치류 제조업 외 1 종,제천광역친환경영농조합법인 제2공장,충청북도 제천시 백운면 구학산로17안길 55,043-645-5858,,2026-01-12
182,김치류 제조업 외 1 종,들빛식품,충청북도 제천시 강저로4길 10 (강제동),043-642-1782,제천강저농공단지,2026-01-12
243,김치류 제조업 외 1 종,주식회사 태성김치,충청북도 제천시 송학면 송학로10길 35,043-643-3325,제천송학농공단지,2026-01-12
301,김치류 제조업 외 1 종,주식회사 농업회사법인 푸른강산애,충청북도 제천시 바이오밸리1로 97 (왕암동),043-652-8287,제천제1산업단지,2026-01-12
310,김치류 제조업 외 1 종,(주)단이푸드,"충청북도 제천시 제2바이오밸리로 49, (주)단이푸드 (왕암동)",043-646-3939,제천제2산업단지,2026-01-12
320,김치류 제조업 외 1 종,(주)아워홈,충청북도 제천시 한방엑스포로 104 (왕암동) 외 2필지,043-756-5217,제천제2산업단지,2026-01-12
123,기타 편조의복 액세서리 제조업,일영장갑,충청북도 제천시 송학면 무도리 301-16번지,043-645-7447,,2026-01-12
136,기타 증류주 및 합성주 제조업 외 2 종,제천한약영농조합법인,충청북도 제천시 봉양읍 북부로5길 16-10,043-642-9000,,2026-01-12
119,기타 증류주 및 합성주 제조업,월악주조,충청북도 제천시 한수면 미륵송계로5길 6,043-653-0251,,2026-01-12
67,기타 제철 및 제강업,대한콘테이너,충청북도 제천시 봉양읍 북부로11길 130,043-652-9600,,2026-01-12
212,기타 전기 변환장치 제조업 외 1 종,제천시장애인협회,충청북도 제천시 내토로73길 22,043-644-0860,제천고암농공단지,2026-01-12
249,기타 전기 변환장치 제조업,(주)에스알이앤에스,충청북도 제천시 금성면 양화리 948-1번지,041-574-5700,제천양화농공단지,2026-01-12
95,기타 인쇄관련 산업 외 1 종,세마디 주식회사,충청북도 제천시 장락로1길 11-1 (장락동),043-652-1333,,2026-01-12
93,기타 인쇄관련 산업,서주기획,충청북도 제천시 숭의로 60 (화산동),043-644-7728,,2026-01-12
163,기타 음향기기 제조업,하이젠,충청북도 제천시 바이오밸리로 199 (왕암동),,,2026-01-12
321,기타 음향기기 제조업,(주)아즈라 제천공장,충청북도 제천시 제2바이오밸리로5길 45(왕암동),043-756-8400,제천제2산업단지,2026-01-12
99,기타 운동 및 경기용구 제조업 외 1 종,스파인케어시스템,충청북도 제천시 대학로1길 19 (신월동),,,2026-01-12
329,기타 식품 첨가물 제조업,(주)제일푸드원,"충청북도 제천시 제2바이오밸리로2길 46, 제일푸드원 (왕암동)",043-723-1010,제천제2산업단지,2026-01-12
115,기타 발효주 제조업 외 3 종,용두산 조은술 영농조합법인,충청북도 제천시 송학면 송학주천로 647 (송학면) 외 1필지,043-642-7723,,2026-01-12
191,기타 물품 취급장비 제조업 외 5 종,주식회사 한성,충청북도 제천시 강저로2길 42 (강제동),043-642-3696,제천강저농공단지,2026-01-12
240,기타 기초 무기 화학물질 제조업 외 2 종,(주)이연테크,충청북도 제천시 송학면 송학로10길 18,043-644-0771,제천송학농공단지,2026-01-12
332,기타 기초 무기 화학물질 제조업 외 1 종,(주)케이앤피나노,충청북도 제천시 한방엑스포로 105 (왕암동),043-652-7010,제천제2산업단지,2026-01-12
149,기타 구조용 금속제품 제조업 외 2 종,주식회사모듈하우스,"충청북도 제천시 단양로 3084, D동 (고명동)",043-645-8876,,2026-01-12
278,기타 구조용 금속제품 제조업 외 1 종,(주)에스와이테크,충청북도 제천시 바이오밸리3로 36 (왕암동),043-642-9970,제천제1산업단지,2026-01-12
8,기타 구조용 금속제품 제조업,(주)대성유로폼종합건설건재,충청북도 제천시 봉양읍 원박길 99-23,043-644-1620,,2026-01-12
78,기타 구조용 금속제품 제조업,민영산업,충청북도 제천시 고명로 78 (고명동),043-642-4500,,2026-01-12
56,기타 과실ㆍ채소 가공 및 저장 처리업,농업회사법인 넉넉한사람들(주),"충청북도 제천시 백운면 구학산로2길 38-35, (평동리 166-10)",070-4251-5188,,2026-01-12
59,기타 과실ㆍ채소 가공 및 저장 처리업,농업회사법인 승진열풍건조 주식회사,충청북도 제천시 송학면 송학산로 85,043-647-3069,,2026-01-12
92,기타 과실ㆍ채소 가공 및 저장 처리업,서제천영농조합,"충청북도 제천시 한방엑스포로 18, 1동 2-3호 (왕암동)",043-652-2273,,2026-01-12
98,기타 과실ㆍ채소 가공 및 저장 처리업,송학약초영농조합법인,충청북도 제천시 송학면 시곡포전로 73,043-648-7789,,2026-01-12
108,기타 과실ㆍ채소 가공 및 저장 처리업,약초인,충청북도 제천시 봉양읍 세거리로 393,070-4119-9485,,2026-01-12
113,기타 과실ㆍ채소 가공 및 저장 처리업,오솔숲영농조합법인,충청북도 제천시 신월동 1120번지 외 1필지,043-647-2507,,2026-01-12
118,기타 과실ㆍ채소 가공 및 저장 처리업,월악산힐링푸드영농조합법인,충청북도 제천시 덕산면 약초로 276,043-651-0435,,2026-01-12
165,기타 과실ㆍ채소 가공 및 저장 처리업,한국감초 농업회사법인 주식회사 제2공장,충청북도 제천시 송학면 도화로 450,043-651-1015,,2026-01-12
360,기타 곡물 가공품 제조업 외 2 종,(주)지구인컴퍼니 제천공장,충청북도 제천시 제3산단2로 34(왕암동),02-3463-8283,제천제3산업단지,2026-01-12
274,기타 곡물 가공품 제조업 외 1 종,(주)씨알푸드(2공장),충청북도 제천시 바이오밸리1로 76 (왕암동),043-645-4100,제천제1산업단지,2026-01-12
362,기타 곡물 가공품 제조업 외 1 종,주식회사 이노하스,충청북도 제천시 제3산단로 193 (왕암동),02-6949-1331,제천제3산업단지,2026-01-12
57,기타 곡물 가공품 제조업,농업회사법인 넉넉한사람들(주) 2공장,"충청북도 제천시 백운면 금봉로 39, 1층",043-651-5188,,2026-01-12
60,기타 곡물 가공품 제조업,농업회사법인 정인(주),충청북도 제천시 내토로 287-7 (천남동),043-652-3558,,2026-01-12
125,기타 곡물 가공품 제조업,제이아이푸드,충청북도 제천시 내토로 275-2 (천남동),,,2026-01-12
154,기타 곡물 가공품 제조업,청년농부들,충청북도 제천시 봉양읍 민빚재로 42,1833-6949,,2026-01-12
271,기타 곡물 가공품 제조업,(주)비알푸드,충청북도 제천시 바이오밸리2로 14 (왕암동),043-652-3558,제천제1산업단지,2026-01-12
273,기타 곡물 가공품 제조업,(주)씨알푸드,충청북도 제천시 바이오밸리1로 85 (왕암동),043-645-4100,제천제1산업단지,2026-01-12
172,기타 건축용 플라스틱 조립제품 제조업 외 1 종,(주)경우크린텍,"충청북도 제천시 강저로2길 50, 강저농공단지 (강제동)",043-648-1701,제천강저농공단지,2026-01-12
203,기타 건축용 플라스틱 조립제품 제조업,근영실업(주),충청북도 제천시 내토로73길 48,043-645-0362,제천고암농공단지,2026-01-12
30,기타 건축용 나무제품 제조업,(주)정일품송,충청북도 제천시 송학면 무도리 462-4,043-647-1161,,2026-01-12
105,기타 건축용 나무제품 제조업,안동전통원두막,충청북도 제천시 송학면 시곡포전로 139,,,2026-01-12
174,기타 가공 공작기계 제조업,(주)레프코,충청북도 제천시 강저로4길 22 (강제동),043-648-0614,제천강저농공단지,2026-01-12
190,기타 1차 비철금속 제조업,주식회사 더조은,충청북도 제천시 강저로4길 11 (강제동) 강저테크노빌,,제천강저농공단지,2026-01-12
322,기체 여과기 제조업 외 3 종,(주)엔바이오니아,"충청북도 제천시 한방엑스포로 85, (주)엔바이오니아 (왕암동) 외 1필지",043-644-3670,제천제2산업단지,2026-01-12
307,기체 여과기 제조업 외 1 종,한연산업(주),충청북도 제천시 바이오밸리3로 24 (왕암동),043-651-6933,제천제1산업단지,2026-01-12
185,기체 여과기 제조업,성만기계공업(주),충청북도 제천시 강저로 50 (강제동),043-643-7070,제천강저농공단지,2026-01-12
151,금속탱크 및 저장용기 제조업 외 3 종,중앙엔지니어링(주),충청북도 제천시 봉양읍 용두대로 664,043-653-8417,,2026-01-12
338,금속탱크 및 저장용기 제조업 외 1 종,디앨 주식회사,"충청북도 제천시 제2바이오밸리로3길 26, 2동 (왕암동)",031-355-3329,제천제2산업단지,2026-01-12
267,금속 열처리업 외 3 종,(주)동양벤드,충청북도 제천시 바이오밸리1로 21 (왕암동),043-648-9173,제천제1산업단지,2026-01-12
343,금속 열처리업,에이치티엠(HTM),충청북도 제천시 한방엑스포로 40 (왕암동),043-646-8185,제천제2산업단지,2026-01-12
248,"금속 문, 창, 셔터 및 관련제품 제조업 외 8 종",(주)부영산업,"충청북도 제천시 금성면 양월로 46-34, 양화테크노빌",043-647-7749,제천양화농공단지,2026-01-12
213,"금속 문, 창, 셔터 및 관련제품 제조업 외 5 종",주식회사 남경,충청북도 제천시 내토로73길 28,,제천고암농공단지,2026-01-12
293,"금속 문, 창, 셔터 및 관련제품 제조업 외 5 종",도아산업(주),충청북도 제천시 바이오밸리2로 86 (왕암동),043-648-7979,제천제1산업단지,2026-01-12
19,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종",(주)아덕,충청북도 제천시 금성면 청풍호로 508,043-642-9810,,2026-01-12
205,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",라인ENG,충청북도 제천시 내토로73길 28,043-653-9181,제천고암농공단지,2026-01-12
316,"금속 문, 창, 셔터 및 관련제품 제조업 외 16 종",(주)성원안전산업,충청북도 제천시 장평로 115 (왕암동),043-647-8777,제천제2산업단지,2026-01-12
217,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",(주)에스케이디산업,충청북도 제천시 금성면 청풍호로24길 26,043-652-9811,제천금성농공단지,2026-01-12
231,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",주식회사 에스케이디,충청북도 제천시 금성면 청풍호로24길 27,,제천금성농공단지,2026-01-12
195,"금속 문, 창, 셔터 및 관련제품 제조업",(주)문테크,충청북도 제천시 내토로73길 28,043-653-9181,제천고암농공단지,2026-01-12
181,"근무복, 작업복 및 유사의복 제조업 외 22 종",동우어패럴,충청북도 제천시 강저로2길 43 (강제동),043-642-1150,제천강저농공단지,2026-01-12
350,그 외 자동차용 신품 부품 제조업 외 6 종,주식회사 일진글로벌(제천2공장),충청북도 제천시 한방엑스포로 165 (왕암동),043-652-8711,제천제2산업단지,2026-01-12
304,그 외 자동차용 신품 부품 제조업 외 5 종,주식회사 일진글로벌(제천1공장),충청북도 제천시 바이오밸리1로 16 (왕암동),043-652-8711,제천제1산업단지,2026-01-12
325,그 외 자동차용 신품 부품 제조업 외 5 종,(주)오토캠프,충청북도 제천시 제2바이오밸리로5길 9 (왕암동),070-7075-5001,제천제2산업단지,2026-01-12
327,그 외 자동차용 신품 부품 제조업 외 3 종,(주)제이에스테크,충청북도 제천시 한방엑스포로 121(왕암동),043-647-9968,제천제2산업단지,2026-01-12
41,그 외 자동차용 신품 부품 제조업,(주)테크놀로지선진,충청북도 제천시 봉양읍 북부로10길 149,043-646-2444,,2026-01-12
359,그 외 자동차용 신품 부품 제조업,(주)인팩,충청북도 제천시 제3산단로 233(왕암동),070-4127-4900,제천제3산업단지,2026-01-12
110,그 외 기타 플라스틱 제품 제조업,엠케이개발(주),충청북도 제천시 의병대로 67-1 (명동),043-652-3431,,2026-01-12
339,그 외 기타 플라스틱 제품 제조업,비아이랜드(주),충청북도 제천시 제2바이오밸리로7길 30 (왕암동),043-642-0103,제천제2산업단지,2026-01-12
186,그 외 기타 콘크리트 제품 및 유사제품 제조업 외 2 종,송비콘크리트(주),충청북도 제천시 강저로4길 22 (강제동),043-647-6012,제천강저농공단지,2026-01-12
89,그 외 기타 콘크리트 제품 및 유사제품 제조업 외 1 종,삼표레일웨이(주),충청북도 제천시 봉양읍 장평리 19-9번지 외 7필지,043-920-0001,,2026-01-12
188,그 외 기타 전자부품 제조업 외 1 종,웨이브텍(주),충청북도 제천시 강저로6길 34 (강제동),043-652-5171,제천강저농공단지,2026-01-12
183,그 외 기타 일반목적용 기계 제조업 외 1 종,모범기계공업(주),충청북도 제천시 강저로 58 (강제동),043-643-7858,제천강저농공단지,2026-01-12
242,그 외 기타 일반목적용 기계 제조업 외 1 종,동화산업(주),충청북도 제천시 송학면 송학로10길 14 (동화산업),043-646-9308,제천송학농공단지,2026-01-12
272,그 외 기타 일반목적용 기계 제조업 외 1 종,(주)쌍용영월산기,"충청북도 제천시 바이오밸리로 51, (주)쌍용영월산기 (왕암동)",043-644-9923,제천제1산업단지,2026-01-12
357,그 외 기타 의료용 기기 제조업,(주)아인스메드,충청북도 제천시 제3산단2로 78 (왕암동),031-608-5241,제천제3산업단지,2026-01-12
319,그 외 기타 식료품 제조업 외 5 종,(주)아리너스,충청북도 제천시 한방엑스포로5길 77 (왕암동),043-648-7310,제천제2산업단지,2026-01-12
291,그 외 기타 식료품 제조업 외 3 종,농업법인(주)옻가네,충청북도 제천시 바이오밸리로 143 (왕암동),043-644-5755,제천제1산업단지,2026-01-12
55,그 외 기타 식료품 제조업 외 10 종,남천영농조합법인,충청북도 제천시 금성면 양화리 494-10,043-644-3382,,2026-01-12
264,그 외 기타 식료품 제조업 외 1 종,(재)충북테크노파크,충청북도 제천시 바이오밸리2로 41 (왕암동),043-270-2600,제천제1산업단지,2026-01-12
50,그 외 기타 식료품 제조업,광채식품,충청북도 제천시 고명로 175 (고명동),043-653-2300,,2026-01-12
85,그 외 기타 식료품 제조업,산뜨레마늘가공공장,충청북도 제천시 금성면 청풍호로 446,043-644-8111,,2026-01-12
337,그 외 기타 식료품 제조업,대상 주식회사,충청북도 제천시 한방엑스포로 46 (왕암동),043-640-0333,제천제2산업단지,2026-01-12
308,그 외 기타 분류 안된 화학제품 제조업 외 1 종,(주)게스코리아,"충청북도 제천시 제2바이오밸리로3길 26, 4동 (왕암동)",070-7841-7766,제천제2산업단지,2026-01-12
323,그 외 기타 분류 안된 화학제품 제조업 외 1 종,(주)엔이세이버,충청북도 제천시 제2바이오밸리로 28 (왕암동),043-756-7111,제천제2산업단지,2026-01-12
266,그 외 기타 분류 안된 화학제품 제조업,(주)그린글로우,"충청북도 제천시 바이오밸리1로 68, 바이오벤처센터 (왕암동)",,제천제1산업단지,2026-01-12
38,그 외 기타 분류 안된 비금속 광물제품 제조업 외 5 종,(주)클레이맥스,충청북도 제천시 송학면 송학로 454 ((주)클레이맥스공장) 외 8필지,043-643-5176,,2026-01-12
218,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,(주)오성티에스디,충청북도 제천시 금성면 청풍호로24길 33,043-653-5574,제천금성농공단지,2026-01-12
104,그 외 기타 분류 안된 비금속 광물제품 제조업 외 11 종,아신공영(주),충청북도 제천시 탑안로24길 3 (고암동),043-651-8277,,2026-01-12
12,그 외 기타 분류 안된 비금속 광물제품 제조업,(주)서호건설,충청북도 제천시 의병대로 419 (흑석동),043-651-7070,,2026-01-12
28,그 외 기타 분류 안된 비금속 광물제품 제조업,(주)이안종합건설,충청북도 제천시 내토로 254(천남동),043-645-0704,,2026-01-12
230,그 외 기타 분류 안된 비금속 광물제품 제조업,주식회사 세이프디,"충청북도 제천시 금성면 청풍호로24길 8, 105호",070-7799-2347,제천금성농공단지,2026-01-12
342,그 외 기타 분류 안된 비금속 광물제품 제조업,에스제이주식회사,충청북도 제천시 왕암동 1412번지,043-756-7560,제천제2산업단지,2026-01-12
364,그 외 기타 분류 안된 금속 가공 제품 제조업,주식회사 이에스시스템,충청북도 제천시 제3산단로 252(왕암동),043-644-3450,제천제3산업단지,2026-01-12
263,그 외 기타 분류 안 된 금속 가공제품 제조업,㈜에스티제이,충청북도 제천시 금성면 양월로 46-82,,제천양화농공단지,2026-01-12
277,그 외 기타 금속가공업 외 2 종,(주)아세아테크,충청북도 제천시 바이오밸리로 64 (왕암동),043-645-5145,제천제1산업단지,2026-01-12
31,그 외 기타 금속가공업,(주)제천내토샤링절곡,충청북도 제천시 탑안로 395 (고암동),043-642-4045,,2026-01-12
130,그 외 기타 금속가공업,제천샌딩,충청북도 제천시 송학면 도화로 454,043-653-8009,,2026-01-12
306,그 외 기타 금속가공업,한서정밀기계,충청북도 제천시 바이오밸리1로 60 (왕암동),043-648-7786,제천제1산업단지,2026-01-12
197,그 외 기타 1차 철강 제조업 외 1 종,(주)스틸코리아,충청북도 제천시 내토로73길 76,043-651-8836,제천고암농공단지,2026-01-12
318,그 외 기타 1차 철강 제조업,(주)씨스틸,"충청북도 제천시 제2바이오밸리로5길 27, 제천시 왕암동 1333 (왕암동)",043-645-2121,제천제2산업단지,2026-01-12
245,구조용 금속 판제품 및 공작물 제조업 외 3 종,(주)그린스케이프,충청북도 제천시 금성면 양월로 46-38,,제천양화농공단지,2026-01-12
222,구조용 금속 판제품 및 공작물 제조업 외 2 종,(주)크린판넬,충청북도 제천시 금성면 청풍호로24길 20,043-651-2722,제천금성농공단지,2026-01-12
141,구조용 금속 판제품 및 공작물 제조업 외 1 종,주식회사 삼양기업,충청북도 제천시 탑안로 448 (고암동),043-648-0015,,2026-01-12
194,구조용 금속 판제품 및 공작물 제조업 외 1 종,(주)라인이엔지,충청북도 제천시 내토로73길 28,043-653-9181,제천고암농공단지,2026-01-12
137,구조용 금속 판제품 및 공작물 제조업,주식회사 내추럴에너지,"충청북도 제천시 내토로 787, 2층(장락동)",1688-2535,,2026-01-12
208,구조용 금속 판제품 및 공작물 제조업,㈜쌍용칼라스틸,충청북도 제천시 내토로73길 7,043-642-2911,제천고암농공단지,2026-01-12
215,구조용 금속 판제품 및 공작물 제조업,태봉광업(주)제천,충청북도 제천시 내토로73길 7,02-318-3408,제천고암농공단지,2026-01-12
270,구름베어링 제조업,(주)박원,충청북도 제천시 바이오밸리로 105 (왕암동) 외 1필지,070-4027-0984,제천제1산업단지,2026-01-12
294,구름베어링 제조업,볼스타,충청북도 제천시 바이오밸리2로 20 (왕암동),043-653-5577,제천제1산업단지,2026-01-12
160,광물처리 및 취급장비 제조업 외 2 종,토교산업주식회사,충청북도 제천시 송학면 내토로 1143 외 3필지,043-645-6160,,2026-01-12
64,광물처리 및 취급장비 제조업,대진정밀(주)제2공장,충청북도 제천시 의림대로44길 152 (장락동),,,2026-01-12
96,과자류 및 코코아 제품 제조업 외 1 종,세하앤,충청북도 제천시 의병대로45길 60 (흑석동),043-649-0290,,2026-01-12
133,과자류 및 코코아 제품 제조업,제천약초한과,충청북도 제천시 금성면 청풍호로29안길 19,043-651-3594,,2026-01-12
229,골판지 제조업 외 4 종,주식회사 구룡,충청북도 제천시 금성면 청풍호로24길 9,043-644-6641,제천금성농공단지,2026-01-12
112,골판지 제조업 외 1 종,영동판지산업(주),충청북도 제천시 봉양읍 제원로 186 외 3필지,043-647-7107,,2026-01-12
189,골판지 제조업 외 1 종,제천판지산업,충청북도 제천시 강저로2길 58 (강제동),043-643-2325,제천강저농공단지,2026-01-12
331,골판지 제조업 외 1 종,(주)참스,충청북도 제천시 제2바이오밸리로 57 (왕암동),055-586-0292,제천제2산업단지,2026-01-12
129,곡물 도정업,제천광역친환경영농조합법인(봉양도정공장),충청북도 제천시 봉양읍 용두대로 821,043-645-5858,,2026-01-12
260,고철가공,동해산업,충청북도 제천시 송학면 송학로10길 7,043-646-8188,제천송학농공단지,2026-01-12
252,"고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",(주)한국하이티엔,충청북도 제천시 금성면 양월로 46-12,032-327-1891,제천양화농공단지,2026-01-12
140,계면활성제 제조업,주식회사 로우라이프,"충청북도 제천시 의병대로23길 1, 1층 (남천동)",043-920-4825,,2026-01-12
32,건설용 석제품 제조업 외 1 종,(주)좋은세상,충청북도 제천시 봉양읍 북부로11길 207,043-648-8222,,2026-01-12
33,건설 및 채광용 기계장비 제조업,(주)중부VTS,충청북도 제천시 금성면 청풍호로 510,043-643-3716,,2026-01-12
43,건설 및 채광용 기계장비 제조업,(주)한국타이어서비스센터 남제천점,충청북도 제천시 금성면 양월로 8,043-653-8527,,2026-01-12
48,건설 및 채광용 기계장비 제조업,경민공업사,충청북도 제천시 북부로 2343 (강제동),043-645-0158,,2026-01-12
75,건설 및 채광용 기계장비 제조업,디벨론건설기계강원판매(주),충청북도 제천시 제천북로 868 (고암동) 외 1필지,043-646-1941,,2026-01-12
100,건설 및 채광용 기계장비 제조업,신세대중기공업사,충청북도 제천시 청풍호로19안길 25 (산곡동),043-646-8489,,2026-01-12
152,건설 및 채광용 기계장비 제조업,진양공업사,충청북도 제천시 내토로57길 12 (장락동),043-647-6333,,2026-01-12
153,건설 및 채광용 기계장비 제조업,첨단공업(주),"충청북도 제천시 내토로65길 12, 외 2필지 (장락동)",043-646-0070,,2026-01-12
170,건설 및 채광용 기계장비 제조업,황금건설기계중기공업사,충청북도 제천시 제천북로 870 (고암동),043-648-1472,,2026-01-12
209,건설 및 채광용 기계장비 제조업,우복기초,충청북도 제천시 내토로73길 65,043-642-4668,제천고암농공단지,2026-01-12
210,건설 및 채광용 기계장비 제조업,우복이엔씨 주식회사,충청북도 제천시 내토로73길 65,02-857-4668,제천고암농공단지,2026-01-12
258,건설 및 채광용 기계장비 제조업,첨단건설기계,"충청북도 제천시 금성면 양월로 46-38, 양화리954-1",043-646-5742,제천양화농공단지,2026-01-12
16,건강보조용 액화식품 제조업 외 1 종,(주)세종쎌팜,충청북도 제천시 봉양읍 용두대로 903,043-653-1074,,2026-01-12
269,건강기능식품 제조업 외 3 종,(주)메디오젠,충청북도 제천시 바이오밸리1로 120 (왕암동) 외 1필지,043-644-4216,제천제1산업단지,2026-01-12
305,건강기능식품 제조업 외 1 종,코스맥스바이오(주),충청북도 제천시 바이오밸리3로 30 (왕암동),043-645-8671,제천제1산업단지,2026-01-12
138,건강기능식품 제조업,주식회사 녹색산업,충청북도 제천시 의병대로42길 64 (두학동),043-652-6525,,2026-01-12
315,건강기능식품 제조업,(주)삼경코스텍,충청북도 제천시 제2바이오밸리로 38 (왕암동),031-695-7030,제천제2산업단지,2026-01-12
353,건강기능식품 제조업,충북테크노파크,충청북도 제천시 제2바이오밸리로2길 22 (왕암동),043-270-2631,제천제2산업단지,2026-01-12
361,건강기능식품 제조업,주식회사 웰레스트,충청북도 제천시 왕암동 제천 제3산업단지 B13-1 구역,02-6949-0761,제천제3산업단지,2026-01-12
83,간판 및 광고물 제조업 외 2 종,봄안 BOMAHN,충청북도 제천시 내토로12길 5-1 (영천동),043-646-0126,,2026-01-12
145,간판 및 광고물 제조업 외 1 종,주식회사 인포,충청북도 제천시 명지로 48 (명지동),043-645-0877,,2026-01-12
26,가금류 가공 및 저장 처리업 외 2 종,(주)원푸드시스템,충청북도 제천시 송학주천로 54 (고암동) 외 2필지,043-644-0509,,2026-01-12
328,가금류 가공 및 저장 처리업 외 1 종,(주)제이원푸드,충청북도 제천시 제2바이오밸리로 71 (왕암동),043-642-8623,제천제2산업단지,2026-01-12
24,가금류 가공 및 저장 처리업,(주)올계농업회사법인,충청북도 제천시 대학로 155(신월동),043-642-6225,,2026-01-12
143,가금류 가공 및 저장 처리업,주식회사 세림푸드시스템,충청북도 제천시 내토로65길 6 (장락동),043-647-4497,,2026-01-12
176,가금류 가공 및 저장 처리업,(주)웰푸드,충청북도 제천시 강저로2길 47 (강제동),,제천강저농공단지,2026-01-12
