연번,시도명,시군구명,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원,데이터기준일
186,충청북도,보은군,청정정미소,제조업,10511,충청북도 보은군 보은읍 죽전리 52번지,043-542-6543,043-542-2514,9,2025-09-03
187,충청북도,보은군,케이디켐(주),제조업,20499,충청북도 보은군 보은읍 길상리 22-3번지 외 5필지,043-543-8420,043-543-4177,11,2025-09-03
188,충청북도,보은군,테스코,제조업,22232,충청북도 보은군 탄부면 평각리 116 외 1필지,,043-543-7776,6,2025-09-03
189,충청북도,보은군,트러시스,제조업,25112,충청북도 보은군 내북면 법주리 229번지 외 1필지,043-543-2211,050-5333-7959,1,2025-09-03
190,충청북도,보은군,트로이카시계,제조업,27220,충청북도 보은군 수한면 노성리 17번지,043-731-0863,043-731-0861,3,2025-09-03
191,충청북도,보은군,티이엠씨(주),제조업,20121,충청북도 보은군 삼승면 우진리 554번지,043-298-3333,043-297-3334,7,2025-09-03
192,충청북도,보은군,티이엠씨씨엔에스주식회사,제조업,20499,충청북도 보은군 삼승면 우진리 592번지,031-8052-9077,031-8052-8101,100,2025-09-03
193,충청북도,보은군,티이엠씨씨엔에스주식회사,제조업,20499,충청북도 보은군 삼승면 우진리 585번지 외 1필지,031-8052-9030,043-543-8103,12,2025-09-03
194,충청북도,보은군,티이엠씨주식회사,제조업,20121,충청북도 보은군 삼승면 우진리 556 티이엠씨(주)B공장,070-4480-4400,043-544-3339,14,2025-09-03
195,충청북도,보은군,파로메이션(주)보은공장,제조업,29133,충청북도 보은군 삼승면 우진리 540번지 공장 (우진리 540번지),043-543-2413,043-544-1619,2,2025-09-03
196,충청북도,보은군,팩트그룹클로저시스템즈코리아(주),제조업,22232,충청북도 보은군 삼승면 우진리 539번지,043-543-4214,043-543-4218,45,2025-09-03
197,충청북도,보은군,퓨어만(주),제조업,20121,충청북도 보은군 장안면 구인리 182-20번지 (구인리182-20),043-544-8388,043-544-8390,10,2025-09-03
198,충청북도,보은군,퓨어만(주)(제2공장),제조업,20121,충청북도 보은군 장안면 구인리 215-7 주식회사,043-544-8388,043-544-8390,8,2025-09-03
199,충청북도,보은군,한국고려인삼영농조합법인,제조업,11209,충청북도 보은군 수한면 후평리 222-2번지,043-543-2020,043-543-3397,1,2025-09-03
200,충청북도,보은군,한일후드(주),제조업,10709,충청북도 보은군 삼승면 우진리 744 한일후드(주)보은 만두공장,043-732-0992,,131,2025-09-03
201,충청북도,보은군,한화에어로스페이스(주) 보은사업장,제조업,25200,충청북도 보은군 내북면 염둔리 111 한화에어로스페이스(주) 보은사업장,043-540-0829,0505-730-1385,587,2025-09-03
202,충청북도,보은군,현대농산,제조업,20312,충청북도 보은군 장안면 오창리 133번지,043-544-9300,043-544-9301,4,2025-09-03
203,충청북도,보은군,환경에너지솔루션(주),제조업,25113,충청북도 보은군 회인면 고석리 387-5 사무소,02-2081-7700,02-2081-7708,0,2025-09-03
204,충청북도,보은군,황금이네,제조업,10896,충청북도 보은군 삼승면 우진리 579,,043-544-7796,19,2025-09-03
205,충청북도,보은군,㈜계영,제조업,20411,보은군 삼승면 남부로 3750-64,070-4104-0404,043-543-9550,2,2025-09-03
206,충청북도,보은군,구록원,제조업,10896,보은군 삼승면 남부로 3750-345,,042-367-0043,12,2025-09-03
207,충청북도,보은군,금양에코파크㈜,제조업,35119,보은군 삼승면 우진리 730,043-544-8885,,4,2025-09-03
208,충청북도,보은군,㈜네오시티,제조업,23325,보은군 삼승면 남부로 3750-88,02-417-3700,02-417-3705,8,2025-09-03
209,충청북도,보은군,㈜대림,제조업,20121,보은군 삼승면 우진리 736,043-543-6005,,4,2025-09-03
210,충청북도,보은군,㈜대명콘스텍,제조업,20411,보은군 삼승면 남부로 3800,02-831-1560,02-831-1563,10,2025-09-03
211,충청북도,보은군,㈜덕산기계,제조업,25113,보은군 삼승면 남부로 3787-51,070-4209-8001,043-544-8007,14,2025-09-03
212,충청북도,보은군,㈜돋움,제조업,10892,보은군 삼승면 남부로 3750-341,043-543-6003,043-544-4003,6,2025-09-03
213,충청북도,보은군,㈜디엠콘크리트,제조업,23325,보은군 삼승면 남부로 3750-98,031-632-6639,,3,2025-09-03
214,충청북도,보은군,맥스콘소재㈜,제조업,20499,"보은군 삼승면 남부로 3750-159, 3790-147",043-543-3018,043-543-3019,18,2025-09-03
215,충청북도,보은군,㈜문정화학,제조업,20491,보은군 삼승면 남부로 3790-152,043-544-1819,043-543-1849,4,2025-09-03
216,충청북도,보은군,㈜미락씨이엠,제조업,29241,보은군 삼승면 우진리 635 외 6필지,043-544-7451,043-544-7454,19,2025-09-03
217,충청북도,보은군,㈜바이오프랜즈,제조업,20119,보은군 삼승면 남부로 3790-29 외 1필지,043-544-3813,070-5153-2778,55,2025-09-03
218,충청북도,보은군,㈜바이오플랜,제조업,20312,보은군 삼승면 남부로 3808 외 2필지,043-543-3873,043-543-3876,33,2025-09-03
219,충청북도,보은군,백승패널(주),제조업,25119,보은군 삼승면 남부로 3749-51 ,043-544-5502　,043-544-5501,5,2025-09-03
220,충청북도,보은군,금강공업㈜,제조업,25113,보은군 삼승면 남부로 3749-11,043-542-5631,043-543-4119,6,2025-09-03
221,충청북도,보은군,㈜보광화학,제조업,20129,보은군 삼승면 남부로 3750-129,043-543-2226,043-543-4950,17,2025-09-03
222,충청북도,보은군,㈜터보존,제조업,29174,보은군 삼승면 남부로 3750-33,043-543-1823,043-543-1284,5,2025-09-03
223,충청북도,보은군,㈜상신,제조업,29177,보은군 삼승면 남부로 3790-30,031-352-6071,031-352-6121,12,2025-09-03
224,충청북도,보은군,㈜새결,제조업,20499,보은군 삼승면 남부로 3750-199,043-544-1237,,20,2025-09-03
225,충청북도,보은군,생고뱅코리아,제조업,22291,보은군 삼승면 남부로 3750-217,043-773-7800,043-773-7850,45,2025-09-03
226,충청북도,보은군,서은플랜트기술㈜,제조업,25122,보은군 삼승면 남부로 3750-235,,,8,2025-09-03
227,충청북도,보은군,㈜선진시스템,제조업,25924,보은군 삼승면 남부로 3792,043-543-2271,043-543-2273,7,2025-09-03
228,충청북도,보은군,㈜성덕,제조업,10301,보은군 삼승면 남부로 3790-28,043-544-8280,043-544-8281,31,2025-09-03
229,충청북도,보은군,속리바이오텍(주),제조업,10896,보은군 삼승면 남부로 3750-229,043-544-7772,043-543-7772,4,2025-09-03
230,충청북도,보은군,신우코스텍(주),제조업,22232,보은군 삼승면 남부로 3750-147,043-544-6084,043-544-6091,20,2025-09-03
231,충청북도,보은군,㈜엠에스시,제조업,20202,보은군 삼승면 남부로 3790-15,044-864-6640,044-864-6642,24,2025-09-03
232,충청북도,보은군,엠피텍,제조업,20321,보은군 삼승면 남부로 3750-113,043-542-9894,043-543-9894,5,2025-09-03
233,충청북도,보은군,(주)오리엔탈드림,제조업,28512,보은군 삼승면 남부로 3790-137,,,15,2025-09-03
234,충청북도,보은군,㈜월드피씨,제조업,23325,보은군 삼승면 남부로 3790-59,043-542-0196,0303-0946-0196,3,2025-09-03
235,충청북도,보은군,이에이바이오스㈜,제조업,20411,보은군 삼승면 남부로 3787-69,051-463-0231,,11,2025-09-03
236,충청북도,보은군,이제이케미칼,제조업,20499,보은군 삼승면 남부로 3750-115,070-4905-9982,032-328-1502,4,2025-09-03
237,충청북도,보은군,인성피앤씨(주),제조업,22212,보은군 삼승면 남부로 3750-35,043-543-2123,043-544-2123,84,2025-09-03
238,충청북도,보은군,㈜정화,제조업,10309,보은군 삼승면 남부로 3750-37,043-543-8754,043-543-8755,24,2025-09-03
239,충청북도,보은군,㈜지웰,제조업,10309,보은군 삼승면 남부로 3750-331,043-543-0027,043-543-0028,38,2025-09-03
240,충청북도,보은군,㈜케이제이이노베이션,제조업,26429,보은군 삼승면 남부로 3750-24,02-508-6468,02-508-6469,4,2025-09-03
241,충청북도,보은군,㈜테크윈,제조업,22259,보은군 삼승면 남부로 3790-37,043-543-8177,043-261-8003,8,2025-09-03
242,충청북도,보은군,티이엠씨(주),제조업,20121,보은군 삼승면 남부로 3750-148 외 5필지,043-298-3333,,104,2025-09-03
243,충청북도,보은군,티이엠씨씨엔에스㈜,제조업,20499,보은군 삼승면 남부로 3790-52 외 1필지,043-773-7779,043-544-3339,55,2025-09-03
244,충청북도,보은군,㈜포스하이텍,제조업,23999,보은군 삼승면 남부로 3750-139,043-542-1006,043-542-1066,5,2025-09-03
245,충청북도,보은군,㈜한국교량,제조업,25113,보은군 삼승면 남부로 3750-58,070-8630-6220,032-260-9545,1,2025-09-03
246,충청북도,보은군,㈜한국카본,제조업,23121,보은군 삼승면 남부로 3750-271 외 2필지,043-540-7108,055-355-0088,10,2025-09-03
247,충청북도,보은군,한일후드㈜,제조업,10709,보은군 삼승면 우진리 744,043-733-2570,,45,2025-09-03
248,충청북도,보은군,황금이네,제조업,10896,보은군 삼승면 남부로 3750-123,043-544-7797,043-544-7796,15,2025-09-03
249,충청북도,보은군,㈜에스피에스아이,제조업,28119,보은군 삼승면 우진리 733,02-406-6050,,150,2025-09-03
250,충청북도,보은군,바이오맥스(주),제조업,20499,보은군 삼승면 남부로 3750-159,070-4481-4150,,4,2025-09-03
251,충청북도,보은군,㈜에코원,제조업,20411,보은군 삼승면 남부로 3750-64,,,4,2025-09-03
252,충청북도,보은군,㈜백봉샵,제조업,25992,보은군 삼승면 남부로 3792,,,6,2025-09-03
253,충청북도,보은군,글로벌 건설,제조업,20411,보은군 삼승면 남부로 3750-64,,,4,2025-09-03
254,충청북도,보은군,㈜코리아아그로,제조업,20312,보은군 삼승면 우진리 737,043-544-5800,,0,2025-09-03
255,충청북도,보은군,가온칼라강판,제조업,25112,보은군 삼승면 우진리 575,,,0,2025-09-03
