연번,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원 수,데이터기준일자
610,(주)아이테크,금속탱크 및 저장용기 제조업 외 1 종,25122,충청북도 음성군 대소면 대동로 442,043-881-3380,043-881-3390,10,2025-08-31
611,(주)아트,그 외 기타 분류 안된 화학제품 제조업 외 2 종,20499,충청북도 음성군 금왕읍 오선산단로 63,043-877-2335,043-877-2336,4,2025-08-31
612,(주)아트박스,그 외 기타 플라스틱 제품 제조업,22299,충청북도 음성군 삼성면 상곡로 55-66,043-878-6911,043-878-6916,51,2025-08-31
613,(주)아트인더스트리,"천막, 텐트 및 유사 제품 제조업",13224,충청북도 음성군 금왕읍 금왕테크노2길 56,02-2256-0434,02-2256-0407,4,2025-08-31
614,(주)안동기공(음성공장),육상 금속 골조 구조재 제조업 외 5 종,25113,충청북도 음성군 삼성면 청용로 457,043-882-8412,043-882-8414,13,2025-08-31
615,(주)알.브이,그 외 기타 분류 안된 비금속 광물제품 제조업 외 6 종,23999,충청북도 음성군 삼성면 대성로547번길 111-22,043-882-1800,043-882-1804,5,2025-08-31
616,(주)알루이엔씨,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",25111,충청북도 음성군 생극면 음성로 1380 외 15필지,043-878-8751,043-878-8753,10,2025-08-31
617,(주)알루컴,플라스틱 창호 제조업 외 1 종,22223,충청북도 음성군 삼성면 금일로 679-6,043-878-4567,043-878-6464,7,2025-08-31
618,(주)알앤피우진,고무패킹류 제조업 외 3 종,22191,충청북도 음성군 금왕읍 행제길55번길 26-11,043-881-6452,,4,2025-08-31
619,(주)알지텍,구조용 금속 판제품 및 공작물 제조업 외 1 종,25112,"충청북도 음성군 원남면 원소로 34-31, 라동, 마동",051-464-0870,051-464-0872,5,2025-08-31
620,(주)알코대아,"알루미늄 압연, 압출 및 연신제품 제조업",24222,충청북도 음성군 삼성면 대청로 282 외 2필지,043-750-7313,,10,2025-08-31
621,(주)알코판넬,"알루미늄 압연, 압출 및 연신제품 제조업",24222,충청북도 음성군 삼성면 청용리 202 외 7필지,043-882-8397,,14,2025-08-31
622,(주)알트민,산업용 그 외 비경화 고무제품 제조업,22192,충청북도 음성군 원남면 백마령길 23 외 4필지,043-873-4991,043-873-4993,3,2025-08-31
623,(주)알파원산업,기타 물품 취급장비 제조업,29169,충청북도 음성군 감곡면 월정리 167-5 외 1필지,,043-883-5661,5,2025-08-31
624,(주)알포메,폴리스티렌 발포 성형제품 제조업 외 1 종,22251,충청북도 음성군 금왕읍 오선리 445 번지 외 7필지,043-881-9323,043-881-9329,44,2025-08-31
625,(주)앤디포스,플라스틱 접착처리 제품 제조업 외 1 종,22291,충청북도 음성군 대소면 삼정리 276번지 외 2필지,043-881-3325,043-881-3327,32,2025-08-31
626,(주)앤텍,플라스틱 접착처리 제품 제조업 외 1 종,22291,충청북도 음성군 금왕읍 행제길 101-28,043-881-1907,043-882-1909,5,2025-08-31
627,(주)야후건기,건설.광업용 기계 및 장비 수리업,34011,충청북도 음성군 삼성면 대덕로 47 외 8필지,031-714-2480,,10,2025-08-31
628,(주)야후건기,기타 물품 취급장비 제조업,29169,충청북도 음성군 삼성면 대덕로 63-56 외 2필지,031-714-2451,043-878-2485,10,2025-08-31
629,(주)어니스트초이스,육류 기타 가공 및 저장처리업 (가금류 제외),10129,충청북도 음성군 삼성면 상곡로 103-1,043-883-1101,043-883-1102,24,2025-08-31
630,(주)업텍,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 금왕읍 오선산단로 22-42,031-8003-3501,043-878-3501,8,2025-08-31
631,(주)에그앤씨드 음성지점,육류 기타 가공 및 저장처리업 (가금류 제외) 외 8 종,10129,충청북도 음성군 금왕읍 유촌로232번길 73 외 2필지,043-537-3443,043-537-3444,7,2025-08-31
632,(주)에녹켐,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,"충청북도 음성군 맹동면 맹동산단1길 60, 라동",031-693-5776,,5,2025-08-31
633,(주)에스금속,"동 제련, 정련 및 합금 제조업",24211,충청북도 음성군 삼성면 대덕로 89 외 1필지,042-877-0415,043-877-0419,5,2025-08-31
634,(주)에스디생명공학 건강식품사업부문,건강기능식품 제조업 외 13 종,10897,"충청북도 음성군 원남면 원남산단로 111, (상노리 766) 외 1필지",070-4887-0219,043-873-2389,1,2025-08-31
635,(주)에스디씨,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 삼성면 금일로 955-36 외 1필지,031-8033-3473,,0,2025-08-31
636,(주)에스비엠테크,포장용 플라스틱 성형용기 제조업 외 2 종,22232,충청북도 음성군 생극면 임곡길 173,043-878-9993,043-878-9940,8,2025-08-31
637,(주)에스비테크,구조용 금속 판제품 및 공작물 제조업 외 1 종,25112,충청북도 음성군 금왕읍 금일로 638,043-877-2034,043-877-5533,30,2025-08-31
638,(주)에스비테크 제2공장,구조용 금속 판제품 및 공작물 제조업,25112,충청북도 음성군 삼성면 대정리 277-8 외 9필지,043-877-2034,,10,2025-08-31
639,(주)에스비테크 제3공장,기타 기초 유기화학 물질 제조업 외 1 종,20119,충청북도 음성군 금왕읍 사창리 226-27 외 2필지,043-877-2034,,21,2025-08-31
640,(주)에스비테크(대정리),구조용 금속 판제품 및 공작물 제조업,25112,충청북도 음성군 삼성면 대정리 276-2,043-877-2034,,5,2025-08-31
641,(주)에스비플랜,구조용 금속 판제품 및 공작물 제조업 외 1 종,25112,충청북도 음성군 금왕읍 진성로 1901,043-881-5376,043-881-5377,15,2025-08-31
642,(주)에스씨알지점,그 외 기타 고무제품 제조업 외 1 종,22199,충청북도 음성군 금왕읍 생삼로 581-9 외 2필지,031-962-9300,031-964-9304,5,2025-08-31
643,(주)에스씨컴퍼니,기타 건축용 플라스틱 조립제품 제조업,22229,충청북도 음성군 금왕읍 청평길 41-4,031-985-4401,031-985-4403,6,2025-08-31
644,(주)에스에스케이,부직포 및 펠트 제조업 외 1 종,13992,충청북도 음성군 원남면 원남산단로 72,043-873-5608,043-711-1568,37,2025-08-31
645,(주)에스에이치,직물포대 제조업 외 1 종,13225,충청북도 음성군 음성읍 충청대로 1620-28,043-873-0560,043-873-0561,4,2025-08-31
646,(주)에스에프피,합성수지 및 기타 플라스틱 물질 제조업,20202,충청북도 음성군 삼성면 대성로 417,043-877-7595,043-877-7594,10,2025-08-31
647,(주)에스엔케이블,"동 압연, 압출 및 연신제품 제조업",24221,충청북도 음성군 맹동면 덕금로310번길 39-1,043-883-2081,043-883-2083,20,2025-08-31
648,(주)에스엠바이오,천연 및 혼합조제 조미료 제조업 외 9 종,10832,충청북도 음성군 생극면 이진말길 10-17 외 2필지,043-883-0976,043-883-0977,6,2025-08-31
649,(주)에스엠티,속도계 및 적산계기 제조업,27214,충청북도 음성군 생극면 음성로 1494-23 (총 3 필지) 외 2필지,,,2,2025-08-31
650,(주)에스오엔지,톱 및 호환성 공구 제조업,25934,충청북도 음성군 감곡면 문촌리 1160번지,043-882-9947,043-882-9948,5,2025-08-31
651,(주)에스와이코리아텍,플라스틱 접착처리 제품 제조업,22291,충청북도 음성군 금왕읍 행제길 22-9,043-878-8826,043-878-8827,4,2025-08-31
652,(주)에스유,그 외 기타 나무제품 제조업 외 5 종,16299,충청북도 음성군 원남면 상경로 340,032-815-2578,032-815-2579,3,2025-08-31
653,(주)에스이산업,기타 직물제품 제조업,13229,"충청북도 음성군 대소면 대금로196번길 73-5, 가동",043-750-7003,,4,2025-08-31
654,(주)에스이엠,그 외 기타 고무제품 제조업,22199,충청북도 음성군 대소면 대금로196번길 73-5 나동,043-533-6200,043-533-6201,10,2025-08-31
655,(주)에스제이광물,"1차 유리제품, 유리섬유 및 광학용 유리 제조업",23121,충청북도 음성군 대소면 대금로196번길 87,043-532-9025,043-532-9026,3,2025-08-31
656,(주)에스제이솔루션,농업 및 임업용 기계 제조업,29210,충청북도 음성군 대소면 대금로 237,043-882-2580,02-6005-9469,9,2025-08-31
657,(주)에스제이코퍼레이션,기타 1차 비철금속 제조업,24290,충청북도 음성군 대소면 삼정리 758-19,043-750-7009,043-750-7099,14,2025-08-31
658,(주)에스제이테크,자동차 차체용 신품 부품 제조업 외 2 종,30320,충청북도 음성군 생극면 음성로 1472,043-882-0432,043-882-0433,5,2025-08-31
659,(주)에스케이엠,플라스틱 접착처리 제품 제조업 외 1 종,22291,충청북도 음성군 원남면 상경로 424-12 외 4필지,043-873-7262,043-873-7263,7,2025-08-31
660,(주)에스케이엠씨,"동 압연, 압출 및 연신제품 제조업",24221,충청북도 음성군 삼성면 행제길76번길 97-4,043-882-9408,043-881-9408,17,2025-08-31
661,(주)에스페랑스,골판지 원지 제조업 외 1 종,17104,충청북도 음성군 대소면 한삼로 108-72,043-881-8982,043-878-8983,11,2025-08-31
662,(주)에스피엠,기타 기초 무기 화학물질 제조업,20129,충청북도 음성군 맹동면 초금로332번길 8-11,,043-882-0550,2,2025-08-31
663,(주)에어론,기타 건축용 플라스틱 조립제품 제조업,22229,"충청북도 음성군 삼성면 대덕로 161 충청북도 음성군 삼성면 대정리 451번지 제 가,나,라,마동 외 1필지",070-7117-0470,031-764-0163,5,2025-08-31
664,(주)에어론 음성지점,폴리스티렌 발포 성형제품 제조업 외 1 종,22251,"충청북도 음성군 삼성면 대덕로 161 충청북도 음성군 삼성면 대정리 451번지 A(외 9필지 부속건물 B,C,D,E,F동) 451 외 1필지",070-7117-0470,031-675-0470,12,2025-08-31
665,(주)에이맥스,"천막, 텐트 및 유사 제품 제조업 외 1 종",13224,충청북도 음성군 금왕읍 금왕테크노2길 56,043-882-5990,043-878-5991,34,2025-08-31
666,(주)에이스침대,기타 목재가구 제조업 외 2 종,32029,충청북도 음성군 삼성면 상곡로 55-35 (총 15 필지) 외 14필지,043-877-1881,043-877-1889,168,2025-08-31
667,(주)에이스침대 제2공장,매트리스 및 침대 제조업 외 1 종,32011,충청북도 음성군 상곡로 55 -35(삼성면),043-877-1881,043-877-1889,50,2025-08-31
668,(주)에이스침대 제5공장,기타 목재가구 제조업,32029,충청북도 음성군 삼성면 상곡로 55-35,043-877-1881,043-877-1889,58,2025-08-31
669,(주)에이스침대제3공장,운송장비 조립용 플라스틱제품 제조업 외 1 종,22241,충청북도 음성군 삼성면 상곡리 305번지 외 34필지 외 34필지,043-877-1881,,30,2025-08-31
670,(주)에이스테크,기타 플라스틱 발포 성형제품 제조업,22259,충청북도 음성군 삼성면 대청로 77-25 외 3필지,043-882-0590,043-882-0592,8,2025-08-31
671,(주)에이씨앤씨,산업용 그 외 비경화 고무제품 제조업,22192,충청북도 음성군 삼성면 금일로 975-21,043-882-2972,043-882-2973,11,2025-08-31
672,(주)에이씨앤엠,그 외 기타 플라스틱 제품 제조업,22299,"충청북도 음성군 삼성면 대성로547번길 84, 가동",043-883-9953,043-883-9954,0,2025-08-31
673,(주)에이에스피,합성수지 및 기타 플라스틱 물질 제조업,20202,충청북도 음성군 원남면 원남산단로 106-16,043-882-5091,043-882-5092,23,2025-08-31
674,(주)에이엘테크,"알루미늄 제련, 정련 및 합금 제조업",24212,충청북도 음성군 금왕읍 내송리 382,043-883-2218,070-7580-2218,5,2025-08-31
675,(주)에이원,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 원남면 원남산단1길 49-16,031-377-7833,031-376-9786,3,2025-08-31
676,(주)에이원카프,기타 식품 첨가물 제조업 외 5 종,10839,충청북도 음성군 금왕읍 금일로 362,031-469-4637,031-469-4784,6,2025-08-31
677,(주)에이취.엔.피,산업용 냉장 및 냉동 장비 제조업,29171,충청북도 음성군 대소면 한삼로 150-10 외 7필지,043-883-9401,043-883-9409,47,2025-08-31
678,(주)에이치더블유,기타 식품 첨가물 제조업 외 1 종,10839,충청북도 음성군 원남면 충청대로 925,043-872-7922,043-872-7924,30,2025-08-31
679,(주)에이치비글로벌,"치약, 비누 및 기타 세제 제조업 외 1 종",20422,충청북도 음성군 금왕읍 유촌산단로 40-17,,070-4015-0922,29,2025-08-31
680,(주)에이치비글로벌,"치약, 비누 및 기타 세제 제조업 외 3 종",20422,충청북도 음성군 맹동면 두레로 206,070-4888-4257,070-4015-0922,25,2025-08-31
681,(주)에이치스틸,"알루미늄 압연, 압출 및 연신제품 제조업 외 2 종",24222,충청북도 음성군 대소면 삼호리 60 외 1필지,070-4035-5224,070-4009-7229,16,2025-08-31
682,(주)에이치앤디테크,플라스틱 접착처리 제품 제조업,22291,충청북도 음성군 금왕읍 금일로191번길 18 외 1필지,,,5,2025-08-31
683,(주)에이치앤씨티에스,일반용 도료 및 관련제품 제조업,20411,충청북도 음성군 금왕읍 유촌산단1길 55,043-881-5614,043-881-5615,12,2025-08-31
684,(주)에이치에스하우징,플라스틱 창호 제조업,22223,충청북도 음성군 금왕읍 생삼로207번길 123,043-750-8877,043-750-8949,0,2025-08-31
685,(주)에이치엔피,강관 제조업 외 4 종,24132,충청북도 음성군 음성읍 용광로 484,031-791-1533,031-791-1534,18,2025-08-31
686,(주)에이치지솔루션,기타 절연선 및 케이블 제조업,28302,충청북도 음성군 대소면 오태로116번길 275-151,063-213-7367,063-213-7368,10,2025-08-31
687,(주)에이치티,일반 제재업 외 8 종,16101,충청북도 음성군 감곡면 감노로 285,043-878-2990,043-878-2991,8,2025-08-31
688,(주)에이케이케이,액체 여과기 제조업,29176,충청북도 음성군 삼성면 선정로 88-26 외 5필지,043-883-8422,043-883-2464,11,2025-08-31
689,(주)에이테크,"알루미늄 제련, 정련 및 합금 제조업",24212,충청북도 음성군 원남면 원남산단1길 79,043-873-6681,043-873-6685,22,2025-08-31
690,(주)에이텍정밀화학,그 외 기타 분류 안된 화학제품 제조업 외 3 종,20499,"충청북도 음성군 원남면 원남산단1길 32-21, (상당리 704)",043-266-1985,043-266-1987,23,2025-08-31
691,(주)에이티에스,운송장비용 이차전지 제조업 외 3 종,28202,충청북도 음성군 대소면 수태로 32 외 1필지,043-883-1400,043-883-1405,5,2025-08-31
692,(주)에이팩트,그 외 기타 전자부품 제조업,26299,충청북도 음성군 맹동면 두성리 1145번지,031-8046-1700,031-8046-1703,100,2025-08-31
693,(주)에치피,그 외 기타 종이 및 판지 제품 제조업,17909,충청북도 음성군 맹동면 초금로 182-2,070-4271-1640,02-849-8960,4,2025-08-31
694,(주)에코씨엠,기타 구조용 금속제품 제조업 외 2 종,25119,충청북도 음성군 삼성면 대청로 87-16 (총 2 필지) 외 1필지,043-881-1871,043-881-1874,7,2025-08-31
695,(주)에코월드,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",23324,충청북도 음성군 생극면 오생리 354-1 외 1필지,043-882-9972,043-882-9974,12,2025-08-31
696,(주)에코파크,그 외 기타 플라스틱 제품 제조업,22299,충청북도 음성군 삼성면 용성로 109 외 1필지,043-877-7988,,0,2025-08-31
697,(주)엑시옴(XIOM),기타 운동 및 경기용구 제조업,33309,충청북도 음성군 맹동면 태정로 43 외 2필지,02-2285-0441,02-6004-5950,28,2025-08-31
698,(주)엔씨씨,그 외 기타 분류 안된 비금속 광물제품 제조업 외 1 종,23999,충청북도 음성군 금왕읍 금왕테크노로 102,043-535-6888,043-536-6888,2,2025-08-31
699,(주)엔씨씨테크,합성수지 및 기타 플라스틱 물질 제조업 외 2 종,20202,충청북도 음성군 금왕읍 금왕테크노로 102,043-535-6888,043-536-6888,10,2025-08-31
700,(주)엔씨유,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",22292,충청북도 음성군 금왕읍 유촌산단1길 13,070-4126-0661,,3,2025-08-31
701,(주)엔에스티바이오,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,10309,충청북도 음성군 음성읍 중앙로 296 외 2필지,043-750-7571,043-750-7572,6,2025-08-31
702,(주)엔젤바이오,생물 살균.살충제 및 식물보호제 제조업 외 1 종,20322,충청북도 음성군 대소면 오태로116번길 175-42 외 2필지,043-882-5356,043-882-5357,3,2025-08-31
703,(주)엔젤에스캄,"치약, 비누 및 기타 세제 제조업",20422,"충청북도 음성군 대소면 산내로 308, 201호 (대소터미널빌딩) 외 4필지",043-883-5417,043-883-5418,3,2025-08-31
704,(주)엔코텍이엔씨,혼성 및 재생 플라스틱 소재 물질 제조업,20203,충청북도 음성군 소이면 충청대로 1770-41,031-449-8888,031-455-7835,5,2025-08-31
705,(주)엔티코,화장품 제조업,20423,충청북도 음성군 금왕읍 금일로284번길 23-6,02-1833-7886,070-7500-2000,10,2025-08-31
706,(주)엘가,과자류 및 코코아 제품 제조업,10603,충청북도 음성군 대소면 된말길 10-9 외 3필지,1644-5184,,40,2025-08-31
707,(주)엘디기술,그 외 기타 특수목적용 기계 제조업 외 1 종,29299,충청북도 음성군 금왕읍 사창리 240-8,02-571-0571,,5,2025-08-31
708,(주)엘렉스폴리테크,플라스틱 필름 제조업 외 2 종,22212,충청북도 음성군 맹동면 두성리 652-1번지,043-877-4119,043-877-4121,13,2025-08-31
709,(주)엘림피시텍,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23325,충청북도 음성군 맹동면 대동로 82-17 외 3필지,043-750-8951,043-750-8953,10,2025-08-31
710,(주)엘스브릿지,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,10309,"충청북도 음성군 대소면 한삼로153번길 76-17, 가동 외 2필지",070-4763-0730,043-881-5572,10,2025-08-31
711,(주)엘시시,화장품 제조업,20423,충청북도 음성군 대소면 삼양로 738-13 외 11필지,043-883-1496,043-883-1491,106,2025-08-31
712,(주)엘앤피,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",22292,충청북도 음성군 삼성면 선정로97번길 52,043-877-0335,043-877-0336,5,2025-08-31
713,(주)엘에스기연,암면 및 유사제품 제조업 외 1 종,23994,충청북도 음성군 대소면 대동로537번길 148,043-877-7809,043-877-7657,4,2025-08-31
714,(주)엘에프씨,일반용 도료 및 관련제품 제조업 외 1 종,20411,충청북도 음성군 금왕읍 오선산단로 22-30,043-845-9920,043-845-9921,2,2025-08-31
715,(주)엘엔티,플라스틱 필름 제조업 외 1 종,22212,충청북도 음성군 대소면 한삼로153번길 76-21 외 1필지,043-878-7373,043-878-7371,10,2025-08-31
716,(주)엘케이,위생용 종이제품 제조업,17902,충청북도 음성군 대소면 산내로107번길 31 외 2필지,043-533-6901,043-533-6902,14,2025-08-31
717,(주)엘티에스,주형 및 금형 제조업,29293,충청북도 음성군 삼성면 선정로97번길 90-14,043-882-3396,043-882-3397,9,2025-08-31
718,(주)엠바이오,기타 기초 무기 화학물질 제조업,20129,"충청북도 음성군 삼성면 금일로 955-36, 가동 1,2층",,,0,2025-08-31
719,(주)엠씨엠,액체 여과기 제조업,29176,충청북도 음성군 맹동면 맹동산단1길 47-7,043-753-1084,043-533-5453,22,2025-08-31
720,(주)엠앤씨,합성수지 및 기타 플라스틱 물질 제조업,20202,충청북도 음성군 삼성면 대성로380번길 209,043-878-2738,043-878-2739,11,2025-08-31
721,(주)엠에스로드,육상 금속 골조 구조재 제조업 외 4 종,25113,충청북도 음성군 생극면 생극산단길 72,02-3422-0020,02-3422-2289,15,2025-08-31
722,(주)엠에스케이포장,비내화 모르타르 제조업 외 5 종,23321,충청북도 음성군 감곡면 오향리 146-4번지 외 1필지,043-877-2355,043-877-2344,10,2025-08-31
723,(주)엠에이치투바이오케미칼,"식초, 발효 및 화학 조미료 제조업",10831,충청북도 음성군 생극면 생삼로 176-22,043-877-8688,043-877-8689,10,2025-08-31
724,(주)엠엔,주방용 전기기기 제조업 외 1 종,28511,충청북도 음성군 대소면 산내로 71 외 2필지,02-2088-5936,043-878-7666,10,2025-08-31
725,(주)엠엔비물산,육류 기타 가공 및 저장처리업 (가금류 제외),10129,충청북도 음성군 금왕읍 구개천길116번길 40 외 5필지,043-531-6611,043-535-6690,5,2025-08-31
726,(주)엠이비,기타 곡물 가공품 제조업,10519,충청북도 음성군 대소면 대풍산단로 307,043-535-5542,,25,2025-08-31
727,(주)엠케이,"천막, 텐트 및 유사 제품 제조업",13224,충청북도 음성군 금왕읍 금왕테크노2길 56,032-325-0563,032-325-0437,4,2025-08-31
728,(주)엠케이생명과학,반려동물용 사료 제조업 외 3 종,10901,충청북도 음성군 금왕읍 신내로695번길 175,043-881-4605,043-877-4606,5,2025-08-31
729,(주)엠티씨,금속탱크 및 저장용기 제조업 외 1 종,25122,충청북도 음성군 감곡면 가곡로 478-59 외 2필지,031-633-3615,,7,2025-08-31
730,(주)엠포피드,반려동물용 사료 제조업 외 1 종,10901,충청북도 음성군 감곡면 감노로 684,043-883-6532,043-883-6533,6,2025-08-31
731,(주)영공,기타 구조용 금속제품 제조업 외 1 종,25119,충청북도 음성군 대소면 대금로 149 (총 2 필지) 외 1필지,043-881-9545,,15,2025-08-31
732,(주)영도유리산업,안전유리 제조업 외 1 종,23112,충청북도 음성군 감곡면 영산로 359,043-882-1001,,10,2025-08-31
733,(주)영동산업개발,주형 및 금형 제조업,29293,충청북도 음성군 대소면 부윤리 3-1 외 2필지,043-882-6970,043-882-6971,4,2025-08-31
734,(주)영동테크,주형 및 금형 제조업,29293,충청북도 음성군 금왕읍 대금로 1004,043-882-6970,,1,2025-08-31
735,(주)영상,전동기 및 발전기 제조업 외 1 종,28111,충청북도 음성군 대소면 대동로 583-35 외 5필지,044-883-8425,043-883-7654,30,2025-08-31
736,(주)영서산업,세폭직물 제조업,13991,충청북도 음성군 감곡면 행군이길 87-14,043-883-6988,043-883-6788,7,2025-08-31
737,(주)영성엔지니어링,가정용 및 산업용 공기 조화장치 제조업 외 1 종,29172,충청북도 음성군 대소면 신내로346번길 60-2,,043-881-6445,3,2025-08-31
738,(주)영승,레미콘 제조업 외 1 종,23322,충청북도 음성군 삼성면 청용로 183-15,043-878-7784,043-878-7786,24,2025-08-31
739,(주)영우그린텍,부직포 및 펠트 제조업 외 1 종,13992,"충청북도 음성군 원남면 백마령길 53,  (문암리 208-9)",043-873-8844,043-873-3226,12,2025-08-31
740,(주)영위드에프씨,기타 판유리 가공품 제조업,23119,충청북도 음성군 삼성면 하이텍산단로 36-117,,,23,2025-08-31
741,(주)영인,구조용 금속 판제품 및 공작물 제조업,25112,충청북도 음성군 대소면 대금로 165-3 (총 2 필지) 외 1필지,043-877-5225,043-877-6244,15,2025-08-31
742,(주)영테크,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 대소면 대동로 683-45,,02-425-6109,5,2025-08-31
743,(주)예림산업,폴리스티렌 발포 성형제품 제조업,22251,충청북도 음성군 맹동면 대동로 264-7,043-277-7668,043-277-7669,9,2025-08-31
744,(주)예우당에프에스,천연 및 혼합조제 조미료 제조업 외 2 종,10832,충청북도 음성군 금왕읍 봉곡길 36-9,043-882-5245,043-882-5243,14,2025-08-31
745,(주)예진복합창호시스템,플라스틱 창호 제조업 외 1 종,22223,충청북도 음성군 금왕읍 금율로 235 외 3필지,043-881-3567,043-877-3567,16,2025-08-31
746,(주)오건에코텍,포장용 플라스틱 성형용기 제조업,22232,충청북도 음성군 금왕읍 금일로191번길 217-23 외 1필지,031-697-8900,031-697-8965,11,2025-08-31
747,(주)오광산업,기타 종이 상자 및 용기 제조업,17229,충청북도 음성군 대소면 대동로609번길 4 (총 4 필지) 외 3필지,043-877-9296,,14,2025-08-31
748,(주)오더스,복합비료 및 기타 화학비료 제조업 외 2 종,20312,충청북도 음성군 삼성면 청용리 347-3번지 외 4필지,043-878-7956,,15,2025-08-31
749,(주)오뚜기,천연 및 혼합조제 조미료 제조업 외 10 종,10832,충청북도 음성군 대소면 대풍산단로 128 외 1필지,043-535-7321,043-535-7327,293,2025-08-31
750,(주)오리엔트전자(제1공장),운송장비 조립용 플라스틱제품 제조업 외 6 종,22241,충청북도 음성군 대소면 신내로 213-27 (대소면),043-879-7000,,45,2025-08-31
751,(주)오병,계면활성제 제조업,20421,충청북도 음성군 원남면 원남산단1길 84,070-4652-0102,031-692-1573,8,2025-08-31
752,(주)오성프라스틱,포장용 플라스틱 성형용기 제조업,22232,충청북도 음성군 삼성면 용성로6번길 23 외 7필지,043-878-2651,043-878-2655,32,2025-08-31
753,(주)오앤오,기타 선박 건조업,31113,충청북도 음성군 대소면 대소산단로 44-26,043-535-6661,043-535-6660,7,2025-08-31
754,(주)오지인터팩코리아,골판지 상자 및 가공제품 제조업,17212,충청북도 음성군 금왕읍 본대리 148-4 외 2필지,02-715-4524,02-715-4550,25,2025-08-31
755,(주)온글라스,기타 판유리 가공품 제조업,23119,충청북도 음성군 삼성면 금일로700번길 156-33,,,0,2025-08-31
756,(주)올리빙,그 외 기타 플라스틱 제품 제조업,22299,충청북도 음성군 맹동면 덕금로 89,070-5209-6604,031-287-8575,30,2025-08-31
757,(주)올에프씨,가금류 가공 및 저장 처리업,10121,충청북도 음성군 맹동면 맹동산단1길 27-30,031-337-5287,031-337-5286,10,2025-08-31
758,(주)와이디티,기타 건축용 플라스틱 조립제품 제조업 외 4 종,22229,충청북도 음성군 대소면 대동로428번길 40 외 3필지,02-2636-6970,02-2636-6972,30,2025-08-31
759,(주)와이디티,주형 및 금형 제조업 외 2 종,29293,충청북도 음성군 금왕읍 청평길 41-6 외 3필지,02-2636-6970,,16,2025-08-31
760,(주)우남,직물포대 제조업,13225,충청북도 음성군 감곡면 단양군이길 49-17,043-883-4046,043-883-4041,13,2025-08-31
761,(주)우리들푸드,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,10129,충청북도 음성군 대소면 대성로 174-45 외 3필지,,043-753-7909,7,2025-08-31
762,(주)우리플라,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,20202,충청북도 음성군 생극면 차평리 158-11 외 2필지,043-750-8999,070-4032-6233,23,2025-08-31
763,(주)우림데코,기타 인쇄업,18119,충청북도 음성군 삼성면 금일로 679-15,043-883-6901,043-883-6902,3,2025-08-31
764,(주)우림물산,그 외 기타 종이 및 판지 제품 제조업,17909,충청북도 음성군 맹동면 덕금로 282 외 3필지,043-882-2198,043-882-2198,10,2025-08-31
765,(주)우석켐,기타 인쇄업 외 2 종,18119,충청북도 음성군 감곡면 영산로 369 (총 7 필지) 외 6필지,043-882-4104,043-882-4103,18,2025-08-31
766,(주)우석켐,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 대소면 부윤리 성본산업단지 내 G15-1,043-882-4104,043-882-4103,3,2025-08-31
767,(주)우성이앤지,"용기 세척, 포장 및 충전기 제조업",29191,충청북도 음성군 금왕읍 멍심이길264번길 55-3,043-882-7817,043-882-3054,6,2025-08-31
768,(주)우성축산기업,육류 포장육 및 냉동육 가공업 (가금류 제외),10122,충청북도 음성군 삼성면 대양로 10,031-883-4341,043-883-4343,15,2025-08-31
769,(주)우인켐텍,그 외 기타 분류 안된 화학제품 제조업 외 2 종,20499,충청북도 음성군 금왕읍 금일로 514-9,043-883-9811,043-883-9814,19,2025-08-31
770,(주)우정기공,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 금왕읍 금일로 321,043-883-3317,043-883-3318,5,2025-08-31
771,(주)우주이엔씨,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",23324,충청북도 음성군 금왕읍 금일로 247-8 외 1필지,070-8633-4500,070-4332-1571,5,2025-08-31
772,(주)우진멀티텍,자동차용 신품 조향장치 및 현가 장치 제조업,30391,충청북도 음성군 대소면 대동로428번길 59-4,043-882-3536,043-882-3537,35,2025-08-31
773,(주)우창,자동차용 금속 압형제품 제조업 외 1 종,25913,충청북도 음성군 삼성면 상곡로 159-13,043-878-0042,043-878-0048,18,2025-08-31
774,(주)워솔케이제이티,계면활성제 제조업 외 4 종,20421,충청북도 음성군 음성읍 음성로 449,043-873-8985,043-873-8981,7,2025-08-31
