연번,회사명,주소,전화번호,팩스번호,업종,생산품,대표명,데이터기준일자
162,(주)스위트,충청남도 금산군 다복로 156 (복수면),041-751-1123,041-751-1124,화학물질 및 화학제품;의약품제외,"금속표면 처리용 분말 광택, 연마제",(주)스위트,2026-01-26
163,삼화엠테크(주),충청남도 금산군 복수공단길 14 (복수면) 삼화엠테크(주),041-754-7312,041-754-7316,전기장비,"방폭형모터, 일반형모터, 방폭형 배풍기",삼화엠테크(주),2026-01-26
164,우일타올공업사,"충청남도 금산군 복수공단길 37, (용진리 115-18) (복수면)",02-487-4004,02-476-9009,섬유제품;의복제외,타올,우일타올공업사,2026-01-26
165,(주)베스텍엔터프라이즈,충청남도 금산군 복수공단길 6 (복수면),070-4337-5454,0504-318-2923,기타기계 및 장비,"고압펌프, 탈염설비, 랜싱프로세스, 정수설비",(주)베스텍엔터프라이즈,2026-01-26
166,금산환경재생산업(주) 제2공장,충청남도 금산군 복수면 곡남리 8-13번지,041-753-6981,041-753-6983,비금속광물제품,상온아스팔트,금산환경재생산업(주) 제2공장,2026-01-26
167,드림랜드,충청남도 금산군 복수면 구례리 167-3번지,041-754-5505,041-751-5505,기타제품,"체육시설,휴게시설",드림랜드,2026-01-26
168,효성산업,충청남도 금산군 복수면 구례리 332-4번지 외 2필지,,,고무제품 및 플라스틱제품,PE 비닐,효성산업,2026-01-26
169,명일기업,충청남도 금산군 복수면 구례리 341번지,,,금속가공제품;기계 및 가구제외,알루미늄 거푸집,명일기업,2026-01-26
170,엔티큐(주),충청남도 금산군 복수면 구례리 403,042-488-8471,044-865-8471,기타기계 및 장비,"수질정화장치(나노버블장치), 환경정화로봇, 인공지능 녹조 제거선",엔티큐(주),2026-01-26
171,가우디씽크텍,충청남도 금산군 복수면 구례리 490 번지,,,목재 및 나무제품;가구제외,"씽크대,붙박이장,신발장",가우디씽크텍,2026-01-26
172,대신산업개발,충청남도 금산군 복수면 구례리 58-1번지 외 1필지,,,금속가공제품;기계 및 가구제외,건축용 철구조물,대신산업개발,2026-01-26
173,(주)아이삭,충청남도 금산군 복수면 금바위길 47-6 외 1필지,,,기타기계 및 장비,산업용송풍기,(주)아이삭,2026-01-26
174,우신전자산업(주),충청남도 금산군 복수면 다복동길 11 ((주)우신전자산업),041-752-4714,041-753-4714,고무제품 및 플라스틱제품,"전자부품, 장신용품, 조립용플라스틱제품, 플라스틱 성형용기",우신전자산업(주),2026-01-26
175,서현기업,충청남도 금산군 복수면 다복동길 17,062-512-7745,062-512-7748,전기장비,"수중모터펌프, 자동제어반 등",서현기업,2026-01-26
176,한국이엔지,충청남도 금산군 복수면 다복동길 17,041-753-9945,041-753-9946,금속가공제품;기계 및 가구제외,"오배수용 수중펌프, 축사류펌프 등",한국이엔지,2026-01-26
177,(주)광진포장,충청남도 금산군 복수면 다복동길 4,041-752-9858,,펄프 종이 및 종이제품,골판지박스,(주)광진포장,2026-01-26
178,우신내추럴페인트,충청남도 금산군 복수면 다복동길 7,,,화학물질 및 화학제품;의약품제외,"친환경도료, 프라스틱제품",우신내추럴페인트,2026-01-26
179,우신피앤피(주),"충청남도 금산군 복수면 다복동길 7, (다복리300-3, 301) (뉴에코프렌(주))",041-752-4714,,고무제품 및 플라스틱제품,"편향코일, 플라스틱제품",우신피앤피(주),2026-01-26
180,금산공영합자회사,충청남도 금산군 복수면 다복로 123,041-754-3102,041-753-6983,비금속광물제품,아스팔트,금산공영합자회사,2026-01-26
181,서대공영(합),충청남도 금산군 복수면 다복로 123 (금산건영(주)),041-753-6981,041-0753-6983,비금속광물제품,아스팔트제품,서대공영(합),2026-01-26
182,선진레미콘(주),충청남도 금산군 복수면 다복로 123-42,041-754-3104,041-753-7922,비금속광물제품,"레미콘, 콘크리트",선진레미콘(주),2026-01-26
183,현빈개발(주) 금산공장,충청남도 금산군 복수면 다복로 148,02-6242-1900,02-6242-1903,금속가공제품;기계 및 가구제외,배수강관,현빈개발(주) 금산공장,2026-01-26
184,중앙 HI-TECH,충청남도 금산군 복수면 다복로 167,041-753-3132,041-753-3137,기타기계 및 장비,"감자고구마 수확기, 배부식 충전분무기, 비료살포기 등",중앙 HI-TECH,2026-01-26
185,(주)충남건설,충청남도 금산군 복수면 다복로 177,041-753-6341,,금속가공제품;기계 및 가구제외,"교량집수구, 철구조물",(주)충남건설,2026-01-26
186,영남강철(주),충청남도 금산군 복수면 다복로 213,041-752-5583. 5584,041-752-6110,가구,"학생용 책걸상, 사물함, 이동식스툴테이블",영남강철(주),2026-01-26
187,농업회사법인 유한회사 산채푸드,충청남도 금산군 복수면 다복로 239-14,041-751-9614,041-751-9613,식료품,"지리산대나무통밥, 웰빙장아찌",농업회사법인 유한회사 산채푸드,2026-01-26
188,대한홍삼,충청남도 금산군 복수면 다복로 246 외 1필지,041-754-9908,,식료품,홍삼,대한홍삼,2026-01-26
189,제라산업,충청남도 금산군 복수면 다복로 277,041-751-8701,041-751-8702,전기장비,"버너, 히터 등",제라산업,2026-01-26
190,금산철망산업,충청남도 금산군 복수면 다복로 289,041-753-0013,041-754-0135,금속가공제품;기계 및 가구제외,"철선, 매쉬 와이어",금산철망산업,2026-01-26
191,(주)신화정밀,충청남도 금산군 복수면 다복로 291,041-753-1745,,전기장비,휴대용 가스레인지,(주)신화정밀,2026-01-26
192,주식회사 화선,충청남도 금산군 복수면 다복로 302-17 ((주)화선) 외 1필지,041-753-6398,,고무제품 및 플라스틱제품,스티로폴,주식회사 화선,2026-01-26
193,용안타올,"충청남도 금산군 복수면 다복로 310, (다복리 206-5) 외 1필지",,,섬유제품;의복제외,타올,용안타올,2026-01-26
194,티에스바이오,충청남도 금산군 복수면 다복로 345-37,,,식료품,가축보조사료,티에스바이오,2026-01-26
195,씬택(CIN tech),충청남도 금산군 복수면 다복로 345-49,,,비금속광물제품,세라믹 코팅 분말,씬택(CIN tech),2026-01-26
196,(주)충남기전,충청남도 금산군 복수면 다복로 345-57,042-543-5480,,전기장비,태양광 발전 장치,(주)충남기전,2026-01-26
197,(주)티에스산업,충청남도 금산군 복수면 다복로 435 외 1필지,041-754-4776,041-754-4773,고무제품 및 플라스틱제품,"시선유도봉, 금속 울타리, 금속 구조재, 교통표지, 도로표지, 교통안전 금속판, 금속재 제품",(주)티에스산업,2026-01-26
198,(주)대주 금산공장,"충청남도 금산군 복수면 다복로 443, (H동) ((주)성호이엔지)",,,식료품,사료첨가제,(주)대주 금산공장,2026-01-26
199,(주)케이세라셀,충청남도 금산군 복수면 다복로 465-9,041-753-8611,041-753-8612,전기장비,고체 산화물 연료전지 제조,(주)케이세라셀,2026-01-26
200,(주)일화,충청남도 금산군 복수면 다복로 491-15,041-754-8160,041-752-2798,식료품,홍삼농축액등,(주)일화,2026-01-26
201,(주)삼공사엔지니어링,"충청남도 금산군 복수면 다복로 491-26, (용진리 253)",041-751-3043,041-754-0302,금속가공제품;기계 및 가구제외,친환경화장실.판매.임대 외,(주)삼공사엔지니어링,2026-01-26
202,삼공(주),"충청남도 금산군 복수면 다복로 491-26, (용진리 253)",041-754-0301,041-754-0302,금속가공제품;기계 및 가구제외,"크레인 및 운반기계제작설치 및 판매, 전기공사, 기계설비",삼공(주),2026-01-26
203,세강엠텍(주),충청남도 금산군 복수면 다복로 491-27 (세강엠텍(주)) 외 8필지,041-751-4344,041-751-7344,1차금속,"산업기계, 펌프, 밸브",세강엠텍(주),2026-01-26
204,(주)선진수출포장,충청남도 금산군 복수면 다복로 491-30,041-751-0212,041-752-8739,펄프 종이 및 종이제품,"골판지 종이포장박스, 칼라케이스 명단",(주)선진수출포장,2026-01-26
205,성신금속공업(주)제2공장,충청남도 금산군 복수면 다복로 491-44,041-753-2887,041-753-2876,1차금속,"주강품(선박부품, 제철설비, 산업기계, 철도차량, 펌프, 밸브 등)",성신금속공업(주)제2공장,2026-01-26
206,(주)비앤티페널,충청남도 금산군 복수면 다복로 491-7,041-751-8863~4,041-751-8867,금속가공제품;기계 및 가구제외,샌드위치 판넬,(주)비앤티페널,2026-01-26
207,(주)가나텍,충청남도 금산군 복수면 다복로 537-18,041-752-1197,041-752-1173,의료 정밀 광학기기 및 시계,실험실 기자재,(주)가나텍,2026-01-26
208,(주)유진유리산업,충청남도 금산군 복수면 다복로 560,041-754-1100,041-754-1122,비금속광물제품,복층유리,(주)유진유리산업,2026-01-26
209,풍년산업(주),충청남도 금산군 복수면 다복로 572 (풍년산업주식회사),041-752-2787,041-752-2797,기타기계 및 장비,"빙과용기 제조 및 농사용 시설부품(아이스크립포장, 크리브 고추대)",풍년산업(주),2026-01-26
210,영창단조공업,충청남도 금산군 복수면 다복로 574 (영창단조),041-753-9649,041-0753-8025,금속가공제품;기계 및 가구제외,단조망치,영창단조공업,2026-01-26
211,서울아쿠아룸,충청남도 금산군 복수면 다복리 127-3 번지,,,식료품,사료제조업,서울아쿠아룸,2026-01-26
212,현대열기,충청남도 금산군 복수면 다복리 180-6,,,기타기계 및 장비,농업용 온풍기,현대열기,2026-01-26
213,(주)대화,충청남도 금산군 복수면 다복리 197-6번지,031-330-9019,,금속가공제품;기계 및 가구제외,단열재(건축용) 도소매 및 가공,(주)대화,2026-01-26
214,대일프라스틱,충청남도 금산군 복수면 다복리 197번지,041-754-7917,041-0754-7927,고무제품 및 플라스틱제품,가정용 프라스틱제품,대일프라스틱,2026-01-26
215,(주)의진건설산업,충청남도 금산군 복수면 다복리 198-1번지,,,고무제품 및 플라스틱제품,플라스틱 창호,(주)의진건설산업,2026-01-26
216,(주)퍼스트바이오,충청남도 금산군 복수면 다복리 206-6번지,041-753-2332,,식료품,홍삼제품류,(주)퍼스트바이오,2026-01-26
217,산성사,충청남도 금산군 복수면 대둔산로 1406,,,금속가공제품;기계 및 가구제외,유로폼(거푸집),산성사,2026-01-26
218,도방토건재,충청남도 금산군 복수면 목소리 428-1번지,,,금속가공제품;기계 및 가구제외,유로폼,도방토건재,2026-01-26
219,벧엘비닐화학,충청남도 금산군 복수면 문암길 67 외 4필지,,,고무제품 및 플라스틱제품,비닐봉투,벧엘비닐화학,2026-01-26
220,효성,충청남도 금산군 복수면 발옥동길 102,041-751-6431,041-753-6431,고무제품 및 플라스틱제품,재생플라스틱 가공,효성,2026-01-26
221,(주)에이스시스템,충청남도 금산군 복수면 발옥동길 116,041-754-1100,041-754-1122,고무제품 및 플라스틱제품,"플라스틱 창호제작, 시스템창호, 방범방충망, 방화창",(주)에이스시스템,2026-01-26
222,(주)유진창호유리,충청남도 금산군 복수면 발옥동길 120-7,,041-754-1122,고무제품 및 플라스틱제품,PVC창호,(주)유진창호유리,2026-01-26
223,청전건설(주),"충청남도 금산군 복수면 발옥동길 42, (구례리 98-1번지) ((주)청전건설) 외 2필지",041-753-8600,,금속가공제품;기계 및 가구제외,"금속지붕재 및 벽면, 처마용 금속판재",청전건설(주),2026-01-26
224,명장,충청남도 금산군 복수면 발옥동길 98 외 4필지,,,금속가공제품;기계 및 가구제외,알루미늄 창호재(샤시),명장,2026-01-26
225,삼화고무,충청남도 금산군 복수면 백암길 373,041-752-2036,042-585-2062,고무제품 및 플라스틱제품,"백재생, 트레이드",삼화고무,2026-01-26
226,한미스위스광학(주),충청남도 금산군 복수면 복수공단길 21,042-280-3022,042-274-8973,의료 정밀 광학기기 및 시계,안경렌즈,한미스위스광학(주),2026-01-26
227,청정엔지니어링,충청남도 금산군 복수면 복수공단길 22 ((주)중앙엔지니어링),,,기타기계 및 장비,약품투입기,청정엔지니어링,2026-01-26
228,(주)종우포장,"충청남도 금산군 복수면 복수공단길 22, (용진리 115-10)",041-752-4601,041-752-4607,펄프 종이 및 종이제품,"골판지상자, 종이상자",(주)종우포장,2026-01-26
229,(주)갈산,"충청남도 금산군 복수면 복수공단길 37, (용진리 115-18) (풍국타올)",070-7602-7895,,화학물질 및 화학제품;의약품제외,우레탄 수지매트,(주)갈산,2026-01-26
230,(주)태화켐,"충청남도 금산군 복수면 복수공단길 40, (용진리 115-9) ((주)태화캠)",041-753-8223,041-4508-2258,화학물질 및 화학제품;의약품제외,고분자수지,(주)태화켐,2026-01-26
231,GL글로벌라이팅,"충청남도 금산군 복수면 복수공단길 40, (용진리 115-9) ((주)태화캠)",070-4347-5132,,전기장비,"LED가로등, 보안등, 경관조명기구",GL글로벌라이팅,2026-01-26
232,(주)지엠팩,"충청남도 금산군 복수면 복수공단길 40-6, (용진리 115-8) (대륙화학공업물류창고)",041-751-4511,041-753-7328,고무제품 및 플라스틱제품,플라스틱용기,(주)지엠팩,2026-01-26
233,지앤비패키지,"충청남도 금산군 복수면 복수공단길 40-6, (용진리 115-8) (대륙화학공업물류창고)",041-753-7327,,펄프 종이 및 종이제품,종이상자,지앤비패키지,2026-01-26
234,광성PE화인메탈,충청남도 금산군 복수면 복수공단길 47,041-753-5790,041-753-0791,고무제품 및 플라스틱제품,상하수도 각종 부속품제작,광성PE화인메탈,2026-01-26
235,(주)에스코알티에스,"충청남도 금산군 복수면 복수공단길 51, (용진리 115-20) (ESCORTS 금산공장)",041-752-0770,,고무제품 및 플라스틱제품,탄성받침,(주)에스코알티에스,2026-01-26
236,(주)에스코알티에스,"충청남도 금산군 복수면 복수공단길 51, (용진리 115-20) (ESCORTS 금산공장)",031-8052-7536,,금속가공제품;기계 및 가구제외,"난간, 금속제 울타리",(주)에스코알티에스,2026-01-26
237,(주)우리금풍,충청남도 금산군 복수면 복수공단길 57 ((주)우리금풍),041-751-9779,,펄프 종이 및 종이제품,"종이용기, 포장류",(주)우리금풍,2026-01-26
238,(주)리스템,충청남도 금산군 복수면 복수공단길 62,041-752-8835,041-0754-8837,의료 정밀 광학기기 및 시계,X선기계,(주)리스템,2026-01-26
239,티알밸트랙(주) 금산2공장,충청남도 금산군 복수면 복수공단길 62,041-752-9945,041-752-9947,고무제품 및 플라스틱제품,무한궤도 바퀴,티알밸트랙(주) 금산2공장,2026-01-26
240,현창 I&D,"충청남도 금산군 복수면 복수공단길 64, (용진리 115-31) ((주)우리금풍)",041-753-1310,,고무제품 및 플라스틱제품,인조대리석,현창 I&D,2026-01-26
241,리빙스톤,"충청남도 금산군 복수면 복수공단길 64, (용진리 115-31) (복수면)",041-753-2768,,고무제품 및 플라스틱제품,인조대리석,리빙스톤,2026-01-26
242,티에스패널(주),충청남도 금산군 복수면 복수공단길 8-17,041-751-8091,041-750-9501,금속가공제품;기계 및 가구제외,센드위치판넬,티에스패널(주),2026-01-26
243,윤선창호,충청남도 금산군 복수면 복수공단길 8-30,,,고무제품 및 플라스틱제품,플라스틱 및 알루미늄 창호,윤선창호,2026-01-26
244,(주)올즙,충청남도 금산군 복수면 복수공단길 8-9,,,식료품,건강음료(홍삼액 외),(주)올즙,2026-01-26
245,(주)대석산업,충청남도 금산군 복수면 복수로 263 (㈜대석산업),041-753-3101,041-751-4945,금속가공제품;기계 및 가구제외,"철망, 돌망태",(주)대석산업,2026-01-26
246,(주)후드코리아,충청남도 금산군 복수면 복수로 352 외 2필지,041-751-2251,041-751-2253,식료품,"분말제품 생산(오렌지분말, 마늘추출분말 등등)",(주)후드코리아,2026-01-26
247,(주)에스지텍,충청남도 금산군 복수면 복수로 369 외 2필지,042-587-4900,042-331-0070,고무제품 및 플라스틱제품,"방범안전창, 방범창, 미세복합창",(주)에스지텍,2026-01-26
248,백암떡방앗간,충청남도 금산군 복수면 복수로 472,,,식료품,"재래식 떡류, 고춧가루, 들기름",백암떡방앗간,2026-01-26
249,(주)신흥기업,충청남도 금산군 복수면 복수로 499-45 외 2필지,,,고무제품 및 플라스틱제품,"상수도 보호통, 수면 위 부표통, 기타 플라스틱 제품",(주)신흥기업,2026-01-26
250,경승산업 제2공장,충청남도 금산군 복수면 복수로 558 외 2필지,,,고무제품 및 플라스틱제품,PE 비닐,경승산업 제2공장,2026-01-26
251,서양푸드 주식회사,충청남도 금산군 복수면 복수로 573,041-752-0456,041-0752-0456,식료품,"냉면용육수, 비빔장, 냉동만두",서양푸드 주식회사,2026-01-26
252,농업회사법인 (주)세인바이오팜,충청남도 금산군 복수면 복수로 577-7,041-450-8450,070-7589-8450,식료품,"홍삼농축액, 홍삼절편, 홍삼정과, 홍삼음료",농업회사법인 (주)세인바이오팜,2026-01-26
253,(주)정운,충청남도 금산군 복수면 복수로 580,041-752-4160,041-752-4165,고무제품 및 플라스틱제품,"플라스틱 샤시, 금속 문, 금속선 및 적층 섬모 방충망, 금속 스프링",(주)정운,2026-01-26
254,현대산업(주),충청남도 금산군 복수면 복수로 582,041-752-4161,041-752-4165,고무제품 및 플라스틱제품,자연환기 여과장치 창호제품 외,현대산업(주),2026-01-26
255,(주)세미,충청남도 금산군 복수면 복수로 584,042-586-7575,041-586-0700,기타제품,간판 및 광고물 제조업 외 1종,(주)세미,2026-01-26
256,(주)무창,충청남도 금산군 복수면 복수로 619 외 1필지,042-586-0357,042-586-0358,금속가공제품;기계 및 가구제외,"볼라드, 휀스, 차선분리대",(주)무창,2026-01-26
257,(주)드림랜드,충청남도 금산군 복수면 복수로 693,042-527-1101,042-527-4807,기타제품,조합놀이대,(주)드림랜드,2026-01-26
258,경승포장,충청남도 금산군 복수면 복수로 693-5 (경승화학),041-753-8706,041-0753-8705,고무제품 및 플라스틱제품,"비닐,쓰레기봉투",경승포장,2026-01-26
259,의남식품(주),충청남도 금산군 복수면 복수로 705 (의남식품 주식회사) 외 1필지,041-753-3603,041-753-3602,식료품,"당면, 면류",의남식품(주),2026-01-26
260,제일산업,"충청남도 금산군 복수면 복수로 769 (복수면, 제일산업)",041-753-9004,041-753-9017,고무제품 및 플라스틱제품,식품용기 생산,제일산업,2026-01-26
261,(주)신창산업,충청남도 금산군 복수면 복수로 782-3,042-638-8045,,고무제품 및 플라스틱제품,"플라스틱 창호, 알루미늄 창호",(주)신창산업,2026-01-26
262,(주)디엔건설산업,"충청남도 금산군 복수면 복수로 782-3, (신대리 558-1)",041-751-6301,,고무제품 및 플라스틱제품,"AL창호, PVC창호, 금속판제품",(주)디엔건설산업,2026-01-26
263,조양식품,충청남도 금산군 복수면 복수로 794,,,식료품,김치,조양식품,2026-01-26
264,산성산업,충청남도 금산군 복수면 복수로 933 외 2필지,,,금속가공제품;기계 및 가구제외,"철구조물(유로폼, 써포트, 조립식틀비계)",산성산업,2026-01-26
265,(주)삼광건설,충청남도 금산군 복수면 복수로 963-1,042-586-3756,042-586-3855,비금속광물제품,도로 미끄럼 방지용 포장재(고체),(주)삼광건설,2026-01-26
266,(주)태성공영,"충청남도 금산군 복수면 분동길 57, (백암리 402) (복수면, 태성건설㈜)",042-633-7600,042-635-1700,비금속광물제품,"탈취제, Eco-TTP, 탈황제",(주)태성공영,2026-01-26
267,(주)케이앰앤드이,"충청남도 금산군 복수면 수목로 162, (수영리 20) 외 2필지",041-751-8061,041-751-8063,화학물질 및 화학제품;의약품제외,대전량 제어재,(주)케이앰앤드이,2026-01-26
268,(주)더원산업,충청남도 금산군 복수면 수목로 40,041-753-0253,041-753-0254,금속가공제품;기계 및 가구제외,건축용 가설물(빔) 제작,(주)더원산업,2026-01-26
269,더원건설산업(주),충청남도 금산군 복수면 수목로 40,041-753-0253,041-753-0254,금속가공제품;기계 및 가구제외,철구조물(가설교량),더원건설산업(주),2026-01-26
270,(주)대광인더스트리,충청남도 금산군 복수면 수영길 20,,,고무제품 및 플라스틱제품,"플라스틱 사출, 박스 등",(주)대광인더스트리,2026-01-26
271,유림화학,충청남도 금산군 복수면 수영리 406번지,,,화학물질 및 화학제품;의약품제외,"4종복합비료,아미노산액비",유림화학,2026-01-26
272,(주)백건창호클럽,충청남도 금산군 복수면 수영리 521-3번지 외 1필지,1588-6279,,금속가공제품;기계 및 가구제외,PVC샷시,(주)백건창호클럽,2026-01-26
273,㈜제이에이치캐미컬,충청남도 금산군 복수면 신대리 400,041-751-6310,,고무제품 및 플라스틱제품,일라이트 봉투,㈜제이에이치캐미컬,2026-01-26
274,벧엘공업사,충청남도 금산군 복수면 신대리 519-1번지 외 3필지 외 3필지,041-753-3332,041-753-3358,자동차 및 트레일러,특장차,벧엘공업사,2026-01-26
275,(주)에스제이씨티,충청남도 금산군 복수면 신대리 549,,,금속가공제품;기계 및 가구제외,금속제 디자인울타리,(주)에스제이씨티,2026-01-26
276,삼원타올,충청남도 금산군 복수면 신대리 552번지,041-752-5634,041-753-5634,섬유제품;의복제외,타올,삼원타올,2026-01-26
277,(주)바론,충청남도 금산군 복수면 오곡동길 21,,,기타기계 및 장비,수질정화장치,(주)바론,2026-01-26
278,엔티큐(주),충청남도 금산군 복수면 오곡동길 21,042-488-8471,044-865-8471,기타기계 및 장비,수질정화기(에어제트),엔티큐(주),2026-01-26
279,(주)예지환경,충청남도 금산군 복수면 오곡동길 21 ((주)신형산업),,,기타기계 및 장비,농업용기계,(주)예지환경,2026-01-26
280,(주)한빛라이팅,충청남도 금산군 복수면 오곡동길 22-1,042-522-3475,,전기장비,"가로등, 조명기구, 배전반 및 자동제어반",(주)한빛라이팅,2026-01-26
281,(주)보경,충청남도 금산군 복수면 오곡동길 46,042-221-3639,,펄프 종이 및 종이제품,"아미노산액비,부숙퇴비,단비사료",(주)보경,2026-01-26
282,건양엔지니어링,충청남도 금산군 복수면 오곡동길 46 외 1필지,042-271-0081,042-271-8081,금속가공제품;기계 및 가구제외,금속제 창,건양엔지니어링,2026-01-26
283,금산고려홍삼(주),충청남도 금산군 복수면 오곡동길 48-4 외 1필지,041-753-8587,,음료,홍삼 농축액,금산고려홍삼(주),2026-01-26
284,미소난방,충청남도 금산군 복수면 오곡동길 74-15,,,전기장비,온수온돌난방패널,미소난방,2026-01-26
285,정든식품,충청남도 금산군 복수면 오곡동길 9,041-754-9976,041-751-9190,식료품,"건빵, 쿠키류",정든식품,2026-01-26
286,(주)문경,충청남도 금산군 복수면 용진리 115-1번지,041-752-1700,041-0754-0017,금속가공제품;기계 및 가구제외,"용접철망, 돌망태",(주)문경,2026-01-26
287,(주)서전기계,충청남도 금산군 복수면 용진리 115-32번지,041-753-8797,041-0753-8797,기타기계 및 장비,CNC MILLING N/C,(주)서전기계,2026-01-26
288,티알밸트랙(주) 금산공장,충청남도 금산군 복수면 용진리 115-5번지,041-752-9945,041-752-9947,고무제품 및 플라스틱제품,"스키드, 내열재",티알밸트랙(주) 금산공장,2026-01-26
289,대율제지(주),충청남도 금산군 복수면 용진리 17-3번지,041-752-1177,041-0753-8711,펄프 종이 및 종이제품,"지함, 판지",대율제지(주),2026-01-26
290,세주건설(주),충청남도 금산군 복수면 용진리 301,042-631-7737,042-626-6487,금속가공제품;기계 및 가구제외,"미끄럼방지포장재, 도막형바닥재, 도로표지판, 교통안전표지판, 갈매기표지판, 도로명판, 도로안전표지판지주, 안내판걸이구, 금속제울타리, 시선유도봉",세주건설(주),2026-01-26
291,(주)성광윈플랫,충청남도 금산군 복수면 용진리 309-2 외 1필지,042-321-0125,042-321-0126,고무제품 및 플라스틱제품,스마트 방범 안전창 WINGUARD 및 미세제로,(주)성광윈플랫,2026-01-26
292,(주)윈가드네트웍스,충청남도 금산군 복수면 용진리 309-2 외 1필지,042-587-4900,042-587-7900,전자부품 컴퓨터 영상 음향 및 통신장비,"IoT기반 방범센서 및 센서모듈, 사회안전 및 산업안전 로봇",(주)윈가드네트웍스,2026-01-26
293,바이오,충청남도 금산군 복수면 용진리 358-33번지 외 1필지,,,고무제품 및 플라스틱제품,자동차발판고무시트,바이오,2026-01-26
294,인문지관,충청남도 금산군 복수면 용진리 358-36번지,,,금속가공제품;기계 및 가구제외,원두막(파고라),인문지관,2026-01-26
295,명성목공,충청남도 금산군 복수면 용진리 358-42번지,041-753-0000,,목재 및 나무제품;가구제외,나무목형틀,명성목공,2026-01-26
296,대진,충청남도 금산군 복수면 용진리 358-6번지 외 1필지,,,금속가공제품;기계 및 가구제외,건축용 철구조물,대진,2026-01-26
297,케이비유화㈜,충청남도 금산군 복수면 용진리 359-10번지 외 1필지,041-751-5125,041-751-2301,비금속광물제품,"상온아스콘(재생), 혼합물봉, 유화아스팔트",케이비유화㈜,2026-01-26
298,(주)올즙(제2공장),충청남도 금산군 복수면 용진리 359번지 외 3필지,,,금속가공제품;기계 및 가구제외,금속제 식품가공용기,(주)올즙(제2공장),2026-01-26
299,성안이앤씨,충청남도 금산군 복수면 용진리 383-4번지 외 1필지,,,금속가공제품;기계 및 가구제외,금속조립구조재,성안이앤씨,2026-01-26
300,농업회사법인(주)축복의열매,충청남도 금산군 복수면 용진리 439-3번지 외 1필지,041-752-5591,,식료품,"홍삼추출액, 홍삼절편, 고구마 말랭이",농업회사법인(주)축복의열매,2026-01-26
301,우진,충청남도 금산군 복수면 용진리 496-1번지,,,금속가공제품;기계 및 가구제외,주방용씽크대,우진,2026-01-26
302,세광그린텍(A),충청남도 금산군 복수면 용진리 597-5번지 외 1필지,1899-1639,041-754-0887,섬유제품;의복제외,"물티슈, 행주타올",세광그린텍(A),2026-01-26
303,(주)나온에너지,충청남도 금산군 복수면 용진리 689번지,,,금속가공제품;기계 및 가구제외,태양광흡열판 지지대철구조물,(주)나온에너지,2026-01-26
304,(주)뉴테크,충청남도 금산군 복수면 용진리 78-3번지,041-753-2761,041-0752-5171,기타제품,"마스카라브러쉬,덴탈브러쉬",(주)뉴테크,2026-01-26
305,대흥석재(주),충청남도 금산군 복수면 용진리 산 14-1번지,041-0751-0711,041-0751-0713,비금속광물제품,석재,대흥석재(주),2026-01-26
306,(주)에코텍코리아,충청남도 금산군 복수면 용천로 1007 외 1필지,041-752-5265,041-752-5266,기타기계 및 장비,"금형틀, 플라스틱 사출품(어항등)",(주)에코텍코리아,2026-01-26
307,(주)정원엔지니어링,충청남도 금산군 복수면 용천로 1007 외 1필지,041-752-5268,,전기장비,환풍기,(주)정원엔지니어링,2026-01-26
308,농업회사법인 빛과소금(주),충청남도 금산군 복수면 용천로 1030,,,식료품,"홍삼액, 임삼정과",농업회사법인 빛과소금(주),2026-01-26
309,에코에어,충청남도 금산군 복수면 용천로 1035,042-582-4706,0504-153-4706,기타기계 및 장비,기체펌프 및 공기압축기 제조업,에코에어,2026-01-26
310,형제식품,충청남도 금산군 복수면 용천로 1062,041-753-3133,,식료품,"청국장, 된장",형제식품,2026-01-26
311,성안기업,충청남도 금산군 복수면 용천로 845-2 외 3필지,,,금속가공제품;기계 및 가구제외,금속조립 구조재,성안기업,2026-01-26
312,PE엔지니어링 금산공장,충청남도 금산군 복수면 용천로 865,070-4283-9177,0303-0959-7504,고무제품 및 플라스틱제품,단열 이중 보온관,PE엔지니어링 금산공장,2026-01-26
313,(주)개성상인 금산지점,충청남도 금산군 복수면 용천로 867,,,펄프 종이 및 종이제품,키친타올,(주)개성상인 금산지점,2026-01-26
314,(주)다솔금산공장,충청남도 금산군 복수면 용천로 867,041-752-1177,041-753-8711,펄프 종이 및 종이제품,골판지 박스,(주)다솔금산공장,2026-01-26
315,(주)썬터치,충청남도 금산군 복수면 용천로 867 외 1필지,041-751-1801,041-751-1805,전기장비,휴대용 가스렌지,(주)썬터치,2026-01-26
316,대한하이메쉬(주),"충청남도 금산군 복수면 용천로 867, (용진리 389-2, 용지리 614-3) (에너지하우스)",041-753-3366,,금속가공제품;기계 및 가구제외,"돌망태, 용접철망",대한하이메쉬(주),2026-01-26
317,(주)하이메쉬코리아,"충청남도 금산군 복수면 용천로 867, 1-6",041-753-3366,,금속가공제품;기계 및 가구제외,"케이블트레이,와이어메쉬,사각개비온",(주)하이메쉬코리아,2026-01-26
318,남양매직(주)금산공장,"충청남도 금산군 복수면 용천로 867, 2동",,041-753-5923,고무제품 및 플라스틱제품,플라스틱용기,남양매직(주)금산공장,2026-01-26
