시도,시군구,회사명,공장구분,전화번호,생산품,업종명,공장대표주소(도로명)
충청남도,천안시 서북구,(주)상원화성,개별입지,041-567-5815,PVC타포린(천막지),플라스틱 필름 제조업 외 1 종,충청남도 천안시 서북구 성거읍 봉주로 265 (삼창섬유)
충청남도,천안시 동남구,(주)새늘바이오,개별입지,041-566-5355,생명공학시약+dirgene lysis buffer,기초 의약 물질 제조업,충청남도 천안시 동남구 안서동 29
충청남도,천안시 서북구,(주)새론목분,개별입지,041-588-1291,목분,표면 가공 목재 및 특정 목적용 제재목 제조업,충청남도 천안시 서북구 입장면 가산리 175-1
충청남도,천안시 동남구,(주)새롬비앤에프 농업회사법인,개별입지,041-551-9371,과채가공품,기타 과실ㆍ채소 가공 및 저장 처리업 외 3 종,충청남도 천안시 동남구 성남면 대흥1길 173-69
충청남도,천안시 서북구,(주)새롬에프티,계획입지,041-551-9596,반도체장비제작,반도체 제조용 기계 제조업,"충청남도 천안시 서북구 백석공단1로 70, 다동 (백석동)"
충청남도,천안시 동남구,(주)새롬웰푸드,개별입지,,과채가공품+퓨레+잼 등,기타 과실ㆍ채소 가공 및 저장 처리업,충청남도 천안시 동남구 성남면 대흥1길 153-50
충청남도,천안시 서북구,(주)새롬테크,개별입지,041-583-0462,캡+엘보+정티외 연결구+사출형,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",충청남도 천안시 서북구 입장면 도림리 산 3-4번지
충청남도,천안시 동남구,(주)새롬푸드테크 농업회사법인,개별입지,041-553-9371,뻥튀기 과자+츄잉껌,기타 곡물 가공품 제조업 외 2 종,충청남도 천안시 동남구 성남면 대흥1길 173-63
충청남도,천안시 서북구,(주)샛별,계획입지,041-582-7171,반도체 장비 조립,반도체 제조용 기계 제조업,충청남도 천안시 서북구 직산읍 4산단5길 25-5
충청남도,천안시 서북구,(주)샛별테크,개별입지,041-588-6161,반도체 기계 장비부품,반도체 제조용 기계 제조업 외 1 종,충청남도 천안시 서북구 입장면 검바위길 25
충청남도,천안시 서북구,(주)생명과기술,계획입지,031-352-2341,농산물선별기 외,농업 및 임업용 기계 제조업 외 1 종,"충청남도 천안시 서북구 백석공단3길 66, B동 (백석동)"
충청남도,천안시 동남구,(주)서강이엔지,개별입지,041-555-6918,철구조물 부품제작(건물+기둥 등),"금속 문, 창, 셔터 및 관련제품 제조업",충청남도 천안시 동남구 성남면 신사대화로 363
충청남도,천안시 서북구,(주)서광산업,개별입지,,반도체장비 전기판넬(PLC배전반),배전반 및 전기 자동제어반 제조업,
충청남도,천안시 서북구,(주)서광전자,계획입지,041-621-2100,인쇄회로기판,인쇄회로기판용 적층판 제조업 외 2 종,충청남도 천안시 서북구 직산읍 모시리 269번지
충청남도,천안시 동남구,(주)서림,개별입지,041-566-9811,자동제어전기장치,배전반 및 전기 자동제어반 제조업,충청남도 천안시 동남구 목천읍 응원1길 69-79 ((주)서림)
충청남도,천안시 동남구,(주)서림,개별입지,,전기자동제어반[PCL(프로그램내장컨트롤러)탑재],배전반 및 전기 자동제어반 제조업,
충청남도,천안시 서북구,(주)서림지에프,개별입지,041-417-5915,기체여과기,기체 여과기 제조업,충청남도 천안시 서북구 성환읍 임리길 48-29
충청남도,천안시 동남구,(주)서연테크,계획입지,041-551-1016,AL Profile Frame 제작 및 LCD 제조설비,반도체 제조용 기계 제조업,충청남도 천안시 동남구 풍세면 풍세산단1로 20
충청남도,천안시 서북구,(주)서우기술,개별입지,,반도체부품및금형용부품,주형 및 금형 제조업 외 1 종,충청남도 천안시 서북구 직산읍 모시1길 24 외 2필지
충청남도,천안시 서북구,(주)서우기술,계획입지,041-588-7799,마스크,기타 직물제품 제조업,충청남도 천안시 서북구 직산읍 금곡로 52-11 (주)신화정밀
충청남도,천안시 서북구,(주)서원전원,계획입지,041-522-8455,축전지외,일차전지 제조업 외 3 종,충청남도 천안시 서북구 백석공단1로 58 (백석동)
충청남도,천안시 서북구,(주)서원종합건설,개별입지,,금속구조물,육상 금속 골조 구조재 제조업,
충청남도,천안시 동남구,(주)서창테크,계획입지,041-565-3944,산업용로봇,산업용 로봇 제조업 외 1 종,충청남도 천안시 동남구 풍세면 풍세산단로 194
충청남도,천안시 서북구,(주)석우,계획입지,041-553-6778,가로등+금속이물분리장치+분체배출장치,일반용 전기 조명장치 제조업 외 2 종,충청남도 천안시 서북구 백석공단6길 22 (백석동)
충청남도,천안시 서북구,(주)선경 이.엔.아이,개별입지,041-585-3200,모션PANEL제어반+전기전자설비용하네스,배전반 및 전기 자동제어반 제조업 외 2 종,충청남도 천안시 서북구 직산읍 금곡로 115-27 외 2필지
충청남도,천안시 동남구,(주)선연,개별입지,041-551-8331,전기자동제어반[PCL(프로그램 내장 컨트롤러)탑재],배전반 및 전기 자동제어반 제조업,충청남도 천안시 동남구 성남면 성남로 230-39
충청남도,천안시 동남구,(주)선영 천안지점,개별입지,041-523-3030,바닥시트,플라스틱 필름 제조업 외 3 종,충청남도 천안시 동남구 동면 충절로 1995 (주)선영
충청남도,천안시 동남구,(주)선영 천안화계지점,개별입지,041-523-3030,데코타일,구조용 금속 판제품 및 공작물 제조업 외 1 종,충청남도 천안시 동남구 동면 충절로 2025
충청남도,천안시 동남구,(주)선영코리아,개별입지,041-554-9000,오디오 부품 및 자동차부품,"전자코일, 변성기 및 기타 전자 유도자 제조업",충청남도 천안시 동남구 풍세면 가송리 298-3번지
충청남도,천안시 서북구,(주)선일테크,개별입지,041-584-4036,집진장치+소각장치+분체이송장치,기타 물품 취급장비 제조업,충청남도 천안시 서북구 직산읍 남산3길 39 (전방주식회사천안공장)
충청남도,천안시 서북구,(주)선제,개별입지,041-582-3437,식품가공 및 복분자농축액,기타 과실ㆍ채소 가공 및 저장 처리업 외 4 종,충청남도 천안시 서북구 성환읍 성환21길 33 (성환읍)
충청남도,천안시 서북구,(주)선제,개별입지,041-582-3437,분말프리믹스+분말스프+분말양념류,기타 곡물 가공품 제조업 외 4 종,충청남도 천안시 서북구 성환읍 율금1길 94-51 외 1필지
충청남도,천안시 서북구,(주)선진테크,개별입지,041-588-2250,반도체LCD 자동화장비,반도체 제조용 기계 제조업,충청남도 천안시 서북구 성거읍 남산3길 58-54
충청남도,천안시 서북구,(주)선진테크,개별입지,,반도체조립장비,반도체 제조용 기계 제조업,충청남도 천안시 서북구 직산읍 송기길 41
충청남도,천안시 서북구,(주)선진테크2공장,개별입지,,반도체  조립 장비,반도체 제조용 기계 제조업,충청남도 천안시 서북구 직산읍 송기길 43
충청남도,천안시 서북구,(주)성대플라텍,개별입지,041-582-5757,판넬,기타 건축용 플라스틱 조립제품 제조업,충청남도 천안시 서북구 성환읍 무내3길 47
충청남도,천안시 서북구,(주)성림목재,개별입지,041-582-6500,목재,일반 제재업,충청남도 천안시 서북구 성환읍 우신리 20-1번지
충청남도,천안시 서북구,(주)성산,개별입지,041-554-0144,골판지상자,골판지 제조업 외 1 종,충청남도 천안시 서북구 연암율금로 143 -11(성환읍) 외 1필지
충청남도,천안시 동남구,(주)성심산업,개별입지,041-542-3011,산업기계장치 철구조물+수처리 설비공사 외,그 외 기타 일반목적용 기계 제조업 외 3 종,충청남도 천안시 동남구 목천읍 응원1길 33-30 외 1필지
충청남도,천안시 동남구,(주)성우,계획입지,041-566-3054,각종전자부품조립외,전동기 및 발전기 제조업,충청남도 천안시 동남구 성남면 5산단2로 133
충청남도,천안시 서북구,(주)성우경량산업,개별입지,041-582-5830,LED조명장치,전시 및 광고용 조명장치 제조업,충청남도 천안시 서북구 직산읍 신갈1길 1
충청남도,천안시 서북구,(주)성우조명,계획입지,041-584-1460,가로등 주,구조용 금속 판제품 및 공작물 제조업 외 4 종,충청남도 천안시 서북구 직산읍 마정리 494번지
충청남도,천안시 서북구,(주)성원 천안지점,개별입지,041-588-0601,단미사료+보조사료(동물용)+동물약품,반려동물용 사료 제조업 외 2 종,충청남도 천안시 서북구 성환읍 성월리 15번지
충청남도,천안시 동남구,(주)성원전력,개별입지,,배선반,배전반 및 전기 자동제어반 제조업,충청남도 천안시 동남구 정골1길 48-6 (구성동)
충청남도,천안시 동남구,(주)성원테크,개별입지,041-556-9768,전자기기부품,산업용 송풍기 및 배기장치 제조업,충청남도 천안시 동남구 수신면 해정2길 21
충청남도,천안시 서북구,(주)성윤티에스,계획입지,041-522-5971,자동도포기+자동포장기,"고무, 화학섬유 및 플라스틱 성형기 제조업 외 3 종","충청남도 천안시 서북구 직산읍 직산로 136, 2403호(번영관)"
충청남도,천안시 서북구,(주)성지산업개발,개별입지,041-592-1060,벤취플륨관+콘크리트맨홀,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,충청남도 천안시 서북구 성거읍 정자2길 8-10
충청남도,천안시 동남구,(주)성지정보통신,개별입지,041-553-4249,CCTV카메라 외,방송장비 제조업 외 1 종,충청남도 천안시 동남구 통정9로 30 (신방동)
충청남도,천안시 동남구,(주)성지정보통신,개별입지,041-553-4249,CCTV 완성품 카메라+통합배선반,방송장비 제조업 외 1 종,충청남도 천안시 동남구 유량로 190(유량동)
충청남도,천안시 서북구,(주)성진디앤피,계획입지,041-551-5753,대차용지그,기타 물품 취급장비 제조업,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 601호 (백석동)"
충청남도,천안시 서북구,(주)성진하이메크제2공장,개별입지,041-588-2500,profile rail(반도체물류시스템),그 외 기타 특수목적용 기계 제조업 외 1 종,충청남도 천안시 서북구 성환읍 잠실길 24 ((주)우경) 외 1필지
충청남도,천안시 동남구,(주)성진화이버,개별입지,,자동차UNDER COVER,그 외 자동차용 신품 부품 제조업 외 3 종,충청남도 천안시 동남구 성남면 세성로 255 (삼성테크)
충청남도,천안시 동남구,(주)성진화이버 제2공장,개별입지,041-564-1253,분쇄된 유리섬유 및 CREEL BEAM+자동차용 UNDER COVER+BUMPER BEAM 및 러기지 보드,그 외 기타 분류 안된 섬유제품 제조업 외 1 종,충청남도 천안시 동남구 성남면 대흥1길 256
충청남도,천안시 서북구,(주)성창오토텍,계획입지,031-650-5400,자동차용 에어컨 필터+인버터+클러스터이오나이져,가정용 및 산업용 공기 조화장치 제조업 외 3 종,충청남도 천안시 서북구 직산읍 4산단5길 17
충청남도,천안시 서북구,(주)성호스텐,계획입지,031-434-5661,가공용장비제조+절삭가공 및 유사처리업,반도체 제조용 기계 제조업 외 1 종,충청남도 천안시 서북구 직산읍 4산단3로 111
충청남도,천안시 서북구,(주)성환공업,개별입지,041-587-2500,사료배합기+호밀수확기+퇴비살포기,농업 및 임업용 기계 제조업,충청남도 천안시 서북구 입장면 양대리 251번지
충청남도,천안시 서북구,(주)세경테크,개별입지,041-582-3875,자동차부품+농기계부품,주형 및 금형 제조업,충청남도 천안시 서북구 직산읍 성진로 389
충청남도,천안시 동남구,(주)세광정공,개별입지,041-557-6997,볼트+너트,볼트 및 너트류 제조업 외 2 종,충청남도 천안시 동남구 성남면 용원4길 87-17
충청남도,천안시 서북구,(주)세라젬,개별입지,041-529-4220,개인용 온열기,그 외 기타 의료용 기기 제조업,충청남도 천안시 서북구 성거읍 모전1길 73-20 ((주)엑사이엔씨.(주)엠소닉)
충청남도,천안시 서북구,(주)세라젬,개별입지,041-529-4220,개인용온열기+전기요법용기기,그 외 기타 의료용 기기 제조업 외 1 종,충청남도 천안시 서북구 성거읍 오색당리 177-14번지 외 11필지
충청남도,천안시 서북구,(주)세라젬 2공장,개별입지,041-529-4220,개인용온열기,그 외 기타 의료용 기기 제조업,충청남도 천안시 서북구 성거읍 정자1길 16
충청남도,천안시 서북구,(주)세라젬 셀루피딕,개별입지,041-569-0120,에어셀,매트리스 및 침대 제조업,충청남도 천안시 서북구 성거읍 정자1길 16
충청남도,천안시 서북구,(주)세라코,개별입지,041-581-3922,암면+세라믹,암면 및 유사제품 제조업 외 1 종,"충청남도 천안시 서북구 직산읍 군수1길 224, 외 2필지"
충청남도,천안시 서북구,(주)세라콤,계획입지,041-584-2366,전자세라믹 소재 및 부품,암면 및 유사제품 제조업 외 1 종,충청남도 천안시 서북구 직산읍 삼은리 43-5번지 충남테크노파크 천안밸리 생산관 3307~9호
충청남도,천안시 동남구,(주)세림티앤디,개별입지,,금속단조제품(자동차용+건설용+공구용),금속 단조제품 제조업,충청남도 천안시 동남구 병천면 충절로 1946 외 1필지
충청남도,천안시 동남구,(주)세미머트리얼즈,개별입지,041-561-0978,다이오드,발광 다이오드 제조업 외 2 종,충청남도 천안시 동남구 안서동 산 120-1번지 IBI CENTER 301.302호
충청남도,천안시 동남구,(주)세미머티리얼즈,개별입지,031-711-8978,태양전지 어레이등,기타 전기 변환장치 제조업 외 1 종,"충청남도 천안시 동남구 병천면 충절로 1600, 한국기술교육대학교(캠퍼스 컴퍼"
충청남도,천안시 서북구,(주)세미머티리얼즈,개별입지,031-622-8700,LED조명+LED가로등+하우징 ,전구 및 램프 제조업,충청남도 천안시 서북구 성거읍 망향로 230
충청남도,천안시 서북구,(주)세민테크,개별입지,041-583-3106,종이컵,그 외 기타 종이 및 판지 제품 제조업,충청남도 천안시 서북구 입장면 양대리 268 외 2필지
충청남도,천안시 서북구,(주)세스,계획입지,041-585-8501,배전반 및 전기자동제어반,배전반 및 전기 자동제어반 제조업 외 1 종,충청남도 천안시 서북구 직산읍 4산단4로 32
충청남도,천안시 서북구,(주)세스텍,계획입지,041-585-2030,산업용 로봇,산업용 로봇 제조업,충청남도 천안시 서북구 직산읍 삼은리 43-1번지 충남테크노파크번영관 1101호
충청남도,천안시 서북구,(주)세영아이앤씨,개별입지,041-588-9001,보온재+도장된 전자부품(TV case),그 외 기타 플라스틱 제품 제조업 외 1 종,충청남도 천안시 서북구 입장면 흑암리 79-7번지
충청남도,천안시 동남구,(주)세우산업,개별입지,041-552-8181,스치로풀,폴리스티렌 발포 성형제품 제조업,충청남도 천안시 동남구 수신면 우각골길 26 ((주)세우산업)
충청남도,천안시 서북구,(주)세운메디칼,개별입지,041-584-2903,의료기기,그 외 기타 의료용 기기 제조업 외 2 종,충청남도 천안시 서북구 입장면 도림길 60 ((주)세운메디칼)
충청남도,천안시 서북구,(주)세운메디칼 성환지점,개별입지,041-588-6600,의료용기구,그 외 기타 의료용 기기 제조업,충청남도 천안시 서북구 성환읍 율금리 439-1번지
충청남도,천안시 서북구,(주)세원농기계,개별입지,041-585-5625,사료배합기,농업 및 임업용 기계 제조업,충청남도 천안시 서북구 복모3길 29 (성환읍)
충청남도,천안시 동남구,(주)세인식품,개별입지,041-554-9183,짜장분말+비프씨즈님파우다,육류 기타 가공 및 저장처리업 (가금류 제외) 외 4 종,충청남도 천안시 동남구 성남면 대화리 193번지 외 2필지
충청남도,천안시 동남구,(주)세인식품 제2공장,개별입지,041-554-9183,혼합조제 분말조미료,천연 및 혼합조제 조미료 제조업,충청남도 천안시 동남구 성남면 세성로 34 (조일) (총 3 필지) 외 2필지
충청남도,천안시 서북구,(주)세일기연,개별입지,,산업용 로봇,산업용 로봇 제조업,충청남도 천안시 서북구 성환읍 잠실길 44-8
충청남도,천안시 동남구,(주)세일메카닉스,개별입지,041-522-3101,지하철 의자,그외기타분류안된특수목적용기계제조업,충청남도 천안시 동남구 수신면 5산단로 222-34 ((주)세일메카닉스)
충청남도,천안시 동남구,(주)세일메카닉스,계획입지,041-522-3101,반도체장비 프레임,반도체 제조용 기계 제조업,충청남도 천안시 동남구 성남면 5산단3로 77-9
충청남도,천안시 동남구,(주)세일스틸엔지니어링,개별입지,041-562-9110,압력용기부품,자동차용 금속 압형제품 제조업 외 1 종,충청남도 천안시 동남구 병천면 탑원리 2-1번지
충청남도,천안시 동남구,(주)세종보안시스템,개별입지,041-571-9426,CCTV+금속기둥,방송장비 제조업 외 1 종,충청남도 천안시 동남구 성남면 석곡3길 67
충청남도,천안시 서북구,(주)세창,개별입지,041-558-4114,건축내장용 강재,구조용 금속 판제품 및 공작물 제조업,충청남도 천안시 서북구 성거읍 석교리 61번지
충청남도,천안시 동남구,(주)세창이엔텍,개별입지,041-523-0677,금속프레임,그 외 기타 금속가공업,충청남도 천안시 동남구 성남면 신사리 64-26번지 외 17필지
충청남도,천안시 동남구,(주)세창이엔텍,개별입지,041-523-0677,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,충청남도 천안시 동남구 광덕면 차령고개로 682-11 (총 3 필지) 외 2필지
충청남도,천안시 서북구,(주)세한,개별입지,041-568-1967,전산용지,문구용 종이제품 제조업,충청남도 천안시 서북구 성거읍 신월리 213-3번지
충청남도,천안시 서북구,(주)세화전자,개별입지,041-584-3323,가변저항기+LED조명,전자저항기 및 전자카드 제조업 외 2 종,충청남도 천안시 서북구 성거읍 봉주로 195-1
충청남도,천안시 동남구,(주)센서엠알,개별입지,041-522-2279,NMRI 센서,"물질 검사, 측정 및 분석기구 제조업",충청남도 천안시 동남구 안서동 산 29번지 단국대창업보육센터 102
충청남도,천안시 서북구,(주)센추리산업,계획입지,041-587-9809,항온항습기,가정용 및 산업용 공기 조화장치 제조업 외 1 종,"충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 번영관 1303, 1308, 3306호, 정보영상관 413호"
충청남도,천안시 서북구,(주)센텍,개별입지,041-522-5610,CCTV,방송장비 제조업,충청남도 천안시 서북구 부대동 275번지 창업보육센타 102호
충청남도,천안시 서북구,(주)센텍,계획입지,041-522-5610,cctv외,방송장비 제조업 외 7 종,"충청남도 천안시 서북구 백석공단1로 10, A동 803호, B동 713호 (백석동)(백석동, 천안 미래에이스하이테크시티)"
충청남도,천안시 동남구,(주)센트로닉스,개별입지,041-579-5570,배전반및전기자동제어반+하네스,배전반 및 전기자동제어반 제조업,충청남도 천안시 동남구 망향로 45-10 (신부동)
충청남도,천안시 서북구,(주)센트로닉스,계획입지,041-579-5570,전기공급 및 제어장치,전기회로 접속장치 제조업,"충청남도 천안시 서북구 백석공단5길 25, 103호 (백석동)"
충청남도,천안시 서북구,(주)소닉스,개별입지,041-582-9900,BLU AUTO INSPECTION MACHINE,디스플레이 제조용 기계 제조업,"충청남도 천안시 서북구 성환읍 가동길 26-22, 소닉스"
충청남도,천안시 동남구,(주)소리지오,개별입지,070-4827-4007,방음부스+흡음패널+룸튜닝제품,부직포 및 펠트 제조업 외 1 종,"충청남도 천안시 동남구 풍세면 태학산로 470, 1층 3호, 4호"
충청남도,천안시 서북구,(주)소성산업,개별입지,,철가공품,그 외 기타 금속가공업,
충청남도,천안시 동남구,(주)소울네이처푸드,개별입지,041-425-1421,다이어트쉐이크+홍삼음료,건강기능식품 제조업 외 1 종,충청남도 천안시 동남구 성남면 석곡2길 80
충청남도,천안시 동남구,(주)솔로몬,개별입지,041-571-0332,샌드위치판넬 외,구조용 금속 판제품 및 공작물 제조업,충청남도 천안시 동남구 수신면 발산리 529-8번지 외 1필지
충청남도,천안시 서북구,(주)솔톤바이오켐,개별입지,041-584-2151,사료 및 동물용의약품+사료 및 동물용의약품+사료 및 동물용의약품+사료 및 동물용의약품,반려동물용 사료 제조업 외 3 종,충청남도 천안시 서북구 봉주로 220 (성거읍)
충청남도,천안시 동남구,(주)송광프라스틱,개별입지,041-567-2205,자동차용플라스틱사출품,자동차 차체용 신품 부품 제조업,"충청남도 천안시 동남구 성남면 성남로 302, 265-1,264-4,266-1,266-2"
충청남도,천안시 서북구,(주)송광프라스틱,개별입지,041-585-0111,자동차에어콘 케이스,그 외 기타 플라스틱 제품 제조업,충청남도 천안시 서북구 입장면 기로리 265번지 외 1필지
충청남도,천안시 서북구,(주)송림포장,개별입지,,HDPE봉투+LDPE봉투+PP봉투,"플라스틱 포대, 봉투 및 유사제품 제조업",충청남도 천안시 서북구 성환읍 수향리 156-3 외 3필지
충청남도,천안시 서북구,(주)송연산업,개별입지,070-5055-2740,발포지(P.E폼),기타 플라스틱 발포 성형제품 제조업,충청남도 천안시 서북구 입장면 독정4길 28-6
충청남도,천안시 동남구,(주)송천이앤씨,계획입지,041-552-4042,모듈러건축시스템,구조용 금속 판제품 및 공작물 제조업 외 3 종,충청남도 천안시 동남구 풍세면 풍세산단3로 47
충청남도,천안시 서북구,(주)수덕,개별입지,,반도체장비 커버,기타 기계.장비 조립용 플라스틱 제품 제조업,충청남도 천안시 서북구 성환읍 복모리 280
충청남도,천안시 서북구,(주)수성하이테크,개별입지,041-583-0148,반도체+LED부품 정밀세정 및 가공,그 외 기타 금속가공업,충청남도 천안시 서북구 2공단1로 59-24 (차암동)
충청남도,천안시 동남구,(주)수신오가피,개별입지,041-552-2555,다류(액상차),그 외 기타 식료품 제조업,충청남도 천안시 동남구 수신면 해정1길 210
충청남도,천안시 서북구,(주)수피아엘이디,개별입지,041-568-3211,LED조명,일반용 전기 조명장치 제조업 외 3 종,충청남도 천안시 서북구 성거읍 오목모전길 56-24
충청남도,천안시 서북구,(주)순바이오,계획입지,041-582-5401,복합조미식품+기타 가공품,기타 식품 첨가물 제조업,"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 3303호"
충청남도,천안시 서북구,(주)쉐어텍,개별입지,,반도체 제조장비(조립용 기기),반도체 제조용 기계 제조업,충청남도 천안시 서북구 성환읍 율금9길 126
충청남도,천안시 서북구,(주)쉐어텍,개별입지,,반도체 제조장비(조립용 기기),반도체 제조용 기계 제조업,충청남도 천안시 서북구 성환읍 율금9길 126-1
충청남도,천안시 동남구,(주)슈가엔,개별입지,041-529-3558,바이오슈가,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,충청남도 천안시 동남구 단대로 119 (안서동) (제2과학관311호)
충청남도,천안시 동남구,(주)슈모스,개별입지,,마스크,기타 직물제품 제조업,
충청남도,천안시 서북구,(주)스냅팩,계획입지,041-522-5601,일회용충진,설치용 및 위생용 플라스틱제품 제조업,충청남도 천안시 서북구 백석동 555-31번지
충청남도,천안시 동남구,(주)스노젠,개별입지,041-553-8001,섬유유연제+호제호발제+나염용호제+산업용바인더,계면활성제 제조업,충청남도 천안시 동남구 광덕면 세종로 4162 외 3필지
충청남도,천안시 동남구,(주)스쿱,개별입지,041-569-9643,3D 모형 및 조형물,전시용 모형 제조업 외 1 종,충청남도 천안시 동남구 유량로 83 (구성동)
충청남도,천안시 서북구,(주)스쿱,계획입지,041-569-9645,3D프린터,디지털 적층 성형기계 제조업 외 2 종,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 404호 (백석동)"
충청남도,천안시 서북구,(주)스탠다드코리아,개별입지,041-585-5025,전동성페이스트,인쇄회로기판용 적층판 제조업 외 2 종,"충청남도 천안시 서북구 양대기로길 89 (입장면, 한국생산기술연구원) Bi Center 실험2동304호"
충청남도,천안시 서북구,(주)스터링테크놀로지코리아,개별입지,041-581-3922,열화수형 환풍기,,충청남도 천안시 서북구 직산읍 군서리 79번지
충청남도,천안시 동남구,(주)스페스,개별입지,041-572-0603,자동화장비(신호선+파워선),그 외 기타 전자부품 제조업 외 1 종,충청남도 천안시 동남구 통정8로 30 -7(신방동)
충청남도,천안시 서북구,(주)승일,계획입지,032-578-1811,에어졸+캔+밸브,금속 캔 및 기타 포장용기 제조업,충청남도 천안시 서북구 직산읍 신갈리 256번지
충청남도,천안시 서북구,(주)승일 천안2사업장,개별입지,041-411-1813,에어졸 돔+보돔,그 외 금속 압형제품 제조업,충청남도 천안시 서북구 업성1길 27 (업성동) 외 5필지
충청남도,천안시 동남구,(주)승일네트웍스,개별입지,02-2088-3322,난간대,구조용 금속 판제품 및 공작물 제조업,"충청남도 천안시 동남구 동면 화복로 536, 5동"
충청남도,천안시 동남구,(주)승일실업,개별입지,041-569-6157,난간대+파이프 외,구조용 금속 판제품 및 공작물 제조업,충청남도 천안시 동남구 동면 화복로 536
충청남도,천안시 서북구,(주)승전,개별입지,,농업기계 저온저장고(이동식),산업용 냉장 및 냉동 장비 제조업,충청남도 천안시 서북구 입장면 유리 370-1 외 1필지
충청남도,천안시 서북구,(주)승호테크,개별입지,,반도체 임가공부품,그외기타전자부품제조업,충청남도 천안시 서북구 차암동 113번지
충청남도,천안시 서북구,(주)시광,개별입지,041-522-1500,LED집광기,그 외 기타 전자부품 제조업,충청남도 천안시 서북구 부대동 275번지 공주대학교산학협력관 404
충청남도,천안시 서북구,(주)시노펙스,개별입지,041-582-5611,Cable+Wire+Goretex+부직포,광섬유 케이블 제조업 외 3 종,충청남도 천안시 서북구 입장면 독정기로길 17
충청남도,천안시 서북구,(주)시맨틱스,계획입지,02-6000-6002,초대형데이터 처리용네트워크,기억장치 제조업,충청남도 천안시 서북구 직산읍 삼은리 511번지 충남테크노파크 영상미디어센터 6층
충청남도,천안시 동남구,(주)시밀레,개별입지,031-723-0945,전동유축기+UV 젖병소독기,그 외 기타 의료용 기기 제조업,충청남도 천안시 동남구 목천읍 성남로 97-14
충청남도,천안시 서북구,(주)시스코,개별입지,031-676-9881,유아용 포장용기+농자재 호스마개+농자재 사출품,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",충청남도 천안시 서북구 입장면 연곡길 172-30 외 2필지
충청남도,천안시 서북구,(주)시스탑,개별입지,041-415-2345,반도체장비,반도체 제조용 기계 제조업,충청남도 천안시 서북구 성환읍 성환22길 15
충청남도,천안시 서북구,(주)시원물산,계획입지,041-554-7522,냉동기부품,산업용 냉장 및 냉동 장비 제조업,충청남도 천안시 서북구 백석동 555-55번지
충청남도,천안시 동남구,(주)신라정밀,개별입지,041-552-9800,s/w bearing,그 외 자동차용 신품 부품 제조업 외 7 종,충청남도 천안시 동남구 수신면 5산단로 186 (수신면)
충청남도,천안시 동남구,(주)신라정밀 제2공장,개별입지,041-552-9800,선회 베어링,그 외 자동차용 신품 부품 제조업 외 3 종,충청남도 천안시 동남구 수신면 수신로 619
충청남도,천안시 동남구,(주)신라정밀 제3공장,개별입지,041-552-9800,SLEWING RING BEARING,그 외 자동차용 신품 부품 제조업 외 3 종,충청남도 천안시 동남구 수신면 우각골길 6 (수신면)
충청남도,천안시 동남구,(주)신라정밀 제4공장,계획입지,041-552-9801,볼 및 롤러 베어링(선회베어링)+열처리된 철재부품,구름베어링 제조업 외 1 종,충청남도 천안시 동남구 성남면 5산단2로 134
충청남도,천안시 서북구,(주)신미씨앤에프,개별입지,041-583-8381,유부,두부 및 유사식품 제조업,충청남도 천안시 서북구 성거읍 신월리 285-1번지
충청남도,천안시 서북구,(주)신성씨앤티,계획입지,02-6954-1217,Graphite Sheet+Tape,그 외 기타 전자부품 제조업,
충청남도,,(주)신성씨앤티,계획입지,02-6954-1217,Graphite Sheet+Tape,산업용 그 외 비경화 고무제품 제조업,
충청남도,천안시 동남구,(주)신성이엔지산업,개별입지,041-532-1377,CCTV POLL 구조물+전기자동제어BOX,배전반 및 전기 자동제어반 제조업 외 3 종,충청남도 천안시 동남구 성남면 성남로 230-42 외 3필지
충청남도,천안시 서북구,(주)신성하우징,개별입지,041-587-3301,금속제창호+복합창호+PVC창호,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",충청남도 천안시 서북구 직산읍 직산로 220
충청남도,천안시 동남구,(주)신영에프엔씨,개별입지,043-536-9703,토질개량용 토사석 조제품 제조,유기질 비료 및 상토 제조업,충청남도 천안시 동남구 동면 장송리 359-8
충청남도,천안시 동남구,(주)신영이노텍,개별입지,,그라비아인쇄(식품포장재+파우치 등),기타 인쇄업 외 1 종,충청남도 천안시 동남구 성남면 대흥1길 235
충청남도,천안시 동남구,(주)신예,개별입지,041-523-1530,콘베이어,컨베이어장치 제조업,충청남도 천안시 동남구 성남면 봉양리 831-22
충청남도,천안시 서북구,(주)신우전자,개별입지,041-563-7047,유선전화기,유선 통신장비 제조업,충청남도 천안시 서북구 성성동 159-12번지
