연번,벤처기업명,벤처확인유형,간략주소,업종분류(기보),업종명(10차),주생산품,벤처확인기관
132,이에스산업 주식회사,혁신성장유형,충청남도 천안시,제조업,동력식 수지 공구 제조업,"전동공구, 생활가전",벤처기업확인기관
12,주식회사 스마트모빌리티센터,혁신성장유형,충청남도 천안시,제조업,그 외 기타 달리 분류되지 않은 운송장비 제조업,"전동 자전거, 전동 킥보드",벤처기업확인기관
411,㈜블루네트웍스,혁신성장유형,충청남도 천안시,제조업,기타 전기 변환장치 제조업,전기차충전기 CCTV,벤처기업확인기관
1248,정연코퍼레이션 주식회사,벤처투자유형,충청남도 천안시,제조업,그 외 기타 전자 부품 제조업,전기차 배터리 부품,벤처기업확인기관
651,주식회사 이브이텍,혁신성장유형,충청남도 천안시,제조업,그 외 기타 전자 부품 제조업,전기차 가치추정 및 폐 배터리 상태진단 시스템,벤처기업확인기관
44,㈜세명에프에이,혁신성장유형,충청남도 아산시,제조업,배전반 및 전기 자동제어반 제조업,전기제어장치,벤처기업확인기관
377,주식회사 엔테크,연구개발유형,충청남도 아산시,제조업,배전반 및 전기 자동제어반 제조업,전기전자자동제어 반도체장비,벤처기업확인기관
1202,㈜아이엔티에스,혁신성장유형,충청남도 아산시,제조업,반도체 제조용 기계 제조업,전기전자부품 반도체부품 무역업 소프트웨어개발,벤처기업확인기관
4,주식회사 마이크로티에스,혁신성장유형,충청남도 천안시,제조업,"전자기 측정, 시험 및 분석 기구 제조업",전기전자부품,벤처기업확인기관
236,㈜유원산업,혁신성장유형,충청남도 천안시,제조업,농업 및 임업용 기계 제조업,전기전자 부품 및 다목적로더,벤처기업확인기관
1156,사단법인 한마음장애인복지회,혁신성장유형,충청남도 천안시,제조업,기타 전기 변환장치 제조업,전기자동차용 충전장치,벤처기업확인기관
1283,씨티아이코리아 주식회사,혁신성장유형,충청남도 천안시,제조업,"전자기 측정, 시험 및 분석 기구 제조업",전기자동차 안정성 평가장비,벤처기업확인기관
533,주식회사 더블유피,연구개발유형,충청남도 천안시,제조업,자동차용 신품 전기장치 제조업,"전기자동차 공조 제어기 , 전기 자동차 부품 , PCB제조 , 센서 모듈 ",벤처기업확인기관
1160,주식회사 라인,혁신성장유형,충청남도 아산시,제조업,그 외 기타 특수 목적용 기계 제조업,전기식 식기세척기,벤처기업확인기관
730,㈜피엠솔,벤처투자유형,충청남도 당진시,"농,어,임,광업",철 광업,적층제조용 금속분말,벤처기업확인기관
745,주식회사 팍스메디,연구개발유형,충청남도 아산시,제조업,그 외 기타 의료용 기기 제조업,저주파 자극기 마사지기,벤처기업확인기관
150,주식회사 네이피,혁신성장유형,충청남도 천안시,제조업,과실 및 그 외 채소 절임식품 제조업,저염 절임식품,벤처기업확인기관
460,주식회사 대한이앤씨,연구개발유형,충청남도 논산시,제조업,그 외 기타 특수 목적용 기계 제조업,재활용품압축기 수문 제진기 등,벤처기업확인기관
301,㈜가이아 농업회사법인,혁신성장유형,충청남도 논산시,제조업,"식초, 발효 및 화학 조미료 제조업",장류저염발효조미료,벤처기업확인기관
827,주식회사 피엠테크솔루션,혁신성장유형,충청남도 아산시,제조업,기체 여과기 제조업,잡철물제작집진기) ,벤처기업확인기관
1271,㈜대아테크,혁신성장유형,충청남도 천안시,제조업,절삭 가공 및 유사 처리업,"작화기, 폭발볼트 등 부품류",벤처기업확인기관
1000,주식회사 파리로엠엔비,혁신성장유형,충청남도 아산시,제조업,전기식 진단 및 요법 기기 제조업,자폐스펙트럼 진단 및 치료 의료기기,벤처기업확인기관
335,주식회사 에이티이엔지,혁신성장유형,충청남도 천안시,제조업,그 외 기타 달리 분류되지 않은 운송장비 제조업,"자율주행서비스로봇, 무인자율카트, 친환경전기차, hy 전동카트 프레임",벤처기업확인기관
52,㈜메디띵스,혁신성장유형,충청남도 천안시,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업","자연과학 및 공학 융합 연구개발업 전기용 기계, 장비 및 관련 기자재  도매업",벤처기업확인기관
201,㈜티앤아이컴퍼니,혁신성장유형,충청남도 천안시,제조업,배전반 및 전기 자동제어반 제조업,자동화제어장비PLC Program,벤처기업확인기관
981,주식회사 유진테크놀로지,연구개발유형,충청남도 아산시,제조업,그 외 기타 전기장비 제조업,자동화제어기기제작,벤처기업확인기관
1219,(주)현일시스템,혁신성장유형,충청남도 아산시,제조업,기타 물품 취급장비 제조업,"자동화전기제어,산업용 로봇 제조업,배전반 및 전기 자동제어반 제조업",벤처기업확인기관
310,주식회사   미코명진,혁신성장유형,충청남도 아산시,제조업,그 외 기타 특수 목적용 기계 제조업,자동화장치,벤처기업확인기관
633,주식회사 트임,혁신성장유형,충청남도 천안시,제조업,디스플레이 제조용 기계 제조업,자동화장비제조,벤처기업확인기관
869,(주)파이온,연구개발유형,충청남도 아산시,제조업,배전반 및 전기 자동제어반 제조업,자동화장비 제조,벤처기업확인기관
1072,주식회사 디엔지니어,혁신성장유형,충청남도 아산시,제조업,그 외 기타 일반 목적용 기계 제조업,자동화장비 제작 및 엔지니어링 서비스,벤처기업확인기관
786,주식회사 알티자동화,연구개발유형,충청남도 아산시,제조업,반도체 제조용 기계 제조업,자동화장비 및 부품,벤처기업확인기관
375,(주)옵티플렉스,혁신성장유형,충청남도 천안시,제조업,광학 렌즈 및 광학 요소 제조업,자동화장비,벤처기업확인기관
88,㈜엔시스,혁신성장유형,충청남도 아산시,제조업,산업 처리공정 제어장비 제조업,자동화설비제작,벤처기업확인기관
771,주원이앤에스,혁신성장유형,충청남도 천안시,제조업,반도체 제조용 기계 제조업,자동화설비기기,벤처기업확인기관
438,주식회사 엔씨씨,벤처투자유형,충청남도 아산시,제조업,그 외 기타 특수 목적용 기계 제조업,"자동화설비, 레이저응용설비",벤처기업확인기관
1111,주식회사 케이엔테크놀로지,혁신성장유형,충청남도 천안시,제조업,그 외 기타 특수 목적용 기계 제조업,자동화설비 제조(물류컨베이어),벤처기업확인기관
1269,이에스,혁신성장유형,충청남도 아산시,제조업,산업 처리공정 제어장비 제조업,자동화설비 ,벤처기업확인기관
205,㈜코윈테크,혁신성장유형,충청남도 아산시,제조업,기타 물품 취급장비 제조업,자동화물류설비,벤처기업확인기관
791,(주)프라임로보틱스,혁신성장유형,충청남도 공주시,제조업,그 외 기타 전기장비 제조업,"자동화기기, 비전검사기",벤처기업확인기관
1014,주식회사 한텍,혁신성장유형,충청남도 아산시,제조업,반도체 제조용 기계 제조업,자동화기계장비,벤처기업확인기관
1273,주식회사일선시스템,혁신성장유형,충청남도 아산시,제조업,전자 응용 절삭기계 제조업,자동화 판넬 ,벤처기업확인기관
851,케이에이,혁신성장유형,충청남도 천안시,제조업,"전기회로 개폐, 보호 장치 제조업","자동화 제어관련 개발업무, 자동 제어반 제작",벤처기업확인기관
196,㈜온오프시스템,혁신성장유형,충청남도 아산시,제조업,디스플레이 제조용 기계 제조업,자동화 제어,벤처기업확인기관
1279,주식회사 씽크소프트,벤처투자유형,충청남도 아산시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,자동화 장비 제어 소프트웨어,벤처기업확인기관
1127,주식회사 스타테크,혁신성장유형,충청남도 천안시,제조업,디스플레이 제조용 기계 제조업,자동화 장비,벤처기업확인기관
1164,주식회사 에스와이테크놀러지(SYT),혁신성장유형,충청남도 아산시,제조업,반도체 제조용 기계 제조업,자동화 설비 및 검사 자동화설비 제조,벤처기업확인기관
907,합자회사 공주종합모터스,혁신성장유형,충청남도 공주시,기타,자동차 종합 수리업,자동차정비,벤처기업확인기관
491,주식회사 오토엠,혁신성장유형,충청남도 서산시,기타,자동차 종합 수리업,"자동차의 재생, 개조 및 개량활동 ",벤처기업확인기관
864,이에이치이㈜,혁신성장유형,충청남도 홍성군,제조업,그 외 자동차용 신품 부품 제조업,자동차용부품 와이퍼와샤등,벤처기업확인기관
1155,㈜승정,혁신성장유형,충청남도 아산시,제조업,자동차용 신품 동력 전달장치 제조업,자동차용 연료펌프 모터부품,벤처기업확인기관
938,㈜영신에프앤에스,연구개발유형,충청남도 예산군,제조업,그 외 자동차용 신품 부품 제조업,자동차용 엔진오토트랜스밋숀구동부품친환경차 모터커버,벤처기업확인기관
553,㈜호안,혁신성장유형,충청남도 아산시,제조업,부직포 및 펠트 제조업,자동차용 에어클리너 에어덕트 헤드라이너재 내장재,벤처기업확인기관
710,진호 주식회사,연구개발유형,충청남도 아산시,제조업,그 외 자동차용 신품 부품 제조업,"자동차용 에어컨, 배관 파이프류",벤처기업확인기관
103,㈜에스이,혁신성장유형,충청남도 아산시,제조업,자동차용 신품 전기장치 제조업,자동차용 Sol Coil Assy,벤처기업확인기관
1196,에스앤씨㈜,혁신성장유형,충청남도 천안시,제조업,전자 감지장치 제조업,자동차용 Sensor,벤처기업확인기관
462,주식회사포인트,혁신성장유형,충청남도 아산시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,자동차부품공기청정기,벤처기업확인기관
60,㈜테스카,혁신성장유형,충청남도 천안시,제조업,금속 단조제품 제조업,"자동차부품, 진동모터부품  외",벤처기업확인기관
972,주식회사 조일,혁신성장유형,충청남도 예산군,제조업,자동차 차체용 신품 부품 제조업,자동차부품(도어빔외),벤처기업확인기관
1147,주식회사 폴레드,벤처투자유형,충청남도 서산시,제조업,그 외 자동차용 신품 부품 제조업,자동차부품 제조,벤처기업확인기관
663,㈜세림티앤디,연구개발유형,충청남도 천안시,제조업,금속 단조제품 제조업,자동차부품 산업용부품,벤처기업확인기관
49,㈜제이비파워텍,혁신성장유형,충청남도 아산시,제조업,그 외 기타 달리 분류되지 않은 운송장비 제조업,자동차부품,벤처기업확인기관
105,주식회사 더그루,혁신성장유형,충청남도 아산시,제조업,그 외 기타 플라스틱 제품 제조업,자동차부품,벤처기업확인기관
327,천일정공㈜,혁신성장유형,충청남도 천안시,제조업,그 외 자동차용 신품 부품 제조업,자동차부품,벤처기업확인기관
359,웰츠미크론,연구개발유형,충청남도 천안시,제조업,절삭 가공 및 유사 처리업,자동차부품,벤처기업확인기관
628,주식회사 우리기업,혁신성장유형,충청남도 아산시,제조업,그 외 자동차용 신품 부품 제조업,자동차내장재,벤처기업확인기관
1195,(주)원천,혁신성장유형,충청남도 아산시,제조업,그 외 기타 플라스틱 제품 제조업,자동차공조기부품,벤처기업확인기관
364,이앤에스테크놀러지,혁신성장유형,충청남도 아산시,제조업,금속 열처리업,"자동차, 산업기계{, 전자 부품의 열처리",벤처기업확인기관
1103,이노툴,혁신성장유형,충청남도 천안시,제조업,주형 및 금형 제조업,자동차 휠센서 사출금형,벤처기업확인기관
900,지맨오토파츠 주식회사,벤처투자유형,충청남도 아산시,도소매업,자동차 중고 부품 및 내장품 판매업,자동차 중고부풐 수출 플랫폼,벤처기업확인기관
309,㈜한도,혁신성장유형,충청남도 천안시,제조업,자동차용 신품 조향장치 및 현가장치 제조업,"자동차 조향장치 부품 (Yoke, Shaft 외)",벤처기업확인기관
1223,영화테크(주),혁신성장유형,충청남도 아산시,제조업,그 외 자동차용 신품 부품 제조업,"자동차 정션박스,전자부품(전자모듈) 제조,도매,무역/전자,자동차부품 설계용역",벤처기업확인기관
707,(주)현보,혁신성장유형,충청남도 천안시,제조업,그 외 자동차용 신품 부품 제조업,자동차 전자전장부품,벤처기업확인기관
800,㈜대성정공,혁신성장유형,충청남도 아산시,제조업,주형 및 금형 제조업,자동차 열교환기 금형,벤처기업확인기관
187,주식회사 이엠에스,벤처투자유형,충청남도 천안시,제조업,그 외 자동차용 신품 부품 제조업,자동차 연료펌프용 모터 샤프트 제조,벤처기업확인기관
424,㈜휘일,혁신성장유형,충청남도 아산시,제조업,그 외 자동차용 신품 부품 제조업,자동차 에어컨용 부품,벤처기업확인기관
616,신성공업(주),혁신성장유형,충청남도 아산시,제조업,그 외 자동차용 신품 부품 제조업,자동차 시트 프레임 브라켓류 ,벤처기업확인기관
10,헵시바,혁신성장유형,충청남도 아산시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,자동차 시트,벤처기업확인기관
547,주식회사 화인트로,혁신성장유형,충청남도 아산시,제조업,그 외 자동차용 신품 부품 제조업,자동차 브레이크용 백 플레이트 ,벤처기업확인기관
738,스톨츠 주식회사,연구개발유형,충청남도 금산군,제조업,자동차용 신품 제동장치 제조업,자동차 부품 브레이크 시스템,벤처기업확인기관
363,주식회사 엠에스테크,혁신성장유형,충청남도 천안시,제조업,그 외 자동차용 신품 부품 제조업,자동차 부품 및 화장실 용품,벤처기업확인기관
672,주식회사 맨스게러지,혁신성장유형,충청남도 당진시,제조업,자동차 차체용 신품 부품 제조업,자동차 부품,벤처기업확인기관
1057,주식회사 현진글로벌,혁신성장유형,충청남도 아산시,도소매업,자동차용 전용 신품 부품 판매업,자동차 부품,벤처기업확인기관
1069,티에스모스트 주식회사,혁신성장유형,충청남도 천안시,제조업,자동차 차체용 신품 부품 제조업,자동차 부품,벤처기업확인기관
558,㈜시에스,혁신성장유형,충청남도 아산시,제조업,자동차 차체용 신품 부품 제조업,자동차 배기장치 부품,벤처기업확인기관
152,주식회사 티케이이엔에스,연구개발유형,충청남도 계룡시,제조업,그 외 기타 분류 안된 화학제품 제조업,자동차 램프용 및 산업용 제습제,벤처기업확인기관
96,선우기술㈜,혁신성장유형,충청남도 아산시,제조업,그 외 기타 전기장비 제조업,자동제어장치,벤처기업확인기관
617,에이씨디씨 주식회사,혁신성장유형,충청남도 아산시,제조업,배전반 및 전기 자동제어반 제조업,자동제어반,벤처기업확인기관
620,주식회사 서북,혁신성장유형,충청남도 천안시,기타,일반 영화 및 비디오물 제작업,자동사진촬영업,벤처기업확인기관
653,주식회사 고산테크,벤처투자유형,충청남도 천안시,제조업,디스플레이 제조용 기계 제조업,잉크젯 시스템,벤처기업확인기관
1129,주식회사 에이블,혁신성장유형,충청남도 아산시,제조업,반도체 제조용 기계 제조업,임펠라,벤처기업확인기관
387,㈜동방메디컬,벤처투자유형,충청남도 보령시,제조업,그 외 기타 의료용 기기 제조업,일회용한방침 외,벤처기업확인기관
776,주식회사 자우버,혁신성장유형,충청남도 계룡시,제조업,위생용 종이제품 제조업,일회용 렌즈크리너손소독제,벤처기업확인기관
1121,주식회사 홍성이엔지,혁신성장유형,충청남도 홍성군,제조업,일반용 도료 및 관련제품 제조업,"일반도료, 친환경 단열몰탈, 블록 등",벤처기업확인기관
668,드림종합건설 주식회사,혁신성장유형,충청남도 서산시,건설운수,도장 공사업,일반도료,벤처기업확인기관
701,웰니스,연구개발유형,충청남도 천안시,제조업,그 외 기타 플라스틱 제품 제조업,"인조잔디, 인조잔디 충진재",벤처기업확인기관
317,㈜오륜스포츠,혁신성장유형,충청남도 서산시,제조업,"카펫, 마루덮개 및 유사 제품 제조업",인조잔디,벤처기업확인기관
1208,주식회사 필텍바이오,혁신성장유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,"인슐린주사기, 펜니들 주사기 외",벤처기업확인기관
675,이천 영농조합법인,혁신성장유형,충청남도 금산군,제조업,인삼식품 제조업,"인삼, 홍삼",벤처기업확인기관
841,주식회사 에이팀코리아,혁신성장유형,충청남도 천안시,제조업,배전반 및 전기 자동제어반 제조업,"인버터, 유량계",벤처기업확인기관
426,주식회사 아미크론,연구개발유형,충청남도 천안시,제조업,주방용 전기 기기 제조업,인덕션레인지,벤처기업확인기관
977,주식회사 업티어,혁신성장유형,충청남도 천안시,연구개발서비스,자연과학 및 공학 융합 연구개발업,인공지능기반 예측플랫폼,벤처기업확인기관
254,㈜코렌텍,연구개발유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,인공관절,벤처기업확인기관
1018,㈜제이엠텍,벤처투자유형,충청남도 아산시,제조업,반도체 제조용 기계 제조업,이차전지제조장비,벤처기업확인기관
872,㈜그랩실,벤처투자유형,충청남도 아산시,제조업,그 외 기타 분류 안된 화학제품 제조업,이차전지용소재,벤처기업확인기관
1172,씨에스아이엠 주식회사,벤처투자유형,충청남도 예산군,제조업,그 외 기타 분류 안된 화학제품 제조업,"이차전지소재, 의약품중간체, 전자재료 등",벤처기업확인기관
804,㈜탑,혁신성장유형,충청남도 천안시,제조업,그 외 기타 특수 목적용 기계 제조업,이차전지 자동화 설비,벤처기업확인기관
210,㈜에너엠,혁신성장유형,충청남도 서산시,제조업,절삭 가공 및 유사 처리업,이차전지 관련 정밀금형 및 정밀기계부품,벤처기업확인기관
277,㈜이브텍,연구개발유형,충청남도 당진시,제조업,그 외 자동차용 신품 부품 제조업,이차배터리 장애인스쿠터,벤처기업확인기관
850,주식회사 에코코리아,혁신성장유형,충청남도 금산군,제조업,기타 구조용 금속제품 제조업,이중바닥마루틀,벤처기업확인기관
232,지니스㈜,연구개발유형,충청남도 당진시,제조업,그 외 기타 의료용 기기 제조업,이온수기,벤처기업확인기관
1237,주식회사 디와이씨,혁신성장유형,충청남도 아산시,제조업,화학 살균ㆍ살충제 및 농업용 약제 제조업,이산화염소수용액,벤처기업확인기관
843,주식회사 피노,벤처투자유형,충청남도 천안시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,이동식자립형방수총,벤처기업확인기관
749,주식회사 한옥새움,연구개발유형,충청남도 부여군,제조업,기타 건축용 나무제품 제조업,이동식 한옥,벤처기업확인기관
160,㈜오송,혁신성장유형,충청남도 천안시,제조업,기타 가정용 전기 기기 제조업,의약외품  소독기,벤처기업확인기관
879,주식회사 바디렉스,혁신성장유형,충청남도 천안시,제조업,정형 외과용 및 신체 보정용 기기 제조업,의수족 보조기 제조업,벤처기업확인기관
1010,(주)더링크,혁신성장유형,충청남도 금산군,제조업,여자용 겉옷 제조업,"의류,의류,응용 소프트웨어 개발 및 공급업,컴퓨터 프로그래밍 서비스업,경영 컨설팅업,광고물 문안, 도안, 설계 등 작성업,기타서비스",벤처기업확인기관
1262,주식회사 바이콘,혁신성장유형,충청남도 천안시,제조업,생물학적 제제 제조업,의료용콜라겐,벤처기업확인기관
557,㈜지온케어,벤처투자유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,의료용기기,벤처기업확인기관
948,주식회사 메디바이저,혁신성장유형,충청남도 천안시,기타,경영 컨설팅업,의료상담 솔루션,벤처기업확인기관
1254,주식회사 비제이와이,벤처투자유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,"의료기기,진단키트,화장품,헬스케어 제조/화장품,화장용품,가축사료 도소매,전자상거래/물리,화학,생물학 연구개발",벤처기업확인기관
601,㈜레드앤블루,혁신성장유형,충청남도 예산군,제조업,전기식 진단 및 요법 기기 제조업,의료기기,벤처기업확인기관
711,주식회사 화인메디,연구개발유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,의료기기,벤처기업확인기관
720,주식회사 메디퍼스트,혁신성장유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,의료기기,벤처기업확인기관
940,웰스메디텍㈜,벤처투자유형,충청남도 천안시,제조업,그 외 기타 의료용 기기 제조업,의료기기,벤처기업확인기관
1169,엔도와 주식회사,혁신성장유형,충청남도 서산시,연구개발서비스,전기ㆍ전자공학 연구개발업,의료기기,벤처기업확인기관
484,삼진전자(주),연구개발유형,충청남도 당진시,제조업,그 외 기타 전자 부품 제조업,"의료,전자,첨단부품제조업",벤처기업확인기관
1078,폰비(주),벤처투자유형,충청남도 천안시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"응용소프트웨어 개발,공급/모바일,주변기기 도소매,온라인통신 판매",벤처기업확인기관
250,주식회사 나노컴퍼니,혁신성장유형,충청남도 아산시,제조업,산업 처리공정 제어장비 제조업,응용소프트웨어 개발,벤처기업확인기관
970,키즐링 주식회사,벤처투자유형,충청남도 천안시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"응용 소프트웨어 개발 및 공급, 앱 서비스",벤처기업확인기관
2,㈜혁신과공감,혁신성장유형,충청남도 천안시,제조업,음ㆍ식료품 및 담배 가공기계 제조업,음식료 가공 기계,벤처기업확인기관
548,주식회사 리코,벤처투자유형,충청남도 예산군,기타,"지정 외 폐기물 수집, 운반업",음식 폐기물 처리관련 소프트웨어 개발 ,벤처기업확인기관
63,주식회사 바로세움,혁신성장유형,충청남도 아산시,정보처리S/W,포털 및 기타 인터넷 정보 매개 서비스업,음반류 및 각종 음향물 제작업,벤처기업확인기관
599,(주)이지시스템,혁신성장유형,충청남도 천안시,제조업,방송장비 제조업,"융복합-일체형화재감지기, 융복합-일체형화재감지 및 자동소화장치, CCTV일체형복합화재감지기",벤처기업확인기관
726,주식회사 엔씨티,연구개발유형,충청남도 천안시,제조업,전자 감지장치 제조업,유해화학물질감지센서,벤처기업확인기관
1094,주식회사 더웰니스,혁신성장유형,충청남도 아산시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,유청분리기 제조,벤처기업확인기관
345,㈜성보종합건설,혁신성장유형,충청남도 계룡시,건설운수,시설물 유지관리 공사업,유지보수,벤처기업확인기관
427,(주)유담,연구개발유형,충청남도 천안시,제조업,액상 시유 및 기타 낙농제품 제조업,유제품 식품 배합사료,벤처기업확인기관
997,주식회사 코펜엔지니어링,연구개발유형,충청남도 아산시,제조업,유압 기기 제조업,유압기기 및 제어시스템,벤처기업확인기관
89,㈜프랑코모다,연구개발유형,충청남도 천안시,제조업,위생용 및 산업용 도자기 제조업,유아매트,벤처기업확인기관
163,㈜동양테크윈,혁신성장유형,충청남도 홍성군,제조업,유선 통신장비 제조업,유무선통신기기,벤처기업확인기관
709,삼화엠테크 (주),혁신성장유형,충청남도 금산군,제조업,전동기 및 발전기 제조업,유도전동기,벤처기업확인기관
143,㈜대지개발,혁신성장유형,충청남도 천안시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,유기질비료,벤처기업확인기관
211,㈜엔비아그로,연구개발유형,충청남도 금산군,제조업,복합비료 및 기타 화학비료 제조업,"유기농업자재, 비료",벤처기업확인기관
513,농업회사법인 보령우유 주식회사,혁신성장유형,충청남도 보령시,제조업,액상 시유 및 기타 낙농제품 제조업,유가공제품,벤처기업확인기관
75,㈜컬러무빙,혁신성장유형,충청남도 예산군,제조업,무기 안료용 금속 산화물 및 관련 제품 제조업,위조방지소재 효과안료,벤처기업확인기관
1224,(주)아이리녹스,혁신성장유형,충청남도 천안시,제조업,그 외 기타 고무제품 제조업,위생용품및　플라스틱제품제조,벤처기업확인기관
913,유한회사 한포,혁신성장유형,충청남도 논산시,제조업,위생용 종이제품 제조업,"위생용품, 생활용품",벤처기업확인기관
354,주식회사 도담정보기술,혁신성장유형,충청남도 천안시,정보처리S/W,데이터베이스 및 온라인 정보 제공업,위반건축물 행정지원 시스템 구축,벤처기업확인기관
732,㈜한미이엔지,혁신성장유형,충청남도 천안시,제조업,그 외 기타 고무제품 제조업,웰딩케이블 외,벤처기업확인기관
878,주식회사  제론셀베인,연구개발유형,충청남도 천안시,제조업,생물학적 제제 제조업,"원료의약품(PDRN, PN)",벤처기업확인기관
846,한국맥널티㈜,혁신성장유형,충청남도 천안시,제조업,커피 가공업,원두커피 및 차류 외,벤처기업확인기관
347,㈜할인점나라,혁신성장유형,충청남도 예산군,제조업,"체조, 육상 및 체력 단련용 장비 제조업",운동기구,벤처기업확인기관
481,나이스텍(주),혁신성장유형,충청남도 아산시,제조업,그 외 기타 일반 목적용 기계 제조업,용해로설비 및 히트펌프,벤처기업확인기관
876,주식회사동서에코글로벌,혁신성장유형,충청남도 보령시,제조업,금속선 가공제품 제조업,"용접철망, 휀스,돌망태",벤처기업확인기관
86,웰메이트㈜,혁신성장유형,충청남도 천안시,제조업,그 외 기타 일반 목적용 기계 제조업,용접자동화설비,벤처기업확인기관
699,모아텍 주식회사,혁신성장유형,충청남도 아산시,제조업,그 외 기타 달리 분류되지 않은 운송장비 제조업,용접대차,벤처기업확인기관
643,(주)웰탑테크노스,혁신성장유형,충청남도 천안시,제조업,기타 가공 공작기계 제조업,용접기부품외,벤처기업확인기관
1234,주식회사 우리에프엔비,혁신성장유형,충청남도 청양군,제조업,액상 시유 및 기타 낙농제품 제조업,"요쿠르트, 요거트,플레인",벤처기업확인기관
757,주식회사 블루텍,연구개발유형,충청남도 논산시,제조업,"질소 화합물, 질소ㆍ인산 및 칼리질 화학비료 제조업","요소수,화학제품",벤처기업확인기관
920,주식회사 공공의주방,벤처투자유형,충청남도 보령시,정보처리S/W,포털 및 기타 인터넷 정보 매개 서비스업,요리콘텐츠 플랫폼,벤처기업확인기관
269,㈜엔아이씨이,혁신성장유형,충청남도 천안시,제조업,금속 탱크 및 저장 용기 제조업,"외부보강 물탱크, 내진자재",벤처기업확인기관
660,태영강건㈜,혁신성장유형,충청남도 천안시,제조업,육상 금속 골조 구조재 제조업,"외벽판넬, 강구조물",벤처기업확인기관
1277,주식회사 에스에이치공조,혁신성장유형,충청남도 천안시,제조업,"탭, 밸브 및 유사 장치 제조업",외기,벤처기업확인기관
50,미드미즈컴퍼니㈜,혁신성장유형,충청남도 천안시,기타,그 외 기타 광고 관련 서비스업,온라인모바일)광고 및 마케팅,벤처기업확인기관
1170,주식회사 차오르다,벤처투자유형,충청남도 천안시,기타,온라인 교육학원,온라인과외 / O2O 스터디센터,벤처기업확인기관
11,㈜위미,혁신성장유형,충청남도 아산시,정보처리S/W,그 외 기타 정보 서비스업,온라인 판매,벤처기업확인기관
1193,플랙티컬 주식회사,혁신성장유형,충청남도 천안시,정보처리S/W,응용 소프트웨어 개발 및 공급업,온라인 어드벤쳐 협동형 코딩 게임 &apos;콜론버스&apos;,벤처기업확인기관
1062,농업법인회사 그린몬스터즈 주식회사,혁신성장유형,충청남도 보령시,"농,어,임,광업","채소, 화훼 및 과실작물 시설 재배업","오이, 과채류재배기",벤처기업확인기관
61,㈜하이테크미디어,혁신성장유형,충청남도 천안시,제조업,그 외 기타 전자 부품 제조업,영상정보디스플레이장치,벤처기업확인기관
471,주식회사 에스마루,연구개발유형,충청남도 청양군,제조업,유선 통신장비 제조업,영상감시장치 외,벤처기업확인기관
233,㈜비츠로밀텍,연구개발유형,충청남도 천안시,제조업,일차전지 제조업,열전지,벤처기업확인기관
214,㈜성산기업,혁신성장유형,충청남도 당진시,제조업,"증류기, 열 교환기 및 가스 발생기 제조업",열교환기 및 압력용기,벤처기업확인기관
1021,주식회사 에이케이지,연구개발유형,충청남도 금산군,제조업,합성수지 및 기타 플라스틱 물질 제조업,열가소성수지,벤처기업확인기관
615,휴나팩 주식회사,혁신성장유형,충청남도 천안시,제조업,"플라스틱 포대, 봉투 및 유사제품 제조업",연포장재,벤처기업확인기관
911,케이세라셀,연구개발유형,충청남도 금산군,제조업,기타 전기 변환장치 제조업,연료전지부품소재,벤처기업확인기관
644,㈜유한정밀,혁신성장유형,충청남도 아산시,제조업,주형 및 금형 제조업,연료전지 분리판,벤처기업확인기관
383,(주)지넥스바이오,혁신성장유형,충청남도 아산시,제조업,건강 기능식품 제조업,"연구개발, 무기화합물, 기타 가공품, 응용소프트웨어 개발 공급",벤처기업확인기관
79,다이카,연구개발유형,충청남도 천안시,연구개발서비스,농림수산학 및 수의학 연구개발업,연구개발 종자개발 종자생산 연구개발컨설팅 농업컨설팅,벤처기업확인기관
362,디알메디테크,혁신성장유형,충청남도 천안시,제조업,장류 제조업,연구,벤처기업확인기관
514,예준바이오,연구개발유형,충청남도 아산시,연구개발서비스,기타 자연과학 연구개발업,연구,벤처기업확인기관
212,㈜동인,혁신성장유형,충청남도 아산시,제조업,반도체 제조용 기계 제조업,연결튜브불소수지 패킹,벤처기업확인기관
685,주식회사 씨에이치바이오,혁신성장유형,충청남도 아산시,제조업,화장품 제조업,여성청결제,벤처기업확인기관
455,주식회사 이안하이텍,연구개발유형,충청남도 천안시,제조업,전기ㆍ전자 및 정밀 기기 수리업,엘씨디모니터 전자제품및전자통신장비 패널 TV수리,벤처기업확인기관
