회사명,전화번호,팩스번호,도로명주소,지번주소,업종명,생산품,대표자명,운영구분,데이터기준일자
에이치케이파워 주식회사,,041-832-0701,충청남도 부여군 은산면 은남로20번길 70,충청남도 부여군 은산면 가중리 569,기타 전기 변환장치 제조업,"배터리 생산설비, 배터리 사이클러 설비 제조",CAO JI,,2026-01-26
영동장재산업,041-836-5543,041-835-2275,충청남도 부여군 부여읍 구아리 153번지,충청남도 부여군 부여읍 구아리 153번지,그 외 기타 봉제의복 제조업,삼베옷,강익환,,2026-01-26
옥외광고 협동조합,041-836-1003,041-836-1008,충청남도 부여군 은산면 충의로622번길 23,충청남도 부여군 은산면 은산리 13,간판 및 광고물 제조업,"간판, 현수막, 안내판",김진호,,2026-01-26
외산농산 영농조합법인,041-836-5280,,충청남도 부여군 외산면 조령서로 10,충청남도 부여군 외산면 전장리 142-1번지,곡물 도정업,"백미, 미곡",노경우,폐업,2026-01-26
우신산업,041-832-7829,,충청남도 부여군 장암면 충절로 1905,충청남도 부여군 장암면 원문리 172번지,일반 제재업 외 2 종,주방용가구,김미애,,2026-01-26
우주영농조합법인,041-836-7775,041-836-7776,충청남도 부여군 석성면 석성로 89,충청남도 부여군 석성면 석성리 426번지,김치류 제조업 외 1 종,단무지,최현세,폐업,2026-01-26
원규산업,041-836-7044,,충청남도 부여군 석성면 석성북로 43-5,충청남도 부여군 석성면 석성리 625번지,김치류 제조업 외 1 종,"단무지,절임식품",이종수,폐업,2026-01-26
유진산업기술 주식회사,062-946-2107,062-946-2107,충청남도 부여군 석성면 증산로 95,충청남도 부여군 석성면 증산리 1291-26,육상 금속 골조 구조재 제조업,복공판,남혜경,,2026-01-26
이스코인더스트리(유),041-834-9665,041-834-9668,충청남도 부여군 은산면 지천로 845,충청남도 부여군 은산면 거전리 377-3번지,아스팔트 콘크리트 및 혼합제품 제조업,아스팔트,김옥봉,,2026-01-26
임천농업협동조합,041-833-2280,041-833-8630,충청남도 부여군 임천면 칠산리 856번지,충청남도 부여군 임천면 칠산리 856번지,곡물 도정업,백미,강창구,,2026-01-26
정이미터,,,충청남도 부여군 양화면 충절로 131-20,충청남도 부여군 양화면 벽용리 113-1번지,육상 금속 골조 구조재 제조업 외 1 종,태양광발전시설 하부구조물,민정임,,2026-01-26
제이제이산업,041-742-6411,041-742-6410,충청남도 부여군 규암면 노화리 303번지 ,충청남도 부여군 규암면 노화리 303번지 ,육상 금속 골조 구조재 제조업,C-형강,황순애,,2026-01-26
조선홍삼제조(주),041-836-1891,041-836-1894,충청남도 부여군 석성면 왕릉로455번길 5,충청남도 부여군 석성면 정각리 246-3번지,인삼식품 제조업,"인삼음료,청량음료",김용욱,휴업,2026-01-26
주식회사 금농,041-834-3301,041-834-3332,충청남도 부여군 구룡면 성충로 1201-4 ,충청남도 부여군 구룡면 금사리 27-1 ,수산동물 냉동품 제조업 외 2 종,"해물모듬, 연어구이, 주꾸미볶음, 소스",정희종,폐업,2026-01-26
주식회사 나누리,,,충청남도 부여군 은산면 충의로622번길 23,충청남도 부여군 은산면 은산리 13,"물질 검사, 측정 및 분석기구 제조업 외 8 종","수중포기기, 수위계, 집진기, 여과기, 교반기, 종합처리기, 컨베이어, 탈수기, 제진기, 스크린 등 수 처리 기계일체",이창수,,2026-01-26
주식회사 대오,041-832-7900,041-832-7208,충청남도 부여군 초촌면 금백로 1007,충청남도 부여군 초촌면 세탑리 14-18번지,육류 도축업(가금류 제외) 외 5 종,"부분육, 통닭, 단미사료, 단미사료, 통닭, 단미사료","김상수, 모성칠",,2026-01-26
주식회사 대호산업,02-909-8301,02-6442-4889,충청남도 부여군 세도면 세도로 140 ,충청남도 부여군 세도면 청송리 595-1 ,플라스틱 시트 및 판 제조업 외 1 종,방수시트,김성진,,2026-01-26
주식회사 동명시스템즈,041-836-7613,041-836-7614,충청남도 부여군 홍산면 비홍로 49,충청남도 부여군 홍산면 홍양리 306-7,배전반 및 전기 자동제어반 제조업 외 4 종,"산업용자동화시스템, 배전반, CCTV, 유량계",추인영,,2026-01-26
주식회사 두손,041-837-0151,041-837-0153,충청남도 부여군 은산면 은남로20번길 42,충청남도 부여군 은산면 가중리 558,배전반 및 전기 자동제어반 제조업,"공기청정기, 수,배전반",김상수,,2026-01-26
주식회사 디와이바스,041-835-2015,,충청남도 부여군 장암면 지토리 708-3번지,충청남도 부여군 장암면 지토리 708-3번지,설치용 및 위생용 플라스틱제품 제조업,욕조.목재가구.욕실수납장,심인숙,폐업,2026-01-26
주식회사 맛푸름,041-834-7305,041-832-7305,충청남도 부여군 은산면 충의로622번길 13,충청남도 부여군 은산면 은산리 15번지,김치류 제조업 외 3 종,"절임, 조림식품, 김치, 수산물가공, 젓갈류, 장류",최정자,휴업,2026-01-26
주식회사 비디텍,041-837-4416,041-833-4415,충청남도 부여군 은산면 충의로 602-26,충청남도 부여군 은산면 은산리 20,화장품 제조업,"구중충량제, 치약제, 의약외제품, 위생용품, 식품첨가물, 화장품, 기타화학제품",박옥화,,2026-01-26
주식회사 삼일씨엔에스,041-408-7933,041-408-7934,충청남도 부여군 장암면 충절로1713번길 60 ,충청남도 부여군 장암면 합곡리 1007 ,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,"할로우코어 슬래브, 콘크리트 거더, 칼럼, 인조대리석","배강열, 유청무, 장기철",,2026-01-26
주식회사 성신비엔에프,041-833-8501,041-833-8503,충청남도 부여군 은산면 충의로 612,충청남도 부여군 은산면 은산리 24,빵류 제조업 외 2 종,냉동붕어빵,박종길,,2026-01-26
주식회사 신화이엔지,041-355-2851,041-356-2859,충청남도 부여군 은산면 충의로622번길 23,충청남도 부여군 은산면 은산리 13,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종","수문, 수문, 수문권양기, 수문권양기, 제진기",장영선,,2026-01-26
주식회사 에너리트,042-368-0600,042-368-0603,충청남도 부여군 은산면 충의로622번길 23,충청남도 부여군 은산면 은산리 13,액체 여과기 제조업,액체여과기(여과장치 스트레이너),김명기,,2026-01-26
주식회사 연합전건,041-837-0151,041-837-0153,충청남도 부여군 은산면 은남로20번길 42,충청남도 부여군 은산면 가중리 558,배전반 및 전기 자동제어반 제조업,"수·배전반, 분전반, 동력제어반",차근철,,2026-01-26
주식회사 영바이오 농업회사법인,041-834-4142,041-834-4143,충청남도 부여군 초촌면 세탑리 43번지,충청남도 부여군 초촌면 세탑리 43번지,반려동물용 사료 제조업 외 2 종,"한우 사료, 한우 사료",최경식,,2026-01-26
주식회사 영팩토리,041-837-8881,041-837-8882,충청남도 부여군 초촌면 금백로 818,충청남도 부여군 초촌면 응평리 183-2,반려동물용 사료 제조업 외 1 종,"TMR 조사료, TMR 조사료",이채원,,2026-01-26
주식회사 원광전력,,041-835-9930,충청남도 부여군 은산면 충의로622번길 23,충청남도 부여군 은산면 충의로622번길 23,배전반 및 전기 자동제어반 제조업 외 4 종,수배전반,양재희,,2026-01-26
주식회사 일진하이콘,041-408-8800,041-408-8801,충청남도 부여군 임천면 충절로 1418,충청남도 부여군 임천면 점리 410-4,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",콘크리트 블록 보도용 옹벽용 경계석 외,손규정,,2026-01-26
주식회사 정성면 2공장,041-832-1571,041-833-1573,"충청남도 부여군 은산면 은남로20번길 44, 2동",충청남도 부여군 은산면 가중리 557 2동,곡물 제분업,쌀가루,이주현,,2026-01-26
주식회사 지오,041-835-3454,041-837-3764,충청남도 부여군 은산면 가중리 552번지,충청남도 부여군 은산면 가중리 552번지,"플라스틱 선, 봉, 관 및 호스 제조업 외 2 종","수상부유 구조물 등, 내파성가두리용 폰툰, 연결대, 친환경부표, 바지용 폰툰, 수상부유구조물 일체",주종대,폐업,2026-01-26
주식회사 케이와이,041-837-4917,041-837-4918,충청남도 부여군 규암면 흥수로456번길 72,충청남도 부여군 규암면 노화리 292번지,구조용 금속 판제품 및 공작물 제조업,조립식 판넬,정태순,,2026-01-26
주식회사 탑스레미콘,041-837-2236,041-837-2240,충청남도 부여군 임천면 충절로 1101 ,충청남도 부여군 임천면 군사리 29-3 ,레미콘 제조업,레미콘,장근경,,2026-01-26
주식회사 태산,02-2602-5256,02-2602-5257,"충청남도 부여군 홍산면 비홍로 55, 2동",충청남도 부여군 홍산면 홍양리 306-1 2동,구조용 금속 판제품 및 공작물 제조업 외 1 종,"방음판, 방음판",김광일,,2026-01-26
주식회사 파텍,041-834-1529,041-834-1528,충청남도 부여군 초촌면 신암로 366-6,충청남도 부여군 초촌면 신암리 16-3번지,"플라스틱 선, 봉, 관 및 호스 제조업","PE이중관,PE복층관",이수남,,2026-01-26
주식회사 퍼굿,041-837-5002,041-832-8473,충청남도 부여군 은산면 은남로 92-18,충청남도 부여군 은산면 가중리 345-10,"치약, 비누 및 기타 세제 제조업 외 1 종","베이킹소다 세정제, 덴탈마스크",김효성,,2026-01-26
주식회사 피앤에프,02-6928-8286,041-837-8903,충청남도 부여군 석성면 왕릉로 751,충청남도 부여군 석성면 증산리 1215-6,아이스크림 및 기타 식용빙과류 제조업 외 2 종,,김종현,,2026-01-26
주식회사 하나이엔지,,,,충청남도 부여군 옥산면 가덕리 2-11 ,그 외 기타 분류 안된 화학제품 제조업 외 1 종,활성탄,오기원,,2026-01-26
주식회사 한국콘슬라트,041-835-1220,041-835-1218,충청남도 부여군 부여읍 염창로 154,충청남도 부여군 부여읍 염창리 5번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","콘슬라트, 기둥, 받침목, 칸막이",황수성,,2026-01-26
주식회사 홍시,,041-834-8294,충청남도 부여군 임천면 부흥로171번길 21,충청남도 부여군 임천면 칠산리 290-1,설치용 및 위생용 플라스틱제품 제조업,PET 용기,정순웅,,2026-01-26
주식회사뉴제일이앨이씨,041-837-0151,,충청남도 부여군 은산면 충의로622번길 39 ,충청남도 부여군 은산면 은산리 10번지 ,그 외 기타 분류 안된 화학제품 제조업 외 1 종,활성탄소외 수배전반,차선화,,2026-01-26
주식회사삼진산업,041-832-0891,041-832-0898,충청남도 부여군 내산면 성충로 826,충청남도 부여군 내산면 저동리 16,레미콘 제조업 외 3 종,레미콘,황덕순,,2026-01-26
준라이팅,041-833-9235,041-833-9236,"충청남도 부여군 홍산면 비홍로 31, 4동 동성이앤지(주) 공장 내","충청남도 부여군 홍산면 비홍로 31, 4동 동성이앤지(주) 공장 내",일반용 전기 조명장치 제조업 외 4 종,LED조명기구,이경환,,2026-01-26
진안식품,041-834-2343,,충청남도 부여군 석성면 석성로220번길 33,충청남도 부여군 석성면 현내리 789-2번지,김치류 제조업 외 1 종,단무지,한광성,폐업,2026-01-26
청정테크 주식회사,041-837-4601,041-837-4602,충청남도 부여군 은산면 은남로20번길 49,충청남도 부여군 은산면 가중리 567번지,액체 여과기 제조업 외 27 종,"약품투입장치, 통합관리시스템, 수질계측장비, 소수력발전장치, 유량계 등, 영상감시장치",조은경,,2026-01-26
충남아스콘(주),041-836-8055,,충청남도 부여군 석성면 금백로 657-56 ,충청남도 부여군 석성면 증산리 1316-18번지 ,아스팔트 콘크리트 및 혼합제품 제조업,아스콘,조성연,,2026-01-26
충남제재소,041-836-2408,041-836-2407,충청남도 부여군 석성면 석성북로 127 ,충청남도 부여군 석성면 현내리 253-1번지 ,일반 제재업,"각재, 판재, 일반제재목제품",민선,,2026-01-26
충화정미소,041-837-4366,,충청남도 부여군 충화면 팔충리 426-3번지  ,충청남도 부여군 충화면 팔충리 426-3번지 ,곡물 도정업,백미,강근영,폐업,2026-01-26
케이산업,041-837-9907,041-837-9908,충청남도 부여군 석성면 종북로 39,충청남도 부여군 석성면 증산리 1176-2번지,플라스틱 창호 제조업 외 1 종,"PVC창호-PVC, KCC글라스 판유리",김영의,,2026-01-26
케이제이티,041-833-3088,,충청남도 부여군 구룡면 흥수로 347,충청남도 부여군 구룡면 구봉리 469-7번지,섬유제품 기타 정리 및 마무리 가공업,직물원자재,김갑주,,2026-01-26
코스팜 주식회사,041-837-3102,041-836-3102,충청남도 부여군 임천면 충절로592번길 50 ,충청남도 부여군 임천면 탑산리 158 ,복합비료 및 기타 화학비료 제조업,비료,남택수,,2026-01-26
태극제약(주),041-837-5530,,충청남도 부여군 초촌면 금백로 821,충청남도 부여군 초촌면 응평리 342-9,생물 의약품 제조업 외 7 종,"인삼차 및 인삼농축액, 인삼음료, 화장품(도미나크림), 의약제품 및 치약제품","최승만,  최연희",,2026-01-26
하나그린(주),041-837-0151,041-837-0153,충청남도 부여군 은산면 충의로622번길 38 ,충청남도 부여군 은산면 은산리 17번지 ,그 외 기타 분류 안된 화학제품 제조업 외 1 종,활성탄,차근철,,2026-01-26
한국산양협동조합,,,충청남도 부여군 옥산면 서문로 1583,충청남도 부여군 옥산면 가덕리 30-4,액상시유 및 기타 낙농제품 제조업,"산양유, 산양요구르트",김기홍,,2026-01-26
한국유기농업개발(주),041-834-8991,041-834-0104,충청남도 부여군 임천면 부흥로171번길 15,충청남도 부여군 임천면 칠산리 291번지,복합비료 및 기타 화학비료 제조업 외 4 종,"미생물, 단미사료",신통열,,2026-01-26
한국장애인편의증진협의회(주),041-834-8036,041-834-8037,충청남도 부여군 은산면 충의로 600,충청남도 부여군 은산면 은산리 25-13번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 3 종","콘크리트타일, 보도블록, 벽돌, 볼라드",김태실,,2026-01-26
한국조폐공사 제지본부,041-830-5203,070-7610-2362,충청남도 부여군 부여읍 염창로180번길 67 ,충청남도 부여군 부여읍 염창리 17번지 ,인쇄용 및 필기용 원지 제조업 외 3 종,"은행권용지,특수용지,전자카드",성창훈,,2026-01-26
현대레미콘 주식회사,041-835-8555,041-836-8553,충청남도 부여군 석성면 금백로 166-13 ,충청남도 부여군 석성면 석성리 213 ,레미콘 제조업,레미콘,"전용관, 장순신",,2026-01-26
현일섬유,041-835-6027,,충청남도 부여군 규암면 충절로 2266,충청남도 부여군 규암면 외리 264-5번지,속옷 및 잠옷 제조업,메리야스,서유자,휴업,2026-01-26
홍산농업협동조합,041-835-1280,041-836-1282,충청남도 부여군 홍산면 대백제로 822,충청남도 부여군 홍산면 좌홍리 178-10번지,곡물 도정업,백미,김영채,,2026-01-26
후레시팜,041-832-9479,041-834-8443,충청남도 부여군 은산면 충의로 602-21,충청남도 부여군 은산면 은산리 25-28번지,"면류, 마카로니 및 유사식품 제조업 외 3 종","면류,육수류,조미료류",이강영,휴업,2026-01-26
휴먼스화공(주),041-832-7701,041-832-7750,충청남도 부여군 초촌면 신암로 244,충청남도 부여군 초촌면 신암리 147번지,화약 및 불꽃제품 제조업 외 2 종,"폭죽, 간이소화기구 등",송민규,,2026-01-26
