기업체명,대표자명,공장대표주소(도로명),공장대표주소(지번),종업원수,생산품,전화번호,팩스번호,데이터 기준일자
유민이엔지,조주연,충청남도 서천군 종천면 종천공단길62번길 19-31,충청남도 서천군 종천면 석촌리 668,4,무해체 거푸집,,,2025-07-12
동신목재,최재홍,충청남도 서천군 마서면 송신로 362 (동신목재),충청남도 서천군 마서면 한성리 395-4번지 동신목재,22,목재파렛트,041-953-2727,041-953-2725,2025-07-12
(주)한성목재,구재본,충청남도 서천군 종천면 종천공단길 54 (한성목재),충청남도 서천군 종천면 석촌리 60-26번지,7,목재상자,041-953-1253,041-953-1259,2025-07-12
건호,이건교,충청남도 서천군 문산면 북산길 217-1,충청남도 서천군 문산면 북산리 178번지,0,"모시가루,모시환",,,2025-07-12
바다엔,조배연,충청남도 서천군 마서면 송내리 457-2번지 외 1필지,충청남도 서천군 마서면 송내리 457-2번지 외 1필지,0,멸치건조,,,2025-07-12
신아수산,최동식,충청남도 서천군 장항읍 성화로193번길 47-23,충청남도 서천군 장항읍 성주리 141-2번지,2,"멸치,건어물",041-956-3744,,2025-07-12
동일방직(주)장항공장,"서민석,김인환",충청남도 서천군 장항읍 장항공단길 42,충청남도 서천군 장항읍 원수리 450-8번지,160,"면사,혼방사",041-956-6061,041-956-5181,2025-07-12
영신식품,양태용,충청남도 서천군 서면 갯벌체험로 10 (영신식품),충청남도 서천군 서면 도둔리 72-533번지,20,맛김,041-952-9288,041-952-9299,2025-07-12
유한회사 금성다온물류,최경식,충청남도 서천군 종천면 종천공단길62번길 19-31,충청남도 서천군 종천면 석촌리 668,35,마스크,,,2025-07-12
주식회사 지원테크,윤정노,,충청남도 서천군 종천면 석촌리 666,90,마스크,031-412-3225,,2025-07-12
13대경호,장선경,,충청남도 서천군 서면 신합리 226-1,0,마른멸치,,,2025-07-12
거평수산,이종갑,충청남도 서천군 비인면 갯벌체험로695번길 28-10,충청남도 서천군 비인면 장포리 377-1번지,4,마른멸치,,,2025-07-12
금창수산,신덕자,충청남도 서천군 서면 도둔리 1073-2번지,충청남도 서천군 서면 도둔리 1073-2번지,5,마른멸치,,,2025-07-12
명진수산,오희,충청남도 서천군 장항읍 원수리 701번지,충청남도 서천군 장항읍 원수리 701번지,5,마른멸치,,,2025-07-12
성일호,김진수,,충청남도 서천군 서면 도둔리 1037-4,7,마른멸치,,,2025-07-12
장광호,최성애,충청남도 서천군 장항읍 장산로 548,충청남도 서천군 장항읍 원수리 224-3,6,마른멸치,,,2025-07-12
종진수산,정한일,충청남도 서천군 서면 도둔길 139-3,충청남도 서천군 서면 도둔리 979,10,마른멸치,,,2025-07-12
해영수산,김호용,충청남도 서천군 서면 부원길 527,충청남도 서천군 서면 도둔리 1105-1,6,마른멸치,,,2025-07-12
남양수산,홍동하,충청남도 서천군 마서면 마서로581번길 47 (남양수산),충청남도 서천군 마서면 월포리 469-4번지,4,마른김,,,2025-07-12
동방수산,장봉은,충청남도 서천군 종천면 갯벌체험로 1248-7,충청남도 서천군 종천면 당정리 260-6번지,10,마른김,041-952-1346,,2025-07-12
동양수산,지용일,충청남도 서천군 마서면 와석길 61,충청남도 서천군 마서면송석리 송석리578-2,5,마른김,,,2025-07-12
명성수산,이명자,충청남도 서천군 마서면 송신로 583,충청남도 서천군 마서면 송석리 479-2번지,3,마른김,,,2025-07-12
백일수산,이기송,충청남도 서천군 서면 도둔리 72-592번지 외 1필지,충청남도 서천군 서면 도둔리 72-592번지 외 1필지,5,마른김,,,2025-07-12
산돌수산,"김인노,금잔디",충청남도 서천군 비인면 갯벌체험로633번길 12,충청남도 서천군 비인면 장포리 553번지,5,마른김,,,2025-07-12
서해안영어조합법인,김종환,충청남도 서천군 서면 서인로 656-46,충청남도 서천군 서면 도둔리 72-781번지,20,마른김,041-952-1994,,2025-07-12
선승수산3,이재승,"충청남도 서천군 서면 서인로 656-40, (도둔리 72-500) 외 2필지",충청남도 서천군 서면 도둔리 72-500번지 (도둔리 72-500) 외 2필지,4,마른김,,,2025-07-12
선진레이버영어조합법인,김선미,충청남도 서천군 서면 서인로 656-38,충청남도 서천군 서면 도둔리 72-598번지,7,마른김,,,2025-07-12
선진수산영어조합법인,정정진,충청남도 서천군 서면 서인로 656-42,충청남도 서천군 서면 도둔리 72-789번지,9,마른김,041-953-3388,,2025-07-12
영어조합법인은파,임진례,충청남도 서천군 종천면 갯벌체험로 1314,충청남도 서천군 종천면 장구리 383-1번지,4,마른김,041-953-5566,041-953-5567,2025-07-12
주식회사 서천김에프엠비,천윤희,충청남도 서천군 서면 서인로 620 외 4필지,충청남도 서천군 서면 도둔리 72-218번지 외 4필지,20,마른김,041-951-6410,041-951-6406,2025-07-12
진일수산,진기운,,충청남도 서천군 마서면 죽산리 403-9 외 5필지,10,마른김,,,2025-07-12
창성수산,이고원,충청남도 서천군 마서면 송신로 586-10,충청남도 서천군 마서면 송석리 450번지,10,마른김,,,2025-07-12
평화수산,김춘식,충청남도 서천군 종천면 장천로 957,충청남도 서천군 종천면 장구리 394-6번지,20,마른김,,,2025-07-12
해밀수산,임성식,충청남도 서천군 비인면 갯벌체험로 837 (해밀수산) (총 2 필지) 외 1필지,충청남도 서천군 비인면 다사리 199-4번지 외 1필지,2,마른김,041-951-2411,,2025-07-12
현대수산,이맹렬,충청남도 서천군 비인면 갯벌체험로 929 (현대수산) 외 2필지,충청남도 서천군 비인면 다사리 396번지 외 2필지,2,마른김,,,2025-07-12
형제수산,"최선순, 최선경",충청남도 서천군 마서면 장천로 907 외 3필지,충청남도 서천군 마서면 한성리 658-3번지 외 3필지,5,마른김,,,2025-07-12
주식회사 푸른식품,이수연,충청남도 서천군 종천면 갯벌체험로 1105-18,충청남도 서천군 종천면 당정리 503-1번지,9,마른 김,041-952-3900,,2025-07-12
대진레미콘(주),"나재성, 나재영",충청남도 서천군 종천면 충서로 283 ((주)대진레미콘),충청남도 서천군 종천면 당정리 64-2번지,13,레미콘제품,041-953-2580,041-953-8482,2025-07-12
(주)모헨즈 서천공장,김형민,충청남도 서천군 비인면 갯벌체험로695번길 138-18 (덕원레미콘) (총 6 필지),충청남도 서천군 비인면 장포리 6-3번지,10,레미콘,041-952-6070,041-952-7720,2025-07-12
민국레미콘(주),"조규천,추희숙",충청남도 서천군 마서면 원송로 195-47,충청남도 서천군 마서면 송내리 464-6번지,10,레미콘,041-956-8803,041-956-8804,2025-07-12
주식회사 고수록식품,박근준,충청남도 서천군 비인면 서인로1117번길 9-11 외 1필지,충청남도 서천군 비인면 칠지리 159 외 1필지,6,떡류,041-952-9330,041-952-9331,2025-07-12
명품모시식품영농조합법인,노희국,충청남도 서천군 기산면 광암리 47-23번지 외 1필지,충청남도 서천군 기산면 광암리 47-23번지 외 1필지,3,떡 ,041-951-3252,,2025-07-12
(주)우양,이구열,충청남도 서천군 장항읍 장산로 357 ((주)우양냉동식품) 외 1필지,충청남도 서천군 장항읍 창선1리 332-42 외 1필지,15,딸기등과일베퓨레,041-956-8510,041-956-7170,2025-07-12
농업회사법인 한생 주식회사,임순균,,충청남도 서천군 장항읍 원수리 450-58,2,들깨가루,041-956-1434,,2025-07-12
해가마을영농조합법인,오세인,충청남도 서천군 마서면 합전길 72 외 1필지,충청남도 서천군 마서면 남전리 103번지 외 1필지,1,"된장,피클",041-952-6404,,2025-07-12
희리산 다원,박영례,충청남도 서천군 종천면 산천길106번길 11,충청남도 서천군 종천면 산천리 538-1번지,4,"된장,고추장,매실,오미자,녹차",041-953-9705,,2025-07-12
엘에스메탈(주)장항사업장,문명주,충청남도 서천군 장항읍 화송길 123 외 1필지,충청남도 서천군 장항읍 장암리 78번지 외 1필지,252,"동관, 스테인레스관",041-955-3205,041-956-1266,2025-07-12
장한산업,이재숙,충청남도 서천군 장항읍 화송길 90 ((주)BH산업) (총 2 필지) 외 2필지,충청남도 서천군 장항읍 장암리 1-1번지 외 2필지,6,동 스크랩,041-956-2037,041-956-6811,2025-07-12
판교농민영농조합법인,김영근,충청남도 서천군 판교면 대백제로 1953-6,충청남도 서천군 판교면 판교리 218,2,도토리약주,,,2025-07-12
농민식품 제2공장,김영근,충청남도 서천군 종천면 종천공단길 16 (농민식품),충청남도 서천군 종천면 석촌리 385-2번지,14,"도토리물,도토리전분",041-953-7421,041-952-7422,2025-07-12
(주)농민식품 제3공장,김영근,충청남도 서천군 종천면 종천공단길14번길 64 외 2필지,충청남도 서천군 종천면 석촌리 416-96 외 2필지,5,"도토리묵,  도토리 녹말",041-953-7421,041-952-7422,2025-07-12
판교농민영농조합법인,김영근,충청남도 서천군 판교면 판교리 223-1번지 외 2필지,충청남도 서천군 판교면 판교리 223-1번지 외 2필지,5,도토리묵,,,2025-07-12
판교농협가공공장,지용주,충청남도 서천군 판교면 종판로901번길 51 (판교농협도토리묵가공공장) 외 3필지,충청남도 서천군 판교면 저산리 11-3번지 외 3필지,11,"도토리녹말, 도토리묵",041-951-6613,041-951-6614,2025-07-12
농업회사법인 판교 농민식품(주),김영근,충청남도 서천군 종천면 종천공단길14번길 23,충청남도 서천군 종천면 석촌리 413-3,10,도토리 면류,,041-951-9023,2025-07-12
지오그린텍주식회사,임근송,충청남도 서천군 장항읍 장항공단길28번길 50 외 1필지,충청남도 서천군 장항읍 원수리 450-13번지 외 1필지,9,"단미사료,복합비료",041-957-0545,041-957-0636,2025-07-12
서천군청,서천군수,충청남도 서천군 마서면 원송로 189 (서천군위생처리장),충청남도 서천군 마서면 송내리 463번지,4,단미사료,041-950-4095,,2025-07-12
신성영어조합법인,고연희,충청남도 서천군 장항읍 장산로 315 (신성영어조합법인),충청남도 서천군 장항읍 창선1리 327번지,4,농수축산물냉동품,041-956-5741,041-956-5743,2025-07-12
오대산식품,유성희,충청남도 서천군 화양면 장산로 1385-27,충청남도 서천군 화양면 옥포리 363번지,5,냉면육수(야채및육류중탕액),041-951-0261,,2025-07-12
우일수산(주),김정림 외 2인,충청남도 서천군 장항읍 장항공단길 64 (장항읍) 외 1필지,충청남도 서천군 장항읍 원수리 450-20 우일수산 외 1필지,106,"냉동새우,증숙감자,건조어물,햄버거용패티,위생홍고추F",041-955-8100,041-956-4455,2025-07-12
(주)씨에버,정승훈,충청남도 서천군 서면 서인로716번길 37,충청남도 서천군 서면 도둔리 72-482번지,15,"냉동 수산물(피,전복,조개류,소라)",041-951-2072,,2025-07-12
한국내화(주),변성희,충청남도 서천군 종천면 종천공단길32번길 11,충청남도 서천군 종천면 석촌리 441번지,8,"납석파우더,해포석",041-953-4371,041-953-1637,2025-07-12
해인영어조합법인,박병대,충청남도 서천군 비인면 충서로 1300-1,충청남도 서천군 비인면 구복리 29-1번지,15,"까나리액젓,조미김",041-952-9363,041-952-9362,2025-07-12
주식회사 서천한산식품,신혁호,충청남도 서천군 한산면 한마로121번길 7-3,충청남도 서천군 한산면 호암리 147-11,5,"김치류,젓갈류",041-952-3575,041-952-3565,2025-07-12
텃밭영농조합법인,김동진,충청남도 서천군 기산면 화산로 605,충청남도 서천군 기산면 원길리 144-3번지,4,김치,,,2025-07-12
어업회사법인 유건,노현래,충청남도 서천군 종천면 종천공단길62번길 42-9,충청남도 서천군 종천면 석촌리 675번지,35,김발장,041-953-8311,041-953-8312,2025-07-12
삼육영어조합법인,김문호,충청남도 서천군 마서면 송석리 448-1외1번지 외 1필지,충청남도 서천군 마서면 송석리 448-1외1번지 외 1필지,14,김(마른김),041-952-6807,,2025-07-12
남양수산,홍덕표,충청남도 서천군 마서면 마서로 605-33,충청남도 서천군 마서면 월포리 454번지,4,김,041-952-8381,,2025-07-12
명성수산,이상덕,충청남도 서천군 서면 도둔리 산 18번지,충청남도 서천군 서면 도둔리 산 18번지,11,김,041-952-3081,,2025-07-12
산정수산 4호,최종로,충청남도 서천군 서면 서인로716번길 15-12 외 1필지,충청남도 서천군 서면 도둔리 72-760번지 외 1필지,0,김,041-953-3474,041-952-3475,2025-07-12
한성기계공업사,김동박,충청남도 서천군 장항읍 장항로196번길 17,충청남도 서천군 장항읍 창선1리 82번지,6,"기어,샤우트,권양기",041-956-0372,041-957-0372,2025-07-12
일신정공,배용한,충청남도 서천군 종천면 종천공단길 22 (코니코철강(주)),충청남도 서천군 종천면 석촌리 385번지,10,"기어, 공작기계, 자동차부품",041-953-2388,041-568-2788,2025-07-12
기성정밀,유운상,충청남도 서천군 종천면 종천공단길 23,충청남도 서천군 종천면 석촌리 380-4번지,5,"금형기계, 열교환기기",041-952-9483,041-952-9487,2025-07-12
계동산업,구남중,충청남도 서천군 서면 갯벌체험로 120 ((주)계동산업),충청남도 서천군 서면 신합리 311-2번지,6,"규사,공업용모래",041-951-6300,041-953-2771,2025-07-12
주식회사 푸드향,오재옥,충청남도 서천군 문산면 신농길 178,충청남도 서천군 문산면 수암리 45-7번지,3,"구운소금,오리알",041-953-4269,,2025-07-12
농업회사법인(주)해성,금석헌,충청남도 서천군 장항읍 장항공단길 37-20,충청남도 서천군 장항읍 원수리 450-3,3,구운김 후레이크,041-956-4079,041-956-4078,2025-07-12
(주)상평엘앤티글로벌,김병근,충청남도 서천군 장항읍 장항공단길10번길 36-1,충청남도 서천군 장항읍 원수리 212번지,11,고춧가루외,041-956-3711,041-956-3716,2025-07-12
주식회사 청화농산 종천공장,박은영,충청남도 서천군 종천면 종천공단길62번길 42-10 1층 부4,충청남도 서천군 종천면 석촌리 677-0 1층 부4,4,고춧가루,041-956-1434,,2025-07-12
주식회사 항주 제2공장,"강병석, 김병근",충청남도 서천군 장항읍 장항공단길 37-20,충청남도 서천군 장항읍 원수리 450-3번지,13,"고추가루, 구운김",041-956-3711,041-956-3716,2025-07-12
농업회사법인 한생 주식회사,임순균,충청남도 서천군 장항읍 장항공단길28번길 117 (한생) (총 2 필지) 외 2필지,충청남도 서천군 장항읍 원수리 996-2번지 외 2필지,26,고추가루,041-956-1434,041-956-1435,2025-07-12
보영정밀화학공업(주),홍순복,충청남도 서천군 종천면 종천공단길14번길 27 ((주)보영화학),충청남도 서천군 종천면 석촌리 546번지,5,고도표백분,041-953-0248,041-953-0248,2025-07-12
주식회사 태경비케이 장항공장,김민정,충청남도 서천군 장항읍 장산로 149 (한솔제지(장항공장)) (총 13 필지),충청남도 서천군 장항읍 화천리 481-8번지,12,경질탄산칼슘,041-956-4323,041-956-4325,2025-07-12
일동수산,손병기,충청남도 서천군 마서면 마서로685번길 48,충청남도 서천군 마서면 죽산리 215-3번지,5,건해태,041-952-5262,,2025-07-12
정일수산,정종언,충청남도 서천군 마서면 마서로685번길 60-4 (대해물산),충청남도 서천군 마서면 죽산리 201-7번지,5,건해태,041-952-5303,,2025-07-12
진일수산,진기운,충청남도 서천군 마서면 마서로685번길 26-2,충청남도 서천군 마서면 죽산리 315-1번지,12,건해태,041-953-6588,,2025-07-12
엘켐실리콘즈코리아 주식회사,"조인종, 클로드데니스로브리에","충청남도 서천군 장항읍 장항공단길28번길 4, 바젤케미(주) 외 6필지",충청남도 서천군 장항읍 원수리 450-38번지 외 6필지,29,"건축용 외벽 발수제, 화장품용 젤",041-956-7273,041-956-7275,2025-07-12
(주)이젠우리텍,박승구,충청남도 서천군 화양면 장산로 1084,충청남도 서천군 화양면 망월리 180-3번지,3,건축내외장재,041-951-7078,041-953-7037,2025-07-12
(주)해한빛,김충남,충청남도 서천군 장항읍 옥남길 11-24 외 1필지,충청남도 서천군 장항읍 옥남리 311-4 외 1필지,0,"건조멸치, 건조새우",,,2025-07-12
동백수산,김정배,충청남도 서천군 서면 월하성길 74 (동맥민박) (총 2 필지) 외 1필지,충청남도 서천군 서면 월호리 609-2번지 외 1필지,8,건조김,041-952-1782,,2025-07-12
서천수산업협동조합 백사어촌계,석 만 화,충청남도 서천군 종천면 장천로 965-28 외 2필지,충청남도 서천군 종천면 장구리 393-6번지 외 2필지,12,건조김,,,2025-07-12
월명수산,임대수,충청남도 서천군 종천면 갯벌체험로 1248-5,충청남도 서천군 종천면 당정리 260-5번지,10,건조김,041-953-9100,041-952-2112,2025-07-12
하나수산,나윤찬,충청남도 서천군 비인면 갯벌체험로 869-32,충청남도 서천군 비인면 다사리 188-1 하나수산,7,건조김,,,2025-07-12
청종씨푸드,이태호,충청남도 서천군 마서면 옥남길 199,충청남도 서천군 마서면 남전리 555-5번지,2,"건어물(새우,멸치)",041-952-8994,041-952-8990,2025-07-12
동진수산,김진수,충청남도 서천군 장항읍 원송로 59,충청남도 서천군 장항읍 원수리 814번지,1,건새우분말,041-956-8813,,2025-07-12
(주)서광냉업,김태석외,충청남도 서천군 서면 부원길 572 (서광냉업) (총 2 필지) 외 1필지,충청남도 서천군 서면 도둔리 1021-1번지 외 1필지,15,"건새우,건실치",041-951-2121,041-952-9383,2025-07-12
서원영어조합법인,유계성,충청남도 서천군 서면 서인로379번길 3-21 (서원영어조합법인),충청남도 서천군 서면 도둔리 914-4번지,15,"건뱅어포, 건멸치, 건새우, 김",041-931-1523,,2025-07-12
(주)엔시아어패럴,김동배,충청남도 서천군 서천읍 송신로226번길 22,충청남도 서천군 서천읍 신송리 551번지,15,"건멸치가루,건고추가루",02-869-6008,,2025-07-12
경양수산,유경모,충청남도 서천군 장항읍 장마로 179,충청남도 서천군 장항읍 화천리 215-2번지,10,건멸치,,,2025-07-12
동남수산,정계수,충청남도 서천군 마서면 장천로 487 (동남수산),충청남도 서천군 마서면 남전리 384-20번지,6,건멸치,,,2025-07-12
안흥호,이은진,충청남도 서천군 장항읍 장산로 516,충청남도 서천군 장항읍 원수리 294-1번지,3,건멸치,,041-956-8095,2025-07-12
제7호 한성호,신아령,충청남도 서천군 장항읍 옥산리 705-2번지,충청남도 서천군 장항읍 옥산리 705-2번지,6,건멸치,,,2025-07-12
제일멸치건조장,이정호,충청남도 서천군 비인면 다사리 산 13번지,충청남도 서천군 비인면 다사리 산 13번지,13,건멸치,,,2025-07-12
제일수산,한경자,충청남도 서천군 장항읍 화천길 1,충청남도 서천군 장항읍 화천리 275번지,20,건멸치,041-956-6478,,2025-07-12
창신호,박미정,충청남도 서천군 종천면 갯벌체험로 1307,충청남도 서천군 종천면 장구리 188-6번지,5,건멸치,,,2025-07-12
창원수산,양현호,충청남도 서천군 장항읍 장마로 188-1,충청남도 서천군 장항읍 화천리 189-3번지,5,건멸치,070-416-8284,,2025-07-12
창원호,유원동,충청남도 서천군 서면 부원길 559,충청남도 서천군 서면 도둔리 1031-1,5,건멸치,,,2025-07-12
연수중공업 유한회사,이용식,충청남도 서천군 장항읍 장항로 258,충청남도 서천군 장항읍 원수리 923-53번지,20,강선건조 및 수리,041-956-8825,041-956-8826,2025-07-12
금강중공업 제2공장,전기태,충청남도 서천군 장항읍 장항공단길28번길 34,충청남도 서천군 장항읍 원수리 450-29,12,강선건조,041-956-7100,041-956-7103,2025-07-12
헤가코퍼레이션,안상문,충청남도 서천군 장항읍 장항공단길 80-9,충청남도 서천군 장항읍 원수리 997-2번지,44,가위(재단용),041-956-8888,,2025-07-12
유한회사 서광라이팅,곽미자,충청남도 서천군 기산면 화출길35번길 69,충청남도 서천군 기산면 화산리 370번지,2,"LED 등기구, 경관조명기구, 가로등주, 기타조명장치",,,2025-07-12
유한회사 서광라이팅(장항농공단지지점),곽미자,충청남도 서천군 장항읍 장항공단길28번길 100,충청남도 서천군 장항읍 원수리 999-0,5,"LED 등기구, 가로등주,LED경관조명,조형물,울타리,LED램프",041-951-6558,041-951-6553,2025-07-12
(주)해성 푸드원,금석헌,충청남도 서천군 장항읍 장항공단길 37-20,충청남도 서천군 장항읍 원수리 450-3 주식회사 항주,4,HF찹쌀가루,041-956-4340,,2025-07-12
(주)군장조선,허애숙.고호남,충청남도 서천군 종천면 종천공단길 43 ((주)군장조선),충청남도 서천군 종천면 석촌리 424번지,10,frp선박,041-952-9551,041-952-9553,2025-07-12
해본조선,임천규,충청남도 서천군 종천면 종천공단길32번길 31-16 (해본조선소) (총 2 필지) 외 1필지,충청남도 서천군 종천면 석촌리 452번지 외 1필지,3,F.R.P선박,041-952-6598,041-952-6597,2025-07-12
(주)다산기계,이찬수,충청남도 서천군 장항읍 장항공단길28번길 60 외 1필지,충청남도 서천군 장항읍 원수리 450-12번지 외 1필지,22,AXLE CASING ASSY,041-956-3250,041-956-3280,2025-07-12
(주)대지,최철,충청남도 서천군 장항읍 장항공단길28번길 40 ((주)대지),충청남도 서천군 장항읍 원수리 450-14번지,37,"a/shaft , d/case",041-956-6515,041-956-6544,2025-07-12
