순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,외국인(남),외국인(여),종업원수,생산품
125,경동기업,"부산광역시 영도구 대평로42번길 3, 1층일부 (대평동2가)",부산광역시 영도구 대평동2가 157번지,컨베이어장치 제조업 외 1 종,051-418-4707,051-418-4708,0,0,1,컨베이어 조립제작
126,경동엔지니어링,부산광역시 영도구 해양로 24-12 (청학동),부산광역시 영도구 청학동 326-14번지,선박 구성 부분품 제조업,051-415-4075,051-415-4595,,,5,선박부품
127,경성공업사,부산광역시 영도구 남항서로70번길 59-3 (남항동3가),부산광역시 영도구 남항동3가 67-6,선박 구성 부분품 제조업,,051-403-2556,,,3,선박수리(배관 제관 철 외장)
128,경원기계,부산광역시 영도구 남항서로70번길 59-3 (남항동3가),부산광역시 영도구 남항동3가 67-6번지,선박 구성 부분품 제조업,051-418-2218,051-418-2238,,,3,"엔진부품 제작, 수리"
129,경일공업,부산광역시 영도구 해양로87번길 19 (청학동),부산광역시 영도구 청학동 217-101,선박 구성 부분품 제조업,051-412-1611,051-412-7152,,,5,배관부품
130,고토기술(주),"부산광역시 영도구 해양로 96, 1층(청학동, (주)포코엔지니어링)",부산광역시 영도구 청학동 5-1 (주)포코엔지니어링 1층,선박 구성 부분품 제조업,051-417-8501,051-417-8560,1,,9,"선박유압장비수리, Hydraulic power unit"
131,광명기업,부산광역시 영도구 남항서로 48 (남항동3가),부산광역시 영도구 남항동3가 141-170번지,선박 구성 부분품 제조업,051-418-1977,051-418-1967,,,1,선박부품
132,광명전기공업사,부산광역시 영도구 대평로34번길 5-7 (대평동2가),부산광역시 영도구 대평동2가 176번지,선박 구성 부분품 제조업,051-417-2561,051-417-2561,,,2,배전반 및 판넬
133,광진특수용접,"부산광역시 영도구 봉래나루로166번길 3 (봉래동2가, 신성보세창고장치장)",부산광역시 영도구 봉래동2가 145-8번지 신성보세창고장치장,선박 구성 부분품 제조업 외 1 종,051-416-5952,051-416-5982,,,3,실린더 라이너
134,국제선박엔지니어링,부산광역시 영도구 해양로188번길 14 (청학동),부산광역시 영도구 청학동 1-191번지,선박 구성 부분품 제조업,051-418-8641,051-418-8643,,,5,선박부품
135,국제자이로사,"부산광역시 영도구 절영로 74, 2층 (남항동2가)",부산광역시 영도구 남항동2가 65-25번지 2층,"레이더, 항행용 무선기기 및 측량기구 제조업",051-418-8195,051-418-8196,,,2,항해기계부품(자이로)
136,국제전기,"부산광역시 영도구 대평로 10-3 (대평동1가, 세진ENG)",부산광역시 영도구 대평동1가 48-2번지,선박 구성 부분품 제조업,051-413-9315,051-418-3324,,,1,"변압기, 배전반"
137,그린월드엔지니어링(주),"부산광역시 영도구 남항서로 59 (남항동3가, (주)범우엔지니어링)",부산광역시 영도구 남항동3가 24번지,선박 구성 부분품 제조업 외 10 종,051-414-7131,051-412-0267,0,0,9,선박수리 및 기부속 제작
138,극동선박공업(주),부산광역시 영도구 남항서로 46 (남항동3가),부산광역시 영도구 남항동3가 141-34번지,선박 구성 부분품 제조업,051-418-0453,051-413-4464,,,13,선박수리
139,극동선박공업사,부산광역시 영도구 남항서로 46 (남항동3가),부산광역시 영도구 남항동3가 141-34번지,선박 구성 부분품 제조업,051-415-1186,051-413-4464,0,0,12,선박부품
140,극동엔지니어링,부산광역시 영도구 남항남로9번길 64 (남항동2가),부산광역시 영도구 남항동2가 89-1,선박 구성 부분품 제조업,051-416-4054,051-413-5805,,,3,선박수리
141,글로벌마린서비스,부산광역시 영도구 남항남로19번길 10(남항동3가),부산광역시 영도구 남항동3가 74-1,선박 구성 부분품 제조업,,,3,,5,"선박수리(파이프,엔진부속품)"
142,금강조선 (주),부산광역시 영도구 남항서로 63 (남항동3가) 외 11필지,부산광역시 영도구 남항동3가 13-1번지 외 11필지,강선 건조업 외 2 종,051-415-3800,051-415-1637,0,0,11,선박수리
143,금남기업,"부산광역시 영도구 해양로23번길 16, 2층 금남기업(청학동)",부산광역시 영도구 청학동 330-110 2층 금남기업,목재문 및 관련제품 제조업 외 1 종,051-413-8003,051-413-8005,,,8,선박 목의장 수리
144,금보엔지니어링,"부산광역시 영도구 대평로28번길 12, (1층일부) (대평동1가) (총 2 필지) 외 1필지",부산광역시 영도구 대평동1가 23-3번지 (1층일부) 외 1필지,기타 물품 취급장비 제조업,051-416-1008,,0,0,1,윈치(선박용)
145,금양엔지니어링,부산광역시 영도구 대평동1가 100번지,부산광역시 영도구 대평동1가 100번지,내연기관 제조업,051-416-9097,051-414-7501,0,0,16,선박기관부품제조
146,금영이엔지,부산광역시 영도구 남항서로104번길 7-1 (남항동2가),부산광역시 영도구 남항동2가 35-7,선박 구성 부분품 제조업,,051-412-0132,,,2,선박구성품 제조
147,금용전기,부산광역시 영도구 대평동1가 41번지,부산광역시 영도구 대평동1가 41번지,배전반 및 전기 자동제어반 제조업,051-415-1682,051-415-1683,0,0,3,선박전기수리
148,금진공업사,"부산광역시 영도구 남항남로9번길 52(남항동2가, STM엔지니어링)",부산광역시 영도구 남항동2가 93-1 STM엔지니어링,선박 구성 부분품 제조업,051-413-9083,051-417-8766,,,1,선박 구성 부분품
149,금호냉동(주),부산광역시 영도구 남항남로19번길 51 (남항동2가),부산광역시 영도구 남항동2가 133-4번지,선박 구성 부분품 제조업,051-413-1036,051-415-4477,0,0,7,냉동기기 제작 외
150,금호테크,"부산광역시 영도구 남항남로 18 (남항동3가, 세보상공(주))",부산광역시 영도구 남항동3가 141-30번지,선박 구성 부분품 제조업 외 1 종,051-416-4626,,0,0,5,선박내연기관부품
151,금화전기,부산광역시 영도구 대평남로 68-1 (대평동2가),부산광역시 영도구 대평동2가 89-6번지,배전반 및 전기 자동제어반 제조업,051-418-4365,051-418-4362,0,0,3,배전반 및 선박부품
152,기가산업,부산광역시 영도구 남항서로70번길 59-3 (남항동3가),부산광역시 영도구 남항동3가 67-6,선박 구성 부분품 제조업,051-415-6685,051-415-6683,,,5,선박수리품
153,기보마린 주식회사,부산광역시 영도구 해양로87번길 26 (청학동),부산광역시 영도구 청학동 217-109,내연기관 제조업 외 2 종,,0502-494-2619,,,6,선박수리
154,남강산업사,부산광역시 영도구 일산봉로 38 (청학동),부산광역시 영도구 청학동  79-10번지,어망 및 기타 끈 가공품 제조업,051-415-5078,051-416-5177,0,0,8,"어망, 로프, 양식자재"
155,남도냉열,부산광역시 영도구 대평로34번길 3 (대평동2가),부산광역시 영도구 대평동2가 174-1번지,선박 구성 부분품 제조업,051-418-4266,051-418-4268,,,2,선박냉동기 제작 및 수리
156,남부유압기계,부산광역시 영도구 남항서로70번길 6 (남항동3가),부산광역시 영도구 남항동3가 21-2번지,선박 구성 부분품 제조업,051-415-6336,051-416-0979,,,6,유압기기(선박용)
157,남일환경산업,부산광역시 영도구 해양로 155 (청학동),부산광역시 영도구 청학동 1-54,그 외 기타 분류 안된 비금속 광물제품 제조업,051-403-6677,051-403-6151,,,23,골재 생산
158,남항선박공업사,부산광역시 영도구 남항서로82번길 24 (남항동3가),부산광역시 영도구 남항동3가 32-32번지,선박 구성 부분품 제조업,051-415-2611,051-412-2611,0,0,1,선박기관 수리
159,남현산업,"부산광역시 영도구 산업로 11 (청학동, 남현산업 공장)",부산광역시 영도구 청학동 5-15번지 남현산업 공장,고무패킹류 제조업,051-418-0264,051-418-0265,,,14,고무제품
160,내외기계공업(주),"부산광역시 영도구 남항서로82번길 23 (남항동2가, 경기해상서비스)",부산광역시 영도구 남항동2가 111-2번지,액체 펌프 제조업 외 1 종,051-804-2667,051-806-4780,,,6,펌프(송풍기)
161,네오테크,"부산광역시 영도구 남항서로 32, 1층 (남항동3가)",부산광역시 영도구 남항동3가 141-70 1층,기타 일반 기계 및 장비 수리업 외 1 종,051-417-8298,051-417-8290,1,,6,선박 부품 및 수리
162,넥스트마린,"부산광역시 영도구 대평북로 43, (건축물일부) (대평동2가)",부산광역시 영도구 대평동2가 196번지,액체 여과기 제조업,051-415-2557,051-415-2559,0,0,2,연료절감기 조립생산
163,노바테크,부산광역시 영도구 절영로94번길 42 (남항동3가),부산광역시 영도구 남항동3가 133-2번지,선박 구성 부분품 제조업,051-413-0907,051-417-0907,,,2,선박용 전기판넬등
164,누리엔지니어링,부산광역시 영도구 대평로41번길 6 (대평동2가),부산광역시 영도구 대평동2가 52번지,선박 구성 부분품 제조업,051-418-7973,051-418-7970,,,2,선박부품
165,다니엘테크,"부산광역시 영도구 해양로195번길 68(동삼동, 씨티에스)",부산광역시 영도구 동삼동 201-40 씨티에스,선박 구성 부분품 제조업,051-403-8355,051-403-8356,,,2,"선박수리, 선박부품"
166,다림기계,부산광역시 영도구 남항남로19번길 6 (남항동3가),부산광역시 영도구 남항동3가 74-2번지,절삭가공 및 유사처리업,051-819-9374,051-803-9374,,,1,기계부품
167,다우테크,부산광역시 영도구 해양로195번가길 14 (동삼동),부산광역시 영도구 동삼동 201-60번지,기타 일반 기계 및 장비 수리업,051-418-8767,051-418-8769,,,7,선박엔진수리(연료분사장치 등)
168,다원마린테크,"부산광역시 영도구 해양로65번길 26-17, A동 (청학동)",부산광역시 영도구 청학동 217-160 A동,선박 구성 부분품 제조업,051-710-0113,0504-255-0514,,,1,선박수리
169,대광공업,부산광역시 영도구 절영로94번길 6 (남항동3가),부산광역시 영도구 남항동3가 113-5번지,선박 구성 부분품 제조업,051-412-5200,051-412-5203,0,0,7,선박수리
170,대광선박공업사,부산광역시 영도구 해양로57번길 22 (청학동),부산광역시 영도구 청학동 217-76,선박 구성 부분품 제조업,051-416-6808,051-412-3193,,,1,선박안전밸브
171,대도물산(주),"부산광역시 영도구 절영로 72, 3층 (남항동2가) 외 1필지",부산광역시 영도구 남항동2가 65-23번지 3층 외 1필지,"근무복, 작업복 및 유사의복 제조업 외 2 종",051-413-7997,051-413-9724,0,0,2,"의류(셔츠,작업복등)"
172,대동금속공업사,부산광역시 영도구 남항서로 34 (남항동3가),부산광역시 영도구 남항동3가 141-74번지,선박 구성 부분품 제조업 외 4 종,051-417-2211,051-417-2213,0,0,19,"베어링, 기어, 철도차량부품"
173,대동메탈공업(주),부산광역시 영도구 남항남로 40 (남항동3가),부산광역시 영도구 남항동3가 141-125번지,구름베어링 제조업 외 7 종,051-412-2291,051-415-3845,2,0,32,베어링
174,대동철공소,부산광역시 영도구 남항동2가 28번지,부산광역시 영도구 남항동2가 28번지,기타 가공 공작기계 제조업,051-413-7001,051-412-7001,0,0,8,냉매용밸브
175,대륙공업사,"부산광역시 영도구 대평로 61, 3층 (대평동2가)",부산광역시 영도구 대평동2가 89-4 3층,선박 구성 부분품 제조업,051-413-8840,051-413-4848,0,0,5,선박코팅제
176,대림기업,부산광역시 영도구 절영로94번길 42 (남항동3가),부산광역시 영도구 남항동3가 133-2번지,선박 구성 부분품 제조업,051-418-4883,051-418-4885,,,2,선박목공의장
177,대림엔지니어링,부산광역시 영도구 대평로46번길 17 (대평동2가),부산광역시 영도구 대평동2가 198-1번지,선박 구성 부분품 제조업,051-413-8132,,,,0,선박구성 부분품
178,대림엔지니어링(주),부산광역시 영도구 해양로23번길 22 (청학동),부산광역시 영도구 청학동  330-109번지,선박 구성 부분품 제조업 외 1 종,051-417-5111,051-412-5638,0,0,15,"aux.boiler, economizer 클리닝 및 부품교체, 증기보일러 부품 생산"
179,대림연사,"부산광역시 영도구 와치로 91, 1층 (청학동)",부산광역시 영도구 청학동 486-2번지 1층,연사 및 가공사 제조업,051-417-2101,051-417-1510,0,0,12,"연사,합사"
180,대명공업(주),부산광역시 영도구 대평로46번길 11-8 (대평동2가),부산광역시 영도구 대평동2가 195-1번지,기타 선박 건조업,051-415-3704,051-418-9279,0,0,9,선박건조 및 수리
181,대선조선(주)(1공장),부산광역시 영도구 봉래나루로 254 (봉래동4가),부산광역시 영도구 봉래동4가 13-1,강선 건조업 외 1 종,051-419-5000,051-419-5170,0,0,304,강선(선박)건조
182,대성ENG,부산광역시 영도구 남항서로92번길 43 (남항동2가),부산광역시 영도구 남항동2가 66-1번지,선박 구성 부분품 제조업 외 3 종,051-417-9075,051-417-4707,,,2,선박부품
183,대성산업,부산광역시 영도구 해양로87번길 9 (청학동),부산광역시 영도구 청학동 217-106번지,그 외 기타 전기장비 제조업,051-412-3973,051-412-3974,,,3,엔오드 부품
184,대성선박의장공업사,부산광역시 영도구 해양로111번길 28 (청학동),부산광역시 영도구 청학동 1-160번지,선박 구성 부분품 제조업,051-415-6464,,,,3,"선박가구,기타"
185,대성콤푸렛샤,"부산광역시 영도구 남항남로19번길 42, 1층 (남항동3가)",부산광역시 영도구 남항동3가 34-3번지 1층,기체 펌프 및 압축기 제조업,051-412-7044,051-412-7048,,0,3,공기압축기(콤푸렛샤)
186,대양냉동엔지니어링,부산광역시 영도구 대평남로31번길 3 (대평동1가),부산광역시 영도구 대평동1가 129-12번지,산업용 냉장 및 냉동 장비 제조업,051-412-4008,051-413-4440,0,0,0,"냉동기수리, 제조"
187,대양잠수,부산광역시 영도구 한사랑길 94 (영선동1가),부산광역시 영도구 영선동1가 120-1번지,고무 의류 및 기타 위생용 비경화 고무제품 제조업,051-417-3992,051-412-4777,0,0,2,잠수복
188,대운선박써비스,부산광역시 영도구 남항서로 78-1 (남항동3가),부산광역시 영도구 남항동3가 1-37번지,선박 구성 부분품 제조업,051-415-3155,,0,0,2,"피스톤, 선박부품"
189,대운선박써비스,부산광역시 영도구 대평로28번길 13-4 (대평동1가),부산광역시 영도구 대평동1가 20-1번지,선박 구성 부분품 제조업,051-415-3155,051-415-3496,0,0,4,"기부속,피스톤,라이나"
190,대운엔텍,부산광역시 영도구 해양로 24-11 (청학동),부산광역시 영도구 청학동 322-12,선박 구성 부분품 제조업,051-414-1310,051-414-1311,,,3,"선박부품수리(컨베이어, 롤러, 테이블)"
191,대웅선박,부산광역시 영도구 남항서로 71 (남항동3가),부산광역시 영도구 남항동3가 2-2번지,강선 건조업 외 1 종,051-417-0702,051-417-0702,0,0,6,강선건조 및 수리
192,대원기업사,"부산광역시 영도구 남항남로9번길 15, (일부) (남항동3가)",부산광역시 영도구 남항동3가 21-1번지,선박 구성 부분품 제조업,051-412-7708,051-415-2386,0,0,3,선박부품 제조
193,대원엔지니어링,"부산광역시 영도구 남항서로 6-20 (남항동3가, 경남선박공장)",부산광역시 영도구 남항동3가 141-195번지 경남선박공장,선박 구성 부분품 제조업,051-416-2483,051-412-2484,,,1,선박부품 및 수리
194,대원종합발전기,부산광역시 영도구 해양로 28 (청학동),부산광역시 영도구 청학동 322-4번지,전동기 및 발전기 제조업,051-413-6777,,,,4,발전기
195,대진산업,부산광역시 영도구 남항남로 19 (남항동3가),부산광역시 영도구 남항동3가 29-109번지,선박 구성 부분품 제조업,051-416-5544,051-416-5590,,,1,"선박의장품제작,수리"
196,대평조기 엔지니어링,부산광역시 영도구 남항서로92번길 23 (남항동2가) 외 4필지,부산광역시 영도구 남항동2가 85-2번지 외 4필지,선박 구성 부분품 제조업,051-418-0505,051-413-3363,,,8,"실린더라이너, 실린더 헤드"
197,대한ENG,부산광역시 영도구 대평로 57 (대평동2가),부산광역시 영도구 대평동2가 89-13,선박 구성 부분품 제조업,051-465-6003,051-416-0527,,,2,"선박의장품, 배관 수리"
198,대해보일러엔지니어링,부산광역시 영도구 남항서로92번길 41 (남항동2가),부산광역시 영도구 남항동2가 66-6,선박 구성 부분품 제조업,051-413-8481,051-413-8480,,,4,선박보일러
199,대현티엠에스,부산광역시 영도구 대평남로 68-1 (대평동2가),부산광역시 영도구 대평동2가 89-6번지,기타 일반 기계 및 장비 수리업 외 1 종,051-403-4755,051-403-4751,,,1,"금속재 생산 및 수리, 선박부품 수리"
200,대화엔지니어링,"부산광역시 영도구 남항남로9번길 56 (남항동2가, 국제선박(주)/대화엔지니어링)",부산광역시 영도구 남항동2가 92번지 국제선박(주)/대화엔지니어링,선박 구성 부분품 제조업,051-254-4209,051-254-4211,0,0,4,선박수리
201,대환금속,부산광역시 영도구 절영로19번길 60 (영선동1가),부산광역시 영도구 영선동1가 21-6번지,선박 구성 부분품 제조업,051-412-8349,051-417-5414,0,0,5,선용밸브
202,덕원엔지니어링,"부산광역시 영도구 해양로111번길 32, 1층(청학동)",부산광역시 영도구 청학동 1-37 1층,선박 구성 부분품 제조업 외 1 종,051-412-9993,051-412-9994,,,2,"선박엔진부품, 수상부유구조물"
203,덕원엠테크,부산광역시 영도구 대평로46번길 3 (대평동2가),부산광역시 영도구 대평동2가 147-1번지,선박 구성 부분품 제조업,,,,,2,선박엔진수리
204,덕원이엔지(ENG),"부산광역시 영도구 해양로117번길 2, 1층(청학동, (주)한스쉽핑)",부산광역시 영도구 청학동 1-92 (주)한스쉽핑 1층,선박 구성 부분품 제조업,051-415-1636,051-644-2211,,,5,선박수리
205,데크윈해양,부산광역시 영도구 해양로195번길 32 (동삼동),부산광역시 영도구 동삼동 201-25번지,선박 구성 부분품 제조업,051-405-7890,051-405-7880,,,3,선박유압기기
206,도원전기,"부산광역시 영도구 대평로27번길 12, 1층(대평동1가)",부산광역시 영도구 대평동1가 110-14 1층,선박 구성 부분품 제조업 외 1 종,051-418-7900,051-418-7901,,,2,"선박수리(전기모터, 배전반) 등"
207,동경ENG,부산광역시 영도구 해양로182번길 13 (청학동),부산광역시 영도구 청학동 1-184번지,선박 구성 부분품 제조업,051-416-8957,051-416-8967,,,1,선박부품
208,동균알앤티,부산광역시 영도구 대평로6번길 10-4 (남항동1가),부산광역시 영도구 남항동1가 28-2번지,"증류기, 열교환기 및 가스발생기 제조업",051-415-3037,051-415-5105,0,0,3,열교환기(선박냉동기용)
209,동남듸젤,부산광역시 영도구 태종로65번길 12 (대교동1가),부산광역시 영도구 대교동1가 179-7번지,선박 구성 부분품 제조업,051-415-1189,051-415-3412,0,0,3,일반목적용 내연기관 제조
210,동명기술(주),부산광역시 영도구 대평북로 31 (대평동1가),부산광역시 영도구 대평동1가 15-2번지,강선 건조업 외 2 종,051-413-9401,051-413-3046,0,0,34,"선박수리(기관부품등), 선박수리(기관부품등), 선박수리(기관부품등)"
211,동명마린써비스,"부산광역시 영도구 남항서로82번길 64, 1층 (남항동3가)",부산광역시 영도구 남항동3가 105-5 1층,선박 구성 부분품 제조업,051-416-0487,051-416-0492,1,,1,선박수리
212,동부유압기계,부산광역시 영도구 봉래나루로 172 (봉래동2가),부산광역시 영도구 봉래동2가 145-10번지,선박 구성 부분품 제조업,051-417-8009,051-412-8003,,,3,선박 어로장비기계
213,동서공업사,"부산광역시 영도구 해양로195번길 62 (동삼동, 대경금속)",부산광역시 영도구 동삼동 201-38번지,선박 구성 부분품 제조업,051-405-8713,051-405-8714,0,0,8,선박기계부품
214,동서산업,부산광역시 영도구 산업로 15 (청학동),부산광역시 영도구 청학동 5-20번지,선박 구성 부분품 제조업,051-418-6662,051-418-4202,,,7,선박구성부분품
215,동서전기,부산광역시 영도구 대평남로 21 (대평동1가),부산광역시 영도구 대평동1가 125-3번지,배전반 및 전기 자동제어반 제조업,051-416-3013,051-413-3013,,,1,배전반
216,동성계기,부산광역시 영도구 남항서로82번길 73 (남항동2가),부산광역시 영도구 남항동2가 197번지,"물질 검사, 측정 및 분석기구 제조업",051-417-4144,051-416-8571,0,0,5,온도계
217,동성전기공업사,부산광역시 영도구 남항서로 6-22 (남항동3가),부산광역시 영도구 남항동3가  141-104번지,선박 구성 부분품 제조업,051-414-8797,051-414-8755,,,6,선박전기수리등
218,동성정밀,부산광역시 영도구 해양로 28-1 (청학동),부산광역시 영도구 청학동 322-5번지,절삭가공 및 유사처리업,051-412-1918,051-413-1918,,,3,"실린더 헤드, 밸브"
219,동성토탈마린,부산광역시 영도구 해양로 21 (청학동),부산광역시 영도구 청학동 330-102번지,선박 구성 부분품 제조업,051-416-4978,051-415-5825,,,7,"선박의장(신조,발판등)"
220,동양듸젤기공사,부산광역시 영도구 대평로 59-2 (대평동2가),부산광역시 영도구 대평동2가 89-5번지,선박 구성 부분품 제조업,051-415-4747,051-416-6144,,,1,"선박수리, 축계베어링"
221,동양전자통신,"부산광역시 영도구 대평로20번길 24, 삼화빌딩 3층, 4층 (대평동1가)","부산광역시 영도구 대평동1가 5번지 삼화빌딩 3층, 4층",기타 무선 통신장비 제조업,051-412-0403,051-412-4770,0,0,12,선박용 안테나 및 정류기 제조
222,동양커민스,부산광역시 영도구 해양로 86-8 (청학동),부산광역시 영도구 청학동 10-1번지,선박 구성 부분품 제조업,051-412-2046,,0,0,1,선박 및 기관 수리
223,동영선박공업사,부산광역시 영도구 남항서로 12-9 (남항동3가),부산광역시 영도구 남항동3가 141-122번지,선박 구성 부분품 제조업,051-412-1277,051-413-1280,,,1,선박구성품
224,동영엔지니어링,부산광역시 영도구 해양로 46 (청학동) 외 2필지,부산광역시 영도구 청학동 304-3번지 외 2필지,선박 구성 부분품 제조업,,051-416-7032,,,1,선박부품
225,동우기업사,"부산광역시 영도구 산업로 21 (청학동, 동우기업사)",부산광역시 영도구 청학동 3-12번지,선박 구성 부분품 제조업,051-413-9991,051-413-2777,0,0,6,"선박용 밸브,선박기자재"
226,동원테크,부산광역시 영도구 남항남로19번길 37 (남항동3가),부산광역시 영도구 남항동3가 32-23번지,"레이더, 항행용 무선기기 및 측량기구 제조업",051-417-2057,051-414-8319,0,0,2,항해장비
227,동화마린테크,부산광역시 영도구 해양로 24-9 (청학동),부산광역시 영도구 청학동 322-8번지,선박 구성 부분품 제조업 외 1 종,051-412-0080,051-412-1560,,,3,수밀물외
228,드림오션주식회사,부산광역시 영도구 해양로 24-16 (청학동),부산광역시 영도구 청학동 326-15번지,선박 구성 부분품 제조업,051-412-4054,051-412-4056,0,0,6,선박연료밸브
229,디에스비엔지니어링 주식회사,"부산광역시 영도구 산업로 27 (청학동, 구명정제)",부산광역시 영도구 청학동 2번지,합성수지선 건조업,051-412-5937,051-412-9139,0,0,6,"구명정 시험장 및 수리, 기타 선박부품 제조"
230,디엘일렉트릭,부산광역시 영도구 해양로195번가길 16 (동삼동),부산광역시 영도구 동삼동 201-61,전기.전자 및 정밀기기 수리업,051-463-7040,051-463-7042,,,7,전기판넬
231,디엠티,부산광역시 영도구 해양로195번나길 44 (동삼동),부산광역시 영도구 동삼동 201-94,선박 구성 부분품 제조업 외 1 종,051-261-7933,051-261-7932,,,5,"선박부품(엔진,추진기)"
232,디와이이엔지,"부산광역시 영도구 해양로 22, 1동 1층(청학동)",부산광역시 영도구 청학동 326-6 1동 1층,선박 구성 부분품 제조업 외 3 종,051-414-0718,051-414-0719,,,2,"산업기계부품 제작, 선박엔진부품 제작, 선박수리"
233,럭키테이프,부산광역시 영도구 청학동 91번지,부산광역시 영도구 청학동 91번지,그 외 기타 플라스틱 제품 제조업,051-416-5811,051-412-3367,0,0,11,산업용 보호용 테이프
234,레날티엠티 주식회사,"부산광역시 영도구 남항서로82번길 29-11(남항동2가, 레날티엠티주식회사)",부산광역시 영도구 남항동2가 111-1 레날티엠티주식회사,선박 구성 부분품 제조업,051-466-8984,051-466-8985,14,1,19,선박수리
235,레더팔레트,"부산광역시 영도구 남항로9번길 55, 4층(대교동1가, 나나빌딩)",부산광역시 영도구 대교동1가 150-2 나나빌딩 4층,핸드백 및 지갑 제조업 외 1 종,051-418-9391,,,,0,"가방, 지갑 및 기타가죽제품"
236,리얼테크,부산광역시 영도구 남항남로19번길 9 (남항동3가),부산광역시 영도구 남항동3가 29-116번지,선박 구성 부분품 제조업,051-989-1230,051-989-1231,,,2,"선박수리, 선박부품"
237,마린콘트롤,"부산광역시 영도구 남항남로 23-2, 재경BD, 2F (남항동3가, 재경전자)","부산광역시 영도구 남항동3가 73-26번지 재경전자 재경BD, 2F",배전반 및 전기 자동제어반 제조업,051-809-4494,051-809-4495,,,4,"배전반, 전기자동제어반"
238,마스터 다이버스 코리아,부산광역시 영도구 중리북로 32(동삼동),부산광역시 영도구 동삼동 543-4,그 외 기타 금속가공업,,0504-077-1757,,,0,"철강판 용접가공, 코퍼댐"
239,마스텍중공업주식회사,부산광역시 영도구 대평남로 35 (대평동1가),부산광역시 영도구 대평동1가 160-1번지,강선 건조업 외 1 종,051-604-4300,051-441-2729,0,0,60,강선건조 및 수리업
240,만수엔지니어링,부산광역시 영도구 대평로 57 (대평동2가),부산광역시 영도구 대평동2가 89-13번지,선박 구성 부분품 제조업,051-413-5535,051-416-3804,0,0,2,선박구성부분품
241,명신전기,"부산광역시 영도구 대평로19번길 7, 1층 (대평동1가)",부산광역시 영도구 대평동1가 95-2 1층,배전반 및 전기 자동제어반 제조업,051-413-2334,051-416-2215,,,1,"선박수리, 전기판넬제조"
242,명인하이테크,부산광역시 영도구 남항남로 16 (남항동3가),부산광역시 영도구 남항동3가 141-35,선박 구성 부분품 제조업,051-414-5333,051-414-5332,,,2,선박부품 제작수리(엔진)
243,명천전기,부산광역시 영도구 남항로10번길 16 (남항동2가),부산광역시 영도구 남항동2가 33-1번지,배전반 및 전기 자동제어반 제조업,051-418-7240,,,,2,전기배전함 및 컨트롤 판넬 제작
244,모모스커피(주),부산광역시 영도구 봉래나루로 160(봉래동2가) 외 2필지,부산광역시 영도구 봉래동2가 131 외 2필지,커피 가공업,051-512-0700,051-512-7035,0,0,19,커피원두
245,미래플랜트,"부산광역시 영도구 해양로195번길 82, 1동(동삼동)",부산광역시 영도구 동삼동 201-80 1동,육상 금속 골조 구조재 제조업,051-415-3204,051-415-1404,,,3,H-빔 제작 및 조립
246,미성전기,부산광역시 영도구 해양로195번가길 12 (동삼동),부산광역시 영도구 동삼동 201-55번지,전기.전자 및 정밀기기 수리업,051-417-3007,051-4174-3008,,,2,"전기,전자 제품 수리"
247,미창석유공업(주),"부산광역시 영도구 해양로 241 (동삼동, 미창석유)",부산광역시 영도구 동삼동 201번지,윤활유 및 그리스 제조업,051-403-6441,051-403-6440,0,0,82,"윤활유,전기절연유,고무배합유"
248,밀성기전,"부산광역시 영도구 남항서로82번길 50, 밀성기전 (남항동3가)",부산광역시 영도구 남항동3가 62-12 밀성기전,선박 구성 부분품 제조업,051-415-1206,051-413-5846,,,2,"선박 선체 조립부분품, 선박수리부품"
249,밀성엠텍(주),"부산광역시 영도구 남항서로82번길 26,  (건축물일부) (남항동3가)",부산광역시 영도구 남항동3가  32-3번지,선박 구성 부분품 제조업,051-412-1789,051-412-3211,0,0,8,선박목의장품(가구)
250,바우기업,부산광역시 영도구 대평남로 28 (대평동1가),부산광역시 영도구 대평동1가 113-7번지,선박 구성 부분품 제조업,,051-413-7414,,,1,선박수리(보일러)
251,반도공업사,부산광역시 영도구 대평로19번길 18 (대평동1가),부산광역시 영도구 대평동1가 123번지,선박 구성 부분품 제조업,051-417-9666,051-417-9668,,,6,엔진세척등
252,방주테크유압,부산광역시 영도구 남항남로19번길 2 (남항동3가),부산광역시 영도구 남항동3가 74번지,선박 구성 부분품 제조업,051-413-7599,051-413-7598,,,2,기관등
253,배진선박,부산광역시 영도구 대평남로31번길 1 (대평동1가),부산광역시 영도구 대평동1가 129-1번지,선박 구성 부분품 제조업,051-417-7367,,0,0,1,선박수리
254,백광,부산광역시 영도구 해양로 248 (동삼동),부산광역시 영도구 동삼동 190,선박 구성 부분품 제조업,,0504-403-9649,0,0,8,선박 구성 부분품(기자재)
255,범양기업,부산광역시 영도구 대평로33번길 5 (대평동1가),부산광역시 영도구 대평동1가 104-12번지,선박 구성 부분품 제조업,051-416-6623,051-416-6681,0,0,2,선박내장(목의장)
256,보경기업,부산광역시 영도구 남항남로 27-2 (남항동3가),부산광역시 영도구 남항동3가 141-7번지,선박 구성 부분품 제조업,,,,,0,선박물품제조
257,보배마린,"부산광역시 영도구 대평로6번길 40, (건물일부) (대교동1가)",부산광역시 영도구 대교동1가 102번지 (건물일부),선박 구성 부분품 제조업,051-416-4448,,0,0,1,어로장비
