공장관리번호,산업단지명,회사명,도로명주소,대표자,행정기관,전화번호,팩스번호,외국인,고용인원,공장등록일자,업종명,주생산품,홈페이지
262302018414747,개별입지,주식회사 에프디수산,"부산광역시 부산진구 중앙대로 587, 지층 (범천동)",김용백,부산광역시 부산진구,051-636-8775,051-637-9878,0,3,2018-07-09,기타 수산동물 가공 및 저장 처리업,"구이채(쥐치, 아귀, 양태 등)",
411732024107658,개별입지,주식회사 엘루다코리아,"부산광역시 부산진구 진남로356번길 17, 2층 주식회사 엘루다코리아(전포동, 더케이타워)",김민정,부산광역시 부산진구,031-337-5570,031-337-5571,0,4,2024-03-05,전시 및 광고용 조명장치 제조업 외 3 종,,
262302024141331,개별입지,주식회사 재강,"부산광역시 부산진구 진남로 477, 상가동 지하1층(전포동, 양정메트로하이츠)",강재준,부산광역시 부산진구,051-752-7402,051-752-7462,0,3,2024-08-08,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",가로수보호판,
000002022825371,개별입지,주식회사 지강푸드,부산광역시 부산진구 성지로 134-1(초읍동),황규하,부산광역시 부산진구,051-817-5100,051-817-5155,0,18,2022-05-02,육류 포장육 및 냉동육 가공업 (가금류 제외),"쪽갈비, 양념소스",http://www.donolark.com
262302023094941,개별입지,주식회사 케이시스,"부산광역시 부산진구 진남로356번길 17(전포동, 더케이타워)",천병민,부산광역시 부산진구,051-642-7800,051-642-7200,0,35,2023-12-18,전시 및 광고용 조명장치 제조업 외 3 종,"LED전광판, 영상디스플레이장치, 정보통신기기 및 영상, 음향기기, 비디오물제작업",
262302017395480,개별입지,주식회사 태인테크,"부산광역시 부산진구 백양대로357번길 109, 2층 (개금동)",손선규,부산광역시 부산진구,051-892-2001,051-892-2401,0,9,2017-10-27,방송장비 제조업 외 3 종,CCTV,
262302025196507,개별입지,주식회사 트리스톤,"부산광역시 부산진구 양지로 34, 1층 (양정동)",정영내,부산광역시 부산진구,070-4320-7835,070-4045-7835,0,8,2025-05-28,기타 전기 변환장치 제조업,초음파방오시스템,
262302023044001,개별입지,주식회사 프라임텍,"부산광역시 부산진구 동평로 341, 3층 (양정동)",박성한,부산광역시 부산진구,051-717-2878,,0,6,2023-08-11,컴퓨터 제조업 외 10 종,"컴퓨터, 전자칠판, 노추북 충전함",
262302024105605,개별입지,주식회사 합강,"부산광역시 부산진구 가야대로548번가길 2, 신성빌딩 4층 (가야동)",김창영,부산광역시 부산진구,051-714-3573,0505-182-6945,0,4,2024-01-31,컴퓨터 제조업,"데스크톱 컴퓨터, 컴퓨터 조립",www.hapgang.cm
000002020517761,개별입지,중부산보육사,부산광역시 부산진구 동평로39번길 64 (당감동) 102호,임필숙,부산광역시 부산진구,051-808-0622,051-808-0633,0,4,2020-08-27,연사 및 가공사 제조업 외 57 종,"목재, 기타 기계 및 장비, 가구, 방수시트, 가방, 목공놀이 등",
262302011242807,개별입지,지인디자인,"부산광역시 부산진구 가야대로 625,  2층 (가야동) (총 2 필지) 외 1필지",김진경,부산광역시 부산진구,051-803-3322,051-808-8435,6,10,2011-10-31,간판 및 광고물 제조업,간판용 실사,
262302013272622,개별입지,진성푸드,"부산광역시 부산진구 개금본동로 35,  지하1층,지상1층 (개금동)",신갑균,부산광역시 부산진구,051-521-3879,051-527-9315,0,4,2013-01-18,그 외 기타 식료품 제조업,"재첩국,추어탕",www.jinsungfood.co.kr
262302008161137,개별입지,천광애드,부산광역시 부산진구 부전로 21-5 (부전동),안숭환,부산광역시 부산진구,051-806-9606,051-806-8436,0,2,2008-05-06,간판 및 광고물 제조업 외 2 종,"간판, 인쇄 외",
262302022889695,개별입지,크레더블,"부산광역시 부산진구 연수로 49-1, 2층(양정동)",차재웅,부산광역시 부산진구,051-852-5502,051-866-1191,0,0,2022-08-08,남자용 겉옷 제조업 외 6 종,"남성의류, 여성의류, 근무복, 작업복 및 유사의복, 가죽의복, 유아용 의복, 그 외 기타 봉제의복, 그 외 기타 의복 악세사리",
262302005100524,개별입지,키디폴,부산광역시 부산진구 신암로83번길 30 (범천동),이치곤,부산광역시 부산진구,051-635-4085,051-635-0090,0,7,2005-07-12,셔츠 및 블라우스 제조업 외 4 종,"체육복, 티셔츠",nameofschool.com
262302017375760,개별입지,태양디지털솔루션,"부산광역시 부산진구 양지로8번길 13, 1층 (양정동)",전창훈,부산광역시 부산진구,051-867-1017,051-853-1018,0,2,2017-01-24,경 인쇄업 외 2 종,인쇄물 및 출판물,
262302005090510,개별입지,태화어구,부산광역시 부산진구 중앙대로824번길 32-13 (전포동),김호명,부산광역시 부산진구,051-808-9887,051-816-6948,0,13,2005-01-20,낚시 및 수렵용구 제조업,어구(도래),taehwafishing.com
262302005107182,개별입지,토마토전자(주),"부산광역시 부산진구 전포대로223번길 15, 309호 (전포동)",곽기현,부산광역시 부산진구,051-809-8366,051-809-8369,0,4,2005-12-01,교통 신호장치 제조업 외 3 종,"주차관제, CCTV",
262302020465091,개별입지,토탈플러스,부산광역시 부산진구 신암로85번길 48 (범천동),정충권,부산광역시 부산진구,051-806-4441,051-806-4491,0,5,2020-03-11,기타 인쇄관련 산업,"자석판촉물, 포스트잇, 메모지, 메모함, 거울메모, 손청결세정제",totalplus.co.kr
262302022923284,개별입지,투라인레벨,"부산광역시 부산진구 전포대로 226-4, 지하1층(전포동)",최대열,부산광역시 부산진구,051-807-4774,051-817-9957,0,4,2022-10-18,기기용 자동측정 및 제어장치 제조업,수위조절기,twoline@towlinelevel.com
262302007130116,개별입지,티씨케미칼,"부산광역시 부산진구 범전로33번길 16,  외 2필지 (범전동)",권영순,부산광역시 부산진구,051-803-8225,051-803-8286,0,6,2007-03-12,그 외 기타 플라스틱 제품 제조업,플라스틱제품,
262302007149352,개별입지,한글그라픽스,부산광역시 부산진구 신천대로65번길 41 (범천동),서정봉,부산광역시 부산진구,051-632-7842,051-639-0305,0,15,2007-11-01,기타 인쇄업 외 3 종,"책자, 카다록, 전단",
262302016347846,개별입지,한일기업,"부산광역시 부산진구 당감서로 175, 401호 (당감동, 백양빌딩)",김종열,부산광역시 부산진구,051-505-9100,051-505-6088,4,14,2016-01-06,그 외 기타 특수목적용 기계 제조업 외 3 종,"무대기계, 무대조명, LED 등",http://www.hanilcompany.com
262302002026377,개별입지,해동산업,부산광역시 부산진구 가야대로681번길 64-6 (당감동),민기한,부산광역시 부산진구,051-898-4431,051-897-4438,0,4,2002-02-05,고무패킹류 제조업 외 3 종,고무박킹,
262302014302542,개별입지,헤코(주),"부산광역시 부산진구 가야대로 539-1, 1층 (가야동)",이근옥,부산광역시 부산진구,051-892-3650,051-895-3633,0,5,2014-04-03,"체조, 육상 및 체력단련용 장비 제조업 외 3 종","체력단련용장비,금속계단,목재캐비닛,미끄럼틀",
262302006122823,개별입지,효민디앤피,"부산광역시 부산진구 신천대로102번길 17, 1층 (부전동, 효민사옥)","박은희, 한수흥",부산광역시 부산진구,051-807-5100,051-807-0846,0,28,2006-12-05,경 인쇄업 외 3 종,"출판물, 사보, 홍보물",
