연번,회사명,주소,종업원수,전화번호,팩스번호,업종명,생산품,외국인종업원수,데이터기준일자
159,(주)애니홈,부산광역시 사하구 장평로 31 ,1,051-264-7116,051-262-7158,수동식 식품 가공기기 및 금속 주방용기 제조업,압력솥+냄비,0,2025-07-01
160,(주)에스씨모빌리티,부산광역시 사하구 다대로 624 5층,14,051-703-6156,051-868-8871,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,살균소독제+탈취제,0,2025-07-01
161,(주)에스앤더블류,부산광역시 사하구 을숙도대로 749 외 9필지,55,051-205-7411,051-207-1990,볼트 및 너트류 제조업 외 2 종,금속 및 나사제품,0,2025-07-01
162,(주)에스앤더블류,부산광역시 사하구 다대로170번길 29,12,051-209-2240,051-207-1990,그 외 기타 분류 안된 금속 가공 제품 제조업,엔진용볼트+너트+캠,0,2025-07-01
163,(주)에스앤씨코리아,부산광역시 사하구 을숙도대로569번길 11 ,2,051-202-2048,051-202-2050,부직포 및 펠트 제조업 외 3 종,유흡착재+유처리재+세척제,0,2025-07-01
164,(주)에스에스산업,부산광역시 사하구 사하로 74-7,10,051-202-0252,051-206-8332,유압기기 제조업,유압밸브+유압모터+유압펌프,0,2025-07-01
165,(주)에스에스지골프산업,부산광역시 사하구 장림동 910-1 외 2필지,45,051-973-6004,055-551-6687,금속 절삭기계 제조업,수치제어장치가 장착된 공작기계 및 부품,0,2025-07-01
166,(주)에스에이치이,부산광역시 사하구 장평로41번길 16 ,10,051-261-8924,051-261-8926,배전반 및 전기 자동제어반 제조업,배전반,0,2025-07-01
167,(주)에스에이테크,부산광역시 사하구 하신중앙로27번길 17 506호 ,1,051-263-0048,050-5655-5151,전기용 탄소제품 및 절연제품 제조업,케이블보호용 후크밴드,0,2025-07-01
168,(주)에스엠이앤시,부산광역시 사하구 승학로 216 101동 B101호 ,9,051-803-4526,051-809-4527,방송장비 제조업 외 6 종,cctv camara,0,2025-07-01
169,(주)에스엠인더스트리,부산광역시 사하구 하신번영로 427 외 1필지,30,051-207-1999,051-208-3387,그 외 기타 플라스틱 제품 제조업,사출,0,2025-07-01
170,(주)에이알,부산광역시 사하구 구평로 27 ,1,051-265-6661,051-265-5355,산업용 냉장 및 냉동 장비 제조업,한서중설비,0,2025-07-01
171,(주)에이엠씨,부산광역시 사하구 하신중앙로27번길 17 502호,4,051-465-1830,051-465-5830,배전반 및 전기 자동제어반 제조업,배전반+전기자동제어반,0,2025-07-01
172,(주)에코소일,부산광역시 사하구 을숙도대로755번길 98 1층 ,5,051-261-3589,051-261-3592,그 외 기타 달리 분류되지 않은 제품 제조업 외 1종,건축자재(코팅제),0,2025-07-01
173,(주)엔보이비젼,부산광역시 사하구 하신중앙로27번길 17 303·304·305호 외 2필지,20,051-263-0125,051-334-7768,안경 및 안경렌즈 제조업 외 1 종,콘택트렌즈,0,2025-07-01
174,(주)엔케이씨에프,부산광역시 사하구 을숙도대로569번길 21,32,051-200-0190,051-207-2208,금속탱크 및 저장용기 제조업 외 1 종,저장용기,0,2025-07-01
175,(주)엔피알티,부산광역시 사하구 을숙도대로873번길 10 ,28,051-312-4317,070-8270-4319,산업용 냉장 및 냉동 장비 제조업,산업용 냉동기,4,2025-07-01
176,(주)엠에스푸드,부산광역시 사하구 감천항로 253-2 ,10,051-243-7424,051-243-7426,수산동물 냉동품 제조업,냉동수산물+선어,0,2025-07-01
177,(주)엠에이치수산,부산광역시 사하구 다대로1066번길 61-3 ,11,051-321-2342,051-264-8819,배합 사료 제조업 외 1 종,사료,0,2025-07-01
178,(주)엠이티,부산광역시 사하구 장평로 47 ,10,051-944-4834,051-944-4836,배전반 및 전기 자동제어반 제조업,선박용 전기판넬,0,2025-07-01
179,(주)엠제이락,부산광역시 사하구 신산북로 53 ,39,051-291-7383,051-293-7383,탭·밸브 및 유사장치 제조업,산업용피팅밸브,15,2025-07-01
180,(주)영동스텐레스,부산광역시 사하구 하신번영로 397 ,4,051-293-0840,051-205-4585,주철관 제조업,스텐코일+후렌지,0,2025-07-01
181,(주)영웅이앤씨,부산광역시 사하구 하신중앙로3번길 67 ,5,051-612-3811,,선박 구성 부분품 제조업,파이프의장품,0,2025-07-01
182,(주)영진이엔지,부산광역시 사하구 하신중앙로54번길 34 ,12,051-262-4471,051-262-4472,그 외 자동차용 신품 부품 제조업 외 3 종,자동차 부품,0,2025-07-01
183,(주)영화산업,부산광역시 사하구 보덕포1길 90 ,20,051-264-6853,051-264-6856,강주물 주조업,정밀주조품,4,2025-07-01
184,(주)예스하이텍,부산광역시 사하구 하신중앙로17번길 12-2 ,10,051-972-0002,051-972-0210,증류기·열교환기 및 가스발생기 제조업,압렬용기등 화공기기 부품,0,2025-07-01
185,(주)오리엔트조선,부산광역시 사하구 감천항로405번길 91 ,50,051-260-1829,051-261-5158,강선 건조업 외 2 종,선박 수리,0,2025-07-01
186,(주)오리엔트조선,부산광역시 사하구 감천항로 151,9,051-260-1829,051-261-5158,강선 건조업 외 2 종,선박 수리,0,2025-07-01
187,(주)오복식품,부산광역시 사하구 을숙도대로 867  ,156,051-205-8911,051-207-4674,장류 제조업,장류,0,2025-07-01
188,(주)오션엔지니어링,부산광역시 사하구 감천항로405번길 48 ,4,051-417-9601,051-417-9603,선박 구성 부분품 제조업,선박엔진부품,0,2025-07-01
189,(주)오에스조선,부산광역시 사하구 다대로605번길 63 외 6필지,20,051-263-0158,051-262-2066,강선 건조업 외 2 종,선박블럭,3,2025-07-01
190,(주)옥스포드브릭,부산광역시 사하구 장평로146번길 3 ,30,070-4112-8513,051-203-8516,인형 및 장난감 제조업,플라스틱완구,0,2025-07-01
191,(주)와와식품,부산광역시 사하구 장평로76번길 22 ,6,051-265-0185,051-265-0186,수산동물 냉동품 제조업,참치 가공품,0,2025-07-01
192,(주)와이제이테크,부산광역시 사하구 하신중앙로27번길 20,1,051-710-7097,051-980-6097,그 외 기타 분류 안된 금속 가공 제품 제조업,봉안단(납골안치단)+봉안함(납골함)+봉안명패 등,0,2025-07-01
193,(주)용성,부산광역시 사하구 장평로 150  ,13,051-261-4555,051-261-8828,낚시 및 수렵용구 제조업,낚시대,0,2025-07-01
194,(주)용진터보,부산광역시 사하구 신산로 78 ,17,051-271-7823,051-271-7828,선박 구성 부분품 제조업,과급기 부품(피스통링),0,2025-07-01
195,(주)우리바다,부산광역시 사하구 장림번영로84번길 26 ,16,051-263-4858,051-263-4860,수산동물 냉동품 제조업 외 1 종,수산냉동품 제조,0,2025-07-01
196,(주)우진텍,부산광역시 사하구 장평로83번길 19,8,051-265-6385,051-261-6396,그 외 자동차용 신품 부품 제조업 외 10 종,산업기계부품+자동차부품,0,2025-07-01
197,(주)우창수산장림공장,부산광역시 사하구 장평로146번길 15 ,18,051-263-9789,051-263-9790,기타 수산동물 가공 및 저장 처리업,붕장어,0,2025-07-01
198,(주)욱일,부산광역시 사하구 감천항로 437 ,6,051-261-0615,051-261-0662,그 외 기타 일반목적용 기계 제조업 외 1 종,해수제빙기+선박부품,0,2025-07-01
199,(주)원양어구,부산광역시 사하구 다대로300번길 35 ,10,051-263-4981,051-261-6814,낚시 및 수렵용구 제조업,연승어구,0,2025-07-01
200,(주)원창스프링,부산광역시 사하구 하신중앙로3번길 60-5 ,5,051-264-5056,051-264-5027,금속 스프링 제조업,금속스프링,0,2025-07-01
201,(주)월드리치,부산광역시 사하구 다산로208번길 32 ,18,051-266-7535,051-266-7532,고무·화학섬유 및 플라스틱 성형기 제조업 외 1 종,성형기,0,2025-07-01
202,(주)웰락,부산광역시 사하구 다대로354번안길 88 ,2,051-265-2345,051-265-0196,금속 열처리업 외 1 종,은도금,0,2025-07-01
203,(주)유강티에스,부산광역시 사하구 사하로 74-7,20,051-208-3639,051-208-3602,고무패킹류 제조업 외 2 종,선박용 스턴튜브실 장치(메커니컬실),0,2025-07-01
204,(주)유노테크,부산광역시 사하구 감천항로176번길 29 ,8,051-264-8981,051-264-8982,자동차 차체용 신품 부품 제조업 외 1 종,자동차부품,0,2025-07-01
205,(주)유니시큐,부산광역시 사하구 감천항로405번길 40,3,055-312-0365,055-329-0365,선박 구성 부분품 제조업 외 5 종,교통시설물+금속구조물 및 구성품 제조,0,2025-07-01
206,(주)유원전기,부산광역시 사하구 장평로132번길 5 ,5,051-317-3142,051-317-3143,전기회로 개폐·보호장치 제조업 외 6 종,전기보호장치,0,2025-07-01
207,(주)유진엔지니어링,부산광역시 사하구 장림번영로84번길 22 ,10,051-418-2888,051-413-2889,선박 구성 부분품 제조업,선박 부품,0,2025-07-01
208,(주)유진인터내셔널,부산광역시 사하구 장림번영로104번길 28 3층 ,6,051-244-0477,,셔츠 및 블라우스 제조업 외 4 종,근무복+작업복 등,0,2025-07-01
209,(주)유창상사,부산광역시 사하구 구평로16번길 24 ,12,051-266-2325,051-266-2324,김치류 제조업 외 1 종,김치 및 절임식품,0,2025-07-01
210,(주)은성사,부산광역시 사하구 다대로 344 외 2필지,100,051-265-8611,051-264-7331,낚시 및 수렵용구 제조업 외 2 종,낚시대,0,2025-07-01
211,(주)은성사,부산광역시 사하구 다대로 342 외 2필지,93,051-265-8611,051-264-7333,낚시 및 수렵용구 제조업,낚시 및 수렵용구 제조,0,2025-07-01
212,(주)은성파워텍,부산광역시 사하구 감천항로419번길 46 ,7,051-415-3900,070-8277-5008,기타 구조용 금속제품 제조업 외 5 종,신재생에너지 구조물,0,2025-07-01
213,(주)이세이빙,부산광역시 사하구 다대로 626 1층 ,13,051-612-0153,051-612-5153,절연 코드세트 및 기타 도체 제조업,멀티탭,0,2025-07-01
214,(주)이승,부산광역시 사하구 하신중앙로3번길 60-6 외 2필지,10,051-263-5075,051-263-5077,증류기·열교환기 및 가스발생기 제조업 외 5 종,열교환기+수처리장치 등,0,2025-07-01
215,(주)이앤피씨,부산광역시 사하구 을숙도대로755번길 94 ,6,051-266-1461,051-266-1463,포장용 플라스틱 성형용기 제조업,광분해성 복합플라스틱 용기,0,2025-07-01
216,(주)인풍,부산광역시 사하구 을숙도대로 873 ,18,051-294-1771,051-294-1881,기타 수산동물 가공 및 저장 처리업,해물탕+알탕,6,2025-07-01
217,(주)일도기전,부산광역시 사하구 다대로354번길 59 ,20,051-261-4142,051-261-4143,전기회로 개폐·보호장치 제조업 외 2 종,고압차단기부품,0,2025-07-01
218,(주)일성냉동,부산광역시 사하구 다대로320번길 10 외 2필지,45,051-265-9790,051-265-9793,아이스크림 및 기타 식용빙과류 제조업 외 1 종,아이스크림,0,2025-07-01
219,(주)일성인더스트리,부산광역시 사하구 을숙도대로755번길 55 ,17,051-262-5260,051-262-2715,플라스틱 필름 제조업 외 2 종,폴리에틸렌 필름 쇼핑백+봉투,2,2025-07-01
220,(주)일성테크팩,부산광역시 사하구 구평동 산 26-1 외 4필지,5,051-262-5260,051-262-2715,플라스틱 포대·봉투 및 유사제품 제조업,식품포장지+pe 필름,0,2025-07-01
221,(주)일성테크팩,부산광역시 사하구 을숙도대로755번길 45 외 1필지,16,051-262-8990,051-262-5590,플라스틱 포대·봉투 및 유사제품 제조업 외 2 종,시트 및 이형지+식품포장용필름+PE필름+포장지+PE쇼핑백,0,2025-07-01
222,(주)일진메쉬,부산광역시 사하구 다대로300번길 43 ,7,051-245-5778,051-245-7015,금속선 가공제품 제조업,철망+스텐망,0,2025-07-01
223,(주)자연으로,부산광역시 사하구 장림번영로104번길 110 ,5,051-266-8775,,일반용 도료 및 관련제품 제조업,벽지코팅제,0,2025-07-01
224,(주)자유전자,부산광역시 사하구 하신중앙로3번길 107 ,26,051-261-5312,051-261-7488,배전반 및 전기 자동제어반 제조업,전기판넬+케이블박스 등,0,2025-07-01
225,(주)장림,부산광역시 사하구 하신중앙로3번길 67-4,9,051-612-3811,051-612-3814,절삭가공 및 유사처리업,자동차부품(휄베어링),0,2025-07-01
226,(주)장림,부산광역시 사하구 하신중앙로3번길 67-4 ,20,051-612-3811,051-612-3814,절삭가공 및 유사처리업,자동차부품(휠베어링),0,2025-07-01
227,(주)재호물산 제2공장 ,부산광역시 사하구 장림로 196 지하1층 ,12,051-507-9201,051-261-7381,수산동물 훈제·조리 및 유사 조제식품 제조업,날치알+대왕오징어족,0,2025-07-01
228,(주)재호식품 제2공장,부산광역시 사하구 장림로 196 ,13,051-261-7385,051-261-7384,수산동물 훈제·조리 및 유사 조제식품 제조업,초밥류,0,2025-07-01
229,(주)정도참치,부산광역시 사하구 장평로83번길 20 ,13,051-263-3900,051-265-8200,수산동물 냉동품 제조업,냉동 새치 가공품,1,2025-07-01
230,(주)정원아이티,부산광역시 사하구 승학로 216 101동 B101호,4,051-637-1300,051-714-1307,방송장비 제조업 외 4 종,영상감시장치+구내방송장치,0,2025-07-01
231,(주)제너지,부산광역시 사하구 감천항로 201-5 2층 ,1,070-4242-0207,051-294-0207,공기 조화장치 제조업 외 4 종,흡연테이블+흡연부스+조명장치,0,2025-07-01
232,(주)제원,부산광역시 사하구 감천항로419번길 44 ,4,051-261-7638,051-261-7628,공기 조화장치 제조업,선박냉방기,0,2025-07-01
233,(주)제이원씨푸드,부산광역시 사하구 다대동로6번길 17 301호 ,13,051-246-8247,051-246-8248,기타 수산동물 가공 및 저장 처리업,반건조 수산물 가공제품,0,2025-07-01
234,(주)제이케이토탈마린,부산광역시 사하구 구평로 29-1 ,4,051-987-4492,051-987-4893,선박 구성 부분품 제조업,선박 소형블록 등,0,2025-07-01
235,(주)지에스이앤씨,부산광역시 사하구 하신중앙로3번길 61 외 3필지,5,,,선박 구성 부분품 제조업,파이프 의장품,0,2025-07-01
236,(주)지에이치비,부산광역시 사하구 하신중앙로27번길 17 1동 2층 37 ,7,070-7548-6584,,낚시 및 수렵용구 제조업,낚시용품,0,2025-07-01
237,(주)지엔스이앤씨,부산광역시 사하구 장림동 산 143 외 2필지,15,,,선박 구성 부분품 제조업,파이프 의장품,0,2025-07-01
238,(주)지엠엔지니어링,부산광역시 사하구 하신중앙로 44-7 ,10,051-265-2001,051-265-2005,배전반 및 전기 자동제어반 제조업,선체응력감시시스템,0,2025-07-01
239,(주)지오뷰,부산광역시 사하구 하신번영로 423 4층 ,18,051-294-1602,051-294-1603,전자기 측정·시험 및 분석기구 제조업,해양조사장비,0,2025-07-01
240,(주)진아트,부산광역시 사하구 구평로 23 ,7,051-262-0574,051-262-0574,선박 구성 부분품 제조업,선박가구,0,2025-07-01
241,(주)진양수산,부산광역시 사하구 원양로 313 ,13,051-203-3907,051-203-3909,기타 수산동물 가공 및 저장 처리업,고등어,0,2025-07-01
242,(주)진양티엔에프,부산광역시 사하구 감천항로 221-5 ,20,051-715-7705,051-715-7706,수산동물 냉동품 제조업,냉동수산물(다랑어),0,2025-07-01
243,(주)진후엔지니어링,부산광역시 사하구 감천항로419번길 14 ,13,051-262-3810,051-261-4764,탭·밸브 및 유사장치 제조업 외 1 종,선박용 밸브,0,2025-07-01
244,(주)진흥다이캐스팅,부산광역시 사하구 장평로146번길 7 ,5,051-261-5903,051-261-3467,기타 가정용 전기기기 제조업,소형모터부품,0,2025-07-01
245,(주)차밍아트,부산광역시 사하구 다대로1066번길 61-1 ,2,051-265-0115,051-265-0117,자동차용 금속 압형제품 제조업 외 1 종,스텐레스주방용품,0,2025-07-01
246,(주)창신스틸,부산광역시 사하구 신산로 73 ,6,051-265-4388,051-265-0399,그 외 기타 1차 철강 제조업,철강재 절단가공,0,2025-07-01
247,(주)창원토탈서비스,부산광역시 사하구 하신번영로 438-1 ,7,051-231-0620,051-231-0625,선박 구성 부분품 제조업,선박구성부품,0,2025-07-01
248,(주)창해씨푸드,부산광역시 사하구 다대로605번길 9 신관 3층 ,7,051-265-1511,051-265-1455,수산동물 건조 및 염장품 제조업,명란젓갈,0,2025-07-01
249,(주)청맥엘이디,부산광역시 사하구 두송로123번길 5-1 외 2필지,30,,,전시 및 광고용 조명장치 제조업,LED간판+태양(LED)가로등+LED조명 등,0,2025-07-01
250,(주)청산에식품,부산광역시 사하구 하신중앙로54번길 49 ,7,051-206-5852,051-206-5853,수산식물 가공 및 저장 처리업,아몬드김스넥,0,2025-07-01
251,(주)청아이엔지,부산광역시 사하구 장림로 78-2 ,5,051-266-8526,051-266-8527,액체 여과기 제조업 외 1 종,염분제거장비+정수장비+액체여과기,0,2025-07-01
252,(주)청우기술단,부산광역시 사하구 장림로 78-21,29,051-204-6060,051-204-4343,전동기 및 발전기 제조업,태양광 발전기 제조,0,2025-07-01
253,(주)첼링,부산광역시 사하구 을숙도대로724번길 2 ,8,051-264-9750,051-264-9754,날붙이 제조업,주방용품,0,2025-07-01
254,(주)케이티엠,부산광역시 사하구 구평로 29-6 ,15,051-264-6250,051-264-6240,컨베이어장치 제조업,conveyor,0,2025-07-01
255,(주)코렘덕신,부산광역시 사하구 을숙도대로 574 ,6,051-264-2300,051-261-2662,산업용 냉장 및 냉동 장비 제조업 외 2 종,산업용냉장+냉동,0,2025-07-01
256,(주)코리아카누트,부산광역시 사하구 장림로 136 ,18,051-266-7840,051-266-7842,항공기용 부품 제조업,항공기부품,0,2025-07-01
257,(주)코리아카누트,부산광역시 사하구 장림로 136 ,23,051-266-7840,051-266-7842,항공기용 부품 제조업,항공기부품,0,2025-07-01
258,(주)코메론,부산광역시 사하구 장평로 73 외 5필지,106,051-290-3100,051-290-3114,기타 측정·시험·항해·제어 및 정밀기기 제조업 외 1 종,줄자+톱,11,2025-07-01
259,(주)코스모아,부산광역시 사하구 감천항로419번길 53 ,27,051-266-2604,051-266-2605,기타 직물제품 제조업,구명조끼,0,2025-07-01
260,(주)코원아이엔씨 부산공장,부산광역시 사하구 사하로 74-5 ,10,051-208-9994,051-208-9994,근무복·작업복 및 유사의복 제조업 외 2 종,의류,0,2025-07-01
261,(주)콩고토탈마린,부산광역시 사하구 구평로 21-3 ,11,051-417-6661,051-417-6662,선박 구성 부분품 제조업,원치구성품+선박배관 등,0,2025-07-01
262,(주)크로시스,부산광역시 사하구 신산로 72-1 ,36,051-220-9934,051-220-9930,기체 여과기 제조업 외 5 종,조수기+산업용수처리설비+함안정기+합성수지선+기타 선박,0,2025-07-01
263,(주)태일비즈,부산광역시 사하구 장림로 283 3층,21,051-206-2146,051-206-2147,남자용 겉옷 제조업 외 13 종,남녀정복+내의+근무복+우의+이불커버+천막+신탁보+체육복 등,0,2025-07-01
264,(주)태일산업,부산광역시 사하구 하신중앙로3번가길 36 ,40,051-265-2646,051-263-7208,그 외 자동차용 신품 부품 제조업 외 3 종,솔레노이드밸브,0,2025-07-01
265,(주)태정이엔지,부산광역시 사하구 감천항로419번길 62 외 1필지,18,051-261-4977,051-261-4979,구조용 금속 판제품 및 공작물 제조업 외 8 종,CCTV지주+가로등주 등,0,2025-07-01
266,(주)태정이엔지,부산광역시 사하구 감천항로405번길 40 ,10,051-261-4977,051-261-4979,액정 표시장치 제조업 외 14 종,CCTV카메라 및 구조물+신호등+신호제어기기,0,2025-07-01
267,(주)태현이엔지,부산광역시 사하구 감천항로 221-9 ,13,051-361-8272,051-361-8278,액체 펌프 제조업 외 18 종,액체 펌프,0,2025-07-01
268,(주)태흥씨푸드,부산광역시 사하구 다대동로6번길 17 401호 ,10,051-265-5087,051-265-5086,기타 수산동물 가공 및 저장 처리업,반건조 수산물가공제품,0,2025-07-01
269,(주)티앤피,부산광역시 사하구 하신중앙로27번길 17 1동 302호,4,051-256-0618,051-325-0618,전기회로 개폐·보호장치 제조업 외 1 종,전기부품(스위치 등),0,2025-07-01
270,(주)파워록,부산광역시 사하구 비봉로 23 ,11,070-8261-9664,051-205-9664,강관 제조업 외 1 종,후렌지배관+관이음쇠,1,2025-07-01
271,(주)평길해양,부산광역시 사하구 감천항로 517 2층,13,051-412-9700,051-413-9700,강선 건조업,선박,0,2025-07-01
272,(주)포코엔지니어링,부산광역시 사하구 감천항로405번길 21 ,48,051-200-8900,051-200-8901,강선 건조업 외 14 종,선박부품+강선건조 및 선박수리,0,2025-07-01
273,(주)푸른바다,부산광역시 사하구 감천항로 165-5 ,25,051-265-4904,051-243-4908,수산동물 냉동품 제조업 외 1 종,자반고등어+가공 가오리(탈피),6,2025-07-01
274,(주)풍진테크,부산광역시 사하구 구평동 475-5 외 2필지,9,051-261-5614,051-261-5615,선박 구성 부분품 제조업,앵글+플래트,0,2025-07-01
275,(주)프라임전기,부산광역시 사하구 장평로 122-4 ,13,051-205-7251,051-205-3970,전기회로 개폐·보호장치 제조업 외 1 종,전기배선기구,0,2025-07-01
276,(주)피엔에이코리아,부산광역시 사하구 장림번영로104번길 28 ,11,031-863-8634,031-863-8635,근무복·작업복 및 유사의복 제조업 외 14 종,의류,0,2025-07-01
277,(주)핀텍,부산광역시 사하구 장림번영로104번길 28 ,29,070-7124-9577,051-265-4251,가방 및 기타 보호용 케이스 제조업,AIRBAG,0,2025-07-01
278,(주)하나디에스,부산광역시 사하구 장림로 80-1 3층,2,051-341-7400,051-335-3400,전구 및 램프 제조업 외 2 종,LED조명+전광판,0,2025-07-01
279,(주)하나엘앤티,부산광역시 사하구 하신중앙로 111 ,8,051-972-7845,,그 외 기타 금속가공업 외 1 종,절단+절곡+용접+제관(수수료 또는 계약),0,2025-07-01
280,(주)하나테크,부산광역시 사하구 하신중앙로3번길 10-2 ,7,051-265-6195,051-265-6196,산업용 냉장 및 냉동 장비 제조업 외 3 종,공기조화기 외,0,2025-07-01
281,(주)한국과학모형,부산광역시 사하구 하신중앙로3번가길 11 ,14,051-265-4125,051-265-4126,전시용 모형 제조업 외 4 종,선박모형,0,2025-07-01
282,(주)한국마린산업,부산광역시 사하구 다산로 12-1 ,14,051-206-4239,051-202-4927,낚시 및 수렵용구 제조업 외 2 종,낚시 및 수렵장비 등,0,2025-07-01
283,(주)한국웰딩,부산광역시 사하구 장평로71번길 30 ,35,051-264-8744,051-264-8733,그 외 자동차용 신품 부품 제조업 외 3 종,쇼바+에어백,0,2025-07-01
284,(주)한국종합기계,부산광역시 사하구 두송로 215 ,18,051-416-7583,051-416-7517,선박 구성 부분품 제조업 외 9 종,선박 부분품,0,2025-07-01
285,(주)한국택트,부산광역시 사하구 장평로132번길 17 ,2,,,천막·텐트 및 유사 제품 제조업 외 1 종,캔버스제작,0,2025-07-01
286,(주)한독크랭크,부산광역시 사하구 감천항로419번길 15 ,17,051-416-0352,051-413-7369,선박 구성 부분품 제조업,선박 기관 부품,0,2025-07-01
287,(주)한려엔쵸비,부산광역시 사하구 감천항로419번길 7,30,051-261-1501,051-261-1508,수산동물 냉동품 제조업 외 1 종,냉동수산식품,0,2025-07-01
288,(주)한진식품,부산광역시 사하구 두송로 277,20,051-261-9944,051-261-0013,수산동물 건조 및 염장품 제조업 외 1 종,조미건어포+캔디류,0,2025-07-01
289,(주)한진식품,부산광역시 사하구 장림번영로 88-3 ,69,051-261-9944,051-261-0013,수산동물 건조 및 염장품 제조업,건포류 어포,0,2025-07-01
290,(주)해원,부산광역시 사하구 두송로 232 ,8,051-264-6245,051-264-6242,기타 목재가구 제조업,사무가구,0,2025-07-01
291,(주)혁성,부산광역시 사하구 을숙도대로755번길 108 ,74,051-262-1229,051-262-1315,기타 신발 제조업,신발(운동화),0,2025-07-01
292,(주)현대전기제작소,부산광역시 사하구 을숙도대로755번길 15-4 ,6,051-418-1701,051-417-1700,배전반 및 전기 자동제어반 제조업 외 1 종,배전반 및 자동제어반,0,2025-07-01
293,(주)현성테크,부산광역시 사하구 두송로194번길 19,9,051-262-1691,051-262-3652,자동차용 신품 동력전달장치 제조업 외 1 종,자동차부품,0,2025-07-01
294,(주)현진창호금속,부산광역시 사하구 신산북로49번길 3 ,8,051-294-8321,051-294-8323,금속 문·창·셔터 및 관련제품 제조업,창호,0,2025-07-01
295,(주)현텍승강기,부산광역시 사하구 다대로354번안길 69 ,13,051-262-8090,051-262-8093,승강기 제조업,화물용승강기 전장품,0,2025-07-01
296,(주)호페코리아,부산광역시 사하구 감천항로419번길 50 ,21,051-403-5851,051-403-5823,선박 구성 부분품 제조업 외 1 종,선박 부품외,0,2025-07-01
297,(주)화신볼트산업,부산광역시 사하구 하신중앙로3번길 64  ,101,051-264-2522,051-264-2526,볼트 및 너트류 제조업 외 3 종,볼트+너트,0,2025-07-01
298,(주)화신볼트산업,부산광역시 사하구 하신중앙로3번길 66 ,9,051-264-2522,051-264-2526,볼트 및 너트류 제조업 외 2 종,볼트+너트 등,0,2025-07-01
299,(주)황보,부산광역시 사하구 하신중앙로 113 ,93,051-204-7821,051-205-7824,직물·편조원단 및 의복류 염색 가공업,편직원단 염색가공,0,2025-07-01
300,(주)황보,부산광역시 사하구 을숙도대로 520 ,48,051-204-7821,051-205-7824,편조원단 제조업,편직원단,0,2025-07-01
301,(주)황보제5공장,부산광역시 사하구 을숙도대로569번길 21 ,23,051-204-7821,051-204-8218,편조원단 제조업,원단편조+장갑편조,0,2025-07-01
302,(주)황토식품,부산광역시 사하구 다대로300번길 29,18,051-265-9634,051-265-9643,기타 과실ㆍ채소 가공 및 저장 처리업,땅콩+경과류 가공품+조미건어표,0,2025-07-01
303,(주)희원기업,부산광역시 사하구 장림동 산 152,15,051-805-6130,051-817-7089,금속 문·창·셔터 및 관련제품 제조업,알루미늄창호+셔터,0,2025-07-01
304,(주)희제식품,부산광역시 사하구 다대로497번길 22 외 1필지,10,051-264-2922,051-264-2933,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,우육+돈육,0,2025-07-01
305,(합)장수산업,부산광역시 사하구 신산북로 35 ,12,051-203-4027,051-203-4028,인형 및 장난감 제조업,비승용 장난감 제조업,0,2025-07-01
306,B.D ENG,부산광역시 사하구 하신중앙로27번길 17 102호 ,3,051-263-1644,051-263-8144,배전반 및 전기 자동제어반 제조업,전기배전반+판넬,0,2025-07-01
307,CMG테크윈,부산광역시 사하구 서포로 42 외 1필지,21,051-264-5877,051-264-5876,배전반 및 전기 자동제어반 제조업,선교원격조정장치,0,2025-07-01
308,DS전기,부산광역시 사하구 장림로 80-3,6,055-338-3125,055-338-3127,전기회로 개폐·보호장치 제조업 외 1 종,전기용품(차단기조립),0,2025-07-01
309,GTM-KOREA,부산광역시 사하구 장림번영로104번길 28 ,13,051-262-3981,051-262-3985,그 외 기타 특수목적용 기계 제조업 외 2 종,신발제조용 산업기계,0,2025-07-01
310,KMG(거명),부산광역시 사하구 하신번영로 419 5층 501호 ,10,051-804-2213,051-817-5469,전기회로 개폐·보호장치 제조업 외 3 종,PCB메인회로기판,0,2025-07-01
311,MH테크,부산광역시 사하구 장평로146번길 7 ,1,051-204-0070,051-203-0061,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,도로표지병+표지봉,0,2025-07-01
312,SKM공업사,부산광역시 사하구 장평로15번길 11 외 1필지,4,051-263-5670,051-263-9206,알루미늄주물 주조업 외 1 종,동+알루미늄 주조,0,2025-07-01
313,SMT,부산광역시 사하구 장평로 179 ,15,051-262-6410,051-262-6413,컨베이어장치 제조업 외 1 종,선박관련부품,0,2025-07-01
314,SM테크,부산광역시 사하구 감천항로405번길 72 ,6,051-263-5400,051-415-1402,컨베이어장치 제조업 외 1 종,콘베어장치,0,2025-07-01
315,가온수산,부산광역시 사하구 다대로605번길 17 지하1층,4,070-8880-7585,051-265-7585,수산동물 냉동품 제조업,고등어+명태+기타 냉동품,0,2025-07-01
316,가은특수기계,부산광역시 사하구 신평동 567-23,0,051-292-3960,051-292-3970,그 외 자동차용 신품 부품 제조업 외 3 종,자동차 부품 제조,0,2025-07-01
317,강인종합상사,부산광역시 사하구 하신중앙로54번길 49 ,8,051-263-0995,051-266-0996,셔츠 및 블라우스 제조업 외 1 종,셔츠,0,2025-07-01
318,거림,부산광역시 사하구 장평로132번길 23 ,14,051-266-0040,051-266-0042,플라스틱 접착처리 제품 제조업 외 2 종,가정용 프라스틱제품,0,2025-07-01
