연번,업체명,소재지,업종구분,산업분류코드,전화번호,팩스번호,고용인원수,데이터기준일자
843,(주)에이치에스화신,광주광역시 광산구 소촌로149번길 29(소촌동),그 외 기타 봉제의복 제조업  ,14199,062-946-1531,062-946-1354,12,2025-09-04
844,(주)에이치엔스마트코리아,광주광역시 광산구 평동로803번길 147 (옥동),구조용 금속 판제품 및 공작물 제조업  ,25112,,0505-369-2239,3,2025-09-04
845,(주)에이치엔시,광주광역시 광산구 평동산단7번로 111 (연산동),그 외 기타 특수목적용 기계 제조업  ,29299,062-971-7874,062-971-7876,15,2025-09-04
846,(주)에이치제이글로벌,광주광역시 광산구 덕림동 1121,비디오 및 기타 영상기기 제조업,26519,ARS-1668-1530,,18,2025-09-04
847,(주)에이치케이정공 ,광주광역시 광산구 진곡산단6번로 1-12 (고룡동),볼트 및 너트류 제조업  ,25941,062-956-7081,062-956-7082,17,2025-09-04
848,(주)에이치티솔루션,"광주광역시 광산구 평동산단8번로 28-20, B동 (연산동)",에너지 저장장치 제조업  ,28113,062-456-0035,062-531-6878,26,2025-09-04
849,(주)에이투,광주광역시 광산구 평동산단로 252 (월전동),간판 및 광고물 제조업,33910,062-611-5721,062-611-5729,13,2025-09-04
850,(주)에이투,광주광역시 광산구 임방울대로 611-20 (도천동),간판 및 광고물 제조업  ,33910,062-611-5721,062-611-5729,13,2025-09-04
851,(주)에이팩스,광주광역시 광산구 평동산단7번로 42-3(연산동),"금속 문, 창, 셔터 및 관련제품 제조업",25111,062-943-8400,062-943-5571,16,2025-09-04
852,(주)에코드림,광주광역시 광산구 하남산단2번로 39 (하남동),기타 직물제품 제조업,13229,062-954-6301,062-954-6302,18,2025-09-04
853,(주)에코비엘씨,"광주광역시 광산구 남부대길 38, 8304호(월계동, 협동관)",액체 여과기 제조업  ,29176,,,4,2025-09-04
854,(주)에코비트엠엔에스,광주광역시 광산구 평동산단로 229 (옥동),컨베이어장치 제조업,29163,02-6901-8299,02-6901-8292,3,2025-09-04
855,(주)에코씨엠,광주광역시 광산구 하남산단7번로 123 (오선동),구조용 금속 판제품 및 공작물 제조업,25112,062-232-9006,062-232-9006,5,2025-09-04
856,(주)에코전력,광주광역시 광산구 평동산단로 143 (월전동),전동기 및 발전기 제조업  ,28111,,062-943-4572,32,2025-09-04
857,(주)에코텍,광주광역시 광산구 평동산단로143번길 28-8 (월전동),금속 절삭기계 제조업,29223,062-942-3263,062-942-3264,9,2025-09-04
858,(주)에코퓨어셀,광주광역시 광산구 평동산단로 143 (월전동),전동기 및 발전기 제조업  ,28111,062-942-4570,062-942-4571,6,2025-09-04
859,(주)에코프랑,"광주광역시 광산구 어등대로 417, 창업보육센터 5302-1호 (서봉동, 호남대학교)",그 외 기타 분류 안된 화학제품 제조업  ,20499,,062-383-2902,3,2025-09-04
860,(주)에코프랑,광주광역시 광산구 하남산단6번로 21-9 (오선동),기체 여과기 제조업  ,29175,061-334-8018,061-334-4018,6,2025-09-04
861,(주)에코플레임,"광주광역시 광산구 하남산단천변좌로 19, 106호(오선동)","산업용 오븐, 노 및 노용 버너 제조업",29150,062-251-8815,062-262-8814,2,2025-09-04
862,(주)에코홈,"광주광역시 광산구 호남대길 47, 현명관 3층, 5302-1호(서봉동, 현명관)",그 외 기타 분류 안된 화학제품 제조업  ,20499,,061-334-4018,2,2025-09-04
863,(주)엔디,"광주광역시 광산구 풍영철길로 15, 콜롬버스 월드 302호 (우산동)",기타 인쇄업  ,18119,062-611-8812,062-611-8816,3,2025-09-04
864,(주)엔씨,광주광역시 광산구 손재로 436-78 (오선동),기타 가정용 전기기기 제조업,28519,062-954-2082,062-954-2082,3,2025-09-04
865,(주)엔에스정공,광주광역시 광산구 진곡산단2번로 58 (오선동),주형 및 금형 제조업,29293,062-952-7066,,10,2025-09-04
866,(주)엔에이치인터내셔널,광주광역시 광산구 평동산단2번로 155 (옥동) 외 2필지,육상 금속 골조 구조재 제조업  ,25113,062-943-8676,062-943-8674,39,2025-09-04
867,(주)엔터산업,광주광역시 광산구 평동로803번길 83-34 (용동),그 외 자동차용 신품 부품 제조업  ,30399,062-955-3235,062-955-3236,6,2025-09-04
868,(주)엔터산업,광주광역시 광산구 평동로803번길 83-21 (용동),그 외 자동차용 신품 부품 제조업  ,30399,062-955-3235,062-955-3236,17,2025-09-04
869,(주)엔테코,광주광역시 광산구 하남산단9번로 33 (안청동),그 외 기타 전자부품 제조업  ,26299,062-952-7272,,8,2025-09-04
870,(주)엘렉스글로벌,광주광역시 광산구 하남산단6번로 24-16 (오선동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,062-956-8002,062-956-8003,10,2025-09-04
871,(주)엘렉스글로벌,광주광역시 광산구 하남산단6번로 24-17 (오선동),그 외 기타 플라스틱 제품 제조업  ,22299,062-956-8002,,5,2025-09-04
872,(주)엘렉스글로벌 3공장,광주광역시 광산구 손재로 436-8 (오선동),기타 기계.장비 조립용 플라스틱 제품 제조업,22249,062-956-8002,062-956-8003,8,2025-09-04
873,(주)엘렉스코팅,광주광역시 광산구 하남산단3번로 123 (장덕동),도장 및 기타 피막처리업,25923,062-956-8002,,26,2025-09-04
874,(주)엘렉스코팅,광주광역시 광산구 평동산단로 239-11 (옥동),도장 및 기타 피막처리업,25923,062-956-8002,062-956-8003,18,2025-09-04
875,(주)엘에스테크,광주광역시 광산구 평동산단2번로 189 (장록동),육상 금속 골조 구조재 제조업,25113,062-944-1127,062-944-1128,7,2025-09-04
876,(주)엘에이치티엠,광주광역시 광산구 월전동 933번지,산업용 냉장 및 냉동 장비 제조업,29171,062-944-9022,062-944-9024,11,2025-09-04
877,(주)엘에이피,"광주광역시 광산구 진곡산단4번로 67-27, 주식회사엘에이피(진곡동, (주)에어패스)",산업용 냉장 및 냉동 장비 제조업  ,29171,062-944-9926,,3,2025-09-04
878,(주)엘에프엠,광주광역시 광산구 빛동3로 14 (삼거동),그 외 기타 특수목적용 기계 제조업,29299,062-650-6588,,10,2025-09-04
879,(주)엘엑스,광주광역시 광산구 하남산단7번로 68 (오선동),그 외 기타 1차 철강 제조업  ,24199,062-951-1945,,9,2025-09-04
880,(주)엠에스금속개발,광주광역시 광산구 금봉로64번길 30 (소촌동),구조용 금속 판제품 및 공작물 제조업  ,25112,062-941-2361,,2,2025-09-04
881,(주)엠에스테크,광주광역시 광산구 평동산단로143번길 19 (월전동),금속탱크 및 저장용기 제조업  ,25122,062-946-2505,062-946-2506,10,2025-09-04
882,(주)엠제이텍,광주광역시 광산구 용아로 649(오선동),그 외 기타 플라스틱 제품 제조업,22299,062-710-0193,,4,2025-09-04
883,(주)엠케이산업 ,광주광역시 광산구 진곡산단6번로 1-18 (고룡동),절삭가공 및 유사처리업,25924,062-972-7621,062-972-7622,12,2025-09-04
884,(주)엠케이솔라,광주광역시 광산구 용아로 631-14(오선동),전동기 및 발전기 제조업,28111,,,3,2025-09-04
885,(주)엠케이에스,"광주광역시 광산구 하남산단6번로 57,  (오선동) 지식동 8층 10호 외 3필지",배전반 및 전기 자동제어반 제조업  ,28123,062-956-0220,062-956-0221,8,2025-09-04
886,(주)엠코리아,광주광역시 광산구 평동로803번길 83-10 (용동),기타 직물제품 제조업  ,13229,,062-944-6030,3,2025-09-04
887,(주)엠피에스,광주광역시 광산구 하남산단8번로 114(오선동),그 외 기타 전자부품 제조업  ,26299,031-304-0322,,6,2025-09-04
888,(주)엠피에스광주법인,"광주광역시 광산구 하남산단8번로 114(오선동, 주식회사엠피에스)",그 외 기타 전자부품 제조업,26299,062-953-4785,,10,2025-09-04
889,(주)여주엔지니어링,"광주광역시 광산구 평동산단8번로 110-4(연산동, 광산기전)",배전반 및 전기 자동제어반 제조업  ,28123,062-655-9754,062-513-0746,10,2025-09-04
890,(주)연우하이테크,광주광역시 광산구 하남산단7번로 153 (오선동),기타 플라스틱 발포 성형제품 제조업,22259,062-955-0778,062-954-0779,8,2025-09-04
891,(주)연합열처리,광주광역시 광산구 하남산단9번로 39-12 (안청동),"도금, 착색 및 기타 표면처리강재 제조업",24191,062-961-1072,062-959-7861,3,2025-09-04
892,(주)연호엠에스,광주광역시 광산구 평동산단3번로 61 (용동),그 외 기타 전자부품 제조업  ,26299,062-0449-0772,062-449-0771,100,2025-09-04
893,(주)연호엠에스,광주광역시 광산구 평동로803번길 43-28 (옥동),그 외 기타 전자부품 제조업  ,26299,062-449-0772,062-449-0771,100,2025-09-04
894,(주)연호엠에스,광주광역시 광산구 손재로 237 (하남동),그 외 기타 전자부품 제조업  ,26299,062-449-0772,062-449-0771,78,2025-09-04
895,(주)연호전자,광주광역시 광산구 어등대로 595 (소촌동) 외 1필지,기타 음향기기 제조업,26529,062-952-0772,062-952-0771,20,2025-09-04
896,(주)연호전자,광주광역시 광산구 손재로 246 (하남동),그 외 기타 전자부품 제조업  ,26299,062-952-0772,,1,2025-09-04
897,(주)영도플라테크,광주광역시 광산구 송도로114번길 78 (황룡동),"플라스틱 선, 봉, 관 및 호스 제조업  ",22211,062-943-0153,062-943-0144,7,2025-09-04
898,(주)영림테크,광주광역시 광산구 평동산단로 246-19 (월전동),그 외 기타 전자부품 제조업  ,26299,062-945-2644,062-945-2642,40,2025-09-04
899,(주)영신이엔지,광주광역시 광산구 평동매화길 70 (지죽동),구조용 금속 판제품 및 공작물 제조업,25112,062-941-0466,062-962-0467,4,2025-09-04
900,(주)영주실업,광주광역시 광산구 평동로803번길 83-26(용동),"고무, 화학섬유 및 플라스틱 성형기 제조업",29291,,062-9531-1120,8,2025-09-04
901,(주)영진노트,광주광역시 광산구 하남산단9번로 186-39 (도천동),문구용 종이제품 제조업,17901,062-367-7334,062-366-1010,6,2025-09-04
902,(주)영진하이텍,광주광역시 광산구 평동산단2번로 24(용동),기타 인쇄업,18119,,062-946-0572,5,2025-09-04
903,(주)영풍,"광주광역시 광산구 풍영철길로 20-3, 2층 (우산동)",전시 및 광고용 조명장치 제조업  ,28423,062-383-1402,062-371-4700,30,2025-09-04
904,(주)영풍금형,"광주광역시 광산구 진곡산단3번로 59-36, 임차기업 (진곡동)",주형 및 금형 제조업,29293,062-952-0352,062-952-0343,10,2025-09-04
905,(주)영화엔지니어링,광주광역시 광산구 빛그린18로 36 (삼거동),기타 물품 취급장비 제조업,29169,062-955-4148,062-955-4149,13,2025-09-04
906,(주)예광창호 ,광주광역시 광산구 하남산단3번로 14-52 (장덕동),"금속 문, 창, 셔터 및 관련제품 제조업  ",25111,062-572-9960,062-572-9970,11,2025-09-04
907,(주)예광포장인쇄,광주광역시 광산구 하남산단6번로 14-6 (오선동),기타 인쇄업  ,18119,062-956-7777,062-955-1818,6,2025-09-04
908,(주)예성,광주광역시 광산구 하남산단10번로 131 (안청동),도장 및 기타 피막처리업,25923,062-959-0777,062-953-2495,10,2025-09-04
909,(주)예스신환,광주광역시 광산구 하남산단3번로 34 (장덕동),"고무, 화학섬유 및 플라스틱 성형기 제조업  ",29291,062-973-8822,062-973-8820,5,2025-09-04
910,(주)예우산업,광주광역시 광산구 하남산단6번로 21-14 (오선동),"금속 문, 창, 셔터 및 관련제품 제조업  ",25111,062-945-5025,062-945-5026,6,2025-09-04
911,(주)예천,광주광역시 광산구 손재로 392 (오선동),"플라스틱 포대, 봉투 및 유사제품 제조업",22231,062-952-5255,062-952-5277,2,2025-09-04
912,(주)오광테크,광주광역시 광산구 평동로803번길 43-8 (옥동),그 외 금속 압형제품 제조업,25914,,062-959-4201,15,2025-09-04
913,(주)오성에어텍,광주광역시 광산구 하남산단천변좌로 25 (오선동),가정용 및 산업용 공기 조화장치 제조업  ,29172,062-973-6569,,8,2025-09-04
914,(주)오성이엔지,광주광역시 광산구 빛동14로 20(덕림동),그 외 기타 금속가공업,25929,062-955-3280,,5,2025-09-04
915,(주)오성정보통신,광주광역시 광산구 평동로803번길 43-8 (옥동),유선 통신장비 제조업  ,26410,062-383-2600,062-382-4441,21,2025-09-04
916,(주)오솔 ,광주광역시 광산구 장덕동 977-13번지,주형 및 금형 제조업,29293,,,10,2025-09-04
917,(주)오아시스케이블,광주광역시 광산구 하남산단9번로 136 (안청동),광섬유 케이블 제조업,28301,062-716-6616,,4,2025-09-04
918,(주)오은,광주광역시 광산구 하남산단4번로 95-9 (장덕동),주형 및 금형 제조업,29293,,,5,2025-09-04
919,(주)오케이쏠라,광주광역시 광산구 평동산단5번좌로 123 (월전동),전동기 및 발전기 제조업,28111,061-394-7750,061-394-7751,3,2025-09-04
920,(주)오토컷,"광주광역시 광산구 하남산단6번로 57,  (오선동) 산업동 5층 511,512호",그 외 기타 플라스틱 제품 제조업  ,22299,062-710-4678,,4,2025-09-04
921,(주)온빛,광주광역시 광산구 사암로92번길 35-38 (우산동),산업용 냉장 및 냉동 장비 제조업  ,29171,062-943-9250,,5,2025-09-04
922,(주)올리브온,"광주광역시 광산구 남부대길 38, 창업보육센터 8301호(월계동, 협동관)",경 인쇄업,18111,,,3,2025-09-04
923,(주)올앤,광주광역시 광산구 용아로 581 (장덕동),주형 및 금형 제조업,29293,,,5,2025-09-04
924,(주)옵토닉스,광주광역시 광산구 하남산단4번로 87 (장덕동),의료용 가구 제조업,27196,062-973-1260,062-973-1261,13,2025-09-04
925,(주)옵티링크,"광주광역시 광산구 장신로 261, 201호(신창동, 드림프라자)",유선 통신장비 제조업  ,26410,062-710-6300,062-710-6304,7,2025-09-04
926,(주)와우공조산업,광주광역시 광산구 신창동 1070-11,구조용 금속 판제품 및 공작물 제조업  ,25112,,,4,2025-09-04
927,(주)와이디산업,광주광역시 광산구 평동로803번길 117-42 (용동),가정용 및 산업용 공기 조화장치 제조업  ,29172,062-943-8589,062-943-8590,32,2025-09-04
928,(주)와이디피,광주광역시 광산구 평동산단로169번길 61 (월전동),주형 및 금형 제조업,29293,062-946-0330,062-946-8700,16,2025-09-04
929,(주)와이비제이메탈,"광주광역시 광산구 진곡산단5번로 66, (주)와이비제이메탈(진곡동)",기타 구조용 금속제품 제조업,25119,062-952-6312,,3,2025-09-04
930,(주)와이에스피 월전동 지점,광주광역시 광산구 평동산단로 165 (월전동),그 외 자동차용 신품 부품 제조업  ,30399,062-600-1800,062-600-1807,60,2025-09-04
931,(주)와이에이치비에코,"광주광역시 광산구 손재로 392, 나동 1층 1호실 (오선동)",기체 여과기 제조업  ,29175,02-2029-6400,02-2029-6404,3,2025-09-04
932,(주)와이에이치비에코 ,광주광역시 광산구 장덕동 971-10번지,가정용 및 산업용 공기 조화장치 제조업  ,29172,062-953-2995,062-953-2998,6,2025-09-04
933,(주)와이에이치비에코 광주지점 ,광주광역시 광산구 하남산단5번로 45 (장덕동) 외 1필지,가정용 및 산업용 공기 조화장치 제조업  ,29172,062-953-2995,062-953-2998,6,2025-09-04
934,(주)와이에이치비에코광주공장,광주광역시 광산구 하남산단10번로 115-33 (안청동),기체 여과기 제조업  ,29175,062-953-2995,062-953-2998,6,2025-09-04
935,(주)와이엘에스티,광주광역시 광산구 평동산단외로 189 (지죽동),일반용 전기 조명장치 제조업  ,28422,,062-385-9391,2,2025-09-04
936,(주)와이지원 광주공장,광주광역시 광산구 하남산단9번로 186-13 (도천동),톱 및 호환성 공구 제조업  ,25934,062-951-9212,062-951-9222,180,2025-09-04
937,(주)와이케이시스템,"광주광역시 광산구 진곡산단4번로 51-26, 다동, 2 (진곡동)",산업용 난방보일러 및 방열기 제조업  ,25121,062-714-2670,,6,2025-09-04
938,(주)왕성테크,광주광역시 광산구 하남산단7번로 58 (오선동),그 외 자동차용 신품 부품 제조업,30399,062-952-6228,062-952-6227,35,2025-09-04
939,(주)왕성테크,"광주광역시 광산구 진곡산단6번로 25-72, (주)왕성테크(A3-2-1)(고룡동)",육상 금속 골조 구조재 제조업,25113,062-952-6228,,3,2025-09-04
940,(주)용인쇼파,광주광역시 광산구 요기동 301-4번지,소파 및 기타 내장가구 제조업,32019,,,3,2025-09-04
941,(주)용진기업,광주광역시 광산구 손재로 368-69 (오선동),그 외 자동차용 신품 부품 제조업,30399,062-959-8047,062-959-7898,16,2025-09-04
942,(주)용천기업,광주광역시 광산구 평동산단2번로 31-1 (용동),차체 및 특장차 제조업  ,30201,062-954-1077,062-945-1078,7,2025-09-04
943,(주)우강,광주광역시 광산구 고봉로506번길 53 (고룡동),"금속 문, 창, 셔터 및 관련제품 제조업",25111,062-524-0900,062-524-0901,5,2025-09-04
944,(주)우광이엔씨,"광주광역시 광산구 평동산단8번로 84-12, 4동 (연산동)",일반용 전기 조명장치 제조업,28422,031-215-9872,031-215-9873,3,2025-09-04
945,(주)우드그라피,광주광역시 광산구 기룡길 43 (하산동) 외 1필지,기타 목재가구 제조업  ,32029,,062-943-3991,5,2025-09-04
946,(주)우등산업,광주광역시 광산구 하남산단7번로 66 (오선동),그 외 자동차용 신품 부품 제조업  ,30399,062-953-8981,062-953-8983,12,2025-09-04
947,(주)우등산업,광주광역시 광산구 진곡산단중앙로 264 (고룡동),그 외 자동차용 신품 부품 제조업,30399,062-953-8981,062-953-8983,15,2025-09-04
948,(주)우뢰,광주광역시 광산구 신창동 1075-6번지,일반용 전기 조명장치 제조업,28422,,062-956-4049,5,2025-09-04
949,(주)우리그레이팅,"광주광역시 광산구 어등대로621번길 7-5, 시동, 디동의 1/2(소촌동)",구조용 금속 판제품 및 공작물 제조업,25112,,062-953-1263,3,2025-09-04
950,(주)우리엔지니어링,광주광역시 광산구 진곡산단중앙로 281 (고룡동),산업처리공정 제어장비 제조업,27216,062-956-6266,062-956-6267,8,2025-09-04
951,(주)우리엠텍,광주광역시 광산구 하남산단8번로 75 (안청동),주형 및 금형 제조업,29293,031-278-2088,,13,2025-09-04
952,(주)우리원테크,광주광역시 광산구 빛12로 4(덕림동),그 외 기타 특수목적용 기계 제조업  ,29299,062-955-0217,062-955-0219,14,2025-09-04
953,(주)우리인더스트리,광주광역시 광산구 평동로803번길 117-16 (용동),포장용 플라스틱 성형용기 제조업  ,22232,062-943-3171,062-943-3172,4,2025-09-04
954,(주)우리페이퍼,광주광역시 광산구 하남산단5번로 93 (장덕동),그 외 기타 종이 및 판지 제품 제조업,17909,062-956-8117,062-956-8119,6,2025-09-04
955,(주)우성마그네트,광주광역시 광산구 덕림동 1201-10 (빛그린국가산업단지),그 외 기타 전기장비 제조업,28909,062-514-0550,062-514-0561,4,2025-09-04
956,(주)우성마그네트 ,광주광역시 광산구 장덕동 988-13번지,그 외 기타 전기장비 제조업  ,28909,062-514-0550,062-514-0561,6,2025-09-04
957,(주)우성정공,광주광역시 광산구 용아로 552-27 (장덕동) 외 1필지,주형 및 금형 제조업,29293,062-973-7090,,18,2025-09-04
958,(주)우성하이테크,광주광역시 광산구 하남산단7번로 135-16 (오선동),액체 여과기 제조업  ,29176,62730366,,6,2025-09-04
959,(주)우송엔지니어링,광주광역시 광산구 원두로 37 (월전동) A동 1호,분사기 및 소화기 제조업  ,29192,062-956-1256,,4,2025-09-04
960,(주)우정금속,광주광역시 광산구 하남산단2번로 103 (하남동) 외 1필지,도금업,25922,062-961-2149,062-953-0314,7,2025-09-04
961,(주)우정이엔지,"광주광역시 광산구 진곡산단중앙로 52, A동 (주)우정이엔지(A31-2)(오선동)",그 외 기타 일반목적용 기계 제조업  ,29199,062-575-6165,,5,2025-09-04
962,(주)운암솔루션,"광주광역시 광산구 진곡산단중앙로 274, 임차기업 (고룡동)",금속탱크 및 저장용기 제조업  ,25122,062-457-9834,062-962-1955,3,2025-09-04
963,(주)운테크,"광주광역시 광산구 하남산단천변좌로 19, 113호 (오선동)","전기회로 개폐, 보호장치 제조업  ",28121,062-446-6964,062-446-6965,1,2025-09-04
964,(주)운현궁,광주광역시 광산구 평동로803번안길 104 (용동),침구 및 관련제품 제조업,13221,062-374-0535,062-383-3448,19,2025-09-04
965,(주)웅지하이텍,광주광역시 광산구 빛중앙6로 17(덕림동) 외 1필지,플라스틱 접착처리 제품 제조업,22291,063-536-6595,063-536-6598,45,2025-09-04
966,(주)원광산업,광주광역시 광산구 노안삼도로 1363 (삼거동) 외 1필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업  ,23325,,062-955-4475,12,2025-09-04
967,(주)원미스틸,광주광역시 광산구 도천동 123-3번지,육상 금속 골조 구조재 제조업  ,25113,062-962-8717,062-961-8717,10,2025-09-04
968,(주)원석 ,광주광역시 광산구 하남산단1번로 113 (하남동),그 외 기타 분류 안된 화학제품 제조업  ,20499,062-955-6098,062-955-6097,4,2025-09-04
969,(주)원솔루션,광주광역시 광산구 사암로106번길 47-17 (우산동),방사선 장치 제조업,27111,062-945-5775,062-945-5789,5,2025-09-04
970,(주)원솔루션,광주광역시 광산구 진곡산단5번로 35 (진곡동),방사선 장치 제조업,27111,062-945-5775,,19,2025-09-04
971,(주)원아이티,"광주광역시 광산구 진곡산단4번로 51-11, 나동(A15-7)(진곡동)",일반용 전기 조명장치 제조업  ,28422,062-576-8888,,3,2025-09-04
972,(주)원아이티,광주광역시 광산구 상무대로 249-1 (소촌동),유선 통신장비 제조업  ,26410,062-576-8888,,5,2025-09-04
973,(주)원영금속,광주광역시 광산구 소촌로123번길 21 (소촌동),그 외 기타 분류 안된 금속 가공 제품 제조업  ,25999,062-945-9446,062-945-9447,8,2025-09-04
974,(주)원인터아키,광주광역시 광산구 북문대로 363-72 (신창동),기타 목재가구 제조업  ,32029,,062-955-8039,5,2025-09-04
975,(주)원일,광주광역시 광산구 평동산단로 262 (월전동) 외 1필지,기타 가정용 전기기기 제조업  ,28519,062-946-7890,062-946-7729,34,2025-09-04
976,(주)원테크놀러지,광주광역시 광산구 임곡로 691-14 (안청동) 외 1필지,"전자기 측정, 시험 및 분석기구 제조업  ",27212,062-431-4600,062-412-1300,2,2025-09-04
977,(주)월드라이팅,광주광역시 광산구 비아안길 15-13 (비아동),배전반 및 전기 자동제어반 제조업  ,28123,062-953-9595,062-953-9645,9,2025-09-04
978,(주)월드모텍코리아,광주광역시 광산구 평동산단3번로 187 (장록동),전동기 및 발전기 제조업,28111,062-956-3293,062-956-2871,3,2025-09-04
979,(주)웰시스,광주광역시 광산구 평동로803번길 117-64 (용동),소파 및 기타 내장가구 제조업  ,32019,062-959-2785,062-959-2786,7,2025-09-04
980,(주)위너스파워,광주광역시 광산구 평동산단6번로 74 (월전동),간판 및 광고물 제조업  ,33910,062-945-7782,062-945-7783,9,2025-09-04
981,(주)위니아,광주광역시 광산구 하남산단9번로 110 (안청동),주방용 전기기기 제조업  ,28511,062-604-6114,062-604-6444,678,2025-09-04
982,(주)위니아전자매뉴팩처링 ,광주광역시 광산구 용아로 559 (장덕동) 외 1필지,주방용 전기기기 제조업  ,28511,062-950-8145,062-951-2010,347,2025-09-04
983,(주)윈텍시스템,광주광역시 광산구 평동산단로 30 (요기동),"금속 문, 창, 셔터 및 관련제품 제조업",25111,062-226-2060,062-381-2260,3,2025-09-04
984,(주)유경,광주광역시 광산구 장덕동 977-34,장식용 목제품 제조업,16292,062-573-9966,062-574-9967,5,2025-09-04
985,(주)유니버셜,광주광역시 광산구 비아로24번길 56-13 (비아동),화장품 제조업,20423,,,8,2025-09-04
986,(주)유니전력,"광주광역시 광산구 진곡산단중앙로 52, (주)유니전력 (오선동)",기타 전기 변환장치 제조업,28119,062-672-5519,,6,2025-09-04
987,(주)유림산업기계,광주광역시 광산구 하남산단9번로 39-10 (안청동),금속탱크 및 저장용기 제조업  ,25122,062-954-2500,062-954-2502,7,2025-09-04
988,(주)유림테크 지점,광주광역시 광산구 월전로 53 (월전동) 외 1필지,그 외 기타 플라스틱 제품 제조업  ,22299,062-716-9400,062-716-9401,53,2025-09-04
989,(주)유성케이엔비,"광주광역시 광산구 하남산단5번로 44-1, 1동(장덕동)",그 외 기타 일반목적용 기계 제조업,29199,062-961-5433,062-712-2400,3,2025-09-04
990,(주)유스앤,"광주광역시 광산구 진곡산단4번로 67-11(진곡동, 주식회사 유스앤)",산업용 냉장 및 냉동 장비 제조업,29171,062-974-1138,062-974-1139,5,2025-09-04
991,(주)유신피플,광주광역시 광산구 하남산단9번로 186-21 (도천동),구조용 금속 판제품 및 공작물 제조업  ,25112,,,1,2025-09-04
992,(주)유원,광주광역시 광산구 손재로 516(안청동),기타 가정용 전기기기 제조업,28519,062-951-4162,,68,2025-09-04
993,(주)유원트,광주광역시 광산구 하남산단8번로 144 (오선동) (주)다일,기타 직물제품 제조업  ,13229,062-951-1416,,7,2025-09-04
994,(주)유일정공 ,광주광역시 광산구 진곡산단6번로 25-26 (고룡동),그 외 기타 분류 안된 금속 가공 제품 제조업,25999,062-432-7689,062-953-7690,9,2025-09-04
995,(주)유주산업,"광주광역시 광산구 진곡산단2번로 40, 유주산업(오선동, 주식회사유주산업)",그 외 금속 압형제품 제조업,25914,062-951-2582,,3,2025-09-04
996,(주)유주산업기술,"광주광역시 광산구 진곡산단4번로 63, 주식회사유주산업기술(진곡동)",주형 및 금형 제조업,29293,062-951-2582,,3,2025-09-04
997,(주)유진산업,광주광역시 광산구 평동산단3번로 83 (용동),육상 금속 골조 구조재 제조업,25113,,062-941-4380,4,2025-09-04
998,(주)유진종합기계,광주광역시 광산구 어등대로563번길 33-1 (운수동),그 외 기타 일반목적용 기계 제조업,29199,062-955-7979,062-955-7981,16,2025-09-04
999,(주)유투,광주광역시 광산구 평동공단산정로 108(연산동),컴퓨터 제조업  ,26310,,062-456-9007,3,2025-09-04
1000,(주)유프랜드,광주광역시 광산구 평동산단1번로 52 (옥동),그 외 자동차용 신품 부품 제조업  ,30399,062-944-9775,062-944-9776,19,2025-09-04
1001,(주)유피이엔지,"광주광역시 광산구 진곡산단3번로 59-24, 광주광역시광산구진곡산단3번로59-24(A21-4)A동(진곡동, (주)무등정밀공업)",기타 가공 공작기계 제조업,29229,062-954-0944,,3,2025-09-04
1002,(주)윤창,광주광역시 광산구 용아로 606 (장덕동),금속 스프링 제조업,25943,062-956-2245,062-956-2243,20,2025-09-04
1003,(주)윤탑테크,광주광역시 광산구 평동산단2번로 97 (용동),기기용 자동측정 및 제어장치 제조업,27215,062-946-1666,062-945-1667,6,2025-09-04
1004,(주)은광기전,광주광역시 광산구 손재로 436-36 (오선동),주형 및 금형 제조업,29293,062-955-4424,,27,2025-09-04
1005,(주)은백,광주광역시 광산구 하남산단10번로 123 (안청동),도장 및 기타 피막처리업,25923,062-953-4456,062-953-4454,36,2025-09-04
1006,(주)은백테크,광주광역시 광산구 하남산단9번로 50-1 (안청동),도장 및 기타 피막처리업,25923,062-953-4456,062-953-4454,6,2025-09-04
1007,(주)은성기업,"광주광역시 광산구 평동산단8번로 84-13, 가동(연산동)",구조용 금속 판제품 및 공작물 제조업  ,25112,062-943-0821,062-943-0822,4,2025-09-04
1008,(주)은성기전,"광주광역시 광산구 사암로 501, 중소기업 지원상가 A 117호,217호 (장덕동)",배전반 및 전기 자동제어반 제조업,28123,062-955-3225,062-955-3226,3,2025-09-04
1009,(주)은성이앤씨,광주광역시 광산구 수남길 91 (장수동),육상 금속 골조 구조재 제조업  ,25113,062-382-9428,062-375-9429,3,2025-09-04
1010,(주)은성하이텍,광주광역시 광산구 하남산단6번로 46-14 (오선동),기타 가정용 전기기기 제조업  ,28519,062-952-6736,062-959-0736,50,2025-09-04
1011,(주)은성하이텍,광주광역시 광산구 하남산단6번로 46-14 (오선동),기타 가정용 전기기기 제조업  ,28519,062-952-6736,062-959-0736,26,2025-09-04
1012,(주)은하,광주광역시 광산구 하남산단10번로 116 (안청동),산업용 송풍기 및 배기장치 제조업  ,29174,062-952-5370,062-953-6481,39,2025-09-04
1013,(주)은하,광주광역시 광산구 하남산단10번로 116 (안청동),산업용 송풍기 및 배기장치 제조업  ,29174,062-952-5370,062-953-6481,39,2025-09-04
