회사명,대표자,소재지,업체전화번호,업체팩스번호,업종,종업원 합계,남자종업원,여자종업원,외국인종업원,관리기관명,전화번호
대로콘크리트㈜,박진용,방어진순환도로 1211(서부동),052-235-6030,052-252-6915,"콘크리트타일기와,벽돌및블럭제조업",8,6,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
신흥공업사,김태숙,진성 11길 42(전하동),,052-201-8885,알루미늄 주물 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
현대공사,이영훈,옥류2길 16(서부동),052-232-2633,052-234-6465,알루미늄 주물 제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
풍천기업,임무현,월봉6가길(방어동),052-201-1042,052-201-1042,"금속문, 창, 셔터및 관련제품 제조업",1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
열린하우징,김창환,방어진순환도로 538(방어동),,052-236-6601,"금속문, 창, 셔터및 관련제품 제조업",1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
문수산업기술㈜,이민규,화잠3길 14(방어동),052-070-7740-1289,052-222-1808,기타 구조용 금속제품 제조업,7,5,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
월봉열쇠,손호영,화진5길 1(화정동),052-235-1313,,일반철물 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜진성기업,이재홍,동진로 25(방어동),052-201-2450,052-201-2447,"금속문, 창, 셔터및 관련제품 제조업",1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
웰빙건강원,권태수,녹수길20(전하동),052-252-2985,,건강보조용액화식품제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
옥스포드 뉴월드사,박정희,학문로43(화정동),052-251-4509,052-236-0959,"근무복,작업복및유사의복제조업",1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
동울산흑역소,신정숙,진성14길77(전하동),052-232-5946,,건강보조용액화식품제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
한솥도시락 꽃바위점,장명진,꽃바위5길55(방어동),052-233-0224,,도시락및식사용조리식품제조업,3,1,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
빛나인테리어,전수우진,진성11길106(전하동),052-251-9400,,섬유제품및기타정리및마무리가공업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
수연의상실,안수연,봉수로370(전하동),052-232-7114,,여성용정장제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
동구샷시,최경험,녹수길67(전하동),052-234-3515,052-234-3515,그외기타분류안된금속가공제품 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
고려건강원,장순조,남목17길1(동부동),,,건강보조용 액화식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
화정건강원,이원숙,바드레4길60(전하동),052-233-1205,,건강보조용 액화식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
현대흑염소중탕,임종숙,녹수7길53(전하동),052-232-8363,,건강보조용 액화식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
제일흑염소,김경애,남목17길5(동부동),052-252-1505,,건강보조용 액화식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
포항탕제원,김철규,진성3길22(전하동),052-251-907,,건강보조용 액화식품제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
명덕건강원,이명순,방어진순환도로929(서부동),052-234-2559,,기타식료품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
울산수산업협동조합 냉동공장,오시환,동진5길71(방어동),052-251-7333,,얼음제조업,7,7,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
예진우리옷,이혜옥,월봉로67(화정동),052-232-1886,,한복제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
혜성정밀,정재성,방어진순환도로1000(전하동),052-202-9927,052-235-8862,선박구성부분품제조업,67,38,7,22,울산광역시 동구 노사외국인지원과,052-209-4566
대명,박철홍,방어진순환도로1000(전하동),052-202-4169,052-201-7909,선박구성부분품제조업,83,47,2,34,울산광역시 동구 노사외국인지원과,052-209-4566
대한진열앵글,김상설,진성11길108(전하동),052-201-4900,052-201-4900,금속조립구조재제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
도리떡케이크,김서율,진성2길 38(전하동),,,과자류및 코코아제품 제조업,1,0,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
금강탕제원,김정현,양지5길 31(화정동),052-251-6869,,건강보조용 액화 제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
집밥미소,심혜미,방어진순환도로 931,052-201-0321,,즉석판매 제조 가공업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜세왕기업,이재곤,방어진순환도로 100(방어동),052-250-6902,052-235-0714,선박구성부분품제조업,88,37,8,43,울산광역시 동구 노사외국인지원과,052-209-4566
경일기업,박훈동,방어진순환도로 1000(전하동),052-203-2420,052-209-1617,선박구성부분품제조업,72,60,2,10,울산광역시 동구 노사외국인지원과,052-209-4566
남목즉석두부,권미숙,남목 17길 4(동부동),052-236-4883,,두부및 유사 식품 제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
서부식품,염명자,방어진순환도로 985(서부동),052-234-0842,,조미료및 식품첨가물 제조업,2,0,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
소망스케치,이영직,대송로 93(화정동),052-234-4071,,간판및 광고물 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜남명이엔지,김태용,방어진순환도로 100(방어동),052-250-1959,052-252-0351,기타선박건조업,87,55,6,26,울산광역시 동구 노사외국인지원과,052-209-4566
웰빙건강프라자,정누미,월봉 6길 32(방어동),,,천연및 혼합제 조미료 제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
경주참기름,박조규,화정 6길 15(화정동),052-236-2400,,천연및 혼합제 조미료 제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
월봉즉석두부,권태영,화정 6길 6(화정동),052-233-5988,,두부및 유사 식품 제조업,3,1,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
등대흑염소,최재옥,등대로 6(화정동),052-235-3471,,건강보조용 액화식품 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
전하즉석두부,이달주,진성 14길 118(전하동),052-251-4924,,두부및 유사 식품 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
동울산즉석두부,김상순,진성 14길 78(전하동),052-236-2029,,두부및 유사 식품 제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
금산건강원,장금숙,월봉 6길 41(화정동),052-233-8585,,건강보조용 액화식품 제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜혁신이엔지,손종락,방어진순환도로 1000(전하동),052-202-5945,052-235-5003,선박구성부분품제조업,103,79,2,22,울산광역시 동구 노사외국인지원과,052-209-4566
신진광고,김영아,화잠3길 13(방어동),052-251-6669,052-232-8569,간판및 광고물 제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
만복떡집,이현자,녹수 1길 6(전하동),052-235-6072,,떡류 제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
한솥도시락(서부동),김연숙,방어진순환도로 913(서부동),052-975-1414,,기타 식사용 가공처리 조리식품,2,0,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
한솥도시락(전하동),송인필,전하로 36(전하동),052-232-8883,,도시락류 제조업,3,0,3,0,울산광역시 동구 노사외국인지원과,052-209-4566
빵야,이규원,옥류로 46(동부동),052-236-7776,,빵류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
김씨네 마카롱 공장,김지연,등대로 99(일산동),,,빵류제조업,3,1,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜필링,김지연,등대로 99(일산동),,,빵류제조업,3,1,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
달다란유유네작업실,유정은,봉수로 314(전하동),,,빵류제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
세명기업,박기철,문재3길 36(방어동),,,두부및 유사 식품 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜동율테크,박태영,방어진순환도로 1000(전하동),052-203-2049,052-201-5225,합성수지선 건조업,110,68,12,30,울산광역시 동구 노사외국인지원과,052-209-4566
울엄마도시락,송승철,대송 2길 50(화정동),,,도시락류 제조업,4,0,4,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜씨앤아이,박병규,방어진순환도로 1000(전하동),052-202-4255,052-236-2552,기타선박건조업,72,54,2,16,울산광역시 동구 노사외국인지원과,052-209-4566
에치디현대미포㈜,김형관,방어진순환도로 100(방어동),052-250-3307,052-250-3349,강선건조업,4594,3845,158,591,울산광역시 동구 노사외국인지원과,052-209-4566
행복한떡방앗간,손주신,남목17길16(동부동),052-235-5341,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
홍주떡집,홍점숙,문재2길40(방어동),052-201-5545,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
우리떡방앗간,전혜영,양지5길68(화정동),052-251-9544,,떡류제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
경동떡방앗간,이동소,남진1길39(방어동),052-201-1950,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
일산떡방앗간,김잠분,번덕8길109(일산동),052-252-3300,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
종가떡집,박재연,대송1길39(화정동),052-252-0399,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
현대떡방앗간,이선희,옥류로57(동부동),052-236-7606,,떡류제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
종로복떡집,김창선,남목17길9(동부동),052-233-2211,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
방아쟁이,금길자,진성14길77(전하동),052-233-3773,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
매일떡집,김자근,녹수7길32(전하동),052-234-6919,,떡류제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
또바기떡집,임경우,옥류로70(동부동),052-700-4540,,떡류제조업,6,1,5,0,울산광역시 동구 노사외국인지원과,052-209-4566
정성담다,박영숙,진성6길72(전하동),,,떡류제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
목화떡방앗간,이동기,남목11길10(동부동),052-232-0558,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
서울떡집,공태섭,남목17길15(동부동),052-236-0688,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
남목떡방앗간,조정선,남목17길4(동부동),052-232-0540,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
천진떡방앗간,최위락,대송8길20(화정동),052-233-0888,,떡류제조업,3,2,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
만복이네떡,김광식,진성1길47(전화동),052-234-6072,,떡류제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
낙원떡집,차종석,진성14길68(전하동),052-252-3199,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
최가네떡,최정유,전성14길55(전하동),052-234-4312,,떡류제조업,3,2,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
영덕민물중탕,김금태,녹수7길32(전하동),052-232-3693,,건강보조용액화식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
현대건강원,조용복,진성14길77(전하동),052-236-8761,,건강보조용액화식품제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
제일떡집,이기영,진성14길69(전하동),052-232-3984,,떡류제조업,3,1,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
오구 그래떡,임혜지,명덕2길20(서부동),,,떡류제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
도도케이크,최선희,명덕2길10(서부동),,,떡류제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
비원,박지연,화문로64(방어동),052-201-6949,,빵류제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
청초공방,이미경,상진4길26-3(방어동),,,빵류제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
케이터링 해피타임,김용식,월봉10길18(화정동),052-235-3634,052-236-3635,빵류제조업,6,1,5,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜시스테크,강진권,방어진순환도로1000(전하동),052-202-5489,052-232-0208,기타선박건조업,68,65,1,2,울산광역시 동구 노사외국인지원과,052-209-4566
㈜원일설비,권용만,방어진순환도로1000(전하동),052-202-0496,052-201-5181,기타선박건조업,44,26,18,0,울산광역시 동구 노사외국인지원과,052-209-4566
태경엔지니어링,이충열,방어진순환도로1000(전하동),052-203-1234,052-235-1164,기타선박건조업,78,21,22,35,울산광역시 동구 노사외국인지원과,052-209-4566
연희당,김지희,옥류로56(동부동),,,떡류제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
팔도김치,조정이,진성 14길 77(전하동),052-235-8756,,과실및채소절임식품제조업,2,0,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
은혜반찬,김성두,화정 6길 1(화정동),,,과실및채소절임식품제조업,1,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
엄마찬's,정구자,화정 5길 7(화정동),,,과실및채소절임식품제조업,1,0,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
할매반찬,권순자,대송 9길 16(화정동),052-236-7464,,과실및채소절임식품제조업,4,0,4,0,울산광역시 동구 노사외국인지원과,052-209-4566
옹고집찬방,김두염,옥류로 54(동부동),052-234-5633,,과실및채소절임식품제조업,3,2,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
서주네반찬,박성난,남목17길 5(동부동),,,과실및채소절임식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
cook1015,박보규,옥류로 38(동부동),052-251-1015,,과실및채소절임식품제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
밥도둑반찬,김미정,남목 17길 16(동부동),052-235-0442,,과실및채소절임식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
귀분이네반찬,박귀분,진성14길 77(전하동),052-232-5177,,과실및채소절임식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
원미정반찬,백경숙,진성 14길 77(전하동),052-235-9509,,과실및채소절임식품제조업,2,0,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
전하참기름,신금조,녹수 3길(전하동),052-234-3180,,식용정제유및가공유제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
명선참기름,최경희,동해안로 30-5(동부동),052-232-4469,,식용정제유및가공유제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
참고소미방앗간,이형우 ,대송 9길 26(화정동),052-251-6337,,식용정제유및가공유제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜태강산업,구원회,방어진순환도로 1000(전하동),052-283-2469,,선박구성부분품제조업,5,5,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
신라과자점,김관호,진성 5길 64(전하동),052-244-6474,,빵류제조업,3,2,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜씨엔케이,신승우,방어진순환도로 1000(전하동),052-251-1470,,선박구성부분품제조업,16,13,3,0,울산광역시 동구 노사외국인지원과,052-209-4566
주가네제빵소,주현수,대학길47(화정동),052-233-0145,,빵류제조업,10,2,8,0,울산광역시 동구 노사외국인지원과,052-209-4566
콩새방앗간,조윤아,화정 8길 20(화정),,,식용정제유및가공유제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
부자떡집,강옥자,문재 6길(방어동),,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
한빛쌀고추방앗간,이도우,진성 1길 45(전하동),052-252-1503,,"곡류가공업, 곡물제분업",1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
진원떡고추방앗간,류슬예,문재3길 40(방어동),052-201-0981,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
백미떡방앗간,김상인,동진2길 19(방어동),,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
한솥도시락울산화정점,백은향,대학길80(화정동),052-201-2400,,도시락및식사용조리식품제조업,4,0,4,0,울산광역시 동구 노사외국인지원과,052-209-4566
미래디자인,이응렬,문현로33(방어동),052-201-4905,,기타인쇄술,3,1,2,0,울산광역시 동구 노사외국인지원과,052-209-4566
할배중탕집,이재하,녹수7길32(전하동),052-234-9054,,건강보조용액화식품제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
우신기업㈜,박소흠,방어진순환도로1000(전하동),052-202-6793,052-252-2783,선박구성부분품제조업,115,95,3,18,울산광역시 동구 노사외국인지원과,052-209-4566
현대그린푸드㈜,박홍진,방어진순환도로1000(전하동),052-202-5591,052-250-4769,기타식료품제조업,603,77,499,27,울산광역시 동구 노사외국인지원과,052-209-4566
㈜익성산업,김익동,방어진순환도로30(방어동),052-280-1590,052-280-1597,계면활성제제조업,90,86,4,0,울산광역시 동구 노사외국인지원과,052-209-4566
성우이엔지,박진철,방어진순환도로1000(전하동),052-203-2788,052-251-4526,선박구성부분품제조업,60,59,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
두명이엔지,김태호,방어진순환도로1000(전하동),052-203-2959,052-233-2959,선박구성부분품제조업,51,50,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
건현기업,이기용,방어진순환도로1000(전하동),052-202-5973,052-235-1585,선박구성부분품제조업,82,51,7,24,울산광역시 동구 노사외국인지원과,052-209-4566
태강이엔지,이학희,방어진순환도로1000(전하동),052-202-7385,052-235-4008,선박구성부분품제조업,72,36,4,32,울산광역시 동구 노사외국인지원과,052-209-4566
더가우디,권오현,꽃바위 3길 25(방어동),052-201-4304,052-251-3904,간판및 광고물 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
대구기름집,정미옥,화정 6길 18(화정동),052-251-0685,,천연및 혼합제 조미료 제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
대구상회,이성화,진성 14길 77(전하동),052-232-4641,,곡물제분업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
옥이반찬,이윤옥,화정 6길 24(화정동),,,과실및채소절임식품제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜홍신산업,정문옥,방어진순환도로 1000(전하동),052-203-8413,052-232-7943,기타선박건조업,69,59,5,5,울산광역시 동구 노사외국인지원과,052-209-4566
맛고을,안진주,화문로 73(방어동),,,과일및채소절임식품제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
대박상회,남기옥,화정 6길 4(화정동),,,과실및채소절임식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
미담김치,김미경,대송 1길 31(화정동),052-232-1625,,과실및채소절임식품제조업,5,0,5,0,울산광역시 동구 노사외국인지원과,052-209-4566
그린반찬,박혜경,남목 18길 16(동부동),052-235-9641,,과실및채소절임식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
명란,손영순,진성 6길 72(전하동),,,과실및채소절임식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
주현베이커리,원성빈,진성 4길 55(전하동),052-251-9616,,빵류제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
EG씽크맞춤가구,김진도,봉수로 321(전하동),052-233-2307,,주방용및 음식점용 목재가구 제조업,3,2,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
진우이엔지,안한호,방어진순환도로 1000(전하동),052-203-3088,052-203-3089,기타선박건조업,118,87,11,20,울산광역시 동구 노사외국인지원과,052-209-4566
㈜은성기업,문준호,방어진순환도로 100(방어동),052-250-6982,052-252-1024,선박구성부분품제조업,65,30,7,28,울산광역시 동구 노사외국인지원과,052-209-4566
(유)명인기업,권영만,방어진순환도로 1000(전하동),052-203-2460,052-233-1022,기타선박건조업,59,45,8,6,울산광역시 동구 노사외국인지원과,052-209-4566
㈜케이씨씨울산공장,정몽진,방어진순환도로 30(방어동),052-280-1717,052-280-1419,제조,570,540,30,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜송도,이승윤,방어진순환도로 1000(전하동),052-202-6368,052-236-6368,선박구성부분품제조업,103,90,9,4,울산광역시 동구 노사외국인지원과,052-209-4566
이목,황동영,방어진순환도로 1000(전하동),052-202-4563,052-235-0031,선박구성부분품제조업,125,88,17,20,울산광역시 동구 노사외국인지원과,052-209-4566
삼포산업,강은남,방어진순환도로 1000(전하동),052-202-4822,052-201-7555,선박구성부분품제조업,54,41,8,5,울산광역시 동구 노사외국인지원과,052-209-4566
㈜웅산,전헌진,방어진순환도로 1000(전하동),052-202-4861,052-201-3108,선박구성부분품제조업,65,48,4,13,울산광역시 동구 노사외국인지원과,052-209-4566
명덕떡방앗간,송준희,명덕 3길 31(서부동),052-251-0598,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
일심떡방앗간,신만근,화정 6길 5(화정동),052-251-1548,,떡류제조업,3,2,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
삼양떡방앗간,이동춘,월봉 6길 42(화정동),052-234-9714,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
웅이네떡집,정연출,화문로 27(방어동),052-233-6655,,떡류제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
진영,김문호,방어진순환도로 1000(전하동),052-203-2789,052-233-8034,선박구성부분품제조업,80,79,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
고무원,김연하,대송 5길 67(화정동),052-232-0934,,섬유제품및기타정리및마무리가공업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
에이치디현대일렉트릭,조석,방어진순환도로 700(일산동),052-202-8013,052-202-8010,전동기및발전기제조업외4종,1341,1252,89,0,울산광역시 동구 노사외국인지원과,052-209-4566
서원흑염소,박윤희,남목 18길 23(동부동),052-252-7590,,건강보조용액화식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
동양홀딩,권정환,문재로 13-1(방어동),052-236-3140,052-201-3140,커텐및유사품제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
명성반찬,이숙림,남목 17길 9(동부동),052-252-7766,,과실및채소절임식품제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
우성이엔지,노순석,방어진순환도로 100(방어동),052-250-6904,052-209-2586,선박구조물제작,91,51,9,31,울산광역시 동구 노사외국인지원과,052-209-4566
세경알루미늄,최이열,번덕 2길 30(일산동),,,알루미늄 주물 제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
세븐수제화 ,안택권,진성 3길 40(전하동),052-201-8212,,기타신발제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
다인안전산업,정우돈,방어진순환도로 1000(전하동),052-203-2401,052-233-2401,선박구성부분품제조업,9,8,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜성호이엔지,한기성,방어진순환도로 100(방어동),052-250-6959,052-233-2120,선박구성부분품제조업,93,78,10,5,울산광역시 동구 노사외국인지원과,052-209-4566
서광,김중기,방어진순환도로 100(방어동),052-250-6965,052-252-9753,선박구성부분품제조업,98,93,4,1,울산광역시 동구 노사외국인지원과,052-209-4566
㈜부림기업,홍춘발,방어진순환도로 100(방어동),052-250-6505,052-252-8665,강성건조업,85,44,17,24,울산광역시 동구 노사외국인지원과,052-209-4566
㈜삼우이엔지,김상수,방어진순환도로 1000(전하동),052-202-6960,052-233-8708,선박구성부분품제조업,70,42,20,8,울산광역시 동구 노사외국인지원과,052-209-4566
현대중공업터보기계(주),김동수,방어진순환도로 1000(전하동),052-204-5013,052-204-5039,선박구성부분품제조업,201,77,24,100,울산광역시 동구 노사외국인지원과,052-209-4566
디케이이엔지,김성헌,방어진순환도로 1000(전하동),052-202-6987,052-234-6792,선박구성부분품제조업,112,58,14,40,울산광역시 동구 노사외국인지원과,052-209-4566
㈜디에이치마린,우영문,방어진순환도로 1000(전하동),052-203-8523,052-232-9738,선박구성부분품제조업,130,116,0,14,울산광역시 동구 노사외국인지원과,052-209-4566
케이에스이엔지,전재황,방어진순환도로 1000(전하동),052-203-4447,052-201-4448,선박구성부분품제조업,66,66,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
돌안즉석참기름,김연옥,남목 18길 2-1(동부동),052-251-3467,,식용정제유및가공유제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
민속참기름,박금주,미포 4길 22(방어동),,,식용정제유및가공유제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
수정유리,최희락,진성 6길 37(전하동),052-232-4886,052-232-6262,기타산업용유리제조업,1,1,0,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜나슬이엔지,류기만,방어진순환도로1000(전하동),052-202-4976,052-234-3350,선박구성부분품제조업,139,100,10,23,울산광역시 동구 노사외국인지원과,052-209-4566
울엄마반찬,최세진,대송 8길 20(화정동),052-236-4403,,과실및채소절임식품제조업,2,1,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
모현산업,홍익준,방어진순환도로 100(방어동),052-209-2151,052-209-2152,선박구성부분품제조업,49,25,2,22,울산광역시 동구 노사외국인지원과,052-209-4566
건우엔텍,김정환,방어진순환도로 1000(전하동),052-202-7064,052-209-2338,선박구성부분품제조업,70,48,4,18,울산광역시 동구 노사외국인지원과,052-209-4566
태영산업,김광석,방어진순환도로 1000(전하동),052-202-4562,052-201-1800,선박구성부분품제조업,205,102,103,0,울산광역시 동구 노사외국인지원과,052-209-4566
에이치디현대중공업주식회사,이상균,방어진순환도로 1000(전하동),052-202-0868,052-202-7741,강선건조업 외 34종,15256,13829,689,738,울산광역시 동구 노사외국인지원과,052-209-4566
찬승,임영빈,방어진순환도로 100(방어동),052-250-6949,052-233-8445,선박구성부분품제조업,83,33,12,38,울산광역시 동구 노사외국인지원과,052-209-4566
미다미(MIDAMI),한다미,대송로 17(일산동),,,빵류제조업,1,0,1,0,울산광역시 동구 노사외국인지원과,052-209-4566
㈜신운선박,최충식,방어진순환도로 100(방어동),052-250-6991,052-252-7662,강선건조업,92,53,2,37,울산광역시 동구 노사외국인지원과,052-209-4566
서융산업,이성영,방어진순환도로 100(방어동),052-250-6917,052-234-0399,선박구성부분품제조업,140,95,15,30,울산광역시 동구 노사외국인지원과,052-209-4566
거창기업,김기용,방어진순환도로 100(방어동),052-250-6988,052-235-7001,선박구성부분품제조업,70,53,7,10,울산광역시 동구 노사외국인지원과,052-209-4566
