회사명,전화번호,팩스번호,공장대표주소,업종명
(주)엔텍이엔지,052-239-1334,052-700-1753,울산광역시 울주군 청량읍 처용산업4길 52,배전반 및 전기 자동제어반 제조업 외 3 종
(주)엔티,,052-275-8494,울산광역시 울주군 웅촌면 고연로 97-3 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종
(주)엘에스하이텍,,,울산광역시 울주군 웅촌면 고연공단2길 101,항공기용 부품 제조업
(주)엘엑스글라스,052-231-4468,052-231-4529,울산광역시 울주군 온양읍 덕망로 275 외 1필지,기타 판유리 가공품 제조업
(주)엘엑스하우시스,052-231-4011,052-231-4382,울산광역시 울주군 온양읍 덕망로 275 외 6필지,무기안료용 금속 산화물 및 관련 제품 제조업 외 16 종
(주)엘엑스하우시스 온산공장,052-231-9466,052-231-5294,울산광역시 울주군 온산읍 화산리 580-8 외 1필지,그 외 기타 분류 안된 화학제품 제조업 외 2 종
(주)엘지생활건강,052-231-6989,052-231-6936,울산광역시 울주군 온양읍 덕망로 275,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 4 종
(주)엘지생활건강,052-231-5205,052-231-5148,울산광역시 울주군 온산읍 이진로 19,계면활성제 제조업 외 1 종
(주)엘지화학,052-231-5324,052-231-5328,울산광역시 울주군 온산읍 이진로 19 외 5필지,화학 살균.살충제 및 농업용 약제 제조업 외 5 종
(주)엘캠,052-255-9624,052-255-9699,울산광역시 울주군 삼남읍 가천공단로 60,그 외 기타 전자부품 제조업 외 1 종
(주)엘피케이,052-918-8881,052-918-8882,울산광역시 울주군 상북면 길천산업로 473-6,내연기관 제조업 외 4 종
(주)엠에스오토텍 울산공장,054-770-1812,054-748-2193,울산광역시 울주군 삼남읍 방기리 산 87-1번지 20B-3L,그 외 기타 특수목적용 기계 제조업 외 1 종
(주)엠에스인더스트리,052-912-6022,052-223-6023,울산광역시 울주군 삼동면 작동리 822-5,그 외 자동차용 신품 부품 제조업 외 3 종
(주)엠에스자원,052-223-0691,052-225-0691,울산광역시 울주군 웅촌면 물건너길 22-11,분말 야금제품 제조업
(주)엠오브이시스템,052-288-5052,052-288-5453,울산광역시 울주군 상북면 길천산업로 361,그 외 기타 일반목적용 기계 제조업
(주)염성테크,052-264-1640,052-264-5052,울산광역시 울주군 삼남읍 가천공단로 106,그 외 기타 분류 안된 금속 가공 제품 제조업
(주)영광,052-240-2400,052-237-2376,"울산광역시 울주군 청량읍 처용산업3길 135, 경공업1동 1층",그 외 기타 일반목적용 기계 제조업
(주)영선기계,,052-269-5078,울산광역시 울주군 청량읍 화창1길 4-5 외 2필지,컨베이어장치 제조업 외 1 종
(주)영진아이디에스,052-277-1992,052-277-1994,"울산광역시 울주군 웅촌면 와지공단1길 11, 고연리 1132번지",그 외 자동차용 신품 부품 제조업 외 3 종
(주)영진울산공장,052-256-1305,052-256-1300,울산광역시 울주군 웅촌면 고연로 244-19,자동차 차체용 신품 부품 제조업 외 1 종
(주)영진정밀,052-0258-2025,052-0258-2028,울산광역시 울주군 웅촌면 고연로 87-14,그 외 자동차용 신품 부품 제조업 외 4 종
(주)영진정밀 제2공장,052-258-2027,052-258-2028,울산광역시 울주군 웅촌면 고연공단4길 29,그 외 자동차용 신품 부품 제조업 외 3 종
(주)영풍산업,052-254-0771,052-254-0772,울산광역시 울주군 삼동면 암리하방길 40 외 3필지,판지 상자 및 용기 제조업
(주)영풍티피이,032-811-0330,032-818-6624,울산광역시 울주군 온산읍 대정로 10-4,컨베이어장치 제조업
(주)예광이엔지,052-283-4211,052-283-4212,울산광역시 울주군 언양읍 반천산업로 113-14,육상 금속 골조 구조재 제조업 외 4 종
(주)예샘,,052-260-0569,울산광역시 울주군 온양읍 내광리 GW일반산업단지 13블록 6롯트,목재문 및 관련제품 제조업
(주)예한무역,02-715-7005,,울산광역시 울주군 온산읍 대정로 10-11,기타 기초 무기 화학물질 제조업 외 1 종
(주)옛간,052-295-9035,052-970-1235,울산광역시 울주군 상북면 소야정길 177,기타 식사용 가공처리 조리식품 제조업 외 2 종
(주)오뚜기 삼남공장,055-381-0890,055-381-0897,울산광역시 울주군 삼남읍 반구대로 149 (삼남읍) 외 4필지,식용 정제유 및 가공유 제조업 외 6 종
(주)오리온이엔씨,02-3414-2032,02-3414-2031,"울산광역시 울주군 서생면 에너지산업5로 51, 분양구획 B17, B18","물질 검사, 측정 및 분석기구 제조업 외 2 종"
(주)오리진지앤비,052-249-4110,052-247-4117,울산광역시 울주군 웅촌면 은현공단2길 29-1,"치약, 비누 및 기타 세제 제조업"
(주)오미아한국케미칼,052-237-6693,052-237-6693,울산광역시 울주군 온산읍 원산로 40,그 외 기타 분류 안된 화학제품 제조업 외 1 종
(주)오성기업,052-237-4120,052-237-4588,울산광역시 울주군 온산읍 회학3길 10,기타 기초 무기 화학물질 제조업 외 1 종
(주)오성기업,052-237-4120,,울산광역시 울주군 온산읍 회학3길 10-16,기타 기초 무기 화학물질 제조업
(주)오성기업,052-237-4120,052-237-4588,울산광역시 울주군 온산읍 회학3길 10-8 (총 2 필지) 외 1필지,기타 기초 무기 화학물질 제조업 외 1 종
(주)오성테크,031-508-2377,031-508-2380,울산광역시 울주군 상북면 양등리 808-2,기타 1차 비철금속 제조업 외 1 종
(주)오성테크,052-225-2277,052-225-5199,울산광역시 울주군 웅촌면 웅촌로 345,기타 가공 공작기계 제조업
(주)오션그린,052-277-0807,052-277-0809,울산광역시 울주군 웅촌면 대복동천로 52,그 외 기타 분류 안된 비금속 광물제품 제조업
(주)오앤씨웰푸드,052-254-3959,052-254-3960,울산광역시 울주군 삼남읍 반구대로 280,천연 및 혼합조제 조미료 제조업
(주)오에스티메탈,052-256-1550,,울산광역시 울주군 웅촌면 밭마당길 8,선박 구성 부분품 제조업
(주)오케이텍,052-716-7171,052-716-7172,울산광역시 울주군 온양읍 산양길 43,액체 펌프 제조업 외 1 종
(주)오케이텍,052-716-7171,052-716-7172,울산광역시 울주군 온산읍 처용산업3길 30-26,"탭, 밸브 및 유사장치 제조업 외 1 종"
(주)오토인더스트리,054-750-6000,054-746-3350,울산광역시 울주군 두동면 봉계산업로 38-11,자동차용 신품 동력전달장치 제조업 외 1 종
(주)오토인더스트리,052-920-1511,052-254-1201,울산광역시 울주군 두동면 봉계산업로 46,자동차용 신품 동력전달장치 제조업
(주)오토텍,052-923-3222,052-923-4766,울산광역시 울주군 언양읍 반천산업로 108-25,기타 가공 공작기계 제조업
(주)오토텍,052-923-3222,052-923-4766,울산광역시 울주군 언양읍 반천산업로 105,기타 가공 공작기계 제조업
(주)옵티켐,052-265-2936,052-265-2963,울산광역시 울주군 웅촌면 은현작동로 281 외 2필지,안경 및 안경렌즈 제조업 외 1 종
(주)와우오토텍,052-258-4013,052-258-4014,울산광역시 울주군 웅촌면 덕현길 24,육상 금속 골조 구조재 제조업 외 1 종
(주)와이드윙스,052-900-9888,052-261-8689,울산광역시 울주군 웅촌면 웅촌로 89,일반용 전기 조명장치 제조업 외 1 종
(주)용전사,052-264-8290,052-264-8292,울산광역시 울주군 상북면 봉화로 258-39,방전램프용 안정기 제조업
(주)용진이에스,052-221-2727,052-221-2717,울산광역시 울주군 웅촌면 오복길 10,절연 코드세트 및 기타 도체 제조업
(주)우룡,033-374-9955,033-374-9958,울산광역시 울주군 온산읍 우봉리 118-5,기타 기초 무기 화학물질 제조업
(주)우보테크,052-255-3100,052-255-3199,울산광역시 울주군 언양읍 반천산업로 108-67,그 외 자동차용 신품 부품 제조업
(주)우성에이치티,052-271-2366,052-271-2367,울산광역시 울주군 웅촌면 고연로 98-11,그 외 기타 고무제품 제조업
(주)우수티엠엠,052-245-7395,,울산광역시 울주군 상북면 길천산업로 105-70,승용차 및 기타 여객용 자동차 제조업
(주)우신금속,052-238-3113,055-551-9717,울산광역시 울주군 온산읍 처용산업2길 17,"알루미늄 제련, 정련 및 합금 제조업"
(주)우신시스템울산공장,052-265-6781,052-265-6810,울산광역시 울주군 웅촌면 고연공단2길 129,그 외 자동차용 신품 부품 제조업 외 3 종
(주)우신특수포장 울주지점,052-710-5101,031-351-4108,울산광역시 울주군 두서면 전읍농공길 27,골판지 제조업 외 2 종
(주)우원산업,052-254-7639,052-263-7682,울산광역시 울주군 상북면 길천산업2길 18,자동차 차체용 신품 부품 제조업 외 1 종
(주)우일에스앤에프,052-277-8331,051-867-9287,울산광역시 울주군 웅촌면 와지공단1길 9-36,천연 및 혼합조제 조미료 제조업 외 1 종
(주)우진테크,052-263-4006,052-263-4009,울산광역시 울주군 상북면 거리 1168-3번지,자동차용 신품 동력전달장치 제조업 외 1 종
(주)우진테크,052-263-4006,052-263-4009,울산광역시 울주군 상북면 길천산업로 309,자동차용 신품 동력전달장치 제조업 외 1 종
(주)우현티이씨,052-272-7169,052-274-3942,울산광역시 울주군 청량읍 처용산업4길 14-5,그 외 기타 금속가공업
(주)울산그린에너지,052-264-1190,052-264-1189,울산광역시 울주군 두서면 미호리 780-5번지,표면 가공 목재 및 특정 목적용 제재목 제조업
(주)울산무인항공,052-716-0080,052-716-0081,"울산광역시 울주군 삼남읍 동향교1길 21-14, 2층 201호",무인 항공기 및 무인 비행장치 제조업
(주)울산상공사,052-276-0848,052-273-4643,울산광역시 울주군 온산읍 처용산업2길 54,일반저울 제조업
(주)울산육가공,052-249-0216,052-249-0228,울산광역시 울주군 언양읍 반천리 897번지 외 1필지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
(주)울산팡,052-247-8980,052-249-8987,울산광역시 울주군 웅촌면 부채골길 17-10,목재 깔판류 및 기타 적재판 제조업
(주)울프,052-256-9501,052-256-9504,울산광역시 울주군 온산읍 처용산업로 129-19,금속탱크 및 저장용기 제조업 외 1 종
(주)울프,052-922-9502,,울산광역시 울주군 온산읍 처용산업3길 12,"증류기, 열교환기 및 가스발생기 제조업 외 5 종"
(주)울프,052-922-9502,052-256-9504,울산광역시 울주군 온산읍 처용산업3길 30-23,금속탱크 및 저장용기 제조업 외 3 종
(주)울프,052-922-9502,,울산광역시 울주군 청량읍 처용산업3길 21,"증류기, 열교환기 및 가스발생기 제조업 외 3 종"
(주)워켐,052-237-2923,052-238-0544,울산광역시 울주군 온산읍 회학3길 56-11,그 외 기타 분류 안된 화학제품 제조업 외 1 종
(주)원앤푸드,052-256-3477,052-256-3577,울산광역시 울주군 웅촌면 와지공단1길 18-34,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
(주)원패키지,052-260-8189,052-256-4231,"울산광역시 울주군 웅촌면 고연공단1길 16, C동",골판지 제조업
(주)월드바이오텍,,055-356-6698,울산광역시 울주군 온산읍 화산로 121-5 외 1필지,바이오 연료 및 혼합물 제조업
(주)웰스톤,,,"울산광역시 울주군 청량읍 처용산업3길 135, 경공업2동 4층",그 외 기타 분류 안된 비금속 광물제품 제조업
(주)웰썬,052-267-8817,052-266-4789,울산광역시 울주군 웅촌면 은현공단2길 15,장류 제조업 외 2 종
(주)위드코,052-254-3996,052-254-3997,울산광역시 울주군 두서면 활천산업로 39-34,탄소섬유 제조업 외 1 종
(주)윈테크,052-225-3011,052-225-3014,울산광역시 울주군 웅촌면 대대리 888-1번지 외 2필지 외 2필지,기체 펌프 및 압축기 제조업
(주)윈테크,052-264-1314,052-262-8238,울산광역시 울주군 언양읍 반천산업로 135-17,"증류기, 열교환기 및 가스발생기 제조업 외 1 종"
(주)유니온랜드유코,052-265-2044,,울산광역시 울주군 삼동면 은현공단4길 18 외 1필지,놀이터용 장비 제조업 외 1 종
(주)유니웰,052-254-5812,052-254-5821,울산광역시 울주군 삼동면 암리3길 26-8 외 1필지,"증류기, 열교환기 및 가스발생기 제조업 외 2 종"
(주)유민목재산업,,,울산광역시 울주군 삼남읍 신안2길 21,일반 제재업
(주)유벡,052-257-8352,052-257-8360,울산광역시 울주군 청량읍 처용산업로 243-46,육상 금속 골조 구조재 제조업 외 1 종
(주)유성엔지니어링,055-374-2881,,울산광역시 울주군 삼남읍 가천공단1길 21,기체 여과기 제조업 외 4 종
(주)유성이엔지,052-260-3215,052-260-3216,울산광역시 울주군 청량읍 처용산업4길 82,"증류기, 열교환기 및 가스발생기 제조업"
(주)유성인젝션,052-269-8702,052-260-4840,울산광역시 울주군 두서면 신전길 89-4 (두서면) 외 1필지,주형 및 금형 제조업
(주)유승정공,052-254-2080,052-254-2082,울산광역시 울주군 삼동면 암리3길 10 외 6필지,주형 및 금형 제조업
(주)유시스,052-271-8922,052-271-8921,울산광역시 울주군 온산읍 처용산업1길 76-6,무인 항공기 및 무인 비행장치 제조업 외 2 종
(주)유엘,052-265-2548,052-265-0556,울산광역시 울주군 삼동면 작동리 773-5번지 외 3필지 외 3필지,놀이터용 장비 제조업 외 2 종
(주)유영공조,052-977-3557,052-977-3558,울산광역시 울주군 상북면 상북로 219-12,구조용 금속 판제품 및 공작물 제조업
(주)유영소재,052-237-6668,052-237-6670,울산광역시 울주군 온양읍 광청로 394-33 외 1필지,그 외 기타 분류 안된 화학제품 제조업 외 1 종
(주)유영화학,052-264-5500,052-264-5503,울산광역시 울주군 삼남읍 공암공단로 16-6,기타 건축용 플라스틱 조립제품 제조업
(주)유원사업,,,"울산광역시 울주군 청량읍 처용산업3길 135, 경공업2동 4층",그 외 기타 종이 및 판지 제품 제조업
(주)유이티엔지니어링 울산지점,052-227-8309,052-269-3701,울산광역시 울주군 웅촌면 고연공단1길 33,기체 여과기 제조업
(주)유인,052-266-1007,052-268-1002,울산광역시 울주군 웅촌면 은현공단1길 3,일반용 도료 및 관련제품 제조업
(주)유진열처리,,,울산광역시 울주군 웅촌면 은현작동로 155,금속 열처리업
(주)유진하이테크,052-266-0070,052-266-0071,울산광역시 울주군 웅촌면 와지공단2길 30,그 외 자동차용 신품 부품 제조업
(주)유창석건설,052-227-1112,052-227-1113,울산광역시 울주군 언양읍 대암둔기로 48-80,건설용 석제품 제조업
(주)유티케이,052-227-3963,,울산광역시 울주군 웅촌면 부채골길 24-25,자동차 차체용 신품 부품 제조업 외 1 종
(주)유화이엔씨 테크,052-265-6624,052-268-6624,울산광역시 울주군 온산읍 종동길 115,산업용 로봇 제조업
(주)은산,02-1688-1430,02-6338-9010,울산광역시 울주군 상북면 길천산업로 389,자동차 엔진용 신품 부품 제조업 외 1 종
(주)이경테크,052-254-2737,052-254-2739,울산광역시 울주군 언양읍 반천산업로 32-47,그 외 자동차용 신품 부품 제조업 외 3 종
(주)이경피엔티,052-254-2734,052-254-2780,울산광역시 울주군 언양읍 곰재길 200 (총 2 필지) 외 1필지,운송장비 조립용 플라스틱제품 제조업 외 1 종
(주)이레테크,052-258-5345,052-260-2144,울산광역시 울주군 언양읍 반천산업로 53,그 외 자동차용 신품 부품 제조업 외 4 종
(주)이수스페셜티케미컬,052-280-5900,,울산광역시 울주군 온산읍 석당길 8 외 1필지,석유화학계 기초 화학물질 제조업 외 3 종
(주)이수화학,052-231-5614,052-231-5666,울산광역시 울주군 온산읍 석당길 8,그 외 기타 분류 안된 화학제품 제조업 외 3 종
(주)이스트밸리티엔씨,070-4773-3202,054-624-4489,울산광역시 울주군 두동면 봉계리 668번지,그 외 기타 특수목적용 기계 제조업
(주)이앤비,052-911-2600,,"울산광역시 울주군 웅촌면 밭마당길 7-1, 고연리 952-46번지",그 외 기타 금속가공업
(주)이앤티코리아,,052-970-0111,울산광역시 울주군 청량읍 화창9길 11,"물질 검사, 측정 및 분석기구 제조업"
(주)이엠라이프,052-221-1331,052-247-1747,울산광역시 울주군 범서읍 점촌5길 42,그 외 기타 달리 분류되지 않은 제품 제조업
(주)이엠텍,052-225-8899,052-225-8897,울산광역시 울주군 언양읍 고하길 74-6,정형외과용 및 신체보정용 기기 제조업
(주)이원산업,052-237-2820,052-237-2821,울산광역시 울주군 온양읍 용당내광로 335-10,골판지 제조업 외 1 종
(주)이원이엔지,052-0266-1479,052-0265-1479,울산광역시 울주군 웅촌면 은현공단1길 5,육상 금속 골조 구조재 제조업 외 3 종
(주)이지에너지,,,울산광역시 울주군 삼동면 조일리 1095-53 외 8필지,윤활유 및 그리스 제조업
(주)이텍마스타,052-260-8171,052-260-8178,울산광역시 울주군 웅촌면 고연로 197,플라스틱 필름 제조업 외 1 종
(주)익성,052-262-2728,052-262-2725,"울산광역시 울주군 상북면 산전후리로 40-43, (거리 1175-5)",그 외 자동차용 신품 부품 제조업 외 3 종
(주)인교산업,052-913-3830,052-913-3831,울산광역시 울주군 상북면 길천산업1길 30-3,그 외 자동차용 신품 부품 제조업
(주)인슈코,052-262-2661,052-262-2664,울산광역시 울주군 상북면 길천산업2길 10-27,자동차 차체용 신품 부품 제조업
(주)인코켐,070-7552-4598,052-257-4599,울산광역시 울주군 웅촌면 고연리 477-16번지 외 1필지,일반용 도료 및 관련제품 제조업 외 1 종
(주)인팩,055-367-3174,055-367-3145,울산광역시 울주군 웅촌면 와지공단1길 9-22,판지 상자 및 용기 제조업
(주)일삼,052-263-0013,052-263-7785,울산광역시 울주군 삼남읍 공암공단1길 75 외 5필지,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업"
(주)일성하이스코,052-231-7535,,울산광역시 울주군 온산읍 대정로 74,산업처리공정 제어장비 제조업 외 4 종
(주)일승,051-831-4110,051-831-4112,울산광역시 울주군 온산읍 회학1길 17,선박 구성 부분품 제조업 외 1 종
(주)일신화학,052-238-4160,052-238-4191,울산광역시 울주군 온산읍 석당길 75,기타 기초 무기 화학물질 제조업
(주)일우정밀,052-238-8967,052-239-4851,울산광역시 울주군 온산읍 화산1길 56,그 외 자동차용 신품 부품 제조업
(주)일월산기,052-911-2300,052-911-2301,"울산광역시 울주군 상북면 길천산업2길 24-7,  거리 1171-6",컨베이어장치 제조업 외 1 종
(주)일진에너지,052-240-1008,052-239-4052,울산광역시 울주군 온산읍 산암로 42,금속탱크 및 저장용기 제조업 외 3 종
(주)일진엔텍,052-239-1334,052-240-1753,울산광역시 울주군 온산읍 화산리 411-24번지,절삭가공 및 유사처리업
(주)일진텍,052-710-3900,052-240-6252,울산광역시 울주군 청량읍 처용산업로 155,"증류기, 열교환기 및 가스발생기 제조업 외 1 종"
(주)일진파워,052-240-1006,052-240-1037,울산광역시 울주군 온산읍 산암로 42,금속탱크 및 저장용기 제조업 외 3 종
(주)일진파워,052-240-1009,052-240-1037,울산광역시 울주군 온산읍 화산로 137-10,금속탱크 및 저장용기 제조업
(주)일화테크,052-911-2194,052-911-8390,울산광역시 울주군 삼남읍 가천공단1길 4,그 외 자동차용 신품 부품 제조업 외 2 종
(주)자강,052-265-3116,052-271-8081,울산광역시 울주군 삼남읍 강당로 23,폴리스티렌 발포 성형제품 제조업 외 1 종
(주)재경산업,052-266-1302,,울산광역시 울주군 온양읍 지더블유산업2길 20,그 외 자동차용 신품 부품 제조업
(주)정도기계기술,052-240-1072,052-239-0993,울산광역시 울주군 온산읍 화산로 137-10,금속탱크 및 저장용기 제조업 외 1 종
(주)정산테크2공장,052-922-0252,,울산광역시 울주군 웅촌면 고연공단5길 40-4,자동차 차체용 신품 부품 제조업
(주)정산테크3공장,052-922-0252,,울산광역시 울주군 웅촌면 고연공단5길 40-9,자동차 차체용 신품 부품 제조업
(주)정우테크,052-268-5078,052-933-5078,울산광역시 울주군 온산읍 처용산업1길 76-16,기타 구조용 금속제품 제조업 외 2 종
(주)정운,052-262-9071,052-262-9072,울산광역시 울주군 언양읍 반천산업로 80-62,자동차용 신품 의자 제조업
(주)정운,052-262-9071,052-262-9072,울산광역시 울주군 언양읍 반천산업로 135-22,그 외 자동차용 신품 부품 제조업
(주)정운 제2공장,052-262-9071,052-262-9072,울산광역시 울주군 언양읍 반천반송산업로 137-56 (주)정운 2공장,그 외 자동차용 신품 부품 제조업
(주)정인테크,052-258-1192,052-258-1193,울산광역시 울주군 웅촌면 고연공단5길 57-10,도장 및 기타 피막처리업
(주)정일프라콤,052-225-0390,052-225-9883,"울산광역시 울주군 웅촌면 와지공단2길 17, (와지일반산업단지 3B8L)",그 외 기타 플라스틱 제품 제조업
(주)정화,052-261-3515,052-261-3516,울산광역시 울주군 웅촌면 고연공단4길 10-14,도장 및 기타 피막처리업 외 1 종
(주)제영,052-262-6347,052-262-6348,울산광역시 울주군 두서면 전읍농공길 47,자동차 차체용 신품 부품 제조업 외 1 종
(주)제이,052-4458-6852,,울산광역시 울주군 언양읍 반천반송산업로 137-17,자동차 차체용 신품 부품 제조업
(주)제이앤케이코퍼레이션,052-256-8542,052-256-8544,울산광역시 울주군 웅촌면 은현공단2길 23 (총 2 필지) 외 1필지,비금속광물 분쇄물 생산업
(주)제이앤케이코퍼레이션 제2공장,052-256-8542,052-256-8544,울산광역시 울주군 웅촌면 은현작동로 296,목재 깔판류 및 기타 적재판 제조업
(주)제이에스발전,070-8740-2898,,울산광역시 울주군 언양읍 반천반송산업로 137-26,배전반 및 전기 자동제어반 제조업
(주)제이에스엠티,052-267-0363,052-267-0364,울산광역시 울주군 온산읍 처용산업로 129-39,"증류기, 열교환기 및 가스발생기 제조업 외 1 종"
(주)제이엠씨 (본점),052-231-5741,052-238-9210,울산광역시 울주군 온산읍 이진로 71 외 1필지,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 3 종
(주)제이엠지테크,052-948-2500,052-948-2502,울산광역시 울주군 서생면 에너지산업4로 34,기타 산업용 유리제품 제조업 외 1 종
(주)제이제이테크,052-257-6582,052-257-3582,"울산광역시 울주군 웅촌면 와지공단2길 12, (제3동)",그 외 자동차용 신품 부품 제조업
(주)제이케이 씨엔씨,052-254-1976,052-254-1977,울산광역시 울주군 상북면 길천산업2길 21,구름베어링 제조업
(주)제이케이이엔지,055-374-1147,055-374-1148,울산광역시 울주군 두서면 활천리 817-18 외 1필지,기타 가공 공작기계 제조업
(주)제이케이이엔지,,055-374-1148,울산광역시 울주군 두서면 활천산업로 39-26,기타 가공 공작기계 제조업
(주)제이콘,052-266-6157,052-269-8208,울산광역시 울주군 청량읍 처용산업로 243-39,그 외 기타 금속가공업
(주)제이테크,052-261-9040,052-261-8257,울산광역시 울주군 웅촌면 고연공단2길 105,육상 금속 골조 구조재 제조업 외 1 종
(주)제이테크,055-295-9861,055-293-6224,울산광역시 울주군 온산읍 화산1길 2,기타 기초 무기 화학물질 제조업
(주)제일화성,052-227-5003,052-260-2660,울산광역시 울주군 웅촌면 고연공단2길 38,일반용 도료 및 관련제품 제조업
(주)제일화성,052-227-5003,052-266-2660,울산광역시 울주군 온산읍 회학3길 38-16,그 외 기타 분류 안된 화학제품 제조업 외 1 종
(주)젠코리아스틸,055-375-0053,,울산광역시 울주군 온산읍 화산로 89 외 1필지,육상 금속 골조 구조재 제조업 외 3 종
(주)조인엔텍,055-362-3800,055-362-3807,울산광역시 울주군 웅촌면 은현작동로 25-3,설치용 및 위생용 플라스틱제품 제조업 외 7 종
(주)주신식품,052-225-3008,052-225-3009,울산광역시 울주군 삼남읍 사촌신복로 524-11,천연 및 혼합조제 조미료 제조업
(주)준영피엔피,052-257-0272,052-257-0347,울산광역시 울주군 웅촌면 고연공단3길 27,도장 및 기타 피막처리업
(주)준영피엔피,052-257-0290,,울산광역시 울주군 온양읍 지더블유산업2길 68,그 외 자동차용 신품 부품 제조업
(주)준플랜텍,052-239-0342,052-239-0343,울산광역시 울주군 서생면 에너지산업3로 88,금속탱크 및 저장용기 제조업 외 2 종
(주)중산기업,052-254-3290,052-254-3295,울산광역시 울주군 삼동면 암리3길 32 (총 5 필지) 외 4필지,볼트 및 너트류 제조업 외 2 종
(주)중산기업 제3공장,052-255-1512,052-254-4291,울산광역시 울주군 삼동면 암리3길 26-8,볼트 및 너트류 제조업 외 2 종
(주)중산기업제2공장,052-254-4290,,"울산광역시 울주군 삼동면 암리3길 25, 외 1필지",볼트 및 너트류 제조업 외 2 종
(주)중화,052-254-9978,052-266-3475,울산광역시 울주군 삼동면 당고개2길 24 (총 2 필지),폴리스티렌 발포 성형제품 제조업 외 1 종
(주)지경,052-256-6065,052-256-7045,울산광역시 울주군 웅촌면 웅촌로 557-41,선박 구성 부분품 제조업
(주)지금,052-267-5312,052-267-5313,울산광역시 울주군 웅촌면 은현공단2길 29-8,자동차 차체용 신품 부품 제조업
(주)지금,052-267-5312,052-267-5313,울산광역시 울주군 웅촌면 은현공단3길 16,자동차 차체용 신품 부품 제조업
(주)지디아이,052-650-8273,,"울산광역시 울주군 청량읍 처용산업3길 135, 경공업 2동 4층 네오그린",그 외 기타 고무제품 제조업
(주)지디아이,,,"울산광역시 울주군 청량읍 처용산업3길 135, 경공업2동 4층",그 외 기타 고무제품 제조업
(주)지매트,,,울산광역시 울주군 삼동면 보은로 154,표면처리 및 적층 직물 제조업
(주)지씨엠씨,055-381-0379,055-388-0380,울산광역시 울주군 삼남읍 운곡4길 18,그 외 기타 일반목적용 기계 제조업
(주)지에스엘바이오코리아,051-790-1803,051-790-1791,울산광역시 울주군 언양읍 평리천길 21,유기질 비료 및 상토 제조업
(주)지엘하이텍,052-239-3204,052-239-3206,울산광역시 울주군 서생면 용연길 209,자동차용 신품 동력전달장치 제조업 외 1 종
(주)지영사,052-239-6904,052-239-6906,울산광역시 울주군 온양읍 남창강변로 80-6,기타 가죽제품 제조업
(주)지영사,052-239-6904,052-239-6906,울산광역시 울주군 온양읍 온양로 199,기타 가죽제품 제조업
(주)지오테크,052-249-0874,052-249-0877,울산광역시 울주군 웅촌면 와지공단길 63-17,그 외 자동차용 신품 부품 제조업 외 3 종
(주)지텍,052-991-6880,052-912-6881,울산광역시 울주군 두서면 활천산업로 50 외 1필지,안전유리 제조업 외 2 종
(주)지티씨,055-587-4570,055-587-3330,울산광역시 울주군 언양읍 반천산업로 203,기체 펌프 및 압축기 제조업
(주)지폴리텍,052-267-0168,052-268-0168,울산광역시 울주군 웅촌면 고연공단1길 39-5,계면활성제 제조업
(주)지피아이,052-971-7055,,울산광역시 울주군 삼남읍 방기가천로 410 외 1필지,그 외 기타 특수목적용 기계 제조업
(주)지혜,052-267-1054,052-267-1053,울산광역시 울주군 웅촌면 고연로 97-9,기타 건축용 플라스틱 조립제품 제조업
(주)지후,052-289-8727,052-289-8725,울산광역시 울주군 온산읍 처용산업1길 4,산업처리공정 제어장비 제조업
(주)진명테크,,,울산광역시 울주군 온산읍 거남1길 23,금속탱크 및 저장용기 제조업 외 1 종
(주)진선그레이팅,052-261-3474,052-269-3251,"울산광역시 울주군 웅촌면 고연공단4길 19, (고연리 290-6) (웅촌면)",구조용 금속 판제품 및 공작물 제조업
(주)진아산업,052-221-9871,052-221-9873,울산광역시 울주군 웅촌면 물건너길 89-1,기타 직물제품 제조업 외 1 종
(주)진우시스템,052-267-1929,052-267-1928,울산광역시 울주군 삼남읍 방기6길 43-12,구조용 금속 판제품 및 공작물 제조업 외 5 종
(주)진우폴리텍,052-254-2755,052-254-3973,울산광역시 울주군 상북면 소야정길 216-13 외 1필지,혼성 및 재생 플라스틱 소재 물질 제조업
(주)진일테크,052-238-9611,052-238-9610,울산광역시 울주군 온산읍 산성길 152-22,기체 여과기 제조업
(주)진흥이엔지,052-291-0466,052-260-0126,울산광역시 울주군 온산읍 덕신로 481 외 3필지,산업용 트럭 및 적재기 제조업
(주)창금코퍼레이션,,0504-098-5873,울산광역시 울주군 웅촌면 곡천검단로 186,산업용 로봇 제조업
(주)천보산업,052-258-1301,052-258-1303,울산광역시 울주군 웅촌면 갓골길 18-7,핵반응기 및 증기보일러 제조업 외 1 종
(주)천호플랜트,052-268-4141,,울산광역시 울주군 청량읍 온산로 758,육상 금속 골조 구조재 제조업 외 1 종
(주)청도,052-256-8100,,울산광역시 울주군 언양읍 반천산업로 199-10,구조용 금속 판제품 및 공작물 제조업 외 6 종
(주)청도,052-256-8100,052-977-9101,울산광역시 울주군 웅촌면 와지공단길 28,강화 및 재생 목재 제조업
