회사명,공장대표주소(도로명),업종명,생산품,전화번호
덕산갈바텍(주),울산광역시남구용연로50번길9(용연동),도금업,용융아연도금,052-256-0443
청아푸드,울산광역시남구산업로340번길22(선암동),도시락류제조업외1종,도시락및빵류제조,052-287-7705
에스피건호,"울산광역시남구용연로179번길32(용연동,흥진산업기계(주))",도장및기타피막처리업,"철강재쇼트,표면처리도장",052-277-7725
우수기업,울산광역시남구처용로540(성암동),도장및기타피막처리업,"금속표면처리(피막,도장)",052-261-7418
대암산업(주),"울산광역시남구용연로98번길16(용연동,대암파카산업사)",도장및기타피막처리업,선박용파이프도장,052-256-4466
신화이디테크㈜여천공장,울산광역시남구여천로196(여천동),도장및기타피막처리업,자동차부품도장,052-287-6901+052-256-6800
대한제당(주)울산공장,"울산광역시남구용잠로457(용잠동,대한제당울산사료공장)",동물용사료및조제식품제조업,배합사료,052-226-4004
㈜아이컨텍,"울산광역시남구테크노산업로 55번길79-10,A동507호(두왕동)",디지털적충성형기,"3D프린터,광경화수지등",
메탈쓰리디(주),"울산광역시남구테크노산업로55번길79-10,a동412호사무실/b동305호공장동(두왕동)",디지털적층성형기계제조업,3D프린팅시제품제작(선박부품),052-700-7730
(주)라오닉스,울산광역시남구테크노산업로55번길79-10B동204호,디지털적층성형기계제조업,3D프린팅시제품자동차공정용부품,052-260-8401
이노자드㈜,"울산광역시남구테크노산업로55번길79-10,A동315호(두왕동)",디지털적층성형기계제조업,"3D프린팅플라스틱시제품,검사지등자동차생산라인부품",031-377-6677
주식회사쓰리디팩토리,울산광역시남구신두왕로51(두왕동),디지털적층성형기계제조업,적층성형기기(3D프린터),070-8819-5890
(주)케이랩스,"울산광역시남구테크노산업로55번길79-10,B동2층203호(두왕동)B동2층203호",디지털적층성형기계제조업외1종,3D프린팅,052-283-4296
야망떡집,울산광역시남구돋질로95-2,떡류제조업,잔기지떡,052-243-8013
울산고래떡방협동조합,울산광역시남구삼산로202번길17-15(달동),떡류제조업,"오븐에구은고래떡,우엉잎송편/인절미/절편,영양떡,약밥,콩시루,파시루떡등",052-271-4848
(주)대원씨앤엠장생포점,울산광역시남구장생포로389(매암동),레미콘제조업,레미콘,052-268-9400
쌍용레미콘㈜울산사업소,울산광역시남구부두로167,레미콘제조업,레미콘,052-266-2211
한라엔컴(주)울산사업소,울산광역시남구부두로37(매암동),레미콘제조업,레미콘,052-256-6121
고래국수,"울산광역시남구장생포고래로271-1,14동(매암동)","면류,마카로니및유사식품제조업",국수,
(주)서영(여천공장),"울산광역시남구여천로215-27(여천동,서영(주))",목재깔판류및기타적재판제조업,목재파레트,052-256-2191
동서물류(주)1공장,울산광역시남구장생포로30(여천동),목재깔판류및기타적재판제조업외1종,"목상자,목제품",052-223-4040
동서물류(주)2공장,울산광역시남구신여천로81(여천동),목재깔판류및기타적재판제조업외1종,"목상자,목제품",052-223-4040
한국포장엔지니어링,울산광역시남구장생포로30(여천동),목재깔판류및기타적재판제조업외1종,"수출박스,파레트",
㈜유티씨,울산광역시남구용잠로74번길14(부곡동),"목재포장용상자,드럼및유사용기제조업",목상자및팔레트포장,052-276-8813
유진산업개발주식회사,"울산광역시남구처용로479(성암동,(주)디케이티)","목재포장용상자,드럼및유사용기제조업",운반및포장용목재상자제조,054-773-1146
(주)서영(울산공장),"울산광역시남구처용로561번길15(성암동,서영(주))","목재포장용상자,드럼및유사용기제조업외1종","목재포장용상자,스틸박스",052-226-6714
㈜유시스,"울산광역시남구테크노산업로 55번길37-12,울산테크노일반산업단지30B-6동(두왕동)",무인비행장치제조업외2종,무인비행장치,052-271-8922
SK온트레이딩인터내셔널,"울산광역시남구신여천로2(고사동,SK(주))","바이오,저탄소연료배터리원소재트레이딩",저탄소연료,052-208-2808
㈜자연산업,울산광역시남구여천로236(여천동),바이오연료및혼합물제조업,"발전용바이오중유,팜유",052-260-9478
제이씨케미칼(주),울산광역시남구신항로852번길36(여천동),바이오연료및혼합물제조업,바이오디젤/바이오중유,052-707-7700+052-273-1500
(주)케미폴리오,울산광역시남구황성동43-2,바이오연료및혼합물제조업,바이오연료및혼합물,051-629-7947
드림바이오(주),울산광역시남구납도로160(여천동),바이오연료및혼합물제조업,발전용바이오디젤,052-268-7772
주식회사케이오에스,울산광역시남구여천로198(여천동),바이오연료및혼합물제조업외1종,바이오중유,052-222-1616
대성아이넷(주)삼산지점,"울산광역시남구왕생로172번길22,2층(삼산동)",방송장비제조업,"CCTV,영상감시장치및방송장비",052-227-5114
주식회사미래산업,울산광역시남구산업로303번길24-10(선암동),방송장비제조업,방송자재.CCTV영상감시,052-266-1111
LG금강전자,울산광역시남구신정로68번길17-1(달동),방송장비제조업,"스피커,CCTV",052-272-2023
주식회사동강네트웍스,"울산광역시남구갈밭로8-1, 3,4층(삼산동)",방송장비제조업외,"CCTV,방송장비제조",
디투제이㈜,울산광역시남구정동로6번길9-12(삼산동),방송장비제조업외1종,"방송용앰프,CCTV카메라",052-266-9092
㈜원우전자,울산광역시남구남산로356.1층,방송장비제조업외1종,"음향장비:스피커,영상장비:CCTV",052-247-1572
(주)엔에스오엠,울산광역시남구처용로53(여천동),방송장비제조업외2종,"구내방송장비,감시및탐지장비등",070-8797-0838
태진미디어통신(주),울산광역시남구두왕로22번길49(선암동),방송장비제조업외2종,"CCTV,amp,방송장비",052-227-5599
(주)하이파이사운드,울산광역시남구수암로20(신정동),방송장비제조업외3종,"방송장비,기타음향기기",052-265-7736
금영전자,울산광역시남구봉월로168(신정동),방송장비제조업외3종,"방송장비,스피커,기타음향기기제조외",052-268-7171
신성아이시티(주),울산광역시남구두왕로48번길9(선암동),방송장비제조업외3종,기판,052-955-0404
다모정보통신(주),울산광역시남구삼호로199,방송장비제조업외3종,"CCTV,방송장비",052-277-0081
월드이엔텍주식회사,울산광역시남구처용로55(여천동),방송장비제조업외4종,"산업용CCTV,방송설비",052-208-6558
주식회사에스엠에이시스템,울산광역시남구돋질로102번길8-1(달동),방송장비제조업외9종,"CCTV,방송장비외",052-222-7700
(주)신호엔지니어링,울산광역시남구강남로410번길5-14(삼산동),배전반및전기자동제어반제조업,"공정제어실험장치,공장자동화기기",052-260-3808
우성기전(주),"울산광역시남구삼산중로131번길38-13(삼산동,해동기전)",배전반및전기자동제어반제조업,전기판넬,052-269-2277
광명기전,울산광역시남구장생포고래로213번길6-33(장생포동),배전반및전기자동제어반제조업,전기판넬,052-258-9729
(주)휴엔스,울산광역시남구두왕로48번길9-25(선암동),배전반및전기자동제어반제조업,PLC&DrivePanel,052-256-5432
(주)나눔오토메이션,울산광역시남구두왕로78번길23(선암동),배전반및전기자동제어반제조업,시스템응용소프트웨어개발공급업,052-223-9150
주식회사엠오디텍,울산광역시남구산업로585번길33(여천동),배전반및전기자동제어반제조업,수배전반,052-258-0036
진성전기,울산광역시남구산업로517번길7(여천동),배전반및전기자동제어반제조업,배전반및전기자동제어반,052-265-3375
한국보전(주),울산광역시남구신여천로47(여천동),배전반및전기자동제어반제조업,전기배전반,052-267-0435
드림테크(주),울산광역시남구정동로42번길4(삼산동),배전반및전기자동제어반제조업,전기판넬(자동레버판넬),052-288-3647
(주)서진시스템,울산광역시남구테크노산업로55번길80-31(두왕동),배전반및전기자동제어반제조업,"자동제어반,PLC",052-256-8335
서진산전,울산광역시남구테크노산업로55번길80-31(두왕동),배전반및전기자동제어반제조업,자동제어반,052-227-0335
영훈이티에스(주),울산광역시남구테크노산업로29번길180(두왕동),배전반및전기자동제어반제조업,배전반판넬제작외,052-288-5068
(주)비앤에스,"울산광역시남구신여천로35번길46(여천동,신대동전기)",배전반및전기자동제어반제조업외12종,"전기판넬,일반조명기구,탐축자등",052-238-4413
(주)한일환경테크,울산광역시남구테크노산업로81번길40,배전반및전기자동제어반제조업외4종,"자동제어반,CCTV,판넬",052-224-0211~2
주식회사한진건설,울산광역시남구테크노산업로 55번길133-3(두왕동),배전판및전기+제어판제조업,배전판,052-265-4600
㈜프로텍메인터넌스,"울산광역시남구테크노산업로 55번길89C동(두왕동)/남구돋질로331,3층301호",배전판및전기자동제어반제조업,전기컨트럴패널,052-911-1741
(주)비엠테크,울산광역시남구납도로222,배터리제조업외1종,"전동지게차배터리,전기오토바이등",052-256-8660
(주)농협사료울산지사,"울산광역시남구용잠로461(용잠동,울산배합사료공장)",배합사료제조업외1종,배합사료(대가축),052-228-4812
클릭코리아(주),울산광역시남구장검1길41-291층,벽지및장판지제조업,그림벽지,052-272-8040
HD현대일렉트릭(주),"울산광역시남구사평로223(선암동,현대중공업(주))외2필지",변압기제조업외5종,"전동기,발전기,전압조정기,전기커넥터,전기터미널,전기제어기등",052-202-8013
삼두종합기술㈜,울산광역시남구테크노산업로 29번길76(두왕동),복합비료및+기타화학비료제조업,"복합비료,화학공장설계용역",052-266-0661
(주)농비,울산광역시남구용잠로583-87(용잠동),복합비료및기타화학비료제조업,액체비료(토양미생물제제),052-257-8377
에이치설퍼(주),울산광역시남구용잠로161(고사동)(총7필지),복합비료및기타화학비료제조업외1종,"유황비료(친환경),SulphurBentonite",052-955-5200
(주)조비,"울산광역시남구여천로163번길22(여천동,조선비료(주))",복합비료및기타화학비료제조업외1종,"복합비료,유기질비료",052-270-7911
(주)팜한농울산공장,울산광역시남구납도로156(매암동),복합비료및기타화학비료제조업외3종,"비료,질산,황산",052-259-6312
주식회사삼성비앤티,울산광역시남구산업로303번길12-3(선암동)주식회사삼성비앤티,볼트및너트류제조업,볼트및너트,052-260-0058
현대비앤,울산광역시남구테크노산업로55번길133-10,볼트및너트류제조업외2종,"볼트,너트",052-257-2020
(주)삼화기업,울산광역시남구중앙로75번길30-13(신정동),비동력식수공구제조업,원터치베이비브러쉬,052-273-6413
(주)한양금속,울산광역시남구신두왕로32(두왕동),비철금속제조업,"필름피막처리코일및팥,ALCOIL",052-289-2114+052-287-4386
도투락식품,울산광역시남구돋질로446번길19,빵류제조업외1종,"빵,과자",052-273-3199
한전산업개발울산에코사업부,울산광역시남구용잠로74번길21,산업가스제조업,액화탄산,070-4851-3381
어프로티움㈜1공장,울산광역시남구처용로35(여천동),산업용가스제조업,"수소,탄산가스,아세틸렌",052-270-8500+8563
동해가스산업,울산광역시남구산업로428(여천동),산업용가스제조업,산소외,052-260-3315
에스케이에어코어㈜,"울산광역시남구처용로72(여천동,한유케미칼(주))",산업용가스제조업,액체탄산(L-CO2),052-256-1641
(주)코리아에어텍,울산광역시남구용잠로14(부곡동),산업용가스제조업,"공업용액화가스,산소,질소,알곤",052-278-6700
에스케이에어플러스,"울산광역시남구용잠로255(고사동,SKC에어가스)",산업용가스제조업,"질소,산소,아르곤",070-7437-1500
에스디지(주),"울산광역시남구용잠로40번길36(부곡동,에스디글로빌(주))",산업용가스제조업,"수소가스,혼합가스,고압가스,가스시공외",052-226-7000
디아이지에어가스㈜,"울산광역시남구처용로487번길18-64(성암동,대성산업가스(주))",산업용가스제조업,"산소,질소,알곤등",052-259-7200
에어프로덕츠코리아(주)울산2공장,울산광역시남구처용로487번길83(용연동),산업용가스제조업,"산소,질소,알곤",052-259-4000
린데수소에너지㈜,울산광역시남구용연로130(용연동),산업용가스제조업,액화수소,052-710-5117
롯데에스케이에너루트주식회사,울산광역시남구상개로174,산업용가스제조업,"수소,산업용가스",052-268-0928
어프로티움㈜2공장,울산광역시남구용잠로169(고사동),산업용가스제조업외1종,"H2,CO2,Steam",052-240-7224
태경가스기술(주),울산광역시남구용연로195번길17(용연동),산업용가스제조업외2종,산업용가스제조및기화장치제조,052-256-0096
화진테크㈜,울산광역시남구두왕로22번길 33-9(선암동),산업용기계제조,철(스텐)구조물,0507-1377-5810+052-261-5810
대경이앤씨㈜,울산광역시남구용잠로40번길30(부곡동),산업용난방보일러및방열기제조업외4종,"열교환기,화학기계,산업기계",052-278-9332
티와이엔지(주),울산광역시남구테크노산업로55번길89(두왕동),산업용냉장및냉동장비제조업외2종,"냉동장비및전기발전,냉동장비및전기발전,냉동장비및전기발전",052-266-8900
㈜케이에스이,울산광역시남구테크노산업로 55번길89(두왕동),산업용냉장및냉동장치,냉동기조립제조,052-227-6655
일진에이테크(주),울산광역시남구산업로81번길60두왕동,"산업용섬유세척,염색,정리및가공기계제조업",원사및섬유기계제작,052-260-9300+052-259-9302(관리부)
명보환경산업,"울산광역시남구장생포로32(여천동,A동)/남구삼산로358코아루빌라체808호우편발송",산업용송풍기및배기장치제조업,"송풍기,닥트",052-261-3421
신엔지니어링,울산광역시남구두왕로64번길14,산업처리공정,감시및제어시스템,052-233-3421+070-7826-1727
주식회사싸이언,울산광역시남구남부순환도로13(무거동),산업처리공정제어장비제조업,"설비진단시스템,방송시스템",052-247-5918
(주)에이티엠,울산광역시남구테크노사업로29번길92,산업처리공정제어장비제조업,소프트웨어,052-273-8727
영진(주),"울산광역시남구돋질로170,2층영진빌딩",산업처리공정제어장비제조업외1종,계측기제어제품조립,052-226-9800
주식회사한유그린시스,울산광역시남구처용로108(선암동),생물살균.살충제및식물보호제제조업,생물살균살충제,052-256-8951
울산금속샷시,울산광역시남구수암로103번길11(신정동),샷시및관련제품제조업,"샷시,문",
SK피유코어,"울산광역시남구용잠로255(고사동,SKpic울산공장)",석유화학계기초화학물질제조업,Polyol원료,052-278-5225
롯데정밀화학㈜,울산광역시남구여천로217번길19(여천동),석유화학계기초화학물질제조업,"ECH,가성소다,메셀로스,요소수등",052-270-6114+031-210-5114
SK어드밴스드(주),울산광역시남구용연로299(황성동),석유화학계기초화학물질제조업,프로필렌및합성수지,052-901-8846
용산케미칼주식회사,"울산광역시남구사평로32(부곡동,용산화학(주))",석유화학계기초화학물질제조업,"무수말레인산,FA,THPA,MLA",052-226-8821
태광산업(주)석유화학2공장,"울산광역시남구산안로46(여천동,태광산업(주))",석유화학계기초화학물질제조업,"프로필렌(ANP),과산화수소",052-259-8613
에스케이피아이씨글로벌㈜,울산광역시남구용잠로255(고사동),석유화학계기초화학물질제조업외1종,"PO,PPG,SM",052-278-5151
울산아로마틱스(주),울산광역시남구처용로487번길154(용연동),석유화학계기초화학물질제조업외1종,"파라자일렌,벤젠",052-208-3637
용산미쓰이화학(주),"울산광역시남구사평로32,외4필지(부곡동)",석유화학계기초화학물질제조업외1종,아크릴아마이드,052-226-8821
한화솔루션(주)울산1공장,"울산광역시남구상개로141(상개동,한화석유(주))",석유화학계기초화학물질제조업외2종,석탄화학계화합물및기타기초무기화학물질제조업,052-279-2109
효성화학(주)용연1공장,"울산광역시남구처용로487번길66(성암동,(주)효성용연1공장)",석유화학계기초화학물질제조업외3종,"폴리프로필렌,NF3",052-208-9026
에스케이지오센트릭(기존공장),울산광역시남구신여천로2,석유화학계기초화학물질제조업외3종,"BTX,에틸렌,프로필렌,폴리머등의석유화학제품",052-208-6008
(주)이엔에프테크놀로지,"울산광역시남구상개로66(상개동,한국알콜산업(주))",석유화학계화합물및기타기초유기화학물질제조업,EST-7030(반도체용케미칼),052-259-4800+4865
KPX글로벌(주),울산광역시남구부두로149,석탄화학계화합물및기타기초무기화학물질제조업,폴리에스터폴리올,052-267-1515
코리아피티지(주)1공장,"울산광역시남구용연로179번길15(용연동,코리아PTG(주))",석탄화학계화합물및기타기초무기화학물질제조업,PTMEG외,052-228-7614
코리아피티지(주)2공장,"울산광역시남구용연로161번길11,(582-4)(용연동)",석탄화학계화합물및기타기초무기화학물질제조업,PTMEG외,052-228-7614+052-257-5240
태광산업(주)석유화학1공장,"울산광역시남구신여천로154(여천동,PTA크레인하우스(주))",석탄화학계화합물및기타기초무기화학물질제조업,PTA,052-259-8613
KPX케미칼㈜울산공장,"울산광역시남구납도로103(여천동,케이피엑스케미칼(주))",석탄화학계화합물및기타기초유기화학물질제조업,PPG(석유화학제품),052-279-0219+052-279-0200(4번관리지원)
(주)삼우,"울산광역시남구사평로251(선암동,삼우화학공업(주))",석탄화학계화합물및기타기초유기화학물질제조업,윤활유첨가제,052-276-5551
효성화학(주)용연2공장,"울산광역시남구처용로487번길65(성암동,효성(주))",석탄화학계화합물및기타기초유기화학물질제조업,"테레프탈산,플리케톤",052-208-9026
주식회사아이에스케미칼,울산광역시남구처용로633,석탄화학계화합물및기타기초유기화학물질제조업,DME,052-256-0083
대한제당(주)울산화학공장,"울산광역시남구용잠로382(용잠동,대한제당울산화학공장)",석탄화학계화합물및기타기초유기화학물질제조업,인산칼슘,052-226-4005
한국알콜산업(주),"울산광역시남구상개로66(상개동,한국알콜산업(주))",석탄화학계화합물및기타기초유기화학물질제조업,"초산에틸,정제주정외",052-259-4800
(주)동신화학,"울산광역시남구처용로688(황성동,동신화학(주))(총3필지)",석탄화학계화합물및기타기초유기화학물질제조업외1종,"정제연료유,MMP(MetylBeta-methoxyPropionate)",052-257-0711
동서석유화학(주),"울산광역시남구사평로108-70(부곡동,동서석유화학(주))",석탄화학계화합물및기타기초유기화학물질제조업외1종,"AN,CAN,NACN","052-259-7600,7627"
(주)후성,울산광역시남구장생포로336(매암동),석탄화학계화합물및기타기초유기화학물질제조업외1종,"냉매가스,2차전지소재,반도체가스외",052-208-8100+052-208-8125
한화임팩트,울산광역시남구사평로71(지원파트),석탄화학계화합물및기타기초유기화학물질제조업외1종,"PTA,고순도테레프탈산,스팅",052-278-6321
태광산업(주)석유화학3공장,"울산광역시남구부곡로68(부곡동,태광산업(주)석유화학3공장)(총4필지)",석탄화학계화합물및기타기초유기화학물질제조업외1종,"AN,NACN,유안비료,아세토니트릴",052-259-8614
애경바이오팜(주),울산광역시남구상개로81(상개동),석탄화학계화합물및기타기초유기화학물질제조업외2종,"Omega-3FattyAcids(EPA,DHA)",052-259-4500+4507
(주)카프로,"울산광역시남구사평로108-12(부곡동,카프로(주))(총3필지)",석탄화학계화합물및기타기초유기화학물질제조업외3종,"카프로락탐,유안",052-270-9500+02-399-1200
㈜태경비케이울산공장,울산광역시남구여천로223(여천동),석회및플라스터제조업,생석회분말,052-265-0050
일진기계(주)1공장,"울산광역시남구용연로248번길52(황성동,일진기계)",선박구성부분품제조업,선박구성부분품,052-259-8800
㈜높임,울산광역시남구처용로850,선박구성부분품제조업,선박용강재절단및강재절곡,052-227-3927
세광기업㈜,"울산광역시남구여천로163번길39(여천동,세광기업(주))",선박구성부분품제조업,선박구조물(ventmast),052-259-7810
동운이엠피㈜(동성정공㈜성암공장),울산광역시남구처용로540(성암동),선박구성부분품제조업,선박용배관자재,052-257-4624
(주)대우종합해사,"울산광역시남구장생포로380(매암동,(주)대우종합해사)",선박구성부분품제조업,"선박부품,선박수리",052-267-3003
HD현대중공업용연공장,울산광역시남구처용로800(황성동),선박구성부분품제조업,선박블록,052-250-3476+052-250-3316
디엠아이에스앤티(주),"울산광역시남구산업로382번길63(여천동,대우선박공업(주))",선박구성부분품제조업,선박수리,052-269-5996
원일공업㈜,울산광역시남구장생포로267(매암동),선박구성부분품제조업,선박구성철구조물제작,052-267-8408
에스테크이엔지주식회사,울산광역시남구장생포로27,선박구성부분품제조업,선박수리및철구조물,052-261-5079
거명테크,울산광역시남구여천로163번길7(여천동),선박구성부분품제조업,선박부품,
제이에스피오션(주),울산광역시남구납도로90(여천동),선박구성부분품제조업,선박구성부분품,052-224-8408
대일전기,울산광역시남구장생포로34(여천동),선박구성부분품제조업,선박부분품,052-271-5959
세호마린솔루션즈(주),"울산광역시남구테크노산업로55번길37-19,친환경전지융합실증화단지203호(두왕동)/남구신정로78번지49,3층사무실로우편발송",선박구성부분품제조업외1종,"해상용수소연료전지시스템,친환경선박신조설계및개조설계",052-971-7310
원엔지니어링(주),울산광역시남구테크노산업로55번길37-26(두왕동),선박기자재,"게이지보드,노즐테스터기",052-287-8561
(주)삼양사울산1공장,"울산광역시남구장생포로285(매암동,삼양사(주))",설탕제조업,"설탕,이온수지",052-279-4541
주방안전관리센터,울산광역시남구화합로247(삼산동),수동식식품가공기기및금속주방용기제조업외1종,주방기기,052-268-0702
은지부산어묵,울산광역시남구봉월로102번길34-1(신정동),수산동물훈제조리및유사조제식품제조업,어묵,052-258-4889
뷰토탈광고사,"울산광역시남구신정로204번길30,202호(제니스타워)(신정동)",스크린인쇄업외3종,"경인쇄물,스크린인쇄물,오프셋인쇄물,기타인쇄물",
쌍용씨앤이(주)울산출하공장,"울산광역시남구부두로167(매암동,쌍용양회울산공장)",시멘트제조업,시멘트,052-261-3311+5
비에마르,"울산광역시남구꽃대나리로57,1층(달동)",식품제조업,"참기름,들기름",052-707-0712
(주)비아이티,울산광역시남구용잠로583-87(용잠동),신재생에너지사업,바이오,052-265-0331
울산알루미늄(주),울산광역시남구부두로393(여천동),"알루미늄제련,정련및합금제조업",알루미늄압연제품,052-279-0944
(주)유승테크,울산광역시남구테크노산업로29번길108,액체펌프제조업,"기계부품제작,기계수리(펌프)",052-256-3501
경남냉동,"울산광역시남구산업로432(여천동,경남냉동)(총5필지)",얼음제조업외1종,칵테일얼음,052-257-7200
(주)보광울산공장,"울산광역시남구여천로217번길3(여천동,보광(주))","염료,조제무기안료,유연제및기타착색제제조업",BlueCrude(안료중간체),052-272-5461
썬케미칼코리아(주),울산광역시남구장생포로196(여천동)(총2필지),"염료,조제무기안료,유연제및기타착색제제조업외1종","Azo,Phthalocyanine계열,안료",052-229-0100
키존(주),울산광역시남구신두왕로27(두왕동),운반기계제조업,전동운반견인차,052-239-1441
대성에코텍주식회사,울산광역시남구납도로222(여천동),운송장비용이차전지제조업외1종,전동지게차용배터리,052-257-3465
SK에너지(주)본공장,"울산광역시남구신여천로2(고사동,SK(주))(총2필지)",원유정제처리업외2종,"휘발유,경유,아스팔트,윤활유등",052-208-6033
주식회사여명테크,"울산광역시남구사평로251(선암동,삼우화학공업(주))",위생용및산업용도자기제조업,양변기,070-4203-7830
주식회사토디이노베이션,"울산광역시남구사평로251(선암동,삼우화학공업(주))",위생용및산업용도자기제조업,대변기,
(주)아이티공간,울산광역시남구월평로68.아이티에스빌딩4층,유선통신장비제조업,스마트센서(EOCR),052-269-0982
마리타임레디오,"울산광역시남구장생포고래로179,201호(장생포동)",유선통신장비제조업,"항해통신장비,신호조달케이블,커넥션장치",052-234-1555
로텍엔지니어링(주),울산광역시남구테크노산업로55번길133-9,유압기기제조업,유압기기제조,052-257-7509
(주)원창하이텍,울산광역시남구테크노산업로55번길133-4(두왕동),유압기기제조업,유압기기제조,052-276-8343
한국제어기술,울산광역시남구테크노산업로29번길124(두왕동),유압기기제조업,자동밸브,052-238-6533
코리아에어터보(주),"울산광역시남구정동로6번길19-9(삼산동,삼우시스템)",유압기기제조업외1종,터보공기압축기부품,052-266-5533
(주)디아이엔지니어링,울산광역시남구용잠로74번길14,육상금속골조구조재제조업,시스템비계수평재,052-287-7727
(주)청오플랜트,울산광역시남구용잠로40번길12(부곡동),육상금속골조구조재제조업외1,"Piping,SteelStructure,배관설치",052-287-5500
울산종합철강,울산광역시남구장생포로19번길1(여천동),육상금속골조구조재제조업외1종,금속조립구조재,052-271-5757
동일산업(주),본사:울산남구봉월로14번길18 +공장:울산광역시남구산안로114,육상금속골조구조재제조업외1종,기계설비공사업,052-261-6611
주강P&C,울산광역시남구장생포로19번길11-17(여천동),육상금속골조구조재제조업외1종,"철구조물,금속조형물",052-257-2462
정우정공사,"울산광역시남구신여천로90,여천동750-27(여천동)",육상금속골조구조재제조업외1종,철구조물,052-297-8235
㈜동경건설,"울산광역시남구처용로55,A동",육상금속골조구조재제조업외1종,신축이음장치(교량),052-256-3350
(주)동경건설,울산광역시남구처용로55(여천동),육상금속골조구조재제조업외1종,금속구조물(신축이음장치),052-256-3350
(주)명진엔지니어링,울산광역시남구용잠로40번길19(부곡동),육상금속골조구조재제조업외1종,"고주파벤딩,배관제작",052-257-9451
SK엔무브㈜기유공장,울산광역시남구신여천로14-101(여천동),윤활유및그리스제조,윤활기유제품생산,052-208-3825
sk엔무브㈜윤활유공장,"울산광역시남구신여천로2(여천동,SK에너지(주))(총15필지)",윤활유및그리스제조업,윤활기유,052-208-3825
유베이스매뉴팩처링아시아㈜,울산광역시남구신여천로14-101(여천동),윤활유및그리스제조업,윤활기유,052-208-3808
모빌코리아윤활유(주),"울산광역시남구부두로163(매암동,모빌코리아윤할유(주))",윤활유및그리스제조업,윤활유,052-216-7117
(주)유수에너지,울산광역시남구용연로295-150(용연동),윤활유및그리스제조업외1종,"재생윤활유,바이오연료",052-256-3533
(주)한유SKETS울산공장,울산광역시남구처용로108(선암동),윤활유및그리스제조업외2종,"윤활유,부동액",052-256-8951+02-3498-5254
미창석유공업㈜울산,울산광역시남구신항로589(황성동),윤활유및그리스제조업외3종,"윤활유,절연유",052-256-7855+052-256-7851
㈜명진시스템울산공장,울산광역시남구산업로440번길30,음향기기제조업,음향기기스피커,055-370-2551
한국케미테크,울산광역시남구납도로218(여천동),일반용도료및관련제품제조업,"페인트세척제,페인트박리제,페인트희석제",052-272-8043
(주)현대케미칼,"울산광역시남구장생포로19번길29(여천동,동진유화공업(주))",일반용도료및관련제품제조업,도료희석제,052-700-5888
(주)아이라이트,울산광역시남구돋질로171번길27(신정동),일반용전기조명장치제조업,LED모듈,052-915-5551
대경상사,울산광역시남구산업로303번길24(선암동),일반용전기조명장치제조업,UPSAVR충전기,052-275-0271
대림항업,울산광역시남구장생포고래로125번길32,일반철물제조업,도선용사다리,052-266-0116
㈜정진오토,울산광역시남구장생포고래로7,자동자재제조부품제조업,자동변속기,052-279-7562
(주)윤영테크,울산광역시남구테크노산업로29번길116(두왕동),자동차용금속압형제품제조업,BOLT,052-256-5601
명화공업㈜울산,"울산광역시남구사평로211(부곡동,명화공업(주))",자동차용신품동력전달장치제조업,"드럼,허브,디스크,오일펌프",052-258-7111
진양오토모티브(주)울산공장,"울산광역시남구장생포로93(여천동,진양화학(주))",자동차용신품조향장치및현가장치제조업,자동차용내장재,055-345-2100
현대자동차㈜엔진공장,"울산광역시남구부두로9(매암동,현대자동차(주))",자동차용엔진제조업,S엔진,052-215-2102
(주)창성테크,울산광역시남구처용로614(황성동),자동차차체용신품부품제조업,"도어트림,차량내장품",052-261-6230
조일공업㈜,울산광역시남구테크노산업로29번길187(두왕동),자동차차체용신품부품제조업,자동차차체용부품,052-280-0900
(주)다온컴퍼니,울산광역시남구여천동363-91,자동차차체용신품부품제조업,자동차부품(범퍼),052-287-7781
정원산업(주),울산광역시남구여천동363-90,자동차차체용신품부품제조업,자동차부품(범퍼류),052-287-7781
현대글로비스(주)울산센터,"울산광역시남구부두로9(매암동,현대자동차(주))",자동차차체용신품부품제조업외1종,"UnderCoverCowl,헤드라인모듈,자동차차체용부품모듈",052-283-5314
대륙금속(주),"울산광역시남구처용로487번길18-53(성암동,대륙금속(주))",자동차차체용신품부품제조업외2종,"자동차용범퍼,R/GRILL",052-239-0834
이스트만화이버코리아(주),"울산광역시남구용연로234(황성동,이스트만화이버코리아(주))",재생섬유제조업,아세테이트토우,052-701-1644
씨에이프로텍(주),울산광역시남구테크노산업로55번길90(두왕동),전기경보및신호장치제조업,원격제어용testbox,052-227-2013
대한카본(주),"울산광역시남구용연로179번길14(용연동,대한가본(주))",전기용탄소제품및절연제품제조업,카본,052-260-3341
에이치디현대일렉트릭㈜용연공장,울산광역시동구방어진순환도로700현대일렉트릭HR지원팀(남구처용로479공장주소),"전기제어,배전판제조",배전판,052-202-8015인사팀
주식회사남북이앤시(E&C),울산광역시남구두왕로34번길34-14(선암동),"전기회로개폐,보호장치제조업외1종","방폭판넬,LED등기구,방폭박스외",052-249-0880
HD현대마린솔루션+글로벌디지털센터,울산광역시남구신두왕로50(두왕동),"전기회로개폐,보호장치제조업외1종",선박용디지털/제어펌프,052-204-5261
(주)경은기전,울산광역시남구산업로641(삼산동),전기회로접속장치제조업,공장자동화설비외,052-227-8230
