회사명,업종명,소재지도로명주소,소재지지번주소,전화번호,팩스번호,데이터기준일자
(주)엠멕,그 외 기타 일반목적용 기계 제조업,울산광역시 북구 무룡로 60-16(연암동) 외 1필지,울산광역시 북구 연암동 502-1 외 1필지,052-288-6040,052-287-5030,2025-11-27
(주)엠멕,그 외 기타 일반목적용 기계 제조업,울산광역시 북구 산성로 96 (효문동),울산광역시 북구 효문동 0,052-288-6040,052-287-5030,2025-11-27
(주)엠아이에스,선박 구성 부분품 제조업 외 2 종,울산광역시 북구 송도길 18 (효문동) 외 1필지,울산광역시 북구 효문동 605번지 외 1필지,052-289-2320,052-289-2322,2025-11-27
(주)엠아이지테크,그 외 기타 특수목적용 기계 제조업,,울산광역시 북구 달천동 모바일테크밸리 일반산업단지 5블럭 6롯트,052-281-5599,052-281-5598,2025-11-27
(주)엠오브이시스템,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 5층 503호 외 1필지,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 5층 503호 외 1필지,052-288-5052,052-288-5453,2025-11-27
(주)엠피에스,전기경보 및 신호장치 제조업 외 1 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 7층 703호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 7층 703호,052-289-7427,052-289-7428,2025-11-27
(주)영남티엠에스,산업처리공정 제어장비 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 7층 713호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 7층 713호,052-222-0588,052-222-0586,2025-11-27
(주)영신전기,배전반 및 전기 자동제어반 제조업,울산광역시 북구 덕곡길 16 1층(천곡동),울산광역시 북구 천곡동 679-1 1층,052-292-1801,052-294-1801,2025-11-27
(주)영진이엔지,일반용 전기 조명장치 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 7층 703호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 7층 703호,,,2025-11-27
(주)오성하이테크,자동차용 신품 의자 제조업,울산광역시 북구 농공단지2길 18 (달천동),울산광역시 북구 달천동 212-2번지,052-298-0314,052-298-0315,2025-11-27
(주)오성하이테크,자동차용 신품 의자 제조업,울산광역시 북구 농공단지5길 11 (달천동),울산광역시 북구 달천동 204-1,052-298-0316,052-298-0315,2025-11-27
(주)와이에스피 울산지점,그 외 자동차용 신품 부품 제조업,울산광역시 북구 매곡산업6길 24 (매곡동),울산광역시 북구 매곡동 886-1번지,052-286-1300,052-295-9532,2025-11-27
(주)와이오유엔지테크,주형 및 금형 제조업,울산광역시 북구 중산산업로 80 (중산동),울산광역시 북구 중산동 1253-3번지,052-293-6970,052-293-6973,2025-11-27
(주)용산,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 무룡로 42 (연암동) 외 4필지,울산광역시 북구 연암동 496번지 외 4필지,052-287-4646,052-219-0755,2025-11-27
(주)우리기업,그 외 자동차용 신품 부품 제조업,울산광역시 북구 중산산업로 39 (중산동),울산광역시 북구 중산동 1255-2번지,052-288-2184,052-287-9176,2025-11-27
(주)우창이엔씨,산업용 냉장 및 냉동 장비 제조업 외 2 종,울산광역시 북구 중산산업2길 42 (중산동),울산광역시 북구 중산동 1265-6번지,052-292-0951,052-292-0955,2025-11-27
(주)울산금속,그 외 기타 금속가공업 외 1 종,울산광역시 북구 염포로 248-8 (진장동),울산광역시 북구 진장동 937-4번지,052-267-2737,052-267-2738,2025-11-27
(주)울산목재산업,일반 제재업,울산광역시 북구 약수9길 26-13 (중산동),울산광역시 북구 중산동 1020-3번지,052-295-3100,052-295-3101,2025-11-27
(주)유니테크,자동차 차체용 신품 부품 제조업,울산광역시 북구 매곡산업1길 20(매곡동),울산광역시 북구 매곡동 347-4,031-495-8072,031-495-8075,2025-11-27
(주)유명,산업용 로봇 제조업,울산광역시 북구 염포로 307 (효문동),울산광역시 북구 효문동 585-7번지,052-210-9900,,2025-11-27
(주)유성테크,배전반 및 전기 자동제어반 제조업,울산광역시 북구 명촌7길 37 (명촌동 유성테크),울산광역시 북구 명촌동 844-1번지,052-289-5657,052-289-5658,2025-11-27
(주)유엔아이홀딩스,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 농공단지4길 31 (달천동),울산광역시 북구 달천동 203-5번지,070-7722-8655,052-269-3944,2025-11-27
(주)유즈 이노베이션,배전반 및 전기 자동제어반 제조업 외 1 종,울산광역시 북구 농공단지5길 23(달천동),울산광역시 북구 달천동 204-3,052-292-3422,052-281-3423,2025-11-27
(주)유창로보텍,산업용 로봇 제조업,울산광역시 북구 농공단지3길 30 (달천동),울산광역시 북구 달천동  210-3번지,052-282-7903,052-282-7979,2025-11-27
(주)윤영테크,자동차용 금속 압형제품 제조업 외 3 종,울산광역시 북구 모듈화산업로 47 (효문동),울산광역시 북구 효문동 993번지,052-256-5601,052-256-5604,2025-11-27
(주)이노아이 1공장,그 외 기타 일반목적용 기계 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 5층 516호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 5층 516호,052-289-5637,052-289-5638,2025-11-27
(주)이로시스,산업용 로봇 제조업,울산광역시 북구 농공단지2길 22 (달천동),울산광역시 북구 달천동 212-1번지,070-8290-2538,070-8290-2539,2025-11-27
(주)이앤아이,전동기 및 발전기 제조업 외 1 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 3층 323호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 3층 323호,052-0289-0730,052-0289-0062,2025-11-27
(주)이엔큐원터치,동력식 수지공구 제조업,울산광역시 북구 매곡산업로 52 (매곡동 (주)KMTC),울산광역시 북구 매곡동 350-1번지 (주)KMTC,052-283-4692,052-283-4693,2025-11-27
(주)인터맥,그 외 기타 일반목적용 기계 제조업,울산광역시 북구 중산산업로 31-7 (중산동),울산광역시 북구 중산동 1258-1,052-246-9821,,2025-11-27
(주)일맥,자동차 구조 및 장치 변경업  외 1 종,울산광역시 북구 매곡산업4길 55 (매곡동) (주)일맥 울산공장,울산광역시 북구 매곡동 874-3 (주)일맥 울산공장,052-292-7774,,2025-11-27
(주)일신테크,기타 가공 공작기계 제조업,울산광역시 북구 농공단지5길 4 (달천동 (주)일신테크) 외 1필지,울산광역시 북구 달천동 205-11 외 1필지,052-288-6400,052-288-6401,2025-11-27
(주)일신테크,기타 가공 공작기계 제조업,울산광역시 북구 매곡산업1길 9 (매곡동 남양테크),울산광역시 북구 매곡동 345-3번지 남양테크,052-288-6400,052-288-6401,2025-11-27
(주)정민에스엠씨,운송장비 조립용 플라스틱제품 제조업 외 2 종,울산광역시 북구 농공단지4길 50 (달천동),울산광역시 북구 달천동 206-4번지,052-281-1470,052-281-1475,2025-11-27
(주)정산,비동력식 수공구 제조업 외 1 종,울산광역시 북구 진장동 707-3번지,울산광역시 북구 진장동 707-3번지,052-700-7047,052-287-8248,2025-11-27
(주)제국전기,배전반 및 전기 자동제어반 제조업 외 1 종,울산광역시 북구 원연암2길 39 (연암동) 외 5필지,울산광역시 북구 연암동 1286-106번지 외 5필지,052-296-3772,052-296-7012,2025-11-27
(주)제영에스엠티,자동차용 신품 의자 제조업,울산광역시 북구 농공단지2길 18 (달천동),울산광역시 북구 달천동 212-2번지,052-298-0314,052-298-0315,2025-11-27
(주)제이소프트기술,절연 코드세트 및 기타 도체 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 6층 612호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 6층 612호,052-287-1199,052-287-2552,2025-11-27
(주)제일기연,기타 가공 공작기계 제조업,울산광역시 북구 중산산업로 64 (중산동),울산광역시 북구 중산동 1254-1번지,052-293-7337,,2025-11-27
(주)중앙오션 울산공장,전동기 및 발전기 제조업,울산광역시 북구 숙보로 13 (효문동 큐론),울산광역시 북구 효문동 697-9번지,052-283-1558,052-283-0036,2025-11-27
(주)지산미디어통신,기기용 자동측정 및 제어장치 제조업 외 3 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 8층 822호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 8층 822호,052-287-9905,052-287-9904,2025-11-27
(주)지테크,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 모듈화산업로 50 (효문동 (주)지테크),울산광역시 북구 효문동 1012번지,052-283-0093,052-283-0094,2025-11-27
(주)진양방화문,구조용 금속 판제품 및 공작물 제조업,,울산광역시 북구 진장동 1051,052-288-8252,052-288-8232,2025-11-27
(주)진우ENG,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,울산광역시 북구 효자로 130 (연암동),울산광역시 북구 연암동 688번지,052-289-4516,052-288-4517,2025-11-27
(주)진우공업,자동차 차체용 신품 부품 제조업,울산광역시 북구 모듈화산업로 71 (효문동),울산광역시 북구 효문동 992번지,052-288-1551,052-287-5237,2025-11-27
(주)진우공업,자동차 차체용 신품 부품 제조업 외 2 종,울산광역시 북구 책골길 23-2 (연암동 구유일산업),울산광역시 북구 연암동 688번지,052-288-1551,052-287-5237,2025-11-27
(주)진우제이아이에스,자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 모듈화산업로 71 (효문동),울산광역시 북구 효문동 992번지,052-289-4513,052-289-4547,2025-11-27
(주)진웅,그 외 자동차용 신품 부품 제조업 외 4 종,울산광역시 북구 매곡산업3길 17 (매곡동 진웅엠피아),울산광역시 북구 매곡동  352-2번지,052-286-8281,052-286-8285,2025-11-27
(주)진웅엠에스,건설 및 채광용 기계장비 제조업,울산광역시 북구 매곡산업3길 17 (매곡동 진웅엠피아),울산광역시 북구 매곡동 352-2번지 진웅엠피아,052-286-4102,052-292-8403,2025-11-27
(주)진웅이앤지,건설 및 채광용 기계장비 제조업,울산광역시 북구 매곡산업3길 17 (매곡동),울산광역시 북구 매곡동 352-2번지,052-286-8281,052-286-8285,2025-11-27
(주)창흥엔지니어링,배전반 및 전기 자동제어반 제조업,울산광역시 북구 매곡산업로 49-51 D동 (매곡동),울산광역시 북구 매곡동 1-1번지 D동,052-288-9929,052-288-9927,2025-11-27
(주)천하엔지니어링,전기회로 접속장치 제조업,울산광역시 북구 염포로 238-8(효문동 천하엔지니어링),울산광역시 북구 효문동 670-12 천하엔지니어링,052-287-3927,,2025-11-27
(주)청림엔지니어링,그 외 기타 일반목적용 기계 제조업 외 1 종,울산광역시 북구 중산산업2길 36 (중산동),울산광역시 북구 중산동 1265-5번지,052-287-4203,052-287-4206,2025-11-27
(주)청우아이엔애스,벽 및 바닥 피복용 플라스틱제품 제조업 외 1 종,울산광역시 북구 농공단지1길 77(달천동 (주)청우아이앤에스),울산광역시 북구 달천동 208-2 (주)청우아이앤에스,052-271-5102,052-267-0015,2025-11-27
(주)청호산업,건설 및 채광용 기계장비 제조업 외 1 종,울산광역시 북구 농공단지5길 22 (달천동 청호산업),울산광역시 북구 달천동 205-4번지,052-282-8861,052-282-8862,2025-11-27
(주)카코,그 외 자동차용 신품 부품 제조업,울산광역시 북구 농공단지1길 32-8 103호(달천동 북구청년창업지원센터),울산광역시 북구 달천동 212-10 북구청년창업지원센터 103호,052-295-0428,0507-563-6727,2025-11-27
(주)칸엔지니어링,그 외 기타 특수목적용 기계 제조업 외 1 종,울산광역시 북구 농공단지1길 32-8 104호(달천동 북구청년창업지원센터),울산광역시 북구 달천동 212-10 북구청년창업지원센터 104호,052-209-0220,052-233-0221,2025-11-27
(주)캠 테크,방송장비 제조업 외 1 종,울산광역시 북구 농공단지1길 32-8 103호(달천동),달천동 212-10 103호,052-277-1000,0504-477-3246,2025-11-27
(주)케이알오토,자동차 차체용 신품 부품 제조업,울산광역시 북구 효산1길 19(효문동 (주)광명기전),울산광역시 북구 효문동 196 (주)광명기전,052-911-0888,052-911-0889,2025-11-27
(주)케이티에너지,일반용 전기 조명장치 제조업 외 2 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 7층 704호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 7층 704호,052-287-0066,052-289-0027,2025-11-27
(주)켐프,도장 및 기타 피막처리업 외 1 종,울산광역시 북구 효문동 158번지,울산광역시 북구 효문동 158번지,052-289-1155,052-289-1157,2025-11-27
(주)코르크로제주,코르크 및 조물제품 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 1층 116호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 1층 116호,064-739-0293,064-738-0294,2025-11-27
(주)코리아시스템,전기회로 개폐 보호장치 제조업 외 1 종,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 7층 709호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 7층 709호,052-288-2579,052-287-2578,2025-11-27
(주)태양엔진,자동차 재제조 부품 제조업,울산광역시 북구 매곡산업4길 66(매곡동 (주)태양엔진),울산광역시 북구 매곡동 873-2 (주)태양엔진,052-288-8991,052-282-8993,2025-11-27
(주)태원,자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 모듈화산업로 251 (연암동 (주)태원),울산광역시 북구 연암동  1366번지,052-287-0834,052-287-1103,2025-11-27
(주)태화로직스,자동차 엔진용 신품 부품 제조업,울산광역시 북구 매곡산업로 15(매곡동),울산광역시 북구 매곡동 342-3,052-287-7552,052-287-7553,2025-11-27
(주)티에이치엔,자동차용 신품 전기장치 제조업 외 1 종,울산광역시 북구 매곡산업2길 13 (매곡동 동해전장(주)),울산광역시 북구 매곡동  353-1번지,052-294-6192,052-294-6197,2025-11-27
(주)티엠에스,자동차용 금속 압형제품 제조업 외 1 종,울산광역시 북구 대안1길 201 (대안동 (주)엠비캠),울산광역시 북구 대안동 1041-48번지,052-281-1184,052-281-1186,2025-11-27
(주)티와이씨,기타 가공 공작기계 제조업,울산광역시 북구 매곡산업1길 11 (매곡동 (주)HSI),울산광역시 북구 매곡동 345-4번지 (주)HSI,052-282-2880,052-294-2880,2025-11-27
(주)포커스,자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 이화산업1길 10 (중산동),울산광역시 북구 중산동 1261-2번지,052-292-0850,052-292-0851,2025-11-27
(주)푸른세상,근무복 작업복 및 유사의복 제조업 외 6 종,울산광역시 북구 농공단지4길 58 (달천동),울산광역시 북구 달천동 206-6번지,052-978-9000,052-978-9001,2025-11-27
(주)피앤테크,주형 및 금형 제조업,울산광역시 북구 매곡산업로 35 자동차부품혁신센터협업혁신관 A 1 (매곡동),울산광역시 북구 매곡동 342-1번지 자동차부품혁신센터협업혁신관 A동 1,052-219-4652,052-219-4653,2025-11-27
(주)피엔디,교통 신호장치 제조업 외 2 종,울산광역시 북구 명촌7길 15 (명촌동 신축건물),울산광역시 북구 명촌동 632번지 신축건물,052-265-8550,052-708-8550,2025-11-27
(주)하이맥스이엔지,배전반 및 전기 자동제어반 제조업,울산광역시 북구 농공단지3길 40 (달천동),울산광역시 북구 달천동 210-5,054-744-5840,052-935-5843,2025-11-27
(주)한강운수,자동차 엔진용 신품 부품 제조업,울산광역시 북구 중산산업3길 4 (중산동),울산광역시 북구 중산동 1265-2번지,052-272-6764,052-272-6764,2025-11-27
(주)한국메탈,비주거용 건물 개발 및 공급업,울산광역시 북구 죽전로 10 (효문동 (주)한국메달),울산광역시 북구 효문동 697번지,052-287-9100,052-288-5678,2025-11-27
(주)한국몰드,주형 및 금형 제조업 외 2 종,울산광역시 북구 매곡산업1길 21 (매곡동 (주)HK몰드),울산광역시 북구 매곡동  354-3번지,052-282-3737,052-282-6512,2025-11-27
(주)한국전기상사,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 111(효문동 (주)한국전기) 외 2필지,울산광역시 북구 효문동 324-3 (주)한국전기 외 2필지,052-266-0900,052-266-0902,2025-11-27
(주)한빛케이에스이,전동기 및 발전기 제조업,울산광역시 북구 중산산업1길 17 (중산동),울산광역시 북구 중산동 1270-2번지,052-219-5812,052-286-9100,2025-11-27
(주)합성기업,강관 제조업 외 1 종,울산광역시 북구 중산산업2길 20 (중산동),울산광역시 북구 중산동 1265-9,052-287-8808,052-287-8668,2025-11-27
(주)해동실업,그 외 기타 고무제품 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 6층 606호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 6층 606호,052-289-4250,052-289-4257,2025-11-27
(주)현대공업,자동차용 신품 의자 제조업,울산광역시 북구 매곡산업5길 28 (매곡동),울산광역시 북구 매곡동 884-1번지,052-276-1900,052-276-1904,2025-11-27
(주)현대공업 매곡2공장,그 외 자동차용 신품 부품 제조업,울산광역시 북구 매곡산업2길 21(매곡동),울산광역시 북구 매곡동 353-4,052-276-1900,052-276-1904,2025-11-27
(주)현대로직스,그 외 자동차용 신품 부품 제조업,울산광역시 북구 중산산업2길 21 (중산동),울산광역시 북구 중산동 1266-5,052-289-5380,052-289-5199,2025-11-27
(주)현대인,자동차 엔진용 신품 부품 제조업 외 2 종,울산광역시 북구 효문2로 43 (효문동),울산광역시 북구 효문동 1031번지,052-070-0020,052-707-0021,2025-11-27
(주)현대전기산전,전기회로 개폐 보호장치 제조업 외 1 종,울산광역시 북구 산성로 73 (효문동),울산광역시 북구 효문동 975-3번지,052-289-1377,052-289-1376,2025-11-27
(주)현진테크,차체 및 특장차 제조업,울산광역시 북구 매곡산업로 49-51 C동(매곡동),울산광역시 북구 매곡동 1-1 C동,052-295-3063,052-295-0388,2025-11-27
(주)협력,그 외 자동차용 신품 부품 제조업 외 4 종,울산광역시 북구 농공단지2길 10 (달천동 (주)협력),울산광역시 북구 달천동 212-3번지,052-281-5200,052-281-5202,2025-11-27
(주)협력,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 연암동 691-21번지 외 1필지 외 1필지,울산광역시 북구 연암동 691-21번지 외 1필지 외 1필지,052-288-5200,052-289-5201,2025-11-27
(주)형제냉동이엔지,산업용 냉장 및 냉동 장비 제조업,울산광역시 북구 달래골길 17 (천곡동),울산광역시 북구 천곡동 542-0,052-209-0501,052-209-0502,2025-11-27
(주)호현1공장,배전반 및 전기 자동제어반 제조업,울산광역시 북구 대안1길 223(대안동 (주)호현),울산광역시 북구 대안동 36-1 (주)호현,052-232-6395,052-232-6398,2025-11-27
(주)호현2공장,배전반 및 전기 자동제어반 제조업,울산광역시 북구 대안1길 223(대안동 (주)호현),울산광역시 북구 대안동 36-1 (주)호현,052-232-6395,052-232-6398,2025-11-27
(주)화성테크,주형 및 금형 제조업,울산광역시 북구 중산산업3길 25 (중산동),울산광역시 북구 중산동 1267-1번지,,052-282-4738,2025-11-27
(주)화신전기통신,배전반 및 전기 자동제어반 제조업 외 2 종,울산광역시 북구 진장20길 13 (진장동),울산광역시 북구 진장동 0,052-288-5287,052-252-5287,2025-11-27
(주)화진기업,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 중산산업1길 18 (중산동),울산광역시 북구 중산동 1271-2번지,052-288-3680,070-4861-2999,2025-11-27
AJ아진(주),자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 효문동 601-1번지 외 1필지,울산광역시 북구 효문동 601-1번지 외 1필지,052-287-9955,052-287-9959,2025-11-27
Auto Korea,배전반 및 전기 자동제어반 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 5층 507호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 5층 507호,052-293-2936,,2025-11-27
DOC,그 외 자동차용 신품 부품 제조업,울산광역시 북구 중산산업3길 24 (중산동),울산광역시 북구 중산동 1266-2번지,052-911-2310,052-911-2311,2025-11-27
M21,방송장비 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 8층 813호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 8층 813호,052-935-8200,052-935-8200,2025-11-27
M-TECH,주형 및 금형 제조업,울산광역시 북구 산성로 73-1 (효문동 강서종합폐차),울산광역시 북구 효문동 975번지,052-287-9318,052-287-9319,2025-11-27
가나안금속,절삭가공 및 유사처리업,울산광역시 북구 책골길 55(연암동 가나안금속),울산광역시 북구 연암동 682-1 가나안금속,052-287-8206,052-288-2239,2025-11-27
가은테크,기타 가공 공작기계 제조업,울산광역시 북구 농공단지3길 57 (달천동),울산광역시 북구 달천동 206-7번지,052-293-4881,052-293-4882,2025-11-27
강남기계공업(주),육상 금속 골조 구조재 제조업 외 7 종,울산광역시 북구 산성로 8 (효문동),울산광역시 북구 효문동 813-3번지,052-287-6761,052-288-6761,2025-11-27
강남기계공업(주) 2공장,육상 금속 골조 구조재 제조업 외 3 종,울산광역시 북구 효암로 300-7 (연암동),울산광역시 북구 연암동 663-8번지,052-287-6761,052-288-6761,2025-11-27
강산계전(주),배전반 및 전기 자동제어반 제조업 외 1 종,울산광역시 북구 관문길 205 (천곡동),울산광역시 북구 천곡동 976-5번지,070-4241-3207,052-245-3207,2025-11-27
강평산업,커튼 및 유사제품 제조업,울산광역시 북구 창평동 470 번지,울산광역시 북구 창평동 470 번지,052-289-2855,052-289-2857,2025-11-27
강호산업(주),그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 모듈화산업로 238 (연암동) 외 1필지,울산광역시 북구 연암동 1362번지 외 1필지,052-287-9192,052-287-9180,2025-11-27
건영기업,기타 플라스틱 발포 성형제품 제조업,울산광역시 북구 농공단지5길 29 (달천동 영테크),울산광역시 북구 달천동 204-6번지 영테크,052-287-9033,052-287-9034,2025-11-27
경덕산업(주),탭 밸브 및 유사장치 제조업,울산광역시 북구 매곡산업1길 4 (매곡동),울산광역시 북구 매곡동 346-2번지,052-297-9586,052-297-9587,2025-11-27
경도산업(주),주형 및 금형 제조업,울산광역시 북구 매곡산업5길 33 (매곡동),울산광역시 북구 매곡동 883-3번지,052-293-7383,052-297-5686,2025-11-27
경민테크,그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 효문동 158-3 번지,울산광역시 북구 효문동 158-3 번지,052-289-4255,052-289-4254,2025-11-27
경보기업(주),자동차 엔진용 신품 부품 제조업 외 1 종,울산광역시 북구 중산산업2길 69 (중산동),울산광역시 북구 중산동 1262-7번지,052-292-7758,052-292-7769,2025-11-27
경보산업,자동차 엔진용 신품 부품 제조업 외 4 종,울산광역시 북구 중산산업2길 69 (중산동),울산광역시 북구 중산동 1262-7번지,052-292-7758,052-292-7769,2025-11-27
경인정보산업,기기용 자동측정 및 제어장치 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 3층 313호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 3층 313호,052-289-4747,052-288-2156,2025-11-27
광덕레이저,기타 가공 공작기계 제조업,울산광역시 북구 농공단지4길 46 (달천동),울산광역시 북구 달천동 206-3번지,052-282-6100,052-282-6060,2025-11-27
광성인비스(주),그 외 자동차용 신품 부품 제조업 외 3 종,울산광역시 북구 효자로 140 (연암동),울산광역시 북구 연암동 694번지,052-287-2298,052-287-2296,2025-11-27
광성정밀,내연기관 제조업,울산광역시 북구 매곡동 1-1번지,울산광역시 북구 매곡동 1-1번지,052-281-6738,052-281-6739,2025-11-27
광성정밀,내연기관 제조업 외 1 종,울산광역시 북구 매곡산업4길 72 (매곡동),울산광역시 북구 매곡동 873-1번지,052-281-6738,052-281-6739,2025-11-27
광진산전(주),전동기 및 발전기 제조업,울산광역시 북구 숙보로 13 (효문동 큐론),울산광역시 북구 효문동 697-9번지,052-283-1555,052-283-0036,2025-11-27
국제프로토산업,주형 및 금형 제조업 외 2 종,울산광역시 북구 농공단지5길 20 (달천동 송풍엔지니어링2공장),울산광역시 북구 달천동 205-3번지,052-296-2489,052-292-6491,2025-11-27
국제프로토산업2공장,주형 및 금형 제조업 외 2 종,울산광역시 북구 농공단지5길 17 (달천동 송풍엔지니어링1공장),울산광역시 북구 달천동 204-2번지,052-296-2489,052-292-6491,2025-11-27
그린엔지니어링,기타 가공 공작기계 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 7층 706호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 7층 706호,052-287-8604,052-287-4677,2025-11-27
그린전기(주),배전반 및 전기 자동제어반 제조업,울산광역시 북구 농공단지5길 16 (달천동 그린전기(주)),울산광역시 북구 달천동 205-2번지,052-282-9571,052-282-9573,2025-11-27
그린테크,기타 측정 시험 항해 제어 및 정밀기기 제조업,울산광역시 북구 농공단지4길 20 그린테크 (달천동 (주)SJ시스텍),울산광역시 북구 달천동 207-2번지 (주)SJ시스텍 그린테크,052-294-2806,052-298-2806,2025-11-27
금강기계공업(주),자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 모듈화산업로 11 (효문동),울산광역시 북구 효문동 996번지,052-283-7023,052-287-9006,2025-11-27
금강기계공업(주),자동차 차체용 신품 부품 제조업 외 6 종,울산광역시 북구 효암로 164 (효문동),울산광역시 북구 효문동 686-1번지,052-288-6001,052-288-5400,2025-11-27
금강철강(주),자동차 차체용 신품 부품 제조업 외 1 종,울산광역시 북구 효암로 164 (효문동),울산광역시 북구 효문동 686-1번지,052-288-6004,052-294-0005,2025-11-27
금봉산업 1공장,선박 구성 부분품 제조업,울산광역시 북구 효암로 334 (연암동 (주)금봉산업),울산광역시 북구 연암동 915번지,052-289-0930,052-289-0933,2025-11-27
금산기계,절삭가공 및 유사처리업,울산광역시 북구 공단길 88 (연암동),울산광역시 북구 연암동 663-13번지,052-228-2661,,2025-11-27
금성메탈,톱 및 호환성 공구 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 8층 807호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 8층 807호,052-288-0945,052-288-0943,2025-11-27
기성산업,그 외 자동차용 신품 부품 제조업,울산광역시 북구 원연암2길 9(연암동),울산광역시 북구 연암동 1286-54,052-294-3968,052-294-3969,2025-11-27
길엔지니어링(주),그 외 기타 특수목적용 기계 제조업,울산광역시 북구 죽전로 4 (효문동),울산광역시 북구 효문동 694-8번지,052-293-7035,052-293-7036,2025-11-27
나라기술,자동차 엔진용 신품 부품 제조업,울산광역시 북구 매곡산업5길 25 (매곡동),울산광역시 북구 매곡동 883-2번지,052-296-8166,052-296-8168,2025-11-27
나원산업 주식회사,자동차용 신품 의자 제조업,울산광역시 북구 마동안길 42 (매곡동) 외 1필지,울산광역시 북구 매곡동 181-1번지 외 1필지,054-775-1230,052-775-1224,2025-11-27
나원산업 주식회사,자동차용 신품 의자 제조업,울산광역시 북구 매곡산업1길 12(매곡동 (주)대일매곡산업),울산광역시 북구 매곡동 346-6 (주)대일매곡산업,054-775-1230,054-775-1224,2025-11-27
나이스건업(주),플라스틱 창호 제조업,울산광역시 북구 아랫마을길 28-6 (달천동 나이스건업(주)),울산광역시 북구 달천동 494-12번지,052-227-8154,052-267-4104,2025-11-27
남경산업(주),컨베이어장치 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 3층 302호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 3층 302호,052-238-8779,052-239-2312,2025-11-27
남성기계,금속 절삭기계 제조업,울산광역시 북구 산성로 40(효문동 울산지식산업센터) 1호동 2층 203호,울산광역시 북구 효문동 812-1 울산지식산업센터 1호동 2층 203호,052-288-4255,052-288-4257,2025-11-27
남일기획,전시 및 광고용 조명장치 제조업 외 1 종,울산광역시 북구 진장13길 14 (진장동),울산광역시 북구 진장동 736-6,052-227-4082,052-970-0866,2025-11-27
남주테크,플라스틱 시트 및 판 제조업 외 1 종,울산광역시 북구 농공단지1길 88 (달천동),울산광역시 북구 달천동 202-1,052-287-9066,052-289-9068,2025-11-27
노벨비엔엘,육상 금속 골조 구조재 제조업 외 1 종,울산광역시 북구 농공단지2길 32-8 (달천동),울산광역시 북구 달천동  211-6번지,052-286-6650,052-286-6560,2025-11-27
