회사명,업종명,생산품,주소,연락처,출처파일,전화번호,대표자명,공장대표주소(지번),공장대표주소(도로명)
(유)삼보정보통신,그 외 기타 전자부품 제조업 외 11 종,"CCTV, 차량검지기, 전광판",전북특별자치도 김제시 서흥공단2길 56 (흥사동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
(유)삼보정보통신,방송장비 제조업 외 3 종,"CCTV, 교통신호등, 전광판등, 차량검지기, 무선방송장치, 원격제어장치, 전원제어장치",전북특별자치도 김제시 월촌공단길 33 (명덕동),,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
주식회사 창운기전,자동차용 신품 제동장치 제조업 외 15 종,"하네스 와이어링커넥터,CCTV, 수배전반, 태양광발전장치, 가로등주, 안내표지판 등",전북특별자치도 김제시 백구면 백구7길 164-78 외 1필지,,전북특별자치도 김제시_제조업공장현황_20250702.csv,,,,
렉스젠㈜,,"스마트교통시스템,차량번호판독시스템",전주시덕진구원만성로127,,전북특별자치도_제조업체 현황_20211231.csv,,,,
㈜아이엠시티,,"차량번호판독기,영상감시장치","전주시덕진구만성북로47,4층",,전북특별자치도_제조업체 현황_20211231.csv,,,,
㈜에스티에스,,차량차단기,"전주시덕진구반룡로109,테크노빌B동207호",,전북특별자치도_제조업체 현황_20211231.csv,,,,
트라웍스㈜,,"영상감시장치, 차량번호판독시스템","전주시덕진구팔과정로20,503-2",,전북특별자치도_제조업체 현황_20211231.csv,,,,
㈜영실,,이동형목욕차량이동욕조휠체어리프트,김제시순동산단길195,,전북특별자치도_제조업체 현황_20211231.csv,,,,
팍코리아,"금속 문, 창, 셔터 및 관련제품 제조업",차량 입+출용 자동문 및 입+출차용 차단기,충청남도 천안시 동남구 병천면 송정리2길 101,,충청남도 천안시_공장(제조업체)현황_20251128.csv,,,,
(주)신광전자,,자동차부품 및 차단기부품,충청북도 청주시 청원구 북이면 대율리 126-6번지,043-213-3784,충청북도_제조업체 현황_20241231.csv,,,,
(주)게이트파킹,,차량차단기,충청북도 음성군 생극면 일생로 389,,충청북도_제조업체 현황_20241231.csv,,,,
