회사명,업종명,생산품,주소,연락처,출처파일,전화번호,대표자명,공장대표주소(지번),공장대표주소(도로명)
대원테크,전투용 차량 제조업 외 28 종,자동화부품외,경상남도 김해시 한림면 가동로 62-42,055-343-4652,경상남도_제조업 현황_20240610.csv,,,,
대원테크,그 외 자동차용 신품 부품 제조업,자동차부품,경상남도 김해시 진례면 송현리 1045-7번지,,경상남도_제조업 현황_20240610.csv,,,,
대지오토모티브(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 주촌면 서부로1637번길 380,055-338-8401,경상남도_제조업 현황_20240610.csv,,,,
대진산업,그 외 자동차용 신품 부품 제조업 외 3 종,"기어, 샤프트","경상남도 김해시 진례면 고모로327번안길 48, 외2",,경상남도_제조업 현황_20240610.csv,,,,
대창단조(주),그 외 자동차용 신품 부품 제조업 외 4 종,자동차및중장비부품,경상남도 김해시 생림면 봉림로 115-92,055-329-3911,경상남도_제조업 현황_20240610.csv,,,,
대창산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,"경상남도 김해시 상동면 상동로543번안길 28, 외1",055-322-6640,경상남도_제조업 현황_20240610.csv,,,,
대하산업,그 외 자동차용 신품 부품 제조업,자동차부품,경상남도 김해시 주촌면 내삼리 1065-1번지,,경상남도_제조업 현황_20240610.csv,,,,
대한테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 김해대로927번길 39,055-343-1945,경상남도_제조업 현황_20240610.csv,,,,
대현산업,그 외 자동차용 신품 부품 제조업 외 3 종,완충포장재,경상남도 김해시 한림면 안곡로 449 (총 3 필지) 외 2필지,055-343-1516,경상남도_제조업 현황_20240610.csv,,,,
대현테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차전차부품,경상남도 김해시 한림면 김해대로974번길 104,,경상남도_제조업 현황_20240610.csv,,,,
대호정기(주),그 외 자동차용 신품 부품 제조업 외 49 종,"라이트,게이지,하례스루",경상남도 김해시 진영읍 서부로179번길 48,055-345-2121,경상남도_제조업 현황_20240610.csv,,,,
대호정기(주),그 외 자동차용 신품 부품 제조업,라이트 등,경상남도 김해시 진례면 고모리 1562-8번지,055-345-2121,경상남도_제조업 현황_20240610.csv,,,,
대화공업사,"플라스틱 선, 봉, 관 및 호스 제조업","자동차램프, 신발EYELET",경상남도 김해시 김해대로2635번길 46 (안동),055-336-1211,경상남도_제조업 현황_20240610.csv,,,,
대환산업,그 외 자동차용 신품 부품 제조업,자동차부품,경상남도 김해시 한림면 용덕리 699-1번지 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
대흥산업,그 외 자동차용 신품 부품 제조업 외 3 종,에어컨파이프(버스),경상남도 김해시 한림면 안하로 103,055-346-0205,경상남도_제조업 현황_20240610.csv,,,,
더클래스(THE CLASS),"치약, 비누 및 기타 세제 제조업 외 1 종","차량용 코팅제/세정제,주방세제.일반 생활화학제품",경상남도 김해시 분성로 562 (어방동),1522-5355,경상남도_제조업 현황_20240610.csv,,,,
덕명기계,톱 및 호환성 공구 제조업,자동차부품,경상남도 김해시 분성로579번길 25 (어방동),055-331-9077,경상남도_제조업 현황_20240610.csv,,,,
덕성프라스틱,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 생림면 나전로 273-6,055-323-7737,경상남도_제조업 현황_20240610.csv,,,,
도성산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 생림면 생림대로669번길 41 외 2필지,,경상남도_제조업 현황_20240610.csv,,,,
도현금속,알루미늄주물 주조업,자동차부품,경상남도 김해시 유하로 183 (유하동),055-322-5190,경상남도_제조업 현황_20240610.csv,,,,
도현이앤씨,그 외 자동차용 신품 부품 제조업 외 3 종,폼패드,경상남도 김해시 한림면 김해대로 1484-62 외 3필지,,경상남도_제조업 현황_20240610.csv,,,,
동경산업사,그 외 자동차용 신품 부품 제조업,자동차부품,경상남도 김해시 진례면 고모로582번길 27,,경상남도_제조업 현황_20240610.csv,,,,
동광공업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 안곡로18번길 18-15 (삼계동),055-337-2545,경상남도_제조업 현황_20240610.csv,,,,
동광공업사,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 안곡로18번길 6-23 (삼계동),,경상남도_제조업 현황_20240610.csv,,,,
동남금속,그 외 자동차용 신품 부품 제조업 외 3 종,"금형밸브, 자동차기계부품",경상남도 김해시 생림면 나전리 산 213-1번지 산업 4-1,051-301-0714,경상남도_제조업 현황_20240610.csv,,,,
동남전기,자동차용 신품 동력전달장치 제조업 외 1 종,변속기,경상남도 김해시 생림면 나전리 산 3번지,055-327-1472,경상남도_제조업 현황_20240610.csv,,,,
동보산업,그 외 자동차용 신품 부품 제조업 외 3 종,"기아베어링, 슬리브",경상남도 김해시 주촌면 내삼리 793-9번지,,경상남도_제조업 현황_20240610.csv,,,,
동서정밀공업사,그 외 자동차용 신품 부품 제조업 외 10 종,자동차부품,경상남도 김해시 김해대로2635번길 11-4 (안동),055-339-6494,경상남도_제조업 현황_20240610.csv,,,,
동성,그 외 자동차용 신품 부품 제조업,자동차부품,경상남도 김해시 진영읍 서부로378번길 7,,경상남도_제조업 현황_20240610.csv,,,,
동성공업사,그 외 자동차용 신품 부품 제조업 외 3 종,이륜자동차부품,경상남도 김해시 안동 2B-27L번지,055-336-3458,경상남도_제조업 현황_20240610.csv,,,,
동신테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 진례면 고모로341번길 79,,경상남도_제조업 현황_20240610.csv,,,,
동아산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 진례면 고모로134번길 40-35,,경상남도_제조업 현황_20240610.csv,,,,
동아산업2공장,그 외 자동차용 신품 부품 제조업 외 3 종,자동차내장제부품,경상남도 김해시 한림면 안곡리 42-2번지,,경상남도_제조업 현황_20240610.csv,,,,
동아산업3공장,그 외 자동차용 신품 부품 제조업 외 3 종,자동차내장제부품,경상남도 김해시 한림면 안곡리 29번지 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
동아포장물류,그 외 자동차용 신품 부품 제조업,자동차 부품,경상남도 김해시 진례면 테크노밸리길 213,055-345-0081,경상남도_제조업 현황_20240610.csv,,,,
동아프라스틱,운송장비 조립용 플라스틱제품 제조업 외 1 종,"전자제품,자동차부품",경상남도 김해시 안동 5B-18L번지,055-334-6871,경상남도_제조업 현황_20240610.csv,,,,
동아플라스틱,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 고모로 760-14,055-346-2692,경상남도_제조업 현황_20240610.csv,,,,
동아화성(주),고무패킹류 제조업 외 1 종,자동차고무제품,경상남도 김해시 유하로 154-9 (유하동) 외 2필지,055-313-1800,경상남도_제조업 현황_20240610.csv,,,,
동양에스엔티,그 외 자동차용 신품 부품 제조업 외 8 종,자동차부품,경상남도 김해시 생림면 나전리 679번지,055-322-0100,경상남도_제조업 현황_20240610.csv,,,,
동양에스엔티,그 외 자동차용 신품 부품 제조업 외 8 종,자동차부품,경상남도 김해시 생림면 나전로161번길 69 (동양에스엔터),055-322-0100,경상남도_제조업 현황_20240610.csv,,,,
동영산업사,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 주촌면 서부로1499번길 49-103,,경상남도_제조업 현황_20240610.csv,,,,
동우철강(주)김해공장,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 주촌면 서부로1403번길 23-24,055-338-6356,경상남도_제조업 현황_20240610.csv,,,,
동원산업,그 외 기타 일반목적용 기계 제조업 외 1 종,자동차부품,경상남도 김해시 상동면 대감리 567번지 외2,,경상남도_제조업 현황_20240610.csv,,,,
동원산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 장방로 136-2,,경상남도_제조업 현황_20240610.csv,,,,
동일산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 삼안로 11-24 (안동),055-339-0715,경상남도_제조업 현황_20240610.csv,,,,
동자기계,기어 및 동력전달장치 제조업,자동차부품,경상남도 김해시 삼안로52번길 10 (지내동),055-327-3363,경상남도_제조업 현황_20240610.csv,,,,
동진산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 김해대로1099번길 75,,경상남도_제조업 현황_20240610.csv,,,,
동진정공(주),그 외 자동차용 신품 부품 제조업 외 19 종,"베인펌프,실린더,차량용환풍기",경상남도 김해시 진영읍 서부로179번길 56,055-342-5081,경상남도_제조업 현황_20240610.csv,,,,
동진정공(주),그 외 자동차용 신품 부품 제조업,유압 CYLINDER,경상남도 김해시 서김해산단안길 55 (풍유동),055-342-5081,경상남도_제조업 현황_20240610.csv,,,,
동춘,그 외 기타 고무제품 제조업,자동차용고무제품,경상남도 김해시 주촌면 서부로1637번길 193,055-328-3048,경상남도_제조업 현황_20240610.csv,,,,
동해공업사,자동차용 금속 압형제품 제조업 외 1 종,자동차부품,경상남도 김해시 진례면 서부로411번길 37,055-346-5600,경상남도_제조업 현황_20240610.csv,,,,
동해기업사,자동차 엔진용 신품 부품 제조업 외 1 종,엔진브라켓,경상남도 김해시 지내동 4B-5L번지,055-324-4893,경상남도_제조업 현황_20240610.csv,,,,
동해화성,고무패킹류 제조업 외 1 종,자동차부품용 고무,경상남도 김해시 진영읍 김해대로58번길 45,,경상남도_제조업 현황_20240610.csv,,,,
동호시스텍(주),그 외 자동차용 신품 부품 제조업 외 3 종,차량변속기,경상남도 김해시 주촌면 서부로1637번길 115-32,055-329-0731,경상남도_제조업 현황_20240610.csv,,,,
두루포징(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 주촌면 서부로1637번길 345,055-329-0114,경상남도_제조업 현황_20240610.csv,,,,
두루포징(주),그 외 자동차용 신품 부품 제조업 외 3 종,로터코아,경상남도 김해시 주촌면 서부로1499번길 113-23,055-329-0114,경상남도_제조업 현황_20240610.csv,,,,
두원SNC,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 진례면 고모로581번길 6,055-345-6651,경상남도_제조업 현황_20240610.csv,,,,
두원정밀,주형 및 금형 제조업 외 7 종,"금형,자동차부품",경상남도 김해시 진례면 고모로134번길 5,055-345-3077,경상남도_제조업 현황_20240610.csv,,,,
드림파트(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 진례면 서부로 464-41,055-346-4471,경상남도_제조업 현황_20240610.csv,,,,
디에스아이주식회사,기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,"전기부품,자동차부품, 전기용탄소제품  및 절연제품",경상남도 김해시 진영읍 본산로269번길 15-24,055-342-2683,경상남도_제조업 현황_20240610.csv,,,,
디에스오토텍(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 용덕로199번길 32-36,055-313-1551,경상남도_제조업 현황_20240610.csv,,,,
디에이치하이텍(주),그 외 기타 금속가공업,"자동차부품, 철제품, 산업기계",,,경상남도_제조업 현황_20240610.csv,,,,
디엠테크2공장(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차 부품(쇼바),"경상남도 김해시 진영읍 하계로240번길 93-14, 디엠테크2공장(주)",055-345-6384,경상남도_제조업 현황_20240610.csv,,,,
따봉정비공업사,건설 및 채광용 기계장비 제조업,자동차부품,경상남도 김해시 생림면 생림대로 638,055-323-9255,경상남도_제조업 현황_20240610.csv,,,,
랑디팬텍(주),기타 가정용 전기기기 제조업,자동차부품,경상남도 김해시 진영읍 김해대로 94-49 외 2필지,,경상남도_제조업 현황_20240610.csv,,,,
로드엘 주식회사,그 외 자동차용 신품 부품 제조업 외 5 종,자동차부품,경상남도 김해시 한림면 김해대로916번길 40-60,055-346-7222,경상남도_제조업 현황_20240610.csv,,,,
로얄테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 김해대로927번길 89-36,055-723-2090,경상남도_제조업 현황_20240610.csv,,,,
로진산업,그 외 기타 의복액세서리 제조업,자동차 내장재,경상남도 김해시 분성로727번길 8-43 (지내동),,경상남도_제조업 현황_20240610.csv,,,,
류정섬유,그 외 자동차용 신품 부품 제조업 외 4 종,"자동차부품,폴리에스테르부품",경상남도 김해시 상동면 상동로375번길 163-5,055-339-6888,경상남도_제조업 현황_20240610.csv,,,,
마이크로스프링,금속 스프링 제조업,"반도체용스프링,자동차스프링",경상남도 김해시 삼안로44번길 3 (지내동),055-324-2717,경상남도_제조업 현황_20240610.csv,,,,
마하테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차계기판,"경상남도 김해시 분성로727번길 5-6, 313-10 (지내동)",055-336-1613,경상남도_제조업 현황_20240610.csv,,,,
명광메탈,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 용덕로199번길 32-42 외 4필지,,경상남도_제조업 현황_20240610.csv,,,,
명성공업사,자동차 엔진용 신품 부품 제조업 외 1 종,자동차부품,경상남도 김해시 주촌면 서부로1541번안길 44-43,,경상남도_제조업 현황_20240610.csv,,,,
명성기계,그 외 자동차용 신품 부품 제조업 외 3 종,카프레타,경상남도 김해시 유하동 856번지 외1,,경상남도_제조업 현황_20240610.csv,,,,
명성산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 주촌면 서부로1499번길 8,,경상남도_제조업 현황_20240610.csv,,,,
명성산업,자동차용 신품 동력전달장치 제조업, 자동차용 동력 전달부품,,,경상남도_제조업 현황_20240610.csv,,,,
명성테크윈,자동차 차체용 신품 부품 제조업,자동차부품,경상남도 김해시 대동면 월촌리 888-1번지 A34 Block 10 Lot,051-301-9647,경상남도_제조업 현황_20240610.csv,,,,
명승공업사,그 외 자동차용 신품 부품 제조업 외 3 종,반자동변속기,경상남도 김해시 장유면 금관대로731번길 20 (내덕동),,경상남도_제조업 현황_20240610.csv,,,,
명승산업사,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 내덕동 561번지 외1,,경상남도_제조업 현황_20240610.csv,,,,
명승산업사,그 외 자동차용 신품 부품 제조업 외 3 종,휠실린더,경상남도 김해시 유하로133번길 42 (유하동) 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
명진금속,볼트 및 너트류 제조업 외 6 종,"볼트,자동차부품",경상남도 김해시 지내동 12B-9L번지,055-325-5044,경상남도_제조업 현황_20240610.csv,,,,
명진테크,자동차용 금속 압형제품 제조업 외 1 종,"자동차,전자부품",경상남도 김해시 진례면 고모로582번길 9,055-344-1100,경상남도_제조업 현황_20240610.csv,,,,
명천기계(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 생림면 나전로161번길 95,055-323-9507,경상남도_제조업 현황_20240610.csv,,,,
무창기계,그 외 자동차용 신품 부품 제조업 외 3 종,방진고무 및 가이드슈,경상남도 김해시 분성로541번길 28 (어방동),055-328-9690,경상남도_제조업 현황_20240610.csv,,,,
미도산업,자동차용 신품 동력전달장치 제조업 외 1 종,동력전달장치,경상남도 김해시 진영읍 하계리 365 번지 외 6필지,,경상남도_제조업 현황_20240610.csv,,,,
미라클(MIRACLE),그 외 자동차용 신품 부품 제조업 외 3 종,"자동차부품,금형엔지니어링","경상남도 김해시 주촌면 골든루트로 80-59, 1동 6층 606",,경상남도_제조업 현황_20240610.csv,,,,
미래기공,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 진례면 산본리 79-1번지 외 5필지,,경상남도_제조업 현황_20240610.csv,,,,
미래산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,"경상남도 김해시 주촌면 서부로1499번길 49-100, 외2",,경상남도_제조업 현황_20240610.csv,,,,
미래산업,배전반 및 전기 자동제어반 제조업,자동차부품,경상남도 김해시 주촌면 소망길 7 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
미래산업,그 외 기타 고무제품 제조업,"전자부품,자동차부품",경상남도 김해시 한림면 안곡로 513,055-344-0791,경상남도_제조업 현황_20240610.csv,,,,
미래엔지니어링,그 외 자동차용 신품 부품 제조업 외 3 종,기계부품,경상남도 김해시 주촌면 서부로1499번길 26-62,055-313-7121,경상남도_제조업 현황_20240610.csv,,,,
미르,그 외 자동차용 신품 부품 제조업,"브라켓류, 파킹브라켓 등 자동차용부품","경상남도 김해시 주촌면 골든루트로129번길 160, B동",055-338-4174,경상남도_제조업 현황_20240610.csv,,,,
미소나라주식회사,그 외 자동차용 신품 부품 제조업,자동차부품조립,,,경상남도_제조업 현황_20240610.csv,,,,
미주공업(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 진영읍 서부로179번길 104,055-342-4334,경상남도_제조업 현황_20240610.csv,,,,
백용공업사,그 외 자동차용 신품 부품 제조업 외 3 종,자동변속장치,경상남도 김해시 상동면 동북로473번길 231,,경상남도_제조업 현황_20240610.csv,,,,
백전산업,그 외 자동차용 신품 부품 제조업,자동차부품,,,경상남도_제조업 현황_20240610.csv,,,,
범일기업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 진영읍 하계리 416-3번지,,경상남도_제조업 현황_20240610.csv,,,,
베스트파트너,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 용덕로199번길 32-48 외 2필지,055-344-2113,경상남도_제조업 현황_20240610.csv,,,,
보광산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 진례면 산본리 52-1번지,055-346-5130,경상남도_제조업 현황_20240610.csv,,,,
보국전자(주),금속 단조제품 제조업,자동차베어링외,경상남도 김해시 한림면 한림로515번길 228 외 2필지,055-8346-3463,경상남도_제조업 현황_20240610.csv,,,,
보금,자동차용 신품 동력전달장치 제조업 외 1 종,전후진셔틀시스템,경상남도 김해시 진영읍 하계로240번길 17-17 외 2필지,055-723-2378,경상남도_제조업 현황_20240610.csv,,,,
보명S&T,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 명동로 45,055-345-7708,경상남도_제조업 현황_20240610.csv,,,,
보명산업,그 외 기타 전자부품 제조업 외 5 종,전자및자동차부품,경상남도 김해시 생림면 나전로137번길 52,055-338-9619,경상남도_제조업 현황_20240610.csv,,,,
보승기전(주),자동차 차체용 신품 부품 제조업 외 1 종,자동차부품,경상남도 김해시 주촌면 서부로1541번안길 50-70,055-326-2641,경상남도_제조업 현황_20240610.csv,,,,
보원테크,자동차 엔진용 신품 부품 제조업 외 1 종,트랜스미션,경상남도 김해시 진영읍 본산로 49-40,,경상남도_제조업 현황_20240610.csv,,,,
봉림금속(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 생림면 봉림로 115,055-329-3913,경상남도_제조업 현황_20240610.csv,,,,
부강스프링주식회사,그 외 자동차용 신품 부품 제조업 외 7 종,"스프링, 자동차부품",경상남도 김해시 한림면 안하로 90 (한림면) 외 1필지,055-323-9201,경상남도_제조업 현황_20240610.csv,,,,
부경MOLD,자동차 차체용 신품 부품 제조업,자동차금형,경상남도 김해시 대동면 월촌리 888-1번지 A29 Block 10 Lot,051-305-7717,경상남도_제조업 현황_20240610.csv,,,,
부경하이테크,그 외 자동차용 신품 부품 제조업,"검사구,지그",경상남도 김해시 한림면 퇴래리 1080-3번지 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
부곡스텐,그 외 자동차용 신품 부품 제조업 외 3 종,오페레이팅레바,경상남도 김해시 진례면 송현리 273-5 외 2필지,,경상남도_제조업 현황_20240610.csv,,,,
부광정밀공업(주),그 외 자동차용 신품 부품 제조업 외 3 종,공작기계,경상남도 김해시 진영읍 하계로105번길 15,055-342-4775,경상남도_제조업 현황_20240610.csv,,,,
부국산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 진영읍 하계로 211-15,,경상남도_제조업 현황_20240610.csv,,,,
부국정공(주),그 외 자동차용 신품 부품 제조업 외 20 종,Rear Axle Shaft 외,경상남도 김해시 진례면 테크노밸리1로 58,055-251-4501,경상남도_제조업 현황_20240610.csv,,,,
부림테크,자동차 엔진용 신품 부품 제조업 외 5 종,"damper, 클러치부스타실린더 외","경상남도 김해시 진례면 테크노밸리1로 64-16, 부림테크",055-346-3240,경상남도_제조업 현황_20240610.csv,,,,
부성레이져,자동차용 금속 압형제품 제조업 외 1 종,레이저가공및절단,경상남도 김해시 상동면 동북로 451,,경상남도_제조업 현황_20240610.csv,,,,
부성스틸,자동차용 금속 압형제품 제조업 외 1 종,철판,경상남도 김해시 한림면 김해대로1031번길 106-40,055-342-3361,경상남도_제조업 현황_20240610.csv,,,,
부영금속,자동차용 금속 압형제품 제조업 외 3 종,자동차부품및철구조물,경상남도 김해시 진례면 고모로 589,055-345-4188,경상남도_제조업 현황_20240610.csv,,,,
부웅테크,그 외 자동차용 신품 부품 제조업 외 3 종,산업용설비,경상남도 김해시 한림면 장방로 248,,경상남도_제조업 현황_20240610.csv,,,,
부원,그 외 자동차용 신품 부품 제조업 외 3 종,자돋차부품,경상남도 김해시 진례면 진례로371번길 24-15,055-345-5272,경상남도_제조업 현황_20240610.csv,,,,
부일수지공업사,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차 및 전자부품,경상남도 김해시 금관대로719번길 31 (내덕동),055-313-3501,경상남도_제조업 현황_20240610.csv,,,,
부일휠타,그 외 자동차용 신품 부품 제조업 외 3 종,자동차용 오일 FILTER,경상남도 김해시 삼안로 69 (안동),055-335-1720,경상남도_제조업 현황_20240610.csv,,,,
블루테크,자동차용 신품 동력전달장치 제조업 외 1 종,전후진셔틀시스템,경상남도 김해시 진례면 평지길 15,,경상남도_제조업 현황_20240610.csv,,,,
비광 주식회사,기타 기계.장비 조립용 플라스틱 제품 제조업,"전자제품, 자동차 금형제작 등",,055-314-5874,경상남도_제조업 현황_20240610.csv,,,,
비에스산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 안곡리 34-1번지 외 1필지,,경상남도_제조업 현황_20240610.csv,,,,
비오비테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 생림면 나전리 554-3 번지,055-337-4648,경상남도_제조업 현황_20240610.csv,,,,
비원테크,"산업용 오븐, 노 및 노용 버너 제조업 외 4 종","공업로, 산업용오븐, 자동차부품","경상남도 김해시 한림면 김해대로1538번길 19, G,F동",055-311-2077,경상남도_제조업 현황_20240610.csv,,,,
비제이정공,자동차용 신품 동력전달장치 제조업,유압 및 전자식 클러치,경상남도 김해시 주촌면 내삼리 1100-6번지,,경상남도_제조업 현황_20240610.csv,,,,
빅스틸(주),기타 구조용 금속제품 제조업,"자동차파레트,태양광구조물,농협파레트",경상남도 김해시 한림면 명동산단로 42,,경상남도_제조업 현황_20240610.csv,,,,
삼경정기(주),자동차 엔진용 신품 부품 제조업 외 4 종,"범프,엔진부품",경상남도 김해시 주촌면 서부로1430번길 27-97,055-338-7450,경상남도_제조업 현황_20240610.csv,,,,
삼경정기(주),자동차용 신품 동력전달장치 제조업 외 1 종,자동차브레이크및 엔진,경상남도 김해시 주촌면 서부로1403번길 60,055-338-7452,경상남도_제조업 현황_20240610.csv,,,,
삼광테크,금속 절삭기계 제조업 외 2 종,"자동차 변속기 부품, 공작기계 부품, 산업기계 부품",경상남도 김해시 주촌면 농소리 628-1번지,055-297-8192,경상남도_제조업 현황_20240610.csv,,,,
삼보방전,그 외 자동차용 신품 부품 제조업,금형,경상남도 김해시 대동면 월촌리 888-1번지 A36 Block 1 Lot,051-303-8252,경상남도_제조업 현황_20240610.csv,,,,
삼보엔지니어링,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 진례면 고모로180번길 81,,경상남도_제조업 현황_20240610.csv,,,,
삼부고무공업(주),산업용 그 외 비경화 고무제품 제조업,"자동차,전자 고무제품",경상남도 김해시 대동면 월촌리 888-1번지 A8 Block 1 Lot,051-301-1415,경상남도_제조업 현황_20240610.csv,,,,
삼부기업사,자동차용 금속 압형제품 제조업 외 1 종,탑차부품,경상남도 김해시 한림면 김해대로 1405-17,055-329-5421,경상남도_제조업 현황_20240610.csv,,,,
삼성정밀관,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 생림면 나전로 385-2,055-322-5040,경상남도_제조업 현황_20240610.csv,,,,
삼신브레이크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 주촌면 서부로1638번길 133-14,055-323-8365,경상남도_제조업 현황_20240610.csv,,,,
삼영기업,그 외 자동차용 신품 부품 제조업 외 3 종,샤프트 기어,경상남도 김해시 생림면 나전리 338-2번지 외2,,경상남도_제조업 현황_20240610.csv,,,,
삼영산업,정형 내화 요업제품 제조업 외 1 종,자동차부품,경상남도 김해시 진례면 고모로327번안길 1-21,055-345-7279,경상남도_제조업 현황_20240610.csv,,,,
삼영산업,그 외 기타 특수목적용 기계 제조업 외 1 종,자동차부품,경상남도 김해시 상동면 매리 607-63번지,055-323-5858,경상남도_제조업 현황_20240610.csv,,,,
삼영산업,전투용 차량 제조업 외 15 종,자동차용 금속압형제품,경상남도 김해시 분성로557번길 60-7 (어방동),055-333-3303,경상남도_제조업 현황_20240610.csv,,,,
삼영알미늄(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 장방로 41-14,055-345-0061,경상남도_제조업 현황_20240610.csv,,,,
삼우공업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 상동면 묵방로120번길 10-5,055-323-7025,경상남도_제조업 현황_20240610.csv,,,,
삼우테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 한림면 명동로63번길 19-1,055-346-2033,경상남도_제조업 현황_20240610.csv,,,,
삼원기업,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차플라스틱제품,경상남도 김해시 주촌면 서부로1701번안길 142-95,055-345-7251,경상남도_제조업 현황_20240610.csv,,,,
삼일정공,그 외 자동차용 신품 부품 제조업 외 28 종,자동차부품,경상남도 김해시 생림면 생림대로939번길 2-25 (총 3 필지) 외 2필지,055-326-7971,경상남도_제조업 현황_20240610.csv,,,,
삼진산업,그 외 자동차용 신품 부품 제조업 외 3 종,자동차브레이크부품,경상남도 김해시 진영읍 본산리 305-10번지,,경상남도_제조업 현황_20240610.csv,,,,
삼현F.A,그 외 자동차용 신품 부품 제조업 외 3 종,자동차지그,경상남도 김해시 진례면 고모로581번길 20,055-346-2866,경상남도_제조업 현황_20240610.csv,,,,
상아정밀(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 주촌면 서부로1499번안길 14,,경상남도_제조업 현황_20240610.csv,,,,
상우기업(1공장),자동차 차체용 신품 부품 제조업 외 2 종,브라켓,경상남도 김해시 상동면 동북로437번길 143-19,055-342-8306,경상남도_제조업 현황_20240610.csv,,,,
새한금속,자동차용 금속 압형제품 제조업 외 1 종,철판절단및절곡,경상남도 김해시 한림면 김해대로916번길 40-34,055-329-5007,경상남도_제조업 현황_20240610.csv,,,,
서륭정공(주),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 김해시 장유로89번길 13-17 (부곡동),055-323-1615,경상남도_제조업 현황_20240610.csv,,,,
서륭정공(주),그 외 자동차용 신품 부품 제조업,자동차부품,경상남도 김해시 주촌면 이지산단로 72,055-313-1615,경상남도_제조업 현황_20240610.csv,,,,
서원산업,그 외 기타 금속가공업,"자동차안테나,전자렌지부품",경상남도 김해시 한림면 김해대로916번길 54-49,055-323-5585,경상남도_제조업 현황_20240610.csv,,,,
