순번,회사명,대표자명,전화번호,공장대표주소(도로명),업종명,생산품,데이터기준일자
167,청도군산림조합임산물유통센터,박순열,,경상북도 청도군 각남면 칠성리 211 외 3필지,기타 과실ㆍ채소 가공 및 저장 처리업,임산물가공품,2024-05-16
168,청도농산,이종평,054-371-2258,경상북도 청도군 청도읍 월곡리 300-17번지,"식초, 발효 및 화학 조미료 제조업",식초,2024-05-16
169,청도농특산품,윤경아,,경상북도 청도군 화양읍 합천길 6-101,기타 과실ㆍ채소 가공 및 저장 처리업,"반건시, 감말랭이",2024-05-16
170,청도대감영농조합법인,강신태,054-373-2579,경상북도 청도군 청도읍 송읍길 2-12,기타 과실ㆍ채소 가공 및 저장 처리업,"반건시,감말랭이,연시",2024-05-16
171,청도대감영농조합법인 2공장,강신태,,경상북도 청도군 청도읍 송읍길 2-33,기타 과실ㆍ채소 가공 및 저장 처리업,"아이스홍시, 감말랭이, 반건시",2024-05-16
172,청도반시유통영농조합법인,이종두,054-373-8577,경상북도 청도군 화양읍 청려로 1681 외 3필지,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭이,반건시",2024-05-16
173,청도참다운한우영농조합법인,박홍규,054-371-3772,경상북도 청도군 금천면 윗동실길 2-25,배합 사료 제조업 외 1 종,반추동물용 섬유질배합사료,2024-05-16
174,청우레미콘 (주),박종면,054-373-8500,경상북도 청도군 화양읍 청려로 1822 외 4필지,레미콘 제조업 외 3 종,레미콘,2024-05-16
175,청호스틸,신호철,054-371-4028,경상북도 청도군 풍각면 봉기1길 31-16,금속선 가공제품 제조업,철망류,2024-05-16
176,친정농업회사법인주식회사,정희순,,경상북도 청도군 이서면 각계길 25,기타 비알코올 음료 제조업,식혜,2024-05-16
177,카페초(Cafe Cho),권성혜,,경상북도 청도군 화양읍 삼신리 1192,기타 과실ㆍ채소 가공 및 저장 처리업,"건조과일차,과일 청",2024-05-16
178,케이지케미칼(주)청도공장 ,"곽정현, 김재익",054-373-9882,경상북도 청도군 각남면 옥산길 133,복합비료 및 기타 화학비료 제조업 외 1 종,유기질비료,2024-05-16
179,케이티네트워크(주),이종금,054-371-5850,경상북도 청도군 풍각면 봉기1길 33,그 외 자동차용 신품 부품 제조업 외 3 종,와이어링,2024-05-16
180,클릭에코텍  ,류호영  ,054-371-0071,경상북도 청도군 풍각면 봉기1길 32-9,특수 직물 및 기타 직물 직조업 외 1 종,"프라스틱선, 봉,관, 식생, 보행매",2024-05-16
181,팜앤푸드농업법인(주),김종만 ,070-8833-0886,경상북도 청도군 청도읍 팔치길 80-12,기타 과실ㆍ채소 가공 및 저장 처리업,민들레즙외20종,2024-05-16
182,포스텍에너지(주),나혜원,053-743-0702,경상북도 청도군 풍각면 석통차산길 57,"산업용 오븐, 노 및 노용 버너 제조업","태양열집열기, 지열히트펌프",2024-05-16
183,풍각두부공장,현재석,054-372-0952,경상북도 청도군 풍각면 송서7길 7-4,두부 및 유사식품 제조업,"두부,비지",2024-05-16
184,풍년에코텍,송현호,,경상북도 청도군 청도읍 남성현로 20-32,유기질 비료 및 상토 제조업,4종 복합비료,2024-05-16
185,하나창호산업,황주철,,경상북도 청도군 화양읍 합천리 612-1번지,플라스틱 창호 제조업,샤시,2024-05-16
186,하늘감마을(주)농업회사법인,윤성덕,070-4755-2515,경상북도 청도군 풍각면 봉기로 111-1,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭이, 반건시",2024-05-16
187,하늘담은 영농조합법인,최환석,,경상북도 청도군 금천면 신지리 533-4,천연 및 혼합조제 조미료 제조업 외 1 종,"참기름, 고춧가루, 볶음깨",2024-05-16
188,하림나노텍유한회사,임영진,054-373-7055,경상북도 청도군 풍각면 봉기1길 17,복합비료 및 기타 화학비료 제조업,복합비료,2024-05-16
189,학암농원영농조합법인,박병대,054-372-4575,경상북도 청도군 이서면 이서로 150-49,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭이,반건시",2024-05-16
190,한재미나리영농조합법인,박이준,,경상북도 청도군 한재로 363 (청도읍),기타 과실ㆍ채소 가공 및 저장 처리업,음료 및 농축액,2024-05-16
191,해청영농,문순영,054-373-4050,경상북도 청도군 화양읍 송북1길 51-13,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭이,반건시",2024-05-16
192,효성오앤비(주),박태헌,054-371-1728,경상북도 청도군 매전면 매전신촌길 49-17,배합 사료 제조업 외 3 종,유기질비료,2024-05-16
193,효성팜영농조합법인,이효성,054-372-7788,경상북도 청도군 청도읍 덕암길 193,기타 과실ㆍ채소 가공 및 저장 처리업,"감말랭이, 반건시",2024-05-16
