연번,업체명,도로명주소,지번주소,산업분류코드,업종명,전화번호,팩스번호,종업원수
221,(주)유일코퍼레이션,경상북도 성주군 월항면 월항농공단지1길 24,경상북도 성주군 월항면 장산리 1543번지,"13213, ",화학섬유직물 직조업,054-931-4442,054-931-4443,18
222,(주)유정바이오텍,경상북도 성주군 월항면 유월2길 62 외 2필지,경상북도 성주군 월항면 유월리 397 외 2필지,"13221, ",침구 및 관련제품 제조업,,053-614-4106,5
223,(주)은성무역 성주공장,경상북도 성주군 선남면 문방공단길 136-17 ((주)덕일),경상북도 성주군 선남면 문방리 1400-10번지,"13104, ",연사 및 가공사 제조업,054-931-5273,054-931-5274,3
224,(주)은성텍스,경상북도 성주군 선남면 용신공단길 13 (성창직물),경상북도 성주군 선남면 용신리 904-2번지,"13213, ",화학섬유직물 직조업,,054-931-4338,12
225,(주)이노켐,경상북도 성주군 용암면 사곡공단2길 18 외 4필지,경상북도 성주군 용암면 사곡리 848-4번지 외 4필지,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업,054-933-1422,054-931-1420,14
226,(주)이레엔지니어링,경상북도 성주군 선남면 용신리 643-14번지 외 6필지,경상북도 성주군 선남면 용신리 643-14번지 외 6필지,"29150, 25122, 29171, 29175, 29176, 29177, 29199, 29223, 29229, 29250, 29261, 29299","산업용 오븐, 노 및 노용 버너 제조업 외 11 종",054-931-9127,054-931-9128,3
227,(주)이루테크,"경상북도 성주군 선남면 명관로 337-112, 외 3필지",경상북도 성주군 선남면 취곡리 249-1 외 3필지,"30399, 24321",그 외 자동차용 신품 부품 제조업 외 1 종,054-931-1727,054-931-1728,28
228,(주)이루테크 2공장,경상북도 성주군 선남면 명관로 337-57,경상북도 성주군 선남면 취곡리 251-2,"30399, ",그 외 자동차용 신품 부품 제조업,054-931-1724,054-933-1724,9
229,(주)이송이엠씨 성주공장,경상북도 성주군 초전면 주천로 1281 (이송이업씨) (총 15 필지) 외 14필지,경상북도 성주군 초전면 용봉리 188-4번지 외 14필지,"26429, 26421, 26422",기타 무선 통신장비 제조업 외 2 종,054-931-0751,054-931-0752,20
230,(주)이엠지전선,경상북도 성주군 월항면 유월공단길 15-34,경상북도 성주군 월항면 유월리 162-27번지,"28302, ",기타 절연선 및 케이블 제조업,054-931-2611,054-931-2615,84
231,(주)이코우,경상북도 성주군 선남면 선남농공단지길 38 ((주)이코우),경상북도 성주군 선남면 도성리 732-12번지,"29176, 26421, 26429, 27213, 27214, 27215, 28123, 29131, 29163, 29299",액체 여과기 제조업 외 9 종,054-933-1870,054-933-1872,19
232,(주)이화테크노,경상북도 성주군 선남면 용신공단길 33,경상북도 성주군 선남면 용신리 900-5번지,"13992, ",부직포 및 펠트 제조업,054-932-5725,054-932-5726,4
233,(주)일성산업,경상북도 성주군 월항면 월항농공단지1길 44,경상북도 성주군 월항면 장산리 1536번지,"22231, 22212, 22213","플라스틱 포대, 봉투 및 유사제품 제조업 외 2 종",054-977-8827,054-977-8826,37
234,(주)일성이엔지,경상북도 성주군 선남면 선노로 40-28 외 5필지,경상북도 성주군 선남면 소학리 1088-1 외 5필지,"25112, 25121, 25122, 29171, 29176, 29299",구조용 금속 판제품 및 공작물 제조업 외 5 종,,054-931-7547,10
235,(주)일신에코플라텍,경상북도 성주군 선남면 문방길 363-19 (선창식품기계) 외 1필지,경상북도 성주군 선남면 문방리 1123번지 외 1필지,"38321, 38322",비금속류 해체 및 선별업 외 1 종,054-933-5390,054-933-5389,5
236,(주)장현,경상북도 성주군 용암면 용정공단길 40,경상북도 성주군 용암면 용정리 388번지,"13213, ",화학섬유직물 직조업,054-931-2320,054-931-5723,10
237,(주)정현로드텍,경상북도 성주군 선남면 관용로 316-16 외 2필지,경상북도 성주군 선남면 오도리 271-4 외 2필지,"22299, ",그 외 기타 플라스틱 제품 제조업,053-964-0933,053-964-0977,3
238,(주)제스코,경상북도 성주군 월항면 월항농공단지1길 1 ((주)제스코),경상북도 성주군 월항면 장산리 1532번지,"24132, ",강관 제조업,054-931-0700,054-931-0705,28
239,(주)제이앤디테크,경상북도 성주군 선남면 신부리 53-14번지 외 3필지,경상북도 성주군 선남면 신부리 53-14번지 외 3필지,"22241, ",운송장비 조립용 플라스틱제품 제조업,,054-932-5069,19
240,(주)제이에스글로벌,경상북도 성주군 선남면 문방길 17-15,경상북도 성주군 선남면 오도리 446,"25994, ",금속 표시판 제조업,054-932-0102,054-932-0102,3
241,(주)제이에스엘,경상북도 성주군 선남면 관용로 453-23,경상북도 성주군 선남면 오도리 105번지,"24212, ","알루미늄 제련, 정련 및 합금 제조업",054-931-6631,054-933-6632,5
242,(주)제이에스텍스타일,경상북도 성주군 월항면 보암공단길 29 (월항면),경상북도 성주군 월항면 보암리 741번지,"13104, ",연사 및 가공사 제조업,,054-932-0373,2
243,(주)제이이티,경상북도 성주군 선남면 도성2길 198-16,경상북도 성주군 선남면 도성리 39-6,"29271, ",반도체 제조용 기계 제조업,054-931-4940,053-289-1083,26
244,(주)제일CPT 성주공장,경상북도 성주군 월항면 월항로 147,경상북도 성주군 월항면 장산리 1547번지,"20202, ",합성수지 및 기타 플라스틱 물질 제조업,054-931-6111,054-931-5792,16
245,(주)제일정밀공업,"경상북도 성주군 선남면 명관로 337-65, (취곡리 288-1)",경상북도 성주군 선남면 취곡리 288-1번지 (취곡리 288-1),"29293, ",주형 및 금형 제조업,,053-586-8941,1
246,(주)조은이엔티,경상북도 성주군 선남면 성주로 3758-19 외 1필지,경상북도 성주군 선남면 관화리 1055-2번지 외 1필지,"29299, 29163, 29169, 29176",그 외 기타 특수목적용 기계 제조업 외 3 종,053-556-0055,053-289-0075,14
247,(주)중원코리아 제1공장,경상북도 성주군 용암면 성암로 1154-18 (주건축물제1동),경상북도 성주군 용암면 용계리 800-6번지,"22232, ",포장용 플라스틱 성형용기 제조업,,054-933-7815,10
248,(주)중원페이퍼,경상북도 성주군 선남면 용신리 898-6번지,경상북도 성주군 선남면 용신리 898-6번지,"17909, ",그 외 기타 종이 및 판지 제품 제조업,054-931-3120,054-931-3124,10
249,(주)지에이치테크,경상북도 성주군 선남면 취곡리 266-12번지 외 1필지,경상북도 성주군 선남면 취곡리 266-12번지 외 1필지,"29163, 29176, 29299",컨베이어장치 제조업 외 2 종,054-933-9239,054-933-9237,7
250,(주)지이엔씨,경상북도 성주군 대가면 대금로 114 ((주)지이앤씨),경상북도 성주군 대가면 도남리 647-8번지,"23999, ",그 외 기타 분류 안된 비금속 광물제품 제조업,,054-931-6722,10
251,(주)지호산업,경상북도 성주군 선남면 선노로 727,경상북도 성주군 선남면 용신리 1062-3번지,"29299, 25122, 25933, 29162, 29163, 29176, 29199",그 외 기타 특수목적용 기계 제조업 외 6 종,054-932-4162,054-932-4163,4
252,(주)진광산업,경상북도 성주군 용암면 성암로 1086-4,경상북도 성주군 용암면 용계리 687-1번지,"23993, ",비금속광물 분쇄물 생산업,054-933-1348,054-933-1351,5
253,(주)진성기계,경상북도 성주군 선남면 나선로 932-38 (진성머쉰너리) (총 3 필지) 외 1필지,경상북도 성주군 선남면 선원리 455-1번지 외 1필지,"29291, ","고무, 화학섬유 및 플라스틱 성형기 제조업",054-931-8155,054-931-8157,9
254,(주)착한푸드,경상북도 성주군 선남면 성원1길 83,경상북도 성주군 선남면 성원리 678-3,"10129, ",육류 기타 가공 및 저장처리업 (가금류 제외),054-933-0586,054-933-0587,5
255,(주)참,경상북도 성주군 선남면 명관로 337-34,경상북도 성주군 선남면 동암리 531-1번지,"25923, ",도장 및 기타 피막처리업,,054-933-0556,7
256,(주)창맥,경상북도 성주군 선남면 도성리 867-2번지,경상북도 성주군 선남면 도성리 867-2번지,"22232, ",포장용 플라스틱 성형용기 제조업,054-931-0718,054-931-0719,11
257,(주)창성엘리베이터,경상북도 성주군 용암면 본성로 132,경상북도 성주군 용암면 본리리 6,"29162, ",승강기 제조업,053-984-0311,053-289-0311,3
258,(주)천마산업건설,경상북도 성주군 용암면 용계리 683 번지,경상북도 성주군 용암면 용계리 683 번지,"23329, 20411",그 외 기타 콘크리트 제품 및 유사제품 제조업 외 1 종,054-933-5106,,5
259,(주)청보,"경상북도 성주군 월항면 대산2길 22-63, 대산리 20번지 외 3필지",경상북도 성주군 월항면 대산리 20번지 대산리 20번지 외 3필지,"25113, ",육상 금속 골조 구조재 제조업,,054-931-6176,7
260,(주)청진기업,"경상북도 성주군 선남면 성주로 4234-32, (도성리 752-1) 외 7필지",경상북도 성주군 선남면 도성리 752-1번지 (도성리 752-1) 외 7필지,"23993, ",비금속광물 분쇄물 생산업,054-933-8011,054-933-0551,8
261,(주)청진이엔씨,"경상북도 성주군 용암면 성암로 1154-22, (용계리 800-8번지) 외 5필지",경상북도 성주군 용암면 용계리 800-8번지 (용계리 800-8번지) 외 5필지,"23325, 23324, 23326, 23329",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 3 종,054-931-2001,054-931-5161,19
262,(주)초록너울,경상북도 성주군 선남면 관화리 1067번지,경상북도 성주군 선남면 관화리 1067번지,"17909, ",그 외 기타 종이 및 판지 제품 제조업,,,4
263,(주)카펙발레오 제4업장,경상북도 성주군 성주읍 성주농공단지길 26,경상북도 성주군 성주읍 성산리 1447번지,"30331, 30400",자동차용 신품 동력전달장치 제조업 외 1 종,054-930-3291,054-930-5189,30
264,(주)케스텍,경상북도 성주군 선남면 선노로 545-60 (총 2 필지),경상북도 성주군 선남면 용신리 643-11번지,"24311, ",선철주물 주조업,054-931-2707,054-931-3726,2
265,(주)케이비하이텍,경상북도 성주군 선남면 명관로 413-5 외 1필지,경상북도 성주군 선남면 동암리 302번지 외 1필지,"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업,053-383-5315,053-384-5317,14
266,(주)케이세프,경상북도 성주군 선남면 선노로 79-41 외 5필지,경상북도 성주군 선남면 도성리 73-20번지 외 5필지,"13219, ",특수 직물 및 기타 직물 직조업,054-933-9241,054-933-9240,27
267,(주)케이에스엠,경상북도 성주군 선남면 관용로 195 (명성기계(주)),경상북도 성주군 선남면 관화리 156번지,"31202, ",철도차량 부품 및 관련 장치물 제조업,054-933-9450,054-933-9586,19
268,(주)케이엔테크,경상북도 성주군 월항면 주산로 458 외 1필지,경상북도 성주군 월항면 유월리 1111번지 외 1필지,"25999, ",그 외 기타 분류 안된 금속 가공 제품 제조업,,054-931-5570,15
269,(주)케이티지성주사업장,경상북도 성주군 월항면 월항농공단지1길 2 ((주)코리아테크노그라스) (총 2 필지),경상북도 성주군 월항면 장산리 1546번지,"26219, 26212",기타 표시장치 제조업 외 1 종,054-931-1477,054-931-1474,110
270,(주)케이푸드테크날러지,경상북도 성주군 선남면 선노로 90-29 외 1필지,경상북도 성주군 선남면 소학리 998-2 외 1필지,"10701, ",도시락류 제조업,054-933-8278,054-933-8279,9
271,(주)크레진,경상북도 성주군 선남면 문방공단길 107 (크레진),경상북도 성주군 선남면 문방리 1415-3번지,"20202, 20203",합성수지 및 기타 플라스틱 물질 제조업 외 1 종,,054-931-4188,19
272,(주)크린분체산업,경상북도 성주군 선남면 선노로 357-1,경상북도 성주군 선남면 도흥리 320-5,"25923, ",도장 및 기타 피막처리업,,054-568-8382,9
273,(주)태경테크,경상북도 성주군 선남면 선노로 55-35,경상북도 성주군 선남면 도성리 864-2,"28123, 28121, 28122, 28422, 28423, 28429, 28903",배전반 및 전기 자동제어반 제조업 외 6 종,070-8806-7911,0504-393-7900,5
274,(주)태양산업사,경상북도 성주군 성주읍 성주농공단지길 30,경상북도 성주군 성주읍 성산리 1447-8 SK성광,"22232, ",포장용 플라스틱 성형용기 제조업,054-933-9987,,30
275,(주)태영기업,경상북도 성주군 선남면 용신리 1073-7번지 외 1필지,경상북도 성주군 선남면 용신리 1073-7번지 외 1필지,"16101, 16102, 16103, 16229, 16231, 16299, 25112, 33209, 33302",일반 제재업 외 8 종,054-933-0548,054-933-0549,23
276,(주)태우축산,경상북도 성주군 선남면 도성2길 57,경상북도 성주군 선남면 도성리 산 62-3번지,"29210, 29176, 29199",농업 및 임업용 기계 제조업 외 2 종,054-931-9556,054-933-9558,5
277,(주)태원섬유,경상북도 성주군 선남면 선남농공단지길 30 (태원섬유),경상북도 성주군 선남면 도성리 732-10번지,"13213, ",화학섬유직물 직조업,054-931-1086,054-931-1076,10
278,(주)태일스틸,경상북도 성주군 선남면 관화리 1055-1번지 외 1필지,경상북도 성주군 선남면 관화리 1055-1번지 외 1필지,"25944, ",금속선 가공제품 제조업,053-614-7374,053-616-7075,9
279,(주)태한환경유통,경상북도 성주군 선남면 도성3길 90,경상북도 성주군 선남면 도성리 839번지,"20312, ",복합비료 및 기타 화학비료 제조업,054-933-0987,054-933-0979,3
280,(주)티앤씨원,경상북도 성주군 용암면 사곡공단2길 28,경상북도 성주군 용암면 사곡리 848-8번지,"28429, ",기타 조명장치 제조업,,,3
281,(주)파워텍,경상북도 성주군 선남면 관화5길 54-33,경상북도 성주군 선남면 관화리 510-8,"25113, ",육상 금속 골조 구조재 제조업,054-933-3927,053-715-1820,5
282,(주)포이즈,"경상북도 성주군 선남면 선노로 55-40, (도성리 865)",경상북도 성주군 선남면 도성리 865번지 (도성리 865),"13994, ",표면처리 및 적층 직물 제조업,053-621-5515,053-217-6625,4
283,(주)프로틴코리아 ,경상북도 성주군 성주읍 삼산1길 158-34,경상북도 성주군 성주읍 삼산리 569-10,"10899, ",그 외 기타 식료품 제조업,054-933-6661,054-933-6662,7
284,(주)피엠피,경상북도 성주군 월항면 주산로 488-16,경상북도 성주군 월항면 유월리 997-1번지,"25924, ",절삭가공 및 유사처리업,054-931-9960,054-931-9958,3
285,(주)필름몰딩,경상북도 성주군 선남면 동암리 315번지 외 2필지 외 2필지,경상북도 성주군 선남면 동암리 315번지 외 2필지,"29293, ",주형 및 금형 제조업,,054-932-3249,1
286,(주)하나종합포장,경상북도 성주군 선남면 선노로 114-42 외 1필지,경상북도 성주군 선남면 소학리 977-1 외 1필지,"17212, ",골판지 상자 및 가공제품 제조업,,054-982-9967,8
287,(주)하나텍스,경상북도 성주군 성주읍 성주농공단지길 21,경상북도 성주군 성주읍 성산리 1447-2번지,"13219, ",특수 직물 및 기타 직물 직조업,053-562-9623,054-933-3992,50
288,(주)하늘조경,경상북도 성주군 선남면 명포1길 46,경상북도 성주군 선남면 명포리 818번지,"16229, 16101, 16102, 25112, 33301, 33302, 33910",기타 건축용 나무제품 제조업 외 6 종,,053-755-1827,4
289,(주)하모니데코,"경상북도 성주군 선남면 명관로 446-15, (동암리 1-5) 외 2필지",경상북도 성주군 선남면 동암리 1-5번지 (동암리 1-5) 외 2필지,"13221, ",침구 및 관련제품 제조업,053-586-1779,053-587-1779,12
290,(주)한국유화,경상북도 성주군 월항면 세종대왕자태실로 125,경상북도 성주군 월항면 장산리 206,"20423, 20422",화장품 제조업 외 1 종,054-931-0788,054-932-0391,8
291,(주)한국테크,경상북도 성주군 선남면 도성리 604-2번지,경상북도 성주군 선남면 도성리 604-2번지,"25113, ",육상 금속 골조 구조재 제조업,,053-592-6069,3
292,(주)한림씨앤씨,경상북도 성주군 용암면 본성로 164,경상북도 성주군 용암면 본리리 378번지,"25113, ",육상 금속 골조 구조재 제조업,053-611-8400,054-931-8870,3
293,(주)한부솔루션,경상북도 성주군 월항면 유월리 177번지 외 2필지 외 2필지,경상북도 성주군 월항면 유월리 177번지 외 2필지,"13910, ","카펫, 마루덮개 및 유사제품 제조업",,054-933-4103,6
294,(주)한부솔루션 2공장,경상북도 성주군 월항면 유월공단길 73,경상북도 성주군 월항면 유월리 175-8,"13992, ",부직포 및 펠트 제조업,054-933-4102,054-933-4103,9
295,(주)한성기계설비,경상북도 성주군 성주읍 성주농공단지길 42,경상북도 성주군 성주읍 성산리 1447-10번지,"25112, 25111, 25123, 27216, 28123, 29131, 29133, 29163, 29169, 29175, 29176, 29210, 29299",구조용 금속 판제품 및 공작물 제조업 외 12 종,,054-931-1672,15
296,(주)한성산업,경상북도 성주군 성주읍 성산9길 116-2 외 1필지,경상북도 성주군 성주읍 성산리 221 외 1필지,"25112, 25111, 29133, 29169, 29210",구조용 금속 판제품 및 공작물 제조업 외 4 종,054-931-4905,054-931-4907,11
297,(주)한성엔지니어링,경상북도 성주군 선남면 문방공단길 136,경상북도 성주군 선남면 문방리 1400-11번지,"29229, ",기타 가공 공작기계 제조업,054-931-9991,054-931-9901,27
298,(주)한성이엔지,경상북도 성주군 월항면 주산로 452,경상북도 성주군 월항면 유월리 1089-1번지,"29199, ",그 외 기타 일반목적용 기계 제조업,054-931-4520,054-931-4511,6
299,(주)한양에스엔씨,경상북도 성주군 선남면 명관로 337-54 외 4필지,경상북도 성주군 선남면 동암리 517-3번지 외 4필지,"22223, 25111, 25112",플라스틱 창호 제조업 외 2 종,053-628-6325,070-8250-2900,15
300,(주)한영니트,경상북도 성주군 선남면 성주로 3758-33,경상북도 성주군 선남면 신부리 산 1-6,"13300, ",편조원단 제조업,,054-931-3661,2
301,(주)해성기업,경상북도 성주군 용암면 성암로 858 (용암면) 외 2필지,경상북도 성주군 용암면 용계리 320-1번지 외 2필지,"23324, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",054-931-3412,054-931-3419,11
302,(주)해성기업 제2공장,경상북도 성주군 용암면 사곡길 34-8 외 5필지,경상북도 성주군 용암면 사곡리 946번지 외 5필지,"23325, 23326",콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,054-931-3412,054-931-3419,4
303,(주)해성기업 제3공장,경상북도 성주군 용암면 성암로 855,경상북도 성주군 용암면 용계리 381번지,"23324, 23325, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",,054-931-3419,15
304,(주)햇토비,경상북도 성주군 금수강산면 후평리 1376번지 외 4필지,경상북도 성주군 금수강산면 후평리 1376번지 외 4필지,"20313, ",유기질 비료 및 상토 제조업,,054-933-5257,30
305,(주)현대화섬,"경상북도 성주군 월항면 유월공단길 59, 외 4필",경상북도 성주군 월항면 유월리 166-2번지,"13213, ",화학섬유직물 직조업,054-932-4896,054-932-4898,23
306,(주)혜성산업,경상북도 성주군 선남면 관용로 503 ((주)혜성산업),경상북도 성주군 선남면 오도리 1-2번지,"13104, 13213",연사 및 가공사 제조업 외 1 종,,054-932-9643,13
307,(주)화승테크,경상북도 성주군 용암면 성암로 1201,경상북도 성주군 용암면 선송리 269번지,"29293, ",주형 및 금형 제조업,,053-586-0799,5
308,(주)화이어프로텍,경상북도 성주군 벽진면 봉흥로 232-14 외 2필지,경상북도 성주군 벽진면 봉계리 289번지 외 2필지,"23212, 23324, 23326, 23994",부정형 내화 요업제품 제조업 외 3 종,054-931-0754,054-931-0759,8
309,(주)화인,경상북도 성주군 선남면 선노로 540-33 ((주)화인),경상북도 성주군 선남면 용신리 749-1번지,"30320, ",자동차 차체용 신품 부품 제조업,054-931-6688,054-931-6689,52
310,(주)화인,경상북도 성주군 선남면 선노로 540-43 ((주)화인),경상북도 성주군 선남면 용신리 749-3번지,"30320, ",자동차 차체용 신품 부품 제조업,054-931-6688,054-931-6689,2
311,(주)화진스틸,경상북도 성주군 월항면 월항농공단지1길 65 (화진스틸),경상북도 성주군 월항면 장산리 1521번지,"25944, ",금속선 가공제품 제조업,053-637-0558,054-931-1122,6
312,(주)화천테크,경상북도 성주군 용암면 사곡공단1길 30,경상북도 성주군 용암면 사곡리 1008,"22211, 22222, 22229, 25112, 29150, 29174, 29175, 29176","플라스틱 선, 봉, 관 및 호스 제조업 외 7 종",054-933-7034,070-4758-8875,10
313,(주)효성산업,경상북도 성주군 대가면 옥성3길 48 외 1필지,경상북도 성주군 대가면 옥성리 392-1 외 1필지,"29210, 25999, 29191, 29192",농업 및 임업용 기계 제조업 외 3 종,054-932-9377,054-932-8375,3
314,(주)효진산업,경상북도 성주군 선남면 유서리길 183-45,경상북도 성주군 선남면 유서리 252-5,"25944, 13219, 13994, 13999, 16300, 25112",금속선 가공제품 제조업 외 5 종,054-931-5130,054-931-5132,8
315,E 테크,경상북도 성주군 초전면 주천로 1306-2,경상북도 성주군 초전면 용봉리 173번지,"22241, ",운송장비 조립용 플라스틱제품 제조업,,054-931-5767,11
316,EOS,경상북도 성주군 선남면 명관로 429-10 외 1필지,경상북도 성주군 선남면 동암리 419-9번지 외 1필지,"28123, ",배전반 및 전기 자동제어반 제조업,,070-8196-7365,4
317,JH산업,"경상북도 성주군 선남면 명관로 429-34, (동암리 419-20)",경상북도 성주군 선남면 동암리 419-20번지 (동암리 419-20),"25923, ",도장 및 기타 피막처리업,,054-931-6668,7
318,KG정공,경상북도 성주군 용암면 본리리 85 번지 외1필,경상북도 성주군 용암면 본리리 85 번지 외1필,"25913, ",자동차용 금속 압형제품 제조업,,054-931-4529,5
319,KI테크,경상북도 성주군 성주읍 삼산1길 158-16 외 3필지,경상북도 성주군 성주읍 삼산리 569-13 외 3필지,"29210, 22222, 32091",농업 및 임업용 기계 제조업 외 2 종,054-933-7376,054-931-7379,4
320,KSA폴리머코리아,경상북도 성주군 선남면 도성리 73-7번지 외 1필지,경상북도 성주군 선남면 도성리 73-7번지 외 1필지,"13219, ",특수 직물 및 기타 직물 직조업,,054-933-1496,28
321,LJ인터내셔널 ,경상북도 성주군 성주읍 성주로 3421 외 1필지,경상북도 성주군 성주읍 성산리 219-8번지 외 1필지,"13999, ",그 외 기타 분류 안된 섬유제품 제조업,054-931-1444,054-931-6444,7
322,MG산업,경상북도 성주군 선남면 용신리 769-3번지,경상북도 성주군 선남면 용신리 769-3번지,"22299, ",그 외 기타 플라스틱 제품 제조업,,053-356-7292,4
323,SH케미칼,경상북도 성주군 용암면 용정공단길 30 (총 3 필지) 외 2필지,경상북도 성주군 용암면 용정리 380-1번지 외 2필지,"20203, ",혼성 및 재생 플라스틱 소재 물질 제조업,,054-933-2323,0
324,SW테크,경상북도 성주군 선남면 도성리 860-1번지 외 1필지,경상북도 성주군 선남면 도성리 860-1번지 외 1필지,"30310, ",자동차 엔진용 신품 부품 제조업,054-933-5734,054-933-5735,30
325,YH테크,경상북도 성주군 선남면 신부길 81-30 외 1필지,경상북도 성주군 선남면 신부리 53-1 번지 외 1필지,"29210, 25112, 25113, 25119, 25929, 33302",농업 및 임업용 기계 제조업 외 5 종,,054-932-9881,11
326,㈜대경,경상북도 성주군 초전면 주천로 1306-2,경상북도 성주군 초전면 용봉리 173,"28909, ",그 외 기타 전기장비 제조업,,,4
327,㈜바이오엠씨,경상북도 성주군 성주읍 성산8길 34-5,경상북도 성주군 성주읍 성산리 600-0,"13229, ",기타 직물제품 제조업,,,2
328,㈜씨플렉스코리아,경상북도 성주군 월항면 주산로 456-23,경상북도 성주군 월항면 유월리 992,"31113, ",기타 선박 건조업,070-7700-0758,0505-333-0759,9
329,㈜아임케미칼,경상북도 성주군 월항면 주산로 488-26,경상북도 성주군 월항면 유월리 936,"22232, ",포장용 플라스틱 성형용기 제조업,,070-7966-5414,0
330,㈜에스씨,경상북도 성주군 초전면 초전공단길 61,경상북도 성주군 초전면 용봉리 296-4,"29191, ","용기 세척, 포장 및 충전기 제조업",054-933-0440,054-931-0090,5
331,㈜에스에이치에이,경상북도 성주군 월항면 유월공단길 78,경상북도 성주군 월항면 유월리 산57-44 (주)세흥휴프텍,"29210, ",농업 및 임업용 기계 제조업,054-933-7697,054-933-7698,10
332,㈜에이치앤에이치그룹,경상북도 성주군 벽진면 봉흥로 140,경상북도 성주군 벽진면 봉계리 711,"10519, ",기타 곡물 가공품 제조업,053-247-8882,0504-464-8287,10
333,㈜우수테크,경상북도 성주군 성주읍 성주로 2792,경상북도 성주군 성주읍 용산리 1099,"14120, ",속옷 및 잠옷 제조업,,054-931-7025,4
334,㈜화성엘엔피피,경상북도 성주군 대가면 참별로 2288,경상북도 성주군 대가면 옥성리 720-1,"22299, ",그 외 기타 플라스틱 제품 제조업,054-932-8771,054-931-8771,6
335,㈜휴먼바이오,경상북도 성주군 월항면 주산로 488-19 외 2필지,경상북도 성주군 월항면 유월리 937-1번지 외 2필지,"10901, 10903, 21100, 21301",반려동물용 사료 제조업 외 3 종,054-931-5211,054-932-5211,2
336,가야맥식품,경상북도 성주군 대가면 옥련3길 47,경상북도 성주군 대가면 옥련리 301번지,"10412, ",식물성 유지 제조업,054-932-8972,,4
337,가야산종합식품,경상북도 성주군 수륜면 수륜3길 140 (가야산종합식품),경상북도 성주군 수륜면 수륜리 1120번지,"10520, ",전분제품 및 당류 제조업,054-931-3627,054-933-7598,7
338,가야테크,경상북도 성주군 월항면 지산로 162,경상북도 성주군 월항면 지방리 259-1번지,"13213, ",화학섬유직물 직조업,,054-933-9355,7
339,가천도가,경상북도 성주군 수륜면 수성3길 18,경상북도 성주군 수륜면 수성리 208,"11111, 11122",탁주 및 약주 제조업 외 1 종,,,2
340,가천산업사,"경상북도 성주군 성주읍 대황길 20 (성주읍, 가천산업사)",경상북도 성주군 성주읍 대황리 767번지 가천산업사,"23324, 23325, 23326","콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",054-933-4417,054-933-4419,8
341,거한건설(주),,경상북도 성주군 선남면 신부리 5-6 외 1필지,"29223, ",금속 절삭기계 제조업,053-381-0406,053-381-0449,4
342,건영석재,경상북도 성주군 월항면 월항지방공단길 24 (선암석재),경상북도 성주군 월항면 유월리 933-6번지,"23911, ",건설용 석제품 제조업,054-931-2310,,8
343,경민산업,경상북도 성주군 선남면 선노로 276-4,경상북도 성주군 선남면 도흥리 389-5,"22299, ",그 외 기타 플라스틱 제품 제조업,054-931-9132,054-931-9130,3
344,경북산업(주),경상북도 성주군 용암면 용계리 683번지,경상북도 성주군 용암면 용계리 683번지,"29229, 19100",기타 가공 공작기계 제조업 외 1 종,,053-816-0338,5
345,경북친환경한돈영농조합법인,경상북도 성주군 성주읍 본성로 811-7,경상북도 성주군 성주읍 성산리 1069번지,"10901, 10903",반려동물용 사료 제조업 외 1 종,054-933-2955,054-933-2956,5
346,경성무역,경상북도 성주군 성주읍 성주로 3421 외 1필지,경상북도 성주군 성주읍 성산리 219-8번지 외 1필지,"13999, ",그 외 기타 분류 안된 섬유제품 제조업,054-932-3922,054-931-6444,11
347,경원수지,경상북도 성주군 성주읍 대황1길 7-69 ((주)대성스크랩),경상북도 성주군 성주읍 대황리 1711번지,"38321, 38322",비금속류 해체 및 선별업 외 1 종,054-933-0566,054-933-0568,3
348,경원종합식품,경상북도 성주군 선남면 도성2길 179 (경원식품),경상북도 성주군 선남면 도성리 188-1번지,"10122, ",육류 포장육 및 냉동육 가공업 (가금류 제외),054-931-4655,054-931-4654,3
349,경일워터이엔지(주),경상북도 성주군 선남면 나선로 932-39,경상북도 성주군 선남면 선원리 431-1,"29199, 25122, 29176",그 외 기타 일반목적용 기계 제조업 외 2 종,053-581-5858,053-582-8566,3
350,경진기계,경상북도 성주군 용암면 사곡공단1길 38,경상북도 성주군 용암면 사곡리 1012-0,"34019, ",기타 일반 기계 및 장비 수리업,,,1
351,고광메탈,경상북도 성주군 선남면 동암리 531-27번지,경상북도 성주군 선남면 동암리 531-27번지,"25921, ",금속 열처리업,054-932-5266,054-932-5269,34
352,고려정공(주),경상북도 성주군 선남면 선노로 540-29 (고려전공),경상북도 성주군 선남면 용신리 749-5번지,"29210, ",농업 및 임업용 기계 제조업,054-931-5397,054-931-5398,7
353,골든호이스트,경상북도 성주군 월항면 선월로 348-23,경상북도 성주군 월항면 대산리 465-1번지,"29169, ",기타 물품 취급장비 제조업,054-931-5690,054-931-5680,4
354,공단수지,경상북도 성주군 선남면 선노로 55-31 (총 6 필지) 외 5필지,경상북도 성주군 선남면 도성리 867-1번지 외 5필지,"22299, ",그 외 기타 플라스틱 제품 제조업,,,12
