회사명,전화번호,팩스번호,공장대표주소,업종명,생산품,데이터기준일자
안동한지,054-858-7007,054-858-7806,경상북도 안동시 풍산읍 소산리 43-4번지 안동한지(소산리 36-1),기타 종이 및 판지 제조업 외 2 종,"창호지,화선지",2025-08-28
안동합동두부공장,054-853-6801,054-853-6801,경상북도 안동시 광석동 19-4번지,두부 및 유사식품 제조업,두부,2025-08-28
에스디하이테크 주식회사,070-7327-6731,070-7327-6736,"경상북도 안동시 풍산읍 괴정리 673-7 403, 404동",농업 및 임업용 기계 제조업 외 10 종,"전자식활성수기, 제습기 등",2025-08-28
에스제이월성(주),054-854-8504,054-853-8506,경상북도 안동시 풍산읍 노리 40-5번지 (노리 40-5),그 외 기타 특수목적용 기계 제조업 외 2 종,"무대기계,커튼,롤업셰이드",2025-08-28
엘라인,054-854-8581,054-854-8584,경상북도 안동시 풍천면 하회리 1103-2번지,가정용 및 장식용 도자기 제조업,미용도기,2025-08-28
연합컨테이너,054-854-7077,,경상북도 안동시 서후면 저전리 180-2,기타 구조용 금속제품 제조업,"컨테이너, 금속구조물 등",2025-08-28
영남레미콘(주),054-856-8700,,경상북도 안동시 수하동 797-15 외 1필지,레미콘 제조업,레미콘,2025-08-28
영남사,054-854-5566,054-854-5659,경상북도 안동시 광석동 17번지,경 인쇄업 외 1 종,"서적출판,교과서출판",2025-08-28
영남산업기계,054-855-6693,,경상북도 안동시 수하동 797-69번지,건설 및 채광용 기계장비 제조업,"기계부품,건설기계 부분정비",2025-08-28
영농조합법인 대산,,,경상북도 안동시 길안면 대사리 107번지,기타 과실ㆍ채소 가공 및 저장 처리업,매실농축원액,2025-08-28
영농조합법인 대흥,054-821-1600,054-821-3770,경상북도 안동시 정상동 362-2 다동,곡물 도정업 외 1 종,"보리 가공, 옥수수 가공",2025-08-28
영농조합법인 안동엿기름,,,경상북도 안동시 용상동 487-7번지,기타 곡물 가공품 제조업,엿기름,2025-08-28
영농조합법인 안동학가산마깎두기김치,054-856-8787,054-856-8788,경상북도 안동시 북후면 도촌리 43-1번지,김치류 제조업 외 2 종,"김치(배추, 마, 깍두기), 고춧가루",2025-08-28
영농조합법인 헬소스,054-856-7005,054-841-7005,경상북도 안동시 남후면 광음리 695번지,기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,"과일/채소주스, 쿠키",2025-08-28
영농조합법인안동엿기름(푸른들농산),054-821-1600,,경상북도 안동시 정상동 362-2 외 2필지,기타 식품 첨가물 제조업 외 1 종,"누룩,메주콩,엿기름, 새싹보리분말, 보리차, 옥수수차",2025-08-28
예선아빠농장 안동원액생강청 가공공장,054-853-4687,,경상북도 안동시 서후면 태장리 723-3번지,차류 가공업,안동원액생강청,2025-08-28
와룡주식회사,,,경상북도 안동시 와룡면 가야리 928 나동,육상 금속 골조 구조재 제조업 외 1 종,LED보안등기구 등,2025-08-28
와우식품,054-857-7336,,경상북도 안동시 서후면 대두서리 370-0,장류 제조업,된장,2025-08-28
우성전자Co,054-823-1120,,경상북도 안동시 남선면 신석리 780-3 번지,농업 및 임업용 기계 제조업,전기건조기,2025-08-28
원목산업씽크공장,054-857-5782,054-854-2697,경상북도 안동시 서후면 명리 495-13번지,금속 위생용품 제조업,씽크대,2025-08-28
원천제분소,,,경상북도 안동시 녹전면 원천리 819,곡물 제분업,"고춧가루, 쌀가루",2025-08-28
원풍벽돌,054-858-6183,054-858-6183,경상북도 안동시 수상동 820-39번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종","벽돌,블록",2025-08-28
월드씽크공장,,,경상북도 안동시 이천동 539-1번지,주방용 및 음식점용 목재가구 제조업 외 1 종,주방용 및 음식점용 목재가구,2025-08-28
윈그로,054-843-3456,054-843-3455,경상북도 안동시 풍산읍 상리리 500-154번지,복합비료 및 기타 화학비료 제조업,제4종복합비료,2025-08-28
유니코어닝,054-652-0614,054-652-0615,경상북도 안동시 풍산읍 상리리 500-155,"천막, 텐트 및 유사 제품 제조업 외 7 종","어닝(차양막), 타프, 외부블라인드, 천막 및 그늘막 설치용 철골구조물, 기타 다양한금속구조물 및 제품 등 등",2025-08-28
유은복지재단 나눔공동체,054-858-9956,054-858-9984,경상북도 안동시 남선면 현내리 673 외 2필지,기타 과실ㆍ채소 가공 및 저장 처리업,혼합 샐러드,2025-08-28
유진SS,054-855-3330,,경상북도 안동시 풍산읍 회곡리 255,육상 금속 골조 구조재 제조업,철골구조물,2025-08-28
유창임업사,054-858-7841,054-858-7842,경상북도 안동시 수상동 255-1번지,일반 제재업,목재(각재),2025-08-28
유한회사 우성건설,054-842-6502,053-314-1088,경상북도 안동시 풍산읍 수곡리 1-1번지 (제2호),그 외 기타 분류 안된 비금속 광물제품 제조업,"미끄럼방지 포장재, 도막형 바닥재",2025-08-28
유한회사 청용산업,054-856-0015,,경상북도 안동시 수하동 산 84번지,비금속광물 분쇄물 생산업,"모래, 자갈",2025-08-28
일산산업,054-859-7900,054-859-6766,경상북도 안동시 수하동 655번지,섬유제품 기타 정리 및 마무리 가공업 외 1 종,표백가공,2025-08-28
일신테크,054-859-0225,054-859-8225,경상북도 안동시 수상동 274-1번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종","배전함, 강제창호",2025-08-28
임하정미소푸레쌀작목반,054-822-7327,,경상북도 안동시 임하면 임하리 576-1 번지,곡물 도정업,"백미,현미",2025-08-28
자연품에,,0504-232-7925,경상북도 안동시 길안면 천지리 422,기타 과실ㆍ채소 가공 및 저장 처리업,사과즙,2025-08-28
자원산업사,054-858-1259,054-853-1259,경상북도 안동시 수상동 171번지,운송장비 조립용 플라스틱제품 제조업 외 1 종,자동차 플라스틱 부품(DUCT류),2025-08-28
정완B-F,054-821-4871,054-821-4877,"경상북도 안동시 풍산읍 괴정리 673-2번지 502동, 503동",복합비료 및 기타 화학비료 제조업,미량요소복합비료,2025-08-28
조근호,,,경상북도 안동시 풍산읍 괴정리 132번지,골판지 상자 및 가공제품 제조업,골판지 상자,2025-08-28
조은식품영농조합법인,,054-854-6870,경상북도 안동시 북후면 물한리 594 외 2필지,기타 곡물 가공품 제조업,조청,2025-08-28
주식회사 강원그린텍,054-853-7001,054-854-8843,경상북도 안동시 서후면 명리 440-1 번지 440-1,그 외 기타 분류 안된 화학제품 제조업 외 2 종,"부식방지제, 청관제",2025-08-28
주식회사 금송에프앤비,054-843-3867,,경상북도 안동시 수하동 269-3,가금류 가공 및 저장 처리업,양념육,2025-08-28
주식회사 기술과창조,054-211-2299,054-211-2298,경상북도 안동시 수상동 820-70번지,반려동물용 사료 제조업 외 7 종,"보조사료, 토양개량제, 탈취제, 미생물종균배양",2025-08-28
주식회사 길부스틸,054-859-7373,054-859-7589,경상북도 안동시 수하동 661-27번지,그 외 기타 1차 철강 제조업 외 1 종,"철근절단가공, 철근절단가공",2025-08-28
주식회사 누리별,054-853-5525,054-853-5526,"경상북도 안동시 풍산읍 괴정리 673 303동, 304동",일반용 전기 조명장치 제조업 외 1 종,LED 조명기구,2025-08-28
주식회사 대명산업,054-858-2593,,경상북도 안동시 풍산읍 노리 758-30,구조용 금속 판제품 및 공작물 제조업 외 10 종,"안내판 후레임, 금속 골조 구조재 등",2025-08-28
주식회사 대성금속산업,054-843-5949,054-854-1253,"경상북도 안동시 수상동 527-1 A동, D동",구조용 금속 판제품 및 공작물 제조업 외 1 종,"버스승강장, 조립식구조물, 쓰레기통 등, 옥외용 벤치 등",2025-08-28
주식회사 도영건설,054-859-3223,054-859-6957,경상북도 안동시 풍산읍 괴정리 626 주2동,"금속 문, 창, 셔터 및 관련제품 제조업",알미늄 창호,2025-08-28
주식회사 동해,070-4222-7779,054-722-2726,경상북도 안동시 임하면 추목리 산135-1,구조용 금속 판제품 및 공작물 제조업 외 2 종,금속재울타리,2025-08-28
주식회사 동화산업,054-856-8668,,경상북도 안동시 수하동 322번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 3 종","자전거보관대 등, 안전방충망 등, 버스승강장 등, 온열의자 등",2025-08-28
주식회사 드론코리아 아카데미,054-822-8284,054-822-9986,경상북도 안동시 옥동 1109-1 외 1필지,무인 항공기 및 무인 비행장치 제조업 외 1 종,"드론,교육용 드론부품",2025-08-28
주식회사 드림디자인,054-823-5501,,경상북도 안동시 용상동 1078-171 리치빌빌라 1층,경 인쇄업 외 2 종,"마스터인쇄, 프린트인쇄 등, 옥내외간판, 광고용 간판제조 등, 교육용 모형제조 등",2025-08-28
주식회사 딥팜,070-7756-2668,,경상북도 안동시 수상동 820-84 1층,기타 무선 통신장비 제조업,대시보드,2025-08-28
주식회사 메디온,,,경상북도 안동시 서후면 이송천리 15-12 주식회사 메디온,일반용 전기 조명장치 제조업 외 1 종,"일반용 전기 조명장치 , 기타 전기 조명장치",2025-08-28
주식회사 메타에듀시스,,,경상북도 안동시 풍천면 갈전리 1280 2층 201호,기타 무선 통신장비 제조업,멀티미디어학습장치,2025-08-28
주식회사 부원,054-859-3200,054-589-7400,경상북도 안동시 풍산읍 괴정리 673 302동,구조용 금속 판제품 및 공작물 제조업 외 1 종,금속천정제,2025-08-28
주식회사 신선푸드 농업회사법인,054-841-5400,,경상북도 안동시 노하동 569,육류 기타 가공 및 저장처리업 (가금류 제외),"삼겹살, 목심, 전지 등",2025-08-28
주식회사 어썸푸드,054-857-2828,050-4262-5201,경상북도 안동시 서후면 이송천리 125-1번지,가금류 가공 및 저장 처리업,안동찜닭,2025-08-28
주식회사 에이치씨보광콘크리트,054-858-5399,054-858-5398,경상북도 안동시 풍산읍 상리리 97-1 외 1필지,레미콘 제조업,레미콘,2025-08-28
주식회사 엠텍,054-823-0181,054-823-6668,"경상북도 안동시 용상동 974-1번지 경동아파트 102호,103호",반려동물용 사료 제조업 외 1 종,보조사료,2025-08-28
주식회사 우리아그로,,054-843-8503,경상북도 안동시 풍산읍 매곡리 720-4 제2동,복합비료 및 기타 화학비료 제조업,복합비료 등,2025-08-28
주식회사 제이에스판넬,054-854-6670,054-854-6672,경상북도 안동시 풍산읍 괴정리 353번지,기타 구조용 금속제품 제조업,샌드위치판넬,2025-08-28
주식회사 제이오푸드,054-843-9293,054-843-0559,경상북도 안동시 일직면 송리리 109번지,육류 기타 가공 및 저장처리업 (가금류 제외),양념육,2025-08-28
주식회사 창성공조기전,054-853-3600,054-853-0990,경상북도 안동시 송현동 461번지 송현동 461번지,그 외 기타 특수목적용 기계 제조업,무대기계,2025-08-28
주식회사 태강,070-4230-8449,,경상북도 안동시 풍산읍 괴정리 663-3,주방용 및 음식점용 목재가구 제조업 외 1 종,"목재가구(씽크대), 붙박이장 등",2025-08-28
주식회사 태성,054-823-2388,054-852-9904,경상북도 안동시 북후면 오산리 610-1,"질소화합물, 질소, 인산 및 칼리질 화학비료 제조업","유기농업자재, 비료 등",2025-08-28
주식회사 태호,,,경상북도 안동시 동부동 118-3 5층,벽 및 바닥 피복용 플라스틱제품 제조업 외 4 종,교통시설물( LED 안전유도블럭),2025-08-28
주식회사 파머스바이오,054-859-2224,054-843-2224,경상북도 안동시 남선면 원림리 306-1번지,장류 제조업,"낫또, 청국장",2025-08-28
주식회사 포드림,054-823-2119,054-823-8119,경상북도 안동시 안막동 527-4번지,방송장비 제조업,영상저장장치(NVS),2025-08-28
주식회사 한옥기와지붕조명,054-856-5555,054-859-7200,경상북도 안동시 정하동 222-30 제3동,일반용 전기 조명장치 제조업 외 1 종,LED경관조명/LED전광판,2025-08-28
주식회사 해성,054-843-0343,,경상북도 안동시 서후면 금계리 748-3 주1동,일반용 전기 조명장치 제조업,LED 조명 등,2025-08-28
주식회사임성,054-777-5033,054-777-5034,경상북도 안동시 임하면 추목리 산135-1,강화 및 재생 목재 제조업 외 1 종,합성목재,2025-08-28
진성씽크 주식회사,,,경상북도 안동시 풍산읍 막곡리 537-5번지,주방용 및 음식점용 목재가구 제조업 외 1 종,"씽크대, 가구",2025-08-28
참사랑보호작업장,054-858-8627,054-858-1979,경상북도 안동시 북후면 도촌리 846-3번지,곡물 도정업,"쌀, 잡곡",2025-08-28
창신건설기계정비,,,경상북도 안동시 송현동 415-6,건설 및 채광용 기계장비 제조업,건설기계부품,2025-08-28
커피의 연금술사 팩토리,,,경상북도 안동시 운흥동 278-5번지 D동 101호,커피 가공업,"커피원두, 더치커피, 커피조청, 기타 커피 부산물을 이용한 상품들",2025-08-28
커피킹덤 제1공장,054-853-0207,054-852-0208,경상북도 안동시 송현동 493-22번지,커피 가공업,볶은 커피,2025-08-28
케이바이오(주),,,경상북도 안동시 풍산읍 괴정리 663-5 104동,복합비료 및 기타 화학비료 제조업 외 4 종,"식물영양제, 악취제거제, 악취제거제, 보조사료, 보조사료",2025-08-28
케이원,054-840-4091,054-840-4091,경상북도 안동시 남후면 고하리 734,육상 금속 골조 구조재 제조업 외 1 종,"가로등주, LED경관조명",2025-08-28
킹덤플랜트협동조합,054-853-0207,054-852-0208,"경상북도 안동시 동부동 202 지하1층, 1층, 2층, 3층, 4층, 5층",차류 가공업,각종 차,2025-08-28
통일식품,054-858-7170,054-858-8910,경상북도 안동시 수상동222-7번지,두부 및 유사식품 제조업,두부,2025-08-28
푸른들농산(주),054-841-9340,054-859-7611,경상북도 안동시 남선면 원림리 358-3번지,곡물 제분업,"엿질금,미숫기루,옥수수차,곡차",2025-08-28
풍산 주식회사,054-858-2388,054-858-8488,경상북도 안동시 수하동 311-1번지,한의약품 제조업 외 1 종,원료의약품,2025-08-28
풍산수산,054-843-2443,054-843-2444,경상북도 안동시 일직면 운산리 182번지 외 1필지,수산동물 건조 및 염장품 제조업,간고등어,2025-08-28
하나농산,054-852-8588,054-857-8288,경상북도 안동시 와룡면 태리 158번지,천연 및 혼합조제 조미료 제조업,고추가루,2025-08-28
하회반가 영농조합법인(2공장),054-842-2255,054-842-2256,경상북도 안동시 풍천면 하회리 163번지,장류 제조업,된장,2025-08-28
학산영농조합법인 안동양반장류가공공장,054-856-5631,,경상북도 안동시 와룡면 중가구리 568번지,장류 제조업,"된장, 고추장, 간장, 메주",2025-08-28
한국그린자원(주),054-856-0308,054-857-8583,경상북도 안동시 정하동 241-8,가정용 및 산업용 공기 조화장치 제조업 외 7 종,"융복합공기살균기, 공기정화식물재배장치, 화분",2025-08-28
한양제과(주),054-843-5204,,경상북도 안동시 풍산읍 노리 산 123 외 1필지,과자류 및 코코아 제품 제조업,캔디류,2025-08-28
한일(주) 안동공장,054-823-6110,054-823-6112,경상북도 안동시 임하면 신덕리 713번지,레미콘 제조업 외 4 종,"레미콘,블록,식생매트,수로관",2025-08-28
해피사과농업회사법인주식회사,054-823-8859,,경상북도 안동시 임하면 오대리 926-2 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,사과주스,2025-08-28
"현대, 안동, 예천, 영주, 의성, 문경, 봉화, 상주 콘테이너",054-853-5500,,경상북도 안동시 풍산읍 상리리 391-13 외 1필지,기타 구조용 금속제품 제조업,컨테이너 등,2025-08-28
형제건업,054-858-7987,054-859-2311,경상북도 안동시 정하동 358-2번지,"금속 문, 창, 셔터 및 관련제품 제조업","창호,금속문",2025-08-28
환성정미소,054-858-6012,054-858-6012,경상북도 안동시 풍산읍 안교리 497-3번지,곡물 도정업,"쌀,보리압맥",2025-08-28
황학농산,,,경상북도 안동시 길안면 백자리 534 외 1필지,기타 과실ㆍ채소 가공 및 저장 처리업,"버섯, 가공사과",2025-08-28
흥광하이테크,054-856-4663,054-856-4662,경상북도 안동시 서후면 이송천리 15-3번지 외 1필지,그 외 기타 일반목적용 기계 제조업 외 4 종,"살균수 제조기, 공기정화용 오존발생기, 음식물 처리기",2025-08-28
