순번,시도,시군구,회사명,소재지도로명주소,소재지지번주소,우편번호,사업자등록번호,전화번호,데이터기준일자
163,경상북도,고령군,놀부산업,경상북도 고령군 대가야읍 장기공단1길 109,경상북도 고령군 대가야읍 장기리 283,40142,514-36-65419,054-956-2228,2026-01-02
164,경상북도,고령군,농업회사법인 가바라이스(주),경상북도 고령군 쌍림면 명덕길 25,경상북도 고령군 쌍림면 하거리 128-1,40157,850-81-00495,054-956-2760,2026-01-02
165,경상북도,고령군,농업회사법인 라이스푸드(주),경상북도 고령군 쌍림면 명덕길 25,경상북도 고령군 쌍림면 하거리 128-1,40157,295-87-01272,054-956-2760,2026-01-02
166,경상북도,고령군,농업회사법인(주)한빛,경상북도 고령군 쌍림면 쌍림공단길 61-5,경상북도 고령군 쌍림면 고곡리 220-30,40159,292-86-00883,054-954-5525,2026-01-02
167,경상북도,고령군,농업회사법인편한들(주),경상북도 고령군 개진면 개경포로 932-12,경상북도 고령군 개진면 구곡리 246,40148,382-87-01028,054-956-2577,2026-01-02
168,경상북도,고령군,농업회사법인(주)거인식품,경상북도 고령군 쌍림면 쌍림공단길 94,경상북도 고령군 쌍림면 고곡리 199-42,40159,503-81-65044,054-955-1471,2026-01-02
169,경상북도,고령군,농업회사법인(주)천하제일한우,경상북도 고령군 개진면 옥도길 6-1,경상북도 고령군 개진면 옥산리 225,40149,545-86-01321,054-956-1977,2026-01-02
170,경상북도,고령군,농협경제지주(주)고령축산물공판장,경상북도 고령군 다산면 성암로 566,경상북도 고령군 다산면 송곡리 787,40113,503-85-32411,054-950-8217,2026-01-02
171,경상북도,고령군,누리식품,경상북도 고령군 개진면 개진산단길 40-30,경상북도 고령군 개진면 양전리 287,40145,503-19-23241,054-955-9338,2026-01-02
172,경상북도,고령군,다솜침구,경상북도 고령군 다산면 상곡3길 15,경상북도 고령군 다산면 상곡리 151-13,40108,514-22-18919,054-954-9788,2026-01-02
173,경상북도,고령군,다원수지,경상북도 고령군 쌍림면 방아실길 30,경상북도 고령군 쌍림면 안림리 725-2,40160,299-14-00970,,2026-01-02
174,경상북도,고령군,다인산업기계(주),경상북도 고령군 다산면 성암로 507,경상북도 고령군 다산면 송곡리 860-2 ,40113,503-81-43564,054-956-3701,2026-01-02
175,경상북도,고령군,만성,경상북도 고령군 개진면 개진산단길 44,경상북도 고령군 개진면 개포리 713,40145,503-14-41337,054-956-5056,2026-01-02
176,경상북도,고령군,달성식품산업사,경상북도 고령군 개진면 가암길 40,경상북도 고령군 개진면 부리 429,40150,503-03-87604,054-954-1221,2026-01-02
177,경상북도,고령군,대가야,경상북도 고령군 개진면 치산길 122,경상북도 고령군 개진면 인안리 96,40150,503-18-69497,054-954-7113,2026-01-02
178,경상북도,고령군,대경산업,경상북도 고령군 성산면 성산면 714,경상북도 고령군 성산면 삼대리 175-4,40119,514-17-83435,054-954-5332,2026-01-02
179,경상북도,고령군,대경칠판,경상북도 고령군 성산면 성산로 804-6 ,경상북도 고령군 성산면 기족리 573,40120,534-27-00441,054-955-8171,2026-01-02
180,경상북도,고령군,대광섬유,경상북도 고령군 성산면 고탄공단길 15,경상북도 고령군 성산면 고탄리 666-7,40118,514-14-46967,0507-1330-3546,2026-01-02
181,경상북도,고령군,대광소결금속(주),경상북도 고령군 다산면 벌지로 248-9,경상북도 고령군 다산면 벌지리 418-2,40112,503-81-34202,054-956-6780,2026-01-02
182,경상북도,고령군,대덕테크,경상북도 고령군 성산면 성산로 804,경상북도 고령군 성산면 기족리 571,40119,514-23-62367,054-955-6222,2026-01-02
183,경상북도,고령군,대도텍스,경상북도 고령군 덕곡면 덕운로 742  ,경상북도 고령군 덕곡면 가륜리 663 ,40126,503-14-85392,054-956-0380,2026-01-02
184,경상북도,고령군,대동산업,경상북도 고령군 성산면 성산로 488,경상북도 고령군 성산면 사부리 295-1,40120,503-14-99348,054-954-4809,2026-01-02
185,경상북도,고령군,대륙산업,경상북도 고령군 개진면 개경포로 1112-12,경상북도 고령군 개진면 옥산리 185-4 ,40149,504-09-21612,054-955-2288,2026-01-02
186,경상북도,고령군,대림산업,경상북도 고령군 쌍림면 방아실길 24,경상북도 고령군 쌍림면 안림리 714,40160,514-23-18013,,2026-01-02
187,경상북도,고령군,대림축산,경상북도 고령군 다산면 성암로 642-17,경상북도 고령군 다산면 송곡리 663,40113,851-08-01761,0507-1343-7524,2026-01-02
188,경상북도,고령군,대성기업사,경상북도 고령군 쌍림면 쌍림공단길 5,경상북도 고령군 쌍림면 고곡리 199-13,40159,503-35-61361,054-955-1473,2026-01-02
189,경상북도,고령군,대성산업,경상북도 고령군 성산면 대흥1길 68-7,경상북도 고령군 성산면 대흥리 444,40114,503-15-31011,054-956-5573,2026-01-02
190,경상북도,고령군,대성산업,경상북도 고령군 쌍림면 쌍림공단길 52,경상북도 고령군 쌍림면 고곡리 199-47,40159,860-63-00203,054-956-0590,2026-01-02
191,경상북도,고령군,대성석재,경상북도 고령군 다산면 석재단지길 21,경상북도 고령군 다산면 나정리 714-16,40112,514-30-67055,054-955-9892,2026-01-02
192,경상북도,고령군,대성섬유,경상북도 고령군 개진면 반운공단길 35,경상북도 고령군 개진면 반운리 111-1,40145,503-20-91876,054-955-1747,2026-01-02
193,경상북도,고령군,(주)대성중자,경상북도 고령군 개진면 개경포로 1488,경상북도 고령군 개진면 생리 180,40150,503-81-96931,054-954-1707,2026-01-02
194,경상북도,고령군,대성지오텍,경상북도 고령군 성산면 대흥1길 68-5 ,경상북도 고령군 성산면 대흥리 445-1 ,40114,503-23-95534,054-956-5576,2026-01-02
195,경상북도,고령군,대성텍스,경상북도 고령군 쌍림면 쌍림공단길 61 ,경상북도 고령군 쌍림면 고곡리 220-29 ,40159,514-13-95103,054-956-3588,2026-01-02
196,경상북도,고령군,대세정밀기계,경상북도 고령군 다산면 다산로 41-49,경상북도 고령군 다산면 송곡리 2091,40113,514-23-17896,054-955-0898,2026-01-02
197,경상북도,고령군,대송식품,경상북도 고령군 성산면 성산로 990-14,경상북도 고령군 성산면 득성리 155,40116,869-90-00512,054-954-1089,2026-01-02
198,경상북도,고령군,대양스트랩(주),경상북도 고령군 성산면 개경포로 2100  ,경상북도 고령군 성산면 삼대리 167-4 ,40117,514-81-50027,054-955-8990,2026-01-02
199,경상북도,고령군,대영산업,경상북도 고령군 다산면 다산로 1457,경상북도 고령군 다산면 월성리 709-1,40111,503-34-64094,054-956-3908,2026-01-02
200,경상북도,고령군,대원산업,경상북도 고령군 성산면 운성로 750-19,경상북도 고령군 성산면 고탄리 629,40118,514-31-66238,053-634-0553,2026-01-02
201,경상북도,고령군,대원섬유,경상북도 고령군 성산면 운성로 750-15,경상북도 고령군 성산면 고탄리 633-1,40118,503-23-91877,,2026-01-02
202,경상북도,고령군,대원포장,경상북도 고령군 개진면 독실길 129-3,경상북도 고령군 개진면 부리 441-9,40150,503-18-57628,054-956-2020,2026-01-02
203,경상북도,고령군,대윤오토모티브(주),경상북도 고령군 개진면 시례길 31,경상북도 고령군 개진면 개포리 135,40147,615-81-83501,054-954-3412,2026-01-02
204,경상북도,고령군,대일팩,경상북도 고령군 개진면 개경포로 527,경상북도 고령군 개진면 개포리 171-2,40147,514-26-24665,054-954-8014,2026-01-02
205,경상북도,고령군,대지정공,경상북도 고령군 다산면 다산로 181-28,경상북도 고령군 다산면 월성리 1286-20,40111,504-04-22877,054-956-8433,2026-01-02
206,경상북도,고령군,대지하이텍,경상북도 고령군 성산면 성산로 966-13,경상북도 고령군 성산면 어곡리 27,40118,503-18-30202,054-954-7101,2026-01-02
207,경상북도,고령군,대진산업,경상북도 고령군 대가야읍 회천로 277,경상북도 고령군 대가야읍 장기리 562,40134,503-02-68987,054-956-5005,2026-01-02
208,경상북도,고령군,대창제지(주),경상북도 고령군 개진면 개진산단길 93,경상북도 고령군 개진면 신안리 15,40145,503-81-70912,054-956-6300,2026-01-02
209,경상북도,고령군,대창직물,경상북도 고령군 쌍림면 쌍림공단길 109,경상북도 고령군 쌍림면 고곡리 181-2,40159,514-18-92630,,2026-01-02
210,경상북도,고령군,대풍산업사,경상북도 고령군 성산면 고탄공단길 22-32,경상북도 고령군 성산면 고탄리 651,40118,514-22-68419,054-956-0806,2026-01-02
211,경상북도,고령군,대한I.M,경상북도 고령군 개진면 반운3길 6-9,경상북도 고령군 개진면 반운리 335,40145,503-35-63850,054-955-8401,2026-01-02
212,경상북도,고령군,대한비닐,경상북도 고령군 성산면 성암로 82-27,경상북도 고령군 성산면 박곡리 668-4,40115,503-05-94905,054-954-5227,2026-01-02
213,경상북도,고령군,대한산업사,경상북도 고령군 성산면 성산로 482,경상북도 고령군 성산면 사부리 328-1,40120,503-07-48308,054-956-0555,2026-01-02
214,경상북도,고령군,대한산업사,경상북도 고령군 다산면 나선로 184  ,경상북도 고령군 다산면 나정리 450,40112,514-17-80438,054-955-7811,2026-01-02
215,경상북도,고령군,대한테크,경상북도 고령군 성산면 싯질길 24,경상북도 고령군 성산면 사부리 426,40120,514-25-69777,054-954-1983,2026-01-02
216,경상북도,고령군,대한텍스타일,경상북도 고령군 쌍림면 쌍림공단길 50,경상북도 고령군 쌍림면 고곡리 199-39,40159,679-49-00523,,2026-01-02
217,경상북도,고령군,덕성케미칼,경상북도 고령군 개진면 개경포로 469-9,경상북도 고령군 개진면 개포리 684-1,40147,686-01-00330,0507-1352-5591,2026-01-02
218,경상북도,고령군,덕신석재,경상북도 고령군 다산면 석재단지길 32,경상북도 고령군 다산면 나정리 714-4,40112,503-12-98082,054-955-8999,2026-01-02
219,경상북도,고령군,덕신흑판백판,경상북도 고령군 성산면 성산로 688 ,경상북도 고령군 성산면 기산리 246-2 ,40119,514-30-65270,054-956-8955,2026-01-02
220,경상북도,고령군,동국엔지니어링(주),경상북도 고령군 개진면 창동길 5,경상북도 고령군 개진면 부리 180,40150,503-81-39449,054-954-9237,2026-01-02
221,경상북도,고령군,동금에이엘,경상북도 고령군 다산면 다산로 509-10,경상북도 고령군 다산면 좌학리 333-1,40110,555-22-00685,054-956-7724,2026-01-02
222,경상북도,고령군,동산식품,경상북도 고령군 성산면 운성로 737 ,경상북도 고령군 성산면 고탄리 213 ,40118,503-24-71499,054-954-7767,2026-01-02
223,경상북도,고령군,동양정밀공업,경상북도 고령군 다산면 석재단지길 11-15,경상북도 고령군 다산면 나정리 655-1,40112,514-19-61338,053-614-1769,2026-01-02
224,경상북도,고령군,동양제재소,경상북도 고령군 개진면 개경포로 521,경상북도 고령군 개진면 개포리 167-1,40147,503-42-60754,053-582-0134,2026-01-02
225,경상북도,고령군,동원후렉소(주),경상북도 고령군 개진면 개경포로 1492,경상북도 고령군 개진면 생리 177,40150,503-81-59805,054-954-1061,2026-01-02
226,경상북도,고령군,동익산업,경상북도 고령군 성산면 운성로 767,경상북도 고령군 성산면 고탄리 160,40118,503-24-35756,054-955-8088,2026-01-02
227,경상북도,고령군,동일,경상북도 고령군 성산면 운성로674 ,경상북도 고령군 성산면 고탄리 568,40147,126-28-62995,054-956-2811,2026-01-02
228,경상북도,고령군,동진산업,경상북도 고령군 성산면 성산로 892-22,경상북도 고령군 성산면 어곡리 269-1,40118,514-30-67638,053-635-9353,2026-01-02
229,경상북도,고령군,동환비닐,경상북도 고령군 다산면 벌지로 16-2,경상북도 고령군 다산면 송곡리 452,40113,503-25-44892,,2026-01-02
230,경상북도,고령군,디(D)테크,경상북도 고령군 다산면 성암로 538-25,경상북도 고령군 다산면 송곡리 2075,40113,316-49-01048,054-933-8377,2026-01-02
231,경상북도,고령군,디. 에이. 씨 정공(주),경상북도 고령군 다산면 다산중앙길 40-16,경상북도 고령군 다산면 상곡리 148-8,40107,503-81-62085,054-956-9586,2026-01-02
232,경상북도,고령군,디엠아이,경상북도 고령군 성산면 삼대길 47-1,경상북도 고령군 성산면 삼대리 478,40117,216-22-72116,070-8797-3022,2026-01-02
233,경상북도,고령군,디엠에이(주),경상북도 고령군 성산면 성산로 882-16,경상북도 고령군 성산면 어곡리 256,40118,503-81-74790,054-954-4878,2026-01-02
234,경상북도,고령군,조월기부동산,경상북도 고령군 개진면 개경포로 1062,경상북도 고령군 개진면 옥산리 233,40149,503-17-44825,054-954-2444,2026-01-02
235,경상북도,고령군,디케이전력(주),경상북도 고령군 다산면 평리3길 32,경상북도 고령군 다산면 평리리 196,40104,514-81-85453,053-629-6911,2026-01-02
236,경상북도,고령군,땅사랑딸기쨈농원,경상북도 고령군 쌍림면 쌍쌍로 972,경상북도 고령군 쌍림면 안림리 466-1,40160,503-07-70794,054-955-0211,2026-01-02
237,경상북도,고령군,록미ENG,경상북도 고령군 성산면 성산로 794-31,경상북도 고령군 성산면 기족리 813-1,40118,514-22-78294,,2026-01-02
238,경상북도,고령군,마이더스마린,경상북도 고령군 운수면 운용로 349,경상북도 고령군 운수면 신간리 979-1,40123,609-25-92300,,2026-01-02
239,경상북도,고령군,맘모스산업,경상북도 고령군 대가야읍 회천로 280,경상북도 고령군 대가야읍 내곡리 1148,40134,120-15-00443,0507-1409-1846,2026-01-02
240,경상북도,고령군,매일영농조합법인,경상북도 고령군 개진면 개경포로 1017-6,경상북도 고령군 개진면 옥산리 624-1,40149,514-81-49267,054-956-2577,2026-01-02
241,경상북도,고령군,명성정공,경상북도 고령군 개진면 개경포로 1353-10,경상북도 고령군 개진면 부리 358,40150,514-19-07940,054-954-3508,2026-01-02
242,경상북도,고령군,명진섬유,경상북도 고령군 개진면 봉동길 31,경상북도 고령군 개진면 구곡리 197-2,40148,503-04-46333,054-954-6222,2026-01-02
243,경상북도,고령군,모든시스템,경상북도 고령군 다산면 다산로 181-21,경상북도 고령군 다산면 월성리 1286-6,40111,755-17-00898,054-954-5785,2026-01-02
244,경상북도,고령군,모든에너지(주),경상북도 고령군 다산면 다산로 181-21,경상북도 고령군 다산면 월성리 1286-6,40111,701-88-00659,1644-3734,2026-01-02
245,경상북도,고령군,문화산업,경상북도 고령군 성산면 고탄공단길 22-21,경상북도 고령군 성산면 고탄리 652,40118,503-20-89273,053-954-5700,2026-01-02
246,경상북도,고령군,미래진열장,경상북도 고령군 성산면 싯질길 115-29,경상북도 고령군 성산면 사부리 613-3,40120,504-01-66025,053-427-3204,2026-01-02
247,경상북도,고령군,배명통상,경상북도 고령군 쌍림면 쌍림공단길 20,경상북도 고령군 쌍림면 고곡리 199-7,40159,504-03-52530,054-956-0283,2026-01-02
248,경상북도,고령군,백만산업,경상북도 고령군 개진면 양전공단길 24,경상북도 고령군 개진면 양전리 698-3,40145,503-35-64413,054-956-3331,2026-01-02
249,경상북도,고령군,백호섬유,경상북도 고령군 성산면 고탄공단길 22-16 ,경상북도 고령군 성산면 고탄리 646 ,40118,514-24-55771,,2026-01-02
250,경상북도,고령군,범진메탈,경상북도 고령군 성산면 성산로 794-37,경상북도 고령군 성산면 기족리 807-1 ,40118,514-13-46072,054-954-9471,2026-01-02
251,경상북도,고령군,베스트네트,경상북도 고령군 개진면 개진산단길 40-27,경상북도 고령군 개진면 양전리 307,40145,697-24-01250,054-955-3030,2026-01-02
252,경상북도,고령군,㈜보경잔디농장,경상북도 고령군 개진면 치산길 26,경상북도 고령군 개진면 인안리 240-5,40150,503-81-38101,054-954-4770,2026-01-02
253,경상북도,고령군,보광물산,경상북도 고령군 성산면 신기길 85-18,경상북도 고령군 성산면 용소리 646,40114,617-02-59491,051-319-4686,2026-01-02
254,경상북도,고령군,보배산업,경상북도 고령군 대가야읍 장기공단1길 46-25,경상북도 고령군 대가야읍 장기리 298-1,40142,503-23-52855,054-955-7507,2026-01-02
255,경상북도,고령군,보성수출포장,경상북도 고령군 개진면 개경포로 1037-13,경상북도 고령군 개진면 옥산리 644 ,40149,514-10-35666,054-955-4498,2026-01-02
256,경상북도,고령군,보은산업,경상북도 고령군 개진면 인안길 9-11,경상북도 고령군 개진면 생리 114,40150,514-23-12116,,2026-01-02
257,경상북도,고령군,부광산업사,경상북도 고령군 쌍림면 쌍림공단길 105,경상북도 고령군 쌍림면 고곡리 181-10,40159,503-35-60571,054-955-1360,2026-01-02
258,경상북도,고령군,부광섬유,경상북도 고령군 대가야읍 회천로 283,경상북도 고령군 대가야읍 장기리 562-1,40134,503-05-58665,054-955-7937,2026-01-02
259,경상북도,고령군,부림이엔지,경상북도 고령군 성산면 삼대길 35-17,경상북도 고령군 성산면 삼대리 416,40117,460-41-00597,054-954-3308,2026-01-02
260,경상북도,고령군,부산석물,경상북도 고령군 다산면 석재단지길 25  ,경상북도 고령군 다산면 나정리 714-14 ,40112,514-09-70411,054-956-0010,2026-01-02
261,경상북도,고령군,부영산업,경상북도 고령군 개진면 개경포로 540-5,경상북도 고령군 개진면 개포리 500,40147,503-24-69218,0507-1411-0224,2026-01-02
262,경상북도,고령군,비앤포텍,경상북도 고령군 개진면 개진산단길 52,경상북도 고령군 개진면 신안리 6,40145,503-23-79266,0507-1410-0742,2026-01-02
263,경상북도,고령군,비전윈도우,경상북도 고령군 성산면 성산로 930-11,경상북도 고령군 성산면 어곡리 1-21,40118,105-52-00279,,2026-01-02
264,경상북도,고령군,삼경화섬,경상북도 고령군 쌍림면 쌍림공단길 101,경상북도 고령군 쌍림면 고곡리 181-11,40159,503-03-59414,054-956-3211,2026-01-02
265,경상북도,고령군,삼성금형코아,경상북도 고령군 다산면 성암로 538-17,경상북도 고령군 다산면 송곡리 2080,40113,503-25-41819,054-956-5319,2026-01-02
266,경상북도,고령군,삼영코아,경상북도 고령군 성산면 싯질길 115-25,경상북도 고령군 성산면 사부리 613-1,40120,762-19-00401,054-954-3013,2026-01-02
267,경상북도,고령군,삼일내식공업,경상북도 고령군 쌍림면 산당청계길 80,경상북도 고령군 쌍림면 산당리 159-1,40157,503-15-91950,054-955-1631,2026-01-02
268,경상북도,고령군,삼진화섬,경상북도 고령군 쌍림면 쌍림공단길 27,경상북도 고령군 쌍림면 고곡리 199-16,40159,503-35-63113,054-955-8211,2026-01-02
269,경상북도,고령군,삼풍정경,경상북도 고령군 개진면 양전공단길 16,경상북도 고령군 개진면 양전리 699-2,40145,514-25-02816,,2026-01-02
270,경상북도,고령군,삼호침구,경상북도 고령군 다산면 다산중앙길 59,경상북도 고령군 다산면 상곡리 149-3,40108,503-03-28605,054-956-2505,2026-01-02
271,경상북도,고령군,삼흥공업사,경상북도 고령군 개진면 회천로 325,경상북도 고령군 개진면 반운리 745 ,40144,503-34-63964,054-955-3995,2026-01-02
272,경상북도,고령군,삼흥산업사,경상북도 고령군 개진면 회천로 332,경상북도 고령군 개진면 반운리 749,40144,503-20-46973,054-955-3994,2026-01-02
273,경상북도,고령군,상림판넬플랜트,경상북도 고령군 성산면 오곡길 13,경상북도 고령군 성산면 오곡리 477,40117,672-69-00011,054-956-5922,2026-01-02
274,경상북도,고령군,새론불산업,경상북도 고령군 성산면 지리골길 28-4 ,경상북도 고령군 성산면 삼대리 363-2 ,40117,503-20-46901,054-954-9030,2026-01-02
275,경상북도,고령군,서연테크(주),경상북도 고령군 개진면 인안길 41,경상북도 고령군 개진면 인안리 364-2,40150,514-81-91713,054-955-4608,2026-01-02
276,경상북도,고령군,서진테크,경상북도 고령군 다산면 성암로 538-22,경상북도 고령군 다산면 송곡리 2051,40113,197-45-00019,053-584-1219,2026-01-02
277,경상북도,고령군,석영레이스,경상북도 고령군 다산면 상곡3길 31-1  ,경상북도 고령군 다산면 상곡리 151-24 ,40108,514-19-69359,054-956-2904,2026-01-02
278,경상북도,고령군,선경가구,경상북도 고령군 다산면 나선로 311,경상북도 고령군 다산면 나정리 117,40112,514-30-10192,054-956-2411,2026-01-02
279,경상북도,고령군,성광산업,경상북도 고령군 개진면 인안길 39-15,경상북도 고령군 개진면 생리 141,40150,503-14-83943,054-954-1059,2026-01-02
280,경상북도,고령군,성광산업,경상북도 고령군 성산면 지리골길 43,경상북도 고령군 성산면 삼대리 358-1 ,40117,503-34-62081,054-954-9056,2026-01-02
281,경상북도,고령군,성산연사,경상북도 고령군 성산면 운성로 750 ,경상북도 고령군 성산면 고탄리 603-1,40118,503-14-58712,054-956-1370,2026-01-02
282,경상북도,고령군,성서산업(주),경상북도 고령군 개진면 시례길 18,경상북도 고령군 개진면 개포리 137,40147,503-81-27623,054-954-1010,2026-01-02
283,경상북도,고령군,성서섬유,경상북도 고령군 성산면 삼대길 35-9,경상북도 고령군 성산면 삼대리 427,40117,514-08-81658,,2026-01-02
284,경상북도,고령군,성신무역(주),경상북도 고령군 개진면 반운공단길 38,경상북도 고령군 개진면 반운리 111-4,40145,503-81-54299,054-955-7491,2026-01-02
285,경상북도,고령군,성우산업,경상북도 고령군 개진면 치산길 17-5  ,경상북도 고령군 개진면 인안리 253 ,40150,514-03-49707,054-950-6232,2026-01-02
286,경상북도,고령군,성진산업,경상북도 고령군 대가야읍 장기공단1길 93,경상북도 고령군 대가야읍 장기리 298-2,40142,503-13-71834,054-956-2021,2026-01-02
287,경상북도,고령군,성진쇼트기계,경상북도 고령군 다산면 평리3길 24,경상북도 고령군 다산면 평리리 226-6,40104,503-19-55817,054-956-1717,2026-01-02
288,경상북도,고령군,성진포장,경상북도 고령군 성산면 성산로 739,경상북도 고령군 성산면 기산리 56,40119,503-17-40737,053-582-0913,2026-01-02
289,경상북도,고령군,성창산업,경상북도 고령군 대가야읍 회천로 274,경상북도 고령군 대가야읍 내곡리 1147,40134,503-13-63576,054-956-3308,2026-01-02
290,경상북도,고령군,성창산업,경상북도 고령군 다산면 나선로 417,경상북도 고령군 다산면 나정리 811,40112,153-19-00102,,2026-01-02
291,경상북도,고령군,성화모터스,경상북도 고령군 성산면 개경포로 2145,경상북도 고령군 성산면 득성리 266-1,40119,499-72-00100,054-954-9110,2026-01-02
292,경상북도,고령군,권중광부동산,경상북도 고령군 대가야읍 장기공단1길 38-24,경상북도 고령군 대가야읍 장기리 280-1,40142,503-33-91764,054-954-8257,2026-01-02
293,경상북도,고령군,세기공업사,경상북도 고령군 성산면 강정길 20,경상북도 고령군 성산면 강정리 86,40116,503-09-79576,054-954-9023,2026-01-02
294,경상북도,고령군,세명산업,경상북도 고령군 성산면 고탄공단길 22-22,경상북도 고령군 성산면 고탄리 649,40118,503-17-09852,054-954-3330,2026-01-02
295,경상북도,고령군,세양산업사,경상북도 고령군 개진면 양전공단길 13,경상북도 고령군 개진면 양전리 703 ,40145,502-30-77545,054-955-5217,2026-01-02
296,경상북도,고령군,세운섬유  ,경상북도 고령군 쌍림면 쌍림공단길 28,경상북도 고령군 쌍림면 고곡리 199-18,40159,351-53-00904,054-956-3601,2026-01-02
297,경상북도,고령군,세원농자재산업,경상북도 고령군 성산면 성산로 664,경상북도 고령군 성산면 기산리 405,40119,504-08-75294,054-956-0072,2026-01-02
298,경상북도,고령군,세화가구사,경상북도 고령군 개진면 송천길 78,경상북도 고령군 개진면 직리 107-1,40146,053-81-26498,054-955-1853,2026-01-02
299,경상북도,고령군,세화산업,경상북도 고령군 개진면 개경포로 540,경상북도 고령군 개진면 개포리 487,40147,503-17-65591,,2026-01-02
300,경상북도,고령군,소이빈네이처 제2공장,경상북도 고령군 개진면 개진산단길 79,경상북도 고령군 개진면 신안리 20,40145,123-32-93201,054-955-3777,2026-01-02
301,경상북도,고령군,송원섬유,경상북도 고령군 개진면 봉동길 25  ,경상북도 고령군 개진면 구곡리 198 ,40148,503-35-63092,054-954-0783,2026-01-02
302,경상북도,고령군,수안섬유,경상북도 고령군 성산면 고탄공단길 27  ,경상북도 고령군 성산면 고탄리 677 ,40118,503-14-88365,054-956-3515,2026-01-02
303,경상북도,고령군,수정영농조합법인,경상북도 고령군 쌍림면 신촌길 27-30,경상북도 고령군 쌍림면 신촌리 665-127,40166,292-81-01738,054-956-1124,2026-01-02
304,경상북도,고령군,수주테크,경상북도 고령군 개진면 인안길 72,경상북도 고령군 개진면 인안리 396-3,40150,503-09-39986,054-954-6353,2026-01-02
305,경상북도,고령군,(주)스페이스비어컴퍼니,경상북도 고령군 성산면 성암로 143,경상북도 고령군 성산면 박곡리 485-1,40115,660-81-03244,054-956-7458,2026-01-02
306,경상북도,고령군,승리수지㈜,경상북도 고령군 개진면 개경포로 469-8,경상북도 고령군 개진면 개포리 682-4,40147,389-81-02730,,2026-01-02
307,경상북도,고령군,승원,경상북도 고령군 성산면 고탄공단길 12,경상북도 고령군 성산면 고탄리 658-2,40118,514-05-59965,054-954-3441,2026-01-02
308,경상북도,고령군,시에스시,경상북도 고령군 개진면 개경포로 1094,경상북도 고령군 개진면 옥산리 191-4,40149,503-19-22320,,2026-01-02
309,경상북도,고령군,신우기계,경상북도 고령군 다산면 호촌길 44,경상북도 고령군 다산면 호촌리 208,40103,503-14-37319,054-955-1855,2026-01-02
310,경상북도,고령군,신우성테크,경상북도 고령군 다산면 나선로 365-41,경상북도 고령군 다산면 나정리 1068-3,40112,514-12-41691,054-954-9314,2026-01-02
311,경상북도,고령군,신원산업,경상북도 고령군 성산면 운성로 756-15,경상북도 고령군 성산면 고탄리 127,40118,503-18-91679,,2026-01-02
312,경상북도,고령군,신원소결금속(주),경상북도 고령군 성산면 안어실길 56 ,경상북도 고령군 성산면 어곡리 327 ,40118,507-87-00176,054-906-9950,2026-01-02
313,경상북도,고령군,신일미식품,경상북도 고령군 개진면 개경포로 985,경상북도 고령군 개진면 옥산리 563-1,40149,503-35-61639,054-954-8036,2026-01-02
314,경상북도,고령군,신화산업,경상북도 고령군 개진면 회천로 315,경상북도 고령군 개진면 반운리 743,40144,503-35-64320,054-956-1967,2026-01-02
315,경상북도,고령군,신화섬유,경상북도 고령군 개진면 개진산단길 53,경상북도 고령군 개진면 신안리 23,40145,514-01-41768,054-955-5953,2026-01-02
316,경상북도,고령군,신흥섬유,경상북도 고령군 쌍림면 쌍림공단길 55,경상북도 고령군 쌍림면 고곡리 220-26,40159,514-08-34567,053-593-2337,2026-01-02
317,경상북도,고령군,쌍림농업협동조합,경상북도 고령군 쌍림면 신곡교길18,경상북도 고령군 쌍림면 귀원리 246-1,40163,503-82-00747,054-955-8001,2026-01-02
318,경상북도,고령군,쌍림석재,경상북도 고령군 쌍림면 영서로 3209,경상북도 고령군 쌍림면 산당리 318,40157,503-35-60585,054-955-1102,2026-01-02
319,경상북도,고령군,썬테크,경상북도 고령군 개진면 개경포로 543,경상북도 고령군 개진면 개포리 183,40147,503-14-26563,054-954-6900,2026-01-02
320,경상북도,고령군,씨엘테크,경상북도 고령군 성산면 안어실길 38-39 ,경상북도 고령군 성산면 어곡리 343 ,40118,504-17-84456,053-354-2981,2026-01-02
321,경상북도,고령군,아성식품,경상북도 고령군 개진면 개진산단길 84,경상북도 고령군 개진면 신안리 11-1,40145,503-14-17007,054-955-1575,2026-01-02
322,경상북도,고령군,안림딸기농원,경상북도 고령군 쌍림면 쌍쌍로 984-36,경상북도 고령군 쌍림면 안림리 313-2,40160,503-10-82174,054-955-0177,2026-01-02
323,경상북도,고령군,알알이식품,경상북도 고령군 개진면 구곡1길 20,경상북도 고령군 개진면 구곡리 542-1,40148,503-06-24779,054-954-8264,2026-01-02
324,경상북도,고령군,야긴앤보아스철강(주),경상북도 고령군 개진면 개경포로 598-5,경상북도 고령군 개진면 개포리 359,40147,505-81-51681,054-954-1853,2026-01-02
325,경상북도,고령군,야성중공업,경상북도 고령군 성산면 개경포로 2132-10 ,경상북도 고령군 성산면 득성리 129-6  ,40116,514-20-90824,,2026-01-02
326,경상북도,고령군,양전천오산업,경상북도 고령군 개진면 양전공단길 38 ,경상북도 고령군 개진면 양전리 785 ,40145,503-42-75636,054-956-8869,2026-01-02
327,경상북도,고령군,억조포장지산업,경상북도 고령군 개진면 개진산단길 51,경상북도 고령군 개진면 신안리 24,40145,503-19-28644,054-956-3071,2026-01-02
