업체명,업종구분,소재지,전화번호,팩스번호
화니식품,식품제조가공업,경상북도 포항시 북구 신광면 비학로1242번길 8,054-255-9347,
농업회사법인(주)독도무역,식품제조가공업,경상북도 포항시 북구 흥해읍 칠포로 186,054-255-1800,
포항바이오파크,식품제조가공업,경상북도 포항시 남구 섬안로 185(대도동),054-255-9500,
건강드림센터,식품제조가공업,경상북도 포항시 북구 천마로45번길 28(1층 장성동),054-256-4472,
(주)보고아쿠아,식품제조가공업,경상북도 포항시 북구 기계면 기계로428번길 8,054-256-7506,
댓끼리푸드,식품제조가공업,"경상북도 포항시 북구 흥해읍 용금길83번길 56(1, 2층)",054-261-5556,
햅쌀마루농식품,식품제조가공업,경상북도 포항시 북구 흥해읍 용금길 183-61,054-261-2935,
보정식품,식품제조가공업,경상북도 포항시 북구 청하면 사방공원길 445,054-261-6565,
경상도한과. 경상도강정,식품제조가공업,경상북도 포항시 북구 흥해읍 달전로 152,054-261-6969,
농업회사법인(주)한터식품,식품제조가공업,경상북도 포항시 북구 흥해읍 성곡북길38번길 17-10(1층),054-262-0066,
금우문경영농조합법인 금우명다,식품제조가공업,경상북도 문경시 영순면 새갓길 20-25,054-262-1117,
농업회사법인 (주)들에푸드,식품제조가공업,경상북도 포항시 북구 장량로114번길 17-5(1층 장성동),054-262-2211,
농업회사법인 주식회사 포항웰빙푸드,식품제조가공업,"경상북도 포항시 북구 죽장면 면봉산길 104(가, 나동 1층)",054-262-6001,
농업회사법인(주)음식서당,식품제조가공업,경상북도 포항시 북구 죽장면 기북로 1745,054-262-7257,
포항나누우리터(포항황금수산),식품제조가공업,경상북도 포항시 북구 흥해읍 사방공원길 502(D동 1층),054-262-8151,
농업회사법인 흥해라이팝(주),식품제조가공업,경상북도 포항시 북구 신광면 사정안길58번길 5(1층),054-262-9486,
복식품,식품제조가공업,"경상북도 포항시 북구 흥해읍 초곡길75번길 3-22(가,나,다동)",054-262-9761,
에이펙셀(주),식품제조가공업,경상북도 포항시 북구 송라면 대전길 97-87,054-262-4922,
꽃젓갈,식품제조가공업,경상북도 포항시 북구 흥해읍 칠포로 371,054-262-8324,
성모자애원메주동네,식품제조가공업,경상북도 포항시 남구 대잠동길 17-3(매주동네 대잠동),054-272-0624,
국민농수산영농조합법인,식품제조가공업,경상북도 포항시 남구 대송면 장동홍계길274번길 51,054-273-7272,
대오(주),식품제조가공업,경상북도 포항시 남구 중흥로61번길 15-4(대잠동),054-273-1394,
한국커피융합 협동조합,식품제조가공업,경상북도 포항시 남구 효자로118번길 7-1(대잠동),054-274-1311,
농업회사법인주식회사 봉산권역,식품제조가공업,경상북도 포항시 남구 장기면 장기로 795(장기초등학교봉산분교장 파동),054-274-3066,
칠성신토불이즉석두부,식품제조가공업,경상북도 포항시 북구 중흥로139번길 14(죽도동),054-274-6799,
(사)대한노년자원봉사회 중앙회 영일만복드림,식품제조가공업,경상북도 포항시 남구 축항로 19-12(새마을운동포항시지회 해도동),054-275-5135,
오가향(五家香),식품제조가공업,경상북도 포항시 북구 병보천길 793,054-275-7508,
한솔과메기,식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로 119-9,054-275-9789,
호미곶 전통 찰보리빵,식품제조가공업,경상북도 포항시 남구 중앙로 158(해도동),054-275-2978,
보성수산(천수과메기),식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로 84,054-276-1501,
주식회사 대일씨엔에프,식품제조가공업,경상북도 포항시 남구 구룡포읍 병포길 129,054-276-1777,
힘찬씨푸드,식품제조가공업,경상북도 포항시 남구 호미곶면 일출로642번길 7,054-276-3166,
해동수산,식품제조가공업,"경상북도 포항시 남구 구룡포읍 일출로 171(가동, 나동)",054-276-3311,
용화수산,식품제조가공업,경상북도 포항시 남구 구룡포읍 호미로 57(B동),054-276-3728,
새시대식품,식품제조가공업,경상북도 포항시 남구 오천읍 해병로337번길 24-6,054-276-4922,
스윗스텝커피,식품제조가공업,경상북도 포항시 남구 대이로143번길 17(이동),054-276-0020,
양포식품(주),식품제조가공업,경상북도 포항시 남구 장기면 동해안로 3296,054-276-1612,
보성수산,식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로 82,054-276-4320,
한성수산식품(주),식품제조가공업,경상북도 포항시 남구 구룡포읍 병포길 130,054-276-6792,
나노케어(주),식품제조가공업,경상북도 포항시 북구 중흥로 283(1층 죽도동),054-276-9292,
구룡포수산업협동조합,식품제조가공업,경상북도 포항시 남구 구룡포읍 호미로 180-92,054-276-9626,
포항죽도시장협동조합,식품제조가공업,경상북도 포항시 북구 죽도시장2길 3-3(2층 죽도동),054-277-0999,
농업회사법인 포항노다지마을(주),식품제조가공업,경상북도 포항시 남구 동해면 금광로238번길 2(외 1필지),054-277-5544,
주식회사 아이월드,식품제조가공업,경상북도 포항시 남구 희망대로 254(이동),054-27-7595,
어업회사법인 바다온 주식회사,식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로 290,054-277-6082,
(주)채움푸드,식품제조가공업,경상북도 포항시 남구 문예로 39(주채움푸드 대도동),054-277-6664,
농업회사법인(주)해맞이빵,식품제조가공업,경상북도 포항시 남구 중앙로 23-1(대한빌딩 해도동),054-277-6665,
(주)알지바이오,식품제조가공업,경상북도 포항시 북구 법원로11번길 26-13(장성동),054-277-7172,
seaone bio tech(시원바이오텍),식품제조가공업,경상북도 포항시 북구 중흥로214번길 16(3층 죽도동),054-278-8897,
다운타운,식품제조가공업,경상북도 포항시 남구 대이로 97(2층 대잠동),054-278-9993,
꼬찌김밥,식품제조가공업,경상북도 포항시 남구 구룡포읍 구룡포길 49-1,054-278-9885,
영어조합법인 좋은씨푸드,식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로 163,054-281-2973,
구룡포해풍수산,식품제조가공업,경상북도 포항시 북구 천마로45번길 27(장성동),054-281-7889,
보성솔잎향기식품,식품제조가공업,경상북도 포항시 남구 대송면 장동홍계길274번길 80,054-281-6063,
주식회사 씨플러스,식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로332번길 95-15,054-282-8888,
범촌발효식품,식품제조가공업,경상북도 포항시 북구 신광면 신흥로 486,054-282-2229,
햇살바다,식품제조가공업,경상북도 포항시 남구 동해면 일월로11번길 23,054-282-3002,
커피백화점,식품제조가공업,경상북도 포항시 북구 죽파로 7(1층 용흥동),054-283-0777,
라메르웰푸드,식품제조가공업,경상북도 포항시 북구 삼호로 451(1층 환호동),054-283-3455,
구산F&B,식품제조가공업,경상북도 포항시 북구 중흥로 131(죽도동),054-283-0075,
(주)오대양,식품제조가공업,경상북도 포항시 남구 구룡포읍 동해안로 4447-11,054-283-7981,
보성씨푸드,식품제조가공업,경상북도 포항시 남구 구룡포읍 동해안로 4401,054-284-0325,
해초식품,식품제조가공업,경상북도 포항시 남구 구룡포읍 호미로 34-3(나동),054-284-0931,
남양푸드,식품제조가공업,경상북도 포항시 남구 구룡포읍 병포길129번길 17(1층),054-284-1192,
과메기 본가 범진,식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로62번길 4-1(1층),054-284-5371,
영해수산,식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로 445,054-284-8977,
(주)미보수산,식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로 308-7,054-284-8440,
(주)씨트리 구만제2공장,식품제조가공업,경상북도 포항시 남구 호미곶면 해맞이로208번길 52,054-284-9691,
세오녀식품,식품제조가공업,경상북도 포항시 남구 동해면 세오로68번길 15,054-285-5171,
효자종합식품(주),식품제조가공업,경상북도 포항시 남구 정몽주로847번길 20-22(청림동),054-286-4800,
두빛나래협동조합,식품제조가공업,경상북도 포항시 남구 대이로95번길 6-6(2층 대잠동),054-291-2001,
시원식품,식품제조가공업,경상북도 포항시 북구 흥해읍 도음로 758,054-291-9349,
주식회사 한얼물산,식품제조가공업,경상북도 포항시 남구 구룡포읍 일출로 173(A동),054-292-1785,
(주)조방푸드,식품제조가공업,경상북도 포항시 남구 오천읍 하원로46번길 10-4,054-292-4460,
행복떡집,식품제조가공업,경상북도 포항시 남구 오천읍 남원로 3,054-293-3933,
(주)풀내음,식품제조가공업,"경상북도 영천시 대창면 병암길 103-6(A,B동)",054-331-0300,
쌍별에프엔비협동조합,식품제조가공업,경상북도 영천시 대창면 병암길 103-6(주2B동),054-331-0300,
조흔와이너리,식품제조가공업,경상북도 영천시 조흔달길 22-53(조교동),054-331-3457,
(주)푸드킹,식품제조가공업,경상북도 영천시 금호읍 금창로 208-3,054-331-5588,
농업회사법인(주)태성팜,식품제조가공업,경상북도 영천시 청통면 청통로 495-17,054-331-9089,
주식회사 체리푸드,식품제조가공업,경상북도 영천시 금호읍 금창로 165,054-331-9171,
농업회사법인 주식회사 용계매원,식품제조가공업,경상북도 영천시 화남면 온천길 3,054-331-9955,
중앙농산,식품제조가공업,경상북도 영천시 시장2길 30(완산동),054-331-0678,
농업회사법인 김재식헬스푸드 주식회사,식품제조가공업,경상북도 영천시 대창면 병암길 22,054-331-1375,
농업회사법인 울릉도참섬지기 주식회사(영천지점),식품제조가공업,경상북도 영천시 고경면 상계로 282-17,054-331-5165,
진보농산,식품제조가공업,경상북도 영천시 장수로 358-5(서산동),054-332-2008,
금화농산,식품제조가공업,경상북도 영천시 북안면 북안서당길 77(북안서당길 81-5),054-332-2478,
(주)태산,식품제조가공업,경상북도 영천시 신녕면 완전공단길 23,054-332-3006,
(주)동서농수산,식품제조가공업,경상북도 영천시 임고면 매호운천길 90,054-332-6401,
영천시약용작물산업화지원센터,식품제조가공업,경상북도 영천시 한방로 16-2(영천약용작물산업화지원센터 도동),054-332-8383,
동우당제약(주)식품사업부,식품제조가공업,경상북도 영천시 임고면 운주로 267-14,054-332-8865,
(주)우진농업회사법인 제1공장,식품제조가공업,경상북도 영천시 어봉길 51-7(대전동),054-333-1877,
농업회사법인 과원주식회사,식품제조가공업,경상북도 영천시 화남면 신선로 148-3,054-333-3136,
(주)한방세상,식품제조가공업,경상북도 영천시 약초시장길 8(영천약초시장 101호 도동),054-333-7329,
보현산청정약초영농조합법인식품사업부,식품제조가공업,경상북도 영천시 임고면 맘실길 26,054-333-8083,
동우당제약(주)식품사업부,식품제조가공업,경상북도 청도군 안국길 63,054-333-8732,
주식회사 세원푸드,식품제조가공업,경상북도 영천시 임고면 포은로 201,054-333-1955,
신동산식품,식품제조가공업,경상북도 영천시 신녕면 신화로 68-6,054-333-4037,
(주)디저트키친(영천제1공장),식품제조가공업,경상북도 영천시 대창면 강회3길 53,054-333-8033,
삼송식품,식품제조가공업,경상북도 영천시 금호읍 죽방길 271,054-333-8806,
경북햇살농원 영농조합법인,식품제조가공업,경상북도 영천시 임고면 신선로 620,054-334-1158,
농업회사법인(주)초두루미,식품제조가공업,경상북도 봉화군 봉화읍 봉화로 780,054-334-7172,
농업회사법인 주식회사 시루와방아,식품제조가공업,경상북도 영천시 임고면 양항1길 13-6,054-334-4300,
(주)자연수,식품제조가공업,경상북도 영천시 임고면 매호운천길 153,054-334-8881,
농업회사법인 주식회사 담따프레시,식품제조가공업,경상북도 영천시 영천아이시로 106-66(봉동),054-335-0051,
청향제,식품제조가공업,경상북도 영천시 신녕면 치산관광길 143,054-335-0052,
농업회사법인(주)이수,식품제조가공업,경상북도 영천시 북안면 운북로 1195,054-335-0505,
금정식품,식품제조가공업,경상북도 영천시 북안면 운북로 1640-35,054-335-0715,
한국특수인삼주식회사,식품제조가공업,경상북도 영천시 청통면 신학길 19,054-335-0831,
경북친환경영농조합법인,식품제조가공업,경상북도 영천시 천문로 692-38(오미동),054-335-1085,
농업회사법인 한조주식회사,식품제조가공업,경상북도 영천시 천문로 692-60(오미동),054-335-1085,
농업회사법인(주)어니스트파머 2공장,식품제조가공업,경상북도 영천시 청통면 청통로 94-6,054-335-8732,
진짜배기,식품제조가공업,경상북도 영천시 북안면 대경로 2298-8,054-335-8866,
(주)사조대림 영천공장,식품제조가공업,경상북도 영천시 화산면 화산공단길 17,054-335-8881,
주식회사 도투락,식품제조가공업,경상북도 영천시 화산면 유성길 75-4,054-335-9811,
주식회사 피피티,식품제조가공업,경상북도 영천시 임고면 운주로 267-36,054-335-9824,
주식회사동남메딕스,식품제조가공업,경상북도 영천시 유봉길 20(오수동),054-336-0881,
농업회사법인(주)동서웰빙 3공장,식품제조가공업,경상북도 영천시 본촌공단1길 1(본촌동),054-336-1212,
농업회사법인(주)동서웰빙,식품제조가공업,경상북도 영천시 산업단지로 164(본촌동),054-336-1213,
파이토지노믹스 주식회사,식품제조가공업,경상북도 영천시 금호읍 영천산단로 398-9,054-336-2297,
농업회사법인(주)원광,식품제조가공업,경상북도 영천시 임고면 황강공단길 13,054-336-2626,
고향식품,식품제조가공업,경상북도 영천시 고경면 배골길 129,054-336-3086,
영천농축산사슴녹용영농조합,식품제조가공업,경상북도 영천시 청통면 보성공단길 31-37,054-336-4646,
(주)크라운,식품제조가공업,경상북도 영천시 유봉길 20(오수동),054-336-4989,
(주)태봉제약식품사업부,식품제조가공업,경상북도 영천시 화산면 구성길 23-29,054-336-6446,
보현산청정양념고추가루,식품제조가공업,경상북도 영천시 자양면 별빛로 834,054-336-6651,
주식회사 싱싱푸드,식품제조가공업,경상북도 영천시 금호읍 사근달길 71(71-1),054-336-7002,
(주)미보부산어묵,식품제조가공업,경상북도 영천시 칠백로 822(도남동),054-336-7070,
웰리온소금(WELLION Salt),식품제조가공업,경상북도 영천시 신녕면 장수로 1446-11,054-336-7100,
부성식품,식품제조가공업,경상북도 영천시 상록3길 30(야사동),054-336-7867,
태화염업사,식품제조가공업,경상북도 영천시 채신1공단길 29(채신동),054-336-8505,
농업회사법인 소생로컬푸드 주식회사,식품제조가공업,경상북도 영천시 도남공단3길 15(도남동),054-336-8680,
농업회사법인 소생로컬푸드 주식회사 제2공장,식품제조가공업,경상북도 영천시 도남공단3길 17(도남동),054-336-8680,
주식회사 부성에프엔에스,식품제조가공업,경상북도 영천시 영천아이시로 106-100(봉동),054-336-8779,
남경식품사업부,식품제조가공업,경상북도 영천시 대전길 38(대전동),054-336-9945,
파란들,식품제조가공업,경상북도 영천시 화산면 가래실로 86-5,054-336-9091,
농업회사법인(주)태동현,식품제조가공업,경상북도 영천시 임고면 매호운천길 92-16,054-337-0009,
화산약초영농조합법인,식품제조가공업,경상북도 영천시 청통면 청통로 95-5,054-337-0091,
감람원,식품제조가공업,경상북도 영천시 화북면 연지안길 36,054-337-0280,
(주)보성식품,식품제조가공업,경상북도 영천시 고경면 단포구보길 59,054-337-2569,
농업회사법인(주)한도(2공장),식품제조가공업,경상북도 영천시 청통면 사일로 543,054-337-3314,
농업회사법인(주)세찬,식품제조가공업,경상북도 영천시 임고면 포은로 842-50,054-337-5357,
(주)퓨어마인드 컴퍼니,식품제조가공업,경상북도 영천시 바깥완산길 93-26(2층 완산동),054-337-6554,
루트팜친환경영농조합법인,식품제조가공업,경상북도 영천시 완산로 59(제3호 완산동),054-337-8431,
신녕농협 마늘출하조절센터,식품제조가공업,경상북도 영천시 신녕면 대학길 169,054-337-8585,
화봉바이오텍,식품제조가공업,경상북도 영천시 야사4길 11(A동 112호 야사동),054-337-8604,
국일화학 주식회사,식품제조가공업,경상북도 영천시 채신2공단길 32(채신동),054-337-9101,
(주)옹가네푸드,식품제조가공업,경상북도 영천시 채신2공단길 79-29(채신동),054-337-9710,
선희네식품,식품제조가공업,경상북도 영천시 새미길 32(언하동),054-337-9855,
참살이식품,식품제조가공업,경상북도 영천시 고경면 호국로 961,054-337-0732,
농업회사법인(주)한도,식품제조가공업,경상북도 영천시 청통면 사일로 543-9,054-337-3314,
(주)별빛,식품제조가공업,경상북도 영천시 임고면 매호운천길 44,054-337-9640,
농업회사법인(주)동서건강,식품제조가공업,경상북도 영천시 한방로 269(주1동 작산동),054-338-0030,
정식품,식품제조가공업,경상북도 영천시 화북면 오동안길 123-5,054-338-0532,
영농조합법인블루썸,식품제조가공업,경상북도 영천시 대창면 금박로 1021,054-338-0800,
박종임 소담장,식품제조가공업,경상북도 영천시 금호읍 관정2길 18-20,054-338-0849,
(주)천연식품,식품제조가공업,경상북도 영천시 신녕면 구디티길 112-7,054-338-1147,
보강곤충농장식품,식품제조가공업,경상북도 영천시 야사시장길 43(A동 110호 야사동),054-338-2368,
농업회사법인 가온농산(주),식품제조가공업,경상북도 영천시 주남3길 22(금노동),054-338-2927,
크라운식품,식품제조가공업,경상북도 영천시 화산면 연유길 136,054-338-3500,
농업회사법인 조에허브(주),식품제조가공업,경상북도 영천시 화산면 구성길 64,054-338-5377,
농업회사법인(주)다솔,식품제조가공업,경상북도 영천시 대창면 병암길 103-6(주3호),054-338-8006,
해뜨락영농조합법인,식품제조가공업,경상북도 영천시 금호읍 오계공단길 11-15,054-338-9081,
해뜨락영농조합법인 2공장,식품제조가공업,경상북도 영천시 청통면 장수로 574,054-338-9081,
농업회사법인 기림바이오 주식회사,식품제조가공업,경상북도 영천시 금호읍 죽방길 282,054-338-1141,
(주)청아냉동식품 제2공장,식품제조가공업,"경상북도 영천시 도남공단3길 61(도남동, 외 1번지)",054-339-6434,
영천시농산물종합가공센터,식품제조가공업,경상북도 영천시 천문로 622-13(농산물종합가공센터 주2동 오미동),054-339-7295,
(주)에스앤비인터내셔널,식품제조가공업,경상북도 청도군 각남면 한재로 1346,054-370-1000,
(주)에스앤비인터내셔널 제2공장,식품제조가공업,경상북도 청도군 청도읍 안송읍길 17(주Snb),054-370-1000,
부강가쓰오,식품제조가공업,경상북도 청도군 각남면 한재로 1346,054-370-1000,
가마실 농장,식품제조가공업,경상북도 청도군 화양읍 합천2길 142,054-371-1087,
농업회사법인 청도감와인(주),식품제조가공업,경상북도 청도군 풍각면 봉기1길 17,054-371-1100,
예담초,식품제조가공업,경상북도 청도군 화양읍 화양남산길 58-5,054-371-1557,
주식회사 엔씨(NC),식품제조가공업,경상북도 청도군 청도읍 덕암길 210-7,054-371-1995,
후레쉬대운영농조합법인,식품제조가공업,경상북도 청도군 이서면 가금구라길 358(1층),054-371-2003,
무원영농조합,식품제조가공업,경상북도 청도군 화양읍 남성현로 185-9,054-371-2258,
몰트앤파머스 주식회사,식품제조가공업,경상북도 청도군 화양읍 도주관로 145,054-371-3077,
모과마을,식품제조가공업,경상북도 청도군 운산3길 143-4,054-371-3661,
청도감고을감식초,식품제조가공업,경상북도 청도군 동고길 133-10,054-371-5656,
제이유제이유비이,식품제조가공업,경상북도 청도군 금천면 방지1길 117-5,054-371-5856,
농업회사법인 주식회사 생생초,식품제조가공업,경상북도 청도군 화양읍 남성현로 291-15,054-371-6861,
청도우리농장,식품제조가공업,경상북도 청도군 금천면 운용로 341,054-371-8002,
농업회사법인 한채원 주식회사,식품제조가공업,경상북도 청도군 청도읍 월곡2길 35,054-371-0015,
현대급식,식품제조가공업,경상북도 청도군 매전면 광명대2길 9,054-371-0546,
심비원식품,식품제조가공업,경상북도 청도군 화양읍 내곡길 135-32,054-371-4711,
화산농원,식품제조가공업,경상북도 청도군 풍각면 동원길 15,054-371-4984,
한고을영농조합법인,식품제조가공업,경상북도 청도군 청도읍 음지1길 3,054-372-1304,
영농조합법인 농울림,식품제조가공업,경상북도 청도군 화양읍 도주관로 183,054-372-2224,
농업회사법인 열매선 주식회사,식품제조가공업,경상북도 청도군 매전면 용산3길 264-10,054-372-3693,
경북친환경농산물연구소,식품제조가공업,경상북도 청도군 각남면 칠성1길 31-1,054-372-3936,
건강한 힐링,식품제조가공업,경상북도 청도군 청도읍 중앙로 120-18,054-372-4002,
부야 주식회사,식품제조가공업,경상북도 청도군 청도읍 곰티로 40,054-372-6900,
동곡리323,식품제조가공업,경상북도 청도군 금천면 윗동실길 19-19,054-372-9212,
왕의김치 주식회사,식품제조가공업,경상북도 청도군 금천면 명포길 112-158,054-372-0300,
풍각두부공장,식품제조가공업,경상북도 청도군 풍각면 송서7길 7-4,054-372-0952,
청도대감 영농조합법인2,식품제조가공업,경상북도 청도군 청도읍 송읍길 2-33,054-373-0399,
청도대감영농조합법인,식품제조가공업,경상북도 청도군 청도읍 송읍길 2-12,054-373-0399,
농업회사법인 주식회사 아임푸드,식품제조가공업,경상북도 청도군 화양읍 합천길 41-40,054-373-1153,
운문표고영농조합,식품제조가공업,경상북도 청도군 운문면 청려로 4719,054-373-1315,
천우식품제조장,식품제조가공업,경상북도 청도군 봉기1길 32-7,054-373-3131,
건하식품,식품제조가공업,경상북도 청도군 원당1길 61,054-373-3654,
청도군장애인보호작업장,식품제조가공업,경상북도 청도군 청도읍 월곡2길 15-11,054-373-4014,
성대식품,식품제조가공업,경상북도 청도군 각북면 헐티로 542,054-373-4016,
이로움,식품제조가공업,경상북도 청도군 화양읍 동교길 81,054-373-4863,
농업회사법인 합자회사 가득,식품제조가공업,경상북도 청도군 각남면 각남로 35,054-373-4898,
곰삭이 늘보푸드,식품제조가공업,경상북도 청도군 각남면 녹갈1길 42-39,054-373-5445,
(주)청도명감 농업회사법인,식품제조가공업,경상북도 청도군 합천2길 94-34,054-373-7114,
농업회사법인 케이엠,식품제조가공업,경상북도 청도군 각남면 녹명1길 27,054-373-7401,
농업회사법인 주식회사 네이처팜(본사),식품제조가공업,경상북도 청도군 화양읍 학산토평길 257-18,054-373-7561,
한재미나리영농조합법인,식품제조가공업,경상북도 청도군 청도읍 한재로 363,054-373-7688,
농업회사법인 (주)미강,식품제조가공업,경상북도 청도군 각남면 화리길 81-52,054-373-7744,
풀빛농원,식품제조가공업,경상북도 청도군 각북면 각북금천1길 71-4,054-373-9542,
두은식품,식품제조가공업,경상북도 청도군 풍각면 월봉길 487-42,054-373-1529,
주식회사 장원식품,식품제조가공업,경상북도 청도군 고수동3길 49,054-373-4313,
고 방,식품제조가공업,경상북도 청도군 각남면 녹명길 41-5,054-373-4898,
아이스홍시 청도영농조합,식품제조가공업,경상북도 청도군 청도읍 월곡2길 63,054-373-6784,
영농조합법인 반시마을,식품제조가공업,경상북도 청도군 화양읍 합천길 6-105,054-373-6868,
감꽃뜨락,식품제조가공업,경상북도 청도군 매전면 용산길 30-15,054-373-6999,
대흥농산 서부 주식회사,식품제조가공업,경상북도 청도군 각남면 각남로 253,054-373-7500,
농업회사법인 주식회사 네이처팜 제2공장,식품제조가공업,경상북도 청도군 청도읍 월곡2길 29-16,054-373-7561,
농협회사법인 주식회사 미강2,식품제조가공업,경상북도 청도군 각남면 화리길 81-54,054-373-7744,
(주)라온씨앤비,식품제조가공업,경상북도 청도군 화양읍 진라2길 11,054-373-7750,
뉴 지케이푸드(New G·K food),식품제조가공업,경상북도 청도군 화양읍 남성현로 146,054-373-7881,
롯데웰푸드(주),식품제조가공업,경상북도 김천시 공단3길 94(응명동),054-420-2500,
참들식품,식품제조가공업,경상북도 김천시 개령면 덕촌2길 259-42,054-430-0195,
농업회사법인(주)카리,식품제조가공업,경상북도 김천시 봉산면 봉산1로 30-54,054-430-8954,
강순용명품버섯사랑영농조합법인,식품제조가공업,경상북도 김천시 어모면 은기길 3,054-430-3888,
장수약용버섯,식품제조가공업,경상북도 김천시 봉산로 580,054-431-3322,
신촌메주,식품제조가공업,경상북도 김천시 농소면 신촌리 519-3,054-431-6339,
주식회사온새미로,식품제조가공업,경상북도 김천시 공단1길 116(1동 1층 대광동),054-431-8064,
농소메주,식품제조가공업,경상북도 김천시 벽봉로 1879-8,054-431-6025,
선돌식품,식품제조가공업,경상북도 김천시 입석길 104-45,054-431-6255,
농남메주,식품제조가공업,경상북도 김천시 농소면 신촌리 689,054-431-6529,
노곡메주,식품제조가공업,경상북도 김천시 농소면 벽소로 1800-4,054-431-6777,
보강건강나라,식품제조가공업,경상북도 김천시 양금로 234(황금동),054-432-3329,
민속식품 명가,식품제조가공업,경상북도 김천시 공단로 282-14(1층 응명동),054-432-0485,
김천정월장업,식품제조가공업,경상북도 김천시 농소면 금송용암로 418,054-432-3214,
자연식품,식품제조가공업,경상북도 김천시 조마로 1170,054-432-4521,
늘푸른샘,식품제조가공업,경상북도 김천시 감문면 대양길 25,054-432-6621,
영농조합법인 연두,식품제조가공업,경상북도 김천시 아포읍 예리길 185-2(다동),054-433-3113,
(주)려강 제2공장,식품제조가공업,경상북도 김천시 공단로 152-30(대광동),054-433-3553,
대일식품,식품제조가공업,경상북도 김천시 거문들1길 88-94(삼락동),054-433-6939,
농업회사법인 주식회사 우준식품,식품제조가공업,경상북도 김천시 대항면 덕전길 216,054-433-8277,
마주(maJu),식품제조가공업,경상북도 김천시 봉산면 태화3길 80(1층),054-434-2019,
농업회사법인주식회사푸드팩토리,식품제조가공업,경상북도 김천시 아포읍 덕계길 137,054-434-3060,
주식회사 보담,식품제조가공업,경상북도 김천시 공단1길 26-34(2층 대광동),054-434-3333,
행복한200프로주식회사,식품제조가공업,경상북도 김천시 어모면 산업단지4로 167(1층),054-434-4995,
(주)씨엔알,식품제조가공업,경상북도 김천시 농소면 벽소로 2102(1층),054-434-5177,
황악협동조합,식품제조가공업,경상북도 김천시 대항면 황학동길 18(1층),054-434-6631,
김미경재래된장,식품제조가공업,경상북도 김천시 흥평로 315-23,054-434-7498,
비비알컴퍼니,식품제조가공업,경상북도 김천시 농소면 아포대로 53-21,054-434-7949,
농업회사법인 주식회사 삼송,식품제조가공업,경상북도 김천시 감문면 감문로 647,054-434-8886,
농업회사법인햇빛촌(주),식품제조가공업,경상북도 김천시 어모면 은기길 43,054-434-9906,
장수식품,식품제조가공업,경상북도 김천시 구성면 양각길 197,054-435-2915,
농업회사법인신안식품(주),식품제조가공업,경상북도 김천시 조마면 신안1길 246-7,054-435-3021,
농업회사법인 주식회사 쌍금,식품제조가공업,경상북도 김천시 구성면 남김천대로 3282-42(가동),054-435-3515,
장수팜,식품제조가공업,경상북도 김천시 아포읍 한지2길 48,054-435-8828,
김천시니어클럽청노을식품,식품제조가공업,경상북도 김천시 남면 석정길 141-22(1층),054-436-2552,
(주)대정,식품제조가공업,경상북도 김천시 어모면 산업단지7로 174,054-436-4995,
농업회사법인주식회사 더팜스,식품제조가공업,경상북도 김천시 이로리길 89(1동 1~2층 다수동),054-436-7440,
추풍령원식품,식품제조가공업,경상북도 김천시 대항면 황악로 1696-18,054-436-7798,
종가식품,식품제조가공업,경상북도 김천시 황산3길 46-32(지좌동),054-436-7805,
(주)다홍베이커리,식품제조가공업,경상북도 김천시 아홉사리길 95(응명동),054-436-8869,
시골식품,식품제조가공업,경상북도 김천시 감천면 금송원동길 158-45,054-436-9982,
해인농원주식회사농업회사법인,식품제조가공업,경상북도 김천시 부항면 해인길 347-3,054-436-0038,
토박이식품,식품제조가공업,경상북도 김천시 음지마길 101(부곡동),054-436-6887,
수도산오미자영농조합법인,식품제조가공업,경상북도 김천시 금곡리2길 29-27,054-437-0395,
(주)한울,식품제조가공업,경상북도 김천시 남면 농남로 721-13(1층),054-437-1001,
어전자연식품 주식회사,식품제조가공업,경상북도 김천시 부항면 어전2길 241-1,054-437-1245,
(주)늘푸른수산,식품제조가공업,경상북도 김천시 개령면 서부길 392-42(A동),054-437-1794,
장안수산,식품제조가공업,경상북도 김천시 남면 아포대로 334-5(2동 1층),054-437-9193,
삼도봉천마농장,식품제조가공업,경상북도 김천시 부항면 대야길 44-12(1층),054-437-0025,
시골앤팜,식품제조가공업,경상북도 김천시 부항면 해인길 538-18,054-437-3799,
농업회사법인(주)두리마을점,식품제조가공업,경상북도 김천시 아포읍 아포대로 595-49(1층),054-439-0800,
주식회사커피할배,식품제조가공업,경상북도 김천시 부거리길 118(신음동),054-439-6000,
(주)조흥지에프(GF),식품제조가공업,경상북도 김천시 어모면 산업단지6로 140(공장동),054-439-8555,
농업회사법인주식회사와촌식품,식품제조가공업,"경상북도 구미시 봉곡동로 62(1,2층 봉곡동)",054-441-1289,
