연번,구분,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원,데이터기준일자
158,계획입지,주식회사 주일,수산식물 가공 및 저장 처리업 외 1 종,"10220, 68112",경상북도 문경시 산양면 진정리 690-0,031-766-5852,,1,2025-09-11
159,계획입지,주식회사 지앤피,기타 절연선 및 케이블 제조업,"28302, ",경상북도 문경시 유곡동 704번지 외 1필지,043-841-9200,043-841-9299,12,2025-09-11
160,계획입지,주식회사 코엘,절연 코드세트 및 기타 도체 제조업 외 5 종,"28303, 22212, 22213, 28422, 28429, 28909",경상북도 문경시 신기동 1136-7 외 1필지,031-408-7821,,15,2025-09-11
161,계획입지,주식회사 티드,그 외 기타 플라스틱 제품 제조업,"22299, ",경상북도 문경시 신기동 1136-7 2층,032-322-9660,,3,2025-09-11
162,계획입지,주식회사 현대산업,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종","25111, 25112, 25113, 25119, 25122",경상북도 문경시 마성면 오천리 895-1 주식회사수하이텍,054-654-0720,,0,2025-09-11
163,계획입지,주식회사밀로우에프앤비,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,"10129, 10211, 10899",경상북도 문경시 신기동 1143-3,054-552-4269,,0,2025-09-11
164,계획입지,지에프알씨MH,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 3 종","23324, 23325, 23326, 23329",경상북도 문경시 마성면 오천리 896번지,,,10,2025-09-11
165,계획입지,진덕바이오텍(주),기타 과실ㆍ채소 가공 및 저장 처리업 외 1 종,"10309, 10833",경상북도 문경시 가은읍 왕능리 618번지,054-571-4680,,14,2025-09-11
166,계획입지,진명탄소,그 외 기타 분류 안된 화학제품 제조업 외 2 종,"20499, 21301, 35114",경상북도 문경시 마성면 오천리 901,054-533-1330,,6,2025-09-11
167,계획입지,진솔테크,농업 및 임업용 기계 제조업,"29210, ",경상북도 문경시 가은읍 왕능리 616-3번지,,054-534-7074,1,2025-09-11
168,계획입지,천성산업,세폭직물 제조업,"13991, ",경상북도 문경시 가은읍 왕능리 613-1번지 외 1필지,054-572-5200,054-572-5202,15,2025-09-11
169,계획입지,케이엠지프레임(주),강관 제조업 외 1 종,"24132, 24133",경상북도 문경시 가은읍 왕능리 646-1번지,,054-554-8811,20,2025-09-11
170,계획입지,클라임코리아 주식회사,"체조, 육상 및 체력단련용 장비 제조업 외 5 종","33301, 29172, 29173, 33302, 33309, 33932",경상북도 문경시 산양면 진정리 690-1,054-553-8663,031-945-4065,8,2025-09-11
171,계획입지,클라임코리아(주),"체조, 육상 및 체력단련용 장비 제조업 외 2 종","33301, 33302, 33309",경상북도 문경시 산양면 진정리 692-2,054-553-8663,,25,2025-09-11
172,계획입지,한국건설,육상 금속 골조 구조재 제조업,"25113, ",경상북도 문경시 산양면 진정리 600-11번지,054-554-5000,054-554-7273,3,2025-09-11
173,계획입지,한국씨앤오테크(주),무기 및 총포탄 제조업 외 3 종,"25200, 15129, 26329, 28901",경상북도 문경시 영순면 의곡리 1280 번지,054-550-7600,054-553-0095,97,2025-09-11
174,계획입지,한국효모(주),반려동물용 사료 제조업 외 5 종,"10901, 10839, 10902, 10903, 20312, 20313",경상북도 문경시 영순면 의곡리 1282 번지,054-556-5856,054-556-5857,13,2025-09-11
175,계획입지,한두레TMR,비주거용 건물 임대업,"68112, ",경상북도 문경시 산양면 진정리 630-3번지,054-554-1050,054-554-8050,10,2025-09-11
176,계획입지,한두레축산 영농조합법인,반려동물용 사료 제조업 외 2 종,"10901, 10902, 10903",경상북도 문경시 산양면 진정리 630-3번지,054-554-1050,054-554-8050,10,2025-09-11
177,계획입지,합자회사지구,농업 및 임업용 기계 제조업 외 9 종,"29210, 22299, 25111, 25112, 25113, 25114, 25119, 25994, 29133, 29299",경상북도 문경시 마성면 오천리 895-1번지,054-571-4801,054-571-4803,4,2025-09-11
178,계획입지,혜성에스에이치,가금류 가공 및 저장 처리업,"10121, ",경상북도 문경시 산양면 진정리 630-11,,,15,2025-09-11
179,계획입지,호진기계(주),"체조, 육상 및 체력단련용 장비 제조업 외 4 종","33301, 25112, 25113, 27199, 33302",경상북도 문경시 신기동 1141-1번지 외 1필지,054-552-2597,054-552-7126,30,2025-09-11
180,계획입지,홍AD,가정용 및 장식용 도자기 제조업 외 1 종,"23221, 33910",경상북도 문경시 가은읍 왕능리 615번지,054-541-2279,054-541-2279,1,2025-09-11
181,계획입지,홍하우징,기타 구조용 금속제품 제조업,"25119, ",경상북도 문경시 유곡동 708,,,3,2025-09-11
182,계획입지,화인시스템주식회사,배전반 및 전기 자동제어반 제조업 외 7 종,"28123, 26421, 26519, 27213, 27214, 27215, 27216, 28422",경상북도 문경시 산양면 진정리 692-4,053-817-8023,,4,2025-09-11
183,계획입지,효승라이팅,일반용 전기 조명장치 제조업,"28422, ",경상북도 문경시 산양면 진정리 600-11 외 1필지,,,36,2025-09-11
184,개별입지,(주)KEC,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,23325,문경시 신기공단1길 62 (신기동),054-554-0245,054-554-0246,32,2025-09-11
185,개별입지,(주)나노필름,플라스틱 접착처리 제품 제조업 외 1종,"22291, 22292",문경시 신기공단1길 26 (신기동),054-552-1100,054-055-3110,38,2025-09-11
186,개별입지,(주)대명오앤씨,동물성 유지 제조업 외 1종,"10401, 10402",문경시 농암면 무운로 277,054-571-4000,054-571-4114,22,2025-09-11
187,개별입지,(주)대지,아스팔트 콘크리트 및 혼합제품 제조업,23991,문경시 산양면 금천강변길 150 (골재가공공장(상호무)),054-552-3931,,7,2025-09-11
188,개별입지,(주)두루존,기타 과실ㆍ채소 가공 및 저장 처리업,10309,문경시 동로면 금천로 2223 ((주)두루존),031-434-6116,031-434-6110,30,2025-09-11
189,개별입지,(주)마성콘크리트,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종","23324, 23325",문경시 마성면 마성길 115,054-571-7000,054-571-6999,7,2025-09-11
190,개별입지,(주)무지환경,표면 가공 목재 및 특정 목적용 제재목 제조업,16102,문경시 공평동 971-2번지,054-553-6868,054-553-6869,3,2025-09-11
191,개별입지,(주)문경레미콘,레미콘 제조업,23322,문경시 산양면 봉정리 89-1번지,054-554-1980,054-554-1983,13,2025-09-11
192,개별입지,(주)문경신소재,비금속광물 분쇄물 생산업,23993,문경시 산북면 종곡길 158-258,054-554-9489,054-554-9488,35,2025-09-11
193,개별입지,(주)봄이네,빵류 제조업 외 1종,"10712, 10309",문경시 문경읍 새재로 876-4,054-571-2131,054-571-2130,10,2025-09-11
194,개별입지,(주)삼성에코텍,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 6종,"23325, 22212, 22213, 23324, 25112, 25113, 25114",문경시 신기공단1길 53 (신기동),054-554-0570,054-553-8563,15,2025-09-11
195,개별입지,(주)삼성엠케이,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1종,"23325, 23322",문경시 신기공단1길 53 (신기동),054-0554-3234,054-554-3240,66,2025-09-11
196,개별입지,(주)새재씽크,주방용 및 음식점용 목재가구 제조업,32021,문경시 진곡길 122(공평동),054-552-0122,054-552-9122,3,2025-09-11
197,개별입지,(주)새재아스콘,아스팔트 콘크리트 및 혼합제품 제조업,23991,문경시 신기로 68-25 (신기동),054-554-6060,054-055-4080,11,2025-09-11
198,개별입지,(주)새재환경,아스팔트 콘크리트 및 혼합제품 제조업,23991,문경시 신기로 68-5 (신기동),054-554-0603,,14,2025-09-11
199,개별입지,(주)성신알에스티 문경,기관차 및 기타 철도차량 제조업 외 1종,"31201, 31202",문경시 마성면 외어1길 75,054-572-5000,054-572-4849,26,2025-09-11
200,개별입지,(주)세일,건설 및 채광용 기계장비 제조업,29241,문경시 신기공단2길 5 (신기동),054-554-1422,054-554-1522,22,2025-09-11
201,개별입지,(주)에스엠아이이엔지,자동차용 금속 압형제품 제조업 외 1종,"25913, 25914",문경시 마성면 동성길 74,054-571-7621,054-571-3248,15,2025-09-11
202,개별입지,(주)에코이노텍 문경지점,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,23325,"문경시 신기공단1길 53(신기동, (주)삼성엠케이, (주)삼성에코텍)",031-832-8863,031-832-7523,8,2025-09-11
203,개별입지,(주)에코제이피,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종","23324, 23325","문경시 가은읍 공단강변길 197, (주)에코제이피",054-572-8100,054-572-8200,15,2025-09-11
204,개별입지,(주)원미트,육류 기타 가공 및 저장처리업 (가금류 제외),10129,문경시 영신영강길 76-25 (영신동),054-553-2288,054-553-2299,42,2025-09-11
205,개별입지,(주)위드팜,빵류 제조업,10712,문경시 문경읍 주흘로 221,054-571-2075,054-572-2075,1,2025-09-11
206,개별입지,(주)유니웨이,그 외 기타 분류 안된 금속 가공 제품 제조업,25999,문경시 산양면 경서로 523-4,054-554-3078,054-554-3024,1,2025-09-11
207,개별입지,(주)점촌레미콘,레미콘 제조업,23322,문경시 신기공단1길 76 (신기동),054-554-8941,054-554-8944,19,2025-09-11
208,개별입지,(주)점촌콘크리트,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1종","23324, 23329",문경시 신기공단1길 75-2 (신기동),054-554-8941,054-554-8944,5,2025-09-11
209,개별입지,(주)케이제이씨우진,속도계 및 적산계기 제조업,27214,문경시 신기공단1길 22-11 (신기동),054-552-6675,054-552-6676,6,2025-09-11
210,개별입지,(주)큐앤큐테크,화학 살균.살충제 및 농업용 약제 제조업 외 1종,"20321, 22299",문경시 영순면 감골길 41,054-556-0811,054-552-5237,10,2025-09-11
211,개별입지,(주)태양개발,"금속 문, 창, 셔터 및 관련제품 제조업",25111,문경시 문경읍 주흘1길 8 (태양알미늄),054-571-5144,054-571-2004,0,2025-09-11
212,개별입지,(주)태영건설,"금속 문, 창, 셔터 및 관련제품 제조업 외 3종","25111, 25112, 25113, 25114",문경시 마성면 봉명길 106,054-572-3912,054-572-3913,8,2025-09-11
213,개별입지,(주)풍림 문경지점,표면 가공 목재 및 특정 목적용 제재목 제조업,16102,문경시 신기동 252-27번지,054-553-7700,054-553-7702,8,2025-09-11
214,개별입지,(주)한국건설,육상 금속 골조 구조재 제조업,25113,문경시 호계면 가섭길 458-9,054-554-5000,054-554-7273,4,2025-09-11
215,개별입지,(주)황토하우징,타일 및 유사 비내화 요업제품 제조업,23232,문경시 신기로 79 (신기동),054-556-6400,054-553-6400,3,2025-09-11
216,개별입지,HP정보통신,방송장비 제조업,26421,문경시 상신로 49-1 (모전동),054-552-1945,054-552-1946,4,2025-09-11
217,개별입지,가은레미콘(주),레미콘 제조업,23322,문경시 마성면 은성로 1038 (가은레미콘(주)) (총 2 필지),054-0572-0921,054-572-0920,22,2025-09-11
218,개별입지,경북톱밥,표면 가공 목재 및 특정 목적용 제재목 제조업 외 1종,"16102, 16101",문경시 산양면 산동로 116,054-552-0013,054-553-7322,0,2025-09-11
219,개별입지,관문요,가정용 및 장식용 도자기 제조업,23221,문경시 문경읍 화계1길 83,054-572-3931,,0,2025-09-11
220,개별입지,그린종합식품,차류 가공업,10792,문경시 장승백이3길 25 (공평동) 그린종합식품,054-555-1407,054-555-1408,4,2025-09-11
221,개별입지,농업회사법인 나누미,도시락류 제조업,10751,"문경시 중앙로 87, 204-207 농업회사법인 나누미 (점촌동)",054-553-9525,054-554-9525,3,2025-09-11
222,개별입지,농업회사법인 주식회사 가나다라브루어리,맥아 및 맥주 제조업 외 1종,"11112, 11119",문경시 문경대로 625-1 (유곡동),070-7799-2428,070-7714-2428,21,2025-09-11
223,개별입지,농업회사법인 주식회사 마각,맥아 및 맥주 제조업 외 2종,"11112, 11119, 11129",문경시 농암면 지동길 50,,0504-077-9602,2,2025-09-11
224,개별입지,농업회사법인 주식회사 제이엘(오미나라),기타 발효주 제조업 외 2종,"11119, 11129, 11209",문경시 문경읍 새재로 609,054-572-0601,054-571-0600,9,2025-09-11
225,개별입지,농업회사법인(주)모심정,장류 제조업,10743,문경시 마성면 봉생1길 13,054-571-1845,,1,2025-09-11
226,개별입지,농업회사법인권도영알로에(주)문경지점,기타 과실ㆍ채소 가공 및 저장 처리업 외 7종,"10309, 10741, 10796, 10797, 10799, 11111, 11129, 11209",문경시 영순면 영순로 645,054-554-3688,054-554-3689,4,2025-09-11
227,개별입지,농업회사법인문경미소(주),수산식물 가공 및 저장 처리업 외 1종,"10220, 11209",문경시 산양면 산동로 597,054-572-4300,054-555-4301,14,2025-09-11
228,개별입지,농업회사법인주식회사 서동아낙원양축,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1종,"10129, 10122",문경시 마성면 봉명길 227-21,054-571-0440,054-552-0034,5,2025-09-11
229,개별입지,농업회사법인주식회사 한농,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1종","10211, 10794",문경시 농암면 내서리 503번지,054-535-5322,054-535-5546,5,2025-09-11
230,개별입지,대성계전(주),속도계 및 적산계기 제조업 외 2종,"27214, 27199, 27215",문경시 호계면 태봉1길 5,054-550-2500,054-553-0761,123,2025-09-11
231,개별입지,대신정밀,기타 가공 공작기계 제조업,29229,"문경시 윤직동2길 51, 대신정밀 (윤직동)",054-553-9112,,3,2025-09-11
232,개별입지,동남산업,표면 가공 목재 및 특정 목적용 제재목 제조업,16102,문경시 산양면 평지리 231번지,054-554-4181,054-554-4182,3,2025-09-11
233,개별입지,동문경농업협동조합,곡물 도정업,10611,문경시 산양면 금천로 54 산동농협미곡종합처리장,054-553-7993,054-553-7995,7,2025-09-11
234,개별입지,동양이앤지,구조용 금속 판제품 및 공작물 제조업 외 4종,"25112, 25113, 25114, 25122, 25123",문경시 영순면 산남로 48,054-556-8881,054-556-8880,3,2025-09-11
235,개별입지,동일피씨씨(주),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,23325,문경시 신기공단1길 62 (신기동),054-504-7015,054-504-7015,9,2025-09-11
236,개별입지,동창산업(주),코크스 및 관련제품 제조업 외 1종,"19101, 20119",문경시 마성면 외어리 1126-1번지,054-0555-8894,054-553-8720,15,2025-09-11
237,개별입지,동화건설기계정비공장,건설 및 채광용 기계장비 제조업,29241,"문경시 용지마길 11 (윤직동, 동화자동차정비공장)",054-555-0051,054-555-0053,9,2025-09-11
238,개별입지,동희건설(주),플라스틱 창호 제조업 외 1종,"22223, 25111",문경시 중앙로 301 (흥덕동),054-556-7092,054-554-7092,5,2025-09-11
239,개별입지,두현엔지니어링,동력식 수지공구 제조업,29194,문경시 호계면 견탄리 373-3번지,054-554-9596,054-554-9599,10,2025-09-11
240,개별입지,토민,복합비료 및 기타 화학비료 제조업 외 1종,"20312, 20313",문경시 신기로 58-21 (신기동),054-554-3423,054-554-3423,1,2025-09-11
241,개별입지,려금요,가정용 및 장식용 도자기 제조업,23221,문경시 마성면 외어리 221-6번지,054-572-3548,,2,2025-09-11
242,개별입지,메종,커튼 및 유사제품 제조업,13223,문경시 매봉로 143 (모전동),054-553-7789,,3,2025-09-11
243,개별입지,문경 팔영 능금촌,기타 과실ㆍ채소 가공 및 저장 처리업,10309,문경시 문경읍 팔영안길 23,054-572-8088,,4,2025-09-11
244,개별입지,문경새재원두막,기타 건축용 나무제품 제조업 외 1종,"16229, 33302",문경시 마성면 동성길 40,054-556-8552,054-571-8542,4,2025-09-11
245,개별입지,문경연탄,연탄 및 기타 석탄 가공품 제조업,19102,문경시 신기로 84 (신기동) (총 2 필지),054-553-1331,054-553-1336,15,2025-09-11
246,개별입지,문경오미자 밸리 영농조합법인,기타 발효주 제조업 외 2종,"11119, 10309, 11209",문경시 동로면 여우목로 2265,054-552-9000,054-553-5224,7,2025-09-11
247,개별입지,문경주조,탁주 및 약주 제조업,11111,문경시 동로면 노은1길 49-15 (공장),054-552-8252,,3,2025-09-11
248,개별입지,청정문경약돌돼지 본사,육류 포장육 및 냉동육 가공업 (가금류 제외),10122,문경시 윤직동2길 46 (윤직동),054-553-2488,054-552-7622,13,2025-09-11
249,개별입지,문경축산업협동조합,배합 사료 제조업 외 1종,"10801, 10802",문경시 산양면 추산로 97,054-550-7400,054-553-7770,10,2025-09-11
250,개별입지,문경쑥돈,육류 포장육 및 냉동육 가공업 (가금류 제외),10122,문경시 유곡불정로 80 (유곡동),054-555-0690,054-554-0692,19,2025-09-11
251,개별입지,문경호산춘,탁주 및 약주 제조업,11111,문경시 산북면 대하리 400-6번지,054-552-7036,,2,2025-09-11
252,개별입지,밀바이오 농업회사법인주식회사,배합 사료 제조업,10801,문경시 호계면 가섭길 265,054-552-1030,054-552-1033,2,2025-09-11
253,개별입지,바이탈스페이스,간판 및 광고물 제조업 외 3종,"33910, 18111, 18113, 33932","문경시 중앙로 140-4 (점촌동, 바이탈스페이스)",054-554-0055,054-552-6188,2,2025-09-11
254,개별입지,산양한과,기타 곡물 가공품 제조업,10619,문경시 산양면 과상3길 14,054-552-3730,,0,2025-09-11
255,개별입지,삼성씨에스(주),혼성 및 재생 플라스틱 소재 물질 제조업 외 4종,"20203, 22229, 22232, 29222, 29292",문경시 신기공단2길 37 (신기동),054-554-1195,054-554-1196,27,2025-09-11
256,개별입지,새재식품,차류 가공업 외 2종,"10792, 10122, 10129",문경시 마성면 동성길 54,054-571-7799,054-571-7798,7,2025-09-11
257,개별입지,소나무(원두막)건축,기타 건축용 나무제품 제조업 외 1종,"16229, 33302",문경시 마성면 새재로 31-5,,054-572-1231,5,2025-09-11
258,개별입지,씨엘디자인 주식회사,전시 및 광고용 조명장치 제조업 외 8종,"28423, 33910, 58123, 59113, 71310, 71391, 71392, 71393, 71399",문경시 중앙로 54 (모전동),054-556-1109,054-554-1109,2,2025-09-11
259,개별입지,영강영농조합법인,곡물 도정업,10611,문경시 영순면 영순로 230,054-0553-3233,054-553-3234,4,2025-09-11
260,개별입지,영신농기계,구조용 금속 판제품 및 공작물 제조업 외 2종,"25112, 29180, 29210",문경시 영순면 영순로 141,054-553-4891,,7,2025-09-11
261,개별입지,우성산업(주),레미콘 제조업,23322,문경시 신기로 98 (신기동),054-0554-0810,054-554-0813,19,2025-09-11
262,개별입지,이로하영농조합법인,기타 과실ㆍ채소 가공 및 저장 처리업 외 1종,"10309, 11209",문경시 유곡불정로 204-10 (유곡동),054-055-6066,,2,2025-09-11
263,개별입지,이젠하우스,기타 비알코올 음료 제조업 외 1종,"11209, 10309",문경시 동로면 무라이길 300,054-555-5688,054-553-6111,0,2025-09-11
264,개별입지,이젠하우스,차류 가공업,10792,문경시 동로면 무라이길 296,054-555-5688,054-553-6111,3,2025-09-11
265,개별입지,점촌종합씽크공장,주방용 및 음식점용 목재가구 제조업,32021,문경시 산양면 중앙로 409-14,054-554-3330,054-554-3331,1,2025-09-11
266,개별입지,조선요,가정용 및 장식용 도자기 제조업,23221,문경시 문경읍 관음리 337번지,054-571-2536,054-571-7450,3,2025-09-11
267,개별입지,주식회사 경일,기타 인쇄업 외 3종,"18119, 18113, 18129, 33910",문경시 매봉로 97-6 (모전동),054-555-3344,,8,2025-09-11
268,개별입지,주식회사 대원바이오,복합비료 및 기타 화학비료 제조업 외 1종,"20312, 20313",문경시 마성면 외어리 22-1번지,,054-571-7773,5,2025-09-11
269,개별입지,주식회사 대훈,전구 및 램프 제조업,28410,문경시 공평로 134-25(공평동),054-555-7783,070-7489-6740,8,2025-09-11
270,개별입지,주식회사 도원아트조경,그 외 기타 나무제품 제조업 외 2종,"16299, 16102, 33302","문경시 진곡길 115, 도원아트 (공평동)",070-4120-6397,0504-040-6397,4,2025-09-11
271,개별입지,주식회사 문경전력,일반용 전기 조명장치 제조업 외 1종,"28422, 28429",문경시 우지공평로 25(우지동),054-556-3101,054-556-3102,4,2025-09-11
272,개별입지,주식회사 영진,연탄 및 기타 석탄 가공품 제조업,19102,문경시 신기로 64 (신기동),054-553-4431,,16,2025-09-11
273,개별입지,주식회사 우성바이오텍,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",23324,문경시 가은읍 대야로 2171,054-571-4586,054-571-4587,20,2025-09-11
274,개별입지,주식회사 윤창,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1종,"10129, 10122",문경시 문경읍 진안리 144-2번지,054-552-9774,054-552-9775,14,2025-09-11
275,개별입지,주식회사 정원,그 외 기타 플라스틱 제품 제조업,22299,문경시 신기공단1길 22-21 (신기동),054-554-1232,054-554-1238,8,2025-09-11
276,개별입지,주흘산업개발,아스팔트 콘크리트 및 혼합제품 제조업,23991,문경시 마성면 은성로 1412,054-571-1491,054-571-6055,10,2025-09-11
277,개별입지,중앙정밀,그 외 기타 특수목적용 기계 제조업 외 1종,"29299, 29261",문경시 경서로 149 (점촌동),054-553-0534,054-553-0534,3,2025-09-11
278,개별입지,큰들농업회사법인주식회사,기타 과실ㆍ채소 가공 및 저장 처리업,10309,문경시 동로면 적성큰마길 149-20,054-555-9966,,3,2025-09-11
279,개별입지,태봉식품,두부 및 유사식품 제조업,10794,문경시 호계면 견탄리 513-5번지,054-552-5277,054-553-9660,15,2025-09-11
280,개별입지,태양글러브,기타 편조의복 액세서리 제조업,14419,문경시 신기공단2길 51 (신기동),054-553-0098,054-553-9083,19,2025-09-11
281,개별입지,푸른산참농원,김치류 제조업 외 2종,"10301, 10302, 10309",문경시 마성면 고모산성길 1-32,054-571-4267,054-571-4268,3,2025-09-11
282,개별입지,한국씨앤오테크(주),무기 및 총포탄 제조업 외 4종,"25200, 26421, 27214, 29174, 31312",문경시 영순면 무림길 108-5,054-550-7600,054-553-0095,128,2025-09-11
283,개별입지,한국씨앤오테크(주),무기 및 총포탄 제조업,25200,문경시 마성면 오천리 산 31-1,054-550-7600,054-553-0095,7,2025-09-11
284,개별입지,한국정밀건업,금속 단조제품 제조업,25912,문경시 중앙1길 20-1 (점촌동),054-554-1558,054-552-1558,1,2025-09-11
285,개별입지,한국토탈산업,주방용 및 음식점용 목재가구 제조업 외 1종,"32021, 32029","문경시 중앙로 19-1, 한국토탈산업 (모전동)",054-553-0976,,3,2025-09-11
286,개별입지,한솔도예,가정용 및 장식용 도자기 제조업,23221,문경시 신기로 172 (신기동),054-553-3324,054-554-3324,2,2025-09-11
287,개별입지,합동정미소,곡물 도정업,10611,문경시 산양면 불암3길 12-4 (정부양곡도정합동정미소/정미시설),054-552-3714,054-552-3715,3,2025-09-11
288,개별입지,해밀,차류 가공업,10792,문경시 마성면 새재로 80-6,054-571-2792,054-571-7700,2,2025-09-11
289,개별입지,황백원,가정용 및 장식용 도자기 제조업,23221,문경시 마성면 신현리 506-1번지,054-572-1765,054-554-6961,2,2025-09-11
290,개별입지,흥덕식품,전분제품 및 당류 제조업,10620,문경시 주평5길 33 (신기동),054-552-8765,,3,2025-09-11
291,개별입지,천홍농업회사법인주식회사,육류 포장육 및 냉동육 가공업 (가금류 제외),10122,문경시 동로면 금천로 2377,054-555-1050,054-553-1050,5,2025-09-11
292,개별입지,주식회사 다미,가정용 및 장식용 도자기 제조업,23221,문경시 문경읍 고요리 133-1,054-572-5780,,5,2025-09-11
293,개별입지,㈜세영ENG,육상 금속 골조 구조재 제조업,25113,문경시 흥덕1길 16-14 (흥덕동),070-7337-7775,054-554-1559,6,2025-09-11
294,개별입지,(주)대성이앤디,타일 및 유사 비내화 요업제품 제조업,23232,문경시 신기로 172 (신기동),053-242-0053,053-761-7908,5,2025-09-11
295,개별입지,(주)대평개발,그 외 기타 나무제품 제조업,16299,문경시 문경읍 새재로 504,054-571-8507,054-571-8505,10,2025-09-11
296,개별입지,(주)폰드솔루션,그 외 기타 특수목적용 기계 제조업 외 3종,"29299, 29175, 29193, 29261","문경시 호계면 대학길 161,  창업보육센터 305호",070-4120-4524,,1,2025-09-11
297,개별입지,금화영농조합법인,복합비료 및 기타 화학비료 제조업 외 1종,"20312, 20313",문경시 산양면 금천로 188-5,054-554-1086,054-552-8604,3,2025-09-11
298,개별입지,농업회사법인 엠케이엠 주식회사,김치류 제조업 외 1종,"10301, 10302","문경시 호계면 대학길 140-3, 1,2층 (공빌딩)",054-553-0201,0505-340-0201,8,2025-09-11
299,개별입지,문경제재소,일반 제재업,16101,문경시 호계면 상무로 725 (문경제재소),054-552-0487,,3,2025-09-11
300,개별입지,예품한과,과자류 및 코코아 제품 제조업,10713,문경시 마성면 오천리 705-5번지 외 1필지,054-571-7711,054-571-7716,0,2025-09-11
301,개별입지,태흥도장산업,도장 및 기타 피막처리업,25923,문경시 신기공단1길 22-11 (신기동),054-556-7475,,10,2025-09-11
302,개별입지,한강산업전기(주),공기 조화장치 제조업,29172,문경시 농암면 연천3길 34-15,054-571-1493,054-571-1494,2,2025-09-11
303,개별입지,(주)기린,컴퓨터 제조업 외 1종,"26310, 26322",문경시 산양면 경서로 523-10,054-556-1600,054-554-3024,2,2025-09-11
304,개별입지,(주)네츄럴푸드코리아,그 외 기타 식료품 제조업,10799,"문경시 호계면 대학길 161, 문경대학교 산학협력단 창업보육센터 318호",070-4623-8754,031-696-6373,1,2025-09-11
305,개별입지,제이에스푸드,가금류 가공 및 저장 처리업,10121,문경시 매봉6길 16 (모전동),054-554-7879,054-554-4454,9,2025-09-11
306,개별입지,대박푸드,육류 기타 가공 및 저장처리업 (가금류 제외),10129,문경시 마성면 구점길 76,054-572-2413,0504-337-0038,5,2025-09-11
307,개별입지,농업회사법인 주식회사 샘이깊은물,소주 제조업,"11122, 11129",문경시 문경읍 문경대로 2411,054-572-0601,054-571-0600,4,2025-09-11
