순번,회사명,사업자등록번호,공장대표주소(도로명),위도,경도,업종명,생산품,전화번호,팩스번호,산업단지명,데이터기준일
104,(주)엔아이,7748700738,경상북도 김천시 공단1길 51 (대광동),36.14115208,128.1411983,"증류기, 열교환기 및 가스발생기 제조업 외 6 종","액체여과기, 기체여과기, 액체펌프, 컨베이어장치, 산업용 송풍기 외, 액체여과기, 기체여과기, 액체펌프, 컨베이어장치, 산업용 송풍기 외, 액체여과기, 기체여과기, 액체펌프, 컨베이어장치, 산업용 송풍기 외, 액체여과기, 기체여과기, 액체펌프, 컨베이어장치, 산업용 송풍기 외, 액체여과기, 기체여과기, 액체펌프, 컨베이어장치, 산업용 송풍기 외, 액체여과기, 기체여과기, 액체펌프, 컨베이어장치, 산업용 송풍기 외, 액체여과기, 기체여과기, 액체펌프, 컨",054-471-0205,,김천대광농공단지,2025-12-30
111,(주)예원,6998600615,경상북도 김천시 개령면 개령로 279-2,36.19043941,128.1779462,"증류기, 열교환기 및 가스발생기 제조업 외 2 종","열교환기, 압력용기, 저장용기",054-430-9248,054-436-9248,,2025-12-30
382,엠에이치비(M.H.B),3145400315,경상북도 김천시 농소면 용암1길 3-80,36.07708707,128.1692059,"증류기, 열교환기 및 가스발생기 제조업 외 1 종","열 교환기, 열 교환기",054-436-0617,054-436-0616,,2025-12-30
475,주식회사 에이치디에너지,3558800723,"경상북도 김천시 혁신로 288-5, 207호  (율곡동) 207호",36.1261074,128.182388,"증류기, 열교환기 및 가스발생기 제조업",위탁,070-4153-1103,031-855-1103,,2025-12-30
38,(주)동우,5248702859,경상북도 김천시 남면 농남로 1284-23,36.06091609,128.2912764,주형 및 금형 제조업,주물용 중자,054-439-4021,054-437-4022,,2025-12-30
210,그로리아 씽크,5102061254,경상북도 김천시 아포읍 대신길 480,36.15406261,128.2164164,주방용 및 음식점용 목재가구 제조업,씽크대,054-430-2042,054-434-5876,,2025-12-30
428,조은 산업,3571000128,경상북도 김천시 미곡길 209 (백옥동),36.11779724,128.0744272,주방용 및 음식점용 목재가구 제조업,"맞춤가구,씽크대,붙박이장,신발장",,,,2025-12-30
493,주식회사 유원알투엠,6878600228,경상북도 김천시 아포읍 아포공단길 117,36.16561265,128.2508612,접착제 및 젤라틴 제조업,"접착제, 코팅제",031-526-9330,031-526-9331,김천아포농공단지,2025-12-30
300,명지건축,8091501259,경상북도 김천시 봉산면 봉산로 590,36.15810736,128.0198175,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 2 종",황토인테리어조립벽돌,054-433-0002,054-439-1157,,2025-12-30
301,명지황토,5100486371,경상북도 김천시 봉산면 봉산로 590,36.15810736,128.0198175,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 2 종","황토벽돌, 황토몰탈, 황토비누",054-433-0002,054-439-1157,,2025-12-30
184,(주)행성사,5138500707,경상북도 김천시 아포읍 인2길 79 외 1필지,36.1688255,128.2444799,절연 코드세트 및 기타 도체 제조업,Harness,054-432-2771,054-432-6378,,2025-12-30
21,(주)다원넥스트 2공장,5038607694,경상북도 김천시 어모면 산업단지7로 145,36.16835386,128.1327775,절삭가공 및 유사처리업 외 2 종,"금속가공, 구조용 금속제품, 철도차량 부품 등, 금속가공, 구조용 금속제품, 철도차량 부품 등, 금속가공, 구조용 금속제품, 철도차량 부품 등",054-716-2124,054-716-2125,김천제1일반산업단지,2025-12-30
309,바인인더스,5131446213,경상북도 김천시 산업단지4로 25-26(응명동) 외 1필지,36.15576619,128.1297108,절삭가공 및 유사처리업 외 1 종,철도차량부품,054-471-2644,054-471-2645,김천제1일반산업단지,2025-12-30
353,신현대기계,1380283241,경상북도 김천시 농공단지2길 40 (신음동),36.13090622,128.131736,절삭가공 및 유사처리업,제조용기계,,,,2025-12-30
311,보람전자,5102192263,경상북도 김천시 봉산면 봉산1로 251,36.14307498,128.0467047,"전자코일, 변성기 및 기타 전자 유도자 제조업",가정용 소형변압기,054-431-7633,,,2025-12-30
579,한국아이오티주식회사,4758801216,"경상북도 김천시 율곡동 1111번지 (혁신8로 5) 율곡테크노밸리 515호, 516호",36.12753253,128.1816803,"전자코일, 변성기 및 기타 전자 유도자 제조업","스마트알약, 로라게이트웨이수신기",050-2500-8088,050-2500-8087,,2025-12-30
587,한영전자(주),5108100108,경상북도 김천시 백옥길 2 (백옥동),36.12492307,128.0797,"전자코일, 변성기 및 기타 전자 유도자 제조업","소형 변성기, TRANS",054-432-3791,054-432-3790,,2025-12-30
183,(주)행성디지털,5108109526,경상북도 김천시 아포읍 인2길 79 ((주)행성디지털) 외 1필지,36.1688255,128.2444799,전자부품 실장기판 제조업,"LCD용 SMT, 모즐, PCB A'SSY",054-431-7071,054-431-7074,,2025-12-30
144,(주)제이앤씨테크,5108112604,경상북도 김천시 농소면 월곡외지길 131,36.10674142,128.1616729,"전자기 측정, 시험 및 분석기구 제조업 외 4 종","전자계측기 및 부품, LED조명",054-433-6438,054-432-6438,,2025-12-30
379,엘아이지넥스원(주),2158635051,경상북도 김천시 남면 월명리 1123번지 외 5필지,36.05320008,128.2685829,"전자기 측정, 시험 및 분석기구 제조업 외 3 종",방산물품,054-469-8365,054-461-8065,,2025-12-30
209,굳테크(Good Tech),5100438113,"경상북도 김천시 영남대로 1300, 2층(다수동)",36.12605042,128.0786124,전시용 모형 제조업 외 1 종,"GPS Trainer, Mobile Game Trainer, Fiber Optic Trainer, Satellite training system",054-437-8031,,,2025-12-30
257,대동기업사,5251800799,경상북도 김천시 새들길 270 (부곡동),36.12724944,128.0907456,전동기 및 발전기 제조업,농업용 공기순환팬,054-434-7883,054-437-7883,,2025-12-30
304,믿음찬전자,5102062476,경상북도 김천시 아포읍 봉산리 1037-1번지,36.15803745,128.2163385,전동기 및 발전기 제조업,전동기,054-434-1848,054-434-1848,,2025-12-30
364,알에스 타임솔루션,7671801112,경상북도 김천시 남면 주천로 1498,36.05471909,128.2704417,전기경보 및 신호장치 제조업 외 18 종,"배전반, 전기자동제어반, 조명장치, 종이 판지, 제품 디자인, 사무기계장비",054-7918-1401,054-434-1402,,2025-12-30
483,주식회사 와이어블,2148612657,"경상북도 김천시 혁신로 288-5, 1층 101호 (율곡동) 1층 101호",36.1261074,128.182388,전기경보 및 신호장치 제조업 외 17 종,"회로카드 부품, 회로카드, 무선통신장치, 회로카드, 회로카드, 회로카드 부품, 회로카드 및 케이블, 회로카드 및 케이블, 케이블, 회로카드, 회로카드, 회로카드, 회로카드 및 케이블, 회로카드 및 케이블, 회로카드 및 케이블, 회로카드, 회로카드, 회로카드",02-2077-3185,02-431-3116,,2025-12-30
307,바이오라이트(주),1308158137,경상북도 김천시 어모면 산업단지1로 46,36.15498435,128.1189514,전구 및 램프 제조업 외 4 종,"할로겐전구, 전구 및 램프 , 전구 및 램프 , 전구 및 램프 , 전구 및 램프 ",054-439-0252,054-439-0254,김천제1일반산업단지,2025-12-30
94,(주)에스제이이엔씨,7538802833,"경상북도 김천시 혁신8로 5, 319호(율곡동, 율곡테크노밸리) 319호",36.12753253,128.1816803,전구 및 램프 제조업 외 3 종,"LED 조명, 경관조명 등, LED 조명, 경관조명 등, LED 조명, 경관조명 등, LED 조명, 경관조명 등",054-437-2999,054-437-2989,,2025-12-30
308,바이오라이트(주),1308158137,경상북도 김천시 어모면 산업단지4로 108,36.16472107,128.1332937,전구 및 램프 제조업 외 1 종,"할로겐 전구, LED 전구, 차량용 필터",054-439-0252,054-439-0254,김천제1일반산업단지,2025-12-30
279,데미샘,5130950917,"경상북도 김천시 봉산면 태화3길 80, 가동 데미샘",36.15307643,128.0279067,장류 제조업,고추장,054-430-9770,054-430-9773,,2025-12-30
187,(주)휴비스,2778101286,경상북도 김천시 어모면 남산리 1970번지,36.16808687,128.1297091,자동차용 신품 조향장치 및 현가 장치 제조업,lower arm,054-435-8803,054-435-8802,김천제1일반산업단지,2025-12-30
586,한영공업(주),8668500692,경상북도 김천시 감문면 감문로 1029-20,36.21358252,128.1792224,자동차용 신품 조향장치 및 현가 장치 제조업,자동차컨트롤케이블용/광케이블용 경강선,054-433-9302,054-433-9303,김천감문농공단지,2025-12-30
194,㈜우진산전,2208547590,경상북도 김천시 어모면 산업단지9로 56,36.17608619,128.1334465,자동차용 신품 전기장치 제조업 외 4 종,전기버스,054-421-9000,054-0421-9199,김천제1일반산업단지,2025-12-30
143,(주)정도정밀,5108132051,경상북도 김천시 어모면 산업단지로 20,36.15840965,128.1185676,자동차용 신품 동력전달장치 제조업 외 8 종,"자동차부품, pzpz,철판, pzpz,철판, pzpz,철판, pzpz,철판, pzpz,철판, pzpz,철판, pzpz,철판, pzpz,철판",054-437-8101,053-437-8104,김천제1일반산업단지,2025-12-30
498,주식회사 정도정밀,5108132051,경상북도 김천시 농공단지2길 35 (신음동) 외 3필지,36.13040989,128.1322907,자동차용 신품 동력전달장치 제조업 외 8 종,"자동차부품, pipz, 철판, pipz, 철판, pipz, 철판, pipz, 철판, pipz, 철판, pipz, 철판, pipz, 철판, pipz, 철판",054-437-8101,054-437-8104,,2025-12-30
39,(주)동진금속,5108506871,경상북도 김천시 농공단지2길 30 (신음동) (총 8 필지) 외 7필지,36.13239297,128.1320829,자동차용 신품 동력전달장치 제조업 외 1 종,자동차부품,054-430-6644,054-430-6622,,2025-12-30
177,(주)한성이엔지,1408154822,경상북도 김천시 어모면 산업단지7로 126,36.16947722,128.1356473,자동차용 금속 압형제품 제조업,금속압형 제품,054-434-1729,054-434-1730,김천제1일반산업단지,2025-12-30
422,정우하이텍,5131351266,경상북도 김천시 감문면 감문로 1025,36.21294397,128.1783201,자동차용 금속 압형제품 제조업,"자동차부품,전자부품",054-430-6151,054-430-6157,김천감문농공단지,2025-12-30
40,(주)동희산업 김천공장,5108509179,경상북도 김천시 어모면 산업단지1로 75,36.15699161,128.1215329,자동차 차체용 신품 부품 제조업 외 4 종,자동차 부품,054-431-1900,054-434-1940,김천제1일반산업단지,2025-12-30
285,동해금속(주),4028120860,경상북도 김천시 어모면 산업단지5로 60,36.16677977,128.1378879,자동차 차체용 신품 부품 제조업 외 4 종,"자동차 부품, 철도 이너프레임, 철도 의자, 금형, JIG, 변압기 외함, 주형 및 금형, 변압기, 공작기계",,054-436-0772,김천제1일반산업단지,2025-12-30
436,주식회사 네오테크,2328104432,경상북도 김천시 어모면 산업단지9로 31,36.17505397,128.1375913,자동차 차체용 신품 부품 제조업 외 2 종,"자동차부품, 자동차부품, 자동차부품",054-434-9847,054-434-9850,김천제1일반산업단지,2025-12-30
161,(주)코아,5138181279,경상북도 김천시 남면 농남로 1094 외 3필지,36.06526555,128.2699229,자동차 차체용 신품 부품 제조업 외 1 종,"차량용 SEAT FRAME, 차량용 SEAT FRAME",054-911-1700,054-911-1701,,2025-12-30
326,삼진모빌리티(주) 김천지점,8688501509,"경상북도 김천시 독정길 17(응명동, 삼진정밀)",36.15639784,128.1290339,자동차 차체용 신품 부품 제조업 외 1 종,"자동차용 부품(배터리 케이스 등), 자동차용 부품(배터리 케이스 등)",054-434-1545,054-434-1547,김천제1일반산업단지,2025-12-30
327,삼진하이테크(주),2478603240,경상북도 김천시 어모면 산업단지로 255,36.16696751,128.1391998,자동차 차체용 신품 부품 제조업 외 1 종,"전기차 밧데리케이스, 전기차 밧데리케이스",054-434-1545,054-434-1547,김천제1일반산업단지,2025-12-30
99,(주)에이엔피크리비즈,1398113821,경상북도 김천시 어모면 산업단지7로 169,36.16826632,128.130443,자동차 차체용 신품 부품 제조업,자동차부품(cluster 외),054-910-8023,054-910-0905,김천제1일반산업단지,2025-12-30
219,금창하이테크(주),5918800917,경상북도 김천시 아포읍 아포공단길 59,36.16609367,128.2535415,자동차 차체용 신품 부품 제조업,자동차 내외부 패널 사출물 주조물,070-4350-6980,054-434-9142,김천아포농공단지,2025-12-30
302,무신플라텍,5100599631,경상북도 김천시 개령면 경상북도 김천시 개령면 황계길 270 외 1필지,36.1536278,128.1542349,자동차 차체용 신품 부품 제조업,자동차부품 외,054-437-2211,054-437-0232,,2025-12-30
374,에스케이지 주식회사,,경상북도 김천시 어모면 산업단지4로 137,36.16731081,128.1305748,자동차 차체용 신품 부품 제조업,머플러,054-439-7400,054-439-7401,김천제1일반산업단지,2025-12-30
515,주식회사 파이스티엘에스 김천공장,1268563911,경상북도 김천시 공단4길 89 (응명동),36.15718208,128.1289241,자동차 차체용 신품 부품 제조업,"EK3플랫폼 LWR CASE, 전기차 밧데리 케이스 커버",054-715-5301,054-715-5302,김천제1일반산업단지,2025-12-30
557,태양테크닉,6492800755,경상북도 김천시 어모면 산업단지로 245,36.16667886,128.1393994,자동차 차체용 신품 부품 제조업,"전기버스 스레임, 전기자동차 배터리 케이스",,,김천제1일반산업단지,2025-12-30
575,하나특장,5110824639,경상북도 김천시 농공단지2길 12 (신음동),36.13209478,128.1327713,자동차 차체용 신품 부품 제조업,"윙바디, 적재함, 탑 등",054-437-6803,,,2025-12-30
17,(주)나우산업 김천공장,6158147427,경상북도 김천시 감문면 감문로 1029-8,36.21297034,128.178765,자동차 엔진용 신품 부품 제조업 외 2 종,자동차용 실린더 헤드,054-435-9001,054-435-9002,김천감문농공단지,2025-12-30
6,(주)계양정밀,5108104104,경상북도 김천시 공단4길 32 (응명동) 외 1필지,36.15659211,128.1243552,자동차 엔진용 신품 부품 제조업 외 1 종,"TURBOCHARGER, TURBOCHARGER",054-433-5578,054-430-6398,,2025-12-30
105,(주)엘앤에프,5138119101,경상북도 김천시 어모면 산업단지1로 83,36.15805399,128.122646,자동차 엔진용 신품 부품 제조업 외 1 종,"양극활물질 제조, 자동차 엔진용 신품 부품 제조업",053-580-0741,053-581-7610,김천제1일반산업단지,2025-12-30
281,동성금속(주) 김천공장,5108508452,경상북도 김천시 공단4길 57 (응명동),36.15803427,128.1242686,자동차 엔진용 신품 부품 제조업 외 1 종,자동차용 엔진베어링,054-430-8400,043-742-8448,,2025-12-30
318,삼금산업(주),5108103288,경상북도 김천시 공단4길 69 (응명동),36.15756398,128.1258016,자동차 엔진용 신품 부품 제조업 외 1 종,자동차부품,054-432-8480,054-439-1725,,2025-12-30
10,(주)국민진공,5148156448,경상북도 김천시 어모면 산업단지로 245,36.16667886,128.1393994,자동차 엔진용 신품 부품 제조업,자동차 부품 및 금형 PVD 코팅,054-810-7790,054-810-7791,김천제1일반산업단지,2025-12-30
295,만복,8271701377,경상북도 김천시 체육공원길 134(덕곡동),36.12034764,128.1505588,일반철물 제조업,"씽크대 제조, 가전제품수리",054-432-0198,054-436-9216,,2025-12-30
296,만복물류,3182201241,경상북도 김천시 체육공원길 132(덕곡동),36.12034802,128.1502589,일반철물 제조업,탁자제조 및 주방용품 수리,,054-436-9216,,2025-12-30
321,삼성공업사,1710102802,경상북도 김천시 아포읍 대신길 14 외 2필지,36.15127439,128.1920485,일반철물 제조업,황동 금속장식,,054-435-5348,,2025-12-30
445,주식회사 대영테크,8088101907,경상북도 김천시 남면 영남대로 2905,36.09187938,128.2412751,일반철물 제조업,"밀폐형 핸들, 산업자재",054-436-3666,054-436-3666,,2025-12-30
378,에코라이팅(주),6458100632,경상북도 김천시 아포읍 아포1로 343,36.16525753,128.2439241,일반용 전기 조명장치 제조업 외 2 종,"LED조명, LED투광등, LED경관조명등, LED실내조명, 태양광가로등개발",,054-434-0330,,2025-12-30
452,주식회사 벨류데이터,5088137937,경상북도 김천시 남면 옥산길 38-37,36.10631192,128.1900279,일반용 전기 조명장치 제조업 외 18 종,"LED가로등, LED보안등기구, 전광판, 소프트웨어 일체, LED가로등, LED보안등기구, 전광판, 소프트웨어 일체, LED가로등, LED보안등기구, 전광판, 소프트웨어 일체, LED가로등, LED보안등기구, 전광판, 소프트웨어 일체, LED가로등, LED보안등기구, 전광판, 소프트웨어 일체, LED가로등, LED보안등기구, 전광판, 소프트웨어 일체, LED가로등, LED보안등기구, 전광판, 소프트웨어 일체, LED가로등, LED보안등기구, 전광판, 소",054-463-1178,054-461-1179,,2025-12-30
278,덕원테크,7060801272,경상북도 김천시 아포읍 대신길 490,36.15407124,128.2166276,일반용 전기 조명장치 제조업 외 1 종,"LED조명기구, LED조명기구",054-434-7716,054-434-7710,,2025-12-30
305,밀알장애인사회통합공동체,2018209158,경상북도 김천시 새실길 9(다수동),36.12559948,128.0790563,일반용 전기 조명장치 제조업 외 1 종,"조명기기, 조명기기",054-435-0837,054-436-0838,,2025-12-30
76,(주)소프트테크닉스,4758101691,"경상북도 김천시 혁신로 315-11, 301호 (율곡동) 301호",36.12770662,128.1798142,일반용 전기 조명장치 제조업,LED 조명,054-437-7785,054-437-7786,,2025-12-30
117,(주)와이케이컴퍼니,8258801707,"경상북도 김천시 혁신로 303, 307호(율곡동)",36.1275612,128.1806138,일반용 전기 조명장치 제조업,조명기기,054-437-9667,054-437-9668,,2025-12-30
377,에코라이팅,3361701342,"경상북도 김천시 혁신8로 5, 317호 (율곡동, 율곡테크노밸리) 317호",36.12753253,128.1816803,일반용 전기 조명장치 제조업,LED 조명,054-453-3145,054-453-3146,,2025-12-30
430,주식회사 굿라이팅,4678601657,경상북도 김천시 혁신8로 5 1동 3층 308호 외 1필지,36.12753253,128.1816803,일반용 전기 조명장치 제조업,LED조명,054-434-3213,054-432-3213,,2025-12-30
371,에스씨티공업(주),1298149230,경상북도 김천시 아포읍 아포공단길 117,36.16561265,128.2508612,일반용 도료 및 관련제품 제조업,도료,054-431-8800,054-431-8801,김천아포농공단지,2025-12-30
476,주식회사 에이치앤피,5108130669,경상북도 김천시 개령면 개령로 244,36.19170322,128.1825634,일반용 도료 및 관련제품 제조업,휴대폰용 특수 도장페인트,054-431-1199,054-431-1193,,2025-12-30
23,(주)대들보,5108130053,경상북도 김천시 봉산면 영남대로 854,36.13597809,128.0308226,일반 제재업 외 1 종,"각재, 한옥목부재, 각재, 한옥목부재",054-432-2934,054-432-2933,,2025-12-30
41,(주)두산전자사업,5108503044,경상북도 김천시 공단1길 83-16 (대광동),36.14507423,128.1399275,인쇄회로기판용 적층판 제조업 외 2 종,"동박적층판(CCL), 동박적층판(CCL), 동박적층판(CCL)",054-433-7971,054-420-8116,,2025-12-30
488,주식회사 웅빈(김천지점),5108509131,경상북도 김천시 지례면 지례공단길 7-20,35.97702429,128.0260895,인쇄잉크 및 회화용 물감 제조업,잉크류,031-948-6600,031-948-6604,김천지례농공단지,2025-12-30
519,주식회사 한국신호,2798600823,경상북도 김천시 평화장미길 94 (평화동),36.12897855,128.1132344,육상 금속 골조 구조재 제조업 외 7 종,"금속골조 구조재, 금속골조 구조재, 금속골조 구조재, 금속골조 구조재, 금속골조 구조재, 금속골조 구조재, 금속골조 구조재, 금속골조 구조재",054-435-5081,054-432-9970,,2025-12-30
480,주식회사 엔케이,1598600359,경상북도 김천시 아포읍 아포공단길 131,36.16557838,128.2500163,육상 금속 골조 구조재 제조업 외 5 종,"수문, 가동보, 수문권양기",054-436-3595,050-2436-3636,김천아포농공단지,2025-12-30
72,(주)세원이엔지,5108128519,경상북도 김천시 봉산면 신암리 680-9번지 외 5필지 외 5필지,36.17074486,128.009672,육상 금속 골조 구조재 제조업 외 3 종,오일팬,,,,2025-12-30
523,주식회사 해전쏠라,6068650544,경상북도 김천시 남면 농남로 587-20,36.09300969,128.2303068,육상 금속 골조 구조재 제조업 외 3 종,"태양광 발전장치, 태양광 발전장치, 태양광 발전장치, 태양광 발전장치",054-437-6588,054-437-5988,,2025-12-30
561,태흥기업,5040424292,경상북도 김천시 아포읍 대신길 525,36.1552135,128.2179311,육상 금속 골조 구조재 제조업 외 3 종,"주물, 상수도자재(이탈방지압륜, 제수밸브보호통)",054-432-3465,054-432-3466,,2025-12-30
592,한진플랜트 건설,5100243403,경상북도 김천시 평화장미길 104 (평화동),36.12913203,128.112968,육상 금속 골조 구조재 제조업 외 3 종,"도로시설물 및 철골구조물, 도로시설물 및 철골구조물, 도로시설물 및 철골구조물, 도로시설물 및 철골구조물",054-437-2200,054-432-9970,,2025-12-30
443,주식회사 대성플랜트산업,5108129838,경상북도 김천시 봉산면 봉산1로 85 외 2필지,36.15189459,128.0322405,육상 금속 골조 구조재 제조업 외 2 종,"철구조재, 철구조재, 철구조재",054-432-0601,054-439-0602,,2025-12-30
15,(주)금성철강,5118119667,경상북도 김천시 어모면 은림로 62-7,36.17973686,128.1247702,육상 금속 골조 구조재 제조업 외 1 종,철근가공,054-437-7573,054-437-6573,,2025-12-30
31,(주)대우건철,5108116968,"경상북도 김천시 매목길 263 (응명동, 대우건철)",36.14245799,128.1342779,육상 금속 골조 구조재 제조업 외 1 종,가공 철근,054-433-6600,,,2025-12-30
139,(주)장우기업,5108122704,경상북도 김천시 남면 농남로 900,36.0775355,128.2562198,육상 금속 골조 구조재 제조업 외 1 종,"구조용철골가공품, 철구조물제작(H-BEAM), 구조용철골가공품, 철구조물제작(H-BEAM)",054-433-4562,054-432-4562,,2025-12-30
154,(주)천호건철,5108122311,경상북도 김천시 봉산면 봉산1로 13,36.15115707,128.0262168,육상 금속 골조 구조재 제조업 외 1 종,"금속 구조재(철근가공품), 금속 구조재(철근가공품)",054-431-9795,054-431-9799,,2025-12-30
256,대도중공업(주),5108126525,경상북도 김천시 농소면 벽봉로 1879-108,36.08721916,128.1682062,육상 금속 골조 구조재 제조업 외 1 종,"철구조물, 금속조립 구조재, 철구조물, 금속조립 구조재",054-437-1976,054-437-1486,,2025-12-30
273,대흥산업개발,6724300646,경상북도 김천시 남면 농남로 1022-16 외 2필지,36.06962673,128.2623554,육상 금속 골조 구조재 제조업 외 1 종,"철, 비철재 구조물",054-439-7935,,,2025-12-30
275,더폴(THE POLE),1892601641,경상북도 김천시 어모면 은림로 62-7,36.17973686,128.1247702,육상 금속 골조 구조재 제조업 외 1 종,가로등주 외,054-435-2524,054-431-2524,,2025-12-30
329,삼흥스틸 주식회사,5108118821,경상북도 김천시 개령면 남전1길 208 (삼흥스틸(주)) 외 4필지,36.1851103,128.196679,육상 금속 골조 구조재 제조업 외 1 종,"금속구조재, 강구조물, 금속구조재, 강구조물",054-434-2930,054-434-2931,,2025-12-30
521,주식회사 한국에어로테크,1308179845,경상북도 김천시 감문면 감문로 1029-9,36.21302713,128.1769522,육상 금속 골조 구조재 제조업 외 1 종,"LINER PLATE, LINER PLATE",054-439-1301,054-439-1302,김천감문농공단지,2025-12-30
62,(주)삼흥플랜트,8158701678,경상북도 김천시 개령면 서부길 270,36.16094889,128.1720327,육상 금속 골조 구조재 제조업,철골(H빔),054-437-8578,054-437-8579,,2025-12-30
160,(주)케이포스틸,3748102247,경상북도 김천시 어모면 산업단지4로 231,36.17647597,128.1314573,육상 금속 골조 구조재 제조업,금속골조 구조재,054-433-6800,054-433-6801,김천제1일반산업단지,2025-12-30
250,다올산업,6027500541,"경상북도 김천시 농소면 벽봉로 1879-108, 3동",36.08721916,128.1682062,육상 금속 골조 구조재 제조업,금속조립 구조재,,054-437-1486,,2025-12-30
400,유원산업,5032123002,경상북도 김천시 남면 영남대로 3245,36.07078777,128.2671553,육상 금속 골조 구조재 제조업,태양광 구조물,,,,2025-12-30
290,롯데웰푸드(주),1868100924,경상북도 김천시 공단3길 94 (응명동),36.15418422,128.1257184,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 4 종,"햄, 소시지, 햄, 소시지, 햄, 소시지, 햄, 소시지, 햄, 소시지",054-420-2506,054-420-2599,,2025-12-30
156,(주)청심,7698701808,경상북도 김천시 어모면 산업단지7로 212,36.16915428,128.1261094,육류 포장육 및 냉동육 가공업 (가금류 제외),육류 포장육,054-431-1516,054-432-7795,김천제1일반산업단지,2025-12-30
56,(주)보담,5108127766,경상북도 김천시 공단1길 26-34 (대광동),36.13803944,128.1438372,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,육가공품,054-434-3333,054-434-2776,,2025-12-30
75,(주)세창푸드,5138172765,경상북도 김천시 아포읍 아포공단길 123-26,36.1646925,128.2512584,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"소고기 양념, 돼지고기 양념",054-435-0356,054-435-0369,,2025-12-30
232,농업회사법인 남산 주식회사,5108127709,경상북도 김천시 어모면 어모로 121,36.16835429,128.1151481,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"축산물 가공, 축산물 가공",054-431-8060,054-431-8063,,2025-12-30
239,농업회사법인 한우리(주),5108116314,경상북도 김천시 공단2길 37 (대광동),36.14206887,128.1356551,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,돼지고기포장육,054-432-8101,054-432-8105,,2025-12-30
260,대미종합식품,5100369642,경상북도 김천시 공단2길 31 (대광동),36.14180688,128.136188,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,돈육(머릿고기),054-433-8283,,,2025-12-30
449,주식회사 려강,1248679277,경상북도 김천시 공단로 152-30 (대광동),36.14769935,128.1379208,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"돼지고기 및 돼지고기 부산물, 순대제품, 돼지고기 및 돼지고기 부산물, 순대제품",054-433-3553,054-433-3551,,2025-12-30
537,진명,5100573081,경상북도 김천시 대광동 676-1 번지 외 1필지 외 1필지,36.14789322,128.1416661,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,포장육류,054-433-8607,,,2025-12-30
90,(주)아크푸드,4238701654,경상북도 김천시 어모면 옥율리 151-10,36.17645733,128.1147043,육류 기타 가공 및 저장처리업 (가금류 제외),육류 가공,054-437-9980,054-437-9981,,2025-12-30
230,농업회사법인 (주)경록,5108132600,경상북도 김천시 공단1길 26-36 (대광동) 외 2필지,36.13849797,128.1447714,육류 기타 가공 및 저장처리업 (가금류 제외),돼지고기 및 돼지고기 부산물,054-434-3333,054-433-2776,,2025-12-30
215,금산테크,4632300291,경상북도 김천시 감문로 220 (대광동),36.15227353,128.1490089,유압기기 제조업,Air Cylinder on/off System 자동연결 장치,054-433-4211,,,2025-12-30
82,(주)씨앤티,5108126845,"경상북도 김천시 농소면 농남로 186, 1층",36.10193615,128.1871518,유선 통신장비 제조업 외 5 종,"유선통신장비, 방송장비, CCTV, 음향장비 등, 유선통신장비, 방송장비, CCTV, 음향장비 등, 유선통신장비, 방송장비, CCTV, 음향장비 등, 유선통신장비, 방송장비, CCTV, 음향장비 등, 유선통신장비, 방송장비, CCTV, 음향장비 등, 유선통신장비, 방송장비, CCTV, 음향장비 등",054-434-3616,054-434-3618,,2025-12-30
89,(주)아진정보기술,6628802333,경상북도 김천시 거문들1길 12(삼락동),36.13647924,128.0774119,유선 통신장비 제조업 외 13 종,"CCTV, 영상감시장치, 소프트웨어, 통합배선반, CCTV, 영상감시장치, 소프트웨어, 통합배선반, CCTV, 영상감시장치, 소프트웨어, 통합배선반, CCTV, 영상감시장치, 소프트웨어, 통합배선반, CCTV, 영상감시장치, 소프트웨어, 통합배선반, CCTV, 영상감시장치, 소프트웨어, 통합배선반, CCTV, 영상감시장치, 소프트웨어, 통합배선반, CCTV, 영상감시장치, 소프트웨어, 통합배선반, CCTV, 영상감시장치, 소프트웨어, 통합배선반, CCT",054-433-2230,054-433-2231,,2025-12-30
510,주식회사 코맥스,1298101726,"경상북도 김천시 혁신로 288-5, 103호 (율곡동) 103호",36.1261074,128.182388,유선 통신장비 제조업 외 11 종,방위산업군 수리 부속 및 제조,031-739-3592,031-745-2100,,2025-12-30
496,주식회사 이지네트워크,5138156348,경상북도 김천시 아포읍 지동길 268-20 외 2필지,36.19108426,128.2415697,유선 통신장비 제조업,통신장비(POE),070-7770-5400,054-462-5482,,2025-12-30
11,(주)그린블루텍,6838800666,경상북도 김천시 아포읍 아포공단길 58,36.16721954,128.2538897,유기질 비료 및 상토 제조업 외 4 종,"수처리제, 액상비료, 사료",054-433-7733,054-433-7734,김천아포농공단지,2025-12-30
