순번,회사명,주소,전화번호,생산품
268,(주)아성알미늄,대구광역시 서구 국채보상로23길 9,053-556-9393,알루미늄 창호+PVC 창호
269,(주)도화공영,대구광역시 서구 국채보상로20길 21,053-524-3007,금속구조물 설치
270,류영,대구광역시 서구 문화로 18,053-356-6462,자동차설비
271,청운기계,대구광역시 서구 문화로 20,053-555-8060,섬유기계부품
272,경동엔지니어링,대구광역시 서구 이현동 문화로 22-4,053-557-1175,기계 부품
273,(주)백송,대구광역시 서구 문화로 22-16,053-555-9312,사료급여기 설치
274,(주)상동,대구광역시 서구 문화로 22-18,053-592-1940,자동원단포장기
275,문화정밀,대구광역시 서구 문화로 22-18,,원단포장기계 부품
276,조은자동화,대구광역시 서구 국채보상로7길 43-12,053-565-3354,자동화기계
277,(주)성광공업,대구광역시 서구 문화로17길 23,053-286-3666,자동차부품 도금
278,한성기업,대구광역시 서구 와룡로100길 32,053-521-8630,철판(절단+절곡)
279,유환상사,"대구광역시 서구 북비산로 120, 208호",053-567-5601,연사기 벨트+ 섬유 기계부품
280,삼정경량,대구광역시 서구 국채보상로7길 42-14,053-716-0016,전산 볼트
281,대한특수고무,대구광역시 서구 국채보상로7길 42-12,053-556-3944,자동차 부품(고무)
282,금성콘베어(주),대구광역시 서구 문화로23길 9,053-294-7234,콘베어로라 외 부품
283,경운엔지니어링,대구광역시 서구 와룡로98길 45-2,053-352-3330,자동화기계(지그 설비)
284,현대상사,대구광역시 서구 국채보상로7길 46,053-556-7707,금속 표면 처리
285,우정테크,대구광역시 서구 국채보상로7길 46,053-352-6442,농기구부품
286,일흥테크,대구광역시 서구 문화로23길 24,053-592-7444,자동차부품(프레스 금형)
287,(주)유창롤 제2공장,대구광역시 서구 문화로23길 25,053-557-2643,철물+ 알루미늄
288,(주)이현테크,대구광역시 서구 와룡로87길 8,053-523-8871,기계제작
289,두산중기정비,대구광역시 서구 와룡로 439-8,053-561-2900,건설기계장비
290,라우정밀,대구광역시 서구 와룡로 439-9,053-551-6476,플라스틱 운반도구
291,현대창호,"대구광역시 서구 문화로21길 22, 1층",,창호
292,화토금속,"대구광역시 서구 문화로21길 22, 지하",,금속가공 (금속 분리하여 재활용)
293,윤희공조,대구광역시 문화로21길 22,,닥트(환풍기)
294,대영에스에프,대구광역시 서구 문화로21길 29,053-523-3558,방사용 필터(FILTER+ GASKE
295,(주)유창롤 제1공장,대구광역시 서구 문화로21길 30,053-557-2643,칸막이+천정자재
296,서울스틸,대구광역시 서구 국채보상로19길 23,,자동문
297,KD테크,대구광역시 서구 와룡로87길 30,053-552-9713,산업장비부품
298,(주)태일테크,대구광역시 서구 와룡로87길 40,053-523-1467,프레스 금형
299,제일식품기계,대구광역시 서구 와룡로84길 13-5,053-572-1254,식품기계
300,형제금속산업(주),대구광역시 서구 문화로14길 6,053-556-8391,금형+ 공작기계 및 철도차량 부품
301,(주)대광기공,대구광역시 서구 문화로14길 22,053-556-2080,펌프+ 수문밸브
302,다운연마,대구광역시 서구 문화로14길 28,053-314-4300,기계부품 연마
303,기공사,대구광역시 서구 문화로 14길 32,053-552-2355~6,철로링 및 교정
304,광덕정밀,대구광역시 서구 장산로 286,053-568-6411,자동차+ 농기계 부품
305,이현정공,대구광역시 서구 문화로4길 11,,기계부품(너트+ 밸브)
306,삼영전착,대구광역시 서구 문화로4길 11,053-551-0030,자동차부품
307,(주)두영파워텍 1공장,대구광역시 서구 와룡로72길 31,053-523-7679,자동차부품(와이어링 하네스)
308,민성산업,대구광역시 서구 와룡로65길 16,053-351-7977,자동차 부품
309,신풍테크,대구광역시 서구 서구 와룡로 447-13,053-586-2151,떡 기계
310,드림하이테크,대구광역시 서구 국채보상로7길 43-5,053-341-5586,금형
311,진테크,대구광역시 서구 와룡로72길 37-1,053-381-7053,금형부품
312,태양정밀산업,대구광역시 서구 와룡로72길 7,053-573-8103,스텐절곡물
313,화성,대구광역시 서구 와룡로 366-1 1층,053-313-4640,기계제작+ 용접+ 제관
314,(주)평화엔지니어링,대구광역시 서구 와룡로99길 36,053-556-6788,자동화 기계(선별기 등)
315,화남공업,대구광역시 서구 와룡로97길 5,053-559-2900,산업기계
316,(주)에이치알,대구광역시 서구 와룡로97길 17,053-523-2003,자동차 부품
317,삼광후레임,대구광역시 서구 평리로35길 84,053-358-2804,섬유기계부품(종광틀)
318,(주)인성이엔지,대구광역시 서구 와룡로97길 18,053-355-4354,자동화기계+ 자동차부품
319,(주)진화,대구광역시 서구 와룡로97길 18,053-552-5678,기계설비(자동화 장치)
320,서원정공,대구광역시 서구 와룡로97길 22-1,053-562-5049,선반 가공
321,화성금속,대구광역시 서구 와룡로99길 21,053-571-1162,도금+ 자동화부품
322,우신일랙코,대구광역시 서구 문화로7길 32,053-553-2650,도금(자동차부품)
323,(주)동방환경플랜트,대구광역시 서구 문화로7길 28-4,053-522-0757,환경방지기계
324,대영기계공업(주),대구광역시 서구 국채보상로 20길 27,053-565-4711,전자부품+ 기계
325,(주)태평양NH,대구광역시 서구 북비산로6길 34,053-561-4433,자동차부품 열처리
326,태평양금속,대구광역시 서구 문화로3길 10,053-561-4433,자동차부품 열처리
327,진성테크,"대구광역시 서구 북비산로 6길 13, 1층",,철+ 기계부품
328,벽천정밀,대구광역시 서구 문화로 7길 28-2,053-352-0369,선반+ 밀링 용접
329,미래기계,대구광역시 서구 문화로7길 28-3,053-525-4904,탈수기 제조
330,한알금형,"대구광역시 서구 와룡로99길 17, 17동",053-593-3470,금형
331,경원정공,"대구광역시 서구 와룡로99길 17, 16동",053-567-4358,금형+ 자동차부품
332,태성엔씨(NC),"대구광역시 서구 와룡로99길 17, 10동",053-354-8170,사출 금형(방전가공)
333,태흥정밀,대구광역시 서구 문화로7길 21-1,053-586-7881,롤러베어링
334,현성산업,대구광역시 서구 문화로7길 23,053-358-7595,자동차부품
335,디엠테크,대구광역시 서구 와룡로99길 27,053-562-8851,자동차부품 임가공(건조)
336,은진환경기계,대구광역시 서구 와룡로90길 7-2,053-383-3033,집진기+여과기
337,대구공돌,대구광역시 서구 장산로322,,오토바이 부품
338,(주)에이튠,대구광역시 서구 장산로322,,브레이크 디스크
339,삼우하이텍,대구광역시 서구 북비산로 12-11,053-565-9196,산업 기계
340,(주)성진기업,대구광역시 서구 와룡로90길 13,053-453-4040,기계설비+ 인테리어
341,한창씨앤티(주),대구광역시 서구 장산로 318,053-257-1551,컨베어+ 컨베어부품
342,유승기계제작소,대구광역시 서구 와룡로90길 18-5,053-556-6245,공업용 탈수기+세탁기
343,엠와이테크,대구광역시 서구 북비산로 12-17,053-573-1279,자동화 장비
344,삼성정밀,대구광역시 서구 와룡로90길 8-8,053-587-1777,자동화기계+공작기계
345,(주)신진엠에스,대구광역시 서구 와룡로99길 30,053-202-1550,금속가공
346,대성정공사,대구광역시 서구 국채보상로23길 4,053-567-2505,기계제작(외주)
347,원캠,대구광역시 서구 와룡로66길 45-1 ,053-593-8025,자동차 램프 지그 금형
348,세진테크(세진공업사),대구광역시 서구 와룡로70길 16-3,053-557-2589,식품기계
349,수성기전,대구광역시 서구 와룡로66길 8-1,053-591-8672,로봇 및 자동화 시스템
350,명신정밀기계,대구광역시 서구 와룡로66길 7-5,053-565-3063,섬유기계부품
351,BME테크,대구광역시 서구 와룡로70길 40-4,,밀링
352,삼진정공,대구광역시 서구 와룡로 391-6,053-573-0418,자동차 부품
353,진원,대구광역시 서구 와룡로 385-8,053-556-0113,바란스 기계
354,명보하이텍,대구광역시 서구 와룡로 385-5,053-584-6120,공작기계부품
355,원대정밀,대구광역시 서구 와룡로 350,053-566-6955,농업용 동력분무기
356,원대이엔지,대구광역시 서구 와룡로 350,053-566-6955,농업용 동력분무기 부품시공
357,원대금속,대구광역시 서구 와룡로 350,053-552-4466,자동차 부품(번호판)
358,(주)두영파워텍 1공장,"대구광역시 서구 와룡로72길 32, 106동",053-523-7679,자동차부품(와이어링 하네스)
359,한일자동기계,대구광역시 서구 국채보상로7길 23,053-522-2955,파츠피다(자동화기계 부품)
360,정우스틸,대구광역시 서구 장산로 206,053-571-4889,스터드 엠바
361,신일종합스텐,대구광역시 서구 장산로 220,053-551-3236,튀김반죽 기계
362,성광공업사,대구광역시 서구 와룡로90길 18,053-567-7075,섬유기계부품
363,(주)익산노즐,대구광역시 서구 와룡로90길 69,053-355-7475,노즐
364,(주)태호기계,대구광역시 서구 평리로33길 29,053-551-0163,양말편직기
365,메카웰,대구광역시 서구 평리로21길 23-4,053-588-2468,자동화 기계
366,(주)신우MNT,대구광역시 서구 평리로21길 27,053-573-5007,금형(자동차 부품)
367,세일정밀,대구광역시 서구 국채보상로 45-11,053-558-2264,자동차부품
368,나성Family,"대구광역시 서구 와룡로65길 7, 2층",053-572-2026,자동차 부품
369,(주)라이스산업,대구광역시 서구 와룡로65길 23,053-568-3800,색채선별기 외
370,(주)명진초경,대구광역시 서구 국채보상로3길 14,053-552-0301,자동차부품 금형
371,엠우이엔지,대구광역시 서구 국채보상로3길 34,053-285-0058,금형
372,신창정밀(2공장),대구광역시 서구 국채보상로3길 30,053-566-5518,자동차부품 도장
373,(주)미래테크,대구광역시 서구 국채보상로3길 34-1,053-527-9045,자동차검사장비+ 검사구
374,삼우도금,대구광역시 서구 와룡로69길 60-7,053-558-1550,자동차금형
375,삼현산업,대구광역시 서구 와룡로83길 5-1,053-556-4986,자동차 부품 도금
376,(주)오성금형,대구광역시 서구 와룡로87길 41,053-525-7074,금형
377,상운도금,대구광역시 서구 와룡로73길 57-22,053-522-8226,자동차부품
378,에덴산업,대구광역시 서구 와룡로73길 57-24,053-564-0125,오토바이부품
379,광영금속,대구광역시 서구 와룡로87길 37,053-555-4944,기계부품
380,광영테크,대구광역시 서구 와룡로87길 37,053-555-4944,목형+ 금형
381,신화성,대구광역시 서구 와룡로87길 31-1,053-526-7420,자동차부품 표면처리
382,대양금속,대구광역시 서구 와룡로87길 31,053-524-0483,자동차부품
383,거산엔지니어링,대구광역시 서구 와룡로87길 29,053-556-2026,기계부품 금속열처리(브레이징)
384,합동줄공업사,대구광역시 서구 와룡로87길 11,053-581-0461,철공용 줄
385,(주)유진가로등,대구광역시 서구 문화로14길 8-3,053-527-9111,가로등 외 부속품
386,동천금속,대구광역시 서구 국채보상로 38-12,053-563-0844,자동차부품 도금
387,(주)일출테크,대구광역시 서구 국채보상로5길 15,053-557-3008,자동차부품+ 쇼바 도금
388,오성이엔씨,대구광역시 서구 국채보상로5길 20,053-719-0685,일반철물
389,보림산업,대구광역시 서구 국채보상로5길 17-1,053-581-7327,식품가공기계
390,보림테크,대구광역시 서구 국채보상로5길 17-1 1층,,기계제작
391,동진분체,대구광역시 서구 국채보상로5길 21-1,053-568-0477,분체 도장
392,성화전설,대구광역시 서구 국채보상로5길 21,053-521-4242,유압 펀칭기
393,(주)경민기공,대구광역시 서구 국채보상로5길 24,053-561-6940,산업기계
394,경북기계,대구광역시 서구 국채보상로5길 27,053-557-1759,산업기계
395,유한메디칼,대구광역시 서구 국채보상로 38-10,053-553-2100,자동약포장기계 외
396,엠지메디텍,대구광역시 서구 국채보상로 38-10,053-584-8621,자동 약포장기계
397,(주)성광도금,대구광역시 서구 국채보상로10길 8,053-564-4461,자동차부품도금
398,동천금속,대구광역시 서구 국채보상로 38-12,053-563-0844,자동차부품 도금
399,구곡정밀,대구광역시 서구 국채보상로10길 12,053-572-5471,기계 부품
400,보경테크,대구광역시 서구 국채보상로10길 12,053-263-9486,기계 부품
401,(주)두원아이텍코리아,대구광역시 서구 국채보상로 38-18,053-604-1629,모터
402,신창이엔지,대구광역시 서구 와룡로 66길23,,기계조립
403,태창정밀,대구광역시 서구 국채보상로14길 29-11,053-526-5811,금형 가공
404,유일텍(주),대구광역시 서구 국채보상로20길 10,053-555-5685,금형
405,대륜ENG,대구광역시 서구 국채보상로20길 20-5,053-551-9906,철판실린더 밀링가공
406,TK금속,대구광역시 서구 국채보상로20길 20-5,053-561-6651,컨베이어 부품
407,화성정밀기계,대구광역시 서구 국채보상로 90,053-553-0657,햇다기
408,삼호전기판금,대구광역시 서구 국채보상로14길 17,053-551-1519,전기 판넬
409,삼흥전기,대구광역시 서구 국채보상로14길 17,053-565-1269,전기스위치박스
410,선아정밀,대구광역시 서구 국채보상로14길 17,053-526-1271,기계부품+ CNC가공
411,삼성테크,대구광역시 서구 국채보상로14길 17,053-381-4745,유공압 기계부품
412,성재정공,대구광역시 서구 국채보상로14길 17,053-567-4582,자동차부품 가공
413,화성정공,대구광역시 서구 국채보상로14길 17,053-567-4585,자동차 부품
414,광신종합기계,대구광역시 서구 국채보상로14길 17,053-266-6971,콤프레샤
415,(주)한국소방기구제작소,대구광역시 서구 평리로29길 33,053-564-2201,소방관련제품
416,우영모티브,대구광역시 서구 평리로35길 13-14,053-586-0335,자동화기계
417,보운상패산업,"대구광역시 서구 와룡로 307, 디센터 420호",053-424-2230,광고물 제조업
418,대구캐노픽스,"대구광역시 서구 와룡로 307, 디센터 515, 516호",053-566-1200,캐노픽스+ 캐노피
419,진영토르크,"대구광역시 서구 와룡로 307, 디센터 702호",053-592-7773,전동기+ 인버터
420,(주)건강나눔,"대구광역시 서구 와룡로 307, 디센터 723호",053-277-9599,사무용 기계 및 장비 제조업
421,(주)씨엔알,"대구광역시 서구 와룡로 307, 디센터 802호",070-4290-3088,기타 건축 마무리 공사업
422,메텔,"대구광역시 서구 와룡로 307, 디센터 825호",,자동화 기계 제조업
423,(주)성진스틸,"대구광역시 서구 와룡로 307, 디센터 917호",053-585-1219,철강
424,에이지에이텍스(주),"대구광역시 서구 국채보상로 136, 연구동 1002호",053-354-5841,금속구조재 제조
425,동양정밀(주),대구광역시 서구 와룡로66길29,053-566-3180,자동차 부품
426,대우산업사,대구광역시 서구 국채보상로21길 11,053-556-7042,자동차 악세사리
427,창대샷다,대구광역시 서구 평리로35길 65,053-263-4504,샷다
428,대성정밀,대구광역시 서구 평리로29길 24,053-591-0875,호닝파이프 가공
429,(주)형제알루미늄,대구광역시 서구 와룡로72길 14,053-572-0131,알루미늄 샷시
430,일샷다,대구광역시 서구 와룡로 395,053-565-1100,스텐+ 금속셔터
431,대구캐노픽스 제2공장,대구광역시 서구 평리로21길 40,053-566-1200,캐노픽스+ 캐노피+ 데코픽스
432,대구신소재,대구광역시 서구 와룡로83길 15,053-556-1365,초경합금소재
433,태경도금,대구광역시 서구 국채보상로14길 29-8,053-555-5105,플라스틱 도금(도어록)
434,태성광고자재,대구광역시 서구 국채보상로14길 20-4,053-567-9143,간판광고자재
435,엔에스텍,"대구광역시 서구 와룡로90길 61, 701호",053-555-8220,프로그래밍
436,(주)문창산업,"대구광역시 서구 와룡로90길 41, 508호",054-541-7899,금속구조물 창호 공사
437,주식회사 기린,"대구광역시 서구 와룡로90길 61, 507호",054-556-1600,사무기기 지원서비스업
438,남양스프링,대구광역시 서구 와룡로100길 30,053-554-7567,금속스프링 가공
439,명차,대구광역시 서구 문화로17길 39,053-558-1115,자동차 정비
440,청우케미칼,대구광역시 서구 국채보상로7길 42,053-526-6206,화공 약품
441,미래건업,대구광역시 서구 문화로19길 30,053-525-6545,방화셔터+ 스크린셔터
442,(주)유진가로등,대구광역시 서구 와룡로98길 45-1,053-527-9111,가로등외 부속품
443,대웅정공,대구광역시 서구 문화로23길 16-1,053-353-3008,흑연+ 전극
444,제이씨에스,대구광역시 서구 문화로23길 16-1,,흑연+ 전극
445,광고공사명가,대구광역시 서구 문화로23길 18,053-627-5124,간판+LED조명
446,(주)동아프라스틱,대구광역시 서구 문화로13길 39,053-562-3644,PVC자재+ 합성수지제품
447,(주)삼원기업,대구광역시 서구 와룡로100길 15,053-526-5555,구조용 금속가공(자동문+후레임)
448,세움사인테크,대구광역시 서구 와룡로83길 18 2층,053-354-0622,간판
449,오대산업(주),대구광역시 서구 국채보상로19길 20,053-555-4072,자동차부품-피니온샤프트
450,(주)태일정밀,대구광역시 서구 문화로4길 19,053-573-1468,프레스 금형
451,아름산업,대구광역시 서구 문화로14길 20,053-523-2258,미용기구 제작(철공)
452,서한씨엠에이(주),대구광역시 서구 와룡로87길 50,053-526-6790,전자부품+ 자동차부품
453,우진가방,대구광역시 서구 당산로77길 17,,가방 제조
454,원화정밀,대구광역시 서구 당산로77길17,,자동차부품
455,드림아이,대구광역시 서구 장산로 298,053-325-6334,인형 및 장난감
456,에코윈,대구광역시 서구 문화로 28,053-522-2868,블라인드
457,BM테크(비엠테크),"대구광역시 서구 문화로 38-7, 105동",053-523-6957,LCD부품+ 세라믹 부품
458,성진테크,대구광역시 서구 와룡로66길 45,053-351-6301,스텐후렘
459,경인에프에스티,대구광역시 서구 평리로35길 13-19,053-357-2196,셔터
460,대진산업,대구광역시 서구 와룡로 72길 37-9 2층 안쪽,,자동차 부품
461,경원인더스트리(주),대구광역시 서구 와룡로66길 7-8,053-562-8111,종광(섬유기계부품)
462,(주)팬플러스,대구광역시 서구 와룡로439,053-526-0100,합성수지+ 식품포장지 제조판매
463,(주)부국,대구광역시 서구 와룡로72길 6,053-526-5500,주류
464,효성가방,대구광역시 서구 와룡로66길 46,053-526-7876,가방
465,금성테크,"대구광역시 서구 와룡로72길 35, 2층",053-557-9799,보일러 부대품+전기판넬
466,채울실사출력소,"대구광역시 서구 국채보상로14길 20-2, 2층",053-521-7476,현수막 인쇄
467,한진영상정보(주),"대구광역시 서구 와룡로 366-1, 3층",053-761-3801,통신장비공사 및 조립
468,(주)모아콘,대구광역시 서구 와룡로72길 27-1,053-567-5858,콘택트렌즈
469,(주)한솔아이엠비(IMB),대구광역시 서구 국채보상로 100,053-522-2033,블라인드+ 버티칼
470,나인ENC,대구광역시 서구 문화로7길 28,053-311-0129,방화셔터+ 특수도어
471,바텍(주),"대구광역시 서구 와룡로 307, 디센터 926, 927호",053-523-0821,산업자동제어장비+소프트웨어자문+개발 
472,(주)경신,"대구광역시 서구 와룡로99길 17, 11동",053-583-8399,샷시
473,백경산업,대구광역시 서구 와룡로90길 39,053-551-8362,자동차 부품
474,동진도금,대구광역시 서구 와룡로99길 27,053-562-8851,자동차부품 도금
475,스마일 코리아,대구광역시 서구 장산로322,053-954-3662,간판 제조
476,다일,"대구광역시 서구 와룡로99길 17, 18동 3층",070-7503-6007,칼라 코팅
477,MD광고,대구광역시 서구 와룡로90길 8-13,,간판
478,애드인,"대구광역시 서구 장산로 328, 1층",053-525-7482,광고물인쇄 및 제작
479,성화금형,대구광역시 서구 와룡로90길 8-14,,금형
480,욱일공업사,대구광역시 서구 와룡로90길 8-14,053-525-5535,자동차부품
481,아성유리,대구광역시 서구 와룡로90길 8-14,053-561-9018,자동차부품(라이트)
482,예원애드,대구광역시 서구 북비산로 40,053-357-1068,간판+ 현수막
483,예원체널,대국광역시 서구 북비산로 36-1,053-573-3797,간판+ 조명장치
484,아세아비앤에이치씨(B&HC),대구광역시 서구 북비산로 12-18,053-564-1211,화장품+ 쿨샴푸+ 밀크로션+ 스포츠로
485,대동산업공사,대구광역시 서구 국채보상로23길 13,053-567-7748,정부양곡 가공보관+부동산 임대
486,(주)경신 창고,"대구광역시 서구 와룡로99길 17, 15동",053-583-8399,샷시
487,단지LED,"대구광역시 서구 북비산로 30, 1층",053-562-2580,간판+  LED
488,단지애드,"대구광역시 서구 북비산로 30, 2층",053-562-2580,LED 간판
489,에스앤에프산업,대구광역시 서구 와룡로66안길 6,053-555-8785,광고물
490,마디펌프,대구광역시 서구 문화로 95,053-551-6300,자전거 펌프+ 공기주입기+ 기체 펌프
491,클린홈,"대구광역시 서구 문화로 17길 20, 101호",,커튼 블라인드 설치+ 세탁기+ 에어컨
492,태영정밀,대구광역시 서구 문화로19길 3,,기계 부품
493,삼덕세라믹,대구광역시 서구 문화로19길 31,053-554-3043,세라믹 부품(섬유 부품)
494,이안교역&마레캠프,대구광역시 서구 와룡로66안길 19,053-624-6663,천막제조
495,태광강화도어,대구광역시 서구 평리로29길 28-1,053-559-4085,강화유리문
496,두드림사업단,대구광역시 서구 와룡로62길 24-5,053-555-4848,절연선 사상 가공+ 하우스핀
497,나래디자인,대구광역시 서구 와룡로62길 26,053-657-6600,간판+ 광고물
498,태성공업사,대구광역시 서구 와룡로 62길 28,053-553-6029,나사못
499,광호정밀,대구광역시 서구 와룡로62길 28-1,053-553-4868,금속 연마
500,진영세라믹,대구광역시 서구 와룡로66길 22,053-572-5800,세라믹
501,(주)모아콘,대구광역시 서구 와룡로72길 27-1,053-567-5858,콘택츠렌즈
502,동양공구,대구광역시 서구 와룡로 66길 7-8,053-355-0989,산업용 공구 제조
503,영재유리,대구광역시 서구 와룡로72길 32,0503-562-0396,건축자재 창호 제작
504,미래제판,대구광역시 서구 와룡로70길 43,053-553-1701,금속열처리
505,제일후렉스센터,대구광역시 서구 와룡로70길 18,053-558-0900,수지제판
506,대원고무,대구광역시 서구 와룡로 391-10,053-561-3735,고무 패킹
507,석림세라믹스,대구광역시 서구 와룡로 391-7,053-554-8668,세라믹 가이드(섬유.기계.전자.반도체
508,중앙유리제경사,대구광역시 서구 와룡로 385-10,053-625-7500,유리 가공품
509,대구캐노픽스,대구광역시 서구 와룡로 383,053-566-1200,캐노픽스+ 캐노피
510,신진가스텍(주) 대구영업소,대구광역시 서구 와룡로 430,053-557-0034,산소.질소.알곤 (고압가스)
511,(주)성창에너지,대구광역시 서구 장산로 216,053-355-2457,고형 연료
512,영원,대구광역시 서구 와룡로84길 13,053-247-8709,콘택트렌즈+몰드 제조
513,우진표면테크,대구광역시 서구 와룡로90길 8-6,053-552-9801,THROTTLE SHAFT
514,신원정밀공업사,대구광역시 서구 평리로33길 30,053-557-2966,바늘
515,일산정공,대구광역시 서구 평리로33길 28,053-526-0960,선박용 엔진부품
516,(주)에스엠전국라이트,대구광역시 서구 평리로17길 66,053-721-6811,간판
517,켐테크미드,대구광역시 서구 와룡로73길 26,053-566-5533,피막제+ 탈지제
518,(주)에스케이엠,대구광역시 서구 와룡로73길 28,053-353-7095,주물+ 금형
519,도검산업,"대구광역시 서구 와룡로73길 28, 2층",,주물 금형
520,대화,대구광역시 서구 평리로33길 20,053-551-2922,비닐제조
521,하이셀콘택트,대구광역시 서구 평리로33길 18,053-522-8709,콘택트렌즈
522,천우기업,대구광역시 서구 평리로35길 13-3,053-568-3935,스텐 절단+ 절곡
523,세원가방유통,대구광역시 서구 평리로35길 33,053-553-7025,가방
524,한성강건 2공장,대구광역시 서구 평리로21길 25,053-557-0757,금속문+ 방화문
525,고운정보기술 주식회사,대구광역시 서구 평리로21길 44-1,053-243-7600,통신설비
526,디앤에이모터스,대구광역시 서구 와룡로 340,053-593-9768,이륜자동차 부품
527,삼성종합기계,대구광역시 서구 평리로17길 30,053-563-8962,농기계
528,일등광고,"대구광역시 서구 와룡로69길 21, 1층",,간판
529,(주)대성나사산업,대구광역시 서구 국채보상로 39,053-565-0832~5,볼트+너트
530,코리덴트(CORIDENT),대구광역시 서구 와룡로83길 9,053-351-1772,치과교합기+ 치과다웰핀
531,한라테크,대구광역시 서구 와룡로65길 14,053-567-7271,자동차부품 도금
532,주현에너지,"대구광역시 서구 와룡로65길 6, A동",053-555-5630,도시가스 부품
533,제일산업,대구광역시 서구 와룡로65길 12,053-554-0207,철 건재+ 건축 자재
534,(주)엔시에스텍스켐,대구광역시 서구 와룡로65길 9,053-555-4102,알긴산소다+ 방수제+ 효료
535,서부자원,대구광역시 서구 와룡로65길 25,053-567-1606,플라스틱
536,선우그래픽,대구광역시 서구 국채보상로3길 17,053-761-6844,간판
537,세음사인테크,대구광역시 서구 와룡로83길 10,053-354-0622,간판
538,윤성공업,"대구광역시 서구 와룡로65길 22, 태백A동 106호",053-566-5773,의료기(휠체어) 부품
539,거대산업,대구광역시 서구 와룡로100길 16,053-358-0121,농기구 부속+ 공구
540,송도산업,대구광역시 서구 와룡로 428-4,053-559-8700,섬유집기 바늘
541,(주)가베,대구광역시 서구 와룡로75길 30,070-4640-8925,교구 제조
542,(주)에이치티인테크,대구광역시 서구 와룡로 391-5,053-256-0806,블라인드+커튼+부자재
543,동서우레탄,대구광역시 서구 와룡로 377-5,,우레탄 판넬
544,태성금속,대구광역시 서구 와룡로 377-8,053-563-2544,금속도금(나사못+ 자동차부품)
545,금동CRD,대구광역시 서구 국채보상로6길 21,053-421-5837,냉동+ 냉장도어 핸들
546,부광공업,대구광역시 서구 국채보상로6길 12-3,053-382-7575,자동차부품 도금
547,부경산업,대구광역시 서구 국채보상로20길 29,053-567-7801,자동차 부품
548,(주)명성실버케어,"대구광역시 서구 와룡로 307, 디센터 308호",02-501-4629,복지용구 제조업
549,(주)명성비에스,"대구광역시 서구 와룡로 307, 디센터 309호",02-501-4629,복지용구 제조업
550,코너버리,"대구광역시 서구 와룡로 307, 디센터 321호",070-8801-1917,스테이플러
551,와이비피,"대구광역시 서구 와룡로 307, 디센터 413, 414호",070-8095-1990,기타 운동 및 경기용구 제조업
552,비클린홈케어,"대구광역시 서구 와룡로 307, 디센터 422호",1800-8097,금속 가구 제조업
553,석투기업,"대구광역시 서구 국채보상로 136, TBC동 301호",,PET 대전방지사 개발
554,큐짱빌리어드,"대구광역시 서구 와룡로 307, 디센터 617호",,기타 오락용품 제조업
555,세명스포츠,"대구광역시 서구 와룡로 307, 디센터 620호",053-655-0113,기타 운동 및 경기용구 제조업
556,(주)신일덴텍,"대구광역시 서구 와룡로 307, 디센터 622호",1577-6819,치과용 기기 제조업
557,(주)와이에스피(YSP),"대구광역시 서구 와룡로 307, 디센터 801호",054-471-1420,현미경+ 렌즈 제조업
558,유진환경,"대구광역시 서구 국채보상로 136, TRC동 301호",,필터 제조
559,정경자창의키즈스쿨,"대구광역시 서구 와룡로 307, 디센터 810호",053-521-3427,전시용 모형 제조+ 보드게임 교육
560,(주)이삭애드,"대구광역시 서구 와룡로 307, 디센터 819호",053-957-7731,간판 및 광고물 제조업
561,(주)네이처포,"대구광역시 서구 와룡로90길 41, B204호",053-857-4088,화장품
562,폰케어,"대구광역시 서구 와룡로 307, 디센터 603호",053-231-1900,기타 인쇄업
563,한일산업,대구광역시 서구 국채보상로 38-19,053-766-6130,가구(씽크대+ 붙박이장)
564,에스티밴드(ST BAND),"대구광역시 서구 와룡로 307, 디센터 619호",053-585-0201,스크린 인쇄업
565,(주)스위스로잔,대구광역시 서구 와룡로73길 34,053-527-7477,침대 프레임
566,(주)대성도어몰딩 2공장,대구광역시 서구 문화로23길 30,053-557-8750,문틀+ 몰딩
567,대영목형,대구광역시 서구 국채보상로7길 42-6,053-355-6789,목형
568,미광비니루,대구광역시 서구 문화로23길 8,053-252-8693,샘플+ 카달로그
569,대성도어,대구광역시 서구 국채보상로7길 58,053-521-5760, 창호 제조
570,(주)대성도어몰딩 1공장,대구광역시 서구 문화로23길 29,053-557-8750,목재문+문틀제조+ 몰딩
571,부국디앤피,대구광역시 서구 와룡로100길 46,053-556-0331,디자인+인쇄+사인광고
572,참한 포장,대구광역시 서구 국채보상로 113,053-581-6620,p.p 마대
573,명인코팅,대구광역시 서구 와룡로87길 18,053-561-7216,종이코팅
574,경북포장,대구광역시 서구 와룡로87길 12-5,053-564-5977,상자
575,계성문화사,대구광역시 서구 국채보상로19길 23,053-581-1291,스크린 인쇄
576,(주)신창조산업,대구광역시 서구 문화로4길 20,053-527-7002,폐목재 파쇄
577,경북목형,대구광역시 서구 와룡로84길 13-1,053-557-8464,목형
578,부성제본사,대구광역시 서구 와룡로84길 13-2,053-357-8986,출판물 인쇄
579,상일산업,대구광역시 서구 평리로35길 63-1,053-359-1300,싱크대 문짝
580,(주)휴코스제2공장,대구광역시 서구 평리로35길 63-1,053-592-0135,목재가구 외
581,다모아코다,"대구광역시 서구 와룡로 453, 204호",053-581-6036,가구
582,삼영사,대구광역시 서구 평리로35길 67,053-654-4780,편지봉투+ 원고지
