연번,회사명,업종명,생산품,공장대표주소(도로명),사업유형,전화번호,데이터 기준일
104,동영목재,기타 건축용 나무제품 제조업 외 2 종,"건축용목제품,목제 깔판류,포장박스제작",경상남도 의령군 칠곡면 진의로8길 45 (동영목재),제조업,055-572-3111,2026-03-06
126,서영테크,기타 가공 공작기계 제조업 외 1 종,"공작기계, 공작기계부품","경상남도 의령군 용덕면 소상로 475, 서영테크",제조업,055-586-2810,2026-03-06
79,경남제약(주) 의령공장,기초 의약 물질 제조업 외 2 종,의약품,경상남도 의령군 의령읍 구룡로4남길 79,제조업,055-572-8700,2026-03-06
198,지앤비솔루션(주),기체 여과기 제조업 외 1 종,"환경기계장치(탈취기, 여과기 등)",경상남도 의령군 의령읍 구룡로1길 14-16,제조업,070-5099-6839,2026-03-06
155,원진정공,기어 및 동력전달장치 제조업,감속기,경상남도 의령군 의령읍 구룡로4남길 3,제조업,055-817-7011,2026-03-06
169,이스턴알앤이(주),기관차 및 기타 철도차량 제조업 외 1 종,철도화차 및 철도차량 부문품,경상남도 의령군 부림면 한지20길 39-8,제조업,070-7733-7360,2026-03-06
28,(주)성일에스아이엠,금속탱크 및 저장용기 제조업 외 1 종,"철판,파이프배관",경상남도 의령군 의령읍 구룡로 13,제조업,051-831-8800,2026-03-06
54,(주)우정테크,금속탱크 및 저장용기 제조업,배관 및 압력용기 등,경상남도 의령군 의령읍 구룡로 242,제조업,,2026-03-06
80,경남휀스철망공업사,금속선 가공제품 제조업 외 1 종,"능형망,메쉬판,휀스, 와이어매쉬, 콩베어망, 능형망,메쉬판,휀스, 와이어매쉬, 콩베어망",경상남도 의령군 지정면 강변로6길 23 (경남휀스철망공업(주)),제조업,055-572-5330,2026-03-06
191,주식회사 하이스틸,금속선 가공제품 제조업,"철선, 철망, 와이어메쉬",경상남도 의령군 봉수면 한지18길 31 ((주)하이스틸),제조업,055-574-0173,2026-03-06
25,(주)부전산업,금속 표시판 제조업,교통표지판,경상남도 의령군 부림면 의합대로 2002-24 외 1필지,제조업,055-572-6788,2026-03-06
105,동일정공,금속 절삭기계 제조업 외 2 종,철도차량 부품,경상남도 의령군 의령읍 벽화로 338,제조업,055-572-0233,2026-03-06
222,호암정밀,금속 절삭기계 제조업,차단기 및 부속품,경상남도 의령군 지정면 함의로7길 8,제조업,,2026-03-06
15,(주)대성종합열처리,금속 열처리업 외 1 종,"ball stud,shaft,rocker arm shaft 등",경상남도 의령군 의령읍 구룡로1길 14-16,제조업,055-573-1032,2026-03-06
31,(주)세림테크,금속 열처리업,중장비및유압펌프부품,경상남도 의령군 봉수면 한지18길 60 (동아유리창호),제조업,055-0572-5968,2026-03-06
171,인성열처리(주),금속 열처리업,자동차부품열처리,경상남도 의령군 의령읍 구룡로4남길 14-3,제조업,055-572-0962,2026-03-06
137,수영금속(주),금속 단조제품 제조업,열간단조품,경상남도 의령군 화정면 화정로 219,제조업,055-573-8411,2026-03-06
42,(주)신영플라텍,그 외 자동차용 신품 부품 제조업 외 7 종,자동차 부품,경상남도 의령군 의령읍 남강로 561 외 3필지,제조업,,2026-03-06
73,(주)한화미의령공장,그 외 자동차용 신품 부품 제조업 외 6 종,자동차계기판,경상남도 의령군 의령읍 구룡로4남길 15 ((주)한화미),제조업,055-573-9991,2026-03-06
30,(주)성진에스엔티,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품(EGR COOL TUBE),경상남도 의령군 의령읍 구룡로1길 1,제조업,055-573-7006,2026-03-06
67,(주)케피,그 외 자동차용 신품 부품 제조업 외 3 종,"감속기, 변속기",경상남도 의령군 부림면 한지20길 39-42 ((주)케피),제조업,055-573-0930,2026-03-06
75,(주)현대공조,그 외 자동차용 신품 부품 제조업 외 3 종,"히타코아, 콘덴샤",경상남도 의령군 봉수면 한지18길 16 ((주)광일산업),제조업,,2026-03-06
78,GYM,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경상남도 의령군 의령읍 구룡로4남길 14-3,제조업,055-573-0274,2026-03-06
123,삼부산업 의령공장,그 외 자동차용 신품 부품 제조업 외 3 종,"TORQUE MEMBER, BREAK MASTER CYLINDER",경상남도 의령군 봉수면 한지18길 60,제조업,055-329-6114,2026-03-06
180,제일테크,그 외 자동차용 신품 부품 제조업 외 3 종,감속기부품,경상남도 의령군 부림면 한지20길 39-42 ((주)케피),제조업,055-574-9971,2026-03-06
96,대성테크,그 외 자동차용 신품 부품 제조업,자동차부품(베어링),경상남도 의령군 칠곡면 진의로 2192-28,제조업,,2026-03-06
5,(주)경남바이오,그 외 기타 플라스틱 제품 제조업 외 9 종,"FRP오수처리시설/정화조,이동식화장실,플라스틱저장용기, 여과장치, 조립식구조물, 약품탱크, 슬러지수집기",경상남도 의령군 정곡면 의합대로 984-5 (공장),제조업,,2026-03-06
57,(주)유엔씨,그 외 기타 플라스틱 제품 제조업,텐트폴,경상남도 의령군 의령읍 구룡로1길 14-12 ((주)유엔씨),제조업,055-572-5663,2026-03-06
64,(주)청강,그 외 기타 플라스틱 제품 제조업,양식용 부자 및 부표,경상남도 의령군 의령읍 남강로 561,제조업,055-574-1235,2026-03-06
37,(주)숨터솔루션,그 외 기타 콘크리트 제품 및 유사제품 제조업,층간소음차단제,경상남도 의령군 봉수면 한지18길 46 (봉수면),제조업,055-572-2244,2026-03-06
63,(주)창일테크,그 외 기타 일반목적용 기계 제조업 외 1 종,"일반목적용 기계제조업(크레인 수리 재생), 열교환기 부품 제조업",경상남도 의령군 용덕면 용덕1길 21 외 4필지,제조업,055-261-9927,2026-03-06
125,새진산업주식회사,그 외 기타 일반목적용 기계 제조업 외 1 종,음식물쓰레기발효기,경상남도 의령군 봉수면 한지18길 67 (경비실),제조업,,2026-03-06
200,진산물산,그 외 기타 식료품 제조업,"단무지, 통조림",경상남도 의령군 화정면 화정로5길 73 (식당) (총 2 필지) 외 3필지,제조업,055-573-7733,2026-03-06
223,화정부직포산업,그 외 기타 분류 안된 섬유제품 제조업,보온덮개(부직포),경상남도 의령군 화정면 화정로5길 63,제조업,055-572-9591,2026-03-06
109,명지산업개발(주),그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,건축용황토블럭,경상남도 의령군 정곡면 법정로4길 1-9 외 1필지,제조업,,2026-03-06
124,삼영탄소산업제2공장,그 외 기타 분류 안된 비금속 광물제품 제조업,"전극봉,전극설",경상남도 의령군 화정면 진의로 1673-7,제조업,055-574-8833,2026-03-06
74,(주)할메이드,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,빨래건조대,경상남도 의령군 의령읍 구룡로 7,제조업,070-7788-1492,2026-03-06
218,한아기공,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,말재갈,경상남도 의령군 의령읍 구룡로4남길 3,제조업,055-573-7136,2026-03-06
209,콩코드인터내셔날(주),그 외 기타 달리 분류되지 않은 운송장비 제조업 외 4 종,콘크리트펌프,경상남도 의령군 봉수면 한지18길 59 (CONCORD) (총 2 필지) 외 1필지,제조업,055-532-5481,2026-03-06
167,의령톱밥,그 외 기타 나무제품 제조업,톱밥,경상남도 의령군 대의면 의령대로 223-4 (C.T(창고)),제조업,,2026-03-06
9,(주)금문,그 외 기타 금속가공업 외 2 종,"조선기자재, 선박장비, 조선기자재, 선박장비, 조선기자재, 선박장비",경상남도 의령군 정곡면 의합대로 1008,제조업,055-572-0998,2026-03-06
14,(주)대덕,그 외 기타 금속가공업,기타 금속 가공품,경상남도 의령군 정곡면 의합대로 1008,제조업,,2026-03-06
34,(주)세종,그 외 기타 금속가공업,선박용 BRAKE BAND Ass`y 제작,경상남도 의령군 봉수면 한지18길 19,제조업,,2026-03-06
199,진명산업(주),그 외 기타 금속가공업,발전기부품,경상남도 의령군 정곡면 강변로 221 외 1필지,제조업,,2026-03-06
203,창성산업,그 외 기타 금속가공업,통행용 작업발판,경상남도 의령군 지정면 고루로6길 21 외 1필지,제조업,055-574-5036,2026-03-06
7,(주)경호,그 외 기타 가구 제조업,"씽크대, 기타가구",경상남도 의령군 부림면 의합대로 2012-6,제조업,055-572-9345,2026-03-06
32,(주)세우씨엔티,그 외 기타 1차 철강 제조업 외 1 종,"자동차 머플러용튜브, 철강가공제품, 일반강관",경상남도 의령군 칠곡면 진의로 2194,제조업,055-817-7550,2026-03-06
106,동창원산업(주),구조용 금속 판제품 및 공작물 제조업 외 29 종,자동차부품 및 선박구조물,경상남도 의령군 용덕면 의합대로 123-7,제조업,,2026-03-06
12,(주)나우,구조용 금속 판제품 및 공작물 제조업,열판,경상남도 의령군 봉수면 직금로 302,제조업,070-4741-0407,2026-03-06
3,(주)갑을포장,골판지 제조업 외 1 종,"골판지, 골판지상자",경상남도 의령군 의령읍 구룡로 184,제조업,055-572-0271,2026-03-06
51,(주)오·의령미래식품,곡물 혼합분말 및 반죽 제조업,"햇찰쌀보리,분전",경상남도 의령군 의령읍 남강로 752-26,제조업,,2026-03-06
161,의령메밀영농조합,곡물 제분업 외 3 종,"메밀전분,메밀호두과자",경상남도 의령군 가례면 홍의로 200 (곡류 메밀공장),제조업,055-574-0885,2026-03-06
90,농업회사법인 해밀주식회사,곡물 도정업 외 2 종,"쌀,포장마늘, 탁주 및 약주",경상남도 의령군 봉수면 한지18길 73,제조업,070-4610-4710,2026-03-06
135,송림라이스센터 영농조합법인,곡물 도정업,"쌀,잡곡",경상남도 의령군 지정면 마산리 926번지 외 3필지,제조업,055-574-2000,2026-03-06
159,의령농업협동조합,곡물 도정업,쌀,경상남도 의령군 의령읍 의령대로 1497 외 1필지,제조업,055-573-1160,2026-03-06
163,의령정미소,곡물 도정업,"백미,현미",경상남도 의령군 의령읍 의병로 109,제조업,055-572-3356,2026-03-06
93,다남테크(주),고무패킹류 제조업 외 1 종,방진고무,경상남도 의령군 의령읍 구룡로 17 ((주)신강),제조업,055-574-0145,2026-03-06
153,우성하이테크주식회사,건설 및 채광용 기계장비 제조업,중장비 트랙 링크,경상남도 의령군 의령읍 구룡로1길 28 (우성하이텍),제조업,055-573-6914,2026-03-06
220,한진정밀,건설 및 채광용 기계장비 제조업,트랙링크,경상남도 의령군 의령읍 구룡로1길 28 (우성하이텍),제조업,055-573-6914,2026-03-06
17,(주)더오감,건강보조용 액화식품 제조업,액상차,경상남도 의령군 화정면 화정로6길 14,제조업,070-4226-6700,2026-03-06
66,(주)케이와이엠텍,강주물 주조업,펌프케이싱,경상남도 의령군 의령읍 구룡로1길 11,제조업,055-573-1534,2026-03-06
172,일산도예원,가정용 및 장식용 도자기 제조업,가정용 및 장식용 도자기,경상남도 의령군 의령읍 무전로 131-5 (일산도예) 외 1필지,제조업,,2026-03-06
86,농업회사법인 은성주식회사,가금류 가공 및 저장 처리업 외 1 종,"계육, 소스",경상남도 의령군 부림면 익구로 16,제조업,,2026-03-06
