일련번호,시군구명,회사명,업종명,도로명주소,주요생산품명,대표자명,전화번호,팩스번호,직원수,데이터기준일자
4346,김해시,대송전기,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 외동 488-1번지,,백태진,055-336-0623,,13,2024-06-10
4347,김해시,대송팩,"목재 포장용 상자, 드럼 및 유사용기 제조업","경상남도 김해시 진례면 고모로216번길 98, 대송팩",수출용 목재박스 파레트,남선우,055-346-1730,055-346-1731,5,2024-06-10
4348,김해시,대승기계(주),자동차 엔진용 신품 부품 제조업 외 1 종,경상남도 김해시 안동 0번지,피스톤.샤프트.피스톤너트,최원용,055-322-9290,,17,2024-06-10
4349,김해시,대승기계(주),그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 진영읍 하계로 175-9,자동차부품(피스톤외),최원용,055-346-1940,055-346-1939,40,2024-06-10
4350,김해시,대승기계공업사,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 삼문동 11-6번지,"죠인트, 볼트, 피스톤낫트",최원용,055-331-2861,,30,2024-06-10
4351,김해시,대승정공,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 한림면 명동로4번길 36-26,자동차부품,최원하,055-345-8906,,20,2024-06-10
4352,김해시,대승크로젠(주),액체 여과기 제조업 외 2 종,경상남도 김해시 진영읍 서부로179번길 39-110,하수처리장비제작,최영,055-346-6677,,2,2024-06-10
4353,김해시,대신TECH,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 진영읍 본산로269번길 15-31,자동차부품,공정용,055-342-2683,,6,2024-06-10
4354,김해시,대신금속,"탭, 밸브 및 유사장치 제조업 외 2 종",경상남도 김해시 대동면 월촌리 888-1번지 A25 Block 3 Lot,탭 밸브 및 유사장치,홍혜표,051-973-0115,051-973-0177,8,2024-06-10
4355,김해시,대신기계상사,그 외 기타 전자부품 제조업 외 1 종,경상남도 김해시 생림면 생림대로 405,전자부품,이정화,055-334-6582,,3,2024-06-10
4356,김해시,대신기계상사,산업용 냉장 및 냉동 장비 제조업,경상남도 김해시 생림면 상동로 70,에어컨부품,이정화,055-334-6582,,2,2024-06-10
4357,김해시,대신목재,일반 제재업,경상남도 김해시 상동면 상동로 285,각재,박동근,,,17,2024-06-10
4358,김해시,대신산기,선박 구성 부분품 제조업,경상남도 김해시 진례면 고모로 615,선박부분품,엄경자,055-342-8670,055-342-8618,2,2024-06-10
4359,김해시,대신산업,골판지 제조업 외 1 종,경상남도 김해시 상동면 매리 128-38외번지,종이상자,정태근,,,10,2024-06-10
4360,김해시,대신산업사,기타 목재가구 제조업,"경상남도 김해시 한림면 용덕로23번길 48-13, 외3",목재가구,우경옥,,,10,2024-06-10
4361,김해시,대신선재공업사,금속선 가공제품 제조업,경상남도 김해시 진례면 진례로83번길 1,철강선,정욱동,055-345-4490,055-345-4491,6,2024-06-10
4362,김해시,대신섬유,기타 방적업,경상남도 김해시 상동면 동북로473번길 250-29,방적,박배윤,055-331-8197,,6,2024-06-10
4363,김해시,대신섬유,화학섬유직물 직조업,경상남도 김해시 주촌면 서부로1638번길 65-27,"전기온풍기,보일러",김근숙,,,5,2024-06-10
4364,김해시,대신수지,혼성 및 재생 플라스틱 소재 물질 제조업,경상남도 김해시 한림면 명동로 29,재생합성수지칩,안기수,055-343-0341,,3,2024-06-10
4365,김해시,대신열연,기타 전기 변환장치 제조업 외 1 종,경상남도 김해시 주촌면 망덕리 872-6번지 D-6,고주파 유도 가열 장치,황갑우,055-338-6835,055-338-6837,9,2024-06-10
4366,김해시,대신열연산업,금속 주조 및 기타 야금용 기계 제조업,경상남도 김해시 유하로 179-21 (유하동),산업기계,왕한기,055-337-6115,055-337-6116,14,2024-06-10
4367,김해시,대신웰테크,피복 및 충전 용접봉 제조업,경상남도 김해시 대동면 월촌리 888-1번지 A21 Block 7 Lot,"용접소모품, 절단소모품 ",전석환,055-552-0908,055-552-0907,5,2024-06-10
4368,김해시,대신정기,배전반 및 전기 자동제어반 제조업,경상남도 김해시 안곡로 88-4 (삼계동),전기자동제어반,양금숙,,,10,2024-06-10
4369,김해시,대신태양광발전소,태양력 발전업,경상남도 김해시 진례면 테크노밸리로 186,태양광발전업,김민표,055-346-0787,,1,2024-06-10
4370,김해시,대신테크(주),그 외 기타 전자부품 제조업 외 1 종,경상남도 김해시 장유로89번길 30 (부곡동),계측설비.자동화설비,김명일,055-331-2085,,6,2024-06-10
4371,김해시,대신화학,기타 신발 제조업,경상남도 김해시 관동로27번길 93,안전장화,문소수,055-323-4441,055-323-4480,24,2024-06-10
4372,김해시,대아산업사,비금속류 해체 및 선별업 외 1 종,경상남도 김해시 진례면 청천리 972번지,스폰지,차지도,051-646-2141,051-631-9090,4,2024-06-10
4373,김해시,대아테크,금속 성형기계 제조업,경상남도 김해시 주촌면 골든루트로130번길 12-1,절곡기,석수연,055-329-7346,,0,2024-06-10
4374,김해시,대암정밀,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 한림면 명동로 54,자동차부품배관부품,장병창,055-338-7838,055-326-7886,2,2024-06-10
4375,김해시,대양FS,육류 기타 가공 및 저장처리업 (가금류 제외),경상남도 김해시 분성로627번길 53 (삼방동),양념육류,손병두,055-335-5970,055-335-5972,3,2024-06-10
4376,김해시,대양공업,자동차용 금속 압형제품 제조업,경상남도 김해시 대동면 월촌리 888-1번지 A22 Block 7 Lot,건설/차량/전자 금속부품 압형 가공,조형용,051-971-2620,051-971-2621,8,2024-06-10
4377,김해시,대양공업사,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,경상남도 김해시 진영읍 본산로 153-23,금속가공,박소진,055-346-2080,055-346-2083,35,2024-06-10
4378,김해시,대양기계,그 외 기타 일반목적용 기계 제조업 외 1 종,경상남도 김해시 상동면 묵방로 185-30,산업기계,정상근,055-328-2792,,5,2024-06-10
4379,김해시,대양디에스엠,자동차 엔진용 신품 부품 제조업 외 1 종,경상남도 김해시 김해대로2553번길 48 (어방동),엔진외,천덕수,055-338-3722,,10,2024-06-10
4380,김해시,대양메카텍(주),기타 가공 공작기계 제조업,경상남도 김해시 한림면 장방로 227,공작기계,윤여진,055-346-2890,055-346-2893,14,2024-06-10
4381,김해시,대양엔베텍(주),기타 목재가구 제조업,경상남도 김해시 한림면 김해대로1434번길 34,교구,이장우,051-325-5151,,5,2024-06-10
4382,김해시,대양정공,기타 가공 공작기계 제조업,경상남도 김해시 주촌면 서부로1499번길 49-41,가공기계,김윤규,055-337-2366,,2,2024-06-10
4383,김해시,대양정밀,절삭가공 및 유사처리업,경상남도 김해시 분성로727번길 8-43 (지내동),기계부품,강해영,055-322-9931,055-322-9939,7,2024-06-10
4384,김해시,대양정비공업사,건설 및 채광용 기계장비 제조업,경상남도 김해시 김해대로2596번길 85 (안동),건설기계정비,오강영,055-322-3077,,7,2024-06-10
4385,김해시,대양특수승강기,그 외 기타 1차 철강 제조업,경상남도 김해시 칠산로197번길 9 (이동),산업기계,"김현남,유순연",055-323-7416,055-326-7417,3,2024-06-10
4386,김해시,대양화학공업사,혼성 및 재생 플라스틱 소재 물질 제조업,경상남도 김해시 한림면 명동로123번길 16-74,재생수지칩,윤태환,055-343-0758,,7,2024-06-10
4387,김해시,대영가구,기타 목재가구 제조업,경상남도 김해시 상동면 매리 산 152-7번지,목재가구,한성우,,,5,2024-06-10
4388,김해시,대영공업사,그 외 기타 금속가공업,경상남도 김해시 상동면 상동로685번길 108-53,실린더.폴리,송영근,,,14,2024-06-10
4389,김해시,대영기업사,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 상동면 우계리 855-1외7번지,자동차부품,김승연,,,15,2024-06-10
4390,김해시,대영기화산업,기타 건축용 플라스틱 조립제품 제조업,경상남도 김해시 한림면 장방로335번길 26-118,합성수지`,윤구현,,,15,2024-06-10
4391,김해시,대영분체,일반용 전기 조명장치 제조업,경상남도 김해시 주촌면 양동리 224-2번지,조명장치,안종업,,,10,2024-06-10
4392,김해시,대영블럭,"콘크리트 타일, 기와, 벽돌 및 블록 제조업","경상남도 김해시 상동면 여차리 416-4,6번지","시멘트벽돌,블록",권혁기,055-337-9012,,5,2024-06-10
4393,김해시,대영산업,육상 금속 골조 구조재 제조업 외 1 종,경상남도 김해시 상동면 동북로473번길 59,건축자재,박영걸,055-331-8081,055-331-8547,2,2024-06-10
4394,김해시,대영산업,"플라스틱 선, 봉, 관 및 호스 제조업",경상남도 김해시 진례면 산본리 68번지 외1,법면보호대,이양우,,,5,2024-06-10
4395,김해시,대영산업,일반 제재업,경상남도 김해시 진례면 담안리 1121번지 외 1필지,목재품,주영순,,,10,2024-06-10
4396,김해시,대영산업,화학섬유직물 직조업 외 8 종,경상남도 김해시 한림면 한림로343번길 62,가스켓,한상윤,055-346-0361,055-346-0364,7,2024-06-10
4397,김해시,대영섬유,모 방적업,"경상남도 김해시 진례면 고모로327번안길 1-18, 외4",방적,손경호,,,5,2024-06-10
4398,김해시,대영엔프라,혼성 및 재생 플라스틱 소재 물질 제조업 외 4 종,경상남도 김해시 상동면 상동로375번길 64-7,사출품,정인순,055-329-3096,055-329-3097,5,2024-06-10
4399,김해시,대영엔프라,합성수지 및 기타 플라스틱 물질 제조업,경상남도 김해시 대동면 월촌리 888-1번지 A3 Block 1 Lot,폐플라스틱분쇄품,정인순,055-329-3096,055-329-3097,6,2024-06-10
4400,김해시,대영유지(주),동물성 유지 제조업,경상남도 김해시 주촌면 서부로1499번길 113-103,동물유지,"김대철,김표준",055-337-0021,,20,2024-06-10
4401,김해시,대영정공,선박 구성 부분품 제조업,경상남도 김해시 상동면 상동로 224-35,선박부품,김규환,055-322-6773,055-322-6770,10,2024-06-10
4402,김해시,대영정공,일반철물 제조업,경상남도 김해시 진례면 고모로 5,철물,이양우,,,5,2024-06-10
4403,김해시,대영정공,절삭가공 및 유사처리업,경상남도 김해시 진례면 고모로582번길 30-2,조선기자재외,김내영,055-338-4312,055-338-4313,1,2024-06-10
4404,김해시,대영철강(주),그 외 기타 1차 철강 제조업 외 2 종,경상남도 김해시 진영읍 서부로 30,철판가공,신영태,055-345-2707,,6,2024-06-10
4405,김해시,대영테크,"금속 문, 창, 셔터 및 관련제품 제조업 외 4 종","경상남도 김해시 주촌면 서부로1293번길 59-13, 양동리",창호 하부틀,우영순,055-337-7087,055-326-7089,1,2024-06-10
4406,김해시,대영테크,포장용 플라스틱 성형용기 제조업,경상남도 김해시 주촌면 내삼리 1178번지 외3,식품용기,손정남,,,10,2024-06-10
4407,김해시,대영테크,식품 위생용 종이 상자 및 용기 제조업,경상남도 김해시 김해대로2662번길 36 (안동),식품포장용기,임태영,,,1,2024-06-10
4408,김해시,대영테크,절삭가공 및 유사처리업,경상남도 김해시 김해대로2635번길 53-2 (안동),각종금형제춤,김대영,,,3,2024-06-10
4409,김해시,대영텍,혼성 및 재생 플라스틱 소재 물질 제조업,경상남도 김해시 한림면 김해대로916번길 54-4 (총 3 필지) 외 2필지,재생플라스틱,김진구,,,5,2024-06-10
4410,김해시,대영텍,혼성 및 재생 플라스틱 소재 물질 제조업 외 1 종,경상남도 김해시 생림면 인제로 667 외 1필지,플라스틱제품,김진구,055-345-1556,055-345-1537,2,2024-06-10
4411,김해시,대영하이테크,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 김해대로2662번길 5 (지내동),자동차부품외,이호진,055-338-5074,,9,2024-06-10
4412,김해시,대용기계,육상 금속 골조 구조재 제조업 외 1 종,경상남도 김해시 진영읍 하계로 191-2,티타늄가공품,어홍필,,,5,2024-06-10
4413,김해시,대용산기,전자 응용 절삭기계 제조업 외 1 종,경상남도 김해시 주촌면 원지리 1197번지,"케이블콘베어, 에어벤드",구근호,055-338-7354,,10,2024-06-10
4414,김해시,대용산업기계,기타 가공 공작기계 제조업,경상남도 김해시 한림면 한림로 119-9,산업기계,조용판,055-342-7856,,28,2024-06-10
4415,김해시,대용정밀,"탭, 밸브 및 유사장치 제조업",경상남도 김해시 대동면 월촌리 888-1번지 A33 Block 8 Lot,"공기압 밸브, 가스밸브",배성혁,055-329-0983,055-329-0981,3,2024-06-10
4416,김해시,대용정밀,선박 구성 부분품 제조업,경상남도 김해시 상동면 상동로 894-24,조선기자재(배관자재),배용실,055-329-0982,055-329-0981,14,2024-06-10
4417,김해시,대용코크스보일러(주),그 외 기타 일반목적용 기계 제조업 외 1 종,경상남도 김해시 김해대로 2687 (지내동),보일러,구지훈,055-324-0100,055-324-0233,5,2024-06-10
4418,김해시,대용하이테크(주),선박 구성 부분품 제조업,경상남도 김해시 삼안로 37 (안동),선박의장품,배용실,051-329-0982,055-329-0981,21,2024-06-10
4419,김해시,대용하이테크(주),"탭, 밸브 및 유사장치 제조업",경상남도 김해시 대동면 월촌리 888-1번지 A26 Block 3 Lot,"조선기자재, 선박의장품, 특수밸브",배용실,055-329-0982,055-329-0981,24,2024-06-10
4420,김해시,대우R.T,건설 및 채광용 기계장비 제조업,경상남도 김해시 생림면 인제로 673,기계장비,김미현,,,3,2024-06-10
4421,김해시,대우골판지,골판지 제조업 외 1 종,경상남도 김해시 한림면 김해대로 1082,골판지박스,신순철,,,15,2024-06-10
4422,김해시,대우금속,그 외 기타 특수목적용 기계 제조업,경상남도 김해시 진례면 테크노밸리로 225,자동차부품,정대교,055-386-3744,,2,2024-06-10
4423,김해시,대우볼트,볼트 및 너트류 제조업 외 2 종,경상남도 김해시 상동면 동북로473번길 425,볼트,김대기,,,5,2024-06-10
4424,김해시,대우산업,그 외 기타 일반목적용 기계 제조업 외 3 종,경상남도 김해시 진례면 송현로177번길 20,산업기계,정순한,055-334-5860,055-345-5861,4,2024-06-10
4425,김해시,대우산업기계,선박 구성 부분품 제조업 외 1 종,경상남도 김해시 상동면 상동로375번길 14,선박부부품,신기택,055-329-0978,055-329-0979,7,2024-06-10
4426,김해시,대우선재,그 외 기타 금속가공업,경상남도 김해시 진례면 고모로364번길 112,철사제품,김상훈,055-345-5657,,9,2024-06-10
4427,김해시,대우지게차써비스,건설 및 채광용 기계장비 제조업,경상남도 김해시 진영읍 본산리 0번지 10블록7노트,토목기계부품,손만정,,,5,2024-06-10
4428,김해시,대우지관,기타 종이 상자 및 용기 제조업,경상남도 김해시 진영읍 하계로229번길 11-1,종이켄,김상호,055-345-7911,055-345-7912,1,2024-06-10
4429,김해시,대우패키지(주),포장용 플라스틱 성형용기 제조업,경상남도 김해시 진영읍 서부로179번길 39-124,PET병,이동준,055-343-4000,,32,2024-06-10
4430,김해시,대우화학,포장용 플라스틱 성형용기 제조업,경상남도 김해시 한림면 김해대로 1083 외 2필지,플라스틱 성형용기,이동준,055-342-4000,,7,2024-06-10
4431,김해시,대우화학(주),운송장비 조립용 플라스틱제품 제조업 외 1 종,경상남도 김해시 진영읍 서부로179번길 39-124,가정용플라스틱,이동준,055-342-4000,,40,2024-06-10
4432,김해시,대운,컴퓨터 모니터 제조업,경상남도 김해시 주촌면 천곡리 1053-1번지,컴퓨터모니터,조필기,,,5,2024-06-10
4433,김해시,대운기계,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 한림면 장방로 232-21,금속절삭가공,박영자,055-346-1410,,1,2024-06-10
4434,김해시,대운메카텍(주),기타 가공 공작기계 제조업,경상남도 김해시 주촌면 골든루트로 186-24,공작기계부품 및 자동화부품,최태현,055-322-3625,055-322-3626,13,2024-06-10
4435,김해시,대운산기,선박 구성 부분품 제조업,경상남도 김해시 진례면 테크노밸리길 170-9,"RAIL UNIT BOX, GEAR BOX",박성호 외1,055-346-1917,,7,2024-06-10
4436,김해시,대웅알티(주),고무패킹류 제조업 외 2 종,경상남도 김해시 삼안로 31 (안동),오링외,안대수,055-323-8221,,40,2024-06-10
4437,김해시,대원공업,그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 주촌면 서부로1637번길 237,자동차부품,한상찬,,,20,2024-06-10
4438,김해시,대원공업(주),그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 진례면 서부로 406 (총 3 필지) 외 2필지,브레이크,정준오,055-313-0716,,30,2024-06-10
4439,김해시,대원공조,산업용 송풍기 및 배기장치 제조업,경상남도 김해시 주촌면 서부로1638번길 116,송풍기,오의용,055-337-2915,,3,2024-06-10
4440,김해시,대원금속,구조용 금속 판제품 및 공작물 제조업,경상남도 김해시 주촌면 소망길 24,"스프레이건, 타이어게이지",손종헌,055-338-0073,055-338-1075,19,2024-06-10
4441,김해시,대원기계(주),선박 구성 부분품 제조업 외 1 종,경상남도 김해시 생림면 나전로161번길 80,유체기계,박태종,055-323-1080,055-323-1985,4,2024-06-10
4442,김해시,대원산기,자동차용 금속 압형제품 제조업 외 1 종,경상남도 김해시 한림면 김해대로 1306,금속제품,김점남,055-346-4024,055-346-4023,1,2024-06-10
4443,김해시,대원산업,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",경상남도 김해시 한림면 안곡로 556,PE 이중벽관 하수관,김상탁,055-338-8586,055-338-8587,10,2024-06-10
4444,김해시,대원산업,선박 구성 부분품 제조업,고모로 408,선박부품,김진수,055-346-7782,,10,2024-06-10
4445,김해시,대원산업,기타 곡물 가공품 제조업,경상남도 김해시 한림면 병동리 902-4번지 외 3필지,곡물가공품,박길호,,,5,2024-06-10
4446,김해시,대원산업,"플라스틱 선, 봉, 관 및 호스 제조업",경상남도 김해시 한림면 안곡로 556,배수관연결구,김상탁,055-338-8586,055-338-8587,2,2024-06-10
4447,김해시,대원산업,선박 구성 부분품 제조업,경상남도 김해시 한림면 안곡로 546,선박구성품(철의장품),김상탁,055-338-8586,055-338-8587,5,2024-06-10
4448,김해시,대원산업,기타 건축용 플라스틱 조립제품 제조업,경상남도 김해시 상동면 동북로437번길 135-26,FRP,김수원,055-322-2186,055-322-2187,8,2024-06-10
4449,김해시,대원산업,그 외 기타 의료용 기기 제조업,경상남도 김해시 김해대로2715번길 23 (총 2 필지) 외 1필지,환자운반기(침상),오근제,055-322-7406,055-322-7409,3,2024-06-10
4450,김해시,대원산업,"알루미늄 제련, 정련 및 합금 제조업",경상남도 김해시 진영읍 김해대로 118-80,알루미늄모합금가공,공종해,055-342-2641,,2,2024-06-10
4451,김해시,대원산업사,기타 목재가구 제조업,경상남도 김해시 한림면 용덕로 75,목재가구,이형준,055-334-7987,,10,2024-06-10
4452,김해시,대원산업사,"금속 문, 창, 셔터 및 관련제품 제조업",경상남도 김해시 금관대로804번길 135 (명법동),"쇼트볼,금속구조물",장영호,055-323-2059,,12,2024-06-10
4453,김해시,대원석공사,기타 석제품 제조업,경상남도 김해시 한림면 한림로 183,석재,우영계,,,11,2024-06-10
4454,김해시,대원섬유,편조원단 제조업,경상남도 김해시 상동면 매리 산 131-25번지,원단편조,배춘자,,,9,2024-06-10
4455,김해시,대원수지공업사,혼성 및 재생 플라스틱 소재 물질 제조업,경상남도 김해시 진영읍 본산리 10B-17L번지,플라스틱원료,이진호,055-343-4904,055-343-4905,1,2024-06-10
4456,김해시,대원아이디(주),간판 및 광고물 제조업,경상남도 김해시 분성로541번길 58 (어방동),간판외,김규덕,051-853-1027,,4,2024-06-10
4457,김해시,대원정공,절삭가공 및 유사처리업,경상남도 김해시 한림면 김해대로 1102-17,기계부품,김원태,,,5,2024-06-10
4458,김해시,대원정공(주),선박 구성 부분품 제조업,경상남도 김해시 한림면 가동로 62-13,선박부품,손영복,055-343-6380,055-343-6384,15,2024-06-10
4459,김해시,대원정밀,기타 전기 변환장치 제조업 외 1 종,경상남도 김해시 주촌면 이지산단로 41,"슬라이드, 밧데리 지그",이한우,055-326-0902,055-326-0903,5,2024-06-10
4460,김해시,대원켐텍(주),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,경상남도 김해시 진례면 테크노밸리1로 5,방진프레임 외,백선일,055-343-6151,055-343-6150,15,2024-06-10
4461,김해시,대원테크,기타 구조용 금속제품 제조업,경상남도 김해시 주촌면 서부로1499번길 22-96,열교환기.철구조물,김대원,055-338-9159,,2,2024-06-10
4462,김해시,대원테크,전투용 차량 제조업 외 28 종,경상남도 김해시 한림면 가동로 62-42,자동화부품외,김경훈,055-343-4652,,13,2024-06-10
4463,김해시,대원테크,그 외 자동차용 신품 부품 제조업,경상남도 김해시 진례면 송현리 1045-7번지,자동차부품,조희준,,,5,2024-06-10
4464,김해시,대원툴,비동력식 수공구 제조업,경상남도 김해시 주촌면 서부로1403번길 40 (총 3 필지) 외 2필지,수공구,손지호,055-338-0073,055-338-1075,6,2024-06-10
4465,김해시,대원특수강(주),그 외 기타 분류 안된 금속 가공 제품 제조업,"경상남도 김해시 진례면 테크노밸리1로 196-34, 대원특수강(주)",탄소합금강 및 절단,이영우,055-342-7020,,6,2024-06-10
4466,김해시,대은,선박 구성 부분품 제조업 외 1 종,경상남도 김해시 한림면 안하로 204-4 외 1필지,선박구성품,김혜정,055-332-9056,,12,2024-06-10
4467,김해시,대은포장기계,"용기 세척, 포장 및 충전기 제조업",경상남도 김해시 대동면 월촌리 888-1번지 A46 Block 6 Lot,"콘베어, 제함기, 랩핑기, 태핑기",배백수,051-973-2157,051-973-2158,7,2024-06-10
4468,김해시,대인산업사,플라스틱 필름 제조업 외 3 종,경상남도 김해시 생림면 인제로694번길 19-41 (총 2 필지) 외 1필지,플라스틱필름시트,길정숙,055-323-8945,,17,2024-06-10
4469,김해시,대일기계,항공기용 부품 제조업,경상남도 김해시 김해대로2662번길 13-7 (지내동),항공기부품,"김정인,김학도",055-337-4171,055-337-4174,3,2024-06-10
4470,김해시,대일미장합판,폴리스티렌 발포 성형제품 제조업 외 1 종,경상남도 김해시 생림면 나전리 710-7번지 외 3필지 외 3필지,아이스박스,서종화,055-336-3590,,30,2024-06-10
4471,김해시,대일산업,핵반응기 및 증기보일러 제조업,경상남도 김해시 김해대로2635번길 60 (안동),발전기자재,박희진,055-3269-0900,,12,2024-06-10
4472,김해시,대일열처리공업사,금속 열처리업,경상남도 김해시 한림면 김해대로1031번길 106-52,알루미늄열처리,김종대,055-338-9931,,8,2024-06-10
4473,김해시,대일코팅산업,그 외 기타 금속가공업,경상남도 김해시 상동면 동북로473번길 382-19,과자케이스,김규상,,,3,2024-06-10
4474,김해시,대일특수강(주),절삭가공 및 유사처리업,경상남도 김해시 진례면 테크노밸리길 170-80,금형,김영구,055-277-8800,,6,2024-06-10
4475,김해시,대일포리캠,고무패킹류 제조업 외 1 종,경상남도 김해시 주촌면 선지리 642번지,고무판,예재경,,,15,2024-06-10
4476,김해시,대일화학,그 외 기타 전자부품 제조업 외 1 종,"경상남도 김해시 진례면 테크노밸리로 36, 대일화학","냉장고, 에어컨 부품",강정훈,055-312-8105,055-312-8108,120,2024-06-10
4477,김해시,대일화학제1공장,운송장비 조립용 플라스틱제품 제조업 외 1 종,경상남도 김해시 장유면 유하로133번길 31-23 (유하동),플라스틱사출품,강정훈,055-312-8105,055-312-8108,5,2024-06-10
4478,김해시,대일화학제2공장,운송장비 조립용 플라스틱제품 제조업 외 1 종,경상남도 김해시 유하로133번길 31-23 (유하동),플라스틱사출품,강정훈,055-312-8105,055-312-8108,5,2024-06-10
4479,김해시,대일화학제3공장,운송장비 조립용 플라스틱제품 제조업 외 1 종,경상남도 김해시 장유면 유하로133번길 31-23 (유하동),플라스틱사출품,강정훈,055-312-8105,055-312-8108,5,2024-06-10
4480,김해시,대정기업(주),기타 물품 취급장비 제조업,경상남도 김해시 상동면 소락로 194,건설용리프트,박현철,055-322-0084,,9,2024-06-10
4481,김해시,대정산업,그 외 기타 플라스틱 제품 제조업,경상남도 김해시 주촌면 천곡리 173-12번지 12,건축자재용 몰딩품,정이태,055-338-7647,055-338-7648,5,2024-06-10
4482,김해시,대정정밀,"치약, 비누 및 기타 세제 제조업",경상남도 김해시 한림면 명동로 144,비누칩,김진국,055-343-0384,,9,2024-06-10
4483,김해시,대조화학(주),"플라스틱 선, 봉, 관 및 호스 제조업",경상남도 김해시 생림면 생철리 산 128-10번지,플라스틱,이대희,,,25,2024-06-10
4484,김해시,대종산업기계,그 외 기타 분류 안된 금속 가공 제품 제조업 외 6 종,경상남도 김해시 김해대로2662번길 22 (안동),SHAFT 기계부품,정종식,055-327-7104,055-327-7107,3,2024-06-10
4485,김해시,대종코팅산업,"플라스틱 선, 봉, 관 및 호스 제조업",경상남도 김해시 주촌면 서부로1637번길 151-12 (대중코팅산업),농자재,김종철,055-337-3668,055-329-3667,4,2024-06-10
4486,김해시,대주정공(주),절삭가공 및 유사처리업 외 21 종,경상남도 김해시 주촌면 서부로1499번길 49-50,절삭가공품외,백이용,055-339-8005,055-339-8006,19,2024-06-10
4487,김해시,대중기계,기타 가공 공작기계 제조업,경상남도 김해시 한림면 김해대로1273번길 24-17,산어기계,김근섭,055-345-8858,055-345-9094,11,2024-06-10
4488,김해시,대중기계,기타 가공 공작기계 제조업,경상남도 김해시 대동면 월촌리 888-1번지 A33 Block 4 Lot,기계부품 가공,김근섭,055-345-8858,055-342-9094,9,2024-06-10
4489,김해시,대지산업,플라스틱 접착처리 제품 제조업 외 5 종,경상남도 김해시 상동면 동북로437번길 153-11,"강화플라스틱,선박,해상부유구조물",김문규,055-325-5852,055-326-5851,16,2024-06-10
4490,김해시,대지오토모티브(주),그 외 자동차용 신품 부품 제조업 외 3 종,경상남도 김해시 주촌면 서부로1637번길 380,자동차부품,김혜삼,055-338-8401,,50,2024-06-10
4491,김해시,대진LASER,농업 및 임업용 기계 제조업 외 1 종,경상남도 김해시 진영읍 서부로38번길 5-69,농기계부품외,김쌍이,055-345-2533,,6,2024-06-10
4492,김해시,대진LASER,절삭가공 및 유사처리업,경상남도 김해시 진영읍 서부로38번길 5-71,철판레이저절단,김쌍이,055-345-2533,,6,2024-06-10
4493,김해시,대진금형공업사,주형 및 금형 제조업,경상남도 김해시 대동면 월촌리 888-1번지 A46 Block 9 Lot,플라스틱사출금형,손영민,051-941-9875,051-972-9879,14,2024-06-10
4494,김해시,대진기계,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,경상남도 김해시 진례면 고모로 472,"박스,봉함기",김환영,,,7,2024-06-10
4495,김해시,대진기계,그 외 기타 일반목적용 기계 제조업 외 1 종,경상남도 김해시 주촌면 서부로 1496,강주물,김윤숙,055-329-4743,055-329-5333,18,2024-06-10
4496,김해시,대진농산,복합비료 및 기타 화학비료 제조업 외 1 종,경상남도 김해시 한림면 김해대로835번길 145,비료,송상훈,055-345-9121,,5,2024-06-10
4497,김해시,대진레이저,그 외 기타 분류 안된 금속 가공 제품 제조업,경상남도 김해시 대동면 월촌리 888-1번지 A22 Block 10 Lot,레이저 임가공품,조명환,051-301-0806,051-301-0809,4,2024-06-10
4498,김해시,대진산업,그 외 자동차용 신품 부품 제조업 외 3 종,"경상남도 김해시 진례면 고모로327번안길 48, 외2","기어, 샤프트",류명,,,20,2024-06-10
4499,김해시,대진산업,선박 구성 부분품 제조업,경상남도 김해시 진례면 고모로526번길 26-10 외 3필지,선박구성품,윤은희,,,5,2024-06-10
4500,김해시,대진산업,플라스틱 필름 제조업 외 1 종,경상남도 김해시 주촌면 서부로1701번안길 140-83,합성수지제조,양오영,055-337-0166,055-337-0169,8,2024-06-10
4501,김해시,대진산업,목재 깔판류 및 기타 적재판 제조업,경상남도 김해시 진례면 진례로311번길 12,알루미늄창호,이용식,,,11,2024-06-10
4502,김해시,대진산업,비금속류 해체 및 선별업 외 1 종,경상남도 김해시 상동면 상동로 148-10,폐고무제품,이상현,,,0,2024-06-10
4503,김해시,대진산업,육상 금속 골조 구조재 제조업 외 1 종,경상남도 김해시 한림면 장방로 109,철구조물,박대식,,,5,2024-06-10
4504,김해시,대진산업,선박 구성 부분품 제조업,경상남도 김해시 한림면 김해대로1031번길 121-6,선박부품,김진호,055-342-1602,,10,2024-06-10
