순번,단지명,회사명,공장대표주소,업종명,전화번호,팩스번호,생산품
169,개별공장,(주)제이우드,경상남도 창녕군 부곡면 온정청암로 151,일반 제재업,055-536-0601,055-536-0602,각재+목재(히노끼)
170,창녕서리농공단지,(주)젬텍창녕공장,경상남도 창녕군 영산면 서리상촌길 307-50,그 외 자동차용 신품 부품 제조업,055-587-1641,055-587-1646,냉간단조품
171,창녕서리농공단지,(주)조현,경상남도 창녕군 영산면 서리상촌길 307-73,승강기 제조업,055-521-0721,,자동차부품
172,개별공장,(주)주영,경상남도 창녕군 대합면 둔지길 29-13,부직포 및 펠트 제조업,055-532-5551,055-532-4967,부직포
173,개별공장,(주)지승팜푸드,경상남도 창녕군 대지면 경남대로 4897-35,육류 포장육 및 냉동육 가공업 (가금류 제외),055-533-8080,055-533-8088,돈육 냉장+냉동 제품
174,창녕서리농공단지,(주)지앤,경상남도 창녕군 영산면 서리상촌길 307-21,그 외 자동차용 신품 부품 제조업 외 4 종,055-536-9050,055-536-9050,연료필터 히터 및 센서
175,개별공장,(주)지앤아이바이오,경상남도 창녕군 대합면 도개길 49-20,금속 문·창·셔터 및 관련제품 제조업,055-532-7774,055-532-7776,농업용 수문/권양기
176,창녕대합일반산업단지,(주)지엔아이앤디,경상남도 창녕군 대합면 대합산업단지로 22-21,금속 문·창·셔터 및 관련제품 제조업 외 3 종,053-616-6088,053-616-6087,금속재패널+금속조립식구조물+버스승강장+기타이동식부스
177,개별공장,(주)지엔지,경상남도 창녕군 대합면 평지퇴산로 118-68,표면 가공 목재 및 특정 목적용 제재목 제조업,,055-532-4111,톱밥 제조
178,개별공장,(주)지지엠창녕공장,경상남도 창녕군 영산면 월령공장길 89,그 외 기타 1차 철강 제조업,055-521-5201,055-521-4690,철근가공품
179,개별공장,(주)지피아이,경상남도 창녕군 계성면 준공업단지길 32-2,동물용 의약품 제조업 외 2 종,055-521-9991,055-521-9994,소독제+보조사료
180,창녕대합일반산업단지,(주)진명금속자원,경상남도 창녕군 대합면 합리 1421,육상 금속 골조 구조재 제조업 외 1 종,,055-530-1622,철구조물
181,창녕서리농공단지,(주)진성이엔지,경상남도 창녕군 영산면 서리상촌길 307-76,그 외 자동차용 신품 부품 제조업 외 3 종,055-536-2825,,조향장치
182,개별공장,(주)진응,경상남도 창녕군 고암면 원촌어은길 154,기타 목재가구 제조업 외 2 종,,055-585-8867,이동식한옥목조주택+데크제작및설치+수중(하천)보
183,개별공장,(주)참그로농업회사법인,경상남도 창녕군 도천면 바깥어만길 84-3,유기질 비료 및 상토 제조업 외 1 종,041-642-0878,041-642-0879,유기질 비료 및 상토(고체성)
184,창녕대합일반산업단지,(주)창녕,경상남도 창녕군 대합면 합리 1396,차체 및 특장차 제조업 외 1 종,053-586-9777,053-586-8596,콘크리트 펌프카 실린더
185,개별공장,(주)창진유기,경상남도 창녕군 성산면 정녕리 409,복합비료 및 기타 화학비료 제조업 외 1 종,055-532-1556,055-532-4656,비료
186,개별공장,(주)천마석재산업,경상남도 창녕군 창녕읍 비들재길 25-42,기타 석제품 제조업,055-533-0347,055-533-0348,석재가공품
187,창녕대지농공단지,(주)청명시스텍,경상남도 창녕군 대지면 대지농공단지길 24-32,배전반 및 전기 자동제어반 제조업,055-586-1346,,철도차량 케이블하네스+배전반
188,창녕대합농공단지,(주)청아,경상남도 창녕군 대합면 대합공단길 35-7,단미 사료 및 기타 사료 제조업 외 2 종,055-532-7043,055-533-7048,탈취제+사료첨가제+토양개량제
189,개별공장,(주)케이씨이피이,경상남도 창녕군 영산면 월령공장길 89,액체 펌프 제조업,055-526-1733,055-526-1745,펌프카차량제조
190,창녕대지농공단지,(주)케이에스지,경상남도 창녕군 대지면 대지농공단지길 24-17,기타 섬유·의복 및 가죽 가공 기계 제조업,055-532-0681,055-532-0683,섬유기계 산업기계부품
191,개별공장,(주)케이에프컴스,경상남도 창녕군 장마면 화영2길 45-7,기타 건축용 플라스틱 조립제품 제조업,055-533-8301,,건축용 플라스틱 제품(형강류)
192,창녕대지농공단지,(주)케이엔,경상남도 창녕군 대지면 대지농공단지길 28,배전반 및 전기 자동제어반 제조업 외 2 종,055-533-3001,055-533-3370,일체형 수배전반
193,개별공장,(주)케이티에스테크,경상남도 창녕군 도천면 바깥어만길 84-3,그 외 기타 나무제품 제조업,,041-633-0227,야자톱밥
194,개별공장,(주)코스모테크,경상남도 창녕군 계성면 영산계성로 400,기타 구조용 금속제품 제조업,055-323-0892,055-323-0893,수위관측시설물+수위표+지관부자 등
195,개별공장,(주)키친캐비넷,경상남도 창녕군 대지면 도양새우등길 79,과실 및 그 외 채소 절임식품 제조업,055-533-6800,055-532-3705,반조리식품
196,개별공장,(주)태경엔엔씨산업,경상남도 창녕군 대합면 경남대로 5279-30,천막·텐트 및 유사 제품 제조업 외 2 종,055-532-3855,,차광막+천막
197,개별공장,(주)태광수지,경상남도 창녕군 대합면 소야모전길 125,플라스틱 선·봉·관 및 호스 제조업 외 6 종,055-533-8235,055-533-8236,폴리에틸렌파이프
198,개별공장,(주)태산탑플랜트,경상남도 창녕군 계성면 영산계성로 590,구조용 금속 판제품 및 공작물 제조업,,055-521-1518,플랜트
199,개별공장,(주)태영테크,경상남도 창녕군 계성면 광계마을길 204,그 외 기타 금속가공업 외 2 종,055-536-0786,055-536-0787,산업기계+조선기자재+Steel plate부품
200,창녕송진농공단지,(주)태일송풍기,경상남도 창녕군 도천면 적말길 50,선박 구성 부분품 제조업 외 2 종,055-521-7303,055-521-6977,선박용 구성품
201,개별공장,(주)태창섬유,경상남도 창녕군 대합면 둔지길 30-17,연사 및 가공사 제조업,055-532-9879,055-532-9879,장섬유+연사
202,창녕대합농공단지,(주)태현,경상남도 창녕군 대합면 대합공단길 35-7,절삭가공 및 유사처리업,055-532-3880,055-532-3882,절삭가공품
203,창녕대합일반산업단지,(주)티앤비우드,경상남도 창녕군 대합면 대합산업단지로 136-5,기타 건축용 플라스틱 조립제품 제조업,055-532-3115,055-532-3114,PS몰딩판재
204,개별공장,(주)포유모발에스피,경상남도 창녕군 대합면 모지길 72,기타 과실ㆍ채소 가공 및 저장 처리업,055-521-8585,055-521-7373,한약추출물+숙취해소제
205,개별공장,(주)푸딩스농업회사법인,경상남도 창녕군 대지면 모산2길 6,기타 과실ㆍ채소 가공 및 저장 처리업,055-532-8898,055-532-8897,양파즙
206,개별공장,(주)하이빅스,경상남도 창녕군 대합면 수장퇴산로 40,금속 성형기계 제조업 외 2 종,,0504-420-6923,벽돌기계+산업설비
207,개별공장,(주)하이센하우스,경상남도 창녕군 창녕읍 여초길 130,구조용 금속 판제품 및 공작물 제조업 외 1 종,,070-4760-6187,컨테이너 철구조물
208,창녕대합일반산업단지,(주)한국정밀,경상남도 창녕군 대합면 대합산업단지로 38-56,자동차 엔진용 신품 부품 제조업 외 1 종,055-532-4442,055-533-6505,Chain Sprocket
209,개별공장,(주)한덕인터네셔널,경상남도 창녕군 대합면 수장퇴산로 40,그 외 기타 특수목적용 기계 제조업,053-582-5511,055-582-5518,콘크리트 블록성형기
210,개별공장,(주)한맥기계(1공장),경상남도 창녕군 도천면 논리 388번지,금속 절삭기계 제조업 외 2 종,055-536-8866,055-536-8834,산업용배관
211,개별공장,(주)한맥기계(2공장),경상남도 창녕군 도천면 논리우강길 304,육상 금속 골조 구조재 제조업 외 1 종,055-536-8866,055-536-8834,산업설비배관
212,개별공장,(주)한본산업,경상남도 창녕군 대합면 수장퇴산로,콘크리트 타일·기와·벽돌 및 블록 제조업,055-532-1700,,콘크리트타일+기와+벽돌 및블록
213,개별공장,(주)한성테크윈,경상남도 창녕군 도천면 온천로 232,산업용 난방보일러 및 방열기 제조업,055-536-4077,,HRSG 보일러 부품제조
214,개별공장,(주)한영테크,경상남도 창녕군 대합면 수장퇴산로 93,기타 구조용 금속제품 제조업,055-533-5675,055-533-5676,건설자재(강폼)
215,개별공장,(주)한울,경상남도 창녕군 대지면 왕산리 362,펄프 제조업,055-533-8851,,펄프
216,개별공장,(주)한울맘,경상남도 창녕군 대지면 경남대로 4897-51,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,055-533-9133,055-533-2010,육류
217,개별공장,(주)한일,경상남도 창녕군 도천면 영산도천로 88,레미콘 제조업 외 2 종,055-521-2291,055-521-2295,레미콘+기포콘크리트
218,개별공장,(주)해드림에프에스,경상남도 창녕군 대지면 효정리 322-3,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,055-533-8552,055-533-8559,순대+족발+편육+꼬리+대창+육수+순대+족발+편육+꼬리+대창+육수
219,개별공장,(주)해드림푸드,경상남도 창녕군 대지면 경남대로 4897-41,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,055-532-6620,055-532-6220,2차 가공육
220,창녕대합일반산업단지,(주)현대종합철강,경상남도 창녕군 대합면 합리 1412,육상 금속 골조 구조재 제조업 외 1 종,053-614-7900,053-614-7917,H빔+C형강
221,개별공장,(주)협동정공,경상남도 창녕군 대합면 평지리 996,탭·밸브 및 유사장치 제조업,055-532-5360,055-532-1938,밸브+금속관이음쇠
222,개별공장,(주)홍익,경상남도 창녕군 영산면 신제리 1404,오락 및 스포츠용 보트 건조업,055-806-7777,,인명구조용무인조정보트
223,개별공장,(주)화성,경상남도 창녕군 성산면 후천공단길 23,그 외 자동차용 신품 부품 제조업 외 3 종,055-532-3979,055-532-3981,자동차부품
224,개별공장,(주)화인베스틸,경상남도 창녕군 창녕읍 창밀로 259-33,열간 압연 및 압출 제품 제조업,055-259-2024,055-259-2020,조선용형강
225,창녕억만일반산업단지,(주)화인베스틸,경상남도 창녕군 고암면 억만리 1599,그 외 기타 1차 철강 제조업,,051-259-2020,철강제조/가공
226,개별공장,(주)휠링우드,경상남도 창녕군 계성면 준공업단지길 41,산업용 난방보일러 및 방열기 제조업 외 1 종,055-526-0310,055-526-0310,우드난방보일러+제재목
227,개별공장,(주)휴코스,경상남도 창녕군 대합면 수장퇴산로 50,기타 목재가구 제조업 외 1 종,053-592-0135,053-586-0133,철제+목제+사무용가구
228,개별공장,(주)휴텍,경상남도 창녕군 남지읍 낙동로 312,플라스틱 선·봉·관 및 호스 제조업 외 1 종,055-526-1571,055-526-1574,PVC원재료
229,창녕서리농공단지,DH테크,경상남도 창녕군 영산면 서리상촌길 307-61,자동차용 신품 조향장치 및 현가 장치 제조업,055-536-4520,055-521-4520,자동차 부품의 조향장치
230,개별공장,E.P.I환경상사,경상남도 창녕군 대지면 효정직교길 129,그 외 기타 종이 및 판지 제품 제조업,055-532-9925,055-532-9925,지란좌
231,개별공장,JS밸브,경상남도 창녕군 도천면 경남대로 3133,탭·밸브 및 유사장치 제조업,,,밸브+배관자재
232,개별공장,LG스틸콘테이너,경상남도 창녕군 대합면 수장퇴산로 69,기타 구조용 금속제품 제조업,055-532-6004,055-532-6010,콘테이너
233,개별공장,YD정밀,경상남도 창녕군 성산면 구례동길 20-91,그 외 자동차용 신품 부품 제조업 외 3 종,055-533-9501,055-533-9502,자동차부품
234,개별공장,가림건설조은창,경상남도 창녕군 남지읍 낙동로 307,침구 및 관련제품 제조업 외 11 종,055-292-1171,055-232-2521,커튼+무대막+롤스크린+금속문+창+셔터 및 차양 관련제품+스포츠매트+전동드릴악세서리+알루미늄커튼봉+일반용도료+나무계단
235,개별공장,가야종합식품,경상남도 창녕군 고암면 서암길 11-32,두부 및 유사식품 제조업,055-533-2784,055-533-3498,두부
236,개별공장,가온공조주식회사,경상남도 창녕군 부곡면 학포장터길 101,금속 문·창·셔터 및 관련제품 제조업,055-233-0433,,환기덕트+주방후드
237,개별공장,경남산업,경상남도 창녕군 성산면 구례동길 67-13,특수 직물 및 기타 직물 직조업,,,산업용 벨트슬링
238,개별공장,계성농촌지도자영농조합법인,경상남도 창녕군 계성면 계성리 406-1,면류·마카로니 및 유사식품 제조업 외 1 종,055-536-1405,055-536-5824,양파국수+양파떡국
239,개별공장,고려산업(주)창녕공장,경상남도 창녕군 대합면 수장퇴산로 35,배합 사료 제조업 외 1 종,055-986-7800,055-986-7879,축산배합사료
240,개별공장,고성산업사,경상남도 창녕군 대합면 소야모전길 117,곡물 혼합분말 및 반죽 제조업,055-532-1971,055-532-4261,튀김가루
241,창녕대합일반산업단지,광희테크,경상남도 창녕군 대합면 합리 1415,배전반 및 전기 자동제어반 제조업,053-551-2803,053-551-2805,배전반 및 전기자동제어반
242,개별공장,교동농산,경상남도 창녕군 창녕읍 향교길 134,곡물 도정업,055-533-6963,055-533-3737,곡물도정
243,개별공장,구포국수,경상남도 창녕군 영산면 영산도천로 476-19,면류·마카로니 및 유사식품 제조업,,,국수
244,개별공장,굴렁쇠스포츠산업,경상남도 창녕군 영산면 열무고개길 36-8,표면 가공 목재 및 특정 목적용 제재목 제조업,055-536-2064,,목재놀이기구+체육시설물+휴게시설물
245,개별공장,극동산업,경상남도 창녕군 영산면 영산도천로 476-1,천막·텐트 및 유사 제품 제조업 외 3 종,055-247-6688,,천막+막구조+캔버스
246,개별공장,금강공업(주),경상남도 창녕군 계성면 광계마을길 149-16,기타 구조용 금속제품 제조업 외 1 종,051-264-8881,051-264-2923,철구조물+조선기자재
247,창녕대지농공단지,금호프렌지,경상남도 창녕군 대지면 대지농공단지길 20,기타 구조용 금속제품 제조업,,,프렌지+자동차부품
248,개별공장,기운테크,경상남도 창녕군 대합면 모전리 906,플라스틱 선·봉·관 및 호스 제조업,055-532-0180,,수도관(수도관부속 외 동자재)
249,개별공장,기훈테크,경상남도 창녕군 영산면 영산도천로 486,그 외 기타 금속가공업,055-521-2235,055-521-2236,반도체 검사장비 및 시설장비
250,개별공장,남경포장,경상남도 창녕군 성산면 대터공단길 69,기타 종이 상자 및 용기 제조업,,,골판지
251,개별공장,남경포장,경상남도 창녕군 성산면 대터공단길 69,골판지 상자 및 가공제품 제조업,,,골판지상자
252,개별공장,남양포장공업사,경상남도 창녕군 성산면 대견리 151-1,골판지 제조업 외 1 종,055-533-5769,055-532-2942,골판지상자
253,개별공장,남양포장공업사,경상남도 창녕군 성산면 대견월포로 175,골판지 제조업 외 1 종,055-533-5769,055-532-2942,골판지상자
254,개별공장,남지농협공동퇴비장,경상남도 창녕군 남지읍 남지대곡길 10,복합비료 및 기타 화학비료 제조업 외 1 종,055-526-1785,055-526-1785,부산물비료
255,개별공장,남지농협박스공장,경상남도 창녕군 남지읍 성사관동길 22,골판지 제조업 외 1 종,,055-526-5431,골판지상자
256,개별공장,남현테크(주),경상남도 창녕군 영산면 서리상촌길 37,그 외 자동차용 신품 부품 제조업 외 3 종,055-536-0611,055-536-0613,실린더
257,창녕넥센일반산업단지,넥센타이어(주)창녕공장,경상남도 창녕군 대합면 대동월포로 291,타이어 및 튜브 제조업,055-370-5114,055-386-8962,타이어 및 튜브
258,개별공장,농업회사법인(주)셀바이오랩,경상남도 창녕군 대지면 대지농공단지길 24-47,기타 과실ㆍ채소 가공 및 저장 처리업,070-4105-0997,,건강식품용 과즙 등
259,개별공장,농업회사법인뉴그린푸드(주),경상남도 창녕군 계성면 신당리 78-3,기타 과실ㆍ채소 가공 및 저장 처리업,055-521-7733,,엑기스
260,개별공장,농업회사법인베스트빌(주),경상남도 창녕군 장마면 창녕장마로 257-39,그 외 기타 나무제품 제조업,,,목재펠릿
261,개별공장,농업회사법인새한푸드,경상남도 창녕군 계성면 광계리 1373-17,그 외 기타 식료품 제조업,055-521-3662,055-536-9773,메추리알 가공
262,개별공장,농업회사법인선샘(주),경상남도 창녕군 도천면 덕곡리 412-1,식물성 유지 제조업 외 1 종,,055-000-0000,참기름+볶음깨+양파슬라이스
263,개별공장,농업회사법인영마루주식회사,경상남도 창녕군 계성면 관동마을길 17,기타 곡물 가공품 제조업 외 1 종,055-366-9811,055-382-8827,누룽지+누룽지기계
264,개별공장,농업회사법인우포바이오푸드,경상남도 창녕군 대합면 수장퇴산로 33-19,면류·마카로니 및 유사식품 제조업 외 1 종,,,우리밀국수+양파국수
265,창녕대지농공단지,농업회사법인우포의아침(주),경상남도 창녕군 대지면 대지농공단지길 40,탁주 및 약주 제조업,055-532-3900,,탁주+약주
266,개별공장,농업회사법인은하식품(주),경상남도 창녕군 도천면 바깥어만길 138,기타 과실ㆍ채소 가공 및 저장 처리업,055-521-0098,,음료류
267,개별공장,농업회사법인주식회사창녕축산물공판장,경상남도 창녕군 대지면 효정리 390,육류 도축업(가금류 제외) 외 1 종,055-533-1846,055-533-1842,축산물가공
268,개별공장,농업회사법인형제농산(주),경상남도 창녕군 대지면 우포1대로 1345,기타 과실ㆍ채소 가공 및 저장 처리업,055-533-2666,055-533-2665,야채슬러시
269,개별공장,농업회사법인호신농산(주),경상남도 창녕군 도천면 영산월령로 61,천연 및 혼합조제 조미료 제조업,055-521-8051,055-536-8051,고추가루+다진마늘+다진생강
270,개별공장,농업회사법인호신농산(주),경상남도 창녕군 계성면 새못길 12,천연 및 혼합조제 조미료 제조업,055-536-8051,055-536-8051,고춧가루
271,개별공장,농업회사법인(주)웰빙라이프,경상남도 창녕군 유어면 광산길 109,기타 곡물 가공품 제조업 외 1 종,055-532-3337,055-532-0569,미숫가루+전통한차+즉석비빔밥류
272,개별공장,농업회사법인(주)해드림,경상남도 창녕군 계성면 명리공단길 46,배합 사료 제조업 외 1 종,055-536-0805,0507-890-2016,사료제조+사료제조
273,개별공장,농업회사법인주식회사금화농산,경상남도 창녕군 영산면 서리상촌길 246,김치류 제조업,,055-262-3662,김치류 및 절임식품+신선야채가공업
274,개별공장,농업회사법인주식회사코리아에프앤씨,경상남도 창녕군 대합면 창한로 74-46,과자류 및 코코아 제품 제조업,053-632-3970,053-639-0301,백옥콘+마카로니
275,개별공장,농업회사법인청암주식회사,경상남도 창녕군 남지읍 남지철교길 23,기타 발효주 제조업,,070-7614-2252,과실주(포도)
276,개별공장,대건(주),경상남도 창녕군 계성면 준공업단지길 37,그 외 기타 분류 안된 화학제품 제조업 외 1 종,055-521-5544,055-521-5546,자동차용부동액
277,개별공장,대건스틸(주),경상남도 창녕군 영산면 신제로 71,육상 금속 골조 구조재 제조업,,,철근가공
278,개별공장,대경세륜기,경상남도 창녕군 대합면 소야모전길 41,그 외 기타 특수목적용 기계 제조업 외 1 종,055-806-7020,055-806-7022,자동세륜기
279,개별공장,대경팩,경상남도 창녕군 성산면 대터공단길 84,골판지 제조업 외 1 종,055-532-0911,055-532-4911,골판지 상자
280,개별공장,대동목재,경상남도 창녕군 영산면 열무고개길 68,일반 제재업,055-521-3103,055-521-3103,가공목재
281,개별공장,대동포장공업사,경상남도 창녕군 남지읍 학계리 1042-8,기타 종이 상자 및 용기 제조업,055-526-1112,055-526-1112,박스지류
282,개별공장,대명스틸,경상남도 창녕군 영산면 영산월령로 384,기타 구조용 금속제품 제조업,055-521-4412,055-521-4414,철강구조물구조용+철근콘크리트구조물구조용
283,창녕대합일반산업단지,대명테크,경상남도 창녕군 대합면 대합산업단지로 22-37,기어 및 동력전달장치 제조업,,031-624-3760,드라이브샤프트
284,개별공장,대성ENG,경상남도 창녕군 계성면 영산계성로 556,선박 구성 부분품 제조업 외 2 종,055-526-7001,055-526-7002,선박계류장치외 산업기계
285,개별공장,대성연사,경상남도 창녕군 대합면 소야모전길 142,끈 및 로프 제조업,,,끈+로프
286,개별공장,대성정밀,경상남도 창녕군 성산면 구례동길 20-45,기타자동차부품제조업,055-532-8737,,자동차부품(샤프트)
287,창녕서리농공단지,대영포장산업,경상남도 창녕군 영산면 서리상촌길 307-55,골판지 제조업 외 3 종,055-521-4071,055-521-4073,부품박스
288,개별공장,대원라이트,경상남도 창녕군 창녕읍 여초길 130,육상 금속 골조 구조재 제조업,055-806-7554,,가로등주
289,개별공장,대원콘크리트(주),경상남도 창녕군 도천면 도천리 726-17,콘크리트 타일·기와·벽돌 및 블록 제조업,055-521-6364,055-521-6365,벽돌 및 블록
290,개별공장,대유중공업(주),경상남도 창녕군 대합면 평지퇴산로 239,육상 금속 골조 구조재 제조업 외 1 종,055-533-5700,055-532-3711,철근+H빔+구조물조립
291,개별공장,대창정밀(주),경상남도 창녕군 성산면 후천공단길 34,그 외 자동차용 신품 부품 제조업 외 3 종,055-532-1371,055-532-1370,자동차부품
292,개별공장,대한양돈협회창녕지부영농조합법인,경상남도 창녕군 장마면 남지장마로 589,복합비료 및 기타 화학비료 제조업 외 1 종,,,유기질비료
293,개별공장,대한파카라이징(주),경상남도 창녕군 계성면 명리 232,그 외 기타 분류 안된 화학제품 제조업 외 2 종,02-333-5821,,금속표면처리제
294,창녕대합일반산업단지,대합이엔씨,경상남도 창녕군 대합면 합리 1415-2,배전반 및 전기 자동제어반 제조업,,053-629-6867,배전반 및 전기자동제어반
295,개별공장,대흥기업(주),경상남도 창녕군 영산면 월령리 775-11,육상 금속 골조 구조재 제조업 외 1 종,055-526-6297,055-526-6298,철골조립제품
296,개별공장,덕상정밀(주),경상남도 창녕군 계성면 준공업단지길 27,기어 및 동력전달장치 제조업,055-237-9254,,베벨기어류
297,창녕대합일반산업단지,델타캐스트(주)대합공장,경상남도 창녕군 대합면 대합산업단지로 120-7,자동차용 신품 동력전달장치 제조업,053-615-9621,053-615-9300,마스터실린더 외
298,개별공장,도영농산,경상남도 창녕군 고암면 갈전길 194,기타 과실ㆍ채소 가공 및 저장 처리업,055-533-2366,055-533-2366,탈피양파
299,개별공장,도우미식품,경상남도 창녕군 도천면 예리 736-2,천연 및 혼합조제 조미료 제조업,055-536-0464,055-536-0465,조미식품중간원료(H.V.P)
300,개별공장,도원사,경상남도 창녕군 고암면 갈동길 56-31,가정용 및 장식용 도자기 제조업,055-533-1772,055-533-1772,슈퍼본차이나 화인세라믹소재
301,개별공장,도정공업사,경상남도 창녕군 대지면 석리 693,기타 건축용 나무제품 제조업,055-533-0222,055-533-0222,목재 건축내장재
302,창녕대합농공단지,동명기계,경상남도 창녕군 대합면 대합공단길 36-7,절삭가공 및 유사처리업,,,자동차부품
303,개별공장,동명산업,경상남도 창녕군 유어면 내부곡길 89,연사 및 가공사 제조업 외 4 종,,055-532-5183,토목용보강재
304,개별공장,동양알피에프산업(R.P.F)(주),경상남도 창녕군 도천면 논리우강길 395,육상 금속 골조 구조재 제조업,055-536-0270,055-536-0271,TU Beam+TU deck
305,개별공장,동원섬유,경상남도 창녕군 대합면 둔지길 29-8,면직물 직조업,055-532-6631,055-532-6632,폴리스판+커텐지
306,개별공장,동원포장공업사,경상남도 창녕군 대합면 둔지길 29-34,골판지 상자 및 가공제품 제조업,055-533-8206,,골판지 상자
307,개별공장,동일식품,경상남도 창녕군 남지읍 용산본동길 14,도시락류 제조업 외 1 종,055-526-4481,,유부초밥
308,개별공장,동일특수고무(주),경상남도 창녕군 도천면 치이골길 41-32,고무패킹류 제조업 외 2 종,,,고무방충재+고무패드
309,창녕대지농공단지,동진산업,경상남도 창녕군 대지면 대지농공단지길 32,건설 및 채광용 기계장비 제조업,,,굴삭기 버켓
310,창녕송진농공단지,동진정밀,경상남도 창녕군 도천면 적말길 35,선박 구성 부분품 제조업,055-345-2770,055-345-2769,조선기자재및연교환기부품
311,개별공장,동해기계(주)창녕지점,경상남도 창녕군 영산면 영산월령로 353,건설 및 채광용 기계장비 제조업 외 1 종,055-285-2331,055-584-9878,건설기계 부품(BOOM+ARM+BUCKET+BLADE 등)+VESSLE(금속탱크+저장탱크 등)
312,개별공장,두메산식품,경상남도 창녕군 영산면 신영산로 53,차류 가공업,055-521-2727,055-536-0599,양파즙
313,개별공장,두메산식품,경상남도 창녕군 영산면 온천로 103-26,건강보조용 액화식품 제조업,055-521-2727,,양파즙
314,개별공장,두원섬유공업사,경상남도 창녕군 영산면 서리상촌길 15,모 방적업,055-521-2581,,방모사 제조
315,개별공장,디에이치우드,경상남도 창녕군 고암면 억만리 1097-5,일반 제재업,,055-532-3382,일반제재목(각재+판재)
316,개별공장,디에이치튜브(주),경상남도 창녕군 성산면 후천공단길 29,그 외 자동차용 신품 부품 제조업 외 4 종,055-532-8462,055-532-8465,자동차부품
317,개별공장,디에이치튜브(주),경상남도 창녕군 성산면 후천리 504,그 외 자동차용 신품 부품 제조업 외 4 종,055-532-8462,,엔진용파워트레인
318,개별공장,디자인오또,경상남도 창녕군 영산면 영산월령로 90,소파 및 기타 내장가구 제조업,055-521-8988,055-521-8986,의자
319,개별공장,르만트럭코리아,경상남도 창녕군 도천면 치이골길 31,건설 및 채광용 기계장비 제조업,055-526-3840,,건설기계자동덮개
320,개별공장,명문식품,경상남도 창녕군 성산면 창한로 206-16,수산동물 냉동품 제조업,055-532-3733,055-532-3653,명태포+대구포
321,창녕대합일반산업단지,명성에스앤티,경상남도 창녕군 대합면 대합산업단지로 38-51,승강기 제조업,054-956-2088,054-954-2088,승강기 부품
322,창녕대합일반산업단지,무진정공,경상남도 창녕군 대합면 대합산업단지로 38-56,자동차 엔진용 신품 부품 제조업,,,Sprocket
323,개별공장,미래산업,경상남도 창녕군 창녕읍 환곡어도로 26,금속 가구 제조업,055-533-0028,,학생용 책상 및 의자
324,개별공장,미르이엔지주식회사,경상남도 창녕군 창녕읍 환곡어도로 131,선박 구성 부분품 제조업,051-627-3447,051-627-3448,선박구성부분품
325,개별공장,반포가설유로폼,경상남도 창녕군 계성면 영산계성로 352,육상 금속 골조 구조재 제조업 외 1 종,055-526-0330,055-526-0340,유로폼+시스템비계
326,개별공장,보그워너창녕유한책임회사,경상남도 창녕군 계성면 명리길 78,자동차 엔진용 신품 부품 제조업 외 1 종,055-520-2000,055-520-2094,내연기관용전장품(Starter+Alternator)
327,개별공장,보배메탈,경상남도 창녕군 대지면 우포2로 886-23,그 외 기타 금속가공업,,,절단가공+철구조물 제작(H빔 등)
328,창녕대지농공단지,보성열처리(주),경상남도 창녕군 대지면 대지농공단지길 24-28,금속 열처리업,055-532-1777,055-532-1776,금속열처리
329,개별공장,보승우드주식회사,경상남도 창녕군 대합면 소야모전길 98-49,표면 가공 목재 및 특정 목적용 제재목 제조업,,,톱밥
330,개별공장,봄나리영농조합법인,경상남도 창녕군 계성면 명리 418-3,김치류 제조업,,055-521-6003,양파김치
331,개별공장,부경본가,경상남도 창녕군 대합면 모전로 260,기타 과실ㆍ채소 가공 및 저장 처리업,,055-532-8859,깐마늘
332,개별공장,부곡농업협동조합,경상남도 창녕군 부곡면 온정리 206-2,곡물 도정업,055-536-5536,,친환경 도정 쌀
333,개별공장,부곡목재가공산업,경상남도 창녕군 도천면 온천로 258,목재 포장용 상자·드럼 및 유사용기 제조업,055-536-9707,055-536-8820,목재상자
334,개별공장,부광식품,경상남도 창녕군 성산면 대터공단길 53,면류·마카로니 및 유사식품 제조업 외 3 종,055-533-3901,055-532-3902,냉면+육수+비빔장
335,개별공장,부남에프앤비,경상남도 창녕군 영산면 신제로 97-38,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,055-526-1513,055-526-1514,갈비타+삼계탕+곰탕
336,개별공장,부산해림식품,경상남도 창녕군 대지면 왕산길 48,기타 수산동물 가공 및 저장 처리업,055-533-7600,,튀김어묵
337,개별공장,부철기업,경상남도 창녕군 영산면 신제로 75,그 외 기타 금속가공업,055-521-3302,055-521-3303,철근가공
338,개별공장,부흥식품,경상남도 창녕군 영산면 영산도천로 476-8,두부 및 유사식품 제조업,055-536-4662,055-536-1471,두부
339,창녕송진농공단지,브릭앤비주식회사,경상남도 창녕군 도천면 적말길 53,에너지 저장장치 제조업,055-536-8118,,에너지 저장장치
340,개별공장,블루바이텍,경상남도 창녕군 대합면 대동월포로 32-5,장류 제조업,,,몽고간장
341,개별공장,블루홀딩스(주),경상남도 창녕군 장마면 장마고곡로 177-44,포장용 플라스틱 성형용기 제조업,055-536-0911,055-536-0913,플라스틱 식품용기(15L 간장 포장통)
