회사명,전화번호,읍면동,주소,주력생산품,근로자수
(주)삼흥테크,055-323-9033,진영읍,경상남도 김해시 진영읍 본산로 284,조선기자재 가공(깍기),3
J.S 케미칼,055-343-6011,진영읍,경상남도 김해시 진영읍 본산로269번길 35,접착제생산,3
아시아페인트,010-****-****,진영읍,경상남도 김해시 진영읍 본산로269번길 15-26,페인트 제조,3
일양산업 주식회사,055-346-1722,진영읍,경상남도 김해시 진영읍 본산로 166,토목용보강재(폴리에스트그리드),3
SH테크,055-343-9746,진영읍,경상남도 김해시 진영읍 본산로 218,철도차량 부품 cnc가공,3
세아FS,055-286-3314,진영읍,경상남도 김해시 진영읍 본산로 153-26,"냉장고,정수기등 냉동냉간부품 생산",3
에스엠테크(sm테크),010-****-****,진영읍,경상남도 김해시 진영읍 본산1로 87,재활용비닐 혼성플라스틱,3
영지산업,055-329-6114,진영읍,경상남도 김해시 진영읍 본산로269번길 62-15,자동차브레이크부품(MCT)가공,3
대한테크,010-****-****,진영읍,경상남도 김해시 진영읍 본산로 295,중장비부품 용접,3
티에스아이(주),010-****-****,진영읍,경상남도 김해시 진영읍 한림로 1205-31,산업기계 철판절곡,3
시온테크,010-****-****,진영읍,경상남도 김해시 진영읍 본산로269번길 62-12,전기배선(오일쿨러) 공작기계,3
프로브,010-****-****,진영읍,경상남도 김해시 진영읍 서부로396번길 62-45,조립용플라스틱제조,3
(주)하나유압,055-343-9962,진영읍,경상남도 김해시 진영읍 하계로138번길 45,유압기기제조,3
대진LASER,055-345-2533,진영읍,경상남도 김해시 진영읍 서부로38번길 5-71,농기계부품생산,3
(주)티제이글로벌,055-321-0077,진영읍,경상남도 김해시 진영읍 진영로454번길 97-29,"플라스틱박스,시트가공",3
주식회사 수인,055-723-2830,진영읍,경상남도 김해시 진영읍 서부로378번길 11,목재표면가공,3
하나금속,055-342-3595,진영읍,경상남도 김해시 진영읍 서부로38번길 93-11,금속절단 조선기자재등,3
장우전선,010-****-****,진영읍,경상남도 김해시 진영읍 진영로 336-15,전기선 (반도체 소자),3
에스아이엠텍,055-346-6244,진영읍,경상남도 김해시 진영읍 서부로378번길 61-1,공작기계부품 절삭절곡등,3
누리테크,055-345-2507,진영읍,경상남도 김해시 진영읍 서부로378번길 40,금속 선박용밸브 절삭,3
엠제이공업 주식회사,055-343-9198,진영읍,경상남도 김해시 진영읍 서부로 297-14,농기계중장비부품 절삭,3
우성산업사,055-346-1726,진영읍,경상남도 김해시 진영읍 서부로38번길 77-20,"플라스틱사출,세탁기부품",3
(주)현대메탈,055-343-1710,진영읍,경상남도 김해시 진영읍 서부로378번길 68-4,선반용 밸브주조,3
신창정공,055-346-2437,진영읍,경상남도 김해시 진영읍 서부로346번길 11,금속 자주포 파이브 가공,3
천지판넬도어,055-328-0057,진영읍,경상남도 김해시 진영읍 서부로 307,조립식 건축 부자재,3
우진기업,055-343-7650,진영읍,경상남도 김해시 진영읍 진영로 411,플라스틱샤시 제조,3
태헌기계공업사,055-345-8665,진영읍,경상남도 김해시 진영읍 서부로396번길 30,자동차부품생산,3
파워웰ENG,010-****-****,진영읍,경상남도 김해시 진영읍 서부로38번길 5-61,기계부품 용접,3
에스와이엠아이티(SYMIT),055-342-3023,진영읍,경상남도 김해시 진영읍 하계로96번길 11-1,정밀혈압측정기구제조,3
영진제관,055-342-5713,진영읍,경상남도 김해시 진영읍 서부로 297-20,금속부품 용접,3
광동티피에스TPS,055-321-0077,진영읍,경상남도 김해시 진영읍 진영로454번길 97-29,폴리스티렌발포성형,3
휴먼플랜트㈜,010-****-****,진영읍,경상남도 김해시 진영읍 진영로454번길88 ,발전소설비기자재 제조,3
씨엠유,055-343-0977,진영읍,경상남도 김해시 진영읍 진영로336-13 ,중장비부품 조향장치및 현가장치제조,3
신창기공㈜,055-346-2437,진영읍,경상남도 김해시 진영읍 진영읍 서부로 346번길11 ,자주포 절삭 유사처리,3
진흥테크,055-324-3000,진영읍,경상남도 김해시 진영읍 진영읍 서부로396번길20-6 ,전주덥게 무정전기자재,3
하이웰코리아,055-345-9093,진영읍,경상남도 김해시 진영읍 김해대로769번길 13-10,용접기 자재,2
덕운기계,055-343-5742,진영읍,경상남도 김해시 진영읍 하계로 247-17,자동차 부품(엔진),2
파워레인김해지점,055-724-2300,진영읍,경상남도 김해시 진영읍 하계로240번길 209-31,농기계 부품,2
경동ENG,010-****-****,진영읍,경상남도 김해시 진영읍 김해대로719번길 179,하우스용 컨테이너,2
금영테크,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 280,자동차부품(크레인힐 샤프트),2
(주)두루건드릴,010-****-****,진영읍,경상남도 김해시 진영읍 하계로240번길 2,금형(팁홀 가공),2
용천ENG,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 211-15,유압 블럭,2
한주산전,051-314-5893,진영읍,경상남도 김해시 진영읍 하계로 283,전기제어반,2
주식회사 이앤엠테크,010-****-****,진영읍,경상남도 김해시 진영읍 하계로240번길 209-40,건조장치 조립,2
한국레이저용접,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 30,레이저용접,2
대호,055-723-2378,진영읍,경상남도 김해시 진영읍 하계로240번길 17-17,자동차 중장비 부품,2
신화컨테이너,055-323-0482,진영읍,경상남도 김해시 진영읍 김해대로 788,컨테이너,2
예천금속,055-345-2047,진영읍,경상남도 김해시 진영읍 하계로278번길 5-17,동파이프,2
케이제이팩,070-8899-8212,진영읍,경상남도 김해시 진영읍 하계로240번길 3-44,"목상자,파렛트",2
주식회사 코코월드,010-****-****,진영읍,경상남도 김해시 진영읍 김해대로719번길 7,보행매트(야자매트),2
두레기계상사,051-304-1511,진영읍,경상남도 김해시 진영읍 김해대로719번길 180-1,공작 기계 부품,2
한명테크,051-907-1235,진영읍,경상남도 김해시 진영읍 하계로240번길 211-25,브라켓,2
두성기계,055-343-2530,진영읍,경상남도 김해시 진영읍 하계로240번길 20,기어가공,2
한성기어,055-609-7124,진영읍,경상남도 김해시 진영읍 김해시 진영읍 하계로278번길 5-21,기계부품가공(압연기기),2
한성베벨기어,055-243-3571,진영읍,경상남도 김해시 진영읍 하계로278번길 5-21,산업기계(기어가공),2
용천테크,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 211-15,유압블럭,2
제이에스JS정밀,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 233-4,금속압형(자동차),2
금득정밀,055-342-8708,진영읍,경상남도 김해시 진영읍 하계로 262-7,절삭가공(방산부품),2
(주)월드튜브 김해연구소,055-345-9001,진영읍,경상남도 김해시 진영읍 서부로123번길 30-5,중장비부품(유압파이프),2
성진정밀,010-****-****,진영읍,경상남도 김해시 진영읍 서부로179번길 39-111,자동차 다이케스팅 변속기 제조,2
태양상사,010-****-****,진영읍,경상남도 김해시 진영읍 진영로 159-1,LED조명용 렌즈조립,2
(주)해피원,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 225,냉장고부품 모터,2
(주)세보철강,055-342-5200,진영읍,경상남도 김해시 진영읍 서부로 283-15,강재류,2
창조식품,055-343-2655,진영읍,경상남도 김해시 진영읍 진영로 180-8,두부제조,2
진영떡집,055-343-2050,진영읍,경상남도 김해시 진영읍 진영로 178-1,떡,2
다솔푸드,010-****-****,진영읍,경상남도 김해시 진영읍 서부로218번길 6,닭발,2
혜성산업,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 275,골판지기계수리,2
반야광고디자인,055-342-9745,진영읍,경상남도 김해시 진영읍 진영로 157-1,간판 광고물 명함 현수막,2
태건산업,010-****-****,진영읍,경상남도 김해시 진영읍 서부로179번길 77,지게차의자,2
뉴티스치과기공소,010-****-****,진영읍,경상남도 김해시 진영읍 진영로 199,치과보철물,2
삼영BOLT,055-346-0911,진영읍,경상남도 김해시 진영읍 여래로 52,볼트너트제조,2
황원 건드릴,055-342-2653,진영읍,경상남도 김해시 진영읍 서부로137번길 13,자동차 선박 금속 구멍,2
황원금속,055-342-2653,진영읍,경상남도 김해시 진영읍 서부로137번길 13,자동차엔진 구멍내기,2
지원테크(G1-TECH),010-****-****,진영읍,경상남도 김해시 진영읍 서부로266번길 6,프랜지금속부품,2
동화테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 275-21,"항공기부품,치공구",2
진율,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 275-21 C동,항공기치공구,2
동환정공,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 275-22,금속절삭가공,2
대광AST,010-****-****,진영읍,경상남도 김해시 진영읍 서부로179번길 39-39,금형 항공기부품 선반가공,2
종가떡집,055-343-2408,진영읍,경상남도 김해시 진영읍 진영로 155-1,떡제조,2
진영떡공장,010-****-****,진영읍,경상남도 김해시 진영읍 진영로 205104호 ,떡,2
형제상회,055-342-1666,진영읍,경상남도 김해시 진영읍 진영로174번길 3-1,참기름 고추가루 방앗간,2
칠자족발,010-****-****,진영읍,경상남도 김해시 진영읍 진영로174번길 3-1,족발제조 판매,2
남건지게차,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 1,지게차수리,2
동양자수표구사,055-342-2939,진영읍,경상남도 김해시 진영읍 진영로 186-1,병풍 액자 족자,2
동현테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 275-11,선박용 엔진부품 가공,2
에이치제이(HJ)테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로202번길 28,금속절곡,2
성화에스티김해대리점,055-346-5845,진영읍,경상남도 김해시 진영읍 서부로218번길 1,"규격소재,가공소재",2
영진종합인쇄,055-342-2616,진영읍,경상남도 김해시 진영읍 여래로20번길 5,인쇄 판촉물외,2
진영보신원,055-342-2791,진영읍,경상남도 김해시 진영읍 여래로 28,과일엑기스즙 중탕,2
진영건재당,055-342-2308,진영읍,경상남도 김해시 진영읍 진영로 268,과일채소농축추출 즙,2
사랑방떡집,055-342-3260,진영읍,경상남도 김해시 진영읍 진영로 180-6,떡제조,2
주식회사 동보텍,055-342-8406,진영읍,경상남도 김해시 진영읍 진산대로201번길 46-25,냉장고부품 성형용기,2
주식회사 비와이티이씨,055-345-0407,진영읍,경상남도 김해시 진영읍 진산대로201번길 4-40,led 특광등 제작,2
신진기업,055-342-5802,진영읍,경상남도 김해시 진영읍 김해대로 94-17,하네스케이블제조(판넬),2
(주)오주기연,055-904-0072,진영읍,경상남도 김해시 진영읍 김해대로332번길 31-11 501호,내화물특수강 보수제,2
대성ENG,010-****-****,진영읍,경상남도 김해시 진영읍 김해대로332번길 37-10 서원래온빌3차702호 ,공작기계 수리,2
국도기업,010-****-****,진영읍,경상남도 김해시 진영읍 김해대로361번길 35 진영자이아파트상가 307동 1401호 ,산업기계 수리,2
대한인더스트리(주),055-255-5144,진영읍,경상남도 김해시 진영읍 김해대로 94-25,공작기계수리,2
태광,010-****-****,진영읍,경상남도 김해시 진영읍 진산대로201번길 46-4 B동,자동차부품 절삭가공,2
아성산업,055-346-5588,진영읍,경상남도 김해시 진영읍 진산대로 234,자동차용 스프링,2
대상정밀,055-342-0502,진영읍,경상남도 김해시 진영읍 김해대로 109 B동,중장비기계도어락 용접,2
대룡벤딩,055-342-0701,진영읍,경상남도 김해시 진영읍 김해대로 94-34,파이프벤딩,2
신화기계(주),010-****-****,진영읍,경상남도 김해시 진영읍 진산대로251번길 9-12,금속절삭기계,2
만성기름집,055-343-2877,진영읍,경상남도 김해시 진영읍 진영산복로115번길 12-1,참기름제조,2
진례기름집,010-****-****,진영읍,경상남도 김해시 진영읍 진영로166번길 9,참기름추출,2
시장이 반찬이다,010-****-****,진영읍,경상남도 김해시 진영읍 장등로19번길 5102호 ,반찬종류 제조,2
진영농협농기구서비스센타,055-345-5960,진영읍,경상남도 김해시 진영읍 진영로109번길 16,농기구수리,2
태상기술,010-****-****,진영읍,경상남도 김해시 진영읍 김해대로 94-45,분말성형프레스,2
리코,010-****-****,진영읍,경상남도 김해시 진영읍 진산대로201번길 46-4,금속선반가공(비행기 보호캡),2
조영테크,010-****-****,진영읍,경상남도 김해시 진영읍 진산대로201번길 46-14,선박부품유압기기,2
네오텍,055-346-3318,진영읍,경상남도 김해시 진영읍 진산대로54번길 1-8,단자재 조립,2
집현산업,055-231-2592,진영읍,경상남도 김해시 진영읍 진산대로 135-39 한영메카텍,공작기계부품가공,2
기원테크,055-321-8662,진영읍,경상남도 김해시 진영읍 진영로 137-1,플라스틱샷시,2
태영산업,010-****-****,진영읍,경상남도 김해시 진영읍 김해대로 30-6,간판제작,2
진영떡고을,055-345-7966,진영읍,경상남도 김해시 진영읍 장등로19번길 19102호 ,떡제조,2
진영참기름,055-343-3138,진영읍,경상남도 김해시 진영읍 진영로160번길 10,참기름제조,2
서경산업,055-336-5671,진영읍,경상남도 김해시 진영읍 본산로219번길 24,포장용비닐봉투,2
봉하마을찰보리빵,055-342-2045,진영읍,경상남도 김해시 진영읍 봉하로111번길 14,찰보리빵,2
에이치와이티,055-345-2303,진영읍,경상남도 김해시 진영읍 본산로219번길 76-7,항공기부품용 금형제작,2
JH 테크,010-****-****,진영읍,경상남도 김해시 진영읍 본산로110번길 26,성형기계조립,2
신원테크,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 50,컨트롤박스,2
제이와이(JY)테크,010-****-****,진영읍,경상남도 김해시 진영읍 본산1로56번길 30,산업기계절삭가공,2
(주)대정,010-****-****,진영읍,경상남도 김해시 진영읍 진영읍 본산2로 15-27,산업용기계 금속가공업,2
(주)시스제네바,010-****-****,진영읍,경상남도 김해시 진영읍 본산2로79번길 12-10,쇼파,2
제이씨에이치테크,050-4021-6399,진영읍,경상남도 김해시 진영읍 본산2로 63-7,자동차엔진부품절삭가공,2
엠 테크,010-****-****,진영읍,경상남도 김해시 진영읍 본산로110번길 26,공작기계제조,2
세범ENG,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 50,선박용 철판절단,2
더유진,010-****-****,진영읍,경상남도 김해시 진영읍 본산로110번길 26,공작기계부품조립,2
청호기계정밀,010-****-****,진영읍,경상남도 김해시 진영읍 본산로110번길 26,공작기계조립가공,2
미림도예,055-343-2572,진영읍,경상남도 김해시 진영읍 하계로155번길 38,생활도자기,2
(주)토장원,010-****-****,진영읍,경상남도 김해시 진영읍 본산로193번길 32-11,시락국밥에들어가는소스(된장),2
미래산업LG하이믹스,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 143,씽크대 인조대리석 상판,2
성원정밀,010-****-****,진영읍,경상남도 김해시 진영읍 한림로 1144,"자동차브레이크,제동장치",2
신강함침,055-343-7709,진영읍,경상남도 김해시 진영읍 본산1로56번길 66-24,자동차엔진부품커버 압형가공,2
(주)제이엘아이씨,010-****-****,진영읍,경상남도 김해시 진영읍 본산2로 15-27,자동차계기판,2
승리테크,010-****-****,진영읍,경상남도 김해시 진영읍 본산로219번길 76-7,금형부품가공(밀링.선반),2
진성금속,055-343-8586,진영읍,경상남도 김해시 진영읍 본산로212번길 26-1,금속용접가공처리,2
시대정공,055-346-6818,진영읍,경상남도 김해시 진영읍 하계로 177,방산품(자주포)절삭가공,2
일화정공,055-343-8279,진영읍,경상남도 김해시 진영읍 본산로219번길 76-11,산업기계수리,2
퍼스트 스톤,010-****-****,진영읍,경상남도 김해시 진영읍 본산2로110번길 70 B동 101호 ,인조대리석씽크대상판,2
제이에스산업,010-****-****,진영읍,경상남도 김해시 진영읍 본산로219번길 7,배관용파이프(플라스틱),2
좌곤떡방앗간,055-345-1697,진영읍,경상남도 김해시 진영읍 하계로 20 A동,떡,2
용성정미소,010-****-****,진영읍,경상남도 김해시 진영읍 본산로193번길 33,곡물도정,2
㈜라온이앤티,055-343-9627,진영읍,경상남도 김해시 진영읍 진영읍 한림로1145 ,열교환기,2
㈜영진산업,010-****-****,진영읍,경상남도 김해시 진영읍 진영읍 본산1로56번길 66-24 ,자동차엔진부품(커버 기밀봉합),2
엠에스스틸,010-****-****,진영읍,경상남도 김해시 진영읍 진영읍 하계로155번길 47 ,오토바이 부분제조,2
동명유압센타,055-345-1107,진영읍,경상남도 김해시 진영읍 진영읍 하계로29 ,유압펌퍼 모터시린다,2
㈜태정엠텍,055-346-6763,진영읍,경상남도 김해시 진영읍 진영읍 본산1로39 ,컨베이어,2
SKY SYSTEM,010-****-****,진영읍,경상남도 김해시 진영읍 진영읍 본산2로 15-14 ,전기자동화 제어반 ,2
워나하이시스,010-****-****,진영읍,경상남도 김해시 진영읍 한림로 1205-37,유압시스템 설계 제작,2
케이엠,010-****-****,진영읍,경상남도 김해시 진영읍 본산로 262,용접 모터부품,2
한길테크,010-****-****,진영읍,경상남도 김해시 진영읍 본산로 295,중장비부품 도장,2
대한엠씨나이론,055-345-2191,진영읍,경상남도 김해시 진영읍 본산로 204,플라스틱수지가공,2
삼환방식산업1공장,055-342-0401,진영읍,경상남도 김해시 진영읍 본산2로79번길 38,열수축시트 테이프등,2
주식회사 삼육케미칼,055-323-8211,진영읍,경상남도 김해시 진영읍 본산로 278,전선관 제조,2
대승전기,055-342-6769,진영읍,경상남도 김해시 진영읍 본산로110번길 37,기계모터수리,2
다인 테크,055-346-2321,진영읍,경상남도 김해시 진영읍 본산로269번길 15-22,자동차조향장치단조품,2
주식회사하이텍오션,055-345-0006,진영읍,경상남도 김해시 진영읍 본산로 166,선박기자재 완제품,2
(주)창신정공,055-343-2969,진영읍,경상남도 김해시 진영읍 본산1로 86,자동차엔진오일펌프생산,2
신일엔지니어링,055-345-7109,진영읍,경상남도 김해시 진영읍 본산1로 91,용접기계주문제작,2
다솔호이스트,055-343-6594,진영읍,경상남도 김해시 진영읍 본산로 124,"호이스트 제작, 수리",2
대용산업사,010-****-****,진영읍,경상남도 김해시 진영읍 본산로219번길 102,공장구조물 철빔,2
삼원다이케스트,010-****-****,진영읍,경상남도 김해시 진영읍 본산로269번길 15-9,건설기계중장비 전자부품 주조품,2
강정공업사,055-346-6675,진영읍,경상남도 김해시 진영읍 본산로 153-20,경판성형(절단),2
씨케이(CK) 하이테크,010-****-****,진영읍,경상남도 김해시 진영읍 본산로241번길 10,플라스틱 사출성형,2
삼계목재,055-339-8228,진영읍,경상남도 김해시 진영읍 한림로 1236,목재파렛트,2
해성푸드,055-345-3887,진영읍,경상남도 김해시 진영읍 본산로 272,식육포장처리,2
본산경운기,055-343-3646,진영읍,경상남도 김해시 진영읍 본산로110번길 3,경운기 농기계 수리업,2
"코마인터내셔널 주식회사(KOMA INTERNATIONAL. Co., LTD)",055-342-6288,진영읍,경상남도 김해시 진영읍 진영읍 본산로 153-36,기타 일반 목적용기계,2
더원엔지니어링,010-****-****,진영읍,경상남도 김해시 진영읍 한림로 1238,산업용운반기계 수리 설계,2
서아,055-329-6114,진영읍,경상남도 김해시 진영읍 본산로269번길 62-15,자동차브레이크MCT가공,2
세림정기,055-329-6114,진영읍,경상남도 김해시 진영읍 본산로269번길 62-15,자동차브레이크 마스터 실린더,2
태영 하드페이싱,010-****-****,진영읍,경상남도 김해시 진영읍 본산2로 135,공업용믹서기 용접봉 보강,2
진영이엔지(E.N.G),010-****-****,진영읍,경상남도 김해시 진영읍 본산2로 106-2,철구조물 호이스트천장 크레인,2
유진티앤에스,055-374-2237,진영읍,경상남도 김해시 진영읍 본산로269번길 35,플라스틱 테프론 응용기계 생산 설치,2
태익산업,010-****-****,진영읍,경상남도 김해시 진영읍 본산로 183,전자 전기배선,2
지안하이텍,010-****-****,진영읍,경상남도 김해시 진영읍 본산2로 133,자동차단열 흡음 단열재등,2
（주）진흥이엔지,055-324-3000,진영읍,경상남도 김해시 진영읍 서부로396번길 20-6,변압기 제조 건축용 방호구,2
삼광전기,055-342-4487,진영읍,경상남도 김해시 진영읍 진영로 339,자동운반기구 및 모터수리,2
성광테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로346번길 8,자동차용 동력전달장치,2
유광,010-****-****,진영읍,경상남도 김해시 진영읍 서부로396번길 20-19,유광락스,2
태진수지,010-****-****,진영읍,경상남도 김해시 진영읍 서부로396번길 30-19,재활용품 녹여 플라스틱생산,2
도드리푸드,010-****-****,진영읍,경상남도 김해시 진영읍 진영로454번길 92,절임 식품,2
맥스피싱,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 308102호 ,낚시 및 수렴용구제조,2
코리아믹서,055-346-3119,진영읍,경상남도 김해시 진영읍 서부로346번길 52-25,교반기,2
성진산업,010-****-****,진영읍,경상남도 김해시 진영읍 서부로38번길 93-24,기계금형금속가공,2
주식회사 니드테크,055-346-4785,진영읍,경상남도 김해시 진영읍 진영로454번길 73, 제지기계 생산,2
에이치에스테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로38번길 5-61,산업용로봇제작.구조솔,2
부강테크,055-344-1215,진영읍,경상남도 김해시 진영읍 하계로138번길 45,정수기부속품 및 농기계 부속품,2
라온테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 64-3,자동차 차체 브라켓 부품,2
주식회사 명성테크윈,055-342-4131,진영읍,경상남도 김해시 진영읍 서부로396번길 14,세탁기부품 압형제품,2
케이엔스틸 주식회사,055-346-7365,진영읍,경상남도 김해시 진영읍 서부로346번길 20,철구조물 해체 골조 구조재 제조,2
(주)제이에스피테크,055-342-5441,진영읍,경상남도 김해시 진영읍 서부로38번길 79-27,비철금속주조,2
주호정공,010-****-****,진영읍,경상남도 김해시 진영읍 서부로378번길 52-44,플라스틱사출,2
재명테크,055-909-2600,진영읍,경상남도 김해시 진영읍 서부로378번길 83,냉장고내장스폰지가공,2
대진특수고무,055-343-4473,진영읍,경상남도 김해시 진영읍 서부로346번길 45,방산품 고무제품,2
성호모형,010-****-****,진영읍,경상남도 김해시 진영읍 서부로38번길 5-57,산업용모형밸브,2
홍석기계,010-****-****,진영읍,경상남도 김해시 진영읍 서부로38번길 5-63,금속기계부품,2
대산공업,055-345-0025,진영읍,경상남도 김해시 진영읍 서부로396번길 36,조선선박금속절단,2
동운테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로396번길 10,철강금속 압형제품,2
유영천막기업,010-****-****,진영읍,경상남도 김해시 진영읍 김해대로 688-11,천막텐트및 유사품,2
진영천막사,010-****-****,진영읍,경상남도 김해시 진영읍 진영로454번길 19-10,천막텐트및 유사품,2
동우천막,055-345-6249,진영읍,경상남도 김해시 진영읍 서부로 306,천막텐트 유사제품제조,2
㈜도림금속,010-****-****,진영읍,경상남도 김해시 진영읍 진영읍 진영로338 ,금속 철강 화염 절단,2
영광,010-****-****,진영읍,경상남도 김해시 진영읍 진영읍 서부로390 ,산업기계 실린더제작,2
LNG산업,055-232-8842,진영읍,경상남도 김해시 진영읍 하계로240번길 63,도장,1
김해현수막공장,055-346-0017,진영읍,경상남도 김해시 진영읍 김해대로 747 B동 105호 ,옥외 광고물 제작,1
(주)팍스디앤씨,055-344-2159,진영읍,경상남도 김해시 진영읍 김해대로769번길 41,산업기계제작,1
(주)아라테크,010-****-****,진영읍,경상남도 김해시 진영읍 김해대로 793 A동,조선파이프선별,1
후 시스템,010-****-****,진영읍,경상남도 김해시 진영읍 하계로240번길 85,자동차부품 (생산자동화기기),1
청하테크,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 262,반도체장비 부품가공,1
탑시스템,010-****-****,진영읍,경상남도 김해시 진영읍 하계로278번길 16-20,하이샤시 조립,1
대성테크,055-342-5914,진영읍,경상남도 김해시 진영읍 하계로 232,기계 장비 수리,1
진서기계,055-343-4551,진영읍,경상남도 김해시 진영읍 하계로 232-27,중장비 부품 (플랜지),1
수호테크,055-346-2742,진영읍,경상남도 김해시 진영읍 하계로 251-24,자동차부품(변속기),1
SL 테크,055-346-2930,진영읍,경상남도 김해시 진영읍 하계로 232-31,자동차 부품,1
리코 인더스트리,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 247-12,자동차 부품(배터리),1
대진기계,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 247-24,공작기계 부품,1
다온테크,055-343-6317,진영읍,경상남도 김해시 진영읍 하계로 247-11,자동차부품(문),1
대공이엔지,010-****-****,진영읍,경상남도 김해시 진영읍 하계로240번길 109,프레스 금형,1
백운테크,055-343-6317,진영읍,경상남도 김해시 진영읍 하계로 214,자동차부품(내장재 클립),1
일광테크,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 232,금형가공,1
영진테크,055-345-6533,진영읍,경상남도 김해시 진영읍 서부로 28,금형,1
(주)명성몰드,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 233-4,금속압형(자동차),1
건진테크,055-346-4082,진영읍,경상남도 김해시 진영읍 하계로 233-6,금형(자동차),1
수테크,055-286-5765,진영읍,경상남도 김해시 진영읍 하계로 233-6,금형,1
진영건드릴,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 233-6,금형,1
정진정밀,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 275,자동차부품(금속압형),1
비엠테크(BM tech),055-342-3467,진영읍,경상남도 김해시 진영읍 하계로 252,반도체 리트플레임용 포장자재,1
보고테크,055-345-9666,진영읍,경상남도 김해시 진영읍 하계로240번길 209-40,공작기계부품가공,1
동성시스템,055-323-8873,진영읍,경상남도 김해시 진영읍 하계로240번길 103,기체 여과기,1
협심 정밀,010-****-****,진영읍,경상남도 김해시 진영읍 하계로240번길 45-10,차단기 부품가공,1
대웅기계,010-****-****,진영읍,경상남도 김해시 진영읍 하계로240번길 45-10,면취 가공기계,1
ONE테크,055-345-9546,진영읍,경상남도 김해시 진영읍 하계로 247-24,기계설비부품(자동화기계),1
한신ENG,055-345-4134,진영읍,경상남도 김해시 진영읍 김해대로 747 B동 104호 ,공기 압축기,1
해암정공,055-344-0784,진영읍,경상남도 김해시 진영읍 하계로278번길 5-17,발전설비 부품,1
강산그린시스템,055-342-9400,진영읍,경상남도 김해시 진영읍 김해대로 747 B,농촌컨트롤박스,1
현테크,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 246 성화,전기판넬,1
엠에이치테크주식회사,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 247-18,전자 부품가공 ,1
다이아텍,010-****-****,진영읍,경상남도 김해시 진영읍 하계로278번길 5-27,금형,1
대성산업,055-338-5385,진영읍,경상남도 김해시 진영읍 김해대로835번길 68,산업기계부품(절삭가공),1
대성테크,010-****-****,진영읍,경상남도 김해시 진영읍 하계로 262-14,금속압형(자동차),1
세웅테크,055-716-2828,진영읍,경상남도 김해시 진영읍 하계로240번길 17-16,농기계 중장비 부품,1
유테크,055-343-7963,진영읍,경상남도 김해시 진영읍 하계로 281 kcc창호,절삭 가공,1
대성산업기계,055-338-5385,진영읍,경상남도 김해시 진영읍 김해대로835번길 68,산업부품(절삭가공),1
박함석닥트,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 23103호 ,닥트,1
부경세라스,055-345-3603,진영읍,경상남도 김해시 진영읍 하계로278번길 5-27,세라믹가공품,1
씨에이치 하이테크(CH HIGHTECH),055-343-0601,진영읍,경상남도 김해시 진영읍 하계로 247-11 유니테크 1층 2동 ,MC나일론 패드,1
동성종합지게차,055-343-9930,진영읍,경상남도 김해시 진영읍 서부로 267,지게차제조,1
초광테크,055-345-2050,진영읍,경상남도 김해시 진영읍 서부로123번길 33,기차 차륜,1
에스엘SL테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로179번길 76,시트서스펜션부품조립,1
동산테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로 275-22,금속절삭가공,1
케이에프(KF),010-****-****,진영읍,경상남도 김해시 진영읍 여래로 46-12 대원빌라1203호 ,주방용 씽크대,1
지엘테크,010-****-****,진영읍,경상남도 김해시 진영읍 서부로179번길 39-86,포크레인 운전석 부스,1
호승전기,010-****-****,진영읍,경상남도 김해시 진영읍 여래로 53 베네스빌라2단지 A동,전기스위치 판넬수리,1
한일펌프상사,055-342-2297,진영읍,경상남도 김해시 진영읍 하계로 435,모터 수도펌프 수리,1
