연번,구분,업체명,업체 주소,생산품,전화번호
730,소기업,(주)조선일보사,인천광역시 부평구 부평대로313번길 14 (청천동),일간신문,032-509-8110
731,소기업,(주)조일기업,인천광역시 부평구 부평대로313번길 73 (청천동),환경방지용부품,032-508-6925
732,소기업,(주)주노무역,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 942호,943호",남여옷(점퍼 등),032-547-3142
733,소기업,(주)주연테크,"인천광역시 부평구 안남로418번길 27, B동 102호 (청천동)",플라스틱(핸드폰),
734,소기업,(주)주원엘리베이터,"인천광역시 부평구 부평대로 283, 606호 (청천동) 외 2필지",제어기부품,032-504-5172
735,소기업,(주)주원정밀,인천광역시 부평구 청농로44번길 32-2(청천동),"보일러 부품, 밧데리 충전시스템 부품, 수위측정기 레벨 센서 부품, 트래서미터 부품, 스마트 모니터링 시스템 외",032-523-1934
736,소기업,(주)주형통,"인천광역시 부평구 부평대로 337, 6층 627호(청천동, 부평 제이타워3차 지식산업센터) 6층 627호 외 2필지",시각디자인,
737,소기업,(주)준일산업,"인천광역시 부평구 새벌로 29, 2층 201,202,203,204,218,2019,220 (청천동) 2층 201,202,203,204,218,2019,220호",플라스틱 포장용기,032-502-9612
738,소기업,(주)중앙소방이앤지,"인천광역시 부평구 부평대로 296, 지1층 (갈산동)",전기 MCC 판넬,032-503-0119
739,소기업,(주)중원인더스트리,인천광역시 부평구 부평북로 289 (갈산동),"LED, LAMP, 잠금장치류, 중장비부품",032-507-6081
740,소기업,(주)중원제이에이치이,"인천광역시 부평구 부평대로 283, 우림라이온스밸리 C동 401호 (청천동)",열교환기,032-811-5775
741,소기업,(주)지니리테일,"인천광역시 부평구 부평대로 283, C동 B1층 B133호(청천동, 부평우림라이온스밸리) C동 B1층 B133호",경영컨설팅,
742,소기업,(주)지니컴퍼니,"인천광역시 부평구 부평대로 301, 1동 7층 715 (청천동, 남광센트렉스) 1동 7층 715호",광고대행서비스,
743,소기업,(주)지니트,"인천광역시 부평구 부평대로 283, B216호 B동 802호 (청천동)","USB TV수신기, 비디오 포맷컨버터외",032-623-7600
744,소기업,(주)지비티코리아,인천광역시 부평구 부평대로329번길 3 (청천동) 2층 204호,공산품 마스크,031-404-9003
745,소기업,(주)지솔,"인천광역시 부평구 주부토로 236, C동 1503호(갈산동, 인천테크노밸리 U1센터) C동 1503호","보안용카메라(CCTV), 전원공급장치, 컴퓨터서버 외 ",041-584-2022
746,소기업,(주)지스타바이오,"인천광역시 부평구 주부토로 236, 제디동 6층 607호(갈산동) 제디동 6층 607호",천연미생물 배양 / 발효,02-562-3111
747,소기업,(주)지에스공성,"인천광역시 부평구 안남로417번길 17, 1층, 3층 (청천동)","가정용, 산업용, 공업용 플라스틱 사출품",
748,소기업,(주)지에스아웃소싱,"인천광역시 부평구 부평대로 283, B동 B2층 B217호(청천동, 부평우림라이온스밸리) B동 B2층 B217호",건물시설 유지 관리 등,032-425-5380
749,소기업,(주)지에스유씨씨티브이,"인천광역시 부평구 부평대로 301, 8층 803 (청천동, 남광센트렉스)",CCTV 카메라,032-363-3698
750,소기업,(주)지에이치드림,"인천광역시 부평구 주부토로 236, 제디동 B1층 110호(갈산동) 제디동 B1층 110호 외 1필지",금형,032-542-0631
751,소기업,(주)지에프코리아,인천광역시 부평구 경인로1009번길 15 (부평동),양념돈막창,032-508-3997
752,소기업,(주)지엠디,"인천광역시 부평구 부평대로 301, 남광센트렉스 523호 (청천동)",의료기기,032-327-4578
753,소기업,(주)지엠에스,"인천광역시 부평구 부평대로 283, 706호(청천동, 부평우림라이온스밸리) 706호 706호",자동화 표적기 등,
754,소기업,(주)지영솔루텍,"인천광역시 부평구 안남로433번길 13, 2층 (청천동)",의료용기기 부품,032-324-5547
755,소기업,(주)지지푸드,인천광역시 부평구 청천마차로 204 (청천동),냉동피자,032-361-7300
756,소기업,(주)지킬,"인천광역시 부평구 새벌로 4, 3층 (청천동)",영상보안장치,032-624-0528
757,소기업,(주)지티에스골프,"인천광역시 부평구 평천로141번길 39, 2층(청천동)",GTS PRO,070-8816-6667
758,소기업,(주)지훈산업,"인천광역시 부평구 부평북로 301-1, 3층 (갈산동)",핸드폰케이스,032-238-8277
759,소기업,(주)진보글로벌,인천광역시 부평구 백범로577번길 15-22 (십정동) 1동 1층,이지크린(출입구 자동 소독기),032-572-1861
760,소기업,(주)진영알엔에치,인천광역시 부평구 부평북로 50 (청천동),"난방용 방열기, 온수분배기, 파이프관",032-502-0523
761,소기업,(주)진영전기조명산업,인천광역시 부평구 세월천로30번길 25 (청천동),실내등,032-508-3282
762,소기업,(주)진영코퍼레이션,"인천광역시 부평구 주부토로 236, 제시동 6층 608호(갈산동) 제시동 6층 608호","협동로봇, 플라즈마 발진기 외",070-5102-9390
763,소기업,(주)진일부품,인천광역시 부평구 주부토로252번길 15 (갈산동),"스프링,선세공, 인덕터",032-513-0353
764,소기업,(주)진일통상,"인천광역시 부평구 새벌로 29, 7층 701 (청천동) 7층 701호","의류, 유니폼 등",02-452-9390
765,소기업,(주)집쇼코리아,"인천광역시 부평구 부평대로 293, 9층 908호(청천동, 부평테크시티)",응용 소프트웨어 개발 및 공급,070-5180-0011
766,소기업,(주)참길,"인천광역시 부평구 안남로369번길 30, 4층 (청천동)","빨래건조대, 액상대숯바름재, 기능성 단열 페인트 외",032-525-1192
767,소기업,(주)참솔테크,"인천광역시 부평구 부평대로 283, C동 B2층 B234 (청천동, 부평 우림라이온스밸리) C동 B2층 B234호","면진장치, 액세스플로어, 진동방지장치",032-623-6996
768,소기업,(주)참솔테크,"인천광역시 부평구 부평대로 283, B동 B1층 107호 (청천동, 부평 우림라이온스밸리) B동 B1층 107호 외 1필지","면진장치, 지진격리장치, 진동방지장치",032-623-6996
769,소기업,(주)창조인텔,인천광역시 부평구 청농로32번길 10 (청천동),안마기,032-330-9901
770,소기업,(주)창진창호,"인천광역시 부평구 부평대로 337, 8층 809호(청천동, 부평 제이타워3차 지식산업센터) 8층 809호",금속 창호,032-515-3992
771,소기업,(주)창현티앤비,인천광역시 부평구 청천마차로 184 (청천동),이동전화기케이스,070-7812-4911
772,소기업,(주)천일육가공,인천광역시 부평구 영성로 78 (삼산동),"돈육, 우육",032-518-9988
773,소기업,(주)천해무,"인천광역시 부평구 주부토로 236, 제비동 4층 413호(갈산동) 제비동 4층 413호 외 2필지",육수 다시팩,
774,소기업,(주)청도테크비즈,인천광역시 부평구 청농로 28(청천동),"태양광 도로 조명장치, 태양광 가로등, 차량용 자동우산, 무선통신중계기, 터널 내 결빙방지시스템",032-553-0046
775,소기업,(주)청송,인천광역시 부평구 길주남로 118-10 (부개동),"바인더,비닐가방",032-529-1302
776,소기업,(주)카모스,"인천광역시 부평구 부평대로 283, C동 8층 810호 (청천동, 부평 우림라이온스밸리)",자동차용카메라,032-522-9175
777,중기업,(주)카모스,"인천광역시 부평구 안남로402번길 80, 1층, 4층, 5층(청천동)",차량용후방 카메라 및 모니터,032-522-9175
778,소기업,(주)카스하이퍼씨앤씨,"인천광역시 부평구 수변로 99, 지하1층 (부개동)","보안용카메라,영상감시장치,구내방송장치",032-678-8822
779,소기업,(주)카슬라,"인천광역시 부평구 주부토로 236, 제비동 6층 614호(갈산동) 제비동 6층 614호","자동차 인테리어, 실내 악세서리, 주차 알림판 외",070-4801-1256
780,소기업,(주)캐리어바른시스템,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 318호,앵글,032-508-2020
781,소기업,(주)캔디스피드코리아,"인천광역시 부평구 무네미로448번길 56, 하이테크관 104호 (구산동, 폴리텍Ⅱ대학)",염색제,032-362-9938
782,소기업,(주)컨텍,"인천광역시 부평구 청천마차로 218, 1층 (청천동)",LED 컨버터,032-518-6837
783,소기업,(주)컬러스토리,"인천광역시 부평구 평천로255번길 13, 6층 606호(청천동) 6층 606호","지능형 조립완구, 장난감, 디자인 등",032-834-0360
784,소기업,(주)컴위드(COMWID Inc.),"인천광역시 부평구 부평대로 337, 11층 1141호(청천동, 부평 제이타워3차 지식산업센터) 11층 1141호 외 2필지",포장,
785,소기업,(주)케미텍코리아,"인천광역시 부평구 평천로255번길 13, 5층 509호, 510호 (청천동) 5층 509호, 510호",핫멜트 필름,02-2644-9601
786,소기업,(주)케어라이브,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 801,802호",모바일 소프트웨어 개발,032-544-7731
787,소기업,(주)케이로지스틱스,"인천광역시 부평구 부평대로 283, B동 5층 505-B호(청천동, 부평우림라이온스밸리) B동 5층 505-B호",컴퓨터시스템 유지보수,032-266-7100
788,소기업,(주)케이씨네트웍스,"인천광역시 부평구 안남로369번길 34, 3층 (청천동)","CCTV, 주차차단기",070-4943-2125
789,소기업,(주)케이씨엠텍,"인천광역시 부평구 안남로369번길 34, 3층 (청천동)",CCTV CAMERA,070-7728-6275
790,소기업,(주)케이씨이,인천광역시 부평구 안남로369번길 34 (청천동),"영상전송기기,CCTV카메라",070-7728-6281
791,소기업,(주)케이아이씨텍,"인천광역시 부평구 부평대로 283, C동 8층 803 (청천동, 부평 우림라이온스밸리)",디지탈 압력센서,032-623-7088
792,소기업,(주)케이알티,"인천광역시 부평구 부평대로 283, 라이온스밸리 C동 B219호 (청천동)",와이어컷팅기,070-759-6088
793,소기업,(주)케이앤피,"인천광역시 부평구 부평대로 293, 11층 1104호(청천동, 부평테크시티) 11층 1104호",경영컨설팅,032-282-9566
794,소기업,(주)케이에스앤,"인천광역시 부평구 안남로434번길 79, C동 (청천동)",스텐금망,032-521-9669
795,소기업,(주)케이에프씨,"인천광역시 부평구 부평대로 283, C동 3층 306호 (청천동, 부평 우림라이온스밸리) C동 3층 306호",유량계,032-545-5161
796,소기업,(주)케이엔디,"인천광역시 부평구 안남로 404, 1~2층(일부) (청천동)","전자저항기, 전등기구",032-665-2291
797,소기업,(주)케이오피,"인천광역시 부평구 부평대로329번길 42 (청천동) 1, 2, 3층","금속구조물, PSB",032-523-3114
798,소기업,(주)케이원아이엔씨,"인천광역시 부평구 부평대로 283, C동 9층 901호(청천동, 부평우림라이온스밸리) C동 9층 901호",산업용 로봇 및 부품,
799,소기업,(주)케이제이씨디스플레이코퍼레이션,"인천광역시 부평구 주부토로 236, 씨동 5층 501호(갈산동, 인천테크노밸리 U1센터) 씨동 5층 501호 외 1필지","모니터(산업용, 컴퓨터용), Panel PC, 무인결제시스템(키오스크) 외",02-780-4777
800,소기업,(주)케이지비이엔지,인천광역시 부평구 새벌로 29 (청천동) 부평테크노타워 2층 209호,"포장, 상포부착 서비스",032-547-3898
801,소기업,(주)케이지옵틱스,"인천광역시 부평구 부평대로313번길 84, 416-1 (청천동)",안경렌즈,032-516-8604
802,소기업,(주)케이지일렉트론,인천광역시 부평구 부평대로329번길 42 (청천동),전기분해식소독기,032-517-4148
803,소기업,(주)케이피씨전자,"인천광역시 부평구 평천로255번길 13, 3층 309호(청천동) 3층 309호","지게차용 자율주행 로봇, 소프트웨어 개발 등",032-555-9257
804,소기업,(주)케이피에프이노베이션,"인천광역시 부평구 부평대로 283, C동 6층 605호 (청천동, 부평 우림라이온스밸리) C동 6층 605호 C동 6층 605호",태양광 발전,032-861-7883
805,소기업,(주)코리아비티에스,인천광역시 부평구 백범로577번길 20 (십정동) 경인센타 223~226호,리튬 배터리 팩,02-6956-7074
806,소기업,(주)코리아하이테크,인천광역시 부평구 청천2동 422-10번지 외 1필지,전자제품,032-505-4343
807,소기업,(주)코마스지점,인천광역시 부평구 평천로141번길 16(청천동) 외 1필지,"포장기계, 식품 기계, 자동화 기계 및 산업용 로봇",032-501-3535
808,소기업,(주)코스앤피플,"인천광역시 부평구 안남로 414, 3층, 4층(청천동)","화장품(립스틱, 파우더)",032-719-2390
809,소기업,(주)코스티모,인천광역시 부평구 부평북로 244 (청천동),"보일러,상업용오븐,프레스금형",032-506-9654
810,소기업,(주)코썸사이언스,"인천광역시 부평구 부평대로 283, C동 12층 03B호 (청천동, 부평 우림라이온스밸리)",레이져 마이크로머신/레이져발광분석기,032-623-6320
811,소기업,(주)코썸사이언스,"인천광역시 부평구 부평대로 283, C동 B1층 101 (청천동, 부평 우림라이온스밸리)","레이저마이크로머신, 레이저발광분석기",032-623-6320
812,소기업,(주)코엠테크,"인천광역시 부평구 평천로115번길 25, 1층 (청천동)",반도체부품,032-719-7825
813,소기업,(주)큐원,"인천광역시 부평구 부평대로 283, B동 9층 903C호(청천동, 부평우림라이온스밸리) B동 9층 903C호",면진장치,070-4788-8120
814,소기업,(주)크린에이드,인천광역시 부평구 안남로 404 (청천동) 3층,마스크,032-521-8080
815,소기업,(주)큰기술,"인천광역시 부평구 부평대로 283, C동 9층 911 (청천동, 부평 우림라이온스밸리)",인쇄회로기판,032-555-1880
816,소기업,(주)큰비젼,"인천광역시 부평구 부평대로 283, C동 8층 808호(청천동, 부평우림라이온스밸리) C동 8층 808호",임대업,032-231-3411
817,소기업,(주)큰비젼,"인천광역시 부평구 평천로255번길 13, 8층 804호(청천동) 8층 804호","DPF, 소프트웨어/비젼장비",032-231-3411
818,소기업,(주)클락,"인천광역시 부평구 부평대로 301, 515호(청천동, 남광센트렉스) 515호",전자키,032-552-0831
819,소기업,(주)클리어윈,"인천광역시 부평구 부평대로 337, 6층 640호(청천동, 부평 제이타워3차 지식산업센터) 6층 640호",핸드레일 살균기,032-2936-100
820,소기업,(주)클린옥스,인천광역시 부평구 청중로 93 (청천동) 1층,마스크,032-271-3577
821,소기업,(주)키움,"인천광역시 부평구 부평대로 293, 부평테크시티 1214호 (청천동)",교재,032-516-9577
822,소기업,(주)타이드,인천광역시 부평구 안남로402번길 11 (청천동),전기차 충전기,02-6673-0930
823,소기업,(주)태광이엔이,"인천광역시 부평구 부평대로 283, c동 B1층 111 (청천동, 부평 우림라이온스밸리)","전기난방기(산업용, 가정용)",032-623-5903
824,소기업,(주)태동디엔씨,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1129호,LED조명,032-818-6663
825,소기업,(주)태영방재,"인천광역시 부평구 평천로255번길 13, 6층 604호 (청천동) 6층 604호",캐비닛형 자동소화장치,070-4991-9090
826,소기업,(주)태일,인천광역시 부평구 백범로578번길 65 (십정동),도금,032-583-0121
827,소기업,(주)태정액티브,"인천광역시 부평구 부평대로 283, A동 3층 302B호(청천동) A동 3층 302B호","컴퓨터시설관리, 통신판매업",070-5180-0085
828,소기업,(주)태크녹스,"인천광역시 부평구 부평대로 283, C동 B1층 118호(청천동, 부평우림라이온스밸리) C동 B1층 118호 외 2필지",온도센서 및 온습도측정기외,032-623-6500
829,소기업,(주)태평양기업,"인천광역시 부평구 부평대로 301, 7층 712 (청천동, 남광센트렉스)",비파괴검사기자재,032-363-3510
830,소기업,(주)태평컴퍼니,"인천광역시 부평구 부평대로329번길 3 (청천동) 303호, 305호",마스크,032-462-8939
831,소기업,(주)태환자동화산업,"인천광역시 부평구 부평대로 337, 8층 828호(청천동, 부평 제이타워3차 지식산업센터) 8층 828호",식품용 가열 및 냉각기 ,032-624-3410
832,소기업,(주)테크엔,인천광역시 부평구 새벌로 29 (청천동) 부평테크노타워 620호,"위크스테이션, DCS시스템",032-543-5561
833,소기업,(주)테하,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 637호,645호",부동산임대,070-5015-0287
834,소기업,(주)테하,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 637호,"비상전화기,LED유도등,무선통신보조설비",
835,소기업,(주)테하,"인천광역시 부평구 주부토로 236, 제비동 9층 922호(갈산동) 제비동 9층 922호","비ㅏㅇ전화기,LED 유도표시등, 라디오재방송,무서통신 보조설비",070-5015-0287
836,소기업,(주)토브더가먼트메이커,"인천광역시 부평구 마장로426번길 33, 401호(청천동)","피복, 의류, 작업복, 유사 의복",070-4901-7413
837,소기업,(주)토시스,인천광역시 부평구 부평대로313번길 77 (청천동),일반기계,032-501-6614
838,소기업,(주)투에스디,인천광역시 부평구 새벌로 44 (청천동),핸드폰 살균기 등,
839,소기업,(주)투에스디,"인천광역시 부평구 주부토로 236, 제시동 1층 109호(갈산동, 인천테크노밸리 U1센터) 제시동 1층 109호","산업용, 공업용 광학 기기 외",032-516-1272
840,소기업,(주)트리플,"인천광역시 부평구 부평대로 293, 10층 1024호(청천동, 부평테크시티)","멀티미디어, 소프트웨어 개발",070-7795-4549
841,소기업,(주)티맥스,"인천광역시 부평구 부평대로 283, B동 B1층 B109호(청천동, 부평우림라이온스밸리) B동 B1층 B109호",탁구라켓,032-715-8285
842,소기업,(주)티베라,"인천광역시 부평구 부평대로329번길 42, 3층 (청천동)","TV,믹서기",02-716-9884
843,소기업,(주)티비엠,인천광역시 부평구 화랑남로5번길 40 (산곡동),중소형 모터,032-330-4171
844,소기업,(주)티비오콜렉션,"인천광역시 부평구 부평대로 301, 5층 504호 (청천동, 남광센트렉스) 외 2필지",의류,032-347-4132
845,소기업,(주)티알엑스,"인천광역시 부평구 부평대로 283, A동 7층 710 (청천동, 부평 우림라이온스밸리)",무전기 전자제품,032-517-0707
846,소기업,(주)티앤에이,인천광역시 부평구 부평북로236번길 49 (청천동) 209호,"캔실링머신, 분사기, 기능성힌지, 전자부품 등",032-502-2220
847,소기업,(주)티엔아이넷,인천광역시 부평구 항동로125번길 3 (일신동) 2층,cctv 카메라,032-504-3218
848,소기업,(주)티젠,"인천광역시 부평구 화랑남로5번길 40, 2~3층 (산곡동)","환풍기, 전열교환기",032-574-3356
849,소기업,(주)파노텍,"인천광역시 부평구 부평대로 337, 7층 745호(청천동, 부평 제이타워3차 지식산업센터) 7층 745호",빌딩자동제어장치,070-8270-5500
850,소기업,(주)파란마당,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 215,216,217,837호",휴대폰 악세사리,02-707-1033
851,소기업,(주)파서블에너지,"인천광역시 부평구 부평대로 301, 8층 825 (청천동, 남광센트렉스)",스마트센서,02-553-4132
852,소기업,(주)파서블에너지,"인천광역시 부평구 평천로 251, 424-9, 나동 2층 (청천동)",스마트센서,02-553-4132
853,소기업,(주)파우어엔지니어링,인천광역시 부평구 백범로577번길 20 (십정동) 경인센타 611호 외 2호실,"전기공급 제어장치, 터빈제어설비",032-571-0400
854,소기업,(주)파워텍일렉트로닉스,"인천광역시 부평구 부평대로 283, B동 9층 906호 (청천동, 부평 우림라이온스밸리) (총 6 필지) 외 5필지","CCTV CAMERA, DVR",032-623-5141
855,소기업,(주)파이코,"인천광역시 부평구 부평대로329번길 26, 426-8 (청천동)",소화기,
856,소기업,(주)파크룩스,"인천광역시 부평구 부평대로 301, 4층 405호 (청천동, 남광센트렉스) 외 1필지",조명기구,032-363-3607
857,소기업,(주)파티클폼텍,"인천광역시 부평구 부평대로 283, C동 6층 609호(청천동, 부평우림라이온스밸리) C동 6층 609호",플라스틱 가공성형기계설비 제작,070-8851-5630
858,소기업,(주)팔팔게임즈,"인천광역시 부평구 부평대로 293, 9층 904호(청천동, 부평테크시티)",모바일 게임 소프트웨어 개발,02-2038-8568
859,소기업,(주)패러다임,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1271,1272,1273,1274호","무선이동통신장비, 농업/임업용 기계장비",032-710-0417
860,소기업,(주)패커드코리아,인천광역시 부평구 평천로199번길 53 (청천동),자동차 배선장치,041-580-8114
861,소기업,(주)퍼비스,"인천광역시 부평구 부평북로 308, 1층 (갈산동)",교통신호장치,032-568-1476
862,소기업,(주)페이퍼보트코리아,인천광역시 부평구 부평대로 283 (청천동) 부평우림라이온스밸리 4층 B동 411호,모바일용 응용소프트웨어 ,032-507-3257
863,소기업,(주)포인트프라자,인천광역시 부평구 십정동 557-36번지,"인젝트, 축, 핀, 샤프트",032-764-6923
864,소기업,(주)포트론,"인천광역시 부평구 가재울로 129, 1동 104호 (십정동, 테크노1공장)","전광판, CCTV 등",02-801-0205
865,소기업,(주)푸르미코리아,"인천광역시 부평구 부평대로 283, C동 12층 1202호(청천동, 부평우림라이온스밸리) C동 12층 1202호","시스템 소프트웨어 개발, 구축 관리",1544-3674
866,중기업,(주)풍양상사,인천광역시 부평구 평천로199번길 34 (청천동),자동차시트카바,032-527-8090
867,소기업,(주)프랜즈시스템,"인천광역시 부평구 백범로577번길 20, 공장동 1층 143, 144 (십정동, 경인센타) 공장동 1층 143, 144호","sidesedling 설비, UV코팅 및 물류이송설비",032-576-2037
868,소기업,(주)프랜즈시스템,"인천광역시 부평구 백범로577번길 20, 1층 142 (십정동, 경인센타) 1층 142호",자동화 장비,070-8868-2826
869,소기업,(주)프로텍메디칼,인천광역시 부평구 새벌로 9 (청천동),"이동전화기, 의료기기,건강용품,맛사지기,찜질기, 면마스크, 공기가습 및 제습기",032-507-1130
870,소기업,(주)프리엠환경,인천광역시 부평구 새벌로 44 (청천동),포충기,02-824-3834
871,중기업,(주)프리즘,인천광역시 부평구 평천로 221(청천동),"LED 스탠드, LED 랜선, LED 가구조명, 캠핑용 선풍기",070-8858-5861
872,소기업,(주)플리츠미,"인천광역시 부평구 배곶남로21번길 21, 301,302호 (십정동)",의류,1544-9120
873,소기업,(주)피씨엠엠,"인천광역시 부평구 부평대로 283,  우림라이온스밸리 C동 1110호 (청천동)",기계설계 엔지니어링,032-623-7133
874,소기업,(주)피씨엠엠,"인천광역시 부평구 부평대로 283, C동 11층 1110호(청천동, 부평우림라이온스밸리) C동 11층 1110호","측정기구, 소프트웨어개발, 자동화설비",031-364-8707
875,소기업,(주)피에스텍,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 333호,PCB 콘트롤러,032-361-0455
876,소기업,(주)피엘에스,"인천광역시 부평구 부평대로 283, C동 12층 4호 (청천동, 부평 우림라이온스밸리)","산업용 기계장비, 산업기계",032-623-6360
877,소기업,(주)피엠피,"인천광역시 부평구 부평대로 283, B동 5층 502 (청천동, 부평 우림라이온스밸리)",포장자동화기계 등,032-623-5848
878,소기업,(주)피엠피,"인천광역시 부평구 부평대로 301, 1동 3층 318-1호,318-2호 (청천동, 남광센트렉스)",반도체 기계등,032-247-8008
879,소기업,(주)피케이엘앤에스,"인천광역시 부평구 안남로 425-16 (청천동, 영광빌딩)","전자탁자, 전자칠판, LED테블릿 모니터, 열화상카메라, 책 소독기, 텔레비전 거치대",032-552-3596
880,중기업,(주)피코그램,인천광역시 부평구 부평북로 118 (청천동),정수기 필터 및 직수형 정수기,032-678-5114
881,소기업,(주)피티에스,인천광역시 부평구 청천동 426,냉온수기,032-524-0542
882,소기업,(주)핀컴퍼니,"인천광역시 부평구 부평북로236번길 12, 1동 3층 (청천동)","의류,근무복,정복,운동복,가방,배낭,천막텐트,깃발 등",02-756-7241
883,소기업,(주)필텍정보통신,"인천광역시 부평구 부평대로 337, 5층 549호(청천동, 부평 제이타워3차 지식산업센터) 5층 549호",DVR 등,02-715-1497
884,소기업,(주)하나이엔디,"인천광역시 부평구 충선로 372, 지하1층,1층 (삼산동)","CCTV, 전광판, 방송장비, 선로변인터페이스 등 ",032-512-9898
885,소기업,(주)하나컴머셜,인천광역시 부평구 부평대로313번길 83 (청천동),용접기,032-515-6381
886,소기업,(주)하늘마음바이오,"인천광역시 부평구 부평대로 283, 외1필지 C 302호 (청천동)",소프트웨어개발,
887,소기업,(주)하영엔지니어링,"인천광역시 부평구 부평대로 337 (청천동) 1123,1124호",건축설비설계,032-505-2700
888,소기업,(주)하온아텍,인천광역시 부평구 부평북로 242 (청천동),"무대기계, 조명 외",032-506-8111
889,소기업,(주)하은정보통신,"인천광역시 부평구 부평대로 301, 3층 308-2호 (청천동, 남광센트렉스)",휴대폰 악세사리,032-208-8878
890,소기업,(주)하이드로라이프,"인천광역시 부평구 부평대로 283, C동 8층 810B,811 (청천동, 부평 우림라이온스밸리)",수소수기,032-525-9300
891,소기업,(주)하이드로훼스트,"인천광역시 부평구 부평대로 283, C동 6층 610 (청천동, 부평 우림라이온스밸리) 외 1필지","유압펌프, 유압",032-623-5015
892,소기업,(주)하이베로,"인천광역시 부평구 새벌로 14, 1층 (청천동)",핸들및콘넥터,032-508-6756
893,소기업,(주)하이베로,인천광역시 부평구 부평북로236번길 39 (청천동),"콘넥터, OP핸들, 단자대, 콘트롤스위치 등",032-508-6756
894,소기업,(주)하이비프리,"인천광역시 부평구 부평대로 337 (청천동) 121,122,633,634,635,636호","가방, 의자, 테이블(캠핑용품)",070-4742-6000
895,소기업,(주)하이오스,"인천광역시 부평구 주부토로 236, C동 7층 701,702호(갈산동, 인천테크노밸리 U1센터) C동 7층 701,702호",치과용 골이식재 등,032-1644-4823
896,소기업,(주)한강,인천광역시 부평구 안남로 425-13 (청천동),전기 조명 기구,032-672-4008
897,소기업,(주)한강다이아몬드,인천광역시 부평구 부평대로313번길 71 (청천동),다이아몬드공구,032-678-9891
898,소기업,(주)한경디자인웍스,"인천광역시 부평구 부평대로 283, A동 4층 402 A,B호 (청천동, 부평 우림라이온스밸리)",자동차부품설계,032-623-7474
899,소기업,(주)한경코퍼레이션,"인천광역시 부평구 부평북로 38, (주)한경코퍼레이션 (청천동)",소스,032-556-4791
900,소기업,(주)한국경제신문,인천광역시 부평구 평천로 247 (청천동),신문,02-360-4711
901,소기업,(주)한국바코드시스템,"인천광역시 부평구 부평대로 283, B동 3층 301호, 302호, 307호(청천동, 부평우림라이온스밸리) B동 3층 301호, 302호, 307호",라벨 및 시스템 소프트웨어,1588-8993
902,소기업,(주)한국씨앤비,인천광역시 부평구 새벌로 60 (청천동),화장품,032-613-0920
903,소기업,(주)한국케이지티콘설턴트,"인천광역시 부평구 부평대로 283, C동 11층 3호 (청천동, 부평 우림라이온스밸리)",데이터베이스설계및GPS,032-865-3066
904,소기업,(주)한국코스모,"인천광역시 부평구 부평대로 283, C동 4층 406호 (청천동, 부평 우림라이온스밸리)",통신부품,032-515-5335
905,소기업,(주)한국필립,"인천광역시 부평구 부평대로313번길 83, 2층 (청천동)","수액세트, 수혈세트, 의외약품 등",032-548-0576
906,소기업,(주)한국하우톤,"인천광역시 부평구 부평대로 283, C동 12층 03호 (청천동, 부평 우림라이온스밸리)",특수윤활유,02-3284-3400
907,소기업,(주)한국하이텍,"인천광역시 부평구 부평대로 283 (청천동, 부평 우림라이온스밸리) 씨동 5층 510B호 외 3필지",조명장치,032-623-5885
908,소기업,(주)한국하이텍,"인천광역시 부평구 부평대로 293, 부평테크시티 704호 (청천동)",소프트웨어개발,070-7510-7180
909,소기업,(주)한라인프라코어,"인천광역시 부평구 부평대로 301, 6층 614호 615호 (청천동) 6층 614호 615호","CCTV용 카메라,광스위치 및 전송장치",032-363-3577
910,소기업,(주)한밭기술,"인천광역시 부평구 부평대로 283, C동 5층 509호(청천동, 부평우림라이온스밸리) C동 5층 509호 외 3필지","증류기, 열교환기, 부스터펌프",032-556-1570
911,소기업,(주)한비메탈텍,"인천광역시 부평구 부평대로 283, 우림라이온스밸리 C동 B112호 (청천동)",쉴드캔 용기 기능성금속판,032-543-3462
912,소기업,(주)한성엠테크,인천광역시 부평구 부평대로297번길 96 (청천동),기어펌프,032-513-2360
913,소기업,(주)한영엔지니어링,인천광역시 부평구 청천마차로 136 (청천동),"VR 시뮬레이터, 전기기계",032-515-5454
914,소기업,(주)한울이앤씨,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1235,1236호",환경컨설팅,032-429-5280
915,소기업,(주)한일전자시스템,"인천광역시 부평구 새벌로 29, 부평테크노타워 6층 613호 (청천동)","CCTV분배기, CCTV유니트 등 ",032-724-8160
916,소기업,(주)한진다이케스팅,인천광역시 부평구 평천로 17 (청천동) (총 3 필지),"전자부품, 자동차부품, 기계부품",032-503-6560
