순번,회사명,공장대표주소,전화번호,팩스번호,생산품,업종명
165,(주)유유,인천광역시 계양구 서운산단로2길 50 (서운동),032-654-2460,032-654-6225,금형,주형 및 금형 제조업
166,(주)유진플랜트,인천광역시 계양구 이화남로 104 (이화동),032-551-9837,032-552-6457,정수탱크,금속탱크 및 저장용기 제조업 외 1 종
167,(주)이노디스,인천광역시 계양구 서운산단로2길 73 (서운동),032-554-2262,032-556-7759,반도체 제조용 기계 제조업,반도체 제조용 기계 제조업
168,(주)이노시뮬레이션,"인천광역시 계양구 서운산단로2길 13, 1층 오른쪽 (서운동)",02-304-9500,,시뮬레이터,그 외 기타 특수목적용 기계 제조업 외 6 종
169,(주)이솔,"인천광역시 계양구 서운산단로4길 6, B동 3층(서운동)",032-551-1724,,센서,전자부품 실장기판 제조업
170,(주)이엔텍,인천광역시 계양구 안남로458번길 13 (효성동),032-675-1501,032-675-3440,산업용 훨터,기체 여과기 제조업 외 1 종
171,(주)이엠,"인천광역시 계양구 아나지로418번길 14-2, 2층(작전동)",032-548-3359,032-554-3227,탈취제,그 외 기타 분류 안된 화학제품 제조업
172,(주)이지트로닉스,"인천광역시 계양구 서운산단로1길 19, 5층 502호 (서운동) 5층 502호",031-881-9800,,전기차충전기,기타 전기 변환장치 제조업
173,(주)이티테크,인천광역시 계양구 선주로 78 (선주지동) 외 1필지,032-547-0391,032-547-0392,전기자동제어반제조,배전반 및 전기 자동제어반 제조업
174,(주)익스톨,"인천광역시 계양구 아나지로374번길 11, 2동 2층(작전동, 성우미크론)",031-492-1853,031-492-1851,금속표면처리,도장 및 기타 피막처리업
175,(주)인티어리,"인천광역시 계양구 서운산단로4길 6, B동 3층(서운동)",02-6925-4934,,지하철 티켓 발매기 제어용 컨트롤 보드,사무용 기계 및 장비 제조업
176,(주)인화,"인천광역시 계양구 서운산단로1길 19, 4층 404호(서운동) 4층 404호",032-262-3372,,컨베이어 부품,컨베이어장치 제조업
177,(주)일렉켐,인천광역시 계양구 서운산단로4길 13 (서운동) 3층,032-505-4684,032-505-4687,가스센서전극소재,그 외 기타 전자부품 제조업
178,(주)일우전자,"인천광역시 계양구 서운산단로2길 72, 나동 3층 (서운동)",032-262-4766,02-839-4782,IPL(제모기),기타 가정용 전기기기 제조업
179,(주)재원텔레콤,"인천광역시 계양구 까치말로6번길 7, 201호 (작전동) (작전동)",032-551-5000,032-554-8400,방송장비제조업,방송장비 제조업
180,(주)정우텍,"인천광역시 계양구 서운산단로1길 19, 3층 21호(서운동) 3층 21호",032-556-6064,,"LED, 트랜스",일반용 전기 조명장치 제조업
181,(주)정우하이텍,인천광역시 계양구 계양대로16번길 93 (작전동),032-544-0624,032-544-0694,휴대폰 부품,도장 및 기타 피막처리업
182,(주)정진기전,인천광역시 계양구 아나지로 546-1 (서운동),032-679-6333,032-681-6335,배전반 및 전기자동제어반,배전반 및 전기 자동제어반 제조업
183,(주)정테크,인천광역시 계양구 서운산단로6길 5 (서운동) 6 GATE,032-542-9110,032-542-9112,금형,주형 및 금형 제조업
184,(주)제이원비주얼,인천광역시 계양구 벌말로584번길 15 (하야동),032-543-6869,032-543-6864,"간판조립, 전자제품조립",전시 및 광고용 조명장치 제조업
185,(주)제이피씨오토모티브,인천광역시 계양구 서운산단로1길 39(서운동),032-717-5575,032-232-1305,자동차용 플라스틱 부품 외,그 외 자동차용 신품 부품 제조업
186,(주)제일지공,인천광역시 계양구 아나지로 547 (서운동),032-568-4675,032-568-8228,종이상자 제조,골판지 제조업 외 1 종
187,(주)조광정밀,인천광역시 계양구 서운산단로1길 4 (서운동),032-551-2501,032-551-2504,산업기계부품,절삭가공 및 유사처리업
188,(주)조이앤조이,"인천광역시 계양구 서운산단로1길 19, 4층 407호(서운동) 4층 407호",032-322-2739,,공기압축기,기체 펌프 및 압축기 제조업
189,(주)주노물산,인천광역시 계양구 계양대로140번길 16 (작전동) 삼미빌딩 5층,032-554-2616,032-549-0225,"의류, 가방, 야영용텐트, 잡화류",남자용 겉옷 제조업 외 15 종
190,(주)주컴퍼니,인천광역시 계양구 안남로458번길 19 (효성동),070-4866-0038,032-503-0994,"현수막, 각종인쇄물",간판 및 광고물 제조업
191,(주)지앤비픽업,"인천광역시 계양구 아나지로2번길 17 (효성동, (주)지앤비픽업)",032-567-2301,032-567-2303,악기 부품 및 방송용 장비,기타 악기 제조업 외 2 종
192,(주)지앤지티씨,"인천광역시 계양구 주부토로459번길 14, 2층, 지하1층 (작전동) (총 2 필지) 외 1필지",032-561-1364,032-556-1365,장갑 및 의류 외,가방 및 기타 보호용 케이스 제조업 외 9 종
193,(주)지앤지티씨,"인천광역시 계양구 계산로111번길 5-2, 3층, 4층 (계산동)",,032-556-1365,"장갑, 의류",가방 및 기타 보호용 케이스 제조업 외 21 종
194,(주)지앤케이솔루션즈,"인천광역시 계양구 서운산단로4길 6, B동 4층(서운동)",070-7786-8245,,"전기자동차 충전기, 연기감지기",기타 전기 변환장치 제조업 외 1 종
195,(주)진성종합식품,인천광역시 계양구 아나지로 428-11 (작전동),032-545-2921,032-555-1350,"면류(칼국수,수제비 등)","면류, 마카로니 및 유사식품 제조업 외 1 종"
196,(주)창성정밀,"인천광역시 계양구 서운산단로1길 19, 3층 315호 (서운동) 3층 315호 외 1필지",032-674-8360,,금형 및 펀치,그 외 기타 금속가공업
197,(주)청도테크비즈,"인천광역시 계양구 주부토로413번길 32, 3층 (작전동)",032-553-0046,032-553-0047,"태양광도로표지병, 그레이팅",일반용 전기 조명장치 제조업 외 4 종
198,(주)청라기전,"인천광역시 계양구 서운산단로1길 19, 5층 526호(서운동) 5층 526호",032-872-2520,,분전반 및 자동제어반 제조,배전반 및 전기 자동제어반 제조업
199,(주)초원,"인천광역시 계양구 용마루5길 8, 1층 (용종동)",032-546-8351,032-546-8352,김치,김치류 제조업 외 1 종
200,(주)칠성,"인천광역시 계양구 장제로920번길 23, 2층 (병방동)",070-8255-7270,02-6008-0823,자수제품,자수제품 및 자수용재료 제조업
201,(주)칠성,"인천광역시 계양구 계산새로87번길 5, A동 401~404호(용종동, 레드몰1차)",070-8255-7270,02-6008-0823,자수제품,자수제품 및 자수용재료 제조업
202,(주)칼로스,"인천광역시 계양구 효서로 45, 지하층(효성동)",,,"기동화, 방한화, 운동화",구두류 제조업 외 1 종
203,(주)케이에스피스틸,인천광역시 계양구 서운산단로7길 4 (서운동),032-682-4328,032-682-9746,스테인리스 강대,자동차용 금속 압형제품 제조업
204,(주)케이에프통상,인천광역시 계양구 계양대로13번길 14 (작전동),1577-2583,032-555-4415,수전금구,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
205,(주)코니스,인천광역시 계양구 아나지로 431 (작전동) (주)코니스,032-555-1876,032-555-1879,완구,인형 및 장난감 제조업
206,(주)코베아,인천광역시 계양구 서운산단로1길 87 (서운동),032-555-2170,032-547-2175,이동식 부탄 연소기,그 외 기타 특수목적용 기계 제조업 외 1 종
207,(주)코스플로우,인천광역시 계양구 서운산단로2길 72 (서운동),032-422-6640,032-422-6650,반도체 제조용 기계,반도체 제조용 기계 제조업
208,(주)크라우져,인천광역시 계양구 마장로543번길 17 (효성동),032-547-7927,032-543-7928,전자피아노 등,전자 악기 제조업
209,(주)클락,"인천광역시 계양구 아나지로374번길 11, 성우미크론 6동 401호 (작전동)",032-552-0831,032-552-0832,락카키,기타 주변기기 제조업
210,(주)태성이앤에스,인천광역시 계양구 서운산단로8길 19 (서운동) 3층 1호,032-551-3871,,"LAN케이블, 칫솔살균기, 충전기",기타 가정용 전기기기 제조업 외 2 종
211,(주)태성이엠씨,"인천광역시 계양구 서운산단로3길 13, 3층 전체 및 4층 일부(서운동, (주)케이피나인)",032-326-3671,,BLDC컨트롤러,전동기 및 발전기 제조업 외 2 종
212,(주)태영이엔지,"인천광역시 계양구 서운산단로5길 11, 3층 일부 (서운동)",032-551-9570,032-677-6570,"금형가공, 자동화기계, 금속성가공제품",주형 및 금형 제조업 외 2 종
213,(주)태흥테크,"인천광역시 계양구 서운산단로1길 47, 1층, 3층 일부(서운동)",032-654-1115,,"자동화기계, 고리추, 자동차 부품",기타 가공 공작기계 제조업 외 2 종
214,(주)테크노몰드이엔지,인천광역시 계양구 서운산단로6길 5 (서운동),032-715-6445,032-715-6446,금형,주형 및 금형 제조업
215,(주)트랑고,인천광역시 계양구 아나지로 587-11 (서운동),032-555-3945,032-555-3946,가스토치류 및 등산장비,기타 운동 및 경기용구 제조업 외 5 종
216,(주)티베이시스,"인천광역시 계양구 대보로 102-7, 301호 (작전동)",032-515-9508,032-515-9510,"LED스탠드, 믹서기, 정수기부품",일반용 전기 조명장치 제조업 외 2 종
217,(주)티엔비네트웍스,인천광역시 계양구 새풀로1번길 28 (효성동),032-555-9510,032-555-9514,물티슈 등 위생용품,위생용 종이제품 제조업
218,(주)티엔테크,인천광역시 계양구 서운산단로4길 12(서운동),032-613-6139,,금형,주형 및 금형 제조업
219,(주)파워탑,인천광역시 계양구 아나지로 449 (서운동),032-549-6413,032-549-6416,핸드폰용 아답터,기타 전기 변환장치 제조업 외 1 종
220,(주)판타룩스,인천광역시 계양구 서운산단로6길 20 (서운동),032-715-7507,032-671-3401,산업용모니터,비디오 및 기타 영상기기 제조업
221,(주)패스코리아몰드,인천광역시 계양구 서운산업로 57 (서운동),032-555-0037,032-555-0039,사출 금형,주형 및 금형 제조업
222,(주)푸디아,"인천광역시 계양구 계양대로13번길 24-1 (작전동, 고미전자)",032-544-1722,032-544-1755,식품제조,김치류 제조업 외 1 종
223,(주)풍원테크,인천광역시 계양구 아나지로438번길 14 (작전동),032-542-8303,032-542-6326,개폐기부품,"전기회로 개폐, 보호장치 제조업 외 2 종"
224,(주)프로당구백화점,"인천광역시 계양구 새벌로 90, 2층(효성동, 뉴서울3차아파트)",032-544-3949,032-518-3949,당구용품,기타 오락용품 제조업
225,(주)플리츠미,"인천광역시 계양구 청안로 36-1, 2층(효성동, 케이소닉)",1544-9120,070-4325-5333,"의류, 가방, 잡화",침구 및 관련제품 제조업 외 17 종
226,(주)피스코코리아,"인천광역시 계양구 서운산단로2길 42, (주)피스코코리아(서운동)",032-327-9795,032-327-0385,"산업용로봇, 기계펌프",기체 펌프 및 압축기 제조업 외 1 종
227,(주)피씨디렉트,"인천광역시 계양구 서운산단로1길 63, B동 1층(서운동, 루멘전광주식회사)",02-785-3001,,서버 및 컴퓨터 본체,컴퓨터 제조업
228,(주)피제이전자,인천광역시 계양구 서운산단로2길 30(서운동),032-326-7000,032-326-7015,의료장비 및 자동자용 전자부품,그 외 기타 전자부품 제조업 외 1 종
229,(주)픽앤웨어,"인천광역시 계양구 봉오대로 650, 계양신협건물 6층 (작전동)",032-553-1557,032-556-1557,"가발, 헤어악세사리",가발 및 유사 제품 제조업
230,(주)필코인터내셔날,"인천광역시 계양구 장제로730번길 16 (작전동, 필코빌딩)",032-549-3532,032-552-3533,핸드폰케이스,핸드백 및 지갑 제조업
231,(주)하나로축산,인천광역시 계양구 효서로 388 (작전동),032-552-5630,032-552-5636,축산품,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
232,(주)하비스,인천광역시 계양구 효서로64번길 14 (효성동),070-7018-4491,070-7016-1216,"DIY가구재료, 맞춤가구, 목재교구",기타 목재가구 제조업 외 3 종
233,(주)한일가람,"인천광역시 계양구 아나지로418번길 14-3, 3층 (작전동)",032-553-2838,032-551-2838,엘이디스탠드,일반용 전기 조명장치 제조업
234,(주)한일오닉스,인천광역시 계양구 서운산단로2길 72 (서운동),032-349-1162,032-349-1163,"가스오븐기,가열기 등",음ㆍ식료품 및 담배 가공기계 제조업 외 5 종
235,(주)한주라이팅,"인천광역시 계양구 서운산단로1길 19, 4층 407호 (서운동) 4층 407호",032-715-8080,,LED조명기구,일반용 전기 조명장치 제조업
236,(주)해성실리콘,"인천광역시 계양구 아나지로 423 (작전동, (주)해성실리콘)",032-552-6644,0505-300-5877,실리콘 제품,합성수지 및 기타 플라스틱 물질 제조업
237,(주)현대포장,인천광역시 계양구 안남로 461 (효성동),032-547-8905,032-547-8906,비닐봉투,기타 인쇄관련 산업
238,(주)형제비에이테크,인천광역시 계양구 청안로 37 (효성동),032-547-0809,032-552-7390,휴대폰 케이스 코팅,플라스틱 접착처리 제품 제조업 외 1 종
239,(주)호재수산,인천광역시 계양구 선주로 46 (선주지동),032-554-5155,032-556-5157,냉동수산물,기타 수산동물 가공 및 저장 처리업
240,(주)홍애드,인천광역시 계양구 안남로458번길 7 (효성동),070-4355-3126,032-715-7206,"간판, 전시구조물, 부스",간판 및 광고물 제조업 외 2 종
241,(주)화인그레이팅,인천광역시 계양구 서운산업로47번길 22-2 (서운동),032-556-4152,032-547-1900,"스틸그레이팅, 가로수보호판 외",구조용 금속 판제품 및 공작물 제조업 외 1 종
242,(주)화인푸드,인천광역시 계양구 안남로457번길 16 (효성동),032-362-1033,,냉동식품,육류 기타 가공 및 저장처리업 (가금류 제외) 외 4 종
243,(주)휠트론,인천광역시 계양구 서운산단로1길 43 (서운동),032-821-3785,032-821-3784,자동차부품(필터),그 외 자동차용 신품 부품 제조업
244,(주)휴리엔,"인천광역시 계양구 서운산단로1길 67, 3층 (서운동)",032-822-7191,032-822-7192,음식물처리기,주방용 전기기기 제조업
245,(주)흥아기연,인천광역시 계양구 서운산단로1길 65 (서운동),032-675-1511,032-675-9200,"전기자동제어반, 자동포장기계 ",배전반 및 전기 자동제어반 제조업
246,(주)흥아기연 2공장,"인천광역시 계양구 서운산단로1길 63, A동 1층(서운동)",032-680-7514,,"전기자동제어반, 자동포장기계",주형 및 금형 제조업 외 3 종
247,1(주)대동시스템(제3공장),인천광역시 계양구 아나지로 352 (작전동) (총 2 필지) 외 1필지,032-813-8171,032-813-7637,콘트롤케이블,그 외 자동차용 신품 부품 제조업 외 3 종
248,CS TECH,"인천광역시 계양구 서운산단로1길 14, 3층 (서운동)",,,"회전체 Assy, 스프링",그 외 기타 분류 안된 금속 가공 제품 제조업
249,GNT,"인천광역시 계양구 서운산단로1길 19, B1층 28호(서운동) B1층 28호 외 1필지",,,금속부품,그 외 기타 분류 안된 금속 가공 제품 제조업
250,HS 아크릴,"인천광역시 계양구 서운산단로1길 19, B1층 B121호(서운동) B1층 B121호",032-684-0234,,CNC가공품,전시용 모형 제조업
251,INC,"인천광역시 계양구 봉오대로628번길 19 (효성동, 현대아파트)",032-545-1411,032-545-1417,커넥터 및 전기회로기기,"전기회로 개폐, 보호장치 제조업 외 1 종"
252,LJ코퍼레이션,"인천광역시 계양구 계산로 102, 2층 201호 (계산동, 석천빌딩)",032-201-8769,,"피혁, 섬유",그 외 기타 의복액세서리 제조업 외 4 종
253,M.K Korea,인천광역시 계양구 이화남로 103 (이화동),032-515-5505,032-547-5520,양궁핸들,기타 운동 및 경기용구 제조업 외 1 종
254,M.K Korea 2공장,인천광역시 계양구 이화남로 116 (이화동),032-515-5505,032-547-5520,양궁용품,기타 운동 및 경기용구 제조업
255,VP서비스센타,인천광역시 계양구 평리길 118-10 (평동),032-543-8110,032-543-8530,"선박, 발전기 부품 조립",내연기관 제조업 외 2 종
256,㈜비케이전자,인천광역시 계양구 서운산단로1길 67 (서운동),032-583-1561,032-583-1562,용접기,그 외 기타 전기장비 제조업
257,㈜케이피나인,인천광역시 계양구 서운산단로3길 13 (서운동),032-572-5393,032-572-5394,"밸브류, SHAFT, 베어링",그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종
258,㈜하이클린,"인천광역시 계양구 서운산단로1길 14, 나동 (서운동)",1899-7339,032-714-3262,"주방용 및 업소용 세척기, 초음파식기세척기",주방용 전기기기 제조업 외 1 종
259,거성플라스틱,인천광역시 계양구 아나지로424번길 10 (작전동),032-677-6324,032-681-6324,사출성형용기,포장용 플라스틱 성형용기 제조업
260,거영산업(주),인천광역시 계양구 아나지로98번길 9 (효성동),032-552-7130,032-552-7144,"전자부품,커넥터","전기회로 개폐, 보호장치 제조업 외 1 종"
261,거영전자,"인천광역시 계양구 계양대로13번길 16, 2층 (작전동)",032-553-3252,032-553-3247,LED관련 제품,일반용 전기 조명장치 제조업
262,경북선재(주),인천광역시 계양구 봉오대로894번길 33-25 (서운동),032-547-4465,032-548-1407,결속선,금속선 가공제품 제조업
263,경양산업,인천광역시 계양구 아나지로418번길 12 (작전동),032-545-4053,032-544-1476,일반철물및금형제조,일반철물 제조업 외 2 종
264,경우 정밀,"인천광역시 계양구 서운산단로1길 19, B1층 B108호(서운동) B1층 B108호 외 1필지",,,부품가공품,그 외 기타 금속가공업
265,경인푸드,인천광역시 계양구 까치말로5번길 13 (작전동),032-561-3894,032-561-8067,순대,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
266,계양특장,인천광역시 계양구 아나지로 449 (서운동),032-545-9664,032-545-9665,특장차,차체 및 특장차 제조업 외 1 종
267,고려FM,인천광역시 계양구 서운산단로8길 15 (서운동),032-541-7034,032-541-7037,식품가공기계,음ㆍ식료품 및 담배 가공기계 제조업
268,고미마이크로전자,"인천광역시 계양구 계양대로13번길 24-1 (작전동, 고미전자)",032-549-0396,032-549-0394,반도체(발광다이오드표시기),발광 다이오드 제조업 외 1 종
269,광성기업,인천광역시 계양구 효성동 산 608-6번지,032-505-1860,032-505-1861,기계부품가공,육상 금속 골조 구조재 제조업 외 1 종
270,광암하이테크,"인천광역시 계양구 계양대로13번길 24, 4층 일부 (작전동)",070-4102-7279,032-544-7279,미용기기,그 외 기타 전자부품 제조업 외 1 종
271,광원정밀,"인천광역시 계양구 서운산단로8길 19, 1층 및 3층 일부 (서운동)",032-681-3302,032-681-3303,사출금형,주형 및 금형 제조업
272,광일몰드테크(주),"인천광역시 계양구 아나지로 587-10 (서운동, 광일몰드테크(주))",032-543-1640,032-543-1650,금형,주형 및 금형 제조업 외 2 종
273,구민콜렉션,인천광역시 계양구 주부토로 370-1 (작전동),032-548-3934,032-546-8414,핸드폰 보호용 케이스,그 외 기타 플라스틱 제품 제조업
274,국제공업(주),인천광역시 계양구 대보로 94 (작전동),032-549-6700,032-552-6900,프레타이(건재철물),"금속 문, 창, 셔터 및 관련제품 제조업"
275,그랜드퓨터,인천광역시 계양구 새풀로 14 (효성동),032-554-0207,032-541-3353,"주석 악세사리, 주방용품",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
276,글로리라이트,"인천광역시 계양구 아나지로374번길 11, 성우프라자 5동 401호 (작전동)",032-541-3733,032-541-3731,LED 경관조명,전구 및 램프 제조업
277,금오상사,인천광역시 계양구 안남로458번길 5 (효성동),032-555-7976,032-555-7977,부품 사출성형,그 외 기타 플라스틱 제품 제조업
278,금정테크,"인천광역시 계양구 아나지로374번길 11 (작전동, 성우미크론)",032-546-9033,032-546-9034,고무패킹,주형 및 금형 제조업 외 2 종
279,기남폴리테크,인천광역시 계양구 마장로511번길 10 (효성동),032-544-0979,032-549-0979,"실리콘, 플라스틱 성형",그 외 기타 고무제품 제조업
280,기석에스앤씨(S&C),"인천광역시 계양구 아나지로438번길 16-2, 3층,4층 (작전동)",032-542-6675,032-542-2384,"핸드폰케이스, 반사경","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
281,길샘정보통신,"인천광역시 계양구 까치말로6번길 7, 2층 (작전동)",032-446-1999,032-554-1998,CCTV,방송장비 제조업
282,나무마을,"인천광역시 계양구 서운산단로1길 19, 2층 9호(서운동) 2층 9호",,,장식용 목제품,장식용 목제품 제조업
283,네취펌프코리아(주),인천광역시 계양구 서운산단로3길 14(서운동),032-716-6133,,액체펌프,액체 펌프 제조업
284,다다프린텍,"인천광역시 계양구 서운산단로1길 19, 5층 525호(서운동) 5층 525호",032-678-9585,,스티커류,스크린 인쇄업
285,다우팩,인천광역시 계양구 서운산단로1길 53 (서운동) 2동 C호,032-543-1520,,포장기계,"용기 세척, 포장 및 충전기 제조업"
286,대광산업,인천광역시 계양구 안남로458번길 15 (효성동),032-543-1993,032-543-1994,"금형, 사출",주형 및 금형 제조업
287,대길시스템,인천광역시 계양구 계양산로 143 (임학동),032-542-5158,032-542-5472,칫솔살균기 등,그 외 기타 의료용 기기 제조업 외 1 종
288,대명엔지니어링,"인천광역시 계양구 서운산단로1길 19, B1층 B113호 (서운동) B1층 B113호 외 1필지",,,금형,주형 및 금형 제조업
289,대연산업,"인천광역시 계양구 계양대로13번길 26, 4층(작전동, 부국정밀)",,032-543-4089,의류,남자용 겉옷 제조업 외 1 종
290,대원루스터(주),인천광역시 계양구 서운산단로1길 59 (서운동),032-554-3871,032-555-9099,"전자식안정기, 컨버터, 조명기구",방전램프용 안정기 제조업 외 2 종
291,대원전광(주),인천광역시 계양구 서운산단로6길 14 (서운동),032-343-0111,032-343-7189,"자동차블랙박스, 카메라모듈, 카메라모듈부품",비디오 및 기타 영상기기 제조업
292,대원전자(주),인천광역시 계양구 아나지로97번길 23 (효성동),032-547-7071,02-334-0334,전자부품,인쇄회로기판용 적층판 제조업 외 2 종
293,대원진공열처리,인천광역시 계양구 까치말로6번길 34 (작전동),032-543-2731,032-546-2734,열처리 금형제품,금속 열처리업
294,대유전자 주식회사,"인천광역시 계양구 아나지로 431, 3층 일부 (작전동, (주)대영정밀공장)",032-551-6061,032-552-1425,전자제품 부품,변압기 제조업
295,대일정공,인천광역시 계양구 서운산단로8길 19 (서운동),032-551-6992,032-551-6995,사출금형,주형 및 금형 제조업
296,대주기업,인천광역시 계양구 벌말로609번길 13-2 (하야동),032-544-6973,032-544-6975,천막카바,"천막, 텐트 및 유사 제품 제조업 외 1 종"
297,대진엘엠티(주),인천광역시 계양구 아나지로 79 (효성동),032-554-3961,032-554-3960,금형,주형 및 금형 제조업
298,대진정공ENG,"인천광역시 계양구 아나지로 20, 1층 (효성동)",032-542-6892,032-542-6983,"볼트, 너트",자동차용 금속 압형제품 제조업
299,대하산업,인천광역시 계양구 서운산업로41번길 5 (서운동),032-683-6955,032-683-6958,주방기기 등,주방용 전기기기 제조업 외 2 종
300,대한금속이엔지주식회사,인천광역시 계양구 평리길 92 (평동),032-543-2756,032-543-2763,절단 절곡 V커팅,기타 1차 비철금속 제조업
301,대한포장기계,인천광역시 계양구 서운산단로2길 62 (서운동),032-555-5740,032-555-0760,포장기계,"용기 세척, 포장 및 충전기 제조업"
302,대현,"인천광역시 계양구 아나지로374번길 11, 4층 일부 (작전동)",032-544-7435,032-544-7436,"의류(학생용품,타이)",그 외 기타 의복액세서리 제조업 외 1 종
303,대호라이팅,인천광역시 계양구 벌말로584번길 13-6 (하야동),032-672-1505,032-543-6628,조명기구,일반용 전기 조명장치 제조업 외 2 종
304,도우정밀,인천광역시 계양구 아나지로551번길 3 (서운동),032-545-8347,032-545-6743,금형,주형 및 금형 제조업
305,도일씽크,"인천광역시 계양구 청안로 40 (효성동, 도일씽크)",032-573-6657,032-573-6658,"주방씽크, 맞춤가구",주방용 및 음식점용 목재가구 제조업
306,동남특수기계,인천광역시 계양구 아나지로 569 (서운동),032-555-0903,032-555-0906,프레스자동화 설비,금속 절삭기계 제조업
307,동수섬유,"인천광역시 계양구 아나지로 87, B102 (효성동)",032-542-1662,032-542-1663,양말,스타킹 및 기타 양말 제조업
308,동신금속,인천광역시 계양구 서운산단로1길 35 (서운동) 2층 일부,032-675-2818,032-552-2819,공기조화장치 등,공기 조화장치 제조업 외 2 종
309,동신부로아(주),인천광역시 계양구 서운산단로1길 35 (서운동),032-675-2818,032-552-2819,자동차부품,그 외 자동차용 신품 부품 제조업 외 1 종
310,동아베스텍(주),"인천광역시 계양구 서운산단로5길 6(서운동, 동아베스텍(주))",032-675-0081,032-674-2893,"터미널,스텐타이,밴드후프,그랜드 등",자동차용 금속 압형제품 제조업 외 4 종
311,동양FA,"인천광역시 계양구 서운산단로1길 19, 3층 311호(서운동) 3층 311호",032-551-0383,,자동제어반,배전반 및 전기 자동제어반 제조업
312,동양정공사,인천광역시 계양구 마장로511번길 8 (효성동),032-548-5856,032-547-6747,"환풍기, 송풍기, 펌프",기체 여과기 제조업
313,동주산기(주),인천광역시 계양구 아나지로418번길 14 (작전동),032-548-2255,050-5325-4004,자동차설비,금속탱크 및 저장용기 제조업 외 2 종
314,동현테크노,인천광역시 계양구 이화남로 106 (이화동),032-347-3810,032-347-3811,통신부품,기타 무선 통신장비 제조업
315,동화프리모(주),인천광역시 계양구 서운산단로2길 72 (서운동) 가동 3층,031-988-1421,031-988-1431,상업용 주방 기구,금속 위생용품 제조업
316,두리ENG,"인천광역시 계양구 서운산단로1길 19, 4층 23호(서운동) 4층 23호",032-555-8630,,오일필터 기계부품,액체 여과기 제조업
317,두산발전기,인천광역시 계양구 평리길 118-10 (평동),032-556-9549,032-556-9549,발전기,전동기 및 발전기 제조업
318,두성실리콘,"인천광역시 계양구 서운산단로1길 19, 3층 307호(서운동) 3층 307호 외 1필지",,,장난감,인형 및 장난감 제조업
319,두양정밀,인천광역시 계양구 까치말로6번길 12 (작전동),032-555-3234,032-555-3235,"부르기금형, 사출금형",주형 및 금형 제조업
320,두원하이텍,인천광역시 계양구 아나지로85번길 7 (효성동),032-552-6634,032-552-6636,반도체 제조장비,주형 및 금형 제조업
321,디소마 1588,인천광역시 계양구 까치말로5번길 13-1 (작전동),032-544-1288,032-555-7867,남녀 기능성 구두,구두류 제조업
322,디자인아트고광균,"인천광역시 계양구 장제로 922, 202호(병방동)",032-555-8822,032-541-0693,"광고물, 현수막, 전시대 등",간판 및 광고물 제조업 외 6 종
323,루멘전광(주),인천광역시 계양구 서운산단로1길 63 (서운동) 루멘전광주식회사,032-583-0511,032-583-0513,"컨버터, 안정기, LED램프, 조명기구",전구 및 램프 제조업 외 2 종
324,루민(주),"인천광역시 계양구 아나지로97번길 14, 2층 (효성동)",032-555-8841,032-555-8842,"형광등용 안정기, 컨버터 등기구",일반용 전기 조명장치 제조업 외 2 종
325,루민(주),인천광역시 계양구 서운산단로1길 59 (서운동) A동 4층,032-555-8841,032-555-8842,조명기구 등,일반용 전기 조명장치 제조업 외 2 종
326,명도시스템,인천광역시 계양구 아나지로551번길 5 (서운동),032-555-8555,032-555-5512,전자부품,그 외 기타 전자부품 제조업 외 1 종
327,명성정밀,"인천광역시 계양구 서운산단로1길 19, B1층 B115호(서운동) B1층 B115호 외 1필지",032-683-0174,,부품가공품,그 외 기타 금속가공업
328,명성효다계기(주),인천광역시 계양구 서운산단로6길 15(서운동),032-326-8968,032-326-8975,압력계,"물질 검사, 측정 및 분석기구 제조업"
329,명지시스템,인천광역시 계양구 서운산업로50번길 9(서운동),032-564-1074,032-564-1075,PL창호,플라스틱 창호 제조업
330,모닝에버식품,인천광역시 계양구 장제로863번길 9 (임학동),032-548-1791,032-548-1891,"냉장탕, 육계장등",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종
331,무석정밀,"인천광역시 계양구 아나지로374번길 11 (작전동, 성우미크론)",032-552-3407,032-552-3408,금형,주형 및 금형 제조업
332,무지개도장,인천광역시 계양구 아나지로418번길 7 (작전동),032-555-7117,032-555-7118,부품도장,도장 및 기타 피막처리업
333,미라화장품(주),인천광역시 계양구 안남로489번길 10 (효성동),032-548-7921,032-548-7925,"기초,샴푸",화장품 제조업
334,미르일렉트로닉스,"인천광역시 계양구 서운산단로1길 19, 3층 306호 (서운동) 3층 306호",032-551-1147,,CCTV,방송장비 제조업
335,미진산업,인천광역시 계양구 아나지로 428-6 (작전동),032-651-8585,032-554-0616,"오일쿨러, 가구부품",그 외 기타 특수목적용 기계 제조업 외 1 종
336,바스몽,"인천광역시 계양구 계양산로 161, 2층 (임학동)",,032-555-5009,강아지 입욕제,화장품 제조업 외 1 종
337,바스텍앤오로나엘리베이터(주),인천광역시 계양구 서운산단로7길 19 (서운동),032-328-9020,,승강기,승강기 제조업
