순번,회사명,생산품,업종명,공장대표주소(도로명),전화번호,데이터기준일자
1046,(주)우딘,"도어, 문틀, 창틀, 플라스틱 창호",목재문 및 관련제품 제조업 외 1 종,인천광역시 서구 북항배후로 30(원창동),032-583-0160,2025-04-02
1047,(주)우리,주물사,그 외 기타 분류 안된 비금속 광물제품 제조업 외 3 종,"인천광역시 서구 사렴로31번길 6, 4블럭5로트 (경서동)",032-564-2071,2025-04-02
1048,(주)우리기공,금형,인쇄 및 제책용 기계 제조업,"인천광역시 서구 도담로 42, 5동 (오류동)",,2025-04-02
1049,(주)우리기술,"폐쇄회로 텔레비젼 시스템, CCTV,계장제어장치",방송장비 제조업 외 1 종,"인천광역시 서구 가남로 61, 2층 218호 (가좌동, 토지산업2차 지식산업센터) 2층 218호",070-4233-3494,2025-04-02
1050,(주)우리선테크,인쇄회로기판 도금,인쇄회로기판용 적층판 제조업,인천광역시 서구 검단천로356번길 31 (오류동),032-579-6176,2025-04-02
1051,(주)우리세정,파이프피막처리,도장 및 기타 피막처리업,인천광역시 서구 도담2로 16(오류동),032-822-7933,2025-04-02
1052,(주)우리식품,참소스,천연 및 혼합조제 조미료 제조업,인천광역시 서구 소담1로 35(금곡동),070-7602-5514,2025-04-02
1053,(주)우리아이들플러스,"종이 포장재, 화장품","적층, 합성 및 특수표면처리 종이 제조업 외 1 종","인천광역시 서구 보듬1로 40, 3동 (오류동)",070-7736-6369,2025-04-02
1054,(주)우리아이티,"CCTV,전광판,계장",방송장비 제조업 외 2 종,"인천광역시 서구 가남로 61, A동 2층 219 (가좌동, 토지산업2차 지식산업센터)",032-577-3494,2025-04-02
1055,(주)우리아이티,CCTV 및 방송장비,방송장비 제조업,"인천광역시 서구 파랑로 495, 1동 416호 (청라동) 1동 416호",032-577-3494,2025-04-02
1056,(주)우리알미늄,알미늄샷시,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",인천광역시 서구 봉수대로501번길 12 (원창동),032-577-5550,2025-04-02
1057,(주)우리찬,"천연조미료, 시리얼, 해조류가공식품, 조청, 비빔장",천연 및 혼합조제 조미료 제조업 외 4 종,인천광역시 서구 보도진로42번길 10 (가좌동),032-583-2300,2025-04-02
1058,(주)우림산업,"산업용 냉동기, 산업용 냉동기",산업용 냉장 및 냉동 장비 제조업,"인천광역시 서구 건지로97번길 61, 1층 (석남동)",032-1544-5071,2025-04-02
1059,(주)우민테크,금속악세사리,도금업 외 1 종,"인천광역시 서구 가람로 14, 지식산업센터 405호 (오류동)",032-816-1453,2025-04-02
1060,(주)우석엔프라,"금형제조.플라스틱,베어링부품 등",주형 및 금형 제조업 외 1 종,인천광역시 서구 가재울로 43-8 (가좌동),032-715-6333,2025-04-02
1061,(주)우성에이스,인터쿨러(차량용 냉각기),그 외 자동차용 신품 부품 제조업,인천광역시 서구 도담4로 19 (오류동),032-811-1514,2025-04-02
1062,(주)우아,태블릿PC충전함 외,기타 전기 변환장치 제조업,인천광역시 서구 사렴로31번길 24(경서동),,2025-04-02
1063,(주)우영실업,"LED제품.위생용,저장용플라스틱제품",주형 및 금형 제조업 외 1 종,인천광역시 서구 봉수대로501번길 46 (원창동) 외 2필지,032-501-1980,2025-04-02
1064,(주)우영테크놀로지,동축 케이블,기타 절연선 및 케이블 제조업,"인천광역시 서구 백범로 611,  (가좌동) 1동 6층 620호",032-435-3935,2025-04-02
1065,(주)우일금속,자동문 개폐장치(자동차용),그 외 자동차용 신품 부품 제조업 외 4 종,인천광역시 서구 보도진로73번길 6 (가좌동) 외 1필지,032-579-5537,2025-04-02
1066,(주)우일엔지니어링,역삼투압정수설비,액체 여과기 제조업 외 4 종,"인천광역시 서구 봉수대로 141, 3호 (가좌동)",032-583-0902,2025-04-02
1067,(주)우진비앤비,반도체 제조용 기계,반도체 제조용 기계 제조업,인천광역시 서구 가정로48번길 14 (가좌동),032-576-2037,2025-04-02
1068,(주)우진에프엠씨,산업용 송풍기,산업용 송풍기 및 배기장치 제조업,인천광역시 서구 원전로 16(경서동),032-562-2505,2025-04-02
1069,(주)우진정공,자동차부품,그 외 자동차용 신품 부품 제조업,인천광역시 서구 가정로37번길 14(가좌동),032-507-8665,2025-04-02
1070,(주)우진지엠씨,원통연삭기,금속 절삭기계 제조업,인천광역시 서구 건지로121번길 31 (석남동),032-575-3374,2025-04-02
1071,(주)우진테크,"철도 차량용 부품, 냉방장치, 배기장치",철도차량 부품 및 관련 장치물 제조업 외 2 종,인천광역시 서구 보도진로 100-17 (가좌동),032-678-1386,2025-04-02
1072,(주)우진티엠씨,산업기계,그 외 기타 특수목적용 기계 제조업 외 2 종,"인천광역시 서구 원전로 16 (경서동, 우진기계)",032-562-2500,2025-04-02
1073,(주)울파인,초음파 마사지기,기타 가정용 전기기기 제조업 외 1 종,"인천광역시 서구 백범로 611,  (가좌동) 1동 10층 1017호",032-574-7174,2025-04-02
1074,(주)워니코프,"믹서기, 청소기",주방용 전기기기 제조업 외 1 종,"인천광역시 서구 사렴로53번길 5 (경서동, 가동)",032-549-1061,2025-04-02
1075,(주)워터세이빙,"수도꼭지, 샤워기노즐","탭, 밸브 및 유사장치 제조업",인천광역시 서구 봉수대로 1548-29 (금곡동),032-565-3632,2025-04-02
1076,(주)워터세이빙(지점),"샤워헤드,샤워줄,욕실용품,주방용품","탭, 밸브 및 유사장치 제조업",인천광역시 서구 검단로326번길 45-1 (왕길동),032-565-3632,2025-04-02
1077,(주)원광에스앤티,태양광발전시스템,전동기 및 발전기 제조업,인천광역시 서구 봉수대로183번길 12-1 (가좌동),032-715-5885,2025-04-02
1078,(주)원디자인,가구,기타 목재가구 제조업,인천광역시 서구 장고개로 125 (가좌동) 2층 / 204호,032-576-9810,2025-04-02
1079,(주)원썬,산업용 로봇,산업용 로봇 제조업,인천광역시 서구 사렴로9번길 25-1(경서동),032-568-7815,2025-04-02
1080,(주)원영기공,"디젤엔진용 흡입관, 하우징, 오일팬 등",절삭가공 및 유사처리업,인천광역시 서구 도담로 29 (오류동),032-566-6244,2025-04-02
1081,(주)원영산업,저장용플라스틱탱크,설치용 및 위생용 플라스틱제품 제조업,"인천광역시 서구 두루물로96번길 17 (오류동, (주)원영산업)",032-565-9726,2025-04-02
1082,(주)원우이엔지,"금형개발, 방송장비제조",주형 및 금형 제조업 외 1 종,"인천광역시 서구 보듬로 121, 2동 (오류동)",02-3665-3200,2025-04-02
1083,(주)원일법랑,도장,도장 및 기타 피막처리업 외 1 종,"인천광역시 서구 가재울로32번길 15 (가좌동, 원일법랑(주))",032-817-6836,2025-04-02
1084,(주)원일산업,"화장품 용기, 방독면 부품",포장용 플라스틱 성형용기 제조업 외 1 종,인천광역시 서구 장고개로 200 (가좌동),032-507-5911,2025-04-02
1085,(주)원창,목재관련제품,목재문 및 관련제품 제조업 외 1 종,"인천광역시 서구 원당대로246번길 36 (오류동, (주)원창)",032-562-2770,2025-04-02
1086,(주)원창정밀,펌프카바,알루미늄주물 주조업,인천광역시 서구 경서동번지,032-561-6291,2025-04-02
1087,(주)원창테크,알루미늄 부품 가공,절삭가공 및 유사처리업,인천광역시 서구 검단로54번길 25(오류동),032-561-6244,2025-04-02
1088,(주)원탑,다이아몬드 절삭공구,톱 및 호환성 공구 제조업,인천광역시 서구 거북로 25-40 (석남동),032-572-8073,2025-04-02
1089,(주)원탑플레이팅,도금품,도금업,"인천광역시 서구 중봉대로240번길 24, 2층 204호(석남동) 2층 204호",032-578-2007,2025-04-02
1090,(주)원텍코리아,철재가공품,절삭가공 및 유사처리업,"인천광역시 서구 사렴로10번길 30 (경서동, (주)극동주공)",032-678-5653,2025-04-02
1091,(주)원플라텍,"화장품, 샴푸용기",포장용 플라스틱 성형용기 제조업,인천광역시 서구 장고개로231번안길 11 (가좌동),032-576-4839,2025-04-02
1092,(주)월드방진,방진가대(펌프베이스),구조용 금속 판제품 및 공작물 제조업,인천광역시 서구 보도진로 15-7 (가좌동),032-574-8481,2025-04-02
1093,(주)월드싸운드,전자엠프,기타 음향기기 제조업,"인천광역시 서구 거북로 17, 나동 517호(석남동, 인천테크피아) 나동 517호 외 1필지",032-578-6750,2025-04-02
1094,(주)월드오에이,사무용 목재 가구(책상),기타 목재가구 제조업,인천광역시 서구 건지로121번길 17 (석남동),032-577-8008,2025-04-02
1095,(주)월드인텍,배전반외,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 사렴로43번길 17 (경서동, 1동)",032-507-5261,2025-04-02
1096,(주)월드콘트롤스,자동밸브,"탭, 밸브 및 유사장치 제조업",인천광역시 서구 건지로86번길 42 (가좌동) C동 106호,032-710-5077,2025-04-02
1097,(주)웰뷰텍,가정용 맛사지기,그 외 기타 의료용 기기 제조업,"인천광역시 서구 백범로677번길 9 (가좌동, 1동) (총 2 필지) 외 1필지",032-870-0911,2025-04-02
1098,(주)웰크론,"섬유제품,침구,마스크 등",그 외 기타 분류 안된 섬유제품 제조업,인천광역시 서구 가좌동 543-11번지,02-2107-6757,2025-04-02
1099,(주)위너이엔지,"항온항습기, 정밀시험기기",공기 조화장치 제조업 외 1 종,"인천광역시 서구 누리로 32, 1동 (오류동)",032-561-2811,2025-04-02
1100,(주)위더스씨앤티,"건축용난간, 브라켓",그 외 기타 금속가공업,인천광역시 서구 사월로 7 (왕길동),032-565-7750,2025-04-02
1101,(주)위드식품,"김치류, 절임류",김치류 제조업 외 1 종,인천광역시 서구 가정로68번길 6 (가좌동),032-573-2406,2025-04-02
1102,(주)위드지스,알루미늄창호,"금속 문, 창, 셔터 및 관련제품 제조업",인천광역시 서구 북항로 235 (원창동),032-262-4646,2025-04-02
1103,(주)위드테크,도금,도금업,"인천광역시 서구 중봉대로198번길 33, A동 202호(가좌동)",032-579-4156,2025-04-02
1104,(주)위드퍼,목재가구,주방용 및 음식점용 목재가구 제조업 외 2 종,인천광역시 서구 봉수대로 1580 (금곡동) (총 2 필지),032-446-5364,2025-04-02
1105,(주)위스E&C,"방열판, 절삭가공제품",절삭가공 및 유사처리업,인천광역시 서구 봉화로101번길 6 (오류동),032-565-5671,2025-04-02
1106,(주)위즈테크,전자피아노 건반,전자 악기 제조업,"인천광역시 서구 봉수대로 196, 2층 일부 (가좌동)",032-576-7041,2025-04-02
1107,(주)위즈퍼니쳐,"싱크대, 캐비넷",기타 목재가구 제조업,"인천광역시 서구 가재울로32번길 28(가좌동, (주)대기정밀)",,2025-04-02
1108,(주)위치위치,운동기구(파워랙),"체조, 육상 및 체력단련용 장비 제조업",인천광역시 서구 호두산로58번길 48 (경서동),,2025-04-02
1109,(주)유니슨,금형,주형 및 금형 제조업,"인천광역시 서구 보듬로 158,(오류동, 블루텍) 1동 5층 523호",,2025-04-02
1110,(주)유니크,철구조물,그 외 기타 금속가공업,인천광역시 서구 도담5로 77(오류동),032-561-8369,2025-04-02
1111,(주)유니테크,방전기,전자 응용 절삭기계 제조업,인천광역시 서구 원창동 408-8번지,032-516-9844,2025-04-02
1112,(주)유니팩시스템,"유압기계, 일반산업용기계",그 외 기타 일반목적용 기계 제조업 외 6 종,인천광역시 서구 검단로54번길 35 (오류동),032-577-8166,2025-04-02
1113,(주)유림원색,"도금품, 그리바아 인쇄용 롤러",도금업 외 1 종,인천광역시 서구 길주로45번길 17-3 (석남동),032-574-8511,2025-04-02
1114,(주)유림임업,"각재,판재",일반 제재업,"인천광역시 서구 봉수대로161번길 37 (가좌동, 2동)",032-576-3160,2025-04-02
1115,(주)유비쿼터스시스템,"LED Power Module, 조명, Lamp, 다운라이트, SMT, 음이온 공기청정기",전자부품 실장기판 제조업 외 1 종,"인천광역시 서구 백범로910번길 49-8, 2층, 일부 (가좌동)",032-674-7818,2025-04-02
1116,(주)유신에코,"빨대, 멀칭필름","플라스틱 선, 봉, 관 및 호스 제조업 외 2 종",인천광역시 서구 도담로 7(오류동),032-564-2452,2025-04-02
1117,(주)유앤디시스템,목재가구도어,기타 목재가구 제조업,"인천광역시 서구 염곡로15번길 17-1, 101호 일부(가좌동, 드레곤밸리 아파트형공장)",032-581-0446,2025-04-02
1118,(주)유에스씨,"디자인울타리, 조명논슬립바",구조용 금속 판제품 및 공작물 제조업 외 3 종,인천광역시 서구 한서로 66 (백석동),032-712-8120,2025-04-02
1119,(주)유에스씨,"천연목재, 데크자재",놀이터용 장비 제조업 외 1 종,인천광역시 서구 한서로 68(백석동),032-715-8120,2025-04-02
1120,(주)유원,"제재목(산업용, 건축용)",일반 제재업 외 1 종,인천광역시 서구 로봇랜드로249번길 46-39(청라동),032-583-2262,2025-04-02
1121,(주)유원기술,"공기조화장치(환기유니트), 금속압형제품",공기 조화장치 제조업 외 2 종,인천광역시 서구 북항로177번길 30 (원창동),032-575-0204,2025-04-02
1122,(주)유원테크,반도체장비부품,반도체 제조용 기계 제조업,"인천광역시 서구 백범로 681, 609호(가좌동, 스마트테크노타워) 609호 외 1필지",032-240-4211,2025-04-02
1123,(주)유일실업,조화,전시용 모형 제조업,인천광역시 서구 가좌로29번길 7 (가좌동),032-578-3121,2025-04-02
1124,(주)유일이앤지,자동제어판넬,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 파랑로 495, 1동 431호 (청라동) 1동 431호",032-724-9357,2025-04-02
1125,(주)유일전자,휴대폰 카메라 부품,그 외 기타 전자부품 제조업,"인천광역시 서구 가재울로32번길 36 (가좌동, 1동)",032-584-0603,2025-04-02
1126,(주)유진스틸,"고철압축품,운송대차",금속류 해체 및 선별업 외 2 종,인천광역시 서구 보듬1로 44 (오류동),032-563-6447,2025-04-02
1127,(주)유진쏘앤스틸,톱,톱 및 호환성 공구 제조업,인천광역시 서구 보도진로30번길 9 (가좌동),032-581-8877,2025-04-02
1128,(주)유진테크솔루션,"인쇄물, 플라스틱 성형사출품","플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 2 종",인천광역시 서구 건지로97번길 33-13(석남동),032-504-0572,2025-04-02
1129,(주)유진파우리,산업용리프트 감속기,기어 및 동력전달장치 제조업,인천광역시 서구 가정로47번길 23 (가좌동),032-571-1767,2025-04-02
1130,(주)유창씨엠아이,건설기계용 트랙체인,기어 및 동력전달장치 제조업,인천광역시 서구 가정로37번길 53 (가좌동),032-582-1435,2025-04-02
1131,(주)유한이엘피,엘리베이터부품,승강기 제조업,"인천광역시 서구 봉수대로182번길 16 (가좌동, 유한 엘리베이터 부품(주))",032-584-9517,2025-04-02
1132,(주)유한이엘피,엘리베이터 부품,승강기 제조업,인천광역시 서구 가정로 24 (가좌동),032-584-9517,2025-04-02
1133,(주)유한팀버,제재목,일반 제재업,인천광역시 서구 북항로 76-38 (원창동),032-584-6639,2025-04-02
1134,(주)유현,파이프 제작 가공품,그 외 기타 금속가공업,"인천광역시 서구 가좌로 54, (가좌동, 주안비티센터2차) 1동 5층 512호",032-465-7653,2025-04-02
1135,(주)유화바이오코스메틱,화장품,화장품 제조업,"인천광역시 서구 백범로 619,  (가좌동) 1동 8층 808호",032-433-1577,2025-04-02
1136,(주)유환기계앤드손,반도체 기계 부품,반도체 제조용 기계 제조업,인천광역시 서구 마중로 180 (오류동),032-565-2514,2025-04-02
1137,(주)율산기업,"전선케이블,전기용기계장비",도금업 외 1 종,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 1층 103호,032-261-5394,2025-04-02
1138,(주)은성일렉콤,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 원창로 61-11 (원창동) (총 3 필지),032-577-8713,2025-04-02
1139,(주)은해씨월드,"갈치, 고등어, 가자미 등",수산동물 건조 및 염장품 제조업,인천광역시 서구 소담로 51 (금곡동),032-565-2496,2025-04-02
1140,(주)은호명가,꼬리곰탕,도시락류 제조업 외 1 종,"인천광역시 서구 보듬로 158, 8층 검단지식산업센터 블루텍 828호 (오류동) 외 1필지",,2025-04-02
1141,(주)이노레스씰,"O-Ring, Gasket 등",주형 및 금형 제조업 외 1 종,"인천광역시 서구 석남로 19, (일부) (석남동)",032-584-7878,2025-04-02
1142,(주)이노뷰텍,휴대폰부품,이동전화기 제조업,인천광역시 서구 가좌로95번길 54 (가좌동),032-583-7200,2025-04-02
1143,(주)이노센트전자,전자부품,"전기회로 개폐, 보호장치 제조업",인천광역시 서구 가정로16번길 10(가좌동),032-584-8124,2025-04-02
1144,(주)이노웍스,스마트폰 보호케이스,기타 기계.장비 조립용 플라스틱 제품 제조업,인천광역시 서구 마중로 41 (오류동),032-574-9094,2025-04-02
1145,(주)이노테크파워,"판넬자동제어반,제어판넬,컨트롤 MCC 판넬",배전반 및 전기 자동제어반 제조업,"인천광역시 서구 원당대로 848, 603-1(당하동, 유일프라자)",032-569-0015,2025-04-02
1146,(주)이더멜라민,플라스틱 식기류,그 외 기타 플라스틱 제품 제조업,인천광역시 서구 누리로 8 (오류동),ARS-1544-5548,2025-04-02
1147,(주)이더멜라민,플라스틱 멜라민 수지 식기류,그 외 기타 플라스틱 제품 제조업,인천광역시 서구 오류동 1611-11번지 외 1필지,031-8049-2077,2025-04-02
1148,(주)이든,"렌즈, 회전타격장치",광학렌즈 및 광학요소 제조업 외 1 종,"인천광역시 서구 보듬로 158, 8층 검단지식산업센터 블루텍 824호 (오류동)",032-569-2061,2025-04-02
1149,(주)이디비젼,산업용 디스플레이,액정 표시장치 제조업,"인천광역시 서구 가좌로83번길 28, 1층, 2층 (가좌동)",032-816-5119,2025-04-02
1150,(주)이디세븐,열펌프류 냉난방기기,공기 조화장치 제조업,인천광역시 서구 보듬8로 15 (오류동),032-524-7372,2025-04-02
1151,(주)이디인터내셔날,조명기구,전시 및 광고용 조명장치 제조업 외 1 종,인천광역시 서구 건지로 98-103 (가좌동),032-710-0113,2025-04-02
1152,(주)이랜시스,"비데용 댐퍼, 도어락용 모티스, 정수기용 펌프모터",그 외 기타 전자부품 제조업,인천광역시 서구 파랑로466번길 30 (청라동),032-573-7542,2025-04-02
1153,(주)이레금속,악세사리,도금업 외 1 종,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 6층 611호,032-571-1284,2025-04-02
1154,(주)이림모던스,"자동차시트카바, 애완용품(카시트)",자동차용 신품 의자 제조업 외 2 종,"인천광역시 서구 가정로87번길 7, 3층(가좌동, (주)이림모던스)",032-575-1635,2025-04-02
1155,(주)이씨오,"AC모터,DC모터",전동기 및 발전기 제조업 외 2 종,"인천광역시 서구 백범로934번길 15, 2층 208,209,210,211 (가좌동, 대덕테크노타운)",032-578-6095,2025-04-02
1156,(주)이씨텍,도금약품,그 외 기타 분류 안된 화학제품 제조업,"인천광역시 서구 가람로 14, 3층 인천표면처리센터 코아텍 301호 (오류동)",,2025-04-02
1157,(주)이앤지파워,발전기용 디젤엔진,내연기관 제조업,인천광역시 서구 마중4로 29(오류동),032-715-6683,2025-04-02
1158,(주)이어텍,"사물함,보관함,가구, 자동판매기",금속 가구 제조업 외 1 종,"인천광역시 서구 가석로 30, 8층 820 (가좌동) 8층 820호",032-565-0095,2025-04-02
1159,(주)이엔코리아,환경계측기,"물질 검사, 측정 및 분석기구 제조업","인천광역시 서구 원창로 34, 3층 (원창동)",032-571-5694,2025-04-02
1160,(주)이엘기전,자동차부품,그 외 자동차용 신품 부품 제조업 외 3 종,"인천광역시 서구 가남로 61, 토지산업2차 지식산업센터 A/120호 (가좌동)",032-576-6169,2025-04-02
1161,(주)이엘산업,PVC덕트(관),"플라스틱 선, 봉, 관 및 호스 제조업","인천광역시 서구 로봇랜드로249번길 132-1, 청라동 11-41 (경서동)",032-582-7733,2025-04-02
1162,(주)이엠씨씨,승강기용 버튼,"전기회로 개폐, 보호장치 제조업",인천광역시 서구 탁옥로51번길 13-12 (심곡동),032-521-7661,2025-04-02
1163,(주)이엠씨씨,"승강기용버튼스위치, 카운전반,제어반","전기회로 개폐, 보호장치 제조업 외 1 종",인천광역시 서구 파랑로466번길 71(청라동),032-521-7661,2025-04-02
1164,(주)이예스 ,인쇄회로기,인쇄회로기판용 적층판 제조업 외 2 종,"인천광역시 서구 가정로47번길 4, C동 1층 101,201 (가좌동)",032-576-7542,2025-04-02
1165,(주)이오스시스템,"초음파식기세척기, 업소용 초음파 튀김기, 일반용음식물처리기",그 외 기타 전기장비 제조업 외 3 종,인천광역시 서구 건지로97번길 33-33 (석남동),02-1599-2077,2025-04-02
1166,(주)이오시스템,"망원경,관측장비",무기 및 총포탄 제조업 외 4 종,인천광역시 서구 가재울로 38 (가좌동),032-290-1400,2025-04-02
1167,(주)이온폴리스,"샤워기 ,주방수전, 세면대 등 각종 필터",설치용 및 위생용 플라스틱제품 제조업 외 1 종,"인천광역시 서구 가정로77번길 28, 1층(일부), 3층 (가좌동)",070-5101-2420,2025-04-02
1168,(주)이용전기,배전반,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 염곡로15번길 24 (가좌동, (주)이용전기)",032-584-7611,2025-04-02
1169,(주)이원아트,자동차부품,그 외 자동차용 신품 부품 제조업 외 4 종,인천광역시 서구 장고개로117번길 50 (가좌동),032-528-0047,2025-04-02
1170,(주)이유씨엔씨,친환경 단차열 도료,일반용 도료 및 관련제품 제조업,"인천광역시 서구 보듬로 158,(오류동, 블루텍) 1동 6층 627호 외 1필지",032-566-0350,2025-04-02
1171,(주)이지네트웍스,"공기청정기,공기조화기",기체 여과기 제조업 외 1 종,인천광역시 서구 중봉대로396번길 12 (원창동) 2층,02-1588-2230,2025-04-02
1172,(주)이지시스템,"포장기계, 계량기계","용기 세척, 포장 및 충전기 제조업",인천광역시 서구 장고개로243번길 19 (가좌동) (주)이지시스템,032-584-3330,2025-04-02
1173,(주)이지아이다이아몬드,산업용다이아몬드공구,분말 야금제품 제조업,인천광역시 서구 원창로89번길 18 (원창동),032-581-3013,2025-04-02
1174,(주)이지엠케이엔씨,"주방가구,아파트가구",기타 목재가구 제조업,인천광역시 서구 북항로245번길 4 (원창동),032-574-2336,2025-04-02
1175,(주)이지콜렉션,가방(캐리어),가방 및 기타 보호용 케이스 제조업,인천광역시 서구 가정로151번길 29 (가좌동),032-505-1492,2025-04-02
1176,(주)이퀘스트,여성 블라우스 및 바지,"근무복, 작업복 및 유사의복 제조업 외 2 종",인천광역시 서구 백범로701번길 6 (가좌동),032-583-8899,2025-04-02
1177,(주)이투인,"멀티콘센트,조명등",일반용 전기 조명장치 제조업 외 1 종,"인천광역시 서구 거북로 25-50, B동 2층 (석남동)",032-577-0940,2025-04-02
1178,(주)이푸,"샤워기 외 욕실, 주방 필터, 도로표지병 등",설치용 및 위생용 플라스틱제품 제조업 외 1 종,"인천광역시 서구 가정로77번길 28, 2층 (가좌동)",070-4762-5400,2025-04-02
1179,(주)이화기업,금속가공,그 외 기타 금속가공업,"인천광역시 서구 백범로 681, 스마트테크노타워 714호 (가좌동)",032-574-1170,2025-04-02
1180,(주)익산유압,유업밸브,"탭, 밸브 및 유사장치 제조업",인천광역시 서구 봉수대로183번길 7 (가좌동),032-573-0781,2025-04-02
1181,(주)인공지능과사람들,"산업용로봇제어시스템, 인공지능로봇 등",산업용 로봇 제조업 외 2 종,"인천광역시 서구 로봇랜드로 155-11, 501호(청라동, 로봇랜드 로봇지원센터)",031-628-5350,2025-04-02
1182,(주)인바이어플랜텍,토양오염복원기계 등 산업기계,그 외 기타 특수목적용 기계 제조업 외 1 종,"인천광역시 서구 중봉대로240번길 10, 다동 (석남동)",032-571-0957,2025-04-02
1183,(주)인성변압기,변압기,변압기 제조업,인천광역시 서구 검단로379번길 17 (왕길동),032-561-1320,2025-04-02
1184,(주)인성시스템,주파수변환기기,전동기 및 발전기 제조업,인천광역시 서구 장고개로126번길 16 (가좌동),032-581-5551,2025-04-02
1185,(주)인성우드,합판,"박판, 합판 및 유사 적층판 제조업",인천광역시 서구 사렴로43번길 10 (경서동),032-569-1607,2025-04-02
1186,(주)인성테크닉,"옷걸이, 기계부품",도금업,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 1층 110호,032-576-5104,2025-04-02
1187,(주)인성테크닉,건설자재,도금업,"인천광역시 서구 가람로 14,(오류동, 인천표면처리센터 요진코아텍) 1동 2층 222호 외 1필지",032-576-5104,2025-04-02
1188,(주)인우목공기계,목공기계,기타 가공 공작기계 제조업,인천광역시 서구 마중로 76 (오류동),032-566-6667,2025-04-02
1189,(주)인우이엔씨 인천공장,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 도담6로 10 (오류동),032-590-1205,2025-04-02
1190,(주)인천아스콘,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 건지로153번길 25-13 (석남동),032-574-4414,2025-04-02
1191,(주)인천테크,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 봉수대로 290 (석남동),032-572-1331,2025-04-02
1192,(주)인카,"낚시대, 낚시용품",낚시 및 수렵용구 제조업,"인천광역시 서구 봉수대로277번길 5-2, B동 2층 (석남동)",,2025-04-02
1193,(주)인코스,화장품,화장품 제조업,인천광역시 서구 가정로37번길 29(가좌동),032-678-9500,2025-04-02
1194,(주)인타임코리아,PCB,경성 인쇄회로기판 제조업,"인천광역시 서구 가정로37번길 49, 2층 (가좌동)",032-578-0600,2025-04-02
1195,(주)인터네셔널무사시634,골프클럽&용품,기타 운동 및 경기용구 제조업,"인천광역시 서구 파랑로 495, 2동 906호(청라동) 2동 906호",02-782-9963,2025-04-02
1196,(주)인터우드,표면가공목재,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 북항로 76-44 (원창동),032-578-0641,2025-04-02
1197,(주)인터파워 인천지점,"전자식안정기, LED등기구",방전램프용 안정기 제조업 외 1 종,인천광역시 서구 보듬로 158 (오류동) 블루텍 1동 5층 514호,,2025-04-02
1198,(주)인테크코리아,중량선별기,"전자기 측정, 시험 및 분석기구 제조업",인천광역시 서구 장고개로217번길 10 (가좌동) 인테크코리아,032-681-0714,2025-04-02
1199,(주)인텍코리아,PCB홀가공,메모리용 전자집적회로 제조업 외 1 종,인천광역시 서구 석남로 15 (석남동),032-577-0061,2025-04-02
1200,(주)인투알,통신장비 캐비넷,유선 통신장비 제조업 외 2 종,인천광역시 서구 도담로 61 (오류동),032-611-2300,2025-04-02
1201,(주)인퍼스퍼니처,사무용가구,기타 목재가구 제조업,인천광역시 서구 가재울로 112 (가좌동),032-434-7690,2025-04-02
1202,(주)인퍼시스,"금속가구, 플라스틱가구",금속 가구 제조업 외 1 종,"인천광역시 서구 로봇랜드로249번길 94, C동 (청라동)",032-811-3755,2025-04-02
1203,(주)일렉팜,"LED모듈, 가로등, 보안등",일반용 전기 조명장치 제조업 외 2 종,"인천광역시 서구 중봉대로198번길 27, 303호 (가좌동) 303호",070-4336-6223,2025-04-02
1204,(주)일루미나,"LED등기구, smps",일반용 전기 조명장치 제조업,"인천광역시 서구 거북로 17, 나동 316호(석남동, 인천테크피아) 나동 316호",032-511-5806,2025-04-02
1205,(주)일성엠에스,조명기기,일반용 전기 조명장치 제조업 외 2 종,인천광역시 서구 건지로250번길 104 (가좌동),032-715-5860,2025-04-02
1206,(주)일신이엠,산업용기계,그 외 기타 특수목적용 기계 제조업 외 4 종,인천광역시 서구 원전로59번길 6 (경서동),032-542-0064,2025-04-02
1207,(주)일신테크,"atm케이스, 무인통행료발매기 케이스",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,인천광역시 서구 건지로153번길 11-13 (석남동),032-517-7650,2025-04-02
1208,(주)일조산업,열처리 임가공,금속 열처리업,인천광역시 서구 누리로 32 (오류동),032-576-6432,2025-04-02
1209,(주)일호기업,그라비아롤제작,도금업,인천광역시 서구 누리1로 30 (오류동),032-813-7004,2025-04-02
1210,(주)일화금속,"샤프트,너트,플랜저",절삭가공 및 유사처리업 외 1 종,인천광역시 서구 북항로193번길 13 (원창동),032-575-7053,2025-04-02
