순번,회사명,공장대표주소(도로명),사업자등록번호,업종명
187,(주)플러그린,"인천광역시 연수구 송도미래로 30, D동 16층 1609호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1878601275,산업용 송풍기 및 배기장치 제조업
188,(주)피앤테크놀로지,"인천광역시 연수구 송도미래로 30, D동 11층 1103 (송도동)",1348165149,전자부품 실장기판 제조업
189,(주)피에스유코리아,"인천광역시 연수구 송도미래로 30, 에이동 9층 916 (송도동)",1318636204,기타 전기 변환장치 제조업 외 1 종
190,(주)피플그룹,"인천광역시 연수구 송도과학로 70, 1105호(송도동)",1248718355,기타 구조용 금속제품 제조업
191,(주)하이앤드,"인천광역시 연수구 인천타워대로 99, 601호(송도동, 애니오션빌딩)",6328102425,제품 디자인업 외 1 종
192,(주)한국고압,"인천광역시 연수구 송도미래로 30, 에이동 9층 911 (송도동)",1318650415,"물질 검사, 측정 및 분석기구 제조업 외 1 종"
193,(주)한국세라믹,"인천광역시 연수구 벤처로 63, B동 3층 (송도동)",1218634835,기타 공학 연구개발업
194,(주)한국엠아이씨,"인천광역시 연수구 송도과학로 32, 송도테크노파크 IT센터 M동 804호 (송도동)",1318193802,기타 절연선 및 케이블 제조업
195,(주)화신이앤비,인천광역시 연수구 갯벌로 72 (송도동),1398141628,전구 및 램프 제조업 외 2 종
196,(주)휴니드테크놀러지스,"인천광역시 연수구 벤처로 87,  [지구단위계획 Ic-13] (송도동)",1238106174,기타 절연선 및 케이블 제조업 외 17 종
197,(주)휴마테크,"인천광역시 연수구 송도미래로 30, D동 10층 1010호(송도동, 송도 BRC 스마트밸리 지식산업센터)",7228601044,"전자기 측정, 시험 및 분석기구 제조업 외 1 종"
198,(주)휴젝스,"인천광역시 연수구 송도국제대로286번길 20, 3층 (송도동)",1298688621,그 외 기타 의료용 기기 제조업
199,DELTA TEK,"인천광역시 연수구 송도미래로 30, 에이동 13층 1304 (송도동)",1302329874,전자부품 실장기판 제조업
200,RPM,"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 101 (송도동)",1311835114,기타 공학 연구개발업
201,UST21,"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 403호 (송도동) 외 3필지",1218133938,기타 엔지니어링 서비스업
202,㈜듀비스,인천광역시 연수구 갯벌로 84 (송도동),6628101539,액정 표시장치 제조업
203,㈜브릴스,"인천광역시 연수구 갯벌로 94(송도동, (주)브릴스)",1318670240,기기용 자동측정 및 제어장치 제조업 외 3 종
204,㈜아이들,"인천광역시 연수구 갯벌로 129, 202,203호(송도동, 산업기술연구집적센터)",2468602059,산업용 로봇 제조업
205,㈜아이에이,인천광역시 연수구 갯벌로 55 (송도동),2118199077,전자부품 실장기판 제조업
206,㈜아이케이제이,"인천광역시 연수구 갯벌로 129, 202호,203호(송도동, 산업기술연구집적센터)",3298700386,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
207,㈜어큐진,인천광역시 연수구 갯벌로 73 (송도동),1228643415,그 외 기타 의료용 기기 제조업
208,㈜에스에스피,인천광역시 연수구 갯벌로 53 (송도동) 에스에스피연구소,1368118716,반도체 제조용 기계 제조업
209,㈜엔세이지,"인천광역시 연수구 갯벌로 112, 1층 일부(송도동, 에이티아이(ATI)본사)",8098800384,의학 및 약학 연구개발업
210,㈜엔에프씨,인천광역시 연수구 갯벌로 54 (송도동),1318637479,화장품 제조업
211,㈜엠아이티,"인천광역시 연수구 갯벌로145번길 16(송도동, 송도테크노파크)",5088141334,산업처리공정 제어장비 제조업 외 2 종
212,㈜웰손,인천광역시 연수구 갯벌로 89 (송도동) (주)큐비에스 4층,6548601630,기체 여과기 제조업 외 3 종
213,㈜유성계전,"인천광역시 연수구 갯벌로 76 (송도동, (주)유성계전사옥)",1378113015,"전기회로 개폐, 보호장치 제조업"
214,㈜이씨스,인천광역시 연수구 갯벌로 55 (송도동),1068638429,기타 무선 통신장비 제조업
215,㈜제놀루션,"인천광역시 연수구 갯벌로 120(송도동, (주)와이지-원 기술연구소)",2158682253,그 외 기타 의료용 기기 제조업
216,㈜토비스,"인천광역시 연수구 갯벌로 84(송도동, (주)토비스)",1338137806,액정 표시장치 제조업 외 1 종
217,㈜토비스,"인천광역시 연수구 하모니로226번길 15(송도동, TOVIS 송도 신공장) 외 1필지",1338137806,액정 표시장치 제조업 외 1 종
218,강유시스템(주),"인천광역시 연수구 송도미래로 30, B동 3층 304 (송도동)",1318634093,그 외 기타 1차 철강 제조업
219,거산전설(주),"인천광역시 연수구 인권로9번길 24 (옥련동) 거산빌딩 2층, 3층",1318160766,교통 신호장치 제조업
220,고려아연 주식회사,인천광역시 연수구 송도동 23-4,2118111260,기타 공학 연구개발업
221,고은엔지니어링,"인천광역시 연수구 송도미래로 30, A동 21층 2109 (송도동)",1313220859,컴퓨터 제조업
222,과천의과대학 생명과학연구소,인천광역시 연수구 갯벌로 155 (송도동),1318200372,기타 공학 연구개발업
223,교보데이터센터(유),"인천광역시 연수구 벤처로 14, [지구단위계획 Ia-4의 1,2,5,6] (송도동)",1318610688,비주거용 건물 임대업 외 1 종
224,규델리니어텍(주),인천광역시 연수구 인천타워대로25번길 7-15 (송도동),1168162862,산업용 로봇 제조업
225,글란츠 주식회사,"인천광역시 연수구 송도과학로16번길 13-18, 505호 (송도동, 송도건원테크노큐브)",6818801242,전시 및 광고용 조명장치 제조업 외 2 종
226,글로벌라이프사이언스솔루션즈코리아(유),인천광역시 연수구 벤처로100번길 34 (송도동),5268701481,액체 여과기 제조업 외 1 종
227,남부산업,"인천광역시 연수구 벚꽃로82번길 14, 1층 (청학동)",1310455466,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종"
228,네오패션형지 주식회사,"인천광역시 연수구 하모니로177번길 49(송도동, 형지글로벌 패션복합센터)",2208864829,"패션, 섬유류 및 기타 전문 디자인업"
229,네오피아(주),"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 302호 (송도동)",1218132282,인형 및 장난감 제조업
230,농가식품,인천광역시 연수구 청량로68번길 9 (동춘동),1319066423,김치류 제조업 외 1 종
231,농업회사법인 그린에이트(주),"인천광역시 연수구 청량로 123, 2층(옥련동)",1368602505,농업 및 임업용 기계 제조업
232,뉴인테크(주),"인천광역시 연수구 송도과학로 56, 504호(송도동, 송도테크노파크 BT센터)",7918101555,유선 통신장비 제조업 외 5 종
233,니브스코리아(주),"인천광역시 연수구 송도과학로 32, 송도테크노파크 IT센터 M동 2301호 (송도동)",1378607255,속도계 및 적산계기 제조업 외 2 종
234,다우엘이디(주),"인천광역시 연수구 송도미래로 30, 비동 9층 907, 908, 909 (송도동)",1228621783,일반용 전기 조명장치 제조업 외 2 종
235,대길전자,"인천광역시 연수구 갯벌로 129 (송도동) 산업기술연구집적센터 102, 103호",1191970215,기타 주변기기 제조업
236,대동도어 주식회사,인천광역시 연수구 송도국제대로286번길 14 (송도동),1348173163,"전기회로 개폐, 보호장치 제조업"
237,대동도어(주),인천광역시 연수구 송도국제대로286번길 14 (송도동),1348173163,"전기회로 개폐, 보호장치 제조업"
238,대동도어주식회사,인천광역시 연수구 첨단대로124번길 64 (송도동),1348173163,그 외 자동차용 신품 부품 제조업 외 1 종
239,대봉엘에스(주),인천광역시 연수구 송도미래로 101,1398119806,화장품 제조업 외 1 종
240,대산연구소,인천광역시 연수구 송도동 11-9번지,1391268145,전기ㆍ전자공학 연구개발업
241,대산정공연구소,인천광역시 연수구 벤처로 55 (송도동),1391268145,전기ㆍ전자공학 연구개발업
242,대양전기공업(주),"인천광역시 연수구 벤처로100번길 16, [지구단위계획 Ic-2의 7] (송도동) 외 1필지",6038109788,그 외 기타 전자부품 제조업 외 1 종
243,대우냉난방(주),인천광역시 연수구 한나루로86번길 32-6 (옥련동),1318194136,산업용 난방보일러 및 방열기 제조업
244,대지금속,인천광역시 연수구 갯벌로 143 (송도동),3038104715,그 외 자동차용 신품 부품 제조업
245,동아에스티(주),인천광역시 연수구 지식기반로 45 (송도동),2048640122,생물 의약품 제조업 외 1 종
246,동우에이앤이(주)송도지점,"인천광역시 연수구 인천타워대로 99, (송도동, 애니오션빌딩 14층) (송도동)",1128151951,애니메이션 영화 및 비디오물 제작업 외 7 종
247,디자인(Design)해,"인천광역시 연수구 송도미래로 30, 이동 810호(송도동, 송도 BRC 스마트밸리 지식산업센터)",4230901976,간판 및 광고물 제조업
248,라온컴퍼니,"인천광역시 연수구 송도미래로 30, A동 11층 1108 (송도동)",5683800310,기타 가정용 전기기기 제조업
249,롯데바이오로직스(주),인천광역시 연수구 인천신항대로 450,7438102569,기초 의약 물질 제조업 외 1 종
250,린에어텍(주),"인천광역시 연수구 송도미래로 30, 이동 14층 1301 (송도동)",1228618425,기타 가정용 전기기기 제조업 외 1 종
251,만도브로제(주),인천광역시 연수구 첨단대로60번길 75 (송도동),1318627724,전동기 및 발전기 제조업 외 1 종
252,머크(주),인천광역시 연수구 송도동 218-9번지,2208109507,기초 의약 물질 제조업
253,메모리즈헬스케어 주식회사,"인천광역시 연수구 송도과학로 80, 101동 707호 (송도동, 송도 AIT센터)",3038169815,한의약품 제조업
254,메인솔라,"인천광역시 연수구 송도미래로 30, D동 5층 511호(송도동, 송도 BRC 스마트밸리 지식산업센터)",6692901344,일반용 전기 조명장치 제조업
255,모던네트웍시스템,"인천광역시 연수구 인천타워대로 99, 1101,1201호(11,12층 전체)(송도동, 애니오션빌딩)",4380402424,응용 소프트웨어 개발 및 공급업
256,모션테크(주),"인천광역시 연수구 송도미래로 30, 디동 22층 2202 (송도동)",1248160322,"전자코일, 변성기 및 기타 전자 유도자 제조업 외 2 종"
257,바이오밴코리아(주),"인천광역시 연수구 한나루로 190, 지하 B03호 (옥련동, 송도프라자)",1228174140,그 외 기타 분류 안된 화학제품 제조업 외 4 종
258,바이오베터바이오로직스(주),"인천광역시 연수구 송도미래로 30, 비동 3층 302 (송도동)",1438104321,생물 의약품 제조업 외 1 종
259,바이월드,"인천광역시 연수구 송도미래로 30, 비동 6층 601 (송도동)",1312493681,사무용 기계 및 장비 제조업 외 1 종
260,볼트테크파워볼팅,인천광역시 연수구 송도과학로16번길 13-18 (송도동) 송도건원테크노큐브,1372148785,"산업용 오븐, 노 및 노용 버너 제조업"
261,부림산업㈜,"인천광역시 연수구 갯벌로 85, 1층 일부(송도동, 유신정밀공업(주))",7088600532,자동차용 신품 의자 제조업
262,부성엘엔에스,"인천광역시 연수구 송도미래로 30, D동 14층 1401 (송도동)",1211791709,전구 및 램프 제조업
263,부평금속,"인천광역시 연수구 송도미래로 30, 비동 2층 218 (송도동)",1301799874,볼트 및 너트류 제조업 외 4 종
264,비아이앤티,"인천광역시 연수구 송도미래로 30, E동 6층 608호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",1062166756,무인 항공기 및 무인 비행장치 제조업
265,비타네이쳐(주),"인천광역시 연수구 송도미래로 30, 이동 1층 103 (송도동) 외 3필지",5938700352,화장품 제조업
266,산그룹,"인천광역시 연수구 송도미래로 30, E동 604호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",1212264768,전자 응용 절삭기계 제조업
267,삼성바이오로직스(주)_(1~4공장),인천광역시 연수구 송도바이오대로 300 (송도동),1318627632,기초 의약 물질 제조업 외 1 종
268,삼성바이오로직스(주)_5공장,"인천광역시 연수구 송도바이오대로 365(송도동, 삼성바이오로직스 2단지 제5공장)",1318627632,기초 의약 물질 제조업 외 1 종
269,삼성바이오로직스(주)_ADC공장,인천광역시 연수구 송도미래로 100 (송도동),1318627632,기초 의약 물질 제조업 외 1 종
270,생고뱅코리아(주),인천광역시 연수구 첨단대로124번길 34 (송도동),1208153998,그 외 기타 플라스틱 제품 제조업
271,서미트,인천광역시 연수구 갯벌로 58 (송도동),1338105513,"전자기 측정, 시험 및 분석기구 제조업"
272,성제시스템,"인천광역시 연수구 송도미래로 30, 비동 9층 921 (송도동)",1312387412,배전반 및 전기 자동제어반 제조업
273,세광쇼트기계(주),"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 204호 (송도동)",1398120808,그 외 기타 특수목적용 기계 제조업
274,송도애니파크(주),인천광역시 연수구 인천타워대로 99,1318610602,애니메이션 영화 및 비디오물 제작업 외 1 종
275,쉴딩 솔루션,"인천광역시 연수구 송도미래로 30, D동 5층 507 (송도동)",8111100158,"전자기 측정, 시험 및 분석기구 제조업"
276,신우전기(주),"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 에이동 405,406호 (송도동)",1348194829,배전반 및 전기 자동제어반 제조업
277,신한다이아몬드공업(주),인천광역시 연수구 (송도동),1398101664,비동력식 수공구 제조업
278,싸토리우스코리아오퍼레이션스 유한회사,인천광역시 연수구 컨벤시아대로 165,3238802141,기초 의약 물질 제조업 외 2 종
279,썬파크(주),"인천광역시 연수구 갯벌로145번길 7-3, 썬파크 주식회 (송도동)",1138194948,"금속 문, 창, 셔터 및 관련제품 제조업 외 1 종"
280,씨그마알드리치코리아 유한회사,인천광역시 연수구 송도국제대로343번길 113 (송도동),1358183999,그 외 기타 분류 안된 화학제품 제조업 외 1 종
281,씨제이시스템즈(주),"인천광역시 연수구 하모니로177번길 20, [지구단위계획 Ia-6의 c,d] (송도동) 외 1필지",1048136565,응용 소프트웨어 개발 및 공급업
282,씨프린트,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 디동103호 (송도동)",1160267687,기타 인쇄업 외 1 종
283,아미코젠(주),인천광역시 연수구 연구단지로55번길 33 (송도동),6138121213,기초 의약 물질 제조업 외 1 종
284,아이에스(주),"인천광역시 연수구 청량로155번길 6, 1층, 지하1층 (옥련동)",1318149567,방송장비 제조업 외 11 종
285,아이원(I ONE)TRUMAKUS,"인천광역시 연수구 송도미래로 30, D동 15층 1506호(송도동, 송도 BRC 스마트밸리 지식산업센터)",6803400816,"근무복, 작업복 및 유사의복 제조업 외 2 종"
286,아이정보시스템,"인천광역시 연수구 송도미래로 30, 디동 23층 2305 (송도동)",1312753486,방송장비 제조업 외 1 종
287,아지노모도셀리스트코리아(주),인천광역시 연수구 지식기반로 105 (송도동),1318642875,기초 의약 물질 제조업 외 2 종
288,아진전산,인천광역시 연수구 청학동 572번지 3호,1312680365,기타 인쇄업 외 2 종
289,애니모션텍 주식회사,"인천광역시 연수구 하모니로177번길 60(송도동, 가설건축물)",1198601893,반도체 제조용 기계 제조업
290,앰코테크놀로지코리아(주),인천광역시 연수구 송도미래로 150 (송도동),8148500288,비메모리용 및 기타 전자집적회로 제조업
291,야무진형제,"인천광역시 연수구 송도미래로 30, E동 1906호(송도동, 송도 BRC 스마트밸리 지식산업센터)",6650901473,기타 기계.장비 조립용 플라스틱 제품 제조업
292,에스디시스템,"인천광역시 연수구 송도미래로 30, B동 821호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1381601265,컴퓨터 모니터 제조업
293,에스디에스,"인천광역시 연수구 송도미래로 30, D동 2010호(송도동, 송도 BRC 스마트밸리 지식산업센터)",2341600297,"전자기 측정, 시험 및 분석기구 제조업"
294,에스엠테크,"인천광역시 연수구 송도미래로 30, 에이동 2층 213 (송도동)",4162716970,절삭가공 및 유사처리업
295,에스티젠바이오 주식회사,인천광역시 연수구 지식기반로 45 (송도동),4758800070,기초 의약 물질 제조업 외 1 종
296,에이스웨이브텍(주),"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 비동 804, 805, 806호 (송도동)",1318170605,"전자기 측정, 시험 및 분석기구 제조업 외 5 종"
297,에이스웨이브텍(주),"인천광역시 연수구 연구단지로55번길 25, 4층(송도동, 빅텍&에이스웨이브텍 기술개발연구소)",1318170605,"전자기 측정, 시험 및 분석기구 제조업 외 5 종"
298,에이원엔지니어링코리아(유),"인천광역시 연수구 벤처로 117 (송도동, 1동)",1348613646,디스플레이 제조용 기계 제조업 외 1 종
299,에이치디에스,"인천광역시 연수구 송도과학로 70, 1동 4층 401호(송도동)",1136867229,전기회로 접속장치 제조업
300,에이치로보틱스 주식회사,"인천광역시 연수구 송도과학로 32, 19층 엠1904호(송도동, 송도테크노파크IT센터)",4078131509,정형 외과용 및 신체 보정용 기기 제조업
301,에이치엠,인천광역시 연수구 송도과학로 56 (송도동) 송도테크노파크 BT센터 406호,1615000464,배전반 및 전기 자동제어반 제조업
302,에이티분석센타(주),인천광역시 연수구 벤처로100번길 21 (송도동) (주)다인시스콘,1218540801,"물질 검사, 측정 및 분석기구 제조업"
303,에이티아이(주),"인천광역시 연수구 갯벌로 112 (송도동, 에이티아이연구소)",1398125803,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 1 종"
304,에이티에스에프에이,"인천광역시 연수구 송도미래로 30, 비동 5층 520 (송도동)",1318659624,배전반 및 전기 자동제어반 제조업
305,에코엘이디(주),인천광역시 연수구 갯벌로 62 (송도동),1318199602,발광 다이오드 제조업 외 1 종
306,엔씨에스이엔지,"인천광역시 연수구 송도미래로 30, 에이동 3층 313 (송도동)",1341851700,"탭, 밸브 및 유사장치 제조업"
307,엘브이에스(주),인천광역시 연수구 갯벌로145번길 15-6 (송도동),1318614914,산업처리공정 제어장비 제조업
308,엘오케이(유),인천광역시 연수구 벤처로36번길 26 (송도동),2208173483,고무 의류 및 기타 위생용 비경화 고무제품 제조업
309,엠알티,"인천광역시 연수구 송도미래로 30, 에이동 906호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1312085505,그 외 기타 일반목적용 기계 제조업
310,엠파인,"인천광역시 연수구 갯벌로 125 (송도동, 무송엔지니어링)",1398115630,기타 물품 취급장비 제조업
311,엠포월드,"인천광역시 연수구 송도미래로 30, 디동 22층 2209 (송도동)",1211453612,표면광택제 및 실내가향제 제조업 외 4 종
312,영진정공,"인천광역시 연수구 갯벌로 119 (송도동, (주)영진정공기술연구소)",1378120248,자동차용 신품 조향장치 및 현가 장치 제조업
313,오스템글로벌(주),"인천광역시 연수구 첨단대로 104(송도동, 오스템글로벌 송도사옥)",1848100272,그 외 기타 의료용 기기 제조업 외 1 종
314,오티스엘리베이터(유),인천광역시 연수구 송도동 10-45번지,1078173292,승강기 제조업
315,온시원시스템,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 에이동 610호 (송도동)",1313127592,가정용 및 산업용 공기 조화장치 제조업 외 1 종
316,온쿡컴퍼니(주),"인천광역시 연수구 경원대로119번길 21, 연수2차풍림아파트 온쿡컴퍼니 주식회사(동춘동, 연수2차풍림아파트)",3098701950,수산동물 건조 및 염장품 제조업
317,와이엠티 주식회사,"인천광역시 연수구 송도미래로 111,",1398139933,체외 진단 시약 제조업 외 1 종
318,와이티건축 주식회사,"인천광역시 연수구 송도미래로 30, 디동 2311호(송도동, 송도 BRC 스마트밸리 지식산업센터)",4188702762,그 외 기타 분류 안된 금속 가공 제품 제조업
319,우리전자,인천광역시 연수구 함박로3번길 26-1 (연수동),6022662777,운송장비용 이차전지 제조업 외 1 종
320,우리코퍼레이션,"인천광역시 연수구 송도미래로 30, 디동 15층 1506 (송도동)",1312639056,컴퓨터 모니터 제조업
321,웨스트코 주식회사,"인천광역시 연수구 인천타워대로 99, 701호(송도동, 애니오션빌딩)",4648700302,정기 광고간행물 발행업
322,웰덱스테크놀로지(주),"인천광역시 연수구 송도미래로 30, A동 15층 1501 ~ 1506, 1508 ~ 1509호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1308180605,운송장비용 조명장치 제조업 외 2 종
323,위슨정보통신(주),"인천광역시 연수구 용담로50번길 20, 2층 (청학동)",1388122443,"전기회로 개폐, 보호장치 제조업 외 2 종"
324,유림전기(주),"인천광역시 연수구 갯벌로 129, 산업기술연구직접센터 502호 (송도동)",1398129279,그 외 기타 달리 분류되지 않은 제품 제조업
325,유비에스아이엔씨(주),"인천광역시 연수구 송도미래로 30, 에이동 16층 1607 (송도동)",1318611315,액체 여과기 제조업
326,유신정밀공업(주),인천광역시 연수구 갯벌로 85 (송도동),1308125596,자동차 엔진용 신품 부품 제조업
327,유진,"인천광역시 연수구 인천타워대로 99, 1113호 (송도동)",3672600029,기타 산업 회사 본부
328,이에스콘트롤스(주),"인천광역시 연수구 송도미래로 30, D동 10층 1006호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1108175113,배전반 및 전기 자동제어반 제조업 외 2 종
329,이조산업,"인천광역시 연수구 갯벌로 129, 산업기술연구집적센터 402호 (송도동)",1218140894,반도체 제조용 기계 제조업
330,이즈솔루션,"인천광역시 연수구 송도미래로 30, 디동 808호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1233722133,그 외 기타 플라스틱 제품 제조업
331,이티이(주),"인천광역시 연수구 송도미래로 30, 비동 10층 1008 (송도동) 외 1필지",1378196767,전자부품 실장기판 제조업
332,인천대학교 미래관,인천광역시 연수구 갯벌로 169 (송도동),1318215711,대학교
333,인천생산기술연구원 인천연구센터,"인천광역시 연수구 갯벌로 156 (송도동, 한국생산기술연구원)",1198201008,기타 공학 연구개발업
334,인하대학교 산학협력관,"인천광역시 연수구 갯벌로 36 (송도동, 인천자동차부품기술센타)",1318200372,대학교
335,일진반도체(주),인천광역시 연수구 벤처로12번길 14 (송도동),1248659460,비주거용 건물 임대업
336,재영솔루텍(주),인천광역시 연수구 갯벌로 118 (송도동),1398101306,기타 무선 통신장비 제조업 외 3 종
337,정림테크,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 에이동604호 (송도동)",1371672414,산업용 난방보일러 및 방열기 제조업 외 1 종
338,제너셈(주),인천광역시 연수구 송도과학로84번길 24 (송도동),1218140894,반도체 제조용 기계 제조업
339,제온시스(주),"인천광역시 연수구 송도과학로 32, M동 1204호(송도동, 송도테크노파크IT센터)",4178153742,기타 전기 변환장치 제조업 외 2 종
340,제이에스닷컴,인천광역시 연수구 갯벌로 129 (송도동) 산업기술연구집적센터 303호,5741600986,시스템 소프트웨어 개발 및 공급업
341,제일에스컬레이터(주),"인천광역시 연수구 송도미래로 30, B동 6층 618 (송도동)",1318648864,승강기 제조업
342,제일테크,인천광역시 연수구 능허대로191번길 43 (옥련동) C동 B01호,5303200079,그 외 기타 일반목적용 기계 제조업
343,주식회사 가든포유,"인천광역시 연수구 송도과학로 80, 송도AIT센터동 3층 101-314호 (송도동, 송도 AIT센터)",1388129048,가정용 및 산업용 공기 조화장치 제조업 외 2 종
344,주식회사 건엔텍,"인천광역시 연수구 청명로31번길 15, 1층 (청학동)",7128800324,직물포대 제조업
345,주식회사 구심이엔지,인천광역시 연수구 벤처로 116(송도동),1308671552,육상 금속 골조 구조재 제조업
346,주식회사 그레이스케일,"인천광역시 연수구 송도과학로 70, 332호(송도동)",1518601960,전시용 모형 제조업
347,주식회사 다즈,"인천광역시 연수구 송도미래로 30, E동 8층 808호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",1318650604,그 외 기타 전기장비 제조업
348,주식회사 더블릭컴퍼니,"인천광역시 연수구 송도과학로 70, 3층 310호 (송도동)",6988102293,반도체 제조용 기계 제조업
349,주식회사 더아이원,"인천광역시 연수구 송도미래로 30, D동 106호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",8548603238,"근무복, 작업복 및 유사의복 제조업 외 3 종"
350,주식회사 도림사,인천광역시 연수구 청학로6번길 30 (청학동),4708803223,간판 및 광고물 제조업
351,주식회사 마이즈,"인천광역시 연수구 송도미래로 30, 디동 1901,1902호(송도동, 송도 BRC 스마트밸리 지식산업센터)",3848701854,유선 통신장비 제조업 외 3 종
352,주식회사 메드믹스,"인천광역시 연수구 송도미래로 30, B동 703호(송도동, 송도 BRC 스마트밸리 지식산업센터)",2208792575,기타 가정용 전기기기 제조업
353,주식회사 명디자인,"인천광역시 연수구 독배로90번길 76, 수팰리스 1층 101호 (옥련동)",8078701401,간판 및 광고물 제조업
354,주식회사 바이오테크,인천광역시 연수구 예술로20번길 18 (선학동),5398700135,액체 여과기 제조업 외 3 종
355,주식회사 베오텍,"인천광역시 연수구 송도미래로 30, D동 2107호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1028601217,액정 표시장치 제조업
356,주식회사 본에스티스,인천광역시 연수구 송도동 10-77,2118828310,기타 부동산 개발 및 공급업
357,주식회사 부흥강건,"인천광역시 연수구 인천타워대로 99, 501호(송도동, 애니오션빌딩)",1428702069,인테리어 디자인업
358,주식회사 비알인포텍,"인천광역시 연수구 송도과학로 32, M동 2001호(송도동, 송도테크노파크IT센터)",1228643768,방송장비 제조업 외 1 종
359,주식회사 새비로보틱스,"인천광역시 연수구 송도미래로 30, A동 8층 802호(송도동, 송도 BRC 스마트밸리 지식산업센터)",5168702483,산업용 로봇 제조업 외 2 종
360,주식회사 스피드플로어,"인천광역시 연수구 송도과학로 70, 지식산업센터 업무동 9층 910호(송도동)",1038702332,내연기관 화물자동차 및 특수목적용 자동차 제조업 외 1 종
361,주식회사 아베크커스텀,"인천광역시 연수구 송도미래로 30, E동 3층 307호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1428702846,모터사이클 제조업 외 1 종
362,주식회사 아세코,"인천광역시 연수구 능허대로179번길 43, 210호 (옥련동)",6428501469,기타 직물제품 제조업
363,주식회사 아이디씨티,"인천광역시 연수구 송도과학로 80, 101동 510호 (송도동, 송도 AIT센터)",8118101941,기타 무선 통신장비 제조업 외 1 종
364,주식회사 안테라딕스,"인천광역시 연수구 송도미래로 30, E동 10층 1008호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",4048703286,그 외 기타 전자부품 제조업
365,주식회사 어반어소시에이츠,"인천광역시 연수구 송도미래로 30, 에이동 18층 1804 (송도동)",3648600418,전기경보 및 신호장치 제조업 외 1 종
366,주식회사 에스비케이엔지니어링,"인천광역시 연수구 송도과학로 32, M동 1004호(송도동, 송도테크노파크IT센터)",7698700677,기억장치 제조업
367,주식회사 에이치더블유,"인천광역시 연수구 송도미래로 30, 이동 1308-1호(송도동, 송도 BRC 스마트밸리 지식산업센터)",7688100745,방송장비 제조업 외 4 종
368,주식회사 에이치쓰리알,"인천광역시 연수구 송도과학로 70, 3층 321호(송도동, 송도 AT센터)",7698502220,모터사이클 제조업 외 1 종
369,주식회사 엔에스피,"인천광역시 연수구 송도과학로 80, 303호 (송도동) 외 1필지",1018704687,산업용 로봇 제조업
370,주식회사 엠에스이노버,"인천광역시 연수구 청솔로 62-3, 지하1층(청학동)",1228635031,"근무복, 작업복 및 유사의복 제조업 외 2 종"
371,주식회사 올메이드,"인천광역시 연수구 송도미래로 30, E동 8층 801호(송도동, 송도 BRC 스마트밸리 지식산업센터)",3698602615,그 외 기타 의료용 기기 제조업 외 2 종
372,주식회사 위즈윙,"인천광역시 연수구 송도미래로 30, E동 6층 609호 (송도동, 송도 BRC 스마트밸리 지식산업센터) 외 1필지",1748700735,무인 항공기 및 무인 비행장치 제조업 외 1 종
373,주식회사 유진테크원,"인천광역시 연수구 송도과학로 70, 오피스동 10층 1004호 (송도동) 외 1필지",8608801976,산업용 로봇 제조업
374,주식회사 이룸이엔씨,"인천광역시 연수구 송도미래로 30, E동 9층 909호(송도동, 송도 BRC 스마트밸리 지식산업센터)",1718703052,기타 무선 통신장비 제조업
375,주식회사 이엔집스,"인천광역시 연수구 송도미래로 30, 에이동 1302호(송도동, 송도 BRC 스마트밸리 지식산업센터)",2948702114,골판지 상자 및 가공제품 제조업
376,주식회사 젠퓨어,"인천광역시 연수구 송도미래로 30, 비동 10층 1004 (송도동) 외 1필지",1318660515,화장품 제조업
377,주식회사 카네비모빌리티,인천광역시 연수구 송도과학로16번길 13-25 (송도동),1228164400,전자감지장치 제조업 외 3 종
378,주식회사 케이에스디엔에스,"인천광역시 연수구 송도미래로 30, D동 2010호(송도동, 송도 BRC 스마트밸리 지식산업센터)",8418702642,산업용 로봇 제조업 외 1 종
