순번,회사명,공장대표주소(도로명),업종명,전화번호,생산품
152,동아에스티(주),인천광역시 연수구 지식기반로 45 (송도동),완제 의약품 제조업,041-629-6223,의약품
153,디자인(Design)해,"인천광역시 연수구 송도미래로 30, 이동 810호(송도동, 송도 BRC 스마트밸리 지식산업센터)",간판 및 광고물 제조업,032-886-3201,현수막 등
154,라온컴퍼니,"인천광역시 연수구 송도미래로 30, A동 11층 1108 (송도동)",기타 가정용 전기기기 제조업,032-816-0823,초음파미스트기
155,린에어텍(주),"인천광역시 연수구 송도미래로 30, 이동 14층 1301 (송도동)",기타 가정용 전기기기 제조업 외 1 종,032-260-1190,"비데, 환기시스템"
156,만도브로제(주),인천광역시 연수구 첨단대로60번길 75 (송도동),전동기 및 발전기 제조업 외 1 종,032-222-6315,"자동차용모터, 전기모터,"
157,머크(주),인천광역시 연수구 송도동 218-9번지,의약용 화합물 및 항생물질 제조업,032-850-9400,Cell Culture Media/세포배양배지
158,메인솔라,"인천광역시 연수구 송도미래로 30, D동 5층 511호(송도동, 송도 BRC 스마트밸리 지식산업센터)",일반용 전기 조명장치 제조업,미기재,태양광가로등
159,모션테크(주),"인천광역시 연수구 송도미래로 30, 디동 22층 2202 (송도동)","전자코일, 변성기 및 기타 전자 유도자 제조업 외 2 종",031-225-4050,아몰퍼스 코어외
160,바이오밴코리아(주),"인천광역시 연수구 한나루로 190, 지하 B03호 (옥련동, 송도프라자)",그 외 기타 분류 안된 화학제품 제조업 외 3 종,032-525-2001,탈취제
161,바이오베터바이오로직스(주),"인천광역시 연수구 송도미래로 30, 비동 3층 302 (송도동)",완제 의약품 제조업,032-720-5400,임상의약품
162,바이월드,"인천광역시 연수구 송도미래로 30, 비동 6층 601 (송도동)",사무용 기계 및 장비 제조업 외 1 종,032-665-7126,프린터부품
163,볼트테크파워볼팅,인천광역시 연수구 송도과학로16번길 13-18 (송도동) 송도건원테크노큐브,"산업용 오븐, 노 및 노용 버너 제조업",032-813-5953,유도가열히팅시스템
164,부성엘엔에스,"인천광역시 연수구 송도미래로 30, D동 14층 1401 (송도동)",전구 및 램프 제조업,032-837-5715,LED 전등
165,부평금속,"인천광역시 연수구 송도미래로 30, 비동 2층 218 (송도동)",볼트 및 너트류 제조업 외 4 종,032-428-3042,"기계부품, 앙카볼트"
166,비아이앤티,"인천광역시 연수구 송도미래로 30, E동 6층 608호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",무인 항공기 및 무인 비행장치 제조업,070-4109-9291,무인비행체
167,비타네이쳐(주),"인천광역시 연수구 송도미래로 30, 이동 1층 103 (송도동) 외 3필지",화장품 제조업,032-811-5218,
168,산그룹,"인천광역시 연수구 송도미래로 30, E동 604호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",전자 응용 절삭기계 제조업,070-4137-0182,"레이져 기계, 산업용프린터"
169,삼성바이오로직스(주)_(1~4공장),인천광역시 연수구 송도바이오대로 300 (송도동),생물학적 제제 제조업,032-455-3416,바이오의약품(항체)
170,삼성바이오로직스(주)_5공장,"인천광역시 연수구 송도바이오대로 365(송도동, 삼성바이오로직스 2단지 제5공장)",생물학적 제제 제조업,032-453-3114,바이오의약품
171,삼성바이오로직스(주)_ADC공장,인천광역시 연수구 송도미래로 100 (송도동),생물학적 제제 제조업,032-455-3114,바이오의약품
172,생고뱅코리아(주),인천광역시 연수구 첨단대로124번길 34 (송도동),그 외 기타 플라스틱 제품 제조업,02-6098-0108,"Tubing, Hose, Single Use Assembly 등"
173,성제시스템,"인천광역시 연수구 송도미래로 30, 비동 9층 921 (송도동)",배전반 및 전기 자동제어반 제조업,032-427-7029,배전반 및 전기제어반
174,성지그래픽,"인천광역시 연수구 송도미래로 30, D동 1층 105 (송도동) 외 1필지",기타 인쇄관련 산업,032-815-4441,"UV인쇄, 실사출력 등"
175,쉴딩 솔루션,"인천광역시 연수구 송도미래로 30, D동 5층 507 (송도동)","전자기 측정, 시험 및 분석기구 제조업",032-210-6229,전자파차폐실 조립용 부품
176,신우전기(주),"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 에이동 405,406호 (송도동)",배전반 및 전기 자동제어반 제조업,032-837-5430,전기제어판넬
177,씨그마알드리치코리아 유한회사,인천광역시 연수구 송도국제대로343번길 113 (송도동),그 외 기타 분류 안된 화학제품 제조업,032-850-9400,실험용 시약
178,씨프린트,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 디동103호 (송도동)",기타 인쇄업 외 1 종,032-720-5511,"명함, 카다로그 등"
179,아미코젠(주),인천광역시 연수구 연구단지로55번길 33 (송도동),생물학적 제제 제조업,055-759-6161,분말/액상 배지
180,아이에스(주),"인천광역시 연수구 청량로155번길 6, 1층, 지하1층 (옥련동)",방송장비 제조업 외 11 종,032-832-7770,"방송장비, 영상감시장치, 태양광발전장치, 계장제어장치, 배전반 등"
181,아이원(I ONE)TRUMAKUS,"인천광역시 연수구 송도미래로 30, D동 15층 1506호(송도동, 송도 BRC 스마트밸리 지식산업센터)","근무복, 작업복 및 유사의복 제조업 외 2 종",070-4451-1715,"근무복, 체육복, 외투(남성/여성)"
182,아이정보시스템,"인천광역시 연수구 송도미래로 30, 디동 23층 2305 (송도동)",방송장비 제조업 외 1 종,032-858-7770,"방송장비, 영상기기 등"
183,아지노모도셀리스트코리아(주),인천광역시 연수구 지식기반로 105 (송도동),의약용 화합물 및 항생물질 제조업 외 2 종,032-210-2702,무혈청배지
184,아진전산,인천광역시 연수구 청학동 572번지 3호,기타 인쇄업 외 2 종,032-833-7155,전산폼용지및전산기록용지
185,앰코테크놀로지코리아(주),인천광역시 연수구 송도미래로 150 (송도동),비메모리용 및 기타 전자집적회로 제조업,032-728-4107,전자집적회로 및 반도체소자 등
186,야무진형제,"인천광역시 연수구 송도미래로 30, E동 1906호(송도동, 송도 BRC 스마트밸리 지식산업센터)",기타 기계.장비 조립용 플라스틱 제품 제조업,미기재,"방수케이스 등, 이륜 자동차용 휴대폰 충전기류, 현관문 스토퍼"
187,에스디시스템,"인천광역시 연수구 송도미래로 30, B동 821호(송도동, 송도 BRC 스마트밸리 지식산업센터)",컴퓨터 모니터 제조업,032-811-4342,"전자제품,키오스크,소프트웨어"
188,에스디에스,"인천광역시 연수구 송도미래로 30, D동 2010호(송도동, 송도 BRC 스마트밸리 지식산업센터)","전자기 측정, 시험 및 분석기구 제조업",032-715-7191,전기전자 실험기 등
189,에스엠테크,"인천광역시 연수구 송도미래로 30, 에이동 2층 213 (송도동)",절삭가공 및 유사처리업,032-819-7806,금형부품
190,에스트래픽(주),"인천광역시 연수구 송도미래로 30, A동 6층 608,609 (송도동)",기타 무선 통신장비 제조업 외 11 종,031-739-9500,무선통신방송 및 응용장치
191,에스티젠바이오 주식회사,인천광역시 연수구 지식기반로 45 (송도동),생물학적 제제 제조업,070-8636-1200,허셉틴
192,에이스웨이브텍(주),"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 비동 804, 805, 806호 (송도동)","전자기 측정, 시험 및 분석기구 제조업 외 5 종",032-831-0401,수동상호변조왜곡신호측정장치
193,에이스웨이브텍(주),"인천광역시 연수구 연구단지로55번길 25, 4층(송도동, 빅텍&에이스웨이브텍 기술개발연구소)","전자기 측정, 시험 및 분석기구 제조업 외 5 종",032-831-0401,"PIM측정장비, RCS측정장비, 고주파 부품.모듈, 재밍신호발생기, 듀얼카메라, 싱크로디지털변환기"
194,에이치디에스,"인천광역시 연수구 송도과학로 70, 1동 4층 401호(송도동)",전기회로 접속장치 제조업,032-201-0997,배전반 및 전기제어반
195,에이치로보틱스 주식회사,"인천광역시 연수구 송도과학로 32, 19층 엠1904호(송도동, 송도테크노파크IT센터)",정형외과용 및 신체보정용 기기 제조업,032-710-4126,재활의료기기
196,에이치엠,인천광역시 연수구 송도과학로 56 (송도동) 송도테크노파크 BT센터 406호,배전반 및 전기 자동제어반 제조업,032-815-1196,자동제어장치
197,에이티에스에프에이,"인천광역시 연수구 송도미래로 30, 비동 5층 520 (송도동)",배전반 및 전기 자동제어반 제조업,032-837-4895,"배전반, 전기자동제어반"
198,엔씨에스이엔지,"인천광역시 연수구 송도미래로 30, 에이동 3층 313 (송도동)","탭, 밸브 및 유사장치 제조업",032-837-5848,노즐
199,엠알티,"인천광역시 연수구 송도미래로 30, 에이동 906호(송도동, 송도 BRC 스마트밸리 지식산업센터)",그 외 기타 일반목적용 기계 제조업,미기재,자동판매기
200,엠포월드,"인천광역시 연수구 송도미래로 30, 디동 22층 2209 (송도동)",표면광택제 및 실내가향제 제조업 외 3 종,미기재,탈취제
201,오스템글로벌(주),"인천광역시 연수구 첨단대로 104(송도동, 오스템글로벌 송도사옥)",그 외 기타 의료용 기기 제조업 외 1 종,070-4394-5534,"의료용(치과) 검사 기기, 의료용 기기 전자부품"
202,온시원시스템,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 에이동 610호 (송도동)",공기 조화장치 제조업,032-822-8783,"냉난방기(지열,수열,폐열)"
203,온쿡컴퍼니(주),"인천광역시 연수구 경원대로119번길 21, 연수2차풍림아파트 온쿡컴퍼니 주식회사(동춘동, 연수2차풍림아파트)",수산동물 건조 및 염장품 제조업,032-833-7892,"양념쭈꾸미 밀키트(냉동, 냉장)"
204,와이티건축 주식회사,"인천광역시 연수구 송도미래로 30, 디동 2311호(송도동, 송도 BRC 스마트밸리 지식산업센터)",그 외 기타 분류 안된 금속 가공 제품 제조업,0507-1301-0534,천장마감재
205,우리전자,인천광역시 연수구 함박로3번길 26-1 (연수동),축전지 제조업,032-814-3273,"축전지, 전자부품"
206,우리코퍼레이션,"인천광역시 연수구 송도미래로 30, 디동 15층 1506 (송도동)",컴퓨터 모니터 제조업,032-720-4080,컴퓨터모니터
207,웰덱스테크놀로지(주),"인천광역시 연수구 송도미래로 30, A동 15층 1501 ~ 1506, 1508 ~ 1509호(송도동, 송도 BRC 스마트밸리 지식산업센터)",운송장비용 조명장치 제조업 외 2 종,032-837-5740,"차량용 조명장치, DIGITAL SECURITY CAMERA, 차량용 LCD 모니터"
208,위슨정보통신(주),"인천광역시 연수구 용담로50번길 20, 2층 (청학동)","전기회로 개폐, 보호장치 제조업 외 2 종",032-817-6541,조명제어장치
209,유비에스아이엔씨(주),"인천광역시 연수구 송도미래로 30, 에이동 16층 1607 (송도동)",액체 여과기 제조업,032-221-0983,"샤워필터, 세라믹볼 등"
210,이에스콘트롤스(주),"인천광역시 연수구 송도미래로 30, D동 10층 1006호(송도동, 송도 BRC 스마트밸리 지식산업센터)",배전반 및 전기 자동제어반 제조업 외 2 종,02-353-2991,"배전반 및 전기자동제어반, 조명용제어장치"
211,이즈솔루션,"인천광역시 연수구 송도미래로 30, 디동 808호(송도동, 송도 BRC 스마트밸리 지식산업센터)",그 외 기타 플라스틱 제품 제조업,070-8702-2800,진단키트 부품 등
212,이티이(주),"인천광역시 연수구 송도미래로 30, 비동 10층 1008 (송도동) 외 1필지",전자부품 실장기판 제조업,032-834-8484,"LED인디케이터, PRND모듈"
213,정림테크,"인천광역시 연수구 송도미래로 30, 송도비알씨스마트밸리 지식산업센터 에이동604호 (송도동)",산업용 난방보일러 및 방열기 제조업 외 1 종,032-837-5351,"압력용기(에어휠터), 방열기"
214,제너셈(주),인천광역시 연수구 송도과학로84번길 24 (송도동),반도체 제조용 기계 제조업,032-810-8400,반도체 후공정 장비
215,제온시스 주식회사,"인천광역시 연수구 송도미래로 30, E동 12층 1209호(송도동, 송도 BRC 스마트밸리 지식산업센터) 외 1필지",기타 전기 변환장치 제조업 외 1 종,032-815-3462,"전자부품(센서),  전자장비"
216,제일에스컬레이터(주),"인천광역시 연수구 송도미래로 30, B동 6층 618 (송도동)",승강기 제조업,032-865-0656,"E/S 제어판, 안전기판, 역주행발지장치"
217,제일테크,인천광역시 연수구 능허대로191번길 43 (옥련동) C동 B01호,그 외 기타 일반목적용 기계 제조업,032-834-2188,"배관설비, 자재"
218,주식회사 가든포유,"인천광역시 연수구 송도과학로 80, 송도AIT센터동 3층 101-314호 (송도동, 송도 AIT센터)",공기 조화장치 제조업 외 1 종,032-821-9840,바이오월
219,주식회사 건엔텍,"인천광역시 연수구 청명로31번길 15, 1층 (청학동)",직물포대 제조업,032-819-0404,기타플라스틱포대
220,주식회사 그레이스케일,"인천광역시 연수구 송도과학로 70, 332호(송도동)",전시용 모형 제조업,032-858-0404,전시용 모형
221,주식회사 다즈,"인천광역시 연수구 송도미래로 30, E동 8층 808호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",그 외 기타 전기장비 제조업,032-837-5639,발전기 및 공기압축기용 디지털 컨트롤러
222,주식회사 더블릭컴퍼니,"인천광역시 연수구 송도과학로 70, 3층 310호 (송도동)",반도체 제조용 기계 제조업,032-819-1908,"반도체 제조용 기계, 자동화 설비 등"
223,주식회사 더아이원,"인천광역시 연수구 송도미래로 30, D동 1011호(송도동, 송도 BRC 스마트밸리 지식산업센터) 외 1필지","근무복, 작업복 및 유사의복 제조업 외 3 종",070-4451-1715,"근무복, 체육복, 남성용의류, 여성용의류, 가방"
224,주식회사 마이즈,"인천광역시 연수구 송도미래로 30, 디동 1901,1902호(송도동, 송도 BRC 스마트밸리 지식산업센터)",유선 통신장비 제조업 외 3 종,미기재,"출입통제시스템, 도서관리시스템, 기타주변기기"
225,주식회사 메드믹스,"인천광역시 연수구 송도미래로 30, B동 703호(송도동, 송도 BRC 스마트밸리 지식산업센터)",기타 가정용 전기기기 제조업,032-720-5800,"스마트룩스, 에으테룩스, 케어브라이트"
226,주식회사 명디자인,"인천광역시 연수구 독배로90번길 76, 수팰리스 1층 101호 (옥련동)",간판 및 광고물 제조업,032-833-0012,"현수막, 실사출력 외 광고물"
227,주식회사 바이오테크,인천광역시 연수구 예술로20번길 18 (선학동),액체 여과기 제조업 외 3 종,032-468-7829,냉온정수기/정수장비/우산빗물제거기/음향신호기/음성안내기
228,주식회사 베오텍,"인천광역시 연수구 송도미래로 30, D동 2107호(송도동, 송도 BRC 스마트밸리 지식산업센터)",액정 표시장치 제조업,032-215-0308,"디스플레이, 센서모듈"
229,주식회사 비알인포텍,"인천광역시 연수구 송도과학로 32, M동 2001호(송도동, 송도테크노파크IT센터)",방송장비 제조업 외 1 종,070-5138-9891,"영상감시장치, 유무선통신기기"
230,주식회사 새비로보틱스,"인천광역시 연수구 송도미래로 30, A동 8층 802호(송도동, 송도 BRC 스마트밸리 지식산업센터)",산업용 로봇 제조업 외 2 종,미기재,산업용 로봇
231,주식회사 스피드플로어,"인천광역시 연수구 송도과학로 70, 지식산업센터 업무동 9층 910호(송도동)",화물자동차 및 특수목적용 자동차 제조업,032-891-7999,자동차 상하차 장치
232,주식회사 아베크커스텀,"인천광역시 연수구 송도미래로 30, E동 3층 307호(송도동, 송도 BRC 스마트밸리 지식산업센터)",모터사이클 제조업,미기재,전기자전거
233,주식회사 아세코,"인천광역시 연수구 능허대로179번길 43, 210호 (옥련동)",기타 직물제품 제조업,032-777-9229,마스크
234,주식회사 안테라딕스,"인천광역시 연수구 송도미래로 30, E동 10층 1008호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",그 외 기타 전자부품 제조업,070-7600-4848,"네트워크 카드(랜카드), 모뎀"
235,주식회사 어반어소시에이츠,"인천광역시 연수구 송도미래로 30, 에이동 18층 1804 (송도동)",전기경보 및 신호장치 제조업 외 1 종,032-210-6336,"보행신호음성안내 보조장치, 시각장애인용 음향신호기"
236,주식회사 에스비케이엔지니어링,"인천광역시 연수구 송도과학로 32, M동 1004호(송도동, 송도테크노파크IT센터)",기억장치 제조업,032-520-6260,컴퓨터 기억장치
237,주식회사 에스알디글로벌,"인천광역시 연수구 송도미래로 30, B동 4층 419 (송도동)",그 외 기타 특수목적용 기계 제조업 외 2 종,032-837-5178,"GLD클램프,LD 테이프, PH고흡수패드"
238,주식회사 에이치더블유,"인천광역시 연수구 송도미래로 30, 이동 1308-1호(송도동, 송도 BRC 스마트밸리 지식산업센터)",방송장비 제조업 외 4 종,032-817-7421,"방송장비, 통신장비, 영상기기, 음향기기, 광학기기"
239,주식회사 에이치쓰리알,"인천광역시 연수구 송도과학로 70, 3층 321호(송도동, 송도 AT센터)",모터사이클 제조업,미기재,이모빌리티 자전거
240,주식회사 엔에스피,"인천광역시 연수구 송도과학로 80, 303호 (송도동) 외 1필지",산업용 로봇 제조업,ARS-1661-7630,자동화 로봇 및 로봇 자동화 시스템
241,주식회사 엠에스이노버,"인천광역시 연수구 청솔로 62-3, 지하1층(청학동)","근무복, 작업복 및 유사의복 제조업 외 2 종",ARS-1577-0327,"운동복, 정복, 근무복, 외투, 운동복, 정복, 근무복, 외투, 운동복, 정복, 근무복, 외투"
242,주식회사 올메이드,"인천광역시 연수구 송도미래로 30, E동 8층 801호(송도동, 송도 BRC 스마트밸리 지식산업센터)",그 외 기타 의료용 기기 제조업 외 1 종,032-858-8711,체외진단의료기기용 시약
243,주식회사 위즈윙,"인천광역시 연수구 송도미래로 30, E동 6층 609호 (송도동, 송도 BRC 스마트밸리 지식산업센터) 외 1필지",무인 항공기 및 무인 비행장치 제조업 외 1 종,070-5153-4008,"무인항공기, 드론"
244,주식회사 유진테크원,"인천광역시 연수구 송도과학로 70, 오피스동 10층 1004호 (송도동) 외 1필지",산업용 로봇 제조업,032-818-2008,"로봇부품, 로봇컨텐츠, 지능형 자동화 장비"
245,주식회사 이룸이엔씨,"인천광역시 연수구 송도미래로 30, E동 9층 909호(송도동, 송도 BRC 스마트밸리 지식산업센터)",기타 무선 통신장비 제조업,032-834-9878,5G 고집적 안테나
246,주식회사 이엔집스,"인천광역시 연수구 송도미래로 30, 에이동 1302호(송도동, 송도 BRC 스마트밸리 지식산업센터)",골판지 상자 및 가공제품 제조업,미기재,골판지 교구 및 장난감
247,주식회사 젠퓨어,"인천광역시 연수구 송도미래로 30, 비동 10층 1004 (송도동) 외 1필지",화장품 제조업,032-837-5060,화장품
248,주식회사 카네비모빌리티,인천광역시 연수구 송도과학로16번길 13-25 (송도동),전자감지장치 제조업 외 3 종,070-4242-1224,"블랙박스, 내비게이션, 하이패스 등"
249,주식회사 케이에스디엔에스,"인천광역시 연수구 송도미래로 30, D동 2010호(송도동, 송도 BRC 스마트밸리 지식산업센터)",산업용 로봇 제조업 외 1 종,032-715-7191,"다관절 및 직교 로봇 공장자동화 설비 및 스마트팩토리시스템, 멀티메타 및 테스트기"
250,주식회사 큐에스택,"인천광역시 연수구 송도과학로 32, M동 2104호(송도동, 송도테크노파크IT센터)",그 외 기타 의료용 기기 제조업,032-859-3838,체외진단 의료기기
251,주식회사 크라이저,"인천광역시 연수구 송도미래로 30, 에이동 712호(송도동, 송도 BRC 스마트밸리 지식산업센터)",컴퓨터 모니터 제조업 외 2 종,070-7098-1475,"키오스크&무인시스템, 터치PC모니터"
252,주식회사 테라노바,인천광역시 연수구 송도과학로 70 (송도동) 1동 7층 8호,무인 항공기 및 무인 비행장치 제조업,032-299-1212,무인항공기 및 무인비행장치
253,주식회사 티씨에스,"인천광역시 연수구 송도미래로 30, E동 404호(송도동, 송도 BRC 스마트밸리 지식산업센터)",플라스틱 접착처리 제품 제조업,032-210-6295,플라스틱 접착처리 제품 제조업
254,주식회사 피토메카,"인천광역시 연수구 송도미래로 30, 에이동 7층 713 (송도동) 외 1필지",화장품 제조업,032-720-5533,화장품원료
255,중앙에너지주식회사,"인천광역시 연수구 송도미래로 30, D동 12층 1209 (송도동)",일반용 전기 조명장치 제조업 외 3 종,032-812-0302,조명기기 및 태양광발전장치
256,참좋은교복프리패스,"인천광역시 연수구 앵고개로 242, 206호(동춘동, 제일빌딩)","근무복, 작업복 및 유사의복 제조업",032-811-0866,의류
257,케이엠비테크,"인천광역시 연수구 송도미래로 30, 비동 8층 814 (송도동)",기기용 자동측정 및 제어장치 제조업 외 6 종,032-720-4115,"유량제어기,MFC,EPC,FPC 등"
258,케이조인스(주),"인천광역시 연수구 송도미래로 30, 에이동 7층 709 (송도동)",금속선 가공제품 제조업,070-4350-6866,"초전도 선재 접합, 마그넷"
259,테크젠정공(주),"인천광역시 연수구 송도미래로 30, 비동 B1층 비03 (송도동)",그 외 기타 전자부품 제조업 외 1 종,050-2811-7004,알루미늄 방열판
260,톤즈글로벌 주식회사,"인천광역시 연수구 송도과학로 70, 11층 1110호(송도동)","용기 세척, 포장 및 충전기 제조업",032-573-2021,화장품 충전기
261,티오케이첨단재료(주),인천광역시 연수구 첨단대로60번길 45 (송도동),감광재료 및 관련 화학제품 제조업,032-850-2011,"반도체용 포토레지스트, 정밀화학제품"
262,파네스토리,"인천광역시 연수구 비류대로144번길 30, 2층 (옥련동)",빵류 제조업,032-833-6998,식품
263,팍스코,"인천광역시 연수구 송도미래로 30, D동 9층 911호(송도동, 송도 BRC 스마트밸리 지식산업센터)",의료용품 및 기타 의약 관련제품 제조업 외 2 종,ARS-1599-3332,"비의료용 기능성 패치, 수액패치, 찜질팩, 핫팩, 향초, 방향제"
264,푸르개,인천광역시 연수구 송도미래로 30 (송도동) 에이동 11층 6호,그 외 기타 특수목적용 기계 제조업,070-8095-3656,반려동물 배변 수거함
265,하이코(주),"인천광역시 연수구 송도과학로 32, M 1103호 (송도동)",기타 전기 변환장치 제조업 외 1 종,032-231-1700,전력변환응용시스템
266,하이테크,"인천광역시 연수구 송도미래로 30, 에이동 B1층 B08 (송도동)",그 외 기타 금속가공업,032-577-0905,"경화기, 각종조명부품"
267,한국미쓰비시엘리베이터(주),인천광역시 연수구 지식기반로 101 (송도동),승강기 제조업,02-6670-2087,"승강기, 에스컬레이터"
268,한국산업디자인,"인천광역시 연수구 송도미래로 30, 에이동 4층 413 (송도동)",간판 및 광고물 제조업,032-811-9831,"간판, 일반광고물"
269,한국유미코아촉매 유한책임회사 송도공장,인천광역시 연수구 송도미래로 106(송도동),그 외 자동차용 신품 부품 제조업 외 1 종,032-454-2706,연료전지용 전극촉매
270,한샘오토메이션,"인천광역시 연수구 송도미래로 30, 디동1705호 (송도동)",산업처리공정 제어장비 제조업 외 1 종,032-837-5471,산업처리공정자동측정제어판넬
271,헨켈코리아(유),인천광역시 연수구 송도국제대로343번길 99 (송도동) 헨켈코리아(유),접착제 및 젤라틴 제조업,032-293-6600,반도체 재료
272,혜승테크,"인천광역시 연수구 송도미래로 30, A동 17층 1708-D호 (송도동)",금속 캔 및 기타 포장용기 제조업,미기재,안전기구 보관함
273,호암정밀,"인천광역시 연수구 송도미래로 30, 에이동 B1층 비13,비14 (송도동)",절삭가공 및 유사처리업 외 1 종,032-812-3893,기계부품
274,호원엔지니어링,"인천광역시 연수구 송도미래로 30, 비동 5층 513 (송도동)",배전반 및 전기 자동제어반 제조업,070-7439-6700,배전반 및 전기자동제어반
275,휴먼템,"인천광역시 연수구 송도미래로 30, A동 3층 315,316 (송도동)",가정용 전기 난방기기 제조업,032-837-4110,온수매트
276,휴앤코스메틱,"인천광역시 연수구 송도미래로 30, B동 6층 611 (송도동)",화장품 제조업,070-4110-9939,화장품
