순번,회사명,대표자명,공장대표주소(도로명),공장대표주소(지번),전화번호,생산품,데이터기준일자
151,맥산기업,김효식,"대전광역시 동구 선화로 197, 2층 (삼성동)",대전광역시 동구 삼성동 276-6번지 2층,042-624-6521,"열쇠고리, 핸드폰줄, 어깨 및 휘장, 기념품, 트로피, 안내판",2025-07-11
152,메가테크(주),이기현,대전광역시 동구 옛신탄진로55번길 8 (홍도동),대전광역시 동구 홍도동 140-19번지,042-936-5400,의료용기기,2025-07-11
153,명성정공사,김명진,대전광역시 동구 대전천동로 388 (효동),대전광역시 동구 효동 268-7번지,042-284-3749,기계부속,2025-07-11
154,명승정밀,서명옥,대전광역시 동구 산내로386번길 29-7 (하소동),대전광역시 동구 하소동 320-7번지,042-274-2829,"샤프트, 열처리롤러, 콘베이어 등",2025-07-11
155,모든CTP출력센터,김진숙외 1명,"대전광역시 동구 우암로50번길 58, 2층 (삼성동)",대전광역시 동구 삼성동 278-16번지 2층,042-626-7563,옵셋인쇄판출력 등 인쇄 출판,2025-07-11
156,모든인쇄문화사,구자빈,"대전광역시 동구 우암로50번길 58 (삼성동, 동아기획)",대전광역시 동구 삼성동 278-16번지,042-632-0308,"칼라책자,카달로그",2025-07-11
157,문광인쇄정보,정병양,대전광역시 동구 중앙로203번길 59 (정동),대전광역시 동구 정동 31-22 번지,042-224-5778,정부간행물 및 각종인쇄,2025-07-11
158,문성프라스틱,허창곤,"대전광역시 동구 대전로 635 (효동, 문성프라스틱)",대전광역시 동구 효동 267-2번지,042-271-6322,"농기계, 인력분무기",2025-07-11
159,미광사,"황선하, 원상순",대전광역시 동구 선화로192번길 33 (중동),대전광역시 동구 중동 32-6번지,042-253-5875,"인쇄물, 인쇄물",2025-07-11
160,미성체육사,최복용,"대전광역시 동구 계족로 254, 1층 미성체육사 (소제동, 삼화페인트)",대전광역시 동구 소제동 299-328번지 삼화페인트 1층 미성체육사,042-283-0300,체육복,2025-07-11
161,미스터베이커리(주),이향숙,대전광역시 동구 안골로28번길 15-5 (구도동),대전광역시 동구 구도동 394-2번지,042-637-8999,"빵류, 과자류, 기타식품류",2025-07-11
162,베스트로,채수진,대전광역시 동구 대전천동로 596 (중동),대전광역시 동구 중동 47-26번지,042-252-4577,"상패, 기념품, 휘장, 표찰 등",2025-07-11
163,보라교구산업,백남진,"대전광역시 동구 산내로 365-15 (하소동, 광일제재소)",대전광역시 동구 하소동 370-2번지,042-256-2526,조립식목재가구,2025-07-11
164,빅픽쳐스 주식회사,김종민,대전광역시 동구 계족로 151 (대동) 대전지식산업센터 305호,대전광역시 동구 대동 115-2 대전지식산업센터 305호,070-4209-4773,건설기계 실습교육 가상현실 시뮬레이터,2025-07-11
165,사단법인 한국장애인사진콘텐츠협회,김지환,"대전광역시 동구 새울로 41, 2층 203 (판암동)",대전광역시 동구 판암동 239-2번지 2층 203,042-274-5581,"책자,리플렛,카다록,옵셑물",2025-07-11
166,사회복지법인애국단체원방송통신사업단,손문엽,"대전광역시 동구 대학로 62, 212호, 25호관 산학협력관 (용운동, 대전대학교)","대전광역시 동구 용운동 96-3번지 대전대학교 212호, 25호관 산학협력관",042-286-9313,유선통신장비 및 무선통신장비 등,2025-07-11
167,삼부크러치(주),이탁무,"대전광역시 동구 옥천로106번길 315 (판암동, 신호공업)",대전광역시 동구 판암동 166-8번지,042-282-8955,정형외과용의료기(목발),2025-07-11
168,삼성디자인기획,유근명,"대전광역시 동구 대전로815번길 29 (정동, 중앙인쇄사)",대전광역시 동구 정동 31-74번지,042-221-3111,상업인쇄물,2025-07-11
169,삼성디지털인쇄,정종탁,"대전광역시 동구 선화로186번길 29 (중동, 정호프로세서)",대전광역시 동구 중동 51-21번지,042-226-4475,"책자, 서식등(일반옵세인쇄)",2025-07-11
170,삼영유리창호산업,채복희,대전광역시 동구 산내로 518 (상소동),대전광역시 동구 상소동 1061-4,042-286-9005,복층유리,2025-07-11
171,삼일주방산업,송정섭,대전광역시 동구 충무로209번길 53 (인동),대전광역시 동구 인동 13-4번지,042-222-0251,"싱크대,작업대",2025-07-11
172,삼호정밀기계,김광수,"대전광역시 동구 산서로 1644-33 (대별동, 삼호정밀)",대전광역시 동구 대별동 175-1번지,042-283-6417,식품기계제조,2025-07-11
173,상도식품,민병식,대전광역시 동구 안골로28번길 139 (구도동),대전광역시 동구 구도동 385-5번지,042-624-1171,농수산물 냉동 저장처리,2025-07-11
174,샤인미디어,고영수,"대전광역시 동구 계족로 312, 2층 (성남동)",대전광역시 동구 성남동 55-2 2층,070-8282-0727,LED디스플레이,2025-07-11
175,샤인엔지니어링 주식회사,김정주,대전광역시 동구 우암로255번길 7 (가양동),대전광역시 동구 가양동 413-8번지,,"CCTV카메라, 불법주정차단속시스템",2025-07-11
176,서로 유한책임회사,이영희,"대전광역시 동구 중앙로200번길 99, 2층 5호 (원동)",대전광역시 동구 원동 42-1번지 2층 5호,,"사무용 봉제가구, 사무용 봉제가구, 사무용 봉제가구",2025-07-11
177,서진마스타,홍중기,"대전광역시 동구 태전로 24-1, 외1번지 1층 (중동)",대전광역시 동구 정동 31-71번지,042-252-2320,인쇄물,2025-07-11
178,선숙 농업회사법인(주),주용순,대전광역시 동구 대전천동로 104-4 (대성동),대전광역시 동구 대성동 99-1 번지,042-282-2353,"된장,고추장,절임류",2025-07-11
179,선일주방산업,전영완,"대전광역시 동구 물류로14번길 73-16, 선일주방산업(구도동)",대전광역시 동구 구도동 385-13 선일주방산업,042-282-3459,"업소용 작업대, 업소용 세정대, 업소용 주방후드",2025-07-11
180,성 인터내셔날,이병수,"대전광역시 동구 산서로1092번길 56, 293-1 (장척동)",대전광역시 동구 장척동 293-1번지,042-638-0852,목재가구(싱크대 등),2025-07-11
181,성광인쇄,최지연,대전광역시 동구 태전로 66-4 (삼성동),대전광역시 동구 삼성동 125-7번지,042-633-4034,오프셋 인쇄물,2025-07-11
182,성도교역,최계영,"대전광역시 동구 대흥로 204, 0 (인동)",대전광역시 동구 인동 11-1 0,02-306-2353,"방탄조끼, 전투조끼, 운동복, 근무복, 기동복, 정복, 작업복, 외투, 잠수복, 신발, 스타킹, 커튼, 가죽의복, 구두, 유아용 의복",2025-07-11
183,성도종합주방설비,이강석,대전광역시 동구 동산초교로45번길 45 (홍도동),대전광역시 동구 홍도동 168-2번지,042-625-2955,"상업용씽크대, 주방기구소독기, 상업용조리대, 플랫폼트럭",2025-07-11
184,성아패키지 주식회사,류지현,대전광역시 동구 물류로14번길 105 (구도동),대전광역시 동구 구도동 383-3번지,042-634-7618,종이용기 등,2025-07-11
185,성화패션,김숙희,"대전광역시 동구 흥룡로 60, 204호 (가양동, 동부프라자)",대전광역시 동구 가양동 52-2번지 동부프라자 204호,,"남녀정장, 단체복",2025-07-11
186,세광인쇄출판사,이봉용,"대전광역시 동구 우암로 73 (삼성동, 세광출판)",대전광역시 동구 삼성동 284-6번지,042-624-8567,"옵셋인쇄, 경인쇄 등 각종인쇄물",2025-07-11
187,세일양조장,박환서,"대전광역시 동구 대전로 312-25 (대성동, 세일양조장)",대전광역시 동구 대성동 233-3번지,042-283-4204,막걸리,2025-07-11
188,세진정공,양선욱,"대전광역시 동구 옥천로96번길 62-1 (판암동, 세진정밀)",대전광역시 동구 판암동 430-1번지,042-284-9941,금속절삭가공기계,2025-07-11
189,세풍지업상사,"정헌화외2인(정지수, 박미란)",대전광역시 동구 태전로 56-9 (삼성동),대전광역시 동구 삼성동 269-11,042-627-8333,"미색지, 백상지, 옵셋인쇄용지, 필기도화용지, 아트지, 중질지, 신문용지, 크라프트지, 복사지",2025-07-11
190,셀나노텍,유현희,"대전광역시 동구 대전로 764, 21-12 2층 (원동)",대전광역시 동구 원동 21-12번지 제일양복점 21-12 2층,042-242-0188,LED조명기기,2025-07-11
191,수로보틱스(SOOROBOTICS),이제원,"대전광역시 동구 계족로443번길 54, 지하 수로보틱스(용전동, 프랜드빌)",대전광역시 동구 용전동 175-13 프랜드빌 지하 수로보틱스,070-7532-9970,멀티콥터,2025-07-11
192,수영개발산업 주식회사,최별규,대전광역시 동구 동서대로 1505 (삼성동) 2층 201호 (삼성동),대전광역시 동구 삼성동 361-3 2층 201호 (삼성동),042-673-5300,"대중방송장비, 영상장비, 보안용카메라",2025-07-11
193,스쿨뱅크,우덕명,"대전광역시 동구 대성길 14, 2층 (가양동)",대전광역시 동구 가양동 579-14번지 2층,042-637-8722,"교복, 학생복",2025-07-11
194,시원유압,서기성,"대전광역시 동구 산내로474번길 105, 외1필지 (상소동)",대전광역시 동구 상소동 383-2번지,,"실린더, 버켓",2025-07-11
195,시큐솔,류일영,대전광역시 동구 대전천동로 574 (중동),대전광역시 동구 중동 51-53번지,,"기타인쇄물, 보안잉크 등",2025-07-11
196,신정보개발주식회사,홍명숙,"대전광역시 동구 대전천동로 172, 1층 (가오동)",대전광역시 동구 가오동 374-8 1층,041-856-9082,"수배전반, 자동제어반, 분전반, 전동기제어반",2025-07-11
197,신중앙포장,김홍락,"대전광역시 동구 산서로1660번길 176 (대별동, 중앙포장)",대전광역시 동구 대별동 9-2번지,042-286-7179,비닐포대,2025-07-11
198,신진기획인쇄사,박인수,대전광역시 동구 태전로 74-21 (삼성동),대전광역시 동구 삼성동 114-6번지,042-638-7887,각종인쇄품,2025-07-11
199,아이아트기획,"백새연, 정인숙","대전광역시 동구 태전로 70-34, 2층 (삼성동)",대전광역시 동구 삼성동 123-1 2층,042-226-9897,"교재,정기간행물,팜플릿, 기타인쇄물, 포스터",2025-07-11
200,알리다그룹(주),김종익,대전광역시 동구 동서대로 1566 (성남동),대전광역시 동구 성남동 229번지,,"옥외광고물, 실사출력",2025-07-11
201,알파플러스,오세진,대전광역시 동구 이화로 48 (대동) 외 1필지,대전광역시 동구 대동 61-6 외 1필지,042-934-0764,"LED 전구류, 세대유닛",2025-07-11
202,알프스상사,박종민,"대전광역시 동구 창조1길 48, 31-1 (원동)",대전광역시 동구 원동 31-1번지 공장 31-1,043-854-5395,"등짐펌프, 소방기기",2025-07-11
203,애드모아,박한진,대전광역시 동구 태전로 66-28 (삼성동),대전광역시 동구 삼성동 126-14번지,042-222-6880,인쇄물,2025-07-11
204,애림흑판사,송재학,대전광역시 동구 대전로 610-2 (효동),대전광역시 동구 효동 132-18번지,042-282-6403,"백,청판 및 게시판",2025-07-11
205,야곱산업,안유배,대전광역시 동구 산서로1604번길 37-8 (대별동) 외 2필지,대전광역시 동구 대별동 76-2번지 외 2필지,042-273-0400,"목재, 철재, 주방가구",2025-07-11
206,양지그린산업(주),김재성,"대전광역시 동구 산내로1327번길 6-28, 350 (낭월동)",대전광역시 동구 낭월동 350번지,042-274-8232,수목식재용 퇴비봉,2025-07-11
207,에너스마텍,송영환,대전광역시 동구 이사로 110-6 (이사동),대전광역시 동구 이사동 145-1번지,070-4107-6007,전기온풍기,2025-07-11
208,에스지아이(SGI),박만용,"대전광역시 동구 산내로1327번길 6-26, 349 (낭월동)",대전광역시 동구 낭월동 349번지 349,042-632-7667,"금형, 밀링, 산업기계",2025-07-11
209,에이스바텍,정옥임,대전광역시 동구 산서로 1646 (대별동),대전광역시 동구 대별동 181-1번지,042-283-6885,방화문 프레임,2025-07-11
210,에이스테크(주),김병식,대전광역시 동구 계족로392번길 138-3 (가양동),대전광역시 동구 가양동 449-1번지,070-4247-7521,스피커,2025-07-11
211,에이지티 주식회사,김경태,"대전광역시 동구 대학로 62, 204호, 산학협력관(창업보육센터)(용운동, 대전대학교)","대전광역시 동구 용운동 96-3 대전대학교 204호, 산학협력관(창업보육센터)",,보조사료(미생물제),2025-07-11
212,에코푸드 주식회사,편병천,대전광역시 동구 물류로14번길 73-23 (구도동),대전광역시 동구 구도동 385-15번지,042-282-7090,과자,2025-07-11
213,엔티에스(N.T.S),차정우,"대전광역시 동구 계족로 151, 4층 405호(대동, 대전지식산업센터) 4층 405호",대전광역시 동구 대동 549 대전지식산업센터 4층 405호 4층 405호,042-625-0946,"슬롯다이, 슬롯다이 코터",2025-07-11
214,엘에이치(LH)공공미술연구소,황혜진,"대전광역시 동구 옥천로 349, 정인빌딩(삼정동)",대전광역시 동구 삼정동 97-15 정인빌딩,042-273-5210,금속조형물,2025-07-11
215,엣지아이랩,박정석,"대전광역시 동구 대학로 62, 산학협력관 206호 (용운동, 대전대학교)",대전광역시 동구 용운동 96-3번지 대전대학교 산학협력관 206호,,마이크로프로세서 교육실습장비 외,2025-07-11
216,영선산업,김영선,대전광역시 동구 우암로246번길 9-16 (가양동),대전광역시 동구 가양동 408-7번지,042-632-4441,"넥타이 등, 가방, 정장, 근무복,작업복",2025-07-11
217,영신산업,반채학,"대전광역시 동구 산내로 556 (상소동, 영신산업)",대전광역시 동구 상소동 486-2번지,042-271-1669,"종량제봉투,농공업용비닐",2025-07-11
218,영창당인쇄사,이상준,"대전광역시 동구 태전로 74-25 (삼성동, 영상당인쇄사)",대전광역시 동구 삼성동 114-5번지,042-626-7888,각종양식.팜플렛,2025-07-11
219,영풍,김승덕,대전광역시 동구 물류로14번길 91-39 (구도동),대전광역시 동구 구도동 383-4,042-335-1533,큐비클,2025-07-11
220,예광기업사,이은우,"대전광역시 동구 태전로 66-24 (삼성동, 세풍지업상사)",대전광역시 동구 삼성동 126-12번지,042-625-0202,출판업,2025-07-11
221,온세계정보통신(주),박미경,대전광역시 동구 태전로147번길 9 (삼성동),대전광역시 동구 삼성동 361-6,042-639-3400,"대중방송장비, 영상장비, 보안용카메라",2025-07-11
222,우경가구,양경숙,대전광역시 동구 안골로28번길 15-35 (구도동),대전광역시 동구 구도동 394-3번지,042-286-9598,가구제품제조,2025-07-11
223,우일타올공업사,정연상,대전광역시 동구 계족로368번길 102(가양동),대전광역시 동구 가양동 508-23,,타올,2025-07-11
224,우진디지털인쇄사,"장근영, 이동희",대전광역시 동구 대전로839번길 51 (중동),대전광역시 동구 중동 5-1번지,042-226-7540,인쇄,2025-07-11
225,웃고문화사,윤종우,"대전광역시 동구 대전로867번길 42, 1층 (삼성동)",대전광역시 동구 삼성동 125-10 1층,042-625-5515,"교재, 연감, 정기간행물 , 팸플릿, 기타인쇄물",2025-07-11
226,원목조경,송순범,대전광역시 동구 산내로474번길 24 (상소동),대전광역시 동구 상소동 1028-2 번지,042-526-0500,"조경시설물(벤치,파고라외)",2025-07-11
227,월드시스템,양현열,"대전광역시 동구 옛신탄진로55번길 18-10, 1층 (홍도동)",대전광역시 동구 홍도동 140-9번지 1층,042-824-9124,실험용 장치,2025-07-11
228,웰가람,최충기,대전광역시 동구 산내로 1412-11 (대성동),대전광역시 동구 대성동 289번지,042-284-7401,"떡류, 빵류 등",2025-07-11
229,위더스,김천순,"대전광역시 동구 계족로438번길 7, 2층 (용전동)",대전광역시 동구 용전동 134-4 2층,070-4409-7505,"남자정복, 남성용외투, 여자정복, 여성용외투, 여자작업복, 여자근무복, 여성용운동복, 야광조끼, 소방기동복, 산불진화복, 남자작업복, 남자근무복, 남성용운동복, 기동복, 가죽의복, 유아용 의복, 야광조끼, 산불진화복, 전투복, 군용근무복, 군용비행복",2025-07-11
230,유성섬유공업사,류진환,대전광역시 동구 옻밭2길 86 (판암동),대전광역시 동구 판암동 553-8번지,042-282-5322,체육복,2025-07-11
231,유정식품,송문영,"대전광역시 동구 가양로68번길 7, 1층 (가양동)",대전광역시 동구 가양동 293-6 1층,,칼국수,2025-07-11
232,유한안전산업,조선희,대전광역시 동구 산내로474번길 85 (상소동),대전광역시 동구 상소동 386-3,042-273-0462,논슬립,2025-07-11
233,은성산업(주),육수영,"대전광역시 동구 이사로 56 (대별동, 은성산업)",대전광역시 동구 대별동 231-1번지,042-273-9478,"교통표지판,도로표지판,안내판 등",2025-07-11
234,은성정밀,조외연,대전광역시 동구 판암로 75 (판암동),대전광역시 동구 판암동 148-2번지,,사출 금형,2025-07-11
235,이강주식회사,한정민,"대전광역시 동구 물류로14번길 91-23, 1동(구도동)",대전광역시 동구 구도동 383 1동,042-272-8888,닭발 외,2025-07-11
236,이레테크,우시혁,대전광역시 동구 이사로166번길 105 (이사동),대전광역시 동구 이사동 321-2번지,042-627-9609,"오토클레이브,진공오븐",2025-07-11
237,이비오 주식회사,윤진원,대전광역시 동구 물류로14번길 73-19 (구도동),대전광역시 동구 구도동 385-8,042-823-0772,목재재단,2025-07-11
238,인쇄나라,장영주,대전광역시 동구 태전로 101-2 (삼성동),대전광역시 동구 삼성동 313-4번지,042-632-1192,"마스터 인쇄물(양식, 봉투,명함,전단, 엽서,청첩장 등",2025-07-11
239,일광제과,이민복,"대전광역시 동구 새둑길 30 (대동, 일광제과)",대전광역시 동구 대동 288-20번지,042-623-1947,과자(쿠키),2025-07-11
240,자연담 주식회사,박동희,대전광역시 동구 산내로513번길 41 (상소동),대전광역시 동구 상소동 681-2,042-320-8511,"건강보조식품, 기타가공식품",2025-07-11
241,장미,김태동,"대전광역시 동구 충정로 115-5, 1층 (자양동)",대전광역시 동구 자양동 173-4 1층,042-623-2413,침구류,2025-07-11
242,재경실업,진소연,"대전광역시 동구 한밭대로 1229-11, 2층 (용전동)",대전광역시 동구 용전동 11-4 2층,042-282-5486,"군용외투, 군용정복, 남성용외투, 남자정복, 여성용외투, 여자정복, 군용근무복, 군용비행복, 기동복, 남성용운동복, 남자근무복, 남자작업복, 소방기동복, 안전용덧옷, 야광조끼, 여성용운동복, 여자근무복, 여자작업복, 전투복, 안전용덧옷, 야광조끼, 장갑(편직제외)",2025-07-11
243,재경실업,진소연,대전광역시 동구 옻밭5길 105 (판암동),대전광역시 동구 판암동 559-6,042-282-5486,피복류,2025-07-11
244,재경실업,진소연,"대전광역시 동구 송촌남로11번길 167, 지하1층 (용전동)",대전광역시 동구 용전동 12-1 지하1층,042-282-5486,의류,2025-07-11
245,정농원연식품,한일석,"대전광역시 동구 동부로33번길 1 (판암동, 한일연식품공사)",대전광역시 동구 판암동 524번지,042-282-3566,두부,2025-07-11
246,제이에이산업(주),김규봉,"대전광역시 동구 대성동 104-3, 4번지","대전광역시 동구 대성동 104-3, 4번지",042-283-1472,"간판, 표지판",2025-07-11
247,제이엠,구자명,"대전광역시 동구 동서대로 1711, 3층 (용전동)",대전광역시 동구 용전동 111-9번지 3층,042-863-2258,"LED등(공장등, 가로등, 보안등 외)",2025-07-11
248,주)텍코드,최영규,"대전광역시 동구 대전로 887, 지하1층 (삼성동, 대일빌딩)",대전광역시 동구 삼성동 294-8번지 대일빌딩 지하1층,042-221-0015,수동식 의약품 주입펌프,2025-07-11
249,주식회사 가오식품,황효진,"대전광역시 동구 산내로1299번길 61-13, 1, 2층 (낭월동)","대전광역시 동구 낭월동 490 1, 2층",042-283-6874,두부,2025-07-11
250,주식회사 건성,이도길,대전광역시 동구 옛신탄진로55번길 10 (홍도동),대전광역시 동구 홍도동 140-18,042-636-0729,"수문 , 수문밸브 , 권양기, 흡수식냉온수기, 공기청정기, 하수처리장치및구성품, 공조관련제품, 주철제보일러 ",2025-07-11
251,주식회사 경인개발,박정용,대전광역시 동구 구도동 383번지,대전광역시 동구 구도동 383번지,,건축자재제품제조(P.C),2025-07-11
252,주식회사 계룡전기,이상필,"대전광역시 동구 대전로 421-9, 1층 (가오동)",대전광역시 동구 가오동 374-61번지 1층,042-271-9086,배전반,2025-07-11
253,주식회사 굿페이퍼,박미화,대전광역시 동구 태전로 56-14 (삼성동),대전광역시 동구 삼성동 270-15번지,042-627-8335,인쇄용 원지 필기용 원지,2025-07-11
254,주식회사 그리닉스,신충교,"대전광역시 동구 계족로 151, 6층 608호 (대동, 대전지식산업센터) 6층 608호",대전광역시 동구 대동 549 대전지식산업센터 6층 608호 6층 608호,042-862-2070,온실가스 저감제,2025-07-11
255,주식회사 글루업,박경준,"대전광역시 동구 계족로140번길 191-5, 101호(용운동)",대전광역시 동구 용운동 432-6 101호,02-6405-8419,건조 된 고구마말랭이,2025-07-11
256,주식회사 나도식품,"민혜란, 진유정",대전광역시 동구 옥천로 313 (삼정동),대전광역시 동구 삼정동 118-4번지,042-586-2220,복합 조미식품,2025-07-11
257,주식회사 더큰도시락,변기환,"대전광역시 동구 안골로28번길 139, 1층 (구도동)",대전광역시 동구 구도동 385-5 1층,042-825-9682,도시락,2025-07-11
258,주식회사 디엘컴퍼니,이용석,대전광역시 동구 옛신탄진로 52-2 (홍도동),대전광역시 동구 홍도동 167-3,042-625-9760,절임식품,2025-07-11
259,주식회사 디엘피,김환희,대전광역시 동구 계족로 235 (소제동) 1층,대전광역시 동구 소제동 301-1 1층,042-623-0535,베이글,2025-07-11
260,주식회사 미래신소재,박은봉,"대전광역시 동구 산내로1257번길 80, 1층 (낭월동)",대전광역시 동구 낭월동 535 1층,,"방염복, 내화소화용파이프",2025-07-11
261,주식회사 미르 팩토리,김대희,"대전광역시 동구 매봉로 18, 1층 (56호, 57호, 58호)(가양동, 가양시장)","대전광역시 동구 가양동 434 가양시장 1층 (56호, 57호, 58호)",042-626-8097,댕댕슈즈,2025-07-11
262,주식회사 반야테크,김성자,대전광역시 동구 산내로 465 (하소동),대전광역시 동구 하소동 143-8 번지,042-822-8061,"마루틀(체육관,교실,헬스장,박물관)",2025-07-11
263,주식회사 보라커텐시스템,"한인희, 박서윤",대전광역시 동구 산내로1305번길 49 (낭월동),대전광역시 동구 낭월동 474-0,042-636-8877,커텐/블라인드,2025-07-11
264,주식회사 복사꽃사람들,박종범,"대전광역시 동구 대전로867번길 46, 2층(삼성동)",대전광역시 동구 삼성동 125-2 2층,042-672-6822,인쇄물,2025-07-11
265,주식회사 부러쉬라인,이정곤,대전광역시 동구 우암로 93-21 (삼성동),대전광역시 동구 삼성동 292-4,042-637-2804,"치실, 실리콘치실, 치간칫솔, 칫솔외",2025-07-11
266,주식회사 비비드,유란숙,대전광역시 동구 대전로1002번길 7 (홍도동),대전광역시 동구 홍도동 136-23번지,,"LED, 조명기구",2025-07-11
267,주식회사 비엠에스티,김기현,"대전광역시 동구 대학로 62, 212호 산학협력단(창업보육센터)(용운동, 대전대학교)",대전광역시 동구 용운동 96-3 대전대학교 212호 산학협력단(창업보육센터),,훈증소독시스템,2025-07-11
268,주식회사 사모스,송인옥,대전광역시 동구 산서로1604번길 37-8 (대별동) 외 2필지,대전광역시 동구 대별동 76-2번지 외 2필지,042-271-8212,가구,2025-07-11
269,주식회사 삼보,민병직,대전광역시 동구 안골로28번길 15-20 (구도동),대전광역시 동구 구도동 394-14번지,,"자동화기계, 기계부품",2025-07-11
270,주식회사 삼보테크,민병주,대전광역시 동구 안골로28번길 15-20 (구도동),대전광역시 동구 구도동 394-14번지,042-368-4040,"안경몰드 테이핑기계, 안경렌즈 포장기계",2025-07-11
271,주식회사 삼환바이오우드,신동창,대전광역시 동구 판암로62번길 27 (판암동),대전광역시 동구 판암동 171-7번지,042-625-5060,나무제품,2025-07-11
272,주식회사 선광패브릭,최덕수,"대전광역시 동구 대흥로 197-7, 85-43 (원동)",대전광역시 동구 원동 85-43번지,042-222-2148,"이불, 베개, 침장류",2025-07-11
273,주식회사 선우라이팅,이덕예,대전광역시 동구 산내로1287번길 24 (낭월동),대전광역시 동구 낭월동 586번지,042-625-4155,전기조명장치(LED조명기구),2025-07-11
274,주식회사 선정퍼니처,이선정,대전광역시 동구 판암로62번길 23 (판암동),대전광역시 동구 판암동 170번지,042-537-7175,"씽크대, 신발장, 붙박이장등",2025-07-11
275,주식회사 선정퍼니처,강나연,대전광역시 동구 대별로 5 (대별동),대전광역시 동구 대별동 132-2번지,042-537-7172,주방용 가구 및 일반용가구,2025-07-11
276,주식회사 성수바이오텍,안성수,대전광역시 동구 산내로1257번길 67 (낭월동),대전광역시 동구 낭월동 734번지,042-320-8002,"내추럴에너미, 모파리플러스, 크린업, 에어프레",2025-07-11
277,주식회사 성수바이오텍,안성수,대전광역시 동구 산내로513번길 53 (상소동) 외 1필지,대전광역시 동구 상소동 681-3번지 외 1필지,042-320-8511,"내추럴에너미, 에스바이오킬라, 바퀴에어로솔, 과산화수소수, 소독용에탄올",2025-07-11
278,주식회사 성원스틸,홍성학,대전광역시 동구 구도동 384번지,대전광역시 동구 구도동 384번지,043-732-0602,건축부자재(칼라강판),2025-07-11
279,주식회사 세진플랜트엔에어텍,이홍수,대전광역시 동구 안골로28번길 15-39 (구도동),대전광역시 동구 구도동 394-4번지,042-636-7761,"세척기, 중숙기 외 스테인레스가공",2025-07-11
280,주식회사 시원산업개발,강철원,대전광역시 동구 산내로474번길 105 (상소동),대전광역시 동구 상소동 383-2,,"디자인형울타리, 창살형울타리, 금속제기타울타리, 차양 등",2025-07-11
281,주식회사 신흥정보,정종화,"대전광역시 동구 새울로 41, 204호 (판암동)",대전광역시 동구 판암동 239-2 204호,042-285-5981,무인교통감시장치,2025-07-11
282,주식회사 씨엘와이,백송학,대전광역시 동구 역전4길 39 (정동),대전광역시 동구 정동 4-17번지,042-622-0080,"시험기기, 자동제어, 프로그래밍",2025-07-11
283,주식회사 아보네,이재용,"대전광역시 동구 대학로 62, 대전대학교 산학협력단 307호 (용운동, 대전대학교)",대전광역시 동구 용운동 96-3번지 대전대학교 대전대학교 산학협력단 307호,042-286-8602,그림자 조명 시스템,2025-07-11
284,주식회사 아보네,이재용 외 1명,대전광역시 동구 동부로 99 (용운동),대전광역시 동구 용운동 317-4번지,070-4685-2390,그림자 광고 시스템,2025-07-11
285,주식회사 아보네,이재용,대전광역시 동구 동부로 105 (용운동),대전광역시 동구 용운동 317-3번지,,그림자 광고 시스템,2025-07-11
286,주식회사 아신정보기술,이현규,대전광역시 동구 이사로 4 (대별동),대전광역시 동구 대별동 126-3번지,042-271-9865,유무선통신장비 등,2025-07-11
287,주식회사 아이빌,지명근,대전광역시 동구 물류로14번길 91-15 (구도동),대전광역시 동구 구도동 384-7,042-273-8112,"유압시스템, 유압제어장치",2025-07-11
288,주식회사 아튼,강희준,"대전광역시 동구 우암로85번길 35, 2층 (삼성동)",대전광역시 동구 삼성동 287-1번지 2층,070-4408-9977,"주차관제,CCT,방송,출입통제설비,전광판",2025-07-11
289,주식회사 안심동국당 (ANSIM DONGGOOK DANG INC.),도영복,"대전광역시 동구 중앙로203번길 13-1, 1층 (중동)",대전광역시 동구 중동 63-1 1층,042-253-4252,건강보조용 액화식품,2025-07-11
290,주식회사 애플퍼니쳐,서진원,대전광역시 동구 옛신탄진로55번길 14(홍도동),대전광역시 동구 홍도동 140-8,,가구 제조,2025-07-11
291,주식회사 에드코스,김성진,대전광역시 동구 충정로 21 (가양동) 창업보육센터 4204호,대전광역시 동구 가양동 77-3 창업보육센터 4204호,070-4334-2233,화장품,2025-07-11
292,주식회사 에스투라인,박재기,대전광역시 동구 계족로438번길 7 (용전동),대전광역시 동구 용전동 134-4번지,042-625-3144,"방역복, 보호복, 근무복",2025-07-11
293,주식회사 에어라파,김덕수,"대전광역시 동구 대전천동로 632, 에어라파(삼성동)",대전광역시 동구 삼성동 280-7 에어라파,042-622-1500,에어라파 안개 분무기,2025-07-11
294,주식회사 에어웍스,김한수,"대전광역시 동구 대학로 62, 산학협력관 311호(용운동, 대전대학교)",대전광역시 동구 용운동 96-3 대전대학교 산학협력관 311호,042-272-2014,"대기오염측정기, 다중가스검출기",2025-07-11
295,주식회사 에이아이테크놀로지,최지섭,대전광역시 동구 안골로28번길 15-4 (구도동),대전광역시 동구 구도동 394-20,042-284-7779,AI 안전용품,2025-07-11
296,주식회사 에코그린플러스,조병옥,"대전광역시 동구 대전로 930, 4층 401호 (삼성동)",대전광역시 동구 삼성동 302-11번지 4층 401호,042-628-7573,"매연저감기, 연료절감기",2025-07-11
