순번,회사명,공장대표주소(도로명),업종명,전화번호,종업원수,생산품
168,주식회사 오아이티,"대전광역시 서구 갈마중로 12, 갤럭시21빌딩 302호 (갈마동)",방송장비 제조업 외 1 종,031-998-2570,10,IP 방송단말기
169,주식회사 오토시스텍,"대전광역시 서구 도산로403번길 21, 203, 204, 205, 206, 207호(탄방동, 전자타운)",일반용 전기 조명장치 제조업 외 1 종,042-582-5675,10,"자동승강조명장치, 자동승강콘센트, LED 투광등"
170,주식회사 와이제이테크,"대전광역시 서구 대덕대로162번길 11, 5층 (갈마동)",기타 가정용 전기기기 제조업 외 1 종,042-535-0708,6,틀니살균세척기
171,주식회사 와이제이테크,"대전광역시 서구 둔산로 18, 802-6호 (둔산동, 향촌월드프라자)",기타 가정용 전기기기 제조업 외 1 종,042-535-0708,5,살균세척기
172,주식회사 유노미아,"대전광역시 서구 도산로 485, 3층 (탄방동)",컴퓨터 제조업 외 40 종,042-472-7437,6,야외운동기구
173,주식회사 이음아이씨티,대전광역시 서구 도산로314번길 24(가장동),전기경보 및 신호장치 제조업 외 3 종,042-522-1206,4,비상경보기
174,주식회사 이지스랩,"대전광역시 서구 월평중로24번길 53, 1층 (월평동)",기타 무선 통신장비 제조업 외 1 종,042-242-3112,2,"불법촬영탐지기기, 보안용금속탐지기, 도청방지기, 녹음방지기"
175,주식회사 지오,"대전광역시 서구 갈마중로30번길 67, 4층 (갈마동)",벽 및 바닥 피복용 플라스틱제품 제조업 외 1 종,042-380-7015,3,"태양광보차도경계석커버, 태양광볼라드커버"
176,주식회사 지오아이티,"대전광역시 서구 신갈마로127번길 141, 1층 (갈마동)",기타 주변기기 제조업,1544-4066,2,멀티미디어학습장치
177,주식회사 지원이앤아이,대전광역시 서구 계룡로 566 (괴정동) 4층,산업처리공정 제어장비 제조업,042-825-4857,4,하수관 막힘 방지 시스템
178,주식회사 코이코리아,대전광역시 서구 흑석4길 7 (흑석동),일반용 도료 및 관련제품 제조업 외 1 종,042-583-5822,2,기능성 코팅제
179,주식회사 태원시스템,대전광역시 서구 문정로170번길 83 (둔산동),배전반 및 전기 자동제어반 제조업,042-489-8751,15,"계장제어장치, 빌딩자동제어장치"
180,주식회사 프로콘 글로벌,대전광역시 서구 돌마루길 113(평촌동),합성수지 및 기타 플라스틱 물질 제조업 외 3 종,042-583-7587,3,"조형물, 전시용 모형, 조형물, 전시용 모형, 조형물, 전시용 모형, 조형물, 전시용 모형"
181,주식회사 플러스인,"대전광역시 서구 계백로 1301-14, 플러스 (정림동)",무인 항공기 및 무인 비행장치 제조업 외 1 종,070-7666-8272,8,드론
182,주식회사 한솔티에스,"대전광역시 서구 대덕대로 408, 테크노월드 4층 (45,46,47,48,49,54,60,61,62,63,64)호(만년동)",컴퓨터 제조업,042-610-6680,8,"데크스탑 컴퓨터, 서버"
183,주식회사 해규,"대전광역시 서구 도솔로 216, 2동 202호, 지하1층 (변동)",화학 살균.살충제 및 농업용 약제 제조업 외 1 종,042-523-6746,1,"손소독제, 유리막코팅제"
184,지에프씨(주),"대전광역시 서구 도안북로 88, 창업진흥센터 O403-1호 (도안동, 목원대학교)",운송장비 조립용 플라스틱제품 제조업 외 4 종,042-489-7849,1,"골반운동기, 파워뱅크"
185,진담기획,"대전광역시 서구 신갈마로211번안길 124, 지하1층 (갈마동)",간판 및 광고물 제조업,042-525-7477,1,안내표지판
186,참참도시락,"대전광역시 서구 월평로13번길 72, 1층 (월평동)",도시락류 제조업 외 1 종,042-487-7997,4,도시락
187,처음과 나중,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교)",금속가구제조업,042-1566-7587,2,의자
188,카페창업경영지원 협동조합,"대전광역시 서구 남선로 43, 1층 (탄방동)",음ㆍ식료품 및 담배 가공기계 제조업,042-482-2345,0,커피머신(로스터기)
189,카피플러스,대전광역시 서구 유등로465번길 15 (가장동),경 인쇄업,,3,양식인쇄/교재 제작 외
190,컴하이테크,"대전광역시 서구 대덕대로 408, 6층 24,65~68, 76~78호 (만년동, 테크노월드)",기타 무선 통신장비 제조업 외 1 종,042-610-6677,5,무선자동수위조절기
191,케이엘씨,"대전광역시 서구 관저중로80번길 5, 1층 (관저동)",그 외 기타 플라스틱 제품 제조업 외 15 종,042-545-0666,3,"가방,마스크,명찰케이스 등"
192,큰마음유한회사,대전광역시 서구 계백로1300번길 135 (정림동),그 외 기타 플라스틱 제품 제조업 외 20 종,042-582-8713,8,"명찰/명찰패킹류, 바지밴드/군화끈류, 군장용품류, 마스크/모자류, 의류 기타"
193,태일자동제어,대전광역시 서구 신갈마로 203 (갈마동),기타 전기 변환장치 제조업 외 1 종,042-535-7740,2,무정전전원장치
194,파워솔루션,"대전광역시 서구 갈마역로 155, 5층 503 (월평동)",그 외 기타 금속가공업 외 1 종,042-487-2815,1,반응기
195,평화당인쇄사,대전광역시 서구 갈마역로 155 (월평동),경 인쇄업 외 3 종,042-486-8051,4,책
196,프로서비스(주),"대전광역시 서구 도산로 251, 성보빌딩 1층 (내동)",배전반 및 전기 자동제어반 제조업 외 1 종,042-531-3130,24,배전반 및 전기자동제어반 제조
197,플랜비,"대전광역시 서구 배재로 155-40, 창업보육센터 B102호 (도마동, 배재대학교)",침구 및 관련제품 제조업 외 3 종,,2,향균 침구시트
198,한스산업(주),"대전광역시 서구 혜천로 40 (정림동, 한스빌딩)","근무복, 작업복 및 유사의복 제조업 외 4 종",042-523-8278,16,"안전화, 유니폼"
199,한스산업(주),"대전광역시 서구 혜천로 42, 2층 (정림동)",구두류 제조업 외 1 종,042-581-3677,30,신발
200,합자회사 유승기업,대전광역시 서구 용문동 518-2번지,,042-523-0033,71,"자동차정비, 중기부품제조"
201,해솔정보통신(주),대전광역시 서구 벌곡로1328번안길 143 (가수원동),,042-349-3562,5,"CCTV,방송장비,신호제어기, 유선및무선방송 전송기 제조.라디오방송용기기제조, 라디오.녹음기및음성재생기등의 음향기기제조, 비디오등각종기타영상기기를 제조, 전기식신호장치및안전장치등 교통통제용전기장치, 스피커,확성기,이어폰등기타음향기기를 제조"
202,화성전기(주),대전광역시 서구 변동로 104 (변동),,042-544-2782,3,"CCTV카메라, 오토리프트 장치"
203,화신엔지니어링,"대전광역시 서구 계룡로354번길 99, 1층, 지하1층 (갈마동)",,042-533-5242,7,"무정전전원장치, CCTV,유무선방송장치"
204,흥진섬유(주),"대전광역시 서구 갈마역로 155, 2층(월평동, 둔산테크노) 2층",,042-489-2742,50,"셔츠, 블라우스"
