회사명,유형,사업자등록번호,업종번호,업종명,최초등록일,지번주소,도로명주소,위도,경도,전화번호,팩스번호,대표자이름,종업원수,홈페이지주소
나노일렉트로닉스 주식회사,법인,4498701578,"22212, 28302, 28512",플라스틱 필름 제조업 외 2 종,2024-04-19,대전광역시 유성구 복용동 236-3번지 F동 7층 725호,대전광역시 유성구 복용동 236-3번지 F동 7층 725호,36.33796267,127.3216903,042-341-1203,,김영태,6,
나무그리고,개인,3142035328,"16292, 16221, 32021, 32029, 32099",장식용 목제품 제조업 외 4 종,2021-10-14,대전광역시 유성구 세동 148-4 외 1필지,대전광역시 유성구 세동로 261 외 1필지,36.29315455,127.2743612,042-543-6795,042-545-6795,박선주,11,www.woodand.co.kr
농업회사법인 (주)보리누리,법인,5668801088,"27216, 29210",산업처리공정 제어장비 제조업 외 1 종,2021-01-15,대전광역시 유성구 원내동 213-8 102호,대전광역시 유성구 진잠로92번길 28 (원내동) 102호,36.29992278,127.3172648,042-826-3654,0504-250-3699,한명석,14,
농업회사법인 보리누리주식회사,법인,5668801088,"27216, 28123, 29210, 58221",산업처리공정 제어장비 제조업 외 3 종,2021-06-24,대전광역시 유성구 원내동 98-12 2층 오른쪽,"대전광역시 유성구 진잠로106번길 95, 2층 오른쪽 (원내동)",36.30139221,127.3205033,042-826-3654,0504-250-3699,한명석,0,
농업회사법인 신정푸드시스템 주식회사,법인,3148193993,"10309, 10122, 10129",기타 과실ㆍ채소 가공 및 저장 처리업 외 2 종,2015-06-02,대전광역시 유성구 화암동 155-27번지,대전광역시 유성구 대덕대로925번길 26-17 (화암동),36.41300998,127.3765342,042-825-8961,,이태형,17,
농업회사법인동고동락(주),법인,2658600523,"10122, 10121, 10129, 10309, 10751, 10759",육류 포장육 및 냉동육 가공업 (가금류 제외) 외 5 종,2019-01-11,대전광역시 유성구 성북동 373-2번지,대전광역시 유성구 성북로154번길 307 (성북동),36.30607898,127.2940507,042-536-9500,042-824-3551,부경록,9,www.gogisin.com
뉴텍,개인,3140429388,"27199, 27213, 28909, 29299",그 외 기타 의료용 기기 제조업 외 3 종,2025-02-03,대전광역시 유성구 복용동 236-3 더리브시그니쳐 F241,"대전광역시 유성구 복용동로 43, 더리브시그니쳐 F241 (복용동)",36.33796267,127.3216903,042-862-9848,042-367-0979,표광성,1,
다성,개인,3051058916,"10309, ",기타 과실ㆍ채소 가공 및 저장 처리업,2012-04-20,대전광역시 유성구 장대동 356-4번지 1층,"대전광역시 유성구 문화원로6번길 17, 1층 (장대동)",36.36104662,127.3367114,042-484-7540,042-484-7545,김은주,4,
다이노나(주),법인,3148529825,"27199, ",그 외 기타 의료용 기기 제조업,2007-07-31,대전광역시 유성구 장대동 341-4번지,"대전광역시 유성구 유성대로 798-1, 5층 502호 (장대동)",36.36310692,127.3376969,042-824-9515,042-824-9516,송형근,32,www.dinona-inc.com
다인정밀,개인,3052395982,"25929, ",그 외 기타 금속가공업,2015-11-20,대전광역시 유성구 원촌동 118-4번지,대전광역시 유성구 엑스포로295번길 26 (원촌동),36.38279848,127.4044948,042-867-4977,,오우영,2,
대국,개인,3140471528,"33910, ",간판 및 광고물 제조업,2020-12-18,대전광역시 유성구 구암동 424-60 1층,대전광역시 유성구 현충원로443번길 1 (구암동) 1층,36.3596917,127.3200982,042-864-3488,042-864-3480,김홍은,1,
대성종이컵,개인,3141861221,"17909, ",그 외 기타 종이 및 판지 제품 제조업,2009-02-10,대전광역시 유성구 구암동 648-2번지,대전광역시 유성구 유성대로713번길 31 (구암동),36.35797042,127.3297067,042-825-2347,042-823-8858,김진태,2,
대하테크원(주),법인,3058195755,"28121, 28122, 28123","전기회로 개폐, 보호장치 제조업 외 2 종",2021-12-23,대전광역시 유성구 둔곡동 405-4 대하테크원(주),"대전광역시 유성구 국제과학11로 22, 대하테크원(주)(둔곡동)",36.46177029,127.361808,042-286-9745,,황철호,19,
더쉼,개인,8177500274,"10791, ",커피 가공업,2018-11-28,대전광역시 유성구 원신흥동 572-6번지 1층,"대전광역시 유성구 원신흥남로11번길 24-6, 1층 (원신흥동)",36.33376659,127.336842,042-824-1983,042-824-1983,박정숙,2,
도담에너시스(주),법인,3148613669,"27215, ",기기용 자동측정 및 제어장치 제조업,2007-07-10,대전광역시 유성구 구암동 630-1번지 2층,"대전광역시 유성구 유성대로 640, 2층 (구암동)",36.35108744,127.3285511,042-863-8663,042-863-8662,박찬호,4,www.dodamtech.co.kr
도듬,개인,8470901662,"10802, ",단미 사료 및 기타 사료 제조업,2020-10-15,대전광역시 유성구 덕명동 16-1 한밭대학교 한밭인큐베이터타운 404호,대전광역시 유성구 동서대로 125 (덕명동) 한밭대학교 한밭인큐베이터타운 404호,36.34530307,127.3051388,,050-4170-1948,이미연,2,
동서이엔씨 주식회사,법인,1588500359,"26421, ",방송장비 제조업,2016-11-21,대전광역시 유성구 노은동 555-5번지 2층 202호,"대전광역시 유성구 왕가봉로24번길 20, 2층 202호 (노은동)",36.36535841,127.3165611,1577-1303,042-867-4400,한계현,4,
동호에스티,개인,3180118198,"25929, ",그 외 기타 금속가공업,2014-10-29,대전광역시 유성구 원촌동 118-2번지 원촌동 118-2 제1종근린생활시설 (오민영),"대전광역시 유성구 엑스포로295번길 16 (원촌동, 원촌동 118-2 제1종근린생활시설 (오민영))",36.38284697,127.4051855,042-636-4977,,오민영,2,
두산건기충남판매(주),법인,3058147137,"29241, ",건설 및 채광용 기계장비 제조업,2012-09-04,대전광역시 유성구 갑동 394-13번지,대전광역시 유성구 현충원로 191 (갑동),36.36071395,127.2927563,042-639-5011,042-639-5014,김봉수,5,
떡매마을,개인,2951001853,"10711, ",떡류 제조업,2023-11-28,대전광역시 유성구 장대동 194-25 1층,"대전광역시 유성구 유성대로720번길 52, 1층 (장대동)",36.35719681,127.3348164,042-823-0500,,이지용,2,
리빙애그로(주),법인,3148646006,"22299, ",그 외 기타 플라스틱 제품 제조업,2012-10-15,대전광역시 유성구 장대동 211-42번지 3층,"대전광역시 유성구 유성대로719번길 1, 3층 (장대동)",36.35822377,127.3314984,070-4639-5277,042-824-5154,조흥열,4,
만년기업사,개인,3142760919,"23324, ","콘크리트 타일, 기와, 벽돌 및 블록 제조업",1994-01-24,대전광역시 유성구 안산동 357번지,"대전광역시 유성구 안금로 110-28 (안산동, 만년기업사)",36.41878083,127.2973607,042-825-1489,042-822-3303,변순애,9,
명성기술 주식회사,법인,2998601559,"28903, ",교통 신호장치 제조업,2023-12-15,대전광역시 유성구 복용동 236-3 F410호 F410호,"대전광역시 유성구 복용동로 43, F410호 (복용동) F410호",36.33796267,127.3216903,,,이수영,1,
바림 CNP,개인,3142636673,"18119, 18113",기타 인쇄업 외 1 종,2013-04-17,대전광역시 유성구 어은동 116-8번지,대전광역시 유성구 대학로 237 (어은동),36.36292486,127.3588925,042-863-6007,,이미래,2,
백광교구,개인,3141772115,"16299, ",그 외 기타 나무제품 제조업,2006-07-04,대전광역시 유성구 구암동 630-5번지,대전광역시 유성구 월드컵대로245번길 29 (구암동),36.35006633,127.3280697,042-825-0339,042-825-7541,이영신,3,
백산유압기계,개인,3060321466,"30201, 29161, 30202",차체 및 특장차 제조업 외 2 종,2012-07-16,대전광역시 유성구 탑립동 617-1번지,대전광역시 유성구 엑스포로539번길 200 (탑립동),36.40870425,127.3963033,042-936-8286,042-936-8287,김석곤,6,www.carcrane.net
베스트 주식회사,법인,4458700640,"28123, 28422",배전반 및 전기 자동제어반 제조업 외 1 종,2021-03-31,대전광역시 유성구 갑동 326-19,대전광역시 유성구 갑동로25번길 53-28 (갑동),36.36414923,127.2899729,0502-0212-7007,0502-0212-7008,남상미,3,
벧엘비닐화학,개인,3141860620,"22231, 22212","플라스틱 포대, 봉투 및 유사제품 제조업 외 1 종",2002-10-23,대전광역시 유성구 원내동 72-7번지,대전광역시 유성구 진잠로124번길 5-22 (원내동),36.30279567,127.3168947,042-544-8880,041-754-8556,정안수,5,
삼신건설산업(주),법인,1118192793,"25929, ",그 외 기타 금속가공업,2019-03-29,대전광역시 유성구 원내동 199-20번지,대전광역시 유성구 진잠로102번길 35 (원내동),36.30070759,127.3173916,042-542-4277,042-540-4077,강복기,6,
삼일산업,개인,3050870275,"25993, 16291, 25992, 28511",금속 위생용품 제조업 외 3 종,2014-04-09,대전광역시 유성구 대정동 64-3번지,대전광역시 유성구 한우물로66번길 143 (대정동),36.31459559,127.3317255,042-546-3836,042-256-4194,송정섭,8,
상아에프디,개인,3142195304,"10799, ",그 외 기타 식료품 제조업,2010-07-30,대전광역시 유성구 노은동 555-11번지 5층,"대전광역시 유성구 왕가봉로 22, 5층 (노은동)",36.36517283,127.3156267,070-8233-2215,042-826-2496,이점균,30,
새빛기술 주식회사,법인,3148186605,"26410, ",유선 통신장비 제조업,2018-04-11,대전광역시 유성구 대정동 314-4번지,대전광역시 유성구 대정로28번안길 65 (대정동),36.31256196,127.3210747,042-936-8686,042-936-8687,박종대,11,www.saevit.co.kr
서도테크 주식회사,법인,8978700496,"28903, 26421",교통 신호장치 제조업 외 1 종,2017-04-10,대전광역시 유성구 원내동 306-8번지 202호,"대전광역시 유성구 진잠로78번길 30, 202호 (원내동)",36.29885243,127.3176416,042-345-0980,,이태훈,1,
서울아쿠아룸,개인,3141258331,"10801, ",배합 사료 제조업,2023-04-27,대전광역시 유성구 교촌동 634-4,대전광역시 유성구 교촌로6번길 76 (교촌동),36.30304945,127.3155675,042-541-0771,042-541-0776,정현기,20,
성아정밀공업주식회사,법인,3148634927,"25924, ",절삭가공 및 유사처리업,2021-08-19,대전광역시 유성구 둔곡동 산21-1 성아정밀공업(주),"대전광역시 유성구 국제과학11로 2, 성아정밀공업(주)(둔곡동)",36.46066849,127.3630666,042-621-8532,,정병구,23,
성한 주식회사,법인,3148146957,"27215, 28123",기기용 자동측정 및 제어장치 제조업 외 1 종,2011-10-27,대전광역시 유성구 궁동 495-4 번지,대전광역시 유성구 대학로76번길 71 (궁동),36.35999197,127.3481638,042-826-1358,042-826-3068,윤홍익,74,www.sunghan.net
수성조명,개인,3140978808,"28422, 25113, 25114",일반용 전기 조명장치 제조업 외 2 종,2007-08-03,대전광역시 유성구 원내동 93-12번지 C동 1층,"대전광역시 유성구 원내로39번길 17, C동 1층 (원내동)",36.30059598,127.3199535,042-542-7400,042-543-1596,정순범,7,
시크릿츄러스,개인,3053048925,"10613, ",곡물 혼합분말 및 반죽 제조업,2015-03-09,대전광역시 유성구 관평동 928번지 리치스카이타워 109호,"대전광역시 유성구 테크노4로 119, 109호 (관평동, 리치스카이타워)",36.42409643,127.3890027,1899-0536,,오방울,1,
신화레미콘(주),법인,3148630256,"23322, ",레미콘 제조업,1992-10-01,대전광역시 유성구 봉산동 714번지,"대전광역시 유성구 금남구즉로 1379-12 (봉산동, 쌍용(주))",36.44550647,127.3848307,042-932-3552,042-932-3137,김희숙,21, 
쏠코리아(주),법인,6368800447,"32091, 27199",금속 가구 제조업 외 1 종,2017-10-11,대전광역시 유성구 복용동 590-12번지,대전광역시 유성구 복용남로 43-18 (복용동),36.34230526,127.3119608,042-274-0005,042-274-0008,오선준,4,www.ssolkorea.com
아이티아이(주),법인,3148604516,"26221, 26222, 26223",인쇄회로기판용 적층판 제조업 외 2 종,2010-03-26,대전광역시 유성구 덕명동 16-1번지 한밭대학교 27동 506호,"대전광역시 유성구 동서대로 125, 한밭대학교 27동 506호 (덕명동)",36.34530307,127.3051388,070-7014-9999,070-7016-1007,이충구,5,
아토즈씨앤텍(ATOZ Sci&Tech),개인,3142558175,"26310, ",컴퓨터 제조업,2020-12-17,대전광역시 유성구 지족동 863-2 계룡리슈빌스카이 지하층 제비02호,대전광역시 유성구 노은서로266번길 61 (지족동) 계룡리슈빌스카이 지하층 제비02호,36.38248668,127.3205467,042-823-4112,042-823-4110,김미연,4,
아트원 주식회사,법인,2398800149,"30203, 30121, 30399",트레일러 및 세미트레일러 제조업 외 2 종,2017-09-29,대전광역시 유성구 안산동 118-1번지,대전광역시 유성구 안금로15번길 49-4 (안산동),36.40792414,127.2994428,042-825-7759,042-484-7751,엄태건,16,www.artone.co.kr
아트원주식회사,법인,2398800149,"28422, ",일반용 전기 조명장치 제조업,2021-05-27,대전광역시 유성구 신동 657-3 아트원주식회사,"대전광역시 유성구 국제과학2로 22, 아트원주식회사 (신동)",36.47470893,127.366322,042-825-7759,,엄태건,17,
알엠텍,개인,3142247959,"27212, 26410, 29280, 33932","전자기 측정, 시험 및 분석기구 제조업 외 3 종",2013-12-27,대전광역시 유성구 덕명동 13번지,"대전광역시 유성구 동서대로 125, S9동407호,한밭대학교창업보육실 (덕명동)",36.34530307,127.3051388,042-826-1266,042-826-1267,천수경,5,
알투라에스프레소,개인,3142147253,"10791, ",커피 가공업,2017-04-11,대전광역시 유성구 교촌동 634-9번지,대전광역시 유성구 교촌로6번길 90 (교촌동),36.30334102,127.3161217,042-825-2850,,양지원,3,
에스정보통신(주),법인,3148603967,"28121, 28122","전기회로 개폐, 보호장치 제조업 외 1 종",2015-08-03,대전광역시 유성구 지족동 840-1번지 케이비타운빌딩 제10층 제2호,"대전광역시 유성구 지족로364번길 83, 케이비타운빌딩 제10층 제2호 (지족동)",36.38351584,127.3192671,042-487-1144,042-487-3210,정채환,5,
엠엔써프,개인,3100714996,"20493, 28902, 29261, 29299",접착제 및 젤라틴 제조업 외 3 종,2016-06-22,대전광역시 유성구 덕명동 16-1번지 S9동 404호,"대전광역시 유성구 동서대로 125, S9동 404호 (덕명동)",36.34530307,127.3051388,070-4686-1981,042-823-1983,박진석,1,
엠엔씨(MNC),개인,1071281758,"10799, ",그 외 기타 식료품 제조업,2011-09-09,"대전광역시 유성구 노은동 554-1 번지 PK빌딩 207호, 208호","대전광역시 유성구 왕가봉로 30, PK빌딩 207호, 208호 (노은동)",36.36585895,127.3158324,070-8233-2488,042-826-2496,이인균,3,
오비기획,개인,3142380028,"18111, 18113, 18119",경 인쇄업 외 2 종,2009-10-27,대전광역시 유성구 궁동 423-5번지,대전광역시 유성구 대학로 143-1 (궁동),36.36090964,127.3495267,042-823-5239,042-822-5239,김영희,7,
오비기획,개인,3142380028,"18111, 18119, 18122",경 인쇄업 외 2 종,2022-06-03,대전광역시 유성구 장대동 306-12 국제빌 1층,"대전광역시 유성구 유성대로811번길 20, 1층(장대동, 국제빌)",36.36522178,127.3371441,042-823-5239,,김영희,9,
우리시스템,법인,5418700477,"26224, 46432",전자부품 실장기판 제조업 외 1 종,2022-12-22,대전광역시 유성구 노은동 549-3 한밭빌딩 401호,"대전광역시 유성구 노은동로75번길 89, 401호(노은동, 한밭빌딩)",36.36746037,127.3185041,032-567-0430,032-567-0438,서선화,9,
우성어패럴,개인,6551402159,"14199, 14111, 14112, 14191, 14192",그 외 기타 봉제의복 제조업 외 4 종,2023-10-31,대전광역시 유성구 장대동 326-12 102호,"대전광역시 유성구 장대로80번길 41, 102호 (장대동)",36.36335091,127.3345636,,,이종숙,5,
운암개발(주),법인,3078107316,"26421, ",방송장비 제조업,2007-06-01,대전광역시 유성구 구암동 596-6 번지 유성타워아파트 상가지하 6호,"대전광역시 유성구 유성대로668번길 81, 유성타워아파트 상가지하 6호 (구암동)",36.35243498,127.3342329,042-476-2220,042-476-2221,유상섭,5,
원진식품,개인,3142447900,"10794, ",두부 및 유사식품 제조업,2009-02-26,대전광역시 유성구 하기동 328번지,대전광역시 유성구 노은로367번길 66 (하기동),36.3925738,127.3273258,042-825-3165,042-825-3164,노재현,1,
월드에너시스,개인,3141861560,"27215, 32091",기기용 자동측정 및 제어장치 제조업 외 1 종,2010-07-27,대전광역시 유성구 계산동 177-3번지,대전광역시 유성구 원계산로 192 (계산동),36.3303648,127.3043467,042-823-6073,042-823-6009,이흥균,10,
월드에너시스,개인,3141861560,"27215, ",기기용 자동측정 및 제어장치 제조업,2019-06-18,대전광역시 유성구 학하동 산 5-32번지,대전광역시 유성구 학하동 산 5-32번지,36.33307032,127.3062052,042-823-6073,042-823-6009,이흥균,14,
위시스(주),법인,1958702103,"26310, 26295, 27212",컴퓨터 제조업 외 2 종,2012-09-27,대전광역시 유성구 장대동 346-3번지,대전광역시 유성구 온천서로 95 (장대동),36.36265133,127.340063,070-4027-4928,042-825-7239,김완수,15,
유메인주식회사,법인,3148634946,"26429, ",기타 무선 통신장비 제조업,2024-11-04,대전광역시 유성구 장대동 359-9 102호,"대전광역시 유성구 문화원로10번길 46, 102호 (장대동)",36.35955513,127.3375375,ARS-1566-5363,042-367-2545,김영환,3,
유성산업,개인,3142275907,"25113, 25114",육상 금속 골조 구조재 제조업 외 1 종,2010-07-01,대전광역시 유성구 원내동 1번지,대전광역시 유성구 유성대로 110-29 (원내동),36.30958174,127.3215905,042-543-5485,,나길순,16,
유화자동차공업사,개인,3140258123,"29241, ",건설 및 채광용 기계장비 제조업,1998-05-15,대전광역시 유성구 원내동 797번지,대전광역시 유성구 계백로 919 (원내동),36.30105052,127.3254276,042-545-8800,042-545-2247,김형호,21,
인테오,개인,6451800244,"29199, ",그 외 기타 일반목적용 기계 제조업,2020-11-16,장대동 283-4 2층,"대전광역시 유성구 유성대로736번길 62 (장대동,갤러리빌2) 2층",36.35838974,127.3370348,042-824-6284,042-936-6285,김창진,1,
인트테크놀로지(주),법인,3148648509,"23992, ",연마재 제조업,2015-11-03,대전광역시 유성구 덕명동 16-1번지 S9동 306호,"대전광역시 유성구 동서대로 125, S9동 306호 (덕명동)",36.34530307,127.3051388,042-823-9690,,노백남,2,
인트테크놀로지(주),법인,3148648509,"23992, ",연마재 제조업,2015-11-03,대전광역시 유성구 덕명동 16-1번지 S9동 306호,"대전광역시 유성구 동서대로 125, S9동 306호 (덕명동)",36.34530307,127.3051388,042-823-9690,,노백남,2,
자인(주),법인,3148156547,"27213, 27214, 27215, 27216","물질 검사, 측정 및 분석기구 제조업 외 3 종",2007-08-14,대전광역시 유성구 도룡동 397-27번지 대덕빌딩 2층,"대전광역시 유성구 대덕대로578번길 14, 대덕빌딩 2층 (도룡동)",36.38432952,127.3794378,042-471-2492,042-471-2494,남익현,4,www.jainco.co.kr
주시회사 메이커스테크놀로지,법인,1198682955,"29222, ",디지털 적층 성형기계 제조업,2018-08-21,대전광역시 유성구 노은동 555-6번지 202호,"대전광역시 유성구 왕가봉로24번길 28-2, 202호 (노은동)",36.36535981,127.3168063,02-3397-0033,02-3397-0034,조태연,2,www.makerstec.com
주식회사 공간,법인,3138122613,"26519, 26329, 26410, 26421, 26429, 26521, 26529, 28901",비디오 및 기타 영상기기 제조업 외 7 종,2017-07-13,대전광역시 유성구 복용동 507번지 복용동 507 제1종근린생활시설 1층,"대전광역시 유성구 진잠옛로 238, 1층 (복용동, 복용동 507 제1종근린생활시설)",36.33910993,127.3174027,042-862-6699,042-634-9598,이향순,5,
주식회사 그린푸드앤케어,법인,7548800876,"10122, 10121",육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,2020-11-18,대전광역시 유성구 학하동 751-4 1층,대전광역시 유성구 학하남로91번길 6-19 (학하동) 1층,36.33770784,127.3086482,02-1800-3342,042-526-5656,길준경,4,
주식회사 금석건설,법인,3058171165,"23321, 23991, 25113",비내화 모르타르 제조업 외 2 종,2017-05-17,대전광역시 유성구 갑동 387-211번지,대전광역시 유성구 갑동로 57 (갑동),36.36180058,127.2936268,042-822-3580,042-822-3590,김동수,3,
주식회사 넥스윌,법인,3148175151,"26421, 26429",방송장비 제조업 외 1 종,2016-06-28,대전광역시 유성구 덕명동 529-1번지 제이제이빌딩 2층,"대전광역시 유성구 덕명로71번길 20, 제이제이빌딩 2층 (덕명동)",36.35830051,127.3069511,042-824-8171,042-824-8173,서원기,35,
"주식회사 대동에프앤씨(Daedong F&C Co,.Ltd.)",법인,8838700013,"16101, 32029",일반 제재업 외 1 종,2020-09-28,대전광역시 유성구 대정동 378-2,대전광역시 유성구 유성대로217번길 4-17 (대정동),36.3175692,127.3140933,042-477-9900,042-542-9908,유병민,0,
주식회사 대명통신,법인,2758600893,"26410, 25112, 25113, 26323, 26421, 26429, 26519, 28423, 28903, 29163",유선 통신장비 제조업 외 9 종,2023-03-30,대전광역시 유성구 장대동 337-4 2층 202호,"대전광역시 유성구 유성대로 789, 2층 202호(장대동)",36.36259645,127.3366537,042-863-4405,042-822-4406,강봉수,7,
주식회사 델타시스템,법인,3148126567,"26421, 26429",방송장비 제조업 외 1 종,2017-07-13,대전광역시 유성구 봉명동 641-8번지 4층,"대전광역시 유성구 문화원로 118, 4층 (봉명동)",36.35840845,127.3486561,042-486-7777,042-486-0977,이인석,5,
주식회사 돌봄드림,법인,5508601906,"28519, 13229, 14191, 14192",기타 가정용 전기기기 제조업 외 3 종,2021-06-21,대전광역시 유성구 구암동 592-3 103호,대전광역시 유성구 구암동 계룡로32번길 34 103호,36.35426189,127.3337606,070-4452-5300,0504-318-5166,김지훈,2,www.dolbomdream.com
주식회사 두잇,법인,2558800724,"27211, 42321, 58222","레이더, 항행용 무선기기 및 측량기구 제조업 외 2 종",2021-08-31,"대전광역시 유성구 학하동 718-10 1층, 주식회사 두잇 공장","대전광역시 유성구 학하중앙로127번길 10-40, 1층, 주식회사 두잇 공장(학하동)",36.340781,127.3086322,042-483-8206,042-483-8207,"김숙, 노진석",22,www.k-doit.com
주식회사 라인텍,법인,3148655562,"29271, 27214",반도체 제조용 기계 제조업 외 1 종,2015-08-03,대전광역시 유성구 화암동 65-1번지,대전광역시 유성구 대덕대로 806 (화암동),36.40157563,127.3752652,042-624-0700,042-638-2211,배정이,11,
주식회사 라인피아,법인,1398167481,"26310, 26329, 26429",컴퓨터 제조업 외 2 종,2024-05-13,대전광역시 유성구 대정동 377-1 라인피아,"대전광역시 유성구 유성대로217번길 4-15, 라인피아 (대정동)",36.31743427,127.314139,042-721-5550,042-721-5551,우진호,8,
주식회사 리모샷,법인,4398701076,"22299, 26329",그 외 기타 플라스틱 제품 제조업 외 1 종,2024-01-09,대전광역시 유성구 노은동 549-3 한밭빌딩 303호,"대전광역시 유성구 노은동로75번길 89, 303호(노은동, 한밭빌딩)",36.36746037,127.3185041,,0504-398-7157,정상훈,13,www.remoshot.com
주식회사 마루이엔지,법인,3148182477,"26421, ",방송장비 제조업,2023-04-27,대전광역시 유성구 복용동 236-3 3층 F339호 3층 F339호,"대전광역시 유성구 복용동로 43, 3층 F339호 (복용동) 3층 F339호",36.33796267,127.3216903,042-471-8782,042-471-8783,이우철,5,www.marueng.co.kr
주식회사 모바휠,법인,2728601874,"26295, ",전자감지장치 제조업,2025-01-14,대전광역시 유성구 장대동 305-9 모바일 R&D센터,"대전광역시 유성구 유성대로821번길 4-3, 모바일 R&D센터 (장대동)",36.36547887,127.338,070-5015-5978,,김민현,0,
주식회사 무니치코리아,법인,1028147450,"14191, ",셔츠 및 블라우스 제조업,2023-06-23,대전광역시 유성구 신성동 124-15 101호,"대전광역시 유성구 신성로98번길 13, 101호 (신성동)",36.39117143,127.3508247,,,김지용,1,
주식회사 문정화학,법인,1258183406,"20422, 20423","치약, 비누 및 기타 세제 제조업 외 1 종",2025-03-11,대전광역시 유성구 복용동 236-3 공장동 3층 F322호,"대전광역시 유성구 복용동로 43,  (복용동) 공장동 3층 F322호",36.33796267,127.3216903,043-544-1819,043-543-1849,한철,3,
주식회사 미주,법인,3148637619,"28903, 26310, 26421, 26519, 28423",교통 신호장치 제조업 외 4 종,2016-01-14,대전광역시 유성구 봉명동 557-9번지 201,"대전광역시 유성구 유성대로654번길 179, 201 (봉명동)",36.35044172,127.33884,070-4755-9546,042-525-3569,장영희,4,
주식회사 바이오티엔에스,법인,5138162059,"27199, ",그 외 기타 의료용 기기 제조업,2020-05-06,대전광역시 유성구 궁동 486-1번지 지하1층,"대전광역시 유성구 대학로76번안길 19-12, 지하1층 (궁동)",36.36135507,127.3452665,042-861-2223,042-861-2229,"김봉석, 이승일",9,www.biotns.co.kr
주식회사 베리네이처,법인,7548800876,"10122, 10121",육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,2023-11-22,대전광역시 유성구 학하동 751-5 1층,"대전광역시 유성구 학하남로91번길 6-11, 1층 (학하동)",36.33743652,127.3084835,02-1800-3342,,길준경,9,
주식회사 비오센스,법인,7448700101,"27213, ","물질 검사, 측정 및 분석기구 제조업",2016-06-28,대전광역시 유성구 봉명동 540-18번지 좋은하루 3차 3층 302호,"대전광역시 유성구 온천로107번길 15, 좋은하루 3차 3층 302호 (봉명동)",36.35498956,127.3497319,042-823-8118,,이종훈,4,
주식회사 석정비앤이,법인,2308108179,"28114, 28113, 28410, 28422",에너지 저장장치 제조업 외 3 종,2020-03-10,대전광역시 유성구 용계동 664-4번지 209호,"대전광역시 유성구 도안북로 85-31, 209호 (용계동)",36.33165257,127.3375505,042-867-3366,050-4396-0127,박주영,6,
주식회사 세븐클리어,법인,6808801763,"27193, ",안경 및 안경렌즈 제조업,2020-10-22,대전광역시 유성구 봉명동 551-10 1층 103호(봉명동),대전광역시 유성구 계룡로 105 (봉명동) 1층 103호(봉명동),36.35374185,127.3423998,042-826-0904,042-826-9904,안은실,3,
주식회사 쉐마,법인,8948100608,"22299, 22199",그 외 기타 플라스틱 제품 제조업 외 1 종,2022-04-28,대전광역시 유성구 도룡동 393-6 2F 쉐마,"대전광역시 유성구 가정로 314-8, 2F 쉐마(도룡동)",36.38519363,127.3774915,070-4367-2190,042-710-6512,한대익,1,
주식회사 스카이수,법인,3148650567,"29175, 22299",액체 여과기 제조업 외 1 종,2017-09-28,대전광역시 유성구 원내동 67-4번지,대전광역시 유성구 진잠로106번길 5-22 (원내동),36.30192434,127.3158222,042-544-0950,,장진용,4,bonosoo.co.kr
주식회사 스페셜원,법인,3588700555,"28901, ",전기경보 및 신호장치 제조업,2021-04-19,대전광역시 유성구 도룡동 399-8 대덕첨단산업유통 B14호,대전광역시 유성구 대덕대로 530 (도룡동) 대덕첨단산업유통 B14호,36.38017317,127.3791252,070-7723-7115,050-4070-4256,이시권,0,
주식회사 스페셜원,법인,3588700555,"26429, ",기타 무선 통신장비 제조업,2023-05-10,대전광역시 유성구 봉명동 566-2 회춘당한의원 4층,"대전광역시 유성구 계룡로 42, 4층(봉명동, 회춘당한의원)",36.35521775,127.3354795,,,이시권,1,
주식회사 시티음향통신,법인,3058609889,"26421, 26429, 26521, 26529",방송장비 제조업 외 3 종,2017-08-17,대전광역시 유성구 복용동 595-4번지 102호,"대전광역시 유성구 복용북로 67-11, 102호 (복용동)",36.34309887,127.3151956,042-285-0049,042-285-0042,최봉식,4,
주식회사 신광스틸산업,법인,3058618146,"25112, ",구조용 금속 판제품 및 공작물 제조업,2017-12-21,대전광역시 유성구 학하동 743-16번지,대전광역시 유성구 학하중앙로160번길 29 (학하동),36.33852085,127.3089752,042-826-9351,042-673-8004,이효심,29,
주식회사 아그리씨엔에스,법인,3128603689,"29175, ",액체 여과기 제조업,2023-05-04,대전광역시 유성구 복용동 236-3 5층 F510호 5층 F510호,"대전광역시 유성구 복용동로 43, 5층 F510호 (복용동) 5층 F510호",36.33796267,127.3216903,031-897-8990,0505-365-6281,이상돈,4,
주식회사 앤트랩,법인,8988700335,"26310, ",컴퓨터 제조업,2025-03-12,대전광역시 유성구 덕명동 591-8 201호,"대전광역시 유성구 학하중앙로 15, 201호 (덕명동)",36.34869688,127.2982904,042-825-1959,0303-3445-1959,최동걸,10,
주식회사 에렌델가구,법인,2698603497,"32029, ",기타 목재가구 제조업,2024-10-28,대전광역시 유성구 대정동 379-3 디자인새벽빛(대정동),"대전광역시 유성구 유성대로217번길 4-19, 디자인새벽빛(대정동)",36.31769511,127.3140477,042-541-3564,042-541-3563,손승현,2,
